Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
53977,0.7308688,0.8654344,0.6508312,0.8254156,0.6160145,0.80800724,0.61186284,0.80593145,0.7163737,0.85818684,0.80846864,0.9042343,0.76506567,0.88253284,0.7695086,0.8847543,0.77296406,0.886482,0.80501205,0.902506
53978,0.63097453,0.81548727,0.6012955,0.80064774,0.58321714,0.7916086,0.5672077,0.78360385,0.68549097,0.8427455,0.7654891,0.88274455,0.70087826,0.85043913,0.72533375,0.86266685,0.7467339,0.87336695,0.7718358,0.8859179
53979,0.72567904,0.8628395,0.7285453,0.86427265,0.6721072,0.8360536,0.6607493,0.83037466,0.7564998,0.8782499,0.83000696,0.9150035,0.7595903,0.8797952,0.8273368,0.9136684,0.79623336,0.8981167,0.8271364,0.9135682
53981,0.48830396,0.74415195,0.55275285,0.7763764,0.4874841,0.74374205,0.4896287,0.74481434,0.59803927,0.79901963,0.6014534,0.8007267,0.6554711,0.82773554,0.61317337,0.8065867,0.5987152,0.7993576,0.6187929,0.80939645
54796,0.5373711,0.7686856,0.57680297,0.7884015,0.47364897,0.7368245,0.538373,0.7691865,0.52737445,0.76368725,0.56270623,0.7813531,0.6040811,0.8020406,0.6405766,0.8202883,0.655005,0.8275025,0.6177323,0.80886614
54797,0.65938234,0.8296912,0.6744339,0.837217,0.6467364,0.8233682,0.6421716,0.8210858,0.7029376,0.8514688,0.8013191,0.90065956,0.7145413,0.85727066,0.8055277,0.90276384,0.80313843,0.90156925,0.8070766,0.9035383
54798,0.6388391,0.81941956,0.68672097,0.8433605,0.58266336,0.79133165,0.6275367,0.8137684,0.66322076,0.8316104,0.68546975,0.8427349,0.6868913,0.84344566,0.7003032,0.8501516,0.7577287,0.87886435,0.70385975,0.8519299
54799,0.36940786,0.68470395,0.40480846,0.70240426,0.32635587,0.66317797,0.40524912,0.70262456,0.3801834,0.6900917,0.45589864,0.7279493,0.4805507,0.7402754,0.47117084,0.73558545,0.52783585,0.7639179,0.5551272,0.7775636
54800,0.5861385,0.79306924,0.60159326,0.8007966,0.5421808,0.7710904,0.52166414,0.7608321,0.5831842,0.7915921,0.6644162,0.8322081,0.68595034,0.84297514,0.6964545,0.84822726,0.7072754,0.8536377,0.71413165,0.8570658
56453,0.6858564,0.8429282,0.64894116,0.8244706,0.59182906,0.79591453,0.5858083,0.79290414,0.7092107,0.8546053,0.7862539,0.89312696,0.77816963,0.8890848,0.7695174,0.8847587,0.7553582,0.8776791,0.7879554,0.8939777
56528,0.42103288,0.71051645,0.33111867,0.66555935,0.31241024,0.6562051,0.32154554,0.6607728,0.3979517,0.69897586,0.4126453,0.70632267,0.36178303,0.6808915,0.35422677,0.6771134,0.33014107,0.66507053,0.38366216,0.6918311
56542,0.62804186,0.81402093,0.6122933,0.8061466,0.54957145,0.77478576,0.63004327,0.81502163,0.61580026,0.80790013,0.6979217,0.8489609,0.6628448,0.8314224,0.7233285,0.86166424,0.72352445,0.8617622,0.7529954,0.8764977
56543,0.6829746,0.8414873,0.63420075,0.8171004,0.5810489,0.7905245,0.58404034,0.7920202,0.70074755,0.85037374,0.7805363,0.89026815,0.7709204,0.8854602,0.74561644,0.8728082,0.762462,0.881231,0.8177203,0.90886015
56544,0.57551175,0.78775585,0.59683,0.798415,0.5654776,0.7827388,0.58411825,0.7920591,0.5966922,0.7983461,0.63799566,0.81899786,0.627258,0.81362903,0.6333157,0.81665784,0.6579883,0.82899415,0.6803202,0.84016013
56545,0.5955688,0.7977844,0.6483105,0.8241552,0.5542121,0.77710605,0.5654795,0.78273976,0.61221737,0.8061087,0.6190733,0.80953664,0.5929067,0.79645336,0.70993817,0.8549691,0.68309915,0.8415496,0.6393411,0.81967056
56618,0.5341302,0.7670651,0.53696847,0.76848423,0.4832667,0.74163336,0.5159063,0.75795317,0.5248131,0.7624066,0.56547487,0.78273743,0.57277644,0.7863882,0.59421444,0.7971072,0.6095677,0.8047838,0.6181902,0.80909514
56619,0.5607841,0.78039205,0.6001316,0.80006576,0.5050428,0.7525214,0.5592029,0.77960145,0.59529424,0.7976471,0.64857197,0.824286,0.68382347,0.84191173,0.66074,0.83037,0.6927215,0.84636074,0.7139461,0.85697305
56629,0.7496005,0.87480026,0.6866441,0.84332204,0.6653499,0.832675,0.6173433,0.80867165,0.7900413,0.89502066,0.88515365,0.9425768,0.7890556,0.8945278,0.83241063,0.9162053,0.8116004,0.9058002,0.8803687,0.94018435
56630,0.60980654,0.80490327,0.60304844,0.8015242,0.5424948,0.7712474,0.57504475,0.7875224,0.6251987,0.81259936,0.72142136,0.8607107,0.7160742,0.8580371,0.71657234,0.85828614,0.74618167,0.87309086,0.7918563,0.89592814
56631,0.5842488,0.7921244,0.6308367,0.81541836,0.5698447,0.78492236,0.58763045,0.79381526,0.6059102,0.8029551,0.656662,0.828331,0.6139809,0.80699044,0.70366186,0.85183096,0.73149264,0.8657463,0.736694,0.868347
56632,0.68641484,0.8432074,0.67230105,0.8361505,0.58727336,0.7936367,0.6444622,0.8222311,0.6966537,0.84832686,0.7874212,0.8937106,0.773958,0.886979,0.80792516,0.9039626,0.77089906,0.8854495,0.8518824,0.9259412
56633,0.6940253,0.84701264,0.7132298,0.8566149,0.640726,0.820363,0.69367516,0.8468376,0.70662796,0.853314,0.7518625,0.87593126,0.7809769,0.89048845,0.7994858,0.8997429,0.80723727,0.90361863,0.8117741,0.905887
56634,0.55443364,0.7772168,0.5731851,0.78659254,0.50472987,0.75236493,0.53986603,0.769933,0.58172345,0.7908617,0.64542544,0.8227127,0.6257912,0.8128956,0.6410528,0.82052636,0.6886015,0.84430075,0.66800857,0.8340043
56635,0.5964231,0.7982116,0.5853055,0.7926527,0.51857346,0.75928676,0.55372584,0.7768629,0.6162262,0.8081131,0.68205446,0.84102726,0.661772,0.830886,0.66223896,0.8311195,0.68945086,0.84472543,0.7013626,0.8506813
56637,0.5957409,0.79787046,0.58375406,0.79187703,0.49613935,0.74806964,0.58293915,0.7914696,0.6084708,0.8042354,0.6848754,0.84243774,0.6421489,0.8210745,0.7062054,0.8531027,0.65912557,0.8295628,0.694533,0.8472665
56638,0.7049641,0.8524821,0.6417551,0.82087755,0.588464,0.794232,0.5964649,0.79823244,0.7448248,0.87241244,0.8669265,0.9334632,0.7971062,0.89855313,0.7960714,0.8980357,0.76729405,0.883647,0.87187326,0.9359366
56639,0.5750123,0.78750616,0.5883141,0.794157,0.5553093,0.77765465,0.5341201,0.76706004,0.63632524,0.8181626,0.75087607,0.87543803,0.75805753,0.8790288,0.67615634,0.83807814,0.7652886,0.8826443,0.81413656,0.90706825
56641,0.5198033,0.75990164,0.54120314,0.7706016,0.47262648,0.7363132,0.49771494,0.7488575,0.56269276,0.7813464,0.65114343,0.8255717,0.6662049,0.83310246,0.5970627,0.79853135,0.66941166,0.8347058,0.7255961,0.86279804
56642,0.5965451,0.79827255,0.60228944,0.8011447,0.5378331,0.76891655,0.5685828,0.7842914,0.62038875,0.8101944,0.6800667,0.84003335,0.71266985,0.8563349,0.69932735,0.8496637,0.73574126,0.8678706,0.7339572,0.8669786
56643,0.7304913,0.86524564,0.67987776,0.8399389,0.6618923,0.83094615,0.6681423,0.83407116,0.7029499,0.85147494,0.74819934,0.8740997,0.6495441,0.82477206,0.77079225,0.8853961,0.7429402,0.8714701,0.741002,0.87050104
56644,0.60390216,0.80195105,0.6382512,0.8191256,0.5653097,0.7826549,0.59217,0.796085,0.6513903,0.82569516,0.6859099,0.842955,0.76503456,0.8825173,0.71823025,0.8591151,0.75860083,0.8793004,0.79429084,0.8971454
56645,0.734391,0.8671955,0.7440338,0.8720169,0.65187085,0.8259354,0.6962285,0.84811425,0.7552521,0.87762606,0.7803755,0.89018774,0.7789315,0.88946575,0.83656347,0.91828173,0.80574405,0.902872,0.8209435,0.91047174
56646,0.45367786,0.72683895,0.46880305,0.7344015,0.37424856,0.68712425,0.45793143,0.7289657,0.4721117,0.73605585,0.5209935,0.76049674,0.5531833,0.77659166,0.53335524,0.7666776,0.5582065,0.7791033,0.570351,0.7851755
56647,0.6884244,0.8442122,0.7098855,0.85494274,0.68096364,0.8404818,0.6948527,0.84742635,0.70545757,0.8527288,0.72091925,0.8604596,0.7161445,0.8580723,0.7664339,0.883217,0.77072144,0.8853607,0.78379875,0.89189935
56648,0.7153642,0.8576821,0.67093205,0.835466,0.6265851,0.81329256,0.6595282,0.8297641,0.6939194,0.8469597,0.7417835,0.87089175,0.69831055,0.8491553,0.78371716,0.8918586,0.7468791,0.87343955,0.7580576,0.8790288
56649,0.62168145,0.8108407,0.6528136,0.82640684,0.5557472,0.77787364,0.6100505,0.8050252,0.6213762,0.81068814,0.6383821,0.81919104,0.597543,0.7987715,0.65732193,0.82866096,0.70243686,0.85121846,0.6566982,0.8283491
56650,0.7376704,0.8688352,0.70678693,0.85339344,0.66113406,0.830567,0.6597652,0.8298826,0.769412,0.884706,0.8231467,0.91157335,0.8118051,0.90590256,0.8141774,0.9070887,0.79760474,0.8988024,0.86045456,0.9302273
56651,0.71663356,0.8583168,0.681273,0.8406365,0.6757177,0.83785886,0.6566765,0.82833827,0.76178133,0.88089067,0.8146759,0.90733796,0.745244,0.872622,0.8121049,0.9060525,0.7680131,0.88400656,0.81378436,0.9068922
