Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Score
56797,0.65209675,0.8260484,0.6648288,0.8324144,0.5434575,0.77172875,0.5842936,0.7921468,0.6425756,0.8212878,0.70921797,0.854609,0.6836747,0.84183735,0.7261174,0.8630587,0.73874784,0.8693739,0.74549556,0.8727478
56798,0.67633116,0.8381656,0.6506554,0.8253277,0.57141197,0.785706,0.61525357,0.8076268,0.66248906,0.8312445,0.7213379,0.86066896,0.7626885,0.88134426,0.6980967,0.8490484,0.7311347,0.8655673,0.7680742,0.88403714
56799,0.6064601,0.80323005,0.5573462,0.7786731,0.50036097,0.7501805,0.50672525,0.75336266,0.6149845,0.80749226,0.7342001,0.86710006,0.7060425,0.85302126,0.68208116,0.8410406,0.72612244,0.8630612,0.77047807,0.885239
56800,0.6447974,0.82239866,0.61441743,0.8072087,0.53783786,0.76891893,0.6162491,0.80812454,0.58133423,0.7906671,0.6550212,0.8275106,0.5954572,0.7977286,0.6699195,0.83495975,0.6763133,0.83815664,0.6703085,0.83515424
56801,0.64476335,0.8223817,0.6271105,0.81355524,0.55716443,0.7785822,0.5608218,0.7804109,0.642185,0.8210925,0.75361466,0.87680733,0.6732896,0.83664477,0.69984484,0.8499224,0.7208122,0.8604061,0.7431154,0.8715577
56802,0.57815754,0.7890788,0.5535708,0.7767854,0.5007206,0.7503603,0.52969974,0.7648499,0.57728577,0.7886429,0.70144105,0.8507205,0.66959506,0.8347975,0.6662829,0.83314145,0.72688675,0.8634434,0.751789,0.8758945
56803,0.7302897,0.86514485,0.7138467,0.85692334,0.6303166,0.8151583,0.6357866,0.81789327,0.72937965,0.8646898,0.82336104,0.9116805,0.77180696,0.8859035,0.81469965,0.9073498,0.76739585,0.8836979,0.83666337,0.9183317
56804,0.72520816,0.8626041,0.7035723,0.85178614,0.6301907,0.8150953,0.66317934,0.8315897,0.7075896,0.8537948,0.76012033,0.8800602,0.6988778,0.8494389,0.79787445,0.8989372,0.7784776,0.88923883,0.75652003,0.87826
56805,0.62266755,0.8113338,0.54439485,0.7721974,0.5500406,0.7750203,0.5852175,0.79260874,0.5416464,0.77082324,0.6460388,0.8230194,0.5575777,0.77878886,0.6543115,0.8271557,0.6830609,0.84153044,0.67420506,0.83710253
56807,0.6279771,0.81398857,0.6717437,0.8358718,0.5513898,0.7756949,0.58734226,0.79367113,0.6495558,0.8247779,0.6453458,0.8226729,0.6944565,0.8472283,0.6772551,0.8386276,0.71484435,0.8574222,0.7047051,0.85235256
56809,0.7412538,0.8706269,0.69190145,0.8459507,0.6504091,0.82520455,0.66858375,0.8342919,0.7361548,0.8680774,0.83022964,0.9151148,0.74453264,0.8722663,0.82690954,0.9134548,0.78304327,0.89152163,0.8197924,0.9098962
56859,0.5782558,0.7891279,0.5528442,0.77642214,0.46104634,0.73052317,0.5770121,0.78850603,0.56524557,0.7826228,0.6510985,0.82554924,0.62362367,0.8118118,0.63595283,0.8179764,0.69697857,0.8484893,0.6775397,0.83876985
56860,0.6537106,0.8268553,0.6586484,0.8293242,0.6013338,0.8006669,0.70213366,0.8510668,0.66213584,0.8310679,0.72831434,0.8641572,0.6824355,0.84121776,0.76050276,0.8802514,0.76458555,0.88229275,0.7814783,0.89073914
56861,0.72515094,0.8625755,0.65604126,0.82802063,0.5966668,0.7983334,0.64791477,0.8239574,0.6982939,0.84914696,0.7777182,0.8888591,0.7223864,0.8611932,0.7596214,0.8798107,0.7493143,0.87465715,0.78131884,0.89065945
56862,0.6988385,0.84941924,0.68530595,0.842653,0.5706717,0.78533584,0.6420993,0.8210497,0.68938863,0.8446943,0.7508299,0.87541497,0.7355505,0.86777526,0.76059985,0.8802999,0.753278,0.876639,0.7740824,0.8870412
57384,0.7537309,0.87686545,0.7008798,0.8504399,0.6579298,0.8289649,0.662465,0.8312325,0.75609887,0.87804943,0.85314023,0.9265701,0.7860786,0.8930393,0.8186767,0.90933836,0.78309643,0.8915482,0.84583414,0.92291707
57400,0.804968,0.902484,0.74238825,0.8711941,0.68659425,0.8432971,0.6695843,0.83479214,0.7942934,0.8971467,0.8273801,0.9136901,0.74937147,0.87468576,0.83058894,0.91529447,0.73975277,0.8698764,0.8184302,0.9092151
62042,0.73868424,0.8693421,0.6989112,0.8494556,0.67911935,0.8395597,0.6625145,0.8312572,0.6924702,0.8462351,0.70682234,0.8534112,0.624213,0.8121065,0.70704925,0.8535246,0.6742012,0.8371006,0.6636358,0.83181787
63086,0.4951862,0.7475931,0.50166047,0.75083023,0.45551836,0.7277592,0.46024984,0.73012495,0.51594007,0.75797004,0.6169416,0.8084708,0.60521936,0.8026097,0.58198,0.79099,0.62775445,0.8138772,0.64682645,0.82341325
63087,0.69100285,0.8455014,0.6632657,0.83163285,0.59791267,0.79895633,0.645483,0.8227415,0.6928483,0.84642416,0.7601057,0.88005286,0.78465974,0.8923299,0.717355,0.8586775,0.74083585,0.87041795,0.7941592,0.8970796
83710,0.69168615,0.8458431,0.68885523,0.8444276,0.5990207,0.79951036,0.6687655,0.8343828,0.69949275,0.84974635,0.7601801,0.88009006,0.689586,0.84479296,0.7742052,0.8871026,0.7694013,0.88470066,0.7754884,0.8877442
83711,0.5996859,0.79984295,0.6353021,0.81765103,0.6087185,0.80435926,0.6088386,0.8044193,0.5433172,0.7716586,0.5459585,0.77297926,0.5372443,0.76862216,0.62582195,0.812911,0.6428451,0.8214226,0.6280376,0.8140188
86666,0.61327845,0.8066392,0.6898143,0.84490716,0.5919717,0.7959858,0.6221156,0.8110578,0.6215099,0.81075495,0.6915829,0.84579146,0.70757014,0.85378504,0.77462775,0.88731384,0.74548835,0.8727442,0.7461852,0.8730926
87779,0.4626027,0.73130137,0.5179771,0.75898856,0.41899067,0.7094953,0.5175033,0.75875163,0.44565287,0.7228264,0.41993064,0.70996535,0.47666234,0.7383312,0.4738897,0.73694485,0.5065989,0.7532995,0.46023417,0.7301171
97622,0.68749064,0.84374535,0.6870337,0.8435168,0.6045183,0.80225915,0.60403824,0.8020191,0.7325348,0.86626744,0.8417221,0.920861,0.7868103,0.89340514,0.80289817,0.9014491,0.7898661,0.89493304,0.84259105,0.9212955
98134,0.62593603,0.812968,0.6045604,0.8022802,0.52989864,0.7649493,0.5250151,0.76250756,0.6310626,0.8155313,0.73652637,0.8682632,0.717422,0.858711,0.7222744,0.8611372,0.7150058,0.85750294,0.76399064,0.8819953
98135,0.6547842,0.8273921,0.6829089,0.84145445,0.6523299,0.82616496,0.6398891,0.81994456,0.6800315,0.84001577,0.73242736,0.8662137,0.70748746,0.85374373,0.7556878,0.87784386,0.7580857,0.87904286,0.7942032,0.89710164
98136,0.6435197,0.8217598,0.5886338,0.7943169,0.5395022,0.7697511,0.5744153,0.78720766,0.6570647,0.82853234,0.7596022,0.8798011,0.66600096,0.8330005,0.70322376,0.85161185,0.72161376,0.8608069,0.7602589,0.88012946
98137,0.6351354,0.8175677,0.62729955,0.8136498,0.54654264,0.7732713,0.6227914,0.8113957,0.6389299,0.8194649,0.7160772,0.8580386,0.6938091,0.8469045,0.7416474,0.87082374,0.7166102,0.8583051,0.7508171,0.87540853
98138,0.57593435,0.7879672,0.56820726,0.78410363,0.50378853,0.75189424,0.55340755,0.7767038,0.6001104,0.8000552,0.72549987,0.86274993,0.68260217,0.8413011,0.694507,0.8472535,0.7498449,0.87492245,0.78127146,0.8906357
98171,0.6033199,0.80165994,0.60239476,0.8011974,0.49738553,0.74869275,0.5604733,0.78023666,0.6177628,0.8088814,0.70054257,0.8502713,0.68613327,0.84306663,0.6783956,0.8391978,0.71436495,0.8571825,0.7403034,0.8701517
98172,0.58330095,0.7916505,0.60001504,0.8000075,0.49517578,0.7475879,0.53590816,0.7679541,0.65752745,0.8287637,0.72271544,0.8613577,0.7486727,0.87433636,0.7185782,0.8592891,0.696309,0.8481545,0.74641776,0.8732089
98173,0.6421547,0.82107735,0.63377,0.816885,0.5650104,0.7825052,0.5795307,0.78976536,0.6568095,0.8284048,0.77233636,0.8861682,0.7117456,0.8558728,0.7161803,0.85809016,0.75856256,0.8792813,0.7847924,0.8923962
98245,0.60770285,0.8038514,0.5889772,0.7944886,0.5723907,0.78619534,0.5447035,0.77235174,0.623215,0.8116075,0.71833146,0.8591657,0.65931296,0.8296565,0.7120745,0.85603726,0.7142863,0.85714316,0.72349787,0.86174893
98250,0.61985826,0.80992913,0.67268956,0.8363448,0.5826266,0.7913133,0.60911006,0.80455506,0.5891489,0.79457444,0.56275445,0.7813772,0.5638863,0.78194314,0.6309689,0.81548446,0.61629945,0.8081497,0.5720909,0.78604543
98251,0.63725436,0.8186272,0.62449443,0.8122472,0.55189276,0.7759464,0.5910679,0.79553396,0.61041677,0.8052084,0.63340205,0.81670105,0.6551648,0.82758236,0.62614846,0.81307423,0.71008486,0.85504246,0.6709038,0.8354519
98252,0.4611171,0.7305585,0.46333545,0.73166776,0.36945316,0.6847266,0.6190026,0.8095013,0.46804476,0.7340224,0.4257676,0.71288383,0.4371278,0.7185639,0.4530172,0.7265086,0.51698554,0.75849277,0.43732774,0.7186639
98253,0.6959918,0.8479959,0.6819718,0.8409859,0.6150076,0.8075038,0.6337148,0.8168574,0.6824864,0.8412432,0.69075096,0.8453755,0.63929117,0.8196456,0.6932303,0.84661514,0.7094898,0.8547449,0.690556,0.845278
98254,0.6393112,0.8196556,0.63044417,0.8152221,0.60747653,0.80373824,0.6333728,0.8166864,0.6535205,0.8267603,0.74600494,0.87300247,0.66660297,0.8333015,0.741536,0.870768,0.7389052,0.8694526,0.77166486,0.8858324
98255,0.7582679,0.87913394,0.7685518,0.8842759,0.7215953,0.86079764,0.754382,0.877191,0.7432519,0.87162596,0.7508488,0.8754244,0.6934091,0.84670454,0.83031607,0.91515803,0.77779806,0.888899,0.78038955,0.8901948
98256,0.65366656,0.82683325,0.61458373,0.80729187,0.56566495,0.7828325,0.6413896,0.8206948,0.638537,0.81926847,0.73046887,0.86523443,0.6203961,0.81019807,0.691037,0.84551847,0.69819176,0.8490959,0.69790787,0.84895396
98257,0.71862566,0.85931283,0.7549894,0.8774947,0.6470623,0.82353115,0.7394923,0.86974615,0.71785915,0.8589296,0.75379944,0.8768997,0.734724,0.867362,0.8172994,0.9086497,0.7963997,0.89819986,0.80313706,0.90156853
98258,0.6424601,0.82123005,0.6612539,0.83062696,0.59222233,0.79611117,0.65221757,0.8261088,0.5994172,0.7997086,0.6460233,0.82301164,0.6594908,0.8297454,0.658581,0.8292905,0.7104465,0.85522324,0.72575223,0.8628761
98259,0.68025434,0.84012717,0.61859393,0.80929697,0.58967054,0.79483527,0.609421,0.8047105,0.68106127,0.84053063,0.7961638,0.8980819,0.734998,0.867499,0.7222271,0.86111355,0.7692964,0.8846482,0.80234,0.90117
98260,0.6637352,0.8318676,0.66106,0.83053,0.6476803,0.82384014,0.7332848,0.86664236,0.64761823,0.82380915,0.7303096,0.8651548,0.676856,0.838428,0.76214993,0.88107497,0.764625,0.88231254,0.76187325,0.8809366
98261,0.7372124,0.8686062,0.6965968,0.84829843,0.6439824,0.8219912,0.73163366,0.86581683,0.7331367,0.8665683,0.7961243,0.8980621,0.763627,0.8818135,0.75874376,0.8793719,0.7828817,0.89144087,0.8278191,0.91390955
98262,0.6707445,0.8353722,0.61955214,0.80977607,0.5797691,0.78988457,0.65900254,0.8295013,0.6275127,0.81375635,0.7521416,0.8760708,0.6722667,0.83613336,0.7140147,0.8570074,0.73295116,0.8664756,0.786208,0.89310396
98263,0.6068927,0.80344635,0.64075625,0.8203781,0.6120626,0.8060313,0.6468352,0.8234176,0.63259506,0.81629753,0.6664641,0.83323205,0.6009152,0.8004576,0.6941596,0.8470798,0.6818869,0.84094346,0.6852354,0.8426177
98264,0.6583891,0.82919455,0.6709639,0.83548194,0.59936726,0.79968363,0.7217993,0.8608997,0.62419343,0.8120967,0.598229,0.79911447,0.5529064,0.7764532,0.69125867,0.84562933,0.6580211,0.82901055,0.61307406,0.80653703
98265,0.6908059,0.84540296,0.6242746,0.8121373,0.59930825,0.7996541,0.6353071,0.81765354,0.6779757,0.8389878,0.82252586,0.9112629,0.69821787,0.84910893,0.7556007,0.87780035,0.78040385,0.8902019,0.77598584,0.8879929
98266,0.7840649,0.89203244,0.7021423,0.8510711,0.68083096,0.8404155,0.6958524,0.8479262,0.7288495,0.8644247,0.83095896,0.9154795,0.7137412,0.8568706,0.8032924,0.9016462,0.7814215,0.8907107,0.80197835,0.9009892
98267,0.63665974,0.8183299,0.6205528,0.8102764,0.59659064,0.7982953,0.65131927,0.82565963,0.64988655,0.8249433,0.6147325,0.80736625,0.57967246,0.7898362,0.67921066,0.83960533,0.7181972,0.8590986,0.6644866,0.8322433
98268,0.7204025,0.86020124,0.7300916,0.8650458,0.6885373,0.8442687,0.68426406,0.84213203,0.7046107,0.85230535,0.7650286,0.8825143,0.6651432,0.8325716,0.7891753,0.89458764,0.7300081,0.86500406,0.7596933,0.8798467
98269,0.71070784,0.85535395,0.66000843,0.8300042,0.6478492,0.8239246,0.63022685,0.8151134,0.6916493,0.84582466,0.7685922,0.88429606,0.68068707,0.84034353,0.77452916,0.8872646,0.7405788,0.8702894,0.77473164,0.8873658
98270,0.6521374,0.8260687,0.6383003,0.81915015,0.56858027,0.78429013,0.6121453,0.80607265,0.64002216,0.8200111,0.7543201,0.8771601,0.7166989,0.85834944,0.73284686,0.8664234,0.7849482,0.8924741,0.7774185,0.88870925
98271,0.5882019,0.79410094,0.54278433,0.77139217,0.4772282,0.7386141,0.5326409,0.76632047,0.5757375,0.78786874,0.738044,0.869022,0.67103076,0.8355154,0.65529263,0.8276463,0.7068492,0.8534246,0.7550895,0.87754476
98272,0.6740278,0.8370139,0.6737776,0.8368888,0.6345991,0.81729954,0.63584197,0.817921,0.7366351,0.86831754,0.8572426,0.9286213,0.7850121,0.89250606,0.8419782,0.9209891,0.8276974,0.9138487,0.90010643,0.9500532
98273,0.6617889,0.8308945,0.6600578,0.8300289,0.55944586,0.7797229,0.6317836,0.8158918,0.63997567,0.81998783,0.74559987,0.87279993,0.7062326,0.8531163,0.76943105,0.88471556,0.7639111,0.88195556,0.81009495,0.9050475
98274,0.6767086,0.8383543,0.6740021,0.8370011,0.6071595,0.80357975,0.7088942,0.8544471,0.6652777,0.83263886,0.76706445,0.8835322,0.6997167,0.84985834,0.7713517,0.88567585,0.74942887,0.87471443,0.7574234,0.8787117
98275,0.72588503,0.8629425,0.68442345,0.8422117,0.62403846,0.8120192,0.6831999,0.84159994,0.7623776,0.8811888,0.8150944,0.90754724,0.7495072,0.8747536,0.805964,0.902982,0.77200484,0.8860024,0.81916344,0.9095817
98276,0.69996434,0.84998214,0.6762742,0.8381371,0.61196077,0.8059804,0.6338587,0.81692934,0.7526845,0.87634224,0.79947054,0.8997353,0.7581093,0.87905467,0.8010896,0.90054476,0.80318433,0.90159214,0.8171412,0.9085706
98277,0.6457523,0.82287616,0.6292689,0.81463444,0.5471196,0.7735598,0.6396426,0.8198213,0.6078613,0.80393064,0.7144657,0.8572328,0.66458786,0.8322939,0.7258223,0.86291116,0.7466448,0.87332237,0.7095374,0.8547687
98278,0.66914386,0.83457196,0.6587074,0.8293537,0.60015583,0.8000779,0.6648534,0.83242667,0.6868063,0.84340316,0.79178286,0.8958914,0.72231424,0.8611571,0.77019465,0.8850973,0.7563335,0.87816674,0.7674703,0.8837352
98279,0.71961796,0.859809,0.6887654,0.8443827,0.6296836,0.8148418,0.68869424,0.8443471,0.732054,0.866027,0.81501186,0.9075059,0.72252685,0.8612634,0.7953958,0.8976979,0.7646969,0.8823484,0.7956788,0.8978394
98280,0.6916559,0.84582794,0.66540706,0.83270353,0.61832255,0.8091613,0.6960689,0.84803444,0.64089495,0.82044744,0.72607017,0.8630351,0.6676667,0.83383334,0.7410594,0.8705297,0.75726044,0.8786302,0.7409769,0.87048846
98281,0.67466116,0.8373306,0.62674624,0.8133731,0.57166314,0.7858316,0.6060567,0.80302835,0.6720623,0.83603114,0.7862089,0.89310443,0.7172122,0.8586061,0.74274504,0.8713725,0.77490044,0.8874502,0.79186845,0.8959342
98282,0.68216336,0.8410817,0.730459,0.8652295,0.6431232,0.8215616,0.68877804,0.844389,0.69873524,0.8493676,0.7675567,0.88377833,0.7447616,0.8723808,0.78902376,0.8945119,0.7792039,0.88960195,0.80204296,0.9010215
98283,0.7356814,0.8678407,0.677554,0.838777,0.60458314,0.8022916,0.6696719,0.83483595,0.74031866,0.8701593,0.81171703,0.9058585,0.7849721,0.89248604,0.78615594,0.89307797,0.7771549,0.88857746,0.8463266,0.9231633
98284,0.5023289,0.75116444,0.5218911,0.76094556,0.44337422,0.7216871,0.49896097,0.7494805,0.527749,0.76387453,0.61611676,0.8080584,0.6496917,0.82484585,0.6419264,0.8209632,0.6658782,0.8329391,0.6717003,0.8358501
98285,0.5853235,0.7926618,0.55897,0.779485,0.47563297,0.73781645,0.5612632,0.7806316,0.6044241,0.80221206,0.6873325,0.84366626,0.6536737,0.8268368,0.66469306,0.83234656,0.70078385,0.8503919,0.693426,0.846713
98286,0.59329855,0.7966493,0.60969937,0.8048497,0.5487372,0.77436864,0.5790941,0.7895471,0.5995446,0.79977226,0.66756773,0.83378386,0.6455939,0.82279694,0.70317674,0.85158837,0.7083688,0.8541844,0.71024084,0.8551204
98287,0.7033965,0.8516983,0.6938438,0.8469219,0.6590309,0.82951546,0.6724322,0.8362161,0.7051827,0.85259134,0.8051836,0.9025918,0.7232048,0.8616024,0.8188417,0.90942085,0.7898647,0.8949324,0.82005537,0.9100277
98288,0.69157565,0.8457878,0.6881877,0.84409386,0.6275474,0.8137737,0.61243725,0.8062186,0.6485962,0.82429814,0.69237006,0.846185,0.66172194,0.830861,0.72643864,0.8632193,0.75416195,0.877081,0.72216505,0.86108255
98289,0.6405623,0.82028115,0.6163169,0.80815846,0.61436814,0.8071841,0.605369,0.8026845,0.6074084,0.8037042,0.6957749,0.84788746,0.5985041,0.79925203,0.69201565,0.8460078,0.7105863,0.85529315,0.69423413,0.84711707
98290,0.4831993,0.7415997,0.49287453,0.74643725,0.47181636,0.73590815,0.44792658,0.72396326,0.5317743,0.76588714,0.63431746,0.8171587,0.65861773,0.82930887,0.57358634,0.7867932,0.6371064,0.8185532,0.6880977,0.84404886
98291,0.69612604,0.848063,0.6832474,0.84162366,0.62752974,0.81376487,0.60453296,0.8022665,0.69078314,0.8453916,0.79413563,0.8970678,0.7096343,0.85481715,0.75706124,0.8785306,0.7682638,0.8841319,0.7835256,0.8917628
98292,0.63830906,0.8191545,0.6187291,0.80936456,0.5456082,0.77280414,0.61804235,0.8090212,0.6806049,0.84030247,0.76113844,0.8805692,0.7355274,0.8677637,0.75263417,0.8763171,0.7417387,0.87086934,0.7875526,0.8937763
98293,0.6609185,0.83045924,0.6460227,0.82301134,0.5634941,0.78174704,0.6336007,0.81680036,0.6569556,0.8284778,0.7559642,0.87798214,0.7142299,0.8571149,0.75180584,0.8759029,0.7579591,0.87897956,0.7661279,0.8830639
98294,0.63337016,0.8166851,0.5993151,0.7996576,0.58959407,0.79479706,0.61944234,0.8097212,0.62983423,0.8149171,0.6769408,0.8384704,0.60070777,0.8003539,0.66807556,0.8340378,0.7118573,0.85592866,0.66914463,0.8345723
98295,0.5666882,0.7833441,0.55465865,0.7773293,0.5040387,0.75201935,0.5479559,0.77397794,0.5960798,0.7980399,0.7298744,0.8649372,0.6727187,0.8363594,0.690469,0.8452345,0.71909785,0.8595489,0.7547791,0.87738955
98296,0.63196874,0.81598437,0.6413368,0.8206684,0.5477998,0.7738999,0.5743748,0.7871874,0.6443771,0.82218856,0.7192162,0.8596081,0.67620635,0.8381032,0.71278894,0.85639447,0.74409294,0.8720465,0.7570648,0.8785324
98297,0.72976613,0.86488307,0.7081844,0.85409224,0.6520793,0.8260397,0.6924547,0.84622735,0.66673136,0.8333657,0.72945523,0.8647276,0.69399774,0.8469989,0.7777358,0.8888679,0.7678318,0.8839159,0.7890531,0.89452654
98298,0.7212131,0.86060655,0.7210785,0.86053926,0.63835704,0.8191785,0.72168595,0.86084294,0.6817284,0.8408642,0.7676678,0.8838339,0.7235178,0.8617589,0.78295434,0.89147717,0.7792939,0.88964695,0.7924255,0.89621276
98299,0.67273784,0.8363689,0.6870575,0.84352875,0.62999,0.814995,0.6302456,0.81512284,0.7043163,0.8521582,0.77148056,0.8857403,0.6990024,0.8495012,0.7771643,0.8885821,0.7012087,0.85060436,0.7389357,0.86946785
98300,0.6614999,0.83075,0.6405691,0.82028455,0.61484414,0.80742204,0.6033962,0.8016981,0.6727948,0.8363974,0.80226475,0.90113235,0.73652375,0.8682619,0.77166164,0.8858308,0.7624461,0.8812231,0.8408005,0.92040026
98301,0.5731609,0.78658044,0.5462776,0.77313876,0.5337653,0.76688266,0.50605196,0.753026,0.6020463,0.8010231,0.7017133,0.85085666,0.6756724,0.8378362,0.6715432,0.83577156,0.72533965,0.8626698,0.7648803,0.88244015
98302,0.7267697,0.86338484,0.66591847,0.83295923,0.6124712,0.8062356,0.6633625,0.83168125,0.72377425,0.8618871,0.8037796,0.9018898,0.71983737,0.8599187,0.7750445,0.8875222,0.7311042,0.86555207,0.78443456,0.8922173
98303,0.65330017,0.8266501,0.6204148,0.81020737,0.566183,0.7830915,0.60100806,0.800504,0.6696996,0.83484983,0.7889444,0.89447224,0.7112917,0.85564584,0.7124065,0.85620326,0.7553328,0.8776664,0.7885922,0.8942961
98304,0.7957564,0.89787817,0.7372859,0.8686429,0.681821,0.8409105,0.6542512,0.8271256,0.7252412,0.8626206,0.8456888,0.9228444,0.73672235,0.8683612,0.8106054,0.9053027,0.78699803,0.893499,0.8206219,0.910311
98305,0.71365845,0.8568292,0.6855631,0.84278154,0.64202344,0.8210117,0.6755847,0.83779234,0.70327467,0.85163736,0.7960272,0.8980136,0.7355823,0.8677912,0.7727756,0.8863878,0.7685233,0.8842616,0.81720585,0.90860295
98306,0.73092693,0.8654635,0.71716094,0.85858047,0.6730226,0.8365113,0.68350136,0.8417507,0.7152077,0.85760385,0.7840234,0.8920117,0.73406994,0.867035,0.8003051,0.90015256,0.7896276,0.8948138,0.79517186,0.8975859
98307,0.72533965,0.8626698,0.71862423,0.8593121,0.678426,0.839213,0.68972284,0.8448614,0.73852473,0.86926234,0.80118525,0.9005926,0.7559382,0.8779691,0.81797945,0.9089897,0.78023684,0.8901184,0.8196733,0.90983665
98308,0.6632178,0.8316089,0.6665594,0.8332797,0.57776666,0.7888833,0.6386211,0.81931055,0.6790944,0.83954716,0.759111,0.87955546,0.7577849,0.8788924,0.7653309,0.88266546,0.7829585,0.89147925,0.7953813,0.89769065
98309,0.7314193,0.86570966,0.68917084,0.8445854,0.6422312,0.8211156,0.6127646,0.8063823,0.7443489,0.87217444,0.8504883,0.92524415,0.7534254,0.8767127,0.8359674,0.9179837,0.8134042,0.9067021,0.83099616,0.9154981
98310,0.79048896,0.8952445,0.712116,0.856058,0.73568845,0.8678442,0.66282785,0.8314139,0.7877263,0.89386314,0.8098709,0.9049355,0.7444943,0.87224716,0.8031916,0.90159583,0.7168647,0.85843235,0.798602,0.899301
98311,0.67939234,0.83969617,0.65573585,0.8278679,0.5833483,0.79167414,0.6043472,0.8021736,0.6604909,0.83024544,0.744455,0.8722275,0.72641426,0.8632071,0.716918,0.858459,0.76512873,0.88256437,0.78653395,0.893267
98312,0.69498706,0.8474935,0.70798695,0.8539935,0.6116643,0.80583215,0.6637466,0.8318733,0.6915195,0.84575975,0.7292787,0.86463934,0.7427375,0.87136877,0.7671586,0.8835793,0.7079079,0.85395396,0.78180957,0.8909048
98313,0.6705016,0.8352508,0.67167044,0.8358352,0.63699377,0.8184969,0.6394968,0.8197484,0.66614103,0.8330705,0.7699212,0.8849606,0.6697632,0.8348816,0.7853893,0.89269465,0.7752274,0.8876137,0.7902751,0.89513755
98314,0.7410773,0.87053865,0.7013289,0.85066444,0.66392267,0.83196133,0.68251115,0.84125555,0.75434893,0.8771745,0.8275578,0.9137789,0.7075325,0.85376626,0.8039152,0.90195763,0.7819782,0.89098907,0.80985487,0.90492743
98315,0.68942213,0.84471107,0.6583015,0.82915074,0.6278255,0.81391275,0.62470645,0.81235325,0.70708644,0.8535432,0.8327116,0.9163558,0.72645104,0.8632255,0.7637967,0.88189834,0.782395,0.8911975,0.8014828,0.9007414
