Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_google_ux_Score
53974,0.57891405,0.789457,0.6228193,0.81140965,0.5457649,0.77288246,0.60626626,0.80313313,0.6257142,0.8128571,0.6482289,0.82411444,0.7413763,0.87068814,0.67401767,0.83700883,0.75591946,0.8779597,0.74409544,0.8720477
53975,0.7183707,0.85918534,0.66335267,0.83167636,0.69783866,0.84891933,0.6435745,0.82178724,0.7185162,0.85925806,0.7933948,0.8966974,0.72028315,0.8601416,0.7623159,0.881158,0.7728325,0.88641626,0.786514,0.893257
53976,0.5025804,0.7512902,0.48213005,0.741065,0.46384594,0.731923,0.4473933,0.72369665,0.5013992,0.75069964,0.62752056,0.8137603,0.6284586,0.8142293,0.5696875,0.78484374,0.6340164,0.8170082,0.64767873,0.82383937
53977,0.65607893,0.82803947,0.6046716,0.8023358,0.582494,0.791247,0.6171566,0.8085783,0.6598573,0.82992864,0.7387872,0.8693936,0.6954846,0.8477423,0.73799956,0.8689998,0.74016494,0.8700825,0.7339611,0.86698055
53978,0.6405778,0.8202889,0.60169137,0.8008457,0.59711325,0.7985566,0.55706406,0.778532,0.6915685,0.84578425,0.78339535,0.89169765,0.7175465,0.85877323,0.7413405,0.87067026,0.7441212,0.8720606,0.805639,0.9028195
53979,0.6672454,0.8336227,0.66985,0.834925,0.6100119,0.8050059,0.59649366,0.79824686,0.72522366,0.86261183,0.76034296,0.8801715,0.7039764,0.8519882,0.7614784,0.8807392,0.71480906,0.85740453,0.7250144,0.8625072
53981,0.58633876,0.7931694,0.60870683,0.8043534,0.5347575,0.76737875,0.5471834,0.7735917,0.6589376,0.8294688,0.7602929,0.88014644,0.78060913,0.89030457,0.7091744,0.8545872,0.76028085,0.8801404,0.78879887,0.8943994
54796,0.6358107,0.8179053,0.6801955,0.8400978,0.5532502,0.7766251,0.64848804,0.824244,0.6173573,0.8086786,0.643955,0.8219775,0.67674106,0.83837056,0.71719325,0.8585966,0.73947316,0.86973655,0.69811094,0.84905547
54797,0.7295908,0.8647954,0.69364214,0.84682107,0.65944505,0.8297225,0.6319352,0.81596756,0.76533747,0.88266873,0.886839,0.94341946,0.7636021,0.881801,0.83675146,0.91837573,0.78784406,0.89392203,0.8535507,0.92677534
54798,0.604058,0.802029,0.667047,0.8335235,0.5739335,0.78696674,0.60114825,0.8005741,0.6413299,0.82066494,0.66196513,0.83098257,0.673856,0.836928,0.67543685,0.8377184,0.7720767,0.88603836,0.72350657,0.8617533
54799,0.49728698,0.7486435,0.55780125,0.7789006,0.46723068,0.73361534,0.5572879,0.77864397,0.520249,0.7601245,0.56674016,0.7833701,0.59725523,0.7986276,0.6215968,0.8107984,0.71005684,0.8550284,0.6793207,0.83966035
54800,0.50142926,0.75071466,0.5355275,0.76776373,0.47590536,0.7379527,0.4670753,0.7335377,0.5378052,0.7689026,0.58180124,0.7909006,0.6511937,0.8255968,0.6124414,0.8062207,0.6223407,0.81117034,0.6251942,0.8125971
56453,0.60093904,0.8004695,0.6409303,0.82046515,0.54954153,0.77477074,0.5968385,0.79841924,0.6188845,0.8094423,0.6293942,0.8146971,0.707703,0.8538515,0.6563452,0.82817256,0.7188677,0.8594339,0.68801713,0.84400856
56528,0.59938437,0.79969215,0.56580395,0.782902,0.48383257,0.7419163,0.547922,0.773961,0.6152727,0.8076364,0.6886382,0.8443191,0.6477678,0.8238839,0.6559643,0.8279822,0.68255925,0.8412796,0.6810844,0.8405422
56542,0.6664492,0.8332246,0.6573943,0.82869714,0.5791227,0.7895614,0.6144403,0.80722016,0.7461093,0.8730546,0.7400527,0.87002635,0.7763927,0.88819635,0.75495625,0.8774781,0.7155012,0.8577506,0.7671273,0.88356364
56543,0.4788806,0.7394403,0.51570994,0.75785494,0.42862564,0.7143128,0.44443676,0.7222184,0.5204247,0.76021236,0.61958694,0.8097935,0.6407217,0.82036084,0.5947356,0.7973678,0.63987577,0.8199379,0.6474935,0.82374674
56544,0.59629714,0.7981486,0.63156426,0.8157821,0.579728,0.789864,0.62485135,0.8124257,0.62289107,0.81144553,0.6504997,0.82524985,0.6461092,0.8230546,0.658447,0.8292235,0.69187987,0.84593993,0.7042691,0.8521346
56545,0.54834306,0.77417153,0.60363805,0.801819,0.4891131,0.74455655,0.54555774,0.77277887,0.5187061,0.75935304,0.493078,0.746539,0.5237931,0.76189655,0.6147222,0.8073611,0.60790753,0.80395377,0.55762833,0.7788142
56618,0.59098125,0.7954906,0.6491189,0.82455945,0.5539502,0.7769751,0.59560597,0.797803,0.60694605,0.803473,0.63412476,0.8170624,0.67049265,0.8352463,0.7189772,0.8594886,0.71888906,0.8594445,0.7005968,0.8502984
56619,0.5386246,0.76931226,0.54866713,0.7743336,0.47156638,0.7357832,0.50554645,0.7527732,0.57478213,0.78739107,0.6663997,0.83319986,0.6876719,0.84383595,0.64088154,0.82044077,0.67623675,0.8381184,0.7089561,0.85447806
56629,0.7653215,0.88266075,0.70427865,0.85213935,0.69771546,0.84885776,0.68038553,0.8401928,0.7241198,0.8620599,0.8074541,0.90372705,0.72532606,0.86266303,0.83135164,0.9156758,0.77222157,0.8861108,0.80685395,0.903427
56630,0.49471793,0.747359,0.5370705,0.76853526,0.44407302,0.7220365,0.48900592,0.74450296,0.514901,0.75745046,0.6359495,0.81797475,0.6250671,0.81253356,0.64200985,0.8210049,0.7003677,0.85018384,0.69927025,0.8496351
56631,0.6034795,0.80173975,0.6576247,0.82881236,0.5941092,0.7970546,0.5875398,0.7937699,0.654762,0.827381,0.71067405,0.855337,0.7040214,0.8520107,0.72341436,0.8617072,0.7829187,0.89145935,0.8089273,0.90446365
56632,0.7469729,0.87348646,0.7143369,0.85716844,0.66313696,0.8315685,0.6720098,0.8360049,0.75700915,0.8785046,0.86439586,0.9321979,0.8276895,0.91384476,0.85291106,0.9264555,0.8221649,0.91108245,0.8891226,0.9445613
56633,0.63371867,0.81685936,0.5824897,0.79124486,0.6032468,0.8016234,0.58276665,0.7913833,0.574926,0.787463,0.6721201,0.83606005,0.6233301,0.81166506,0.6688665,0.83443326,0.67263556,0.8363178,0.6743736,0.8371868
56634,0.52669775,0.7633489,0.5244242,0.7622121,0.511129,0.7555645,0.490524,0.745262,0.5440206,0.7720103,0.6004349,0.80021745,0.5664887,0.7832444,0.59376454,0.7968823,0.68241364,0.8412068,0.6477153,0.82385767
56635,0.4768273,0.73841363,0.5487397,0.77436984,0.47601756,0.7380088,0.48004502,0.74002254,0.49965197,0.74982595,0.6047192,0.8023596,0.5864012,0.7932006,0.60091627,0.80045813,0.64066935,0.8203347,0.6531568,0.8265784
56637,0.56830764,0.7841538,0.59269696,0.79634845,0.4913714,0.7456857,0.58626044,0.7931302,0.6025717,0.80128586,0.6379945,0.81899726,0.6314965,0.8157482,0.6775317,0.83876586,0.64944184,0.8247209,0.6603737,0.83018684
56638,0.62022936,0.8101147,0.61127377,0.8056369,0.5363469,0.76817346,0.55980724,0.77990365,0.653398,0.826699,0.7078365,0.85391825,0.75596136,0.8779807,0.72234243,0.86117125,0.6940665,0.84703326,0.74024117,0.8701206
56639,0.47233275,0.73616636,0.50188017,0.7509401,0.46673143,0.7333657,0.46001232,0.73000616,0.54185236,0.7709262,0.63729405,0.818647,0.677194,0.838597,0.6034269,0.80171347,0.68437934,0.84218967,0.6998045,0.8499023
56641,0.5769892,0.7884946,0.57692283,0.78846145,0.53455985,0.7672799,0.5604458,0.7802229,0.6149857,0.80749285,0.70928407,0.85464203,0.7143123,0.85715616,0.6753582,0.8376791,0.7009695,0.8504847,0.7482204,0.8741102
56642,0.58156574,0.79078287,0.5822798,0.7911399,0.50955516,0.75477755,0.5231412,0.7615706,0.5852723,0.79263616,0.6779343,0.83896714,0.70219314,0.8510966,0.64944935,0.8247247,0.7203877,0.86019385,0.7179247,0.85896236
56643,0.67825246,0.8391262,0.6990318,0.8495159,0.65586317,0.8279316,0.646561,0.8232805,0.67288935,0.8364447,0.6490762,0.8245381,0.5914495,0.79572475,0.72246647,0.86123323,0.6886489,0.84432447,0.64115894,0.82057947
56644,0.48068482,0.7403424,0.5265385,0.76326925,0.44070485,0.7203524,0.5324182,0.7662091,0.5415335,0.77076674,0.5383638,0.7691819,0.6256443,0.81282216,0.5848056,0.7924028,0.6361208,0.8180604,0.6129799,0.80648994
56645,0.55298483,0.7764924,0.57054305,0.7852715,0.5421218,0.77106094,0.5939933,0.79699665,0.536917,0.7684585,0.6253201,0.81266004,0.6026006,0.8013003,0.67599285,0.8379964,0.69530857,0.8476543,0.6973536,0.8486768
56646,0.48447472,0.7422373,0.47703236,0.7385162,0.40873927,0.70436966,0.4658416,0.73292077,0.4930386,0.7465193,0.56669927,0.78334963,0.58860755,0.7943038,0.5464351,0.77321756,0.6014012,0.8007006,0.6000556,0.8000278
56647,0.59254956,0.7962748,0.6292733,0.81463665,0.54148626,0.77074313,0.5905064,0.79525316,0.6303363,0.81516814,0.70528185,0.8526409,0.70218927,0.8510946,0.7098042,0.8549021,0.73299,0.866495,0.76893276,0.8844664
56648,0.67943454,0.83971727,0.66389906,0.83194953,0.5935558,0.7967779,0.64975,0.824875,0.68745047,0.8437252,0.74354863,0.8717743,0.7533823,0.87669116,0.7454467,0.87272334,0.7435287,0.87176436,0.7756127,0.88780636
56649,0.6523143,0.82615715,0.634393,0.8171965,0.56906104,0.7845305,0.59589297,0.79794645,0.64377135,0.8218857,0.7015333,0.85076666,0.6378997,0.8189498,0.6864746,0.8432373,0.73558307,0.86779153,0.71611285,0.8580564
56650,0.57497704,0.7874885,0.6044642,0.8022321,0.54688424,0.77344215,0.52995276,0.7649764,0.6295828,0.81479144,0.691039,0.84551954,0.722598,0.86129904,0.6800711,0.84003556,0.7266715,0.8633357,0.75604945,0.8780247
56651,0.48645493,0.7432275,0.48759577,0.7437979,0.45698327,0.72849166,0.46799093,0.73399544,0.5143107,0.75715536,0.5613026,0.78065133,0.57628465,0.7881423,0.56412864,0.7820643,0.601526,0.800763,0.6080713,0.80403566
56652,0.6467397,0.82336986,0.6659441,0.83297205,0.597005,0.7985025,0.6214988,0.8107494,0.652246,0.826123,0.6544626,0.8272313,0.65330803,0.826654,0.6843722,0.8421861,0.7077173,0.85385865,0.688097,0.8440485
56653,0.48785287,0.7439264,0.52077276,0.76038635,0.45190477,0.7259524,0.46988738,0.7349437,0.50836873,0.75418437,0.56849915,0.78424954,0.6004693,0.8002347,0.57904184,0.7895209,0.63207805,0.816039,0.63900024,0.8195001
56654,0.7562323,0.87811613,0.72663534,0.86331767,0.6992291,0.84961456,0.67762995,0.838815,0.79989266,0.89994633,0.816179,0.9080895,0.7826457,0.89132285,0.810583,0.9052915,0.8057042,0.90285206,0.85878396,0.929392
56656,0.5945761,0.79728806,0.6089686,0.8044843,0.5511718,0.7755859,0.545035,0.7725175,0.6466801,0.82334006,0.6853137,0.84265685,0.70061696,0.8503085,0.66734636,0.8336732,0.70616746,0.8530837,0.70448273,0.8522414
56657,0.5064956,0.7532478,0.44996807,0.72498405,0.42640087,0.71320045,0.42527682,0.7126384,0.52933323,0.7646666,0.6892164,0.8446082,0.65128493,0.82564247,0.5796603,0.78983015,0.6456809,0.82284045,0.70060253,0.85030127
56661,0.6695696,0.8347848,0.68374866,0.84187436,0.57975936,0.7898797,0.60762656,0.8038133,0.6779547,0.83897734,0.7456651,0.87283254,0.6846734,0.8423367,0.73768973,0.86884487,0.7544591,0.8772296,0.7564456,0.8782228
56662,0.49733722,0.7486686,0.57181585,0.7859079,0.4568984,0.7284492,0.5282957,0.7641479,0.52118033,0.7605902,0.61029565,0.8051478,0.6071347,0.80356735,0.67974377,0.8398719,0.7308219,0.8654109,0.66267467,0.83133733
