Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_doordash_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_apple_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_samsara_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_yelp_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_match_pm_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_i2c_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_adobe_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_amazon_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_rowan_ux_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Raw_Score,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_google_ux_Score
56644,0.44298267,0.72149134,0.4952899,0.74764496,0.38257113,0.69128555,0.4819417,0.74097085,0.50583875,0.7529194,0.5087985,0.75439924,0.5926131,0.79630655,0.53500366,0.76750183,0.62277955,0.8113898,0.57613015,0.7880651
56645,0.63289857,0.8164493,0.62393916,0.8119696,0.5719255,0.78596276,0.6081526,0.8040763,0.6423773,0.8211887,0.6941668,0.8470834,0.6914482,0.8457241,0.7418198,0.8709099,0.7194203,0.85971016,0.7368102,0.8684051
56646,0.5050903,0.7525451,0.5229034,0.7614517,0.42945677,0.71472836,0.5192288,0.7596144,0.50164086,0.7508204,0.55495816,0.77747905,0.57517797,0.78758895,0.5767418,0.7883709,0.6055584,0.8027792,0.5995968,0.79979837
56647,0.7110418,0.8555209,0.7344159,0.86720794,0.66003203,0.830016,0.6885799,0.84428996,0.7577359,0.878868,0.77478325,0.8873916,0.7828181,0.89140904,0.81048435,0.9052422,0.7823967,0.89119834,0.8273538,0.91367686
56648,0.6807138,0.8403569,0.6446576,0.8223288,0.6130185,0.80650926,0.643695,0.8218475,0.66753197,0.833766,0.7120203,0.85601014,0.6662298,0.83311486,0.7574937,0.87874687,0.72954,0.86477,0.71198964,0.8559948
56649,0.62124974,0.81062484,0.6390809,0.81954044,0.55819666,0.77909833,0.58105075,0.7905254,0.61705124,0.8085256,0.67620635,0.8381032,0.60860634,0.80430317,0.6727047,0.83635235,0.70759165,0.8537958,0.6824171,0.8412086
56650,0.65725666,0.8286283,0.6537572,0.8268786,0.60606676,0.80303335,0.5937357,0.79686785,0.7108459,0.855423,0.7752404,0.8876202,0.7793739,0.88968694,0.74849194,0.874246,0.7690794,0.8845397,0.81701684,0.9085084
56651,0.5320895,0.76604474,0.5558298,0.7779149,0.51774967,0.75887483,0.5254967,0.76274836,0.58834624,0.7941731,0.6177677,0.80888385,0.63929904,0.8196495,0.62685704,0.8134285,0.6548811,0.82744056,0.64865845,0.82432926
56652,0.7589832,0.87949157,0.722284,0.86114204,0.6638096,0.83190477,0.675467,0.8377335,0.77067137,0.8853357,0.8130009,0.90650046,0.7853762,0.8926881,0.82977176,0.9148859,0.8086173,0.9043087,0.8310424,0.9155212
56653,0.48132822,0.7406641,0.50428027,0.75214016,0.45656106,0.72828054,0.4605875,0.73029375,0.48385364,0.7419268,0.55376697,0.7768835,0.551682,0.775841,0.5855838,0.7927919,0.6045216,0.80226076,0.6053455,0.80267274
56654,0.71496785,0.8574839,0.6975993,0.84879965,0.63308156,0.8165408,0.6381993,0.81909966,0.7689427,0.88447136,0.83587587,0.91793793,0.8143907,0.9071953,0.8056433,0.90282166,0.80869675,0.9043484,0.8737627,0.93688136
56656,0.5820629,0.7910315,0.59654224,0.7982711,0.5436152,0.7718076,0.5344992,0.7672496,0.62294924,0.8114746,0.676723,0.8383615,0.6830629,0.84153146,0.64433444,0.8221672,0.6931437,0.84657186,0.6907768,0.8453884
56657,0.5174727,0.7587364,0.45679665,0.7283983,0.42080063,0.71040034,0.4338727,0.71693635,0.55507153,0.7775358,0.71974874,0.85987437,0.68995905,0.8449795,0.60377246,0.8018862,0.63997287,0.81998646,0.72996235,0.8649812
56661,0.732295,0.8661475,0.705161,0.8525805,0.61346376,0.8067319,0.6312554,0.8156277,0.7366378,0.8683189,0.8072434,0.9036217,0.7253058,0.8626529,0.78212965,0.8910648,0.777668,0.888834,0.8061719,0.90308595
56662,0.62940973,0.8147049,0.6687626,0.83438134,0.5594835,0.77974176,0.62143123,0.8107156,0.6333163,0.81665814,0.69050014,0.84525007,0.67788315,0.8389416,0.7704334,0.8852167,0.77566224,0.8878311,0.74212945,0.8710647
56725,0.6761653,0.8380827,0.66132003,0.83066,0.60342896,0.8017145,0.63923514,0.81961757,0.7061645,0.85308224,0.7841029,0.89205146,0.74762714,0.87381357,0.7859472,0.8929736,0.7310817,0.86554086,0.8197186,0.9098593
56795,0.5774319,0.78871596,0.62821627,0.81410813,0.5444405,0.77222025,0.58748317,0.7937416,0.62735593,0.81367797,0.66962075,0.8348104,0.72852796,0.864264,0.74327433,0.87163717,0.7221453,0.86107266,0.7467969,0.8733984
56796,0.63948214,0.8197411,0.63091886,0.81545943,0.5864885,0.79324424,0.5859889,0.79299444,0.6972389,0.84861946,0.77708024,0.88854015,0.7276044,0.8638022,0.79396033,0.89698017,0.74442744,0.8722137,0.77768743,0.8888437
56797,0.6023443,0.80117214,0.608202,0.804101,0.537776,0.768888,0.55635935,0.77817965,0.60842025,0.8042101,0.6709005,0.8354503,0.6604885,0.83024424,0.70135987,0.85067993,0.699465,0.8497325,0.69486654,0.84743327
56798,0.531096,0.765548,0.58059883,0.7902994,0.48603508,0.74301755,0.5193364,0.75966823,0.58074194,0.79037094,0.6429955,0.82149774,0.70696396,0.853482,0.6574947,0.8287474,0.67948174,0.8397409,0.7117417,0.85587084
56799,0.60093284,0.8004664,0.5844835,0.79224175,0.5200659,0.76003295,0.5411337,0.7705668,0.6426368,0.8213184,0.7138899,0.8569449,0.7409829,0.87049145,0.7014576,0.8507288,0.708542,0.854271,0.7727212,0.8863606
56800,0.6129239,0.80646193,0.59729046,0.79864526,0.5286742,0.76433706,0.5920572,0.7960286,0.55682194,0.778411,0.60887575,0.8044379,0.52493894,0.7624695,0.6443447,0.82217234,0.6250724,0.81253624,0.6070409,0.80352044
56801,0.5981473,0.79907364,0.58799124,0.7939956,0.5782777,0.78913885,0.5511707,0.77558535,0.61085796,0.805429,0.71723676,0.8586184,0.6522917,0.8261459,0.6918334,0.8459167,0.69714755,0.8485738,0.7224126,0.8612063
56802,0.53853345,0.7692667,0.5219463,0.76097316,0.4953742,0.7476871,0.47954816,0.7397741,0.54985666,0.77492833,0.6650146,0.8325073,0.6735678,0.8367839,0.6372762,0.8186381,0.7000358,0.8500179,0.72197485,0.8609874
56803,0.6864971,0.84324855,0.64698297,0.82349145,0.62038505,0.8101925,0.6416661,0.8208331,0.6826885,0.84134424,0.7814863,0.89074314,0.7591338,0.8795669,0.7686465,0.88432324,0.7645323,0.88226616,0.8282374,0.9141187
56804,0.7195831,0.8597915,0.6942016,0.8471008,0.6226547,0.81132734,0.66555953,0.83277977,0.7140709,0.85703546,0.75831777,0.87915885,0.696999,0.84849954,0.8042563,0.90212816,0.7617129,0.88085645,0.76122844,0.8806142
56805,0.5584849,0.77924246,0.52432686,0.7621634,0.51336193,0.75668097,0.5477973,0.77389866,0.50390536,0.75195265,0.59276456,0.7963823,0.50482976,0.7524149,0.6257381,0.8128691,0.65494895,0.8274745,0.61479807,0.80739903
56807,0.720314,0.860157,0.71643555,0.8582178,0.63001645,0.8150082,0.6372316,0.8186158,0.75373626,0.8768681,0.79397094,0.8969855,0.805428,0.902714,0.7861584,0.89307916,0.8039677,0.90198386,0.8382375,0.91911876
56809,0.6766175,0.83830875,0.7073238,0.8536619,0.64329743,0.8216487,0.6686269,0.83431345,0.6885365,0.84426826,0.7222791,0.86113954,0.74681723,0.8734086,0.80651796,0.903259,0.7876858,0.89384294,0.77524114,0.88762057
56859,0.5643892,0.7821946,0.5626317,0.78131586,0.46521664,0.7326083,0.5597122,0.7798561,0.5729696,0.78648484,0.63834465,0.8191723,0.6261486,0.8130743,0.638736,0.819368,0.684699,0.8423495,0.6679466,0.8339733
56860,0.68053293,0.84026647,0.67653126,0.83826566,0.6441947,0.82209736,0.7127639,0.85638195,0.6993314,0.8496657,0.7536535,0.87682676,0.71951336,0.8597567,0.7897823,0.89489114,0.7792819,0.8896409,0.8216971,0.91084856
56861,0.58106506,0.7905325,0.5604188,0.7802094,0.5334791,0.76673955,0.60338414,0.80169207,0.5990764,0.7995382,0.6576251,0.82881254,0.66703296,0.8335165,0.68753064,0.8437653,0.69259167,0.84629583,0.7002448,0.8501224
56862,0.60034275,0.8001714,0.614656,0.807328,0.50633955,0.7531698,0.5336464,0.7668232,0.57994926,0.78997463,0.6497023,0.82485116,0.6280577,0.81402886,0.67341167,0.8367058,0.6854898,0.8427449,0.6654219,0.832711
57384,0.7165772,0.8582886,0.6775641,0.8387821,0.64329416,0.82164705,0.6143216,0.8071608,0.7411489,0.8705745,0.854367,0.9271835,0.78367984,0.8918399,0.8097909,0.9048954,0.7572197,0.87860984,0.8256067,0.91280335
57400,0.80155957,0.9007798,0.72586787,0.86293393,0.66727364,0.8336368,0.6464379,0.82321894,0.7794119,0.88970596,0.83480376,0.9174019,0.7774379,0.88871896,0.8082187,0.90410936,0.7107494,0.8553747,0.80333686,0.9016684
62042,0.7046706,0.85233533,0.65776503,0.8288825,0.6436595,0.82182974,0.6459033,0.8229517,0.6658839,0.83294195,0.68299055,0.8414953,0.6287998,0.8143999,0.68388796,0.841944,0.6755719,0.83778596,0.6561136,0.8280568
63086,0.49195823,0.74597913,0.53513044,0.76756525,0.452509,0.72625446,0.47280228,0.73640114,0.5414823,0.77074116,0.6146475,0.80732375,0.63845396,0.819227,0.62291074,0.81145537,0.6421435,0.82107174,0.6454597,0.8227298
