Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_doordash_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_doordash_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_apple_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_apple_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_samsara_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_samsara_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_yelp_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_yelp_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_match_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_match_pm_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_i2c_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_i2c_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_adobe_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_adobe_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_amazon_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_amazon_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_rowan_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_rowan_ux_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_google_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_google_ux_Score
56544,0.63469857,0.8173493,0.66795766,0.83397883,0.5998324,0.7999162,0.606325,0.80316246,0.6725751,0.83628756,0.7232618,0.8616309,0.7043955,0.85219777,0.72030926,0.8601546,0.72420573,0.86210287,0.76892895,0.8844645
56545,0.5318743,0.76593715,0.6002676,0.8001338,0.47097087,0.73548543,0.529057,0.7645285,0.51023537,0.75511765,0.5022204,0.7511102,0.5147445,0.75737226,0.6098043,0.80490214,0.6088413,0.80442065,0.5427803,0.77139014
56618,0.7317779,0.86588895,0.72223246,0.86111623,0.6388091,0.81940454,0.65515614,0.82757807,0.7144635,0.85723174,0.7771945,0.88859725,0.74049854,0.8702493,0.829482,0.91474104,0.8087758,0.9043879,0.81697404,0.908487
56619,0.6403831,0.82019156,0.6252041,0.81260204,0.5469147,0.77345735,0.598436,0.799218,0.6466639,0.82333195,0.756524,0.87826204,0.7187561,0.85937804,0.7224247,0.8612124,0.75957924,0.8797896,0.7896098,0.8948049
56629,0.7494831,0.87474155,0.69847226,0.84923613,0.6340535,0.81702673,0.6618461,0.8309231,0.71373683,0.8568684,0.8171016,0.9085508,0.73114765,0.8655738,0.8137399,0.90686995,0.77629423,0.8881471,0.8078128,0.9039064
56630,0.6557477,0.8278738,0.63182706,0.81591356,0.5683178,0.7841589,0.5906527,0.79532635,0.677999,0.8389995,0.7623352,0.8811676,0.73742664,0.8687133,0.7523799,0.87618995,0.75710434,0.8785522,0.8067223,0.90336114
56631,0.6313387,0.81566936,0.6190158,0.8095079,0.5475012,0.7737506,0.57189417,0.7859471,0.6477451,0.82387257,0.73257935,0.8662897,0.6612566,0.8306283,0.7261509,0.86307544,0.7419585,0.87097925,0.7709429,0.88547146
56632,0.7305863,0.86529315,0.707209,0.8536045,0.62208295,0.8110415,0.67886007,0.83943003,0.7509076,0.8754538,0.8280221,0.91401106,0.7872559,0.89362794,0.8375137,0.91875684,0.8103457,0.9051728,0.8418937,0.92094684
56633,0.62751186,0.8137559,0.63245094,0.81622547,0.5616307,0.78081536,0.5988612,0.7994306,0.6515343,0.82576716,0.7259501,0.86297506,0.7242893,0.86214465,0.714911,0.8574555,0.75073606,0.875368,0.80004734,0.9000237
56634,0.60083586,0.8004179,0.6095512,0.8047756,0.5053813,0.7526907,0.53447664,0.7672383,0.62456405,0.812282,0.7147726,0.8573863,0.70442533,0.85221267,0.6907084,0.8453542,0.7595391,0.87976956,0.76598954,0.8829948
56635,0.6551826,0.8275913,0.6472384,0.8236192,0.575901,0.7879505,0.5900655,0.79503274,0.6781242,0.8390621,0.7959311,0.89796555,0.7680172,0.8840086,0.754326,0.877163,0.7699052,0.8849526,0.8430774,0.9215387
56637,0.6200306,0.8100153,0.6087016,0.8043508,0.5081928,0.7540964,0.59565496,0.7978275,0.6462804,0.8231402,0.7281239,0.86406195,0.67237985,0.8361899,0.7247621,0.86238104,0.7061699,0.8530849,0.73959947,0.86979973
56638,0.66920966,0.83460486,0.6637503,0.83187515,0.5991363,0.7995682,0.60405374,0.80202687,0.71433973,0.85716987,0.78040993,0.89020497,0.80228555,0.9011428,0.78693056,0.8934653,0.7581283,0.87906414,0.8006007,0.9003004
56639,0.47816652,0.7390833,0.496166,0.748083,0.44514793,0.722574,0.44650072,0.7232504,0.5158146,0.7579073,0.60375017,0.8018751,0.61757165,0.8087858,0.5645045,0.78225225,0.62969273,0.8148464,0.6640768,0.8320384
56641,0.58670694,0.79335344,0.5618553,0.78092766,0.5180906,0.7590453,0.55706203,0.778531,0.6083908,0.8041954,0.7074793,0.8537396,0.70065457,0.85032725,0.6633167,0.83165836,0.6874293,0.84371465,0.74442154,0.87221074
56642,0.6212552,0.8106276,0.58515286,0.79257643,0.53689694,0.7684485,0.5490314,0.7745157,0.606104,0.803052,0.7077425,0.8538712,0.7037338,0.8518669,0.6659888,0.8329944,0.73768544,0.8688427,0.7436092,0.8718046
56643,0.75117964,0.87558985,0.7028011,0.85140055,0.6732093,0.83660465,0.6740829,0.83704144,0.6878302,0.8439151,0.73466074,0.8673304,0.6300721,0.81503606,0.7509433,0.87547165,0.73054355,0.8652718,0.7148299,0.85741496
56644,0.56250834,0.7812542,0.5683698,0.78418493,0.4770729,0.7385365,0.5397009,0.7698505,0.54342526,0.77171266,0.59245044,0.7962252,0.6164709,0.8082354,0.6024102,0.8012051,0.65604997,0.828025,0.6537831,0.82689154
56645,0.6919855,0.84599274,0.69029987,0.84514993,0.6124109,0.80620545,0.6597527,0.82987636,0.67579556,0.8378978,0.7802916,0.8901458,0.7069997,0.8534999,0.79378104,0.8968905,0.77856624,0.8892831,0.78432405,0.892162
56646,0.6383889,0.81919444,0.60128367,0.80064183,0.52387863,0.7619393,0.58377653,0.79188824,0.6344609,0.81723046,0.7504524,0.8752262,0.68495965,0.8424798,0.701774,0.850887,0.72350514,0.86175257,0.74432564,0.8721628
56647,0.7040423,0.85202116,0.6869191,0.84345955,0.6056719,0.80283594,0.6425965,0.82129824,0.70209664,0.85104835,0.79208386,0.8960419,0.7453004,0.8726502,0.7573608,0.8786804,0.76711607,0.88355803,0.81114995,0.905575
56648,0.6762271,0.83811355,0.6756119,0.837806,0.5883688,0.7941844,0.6496533,0.82482666,0.68400526,0.84200263,0.7042959,0.85214794,0.709479,0.8547395,0.74760056,0.8738003,0.7409848,0.8704924,0.72791934,0.86395967
56649,0.6355197,0.8177599,0.63801277,0.8190064,0.56789774,0.7839489,0.58359647,0.79179823,0.6051534,0.80257666,0.6495038,0.8247519,0.5879991,0.79399955,0.663007,0.8315035,0.703689,0.8518445,0.6656119,0.832806
56650,0.6511272,0.8255636,0.66006017,0.8300301,0.6117509,0.8058754,0.61322975,0.8066149,0.665578,0.832789,0.71987635,0.85993814,0.72803926,0.86401963,0.7260817,0.86304086,0.73402387,0.8670119,0.772802,0.886401
56651,0.6384406,0.8192203,0.5779097,0.78895485,0.5302605,0.7651303,0.5396763,0.76983815,0.6454914,0.8227457,0.7477462,0.8738731,0.6929406,0.8464703,0.69060874,0.84530437,0.71517456,0.8575873,0.7578194,0.8789097
56652,0.6729809,0.83649045,0.6877643,0.84388214,0.5886092,0.7943046,0.62176704,0.8108835,0.67335355,0.8366768,0.7112124,0.8556062,0.6769201,0.8384601,0.7547137,0.8773569,0.7387456,0.86937284,0.7192354,0.8596177
56653,0.6513723,0.82568616,0.6418015,0.82090074,0.5982535,0.79912674,0.5879043,0.7939521,0.64632696,0.8231635,0.7127388,0.8563694,0.65304387,0.82652193,0.7215006,0.8607503,0.72889924,0.8644496,0.74499595,0.872498
56654,0.7656845,0.88284224,0.69873834,0.84936917,0.63681406,0.81840706,0.6438489,0.82192445,0.7617345,0.88086724,0.84292257,0.9214613,0.78700995,0.893505,0.7786666,0.8893333,0.790421,0.8952105,0.84487367,0.92243683
56656,0.6151519,0.80757594,0.6213143,0.81065714,0.5851675,0.79258376,0.57909274,0.7895464,0.6376343,0.81881714,0.6780188,0.8390094,0.6940803,0.8470402,0.6709271,0.8354635,0.7151325,0.85756624,0.7612564,0.8806282
56657,0.5047301,0.75236505,0.4589885,0.7294942,0.42707524,0.71353763,0.44246352,0.72123176,0.53281415,0.7664071,0.6830801,0.84154004,0.64835536,0.8241777,0.59122264,0.7956113,0.6456827,0.82284135,0.6950472,0.84752357
56661,0.72692454,0.86346227,0.7131249,0.85656244,0.60755765,0.8037788,0.62267315,0.8113366,0.71214116,0.8560706,0.78952956,0.8947648,0.70341134,0.8517057,0.7722748,0.88613737,0.752228,0.876114,0.7712927,0.88564634
56662,0.62409544,0.8120477,0.6547749,0.82738745,0.5830574,0.7915287,0.64741945,0.8237097,0.6096709,0.80483544,0.6727615,0.8363807,0.6479672,0.8239836,0.74223506,0.87111753,0.7527358,0.8763679,0.7697955,0.8848977
56725,0.635978,0.817989,0.62398624,0.8119931,0.5129621,0.75648105,0.58661413,0.79330707,0.6329072,0.8164536,0.74655783,0.8732789,0.7213588,0.8606794,0.7197654,0.8598827,0.7269347,0.86346734,0.789245,0.8946225
56795,0.65747344,0.8287367,0.6421592,0.8210796,0.5989576,0.79947877,0.59857476,0.7992874,0.715735,0.8578675,0.80660784,0.9033039,0.78702235,0.8935112,0.8120501,0.90602505,0.79714775,0.8985739,0.84898794,0.92449397
56796,0.5804372,0.7902186,0.6078223,0.80391115,0.5389463,0.76947314,0.5546152,0.7773076,0.65272117,0.8263606,0.6747861,0.83739305,0.71539086,0.85769546,0.706535,0.8532675,0.6753849,0.83769244,0.70399165,0.8519958
56797,0.6377226,0.8188613,0.6517463,0.82587314,0.5246687,0.76233435,0.5762589,0.78812945,0.63240314,0.81620157,0.6918247,0.84591234,0.6739105,0.83695525,0.70988345,0.8549417,0.7261975,0.86309874,0.7275499,0.86377496
56798,0.67633116,0.8381656,0.6506554,0.8253277,0.57141197,0.785706,0.61525357,0.8076268,0.66248906,0.8312445,0.7213379,0.86066896,0.7626885,0.88134426,0.6980967,0.8490484,0.7311347,0.8655673,0.7680742,0.88403714
56799,0.6064601,0.80323005,0.5573462,0.7786731,0.50036097,0.7501805,0.50672525,0.75336266,0.6149845,0.80749226,0.7342001,0.86710006,0.7060425,0.85302126,0.68208116,0.8410406,0.72612244,0.8630612,0.77047807,0.885239
56800,0.6447974,0.82239866,0.61441743,0.8072087,0.53783786,0.76891893,0.6162491,0.80812454,0.58133423,0.7906671,0.6550212,0.8275106,0.5954572,0.7977286,0.6699195,0.83495975,0.6763133,0.83815664,0.6703085,0.83515424
56801,0.64476335,0.8223817,0.6271105,0.81355524,0.55716443,0.7785822,0.5608218,0.7804109,0.642185,0.8210925,0.75361466,0.87680733,0.6732896,0.83664477,0.69984484,0.8499224,0.7208122,0.8604061,0.7431154,0.8715577
56802,0.5769888,0.7884944,0.5520214,0.7760107,0.4980676,0.7490338,0.5295491,0.76477456,0.57087183,0.7854359,0.69699156,0.8484958,0.6610774,0.8305387,0.6644402,0.8322201,0.7326796,0.8663398,0.74616337,0.8730817
56803,0.7302897,0.86514485,0.7138467,0.85692334,0.6303166,0.8151583,0.6357866,0.81789327,0.72937965,0.8646898,0.82336104,0.9116805,0.77180696,0.8859035,0.81469965,0.9073498,0.76739585,0.8836979,0.83666337,0.9183317
56804,0.72520816,0.8626041,0.7035723,0.85178614,0.6301907,0.8150953,0.66317934,0.8315897,0.7075896,0.8537948,0.76012033,0.8800602,0.6988778,0.8494389,0.79787445,0.8989372,0.7784776,0.88923883,0.75652003,0.87826
56805,0.62266755,0.8113338,0.54439485,0.7721974,0.5500406,0.7750203,0.5852175,0.79260874,0.5416464,0.77082324,0.6460388,0.8230194,0.5575777,0.77878886,0.6543115,0.8271557,0.6830609,0.84153044,0.67420506,0.83710253
56807,0.6506086,0.82530427,0.6924895,0.84624475,0.58440065,0.7922003,0.60630655,0.8031533,0.66684186,0.83342093,0.6774272,0.8387136,0.72070616,0.8603531,0.7093351,0.85466754,0.74290705,0.8714535,0.7516908,0.87584543
56809,0.7412538,0.8706269,0.69190145,0.8459507,0.6504091,0.82520455,0.66858375,0.8342919,0.7361548,0.8680774,0.83022964,0.9151148,0.74453264,0.8722663,0.82690954,0.9134548,0.78304327,0.89152163,0.8197924,0.9098962
56859,0.5782558,0.7891279,0.5528442,0.77642214,0.46104634,0.73052317,0.5770121,0.78850603,0.56524557,0.7826228,0.6510985,0.82554924,0.62362367,0.8118118,0.63595283,0.8179764,0.69697857,0.8484893,0.6775397,0.83876985
56860,0.66089475,0.8304474,0.6651922,0.83259606,0.6113021,0.80565107,0.7224417,0.86122084,0.66413164,0.8320658,0.73144245,0.8657212,0.67237914,0.83618957,0.7584696,0.8792348,0.7690423,0.8845211,0.76982224,0.8849111
56861,0.67499566,0.83749783,0.60638225,0.8031911,0.5531649,0.7765825,0.6216266,0.8108133,0.6323446,0.8161723,0.72132677,0.8606634,0.67316985,0.8365849,0.70335275,0.85167634,0.705337,0.8526685,0.73207784,0.8660389
56862,0.6725219,0.8362609,0.6768445,0.83842224,0.5643803,0.78219014,0.6276531,0.81382656,0.6676297,0.83381486,0.7405551,0.8702775,0.7411521,0.870576,0.7357404,0.8678702,0.7539067,0.87695336,0.7795167,0.88975835
57384,0.7489738,0.8744869,0.71245205,0.856226,0.6589097,0.82945484,0.6592279,0.8296139,0.7537731,0.87688655,0.8573451,0.92867255,0.77834606,0.88917303,0.8113581,0.90567905,0.7771317,0.88856584,0.8463696,0.9231848
57400,0.78385997,0.89193,0.7331518,0.8665759,0.6939043,0.84695214,0.6632925,0.83164626,0.76559615,0.8827981,0.801835,0.90091753,0.7303812,0.8651906,0.8209754,0.9104877,0.7364222,0.8682111,0.81926864,0.90963435
62042,0.73868424,0.8693421,0.6989112,0.8494556,0.67911935,0.8395597,0.6625145,0.8312572,0.6924702,0.8462351,0.70682234,0.8534112,0.624213,0.8121065,0.70704925,0.8535246,0.6742012,0.8371006,0.6636358,0.83181787
63086,0.51479256,0.7573963,0.5188867,0.75944334,0.48025274,0.7401264,0.4858424,0.74292123,0.53787386,0.76893693,0.6396531,0.81982654,0.62057894,0.8102895,0.6129608,0.8064804,0.68168676,0.8408434,0.69108295,0.8455415
63087,0.63470805,0.817354,0.6126952,0.8063476,0.5531086,0.7765543,0.600842,0.800421,0.64713407,0.82356703,0.706432,0.853216,0.72941077,0.8647054,0.6750431,0.83752155,0.6906687,0.84533435,0.7391801,0.86959004
83710,0.69168615,0.8458431,0.68885523,0.8444276,0.5990207,0.79951036,0.6687655,0.8343828,0.69949275,0.84974635,0.7601801,0.88009006,0.689586,0.84479296,0.7742052,0.8871026,0.7694013,0.88470066,0.7754884,0.8877442
83711,0.5406658,0.77033293,0.6013472,0.8006736,0.54678893,0.77339447,0.5457094,0.7728547,0.4889479,0.74447393,0.47639596,0.738198,0.47645605,0.738228,0.57977015,0.78988504,0.5724112,0.7862056,0.5088471,0.75442356
86666,0.62963563,0.8148178,0.7115733,0.8557867,0.6143311,0.80716556,0.6337522,0.8168761,0.6455285,0.8227643,0.71498555,0.8574928,0.74198633,0.87099314,0.7707361,0.88536805,0.78253335,0.8912667,0.7956344,0.8978172
87779,0.4626027,0.73130137,0.5179771,0.75898856,0.41899067,0.7094953,0.5175033,0.75875163,0.44565287,0.7228264,0.41993064,0.70996535,0.47666234,0.7383312,0.4738897,0.73694485,0.5065989,0.7532995,0.46023417,0.7301171
97622,0.6901375,0.84506875,0.70344174,0.85172087,0.68327117,0.8416356,0.6124625,0.80623126,0.7389271,0.86946356,0.8376365,0.91881824,0.75926393,0.879632,0.83980393,0.91990197,0.7837211,0.89186054,0.83636016,0.9181801
