,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
30845,0.6966666,0.8483333,0.6839779,0.8419889,0.59948117,0.79974055,0.6715245,0.83576226,0.7053581,0.852679,0.79790723,0.8989536,0.7416067,0.87080336,0.80209506,0.9010475,0.7980933,0.89904666,0.80470634,0.90235317
32072,0.77870655,0.8893533,0.7239063,0.86195314,0.72418326,0.86209166,0.6935294,0.8467647,0.7522626,0.8761313,0.82632035,0.9131602,0.7229995,0.8614998,0.8122133,0.90610665,0.75567883,0.87783945,0.79376566,0.89688283
46443,0.7426714,0.8713357,0.73079824,0.8653991,0.7048055,0.85240275,0.6592307,0.82961535,0.7746664,0.8873332,0.8499049,0.92495245,0.7590753,0.87953764,0.8374485,0.91872424,0.7699583,0.8849791,0.849108,0.924554
46506,0.55596495,0.7779825,0.5992727,0.79963636,0.52201194,0.761006,0.5122726,0.7561363,0.60736215,0.8036811,0.6818447,0.84092236,0.6207144,0.8103572,0.69071627,0.84535813,0.725163,0.8625815,0.7265927,0.8632964
50300,0.6926179,0.84630895,0.6922387,0.84611934,0.6743963,0.83719814,0.6411155,0.8205577,0.73655903,0.8682795,0.7944485,0.89722425,0.7062991,0.85314953,0.79171443,0.8958572,0.77851135,0.88925564,0.8195249,0.90976244
51419,0.6988258,0.8494129,0.6679343,0.83396715,0.58930576,0.7946529,0.5900604,0.79503024,0.70300996,0.851505,0.80464005,0.90232,0.7436489,0.87182444,0.76782393,0.88391197,0.7356335,0.86781675,0.78616,0.89308
53971,0.62943476,0.8147174,0.6195251,0.80976254,0.5481641,0.77408206,0.56004465,0.7800223,0.6525061,0.82625306,0.6995428,0.8497714,0.7056185,0.85280925,0.6991565,0.84957826,0.7331596,0.8665798,0.70771253,0.85385627
53972,0.6252885,0.81264424,0.6465634,0.8232817,0.5595012,0.7797506,0.59055513,0.7952776,0.64969444,0.8248472,0.6824804,0.84124017,0.6807115,0.84035575,0.7235827,0.8617914,0.7141623,0.8570812,0.7044158,0.8522079
53973,0.6214726,0.8107363,0.59679174,0.7983959,0.5569266,0.7784633,0.5719321,0.78596604,0.6563981,0.828199,0.7701478,0.8850739,0.73237324,0.8661866,0.7434859,0.87174296,0.7693504,0.8846752,0.81893384,0.9094669
53974,0.62705433,0.81352717,0.5869595,0.79347974,0.5347134,0.7673567,0.555719,0.7778595,0.6624671,0.83123356,0.7653321,0.88266605,0.7150129,0.85750645,0.7000449,0.85002244,0.7209285,0.8604642,0.7720401,0.88602006
53975,0.63155913,0.81577957,0.57932097,0.78966045,0.57407784,0.7870389,0.5708152,0.7854076,0.6293107,0.81465536,0.74595755,0.8729788,0.6376661,0.81883305,0.67595875,0.8379794,0.70644367,0.85322183,0.7052256,0.8526128
53976,0.650332,0.825166,0.6012239,0.800612,0.55908525,0.7795426,0.56427026,0.7821351,0.6629771,0.83148855,0.7312516,0.8656258,0.7242371,0.86211854,0.69808865,0.8490443,0.7163869,0.85819346,0.72162783,0.8608139
53977,0.7082976,0.8541488,0.65159047,0.82579523,0.58022606,0.79011303,0.62328553,0.81164277,0.6904712,0.8452356,0.76366425,0.8818321,0.7186555,0.8593278,0.7472316,0.8736158,0.75959194,0.87979597,0.7468889,0.87344444
53978,0.7267816,0.8633908,0.6371118,0.8185559,0.6028204,0.8014102,0.580961,0.7904805,0.73538566,0.8676928,0.84595406,0.92297703,0.73005825,0.8650291,0.75815964,0.8790798,0.745005,0.8725025,0.82069755,0.9103488
53979,0.7070958,0.85354793,0.6801302,0.8400651,0.6297637,0.81488186,0.6362138,0.8181069,0.7177024,0.8588512,0.8187562,0.9093781,0.7175665,0.85878325,0.7929988,0.8964994,0.76455057,0.8822753,0.7671919,0.88359594
53981,0.5424366,0.7712183,0.5555035,0.77775174,0.49586362,0.74793184,0.5678651,0.78393257,0.58477914,0.7923896,0.65236866,0.82618433,0.66229826,0.8311491,0.66506195,0.832531,0.69605875,0.8480294,0.68171626,0.8408581
54796,0.6497493,0.82487464,0.63708746,0.81854373,0.5438502,0.7719251,0.59882295,0.7994115,0.5915358,0.7957679,0.65669787,0.82834893,0.6189526,0.80947626,0.7208235,0.86041176,0.6775768,0.8387884,0.65837395,0.829187
54797,0.7197388,0.85986936,0.68413895,0.8420695,0.65350044,0.8267502,0.6248122,0.81240606,0.7303752,0.8651876,0.837854,0.918927,0.7371159,0.86855793,0.7982476,0.8991238,0.73887277,0.8694364,0.78047186,0.8902359
54798,0.63370645,0.8168532,0.6590873,0.82954365,0.56053174,0.78026587,0.6078665,0.80393326,0.6516815,0.8258407,0.6946149,0.84730744,0.6732544,0.8366272,0.6972702,0.8486351,0.75352883,0.8767644,0.7118014,0.8559007
54799,0.613081,0.8065405,0.6144724,0.8072362,0.5220716,0.7610358,0.5683398,0.7841699,0.62504464,0.8125223,0.719753,0.8598765,0.7049987,0.85249937,0.70520926,0.8526046,0.75595295,0.8779765,0.78112924,0.8905646
54800,0.66449255,0.8322463,0.6471143,0.82355714,0.5746294,0.7873147,0.566323,0.7831615,0.65117466,0.82558733,0.7437458,0.8718729,0.7221167,0.86105835,0.75495774,0.87747884,0.7495273,0.8747636,0.7591895,0.87959474
56453,0.6692059,0.83460295,0.6327311,0.81636554,0.58216023,0.7910801,0.5532507,0.77662534,0.708936,0.854468,0.7815697,0.89078486,0.76527977,0.8826399,0.7271148,0.8635574,0.7480605,0.87403023,0.78074545,0.89037275
56528,0.63658214,0.81829107,0.595677,0.7978385,0.51286304,0.7564315,0.59395194,0.796976,0.65886736,0.8294337,0.7277201,0.86386,0.7129885,0.85649425,0.6963095,0.8481548,0.72591114,0.8629556,0.728248,0.864124
56542,0.6847689,0.84238446,0.6713362,0.8356681,0.59310365,0.7965518,0.6420504,0.8210252,0.68922234,0.84461117,0.7651685,0.8825842,0.72112644,0.8605632,0.78887844,0.8944392,0.7313499,0.865675,0.77109295,0.88554645
56543,0.5585845,0.7792922,0.54422235,0.7721112,0.46291596,0.73145795,0.48267227,0.7413361,0.549428,0.774714,0.5942678,0.7971339,0.6214553,0.81072766,0.59267604,0.796338,0.6254143,0.8127072,0.6036962,0.8018481
56544,0.71764255,0.8588213,0.69155765,0.8457788,0.62674254,0.8133713,0.677974,0.838987,0.72134566,0.86067283,0.78633165,0.8931658,0.7575879,0.87879395,0.771386,0.885693,0.7730669,0.88653344,0.81680906,0.9084045
56545,0.52603686,0.7630184,0.5602524,0.7801262,0.469293,0.7346465,0.518131,0.7590655,0.48173106,0.7408655,0.50961345,0.75480676,0.5154558,0.75772786,0.60056245,0.8002812,0.5899792,0.7949896,0.56341404,0.78170705
56618,0.65174246,0.8258712,0.67997086,0.83998543,0.5892762,0.7946381,0.6139615,0.8069807,0.65429336,0.82714665,0.72800684,0.8640034,0.71234316,0.8561716,0.7760164,0.88800824,0.7758329,0.88791645,0.7732296,0.8866148
56619,0.6171795,0.80858976,0.62415206,0.81207603,0.5408633,0.77043164,0.58259416,0.7912971,0.6494882,0.8247441,0.7209133,0.86045665,0.71584845,0.8579242,0.69957864,0.8497893,0.7256279,0.86281395,0.7509103,0.87545514
56629,0.7451962,0.8725981,0.7065197,0.85325986,0.63874984,0.8193749,0.66367733,0.83183867,0.7328309,0.86641544,0.86783826,0.93391913,0.77912915,0.8895646,0.85563385,0.9278169,0.78112495,0.8905625,0.8437681,0.92188406
56630,0.66058683,0.8302934,0.6447681,0.82238406,0.5535494,0.7767747,0.5936208,0.7968104,0.6493479,0.82467395,0.76835513,0.88417757,0.73678577,0.8683929,0.7444254,0.8722127,0.7490809,0.87454045,0.79035133,0.8951757
56631,0.5624351,0.7812176,0.58143437,0.7907172,0.49936098,0.7496805,0.55727184,0.7786359,0.57855105,0.7892755,0.64335763,0.8216788,0.60993665,0.80496836,0.6623856,0.8311928,0.70932204,0.854661,0.7371285,0.86856425
56632,0.6706438,0.8353219,0.64162636,0.8208132,0.5807811,0.79039055,0.6239668,0.8119834,0.69167084,0.84583545,0.776418,0.888209,0.74214387,0.87107193,0.8011904,0.9005952,0.7580724,0.8790362,0.8113203,0.90566015
56633,0.641459,0.8207295,0.59702146,0.79851073,0.5770648,0.7885324,0.5510423,0.77552116,0.631143,0.8155715,0.70644355,0.8532218,0.6725775,0.83628875,0.6869172,0.8434586,0.6869387,0.8434694,0.70083654,0.85041827
56634,0.5681422,0.7840711,0.57620394,0.788102,0.49412465,0.7470623,0.5249609,0.76248044,0.610093,0.8050465,0.6808454,0.8404227,0.67797434,0.8389872,0.68425536,0.8421277,0.72338516,0.86169255,0.7197907,0.85989535
56635,0.5828302,0.7914151,0.6291665,0.81458324,0.5227212,0.7613606,0.532084,0.766042,0.6216701,0.81083506,0.7605955,0.8802978,0.7419506,0.87097526,0.721977,0.8609885,0.7376586,0.8688293,0.7845105,0.89225525
56637,0.6591738,0.82958686,0.6336409,0.81682044,0.55205023,0.7760251,0.61937505,0.8096875,0.68188095,0.8409405,0.76861864,0.8843093,0.721601,0.8608005,0.76727796,0.883639,0.73446834,0.8672342,0.7810166,0.8905083
56638,0.69936824,0.8496841,0.67988384,0.8399419,0.6201218,0.81006086,0.59664047,0.79832023,0.75513345,0.8775667,0.77494884,0.8874744,0.8015082,0.9007541,0.7819338,0.8909669,0.7339867,0.8669933,0.7841983,0.89209914
56639,0.5107008,0.7553504,0.5149042,0.75745213,0.46724617,0.7336231,0.48012328,0.74006164,0.54133976,0.7706699,0.64838403,0.82419205,0.6519786,0.8259893,0.6303253,0.81516266,0.6641965,0.83209825,0.6909698,0.8454849
56641,0.59742534,0.7987127,0.5566577,0.77832884,0.5124038,0.75620186,0.548558,0.774279,0.6191746,0.8095873,0.71890116,0.8594506,0.70685565,0.8534278,0.6697786,0.8348893,0.70041096,0.8502055,0.75424546,0.87712276
56642,0.6337415,0.81687075,0.56929064,0.7846453,0.50630385,0.7531519,0.52633274,0.76316637,0.6254519,0.81272596,0.74275076,0.8713754,0.72179663,0.8608983,0.6790111,0.83950555,0.72060037,0.8603002,0.7423637,0.87118185
56643,0.71870667,0.8593533,0.6786428,0.8393214,0.6247717,0.81238586,0.6211811,0.8105905,0.66517127,0.83258563,0.71090317,0.8554516,0.5971974,0.7985987,0.7183404,0.8591702,0.68682086,0.84341043,0.657935,0.8289675
56644,0.71508074,0.85754037,0.66689765,0.8334488,0.60718143,0.8035907,0.6379623,0.8189812,0.7023738,0.8511869,0.7454325,0.87271625,0.7194133,0.85970664,0.74614453,0.87307227,0.7367457,0.86837286,0.74817574,0.87408787
56645,0.6547134,0.8273567,0.6557939,0.82789695,0.5973637,0.79868186,0.6556256,0.8278128,0.6469061,0.82345307,0.70168066,0.85084033,0.65019655,0.8250983,0.75743824,0.8787191,0.7148855,0.85744274,0.715585,0.8577925
56646,0.5410269,0.7705134,0.5126629,0.75633144,0.42415416,0.7120771,0.52421075,0.76210535,0.54026425,0.7701321,0.60096765,0.8004838,0.6081474,0.8040737,0.5739291,0.78696454,0.63175654,0.8158783,0.62684834,0.81342417
56647,0.7427329,0.87136644,0.71094185,0.8554709,0.64389634,0.8219482,0.68071914,0.84035957,0.7653074,0.8826537,0.84180844,0.9209042,0.8015375,0.90076876,0.8168478,0.9084239,0.7926286,0.89631426,0.83357507,0.9167875
56648,0.7214607,0.86073035,0.6767911,0.83839554,0.60684776,0.8034239,0.6477269,0.82386345,0.725623,0.8628115,0.7960305,0.89801526,0.754446,0.877223,0.7804996,0.8902498,0.75935817,0.8796791,0.78252614,0.89126307
56649,0.64294744,0.8214737,0.6473335,0.82366675,0.56482637,0.7824132,0.58955926,0.79477966,0.62951255,0.8147563,0.6850739,0.8425369,0.62059426,0.81029713,0.6807925,0.8403963,0.69748706,0.84874356,0.6720227,0.83601135
56650,0.7254243,0.86271214,0.6649488,0.8324744,0.6052441,0.8026221,0.595256,0.797628,0.7527648,0.8763824,0.8503396,0.9251698,0.81772494,0.9088625,0.7823833,0.89119166,0.76201165,0.8810058,0.8278592,0.9139296
56651,0.61825156,0.8091258,0.5628885,0.78144425,0.52813756,0.7640688,0.5083584,0.75417924,0.6780735,0.83903676,0.80724704,0.9036235,0.7351295,0.86756474,0.7105235,0.85526174,0.72528183,0.8626409,0.7931525,0.8965763
56652,0.6526852,0.8263426,0.679621,0.8398105,0.55111253,0.77555627,0.6189997,0.80949986,0.67462313,0.83731157,0.7077928,0.8538964,0.72449833,0.86224914,0.7342556,0.8671278,0.76740766,0.8837038,0.7417075,0.8708538
56653,0.7116846,0.8558423,0.7080821,0.85404104,0.63218373,0.8160919,0.62683225,0.8134161,0.7172662,0.8586331,0.77249074,0.88624537,0.74901253,0.87450624,0.8005338,0.9002669,0.7800411,0.89002055,0.79828143,0.8991407
56654,0.72800744,0.8640037,0.6675792,0.8337896,0.6328442,0.8164221,0.6374592,0.81872964,0.7702639,0.88513196,0.8364795,0.9182397,0.79490924,0.8974546,0.789725,0.89486253,0.78566253,0.89283127,0.85306746,0.9265337
56656,0.57554525,0.78777266,0.5720785,0.78603923,0.5160803,0.7580402,0.5242872,0.7621436,0.61312544,0.8065627,0.6711915,0.8355957,0.6643637,0.8321818,0.63178384,0.8158919,0.66574275,0.8328714,0.6919047,0.8459524
56657,0.607726,0.803863,0.55989295,0.77994645,0.50245404,0.751227,0.53058493,0.76529247,0.6262649,0.81313246,0.75194955,0.8759748,0.6891905,0.84459525,0.68750024,0.8437501,0.6927836,0.8463918,0.7567413,0.87837064
56661,0.7483798,0.8741899,0.71421826,0.8571091,0.6158675,0.80793375,0.6334003,0.81670016,0.7401264,0.8700632,0.8262094,0.9131047,0.7523396,0.8761698,0.8105658,0.9052829,0.7739059,0.88695294,0.83193505,0.9159675
56662,0.6981398,0.8490699,0.6646228,0.8323114,0.59460855,0.7973043,0.6562206,0.82811034,0.69537926,0.8476896,0.7829574,0.89147866,0.6980546,0.8490273,0.8017138,0.9008569,0.7929865,0.89649326,0.79282784,0.8964139
56725,0.71809626,0.8590481,0.695928,0.847964,0.66596913,0.83298457,0.6536559,0.82682794,0.7249837,0.86249185,0.8138683,0.90693414,0.77211773,0.88605887,0.81870633,0.90935314,0.7748178,0.8874089,0.81351745,0.9067587
56795,0.67579067,0.83789533,0.68185496,0.8409275,0.57470727,0.78735363,0.5979065,0.79895324,0.70995647,0.8549782,0.78678906,0.89339453,0.7852135,0.89260674,0.7988858,0.8994429,0.78129697,0.8906485,0.81786156,0.9089308
56796,0.5709701,0.785485,0.6084409,0.80422044,0.527405,0.7637025,0.5444834,0.7722417,0.6354139,0.81770694,0.6776978,0.8388489,0.6945524,0.8472762,0.719456,0.859728,0.6768928,0.8384464,0.68833,0.84416497
56797,0.7341318,0.8670659,0.7135523,0.8567761,0.60603994,0.80302,0.64148504,0.8207425,0.7431221,0.87156105,0.7469189,0.87345946,0.70228386,0.8511419,0.80046684,0.9002334,0.7519916,0.8759958,0.7424421,0.87122107
56798,0.7427858,0.8713929,0.709734,0.854867,0.65195537,0.8259777,0.6600672,0.8300336,0.7291496,0.8645748,0.80691177,0.90345585,0.7759048,0.8879524,0.7893958,0.8946979,0.7606888,0.8803444,0.81739247,0.90869623
56799,0.60675895,0.8033795,0.5747075,0.78735375,0.4927491,0.74637455,0.5310422,0.7655211,0.6263353,0.8131677,0.7218359,0.8609179,0.71071804,0.855359,0.68778217,0.8438911,0.7205857,0.86029285,0.7530314,0.8765157
56800,0.6603095,0.8301548,0.61972684,0.80986345,0.54450786,0.77225393,0.6126393,0.80631965,0.60874856,0.8043743,0.659428,0.829714,0.5890744,0.7945372,0.67984927,0.83992463,0.65726805,0.828634,0.6383214,0.8191607
56801,0.6809652,0.8404826,0.6476115,0.82380575,0.60538554,0.8026928,0.59542537,0.7977127,0.6781517,0.83907586,0.7960792,0.8980396,0.68674433,0.84337217,0.77099264,0.8854963,0.73792815,0.8689641,0.78193927,0.89096963
56802,0.70384026,0.8519201,0.64135283,0.82067645,0.6281319,0.81406593,0.62010354,0.8100518,0.66075313,0.83037657,0.73417175,0.8670859,0.6844348,0.8422174,0.7342678,0.86713386,0.7696302,0.8848151,0.71942353,0.85971177
56803,0.73811865,0.8690593,0.7233632,0.8616816,0.6492026,0.8246013,0.6465808,0.8232904,0.7273312,0.8636656,0.82412595,0.912063,0.74677956,0.8733898,0.8296554,0.9148277,0.7536603,0.87683016,0.8153832,0.9076916
56804,0.7215048,0.8607524,0.7072383,0.85361916,0.6264135,0.8132068,0.666631,0.8333155,0.72134185,0.8606709,0.7762027,0.88810134,0.71812725,0.8590636,0.81601495,0.9080075,0.7823976,0.8911988,0.772619,0.8863095
56805,0.63417596,0.817088,0.6311653,0.81558263,0.58956003,0.79478,0.6096774,0.80483866,0.60746735,0.8037337,0.68066955,0.8403348,0.6165137,0.80825686,0.7094196,0.8547098,0.7092404,0.8546202,0.683822,0.84191096
56807,0.69278425,0.84639215,0.7104739,0.85523695,0.6034416,0.8017208,0.6209728,0.81048644,0.7241551,0.8620776,0.73037416,0.86518705,0.76196444,0.8809822,0.7404781,0.870239,0.7804268,0.8902134,0.7831224,0.8915612
56809,0.70667124,0.8533356,0.66880405,0.834402,0.594904,0.797452,0.633278,0.816639,0.70598966,0.8529948,0.77539194,0.88769597,0.7117883,0.85589415,0.7923963,0.89619815,0.7767054,0.8883527,0.7879877,0.89399385
56859,0.5945132,0.7972566,0.5663613,0.78318065,0.46483308,0.7324165,0.592569,0.7962845,0.5896304,0.7948152,0.6562879,0.82814395,0.64020073,0.82010037,0.6431352,0.8215676,0.6780194,0.8390097,0.6597723,0.82988614
56860,0.6380192,0.8190096,0.64847684,0.8242384,0.584388,0.792194,0.6753411,0.83767056,0.66291964,0.8314598,0.7706215,0.88531077,0.6949401,0.84747005,0.7917831,0.89589155,0.75691086,0.8784554,0.7940246,0.8970123
56861,0.5867852,0.7933926,0.5500064,0.7750032,0.49240702,0.74620354,0.6091327,0.8045664,0.577163,0.7885815,0.6139761,0.80698806,0.6314534,0.8157267,0.6428503,0.82142514,0.64560866,0.82280433,0.6358546,0.8179273
