Unnamed: 0,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_doordash_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_doordash_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_apple_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_apple_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_samsara_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_samsara_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_yelp_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_yelp_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_match_pm_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_match_pm_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_i2c_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_i2c_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_adobe_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_adobe_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_amazon_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_amazon_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_rowan_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_rowan_ux_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_google_ux_Raw_Score,Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o-mini_google_ux_Score
2589,0.78840804,0.894204,0.7237755,0.86188775,0.7332138,0.8666069,0.6284766,0.8142383,0.7124846,0.8562423,0.72434294,0.8621715,0.6378013,0.81890064,0.7298461,0.86492306,0.645656,0.822828,0.6954125,0.84770626
2590,0.7112467,0.85562336,0.69673,0.848365,0.68264234,0.8413212,0.65045273,0.82522637,0.6528066,0.82640326,0.64543456,0.8227173,0.6367514,0.8183757,0.6819639,0.84098196,0.6027552,0.8013776,0.6476681,0.82383406
2591,0.7414516,0.8707258,0.68332493,0.84166247,0.6586596,0.8293298,0.60387075,0.8019354,0.6812603,0.8406302,0.74045444,0.8702272,0.6488782,0.8244391,0.7136893,0.85684466,0.67304903,0.8365245,0.72143483,0.8607174
2592,0.7258564,0.8629282,0.69673824,0.8483691,0.7072074,0.8536037,0.6584165,0.82920825,0.68233633,0.84116817,0.6568644,0.8284322,0.60374266,0.8018713,0.6667508,0.8333754,0.6337772,0.8168886,0.6513041,0.82565206
2594,0.6906462,0.8453231,0.6359414,0.8179707,0.6301466,0.8150733,0.7034221,0.85171103,0.6459435,0.82297176,0.62005913,0.81002957,0.59425795,0.797129,0.65148914,0.82574457,0.6148771,0.80743855,0.6129364,0.8064682
2595,0.71666425,0.85833216,0.7295883,0.86479414,0.69089115,0.8454456,0.66692704,0.83346355,0.67525053,0.83762527,0.6477509,0.8238754,0.640139,0.8200695,0.69942737,0.8497137,0.6412814,0.8206407,0.6598155,0.8299078
2597,0.791606,0.895803,0.7245226,0.8622613,0.76181036,0.88090515,0.6510626,0.8255313,0.7275876,0.8637938,0.74889886,0.87444943,0.6572024,0.82860124,0.7465914,0.87329566,0.6686381,0.83431906,0.7043337,0.8521669
2645,0.7011547,0.85057735,0.71286184,0.8564309,0.6928735,0.84643674,0.66491437,0.8324572,0.67529196,0.837646,0.6464083,0.82320416,0.62589073,0.81294537,0.6987232,0.8493616,0.6724236,0.8362118,0.6690906,0.8345453
2654,0.69523084,0.8476154,0.702872,0.851436,0.6674678,0.8337339,0.683299,0.84164953,0.65146947,0.82573473,0.62524736,0.8126237,0.5901028,0.7950514,0.69810486,0.8490524,0.62749285,0.81374645,0.6415874,0.8207937
2655,0.6557262,0.8278631,0.62227666,0.81113833,0.62875575,0.8143779,0.6992675,0.84963375,0.60698605,0.803493,0.6016124,0.80080616,0.54952,0.77476,0.6168566,0.8084283,0.6299305,0.81496525,0.5897161,0.79485804
2656,0.6462022,0.8231011,0.71719265,0.8585963,0.6584805,0.82924026,0.62089133,0.81044567,0.5809081,0.79045403,0.56733346,0.78366673,0.5365448,0.7682724,0.64847434,0.82423717,0.5879333,0.79396665,0.5839335,0.79196674
2657,0.6594503,0.82972515,0.67095375,0.8354769,0.63468754,0.8173438,0.6106465,0.80532324,0.64902014,0.8245101,0.6836945,0.84184724,0.63635325,0.8181766,0.76071626,0.8803581,0.75814766,0.87907386,0.73773265,0.8688663
2658,0.7094183,0.85470915,0.63281953,0.81640977,0.65046036,0.8252302,0.6304419,0.81522095,0.5973649,0.79868245,0.6047343,0.80236715,0.5087822,0.7543911,0.62435246,0.8121762,0.6161957,0.80809784,0.5863085,0.79315424
2659,0.630956,0.81547797,0.6336629,0.81683147,0.58980757,0.79490376,0.5827222,0.7913611,0.5910915,0.79554576,0.5896718,0.7948359,0.60815346,0.80407673,0.6105093,0.80525464,0.63225186,0.8161259,0.6250488,0.81252444
2660,0.64360005,0.8218,0.6582465,0.82912326,0.60324585,0.8016229,0.58246386,0.79123193,0.59936345,0.7996817,0.576478,0.788239,0.59208524,0.7960426,0.60387725,0.80193865,0.5903239,0.79516196,0.5892222,0.7946111
2741,0.702526,0.851263,0.6325978,0.8162989,0.61510736,0.80755365,0.63428974,0.8171449,0.5930897,0.79654485,0.55044395,0.77522194,0.52683157,0.7634158,0.59383446,0.7969172,0.61279213,0.80639607,0.56438696,0.7821935
2766,0.69938606,0.84969306,0.783224,0.891612,0.6561339,0.82806695,0.6541303,0.8270651,0.65422386,0.82711196,0.6151763,0.80758816,0.63796365,0.8189818,0.70041066,0.8502053,0.6558198,0.8279099,0.6353492,0.81767464
2793,0.71955585,0.8597779,0.7533966,0.87669826,0.63347834,0.8167392,0.62971187,0.81485593,0.6887353,0.8443676,0.72368646,0.8618432,0.72537154,0.8626858,0.74120057,0.8706003,0.70027596,0.85013795,0.7352882,0.8676441
2810,0.6816095,0.84080476,0.6955871,0.8477936,0.6718153,0.83590764,0.607857,0.8039285,0.5972271,0.79861355,0.5516286,0.7758143,0.49919194,0.749596,0.6610421,0.83052105,0.59790635,0.7989532,0.5272444,0.76362216
2824,0.6896819,0.84484094,0.716124,0.858062,0.68374264,0.8418713,0.63915503,0.8195775,0.637257,0.8186285,0.5940448,0.7970224,0.57569104,0.7878455,0.6926147,0.84630734,0.6336204,0.8168102,0.59966516,0.7998326
3002,0.66131806,0.83065903,0.6521747,0.82608736,0.60750574,0.8037529,0.6183848,0.8091924,0.60710657,0.8035533,0.54879075,0.77439535,0.6076887,0.80384433,0.5923977,0.79619884,0.59750307,0.79875153,0.5799608,0.7899804
3021,0.6365019,0.81825095,0.6635314,0.8317657,0.5856003,0.7928002,0.57790947,0.78895473,0.58180207,0.79090106,0.51178545,0.75589275,0.53794247,0.7689712,0.5846714,0.7923357,0.56873655,0.7843683,0.5293357,0.76466787
3093,0.76494825,0.8824741,0.7627076,0.8813538,0.7117878,0.8558939,0.6642095,0.83210474,0.76333857,0.8816693,0.7314888,0.8657444,0.71429956,0.8571498,0.7493751,0.87468755,0.7402371,0.87011856,0.753195,0.8765975
3105,0.7629351,0.8814676,0.6958536,0.8479268,0.6716634,0.8358317,0.6082797,0.80413985,0.69328654,0.84664327,0.6976163,0.84880817,0.6440629,0.82203144,0.67323184,0.8366159,0.6409341,0.82046705,0.66086155,0.83043075
3113,0.6317854,0.8158927,0.5906228,0.7953114,0.57196546,0.7859827,0.5390283,0.76951414,0.56137204,0.780686,0.6319384,0.8159692,0.56125695,0.78062844,0.60532856,0.8026643,0.5824512,0.7912256,0.59951997,0.79976
3118,0.6742165,0.83710825,0.6642848,0.8321424,0.58621246,0.7931062,0.590176,0.795088,0.6546408,0.8273204,0.6452768,0.8226384,0.6413356,0.8206678,0.66733927,0.83366966,0.67014027,0.83507013,0.67497957,0.8374898
3120,0.69638246,0.84819126,0.6856905,0.84284526,0.6341659,0.81708294,0.61910015,0.80955005,0.65100527,0.82550263,0.65834856,0.8291743,0.6386142,0.8193071,0.69309163,0.8465458,0.63681495,0.8184075,0.67063344,0.8353167
3122,0.76368415,0.8818421,0.72354335,0.8617717,0.70419466,0.85209733,0.614533,0.8072665,0.6871811,0.84359056,0.6965146,0.8482573,0.61213887,0.80606943,0.70256066,0.85128033,0.6747118,0.8373559,0.6780944,0.8390472
3123,0.7694255,0.88471276,0.71847105,0.8592355,0.7251078,0.8625539,0.6345284,0.8172642,0.72391915,0.8619596,0.7083303,0.85416514,0.6774013,0.83870065,0.7325041,0.86625206,0.6830527,0.8415264,0.69368684,0.8468434
3133,0.7184121,0.8592061,0.6803535,0.84017676,0.64183193,0.82091594,0.62078995,0.810395,0.65048325,0.8252416,0.67392945,0.8369647,0.65274215,0.8263711,0.70120305,0.85060155,0.642475,0.8212375,0.6870104,0.8435052
3134,0.80028385,0.90014195,0.754273,0.87713647,0.7351293,0.8675647,0.6818044,0.8409022,0.7257328,0.8628664,0.74936056,0.8746803,0.6656748,0.8328374,0.75223637,0.8761182,0.706697,0.8533485,0.7266353,0.8633176
3135,0.74328405,0.871642,0.66877294,0.83438647,0.670625,0.8353125,0.604733,0.8023665,0.66410244,0.8320512,0.64907724,0.8245386,0.58744484,0.7937224,0.6427645,0.8213823,0.6193948,0.8096974,0.62447774,0.8122389
3136,0.7664651,0.8832326,0.7331696,0.8665848,0.66595685,0.8329784,0.6392287,0.81961435,0.7020432,0.8510216,0.7109888,0.8554944,0.648655,0.82432747,0.745474,0.872737,0.70015824,0.8500791,0.7071072,0.8535536
3137,0.7394842,0.8697421,0.67534626,0.8376731,0.660369,0.83018446,0.5993128,0.7996564,0.665617,0.8328085,0.67914164,0.8395708,0.62088335,0.8104417,0.6808289,0.84041446,0.6346599,0.81732994,0.6558816,0.8279408
3138,0.730816,0.865408,0.6412507,0.82062536,0.6745862,0.8372931,0.61846304,0.8092315,0.6367178,0.8183589,0.68212277,0.84106135,0.60118526,0.80059266,0.66141874,0.83070934,0.610762,0.805381,0.66037744,0.83018875
3139,0.71100616,0.8555031,0.6689966,0.8344983,0.66904235,0.8345212,0.61252683,0.80626345,0.6179074,0.8089537,0.65089285,0.8254464,0.5513978,0.7756989,0.66608274,0.83304137,0.6111208,0.8055604,0.6322278,0.8161139
3140,0.7615225,0.88076127,0.6741589,0.8370794,0.6854296,0.8427148,0.6365543,0.8182771,0.6650756,0.8325378,0.67541414,0.83770704,0.62183154,0.81091577,0.68120253,0.84060127,0.6456556,0.8228278,0.67788196,0.838941
3141,0.69680154,0.8484008,0.7105864,0.8552932,0.63569146,0.8178457,0.5952364,0.7976182,0.6650007,0.83250034,0.681674,0.840837,0.645705,0.8228525,0.6814209,0.84071046,0.6609708,0.8304854,0.68524027,0.84262013
3142,0.7734759,0.88673794,0.66950774,0.8347539,0.72330177,0.8616509,0.6215758,0.8107879,0.6931075,0.84655374,0.7244643,0.86223215,0.59915316,0.7995766,0.71843445,0.8592172,0.66167593,0.83083797,0.69550115,0.84775054
3143,0.76098627,0.88049316,0.67502975,0.8375149,0.6846484,0.8423242,0.6123024,0.8061512,0.6977783,0.8488891,0.71161103,0.8558055,0.6238722,0.81193614,0.7013897,0.85069484,0.65284944,0.8264247,0.684716,0.842358
3144,0.78230447,0.89115226,0.7014284,0.8507142,0.7264787,0.86323935,0.61660606,0.808303,0.71730167,0.8586508,0.7417282,0.8708641,0.65167403,0.825837,0.75160944,0.8758047,0.6545695,0.82728475,0.67829335,0.8391467
3145,0.61296487,0.80648243,0.60455,0.802275,0.55808043,0.7790402,0.5509298,0.7754649,0.57762706,0.78881353,0.57265085,0.78632545,0.55503225,0.7775161,0.5527833,0.7763916,0.5710925,0.78554624,0.5703635,0.78518176
3146,0.69741213,0.84870607,0.6427614,0.82138073,0.6366285,0.81831425,0.5924443,0.79622215,0.63386923,0.8169346,0.67918926,0.8395946,0.613362,0.80668104,0.645936,0.822968,0.63527083,0.8176354,0.6427591,0.82137954
3147,0.7271413,0.8635707,0.68846935,0.8442347,0.6815889,0.84079444,0.6698847,0.83494234,0.66687214,0.8334361,0.6912175,0.8456087,0.6441814,0.8220907,0.71250415,0.8562521,0.7222277,0.86111385,0.7075356,0.8537678
3148,0.7031146,0.8515573,0.6668787,0.83343935,0.6457411,0.82287055,0.58211446,0.7910572,0.6768906,0.8384453,0.7079719,0.8539859,0.69611526,0.8480576,0.69363415,0.8468171,0.6580647,0.82903236,0.6974186,0.8487093
3149,0.75427175,0.8771359,0.6856598,0.84282994,0.664113,0.8320565,0.6296718,0.8148359,0.6669932,0.8334966,0.6752104,0.83760524,0.61279535,0.8063977,0.66305023,0.8315251,0.63483244,0.8174162,0.6607428,0.8303714
3150,0.76383805,0.881919,0.6600779,0.83003896,0.6548453,0.8274226,0.60159147,0.80079573,0.66445166,0.8322258,0.7008791,0.85043955,0.6090029,0.8045014,0.671237,0.8356185,0.6069368,0.8034684,0.66445786,0.8322289
3153,0.70219564,0.8510978,0.6322944,0.8161472,0.6395273,0.81976366,0.59440446,0.7972022,0.6329509,0.81647545,0.6758275,0.83791375,0.59411836,0.7970592,0.6334684,0.8167342,0.6155432,0.80777156,0.6524517,0.8262259
3155,0.64468086,0.8223404,0.61493856,0.80746925,0.58373743,0.7918687,0.5054599,0.75272995,0.56838286,0.7841914,0.5818031,0.79090154,0.5525907,0.77629536,0.58344567,0.79172283,0.54758495,0.7737925,0.57600415,0.7880021
3156,0.7745944,0.8872972,0.6367439,0.81837195,0.70372605,0.851863,0.5971687,0.79858434,0.68951726,0.8447586,0.6784016,0.8392008,0.55163836,0.7758192,0.6780807,0.83904034,0.5943,0.79715,0.65086824,0.8254341
3157,0.73757416,0.86878705,0.66356134,0.8317807,0.7019788,0.8509894,0.61872226,0.8093611,0.6887994,0.8443997,0.6785337,0.83926684,0.62709224,0.8135461,0.67394966,0.83697486,0.63607836,0.8180392,0.67167497,0.8358375
3158,0.70390314,0.8519516,0.6575314,0.8287657,0.63611454,0.8180573,0.58197916,0.7909896,0.65759623,0.8287981,0.6676344,0.83381724,0.59959555,0.7997978,0.6528217,0.8264109,0.60054857,0.80027425,0.62919396,0.814597
3159,0.69015956,0.8450798,0.63788855,0.8189443,0.6947762,0.8473881,0.5451174,0.7725587,0.6784111,0.83920556,0.7002418,0.8501209,0.6319102,0.8159551,0.6907804,0.8453902,0.61493814,0.80746907,0.6623937,0.83119684
3160,0.7260392,0.8630196,0.70888615,0.8544431,0.6764513,0.83822566,0.60408217,0.80204105,0.66786194,0.83393097,0.6730809,0.83654046,0.6502074,0.8251037,0.69341207,0.84670603,0.6537336,0.8268668,0.6860727,0.84303635
