Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
29788,0.6137074,0.8068537,0.6274287,0.8137144,0.5322214,0.76611066,0.5823265,0.7911632,0.64561975,0.8228099,0.7313483,0.86567414,0.72928274,0.86464137,0.708549,0.8542745,0.73695743,0.8684787,0.7873874,0.8936937
29835,0.68144584,0.8407229,0.7075578,0.8537789,0.6237843,0.81189215,0.6347021,0.81735104,0.66881514,0.83440757,0.7552,0.8776,0.74646795,0.873234,0.77147233,0.88573617,0.76670295,0.88335145,0.7696395,0.88481975
30606,0.68036747,0.84018373,0.59864223,0.7993211,0.59166324,0.7958316,0.583918,0.791959,0.6773721,0.83868605,0.7722621,0.88613105,0.63555104,0.8177755,0.7023384,0.8511692,0.730482,0.865241,0.741475,0.8707375
30845,0.67775536,0.8388777,0.68719685,0.8435984,0.61974514,0.80987257,0.7118628,0.8559314,0.66068256,0.8303413,0.7383181,0.86915904,0.70001286,0.85000646,0.7799423,0.88997114,0.78954756,0.8947738,0.790339,0.8951695
32072,0.7658123,0.88290614,0.72311616,0.8615581,0.7589778,0.8794889,0.6886122,0.8443061,0.73257065,0.8662853,0.7880566,0.8940283,0.72149897,0.8607495,0.8247194,0.9123597,0.77618647,0.88809323,0.8120867,0.90604335
46443,0.74216473,0.87108237,0.80016744,0.9000837,0.7110984,0.8555492,0.7234992,0.8617496,0.7824097,0.89120483,0.799187,0.8995935,0.7856116,0.8928058,0.8479589,0.92397946,0.85073364,0.9253668,0.8616872,0.9308436
46506,0.41978455,0.7098923,0.47393212,0.7369661,0.45716482,0.7285824,0.42539597,0.712698,0.44615585,0.7230779,0.48434392,0.74217194,0.44899556,0.7244978,0.54713595,0.773568,0.6220613,0.8110306,0.5646862,0.7823431
50300,0.68461955,0.8423098,0.70024246,0.85012126,0.7028081,0.8514041,0.64451563,0.8222578,0.7034929,0.85174644,0.7514616,0.8757308,0.7089515,0.85447574,0.7676506,0.8838253,0.7727041,0.88635206,0.82249665,0.9112483
51419,0.5709207,0.78546035,0.59017813,0.79508907,0.5351339,0.7675669,0.5786972,0.7893486,0.5838489,0.7919245,0.6799688,0.8399844,0.658234,0.829117,0.717548,0.858774,0.71375704,0.8568785,0.7605004,0.8802502
53971,0.67229456,0.8361473,0.6534484,0.8267242,0.6072613,0.80363065,0.60228264,0.8011413,0.6956537,0.84782684,0.74453765,0.8722688,0.744062,0.872031,0.74492496,0.8724625,0.77186143,0.8859307,0.77984655,0.8899233
53972,0.5434051,0.7717025,0.5959949,0.7979975,0.51738805,0.75869405,0.5188383,0.75941914,0.5875252,0.79376256,0.64720756,0.82360375,0.6598166,0.8299083,0.62544304,0.8127215,0.68023884,0.8401194,0.67814237,0.83907115
53973,0.6887093,0.8443546,0.6630471,0.83152354,0.642038,0.821019,0.6457741,0.82288706,0.686574,0.843287,0.77858305,0.8892915,0.7359163,0.8679582,0.7740281,0.88701403,0.79148126,0.8957406,0.83467937,0.9173397
53974,0.6170542,0.8085271,0.61085546,0.80542773,0.5616326,0.7808163,0.6134147,0.8067074,0.64057726,0.82028866,0.6922319,0.84611595,0.6994808,0.8497404,0.68303764,0.8415188,0.7465091,0.87325454,0.74406445,0.8720322
53975,0.6573453,0.82867265,0.6109377,0.80546886,0.6160929,0.80804646,0.6053127,0.80265635,0.671182,0.83559096,0.7824369,0.8912184,0.6689352,0.8344676,0.7029773,0.85148865,0.76984966,0.8849248,0.7701043,0.88505214
53976,0.51929814,0.75964904,0.5053664,0.75268316,0.48417592,0.74208796,0.46930093,0.7346505,0.5260125,0.7630062,0.64982647,0.82491326,0.6545587,0.8272793,0.59189785,0.7959489,0.65946925,0.8297346,0.6773071,0.83865356
53977,0.75022876,0.8751144,0.68150246,0.84075123,0.66215134,0.83107567,0.6597228,0.8298614,0.7422401,0.87112004,0.8121979,0.90609896,0.78145015,0.8907251,0.79083437,0.8954172,0.78959167,0.89479584,0.81993747,0.90996873
53978,0.6241057,0.81205285,0.6078348,0.8039174,0.5765752,0.78828764,0.56093967,0.78046983,0.6564359,0.828218,0.7094587,0.85472935,0.66156435,0.8307822,0.7002604,0.8501302,0.715783,0.8578915,0.7207214,0.86036074
53979,0.75388235,0.8769412,0.7045607,0.8522804,0.6761227,0.83806133,0.65287995,0.82644,0.74201614,0.87100804,0.8459856,0.9229928,0.75917387,0.87958694,0.8169346,0.9084673,0.80138665,0.9006933,0.83031523,0.9151576
53981,0.6035286,0.8017643,0.6245574,0.8122787,0.5471256,0.7735628,0.5782131,0.78910655,0.6258569,0.81292844,0.72364676,0.8618234,0.7231375,0.86156875,0.6999114,0.8499557,0.73301715,0.8665086,0.739803,0.86990154
54796,0.51781046,0.75890523,0.5510925,0.77554625,0.46965575,0.7348279,0.5399382,0.7699691,0.49862567,0.7493128,0.5159474,0.7579737,0.56347156,0.7817358,0.5950842,0.7975421,0.6266524,0.81332624,0.59446716,0.7972336
54797,0.67060155,0.8353008,0.6582171,0.82910854,0.6492089,0.82460445,0.6239531,0.81197655,0.66728294,0.83364147,0.80751324,0.9037566,0.70589167,0.8529458,0.7825036,0.8912518,0.7726072,0.8863036,0.83289874,0.91644937
54798,0.6299641,0.81498206,0.6881061,0.84405303,0.57676715,0.7883836,0.6178868,0.8089434,0.6519977,0.82599884,0.68098646,0.8404932,0.69273007,0.84636503,0.7034819,0.85174096,0.75533617,0.8776681,0.7107613,0.85538065
54799,0.5776513,0.78882563,0.5836837,0.79184186,0.51528186,0.75764096,0.5667957,0.78339785,0.5705652,0.7852826,0.6612278,0.8306139,0.65739346,0.8286967,0.6648786,0.8324393,0.72724235,0.8636212,0.76650137,0.8832507
54800,0.6373788,0.8186894,0.6258708,0.8129354,0.579054,0.789527,0.5665495,0.78327477,0.6097497,0.80487484,0.7206718,0.8603359,0.7145208,0.8572604,0.72663534,0.86331767,0.75276744,0.8763837,0.7737886,0.8868943
56453,0.6188984,0.8094492,0.6065021,0.803251,0.5473942,0.77369714,0.55989,0.779945,0.6451305,0.82256526,0.71049005,0.855245,0.72745913,0.8637296,0.72162724,0.8608136,0.7227129,0.86135644,0.73774076,0.8688704
56528,0.52871567,0.7643578,0.5100416,0.7550208,0.4569524,0.72847617,0.46699867,0.73349935,0.5468777,0.7734388,0.6030148,0.8015074,0.5706575,0.78532875,0.5577947,0.77889735,0.6164036,0.8082018,0.58878887,0.79439443
56542,0.67918575,0.8395929,0.66564375,0.83282185,0.587147,0.7935735,0.64480543,0.8224027,0.6696868,0.8348434,0.7631456,0.88157284,0.74415135,0.8720757,0.7684881,0.8842441,0.76274157,0.8813708,0.8150023,0.90750116
56543,0.6721239,0.83606195,0.64179444,0.8208972,0.5848026,0.7924013,0.58718574,0.7935929,0.68419254,0.84209627,0.75597334,0.87798667,0.75931454,0.87965727,0.7373129,0.86865646,0.7632676,0.88163376,0.7841251,0.89206254
56544,0.6075542,0.8037771,0.6144741,0.807237,0.57681006,0.78840506,0.60929763,0.8046488,0.62732685,0.8136634,0.667879,0.8339395,0.65293175,0.82646585,0.66633356,0.8331668,0.6813078,0.8406539,0.7096656,0.85483277
56545,0.72406614,0.86203307,0.7619212,0.8809606,0.67383015,0.8369151,0.67099446,0.83549726,0.6877786,0.8438893,0.71701205,0.858506,0.69185424,0.8459271,0.7872839,0.89364195,0.7715188,0.8857594,0.7566635,0.8783318
56618,0.6386354,0.8193177,0.65792125,0.82896066,0.59699535,0.7984977,0.60562027,0.80281013,0.63148165,0.8157408,0.6853983,0.84269917,0.6980983,0.84904915,0.7546102,0.8773051,0.756269,0.8781345,0.74260956,0.87130475
56619,0.5196612,0.7598306,0.5534963,0.7767482,0.46812204,0.734061,0.51266193,0.75633097,0.5560415,0.77802074,0.6333266,0.81666327,0.67538494,0.8376925,0.6279132,0.8139566,0.66051376,0.8302569,0.6835727,0.8417864
56629,0.5979706,0.7989853,0.6103555,0.80517775,0.58834803,0.794174,0.5863174,0.7931587,0.58788204,0.793941,0.64977586,0.82488793,0.6406225,0.82031125,0.68066126,0.8403306,0.6828861,0.84144306,0.70581615,0.8529081
56630,0.6263797,0.81318986,0.6083113,0.80415565,0.5522071,0.77610356,0.577518,0.788759,0.6311724,0.8155862,0.73929423,0.86964715,0.7137703,0.85688514,0.7399051,0.86995256,0.7513284,0.87566423,0.7985463,0.89927316
56631,0.58680916,0.7934046,0.6373496,0.8186748,0.57471895,0.7873595,0.5773952,0.7886976,0.6206185,0.8103093,0.6787637,0.8393818,0.6323644,0.8161822,0.7051201,0.85256004,0.74213946,0.8710697,0.7498286,0.8749143
56632,0.7439906,0.87199533,0.72162294,0.8608115,0.63925976,0.8196299,0.66665065,0.8333253,0.7394359,0.86971796,0.8195429,0.90977144,0.8024169,0.90120846,0.8103179,0.90515894,0.7888006,0.8944003,0.8438232,0.9219116
56633,0.589308,0.794654,0.619689,0.8098445,0.5422926,0.7711463,0.61960614,0.80980307,0.56644344,0.7832217,0.60699105,0.8034955,0.65647596,0.828238,0.6598508,0.8299254,0.6907977,0.84539884,0.65457594,0.827288
56634,0.5152482,0.7576241,0.55420446,0.77710223,0.49298924,0.74649465,0.500652,0.75032604,0.51079965,0.7553998,0.58588684,0.7929434,0.57107687,0.78553843,0.5791436,0.78957176,0.66657007,0.83328503,0.66447794,0.832239
56635,0.5935634,0.79678166,0.6365883,0.81829417,0.54246634,0.7712332,0.58768773,0.79384387,0.6312579,0.81562895,0.7348432,0.8674216,0.71614254,0.85807127,0.7222086,0.8611043,0.76216084,0.8810804,0.7878319,0.89391595
56637,0.60342467,0.80171233,0.59532547,0.79766273,0.49864078,0.7493204,0.6157791,0.8078896,0.59313786,0.79656893,0.63355696,0.8167785,0.6313131,0.81565654,0.66468894,0.8323445,0.6587853,0.8293927,0.66726744,0.8336337
56638,0.6352966,0.8176483,0.6492881,0.8246441,0.57121164,0.7856058,0.59282285,0.7964114,0.66527605,0.832638,0.7018918,0.8509459,0.745149,0.8725745,0.7422878,0.87114394,0.716382,0.858191,0.73743147,0.86871576
56639,0.4467665,0.72338325,0.4657398,0.73286986,0.42965096,0.7148255,0.43156487,0.7157824,0.5113487,0.75567436,0.64961416,0.82480705,0.64271235,0.8213562,0.5539311,0.77696556,0.65408325,0.8270416,0.6927149,0.84635746
56641,0.4365717,0.71828586,0.42772782,0.7138639,0.37829062,0.6891453,0.40220314,0.70110154,0.46089625,0.7304481,0.5688759,0.78443795,0.56892824,0.7844641,0.5031576,0.7515788,0.58055186,0.79027593,0.63716555,0.8185828
56642,0.55819964,0.7790998,0.5525161,0.77625805,0.48772728,0.74386364,0.5243292,0.7621646,0.5636598,0.7818299,0.6509481,0.825474,0.6813459,0.84067297,0.64109015,0.8205451,0.6895507,0.8447753,0.693804,0.846902
56643,0.75694394,0.878472,0.68888366,0.84444183,0.69244695,0.8462235,0.67709416,0.8385471,0.69014823,0.8450741,0.7467258,0.8733629,0.63915753,0.81957877,0.7682755,0.88413775,0.76222414,0.8811121,0.74183273,0.87091637
56644,0.51565087,0.75782543,0.5498419,0.77492094,0.47963434,0.73981714,0.5105088,0.7552544,0.5784248,0.7892124,0.629063,0.8145315,0.69974303,0.8498715,0.64980364,0.8249018,0.68507165,0.84253585,0.7226658,0.8613329
56645,0.6009649,0.80048245,0.6549064,0.8274532,0.58556426,0.7927821,0.6335226,0.8167613,0.612939,0.8064695,0.6238117,0.81190586,0.6462857,0.8231429,0.7179264,0.8589632,0.71802235,0.8590112,0.6884594,0.8442297
56646,0.53075635,0.7653782,0.56147444,0.7807372,0.4596112,0.7298056,0.5375236,0.7687618,0.55107373,0.7755369,0.59195924,0.7959796,0.62854755,0.8142738,0.6100145,0.8050072,0.64322263,0.8216113,0.65243053,0.82621527
56647,0.66402125,0.8320106,0.71150357,0.85575175,0.6511793,0.82558966,0.69846034,0.8492302,0.6998296,0.8499148,0.7049809,0.8524904,0.6983019,0.84915096,0.76133615,0.88066804,0.761626,0.880813,0.7573396,0.8786698
56648,0.7045851,0.85229254,0.7227254,0.8613627,0.6363249,0.81816244,0.69881964,0.8494098,0.6924894,0.8462447,0.7309973,0.86549866,0.7331942,0.86659706,0.7841488,0.8920744,0.7778542,0.8889271,0.76809025,0.8840451
56649,0.6352551,0.81762755,0.66206884,0.8310344,0.561541,0.78077054,0.6158178,0.8079089,0.63679683,0.8183984,0.64403045,0.8220152,0.6117406,0.8058703,0.65720296,0.8286015,0.70312464,0.8515623,0.6655046,0.8327523
56650,0.7066392,0.8533196,0.70152473,0.85076237,0.6488836,0.8244418,0.648119,0.8240595,0.7429297,0.87146485,0.77478594,0.887393,0.7860867,0.89304334,0.7801412,0.89007056,0.7830703,0.89153516,0.80955076,0.9047754
56651,0.47411725,0.73705864,0.46888638,0.7344432,0.44823843,0.7241192,0.45057344,0.7252867,0.5022298,0.7511149,0.5395341,0.76976705,0.56202865,0.7810143,0.53204745,0.76602376,0.56252646,0.78126323,0.56747025,0.78373516
56652,0.6835195,0.84175974,0.6889756,0.8444878,0.6272656,0.8136328,0.64021313,0.82010657,0.6948966,0.8474483,0.70343304,0.8517165,0.67956513,0.8397826,0.73672307,0.86836153,0.7474083,0.87370414,0.72686356,0.8634318
56653,0.5192225,0.75961125,0.56569964,0.7828498,0.5066169,0.7533084,0.5190358,0.7595179,0.5018103,0.75090516,0.53256047,0.76628023,0.534431,0.7672155,0.5766741,0.78833705,0.5960404,0.79802024,0.54872453,0.77436227
56654,0.7199136,0.8599568,0.7284338,0.8642169,0.67901456,0.8395073,0.6750117,0.8375058,0.7642019,0.88210094,0.8092717,0.90463585,0.81013787,0.90506893,0.79829496,0.8991475,0.82916045,0.9145802,0.88960993,0.94480497
56656,0.62854075,0.8142704,0.62849087,0.81424546,0.5986767,0.79933834,0.5825523,0.79127616,0.66783553,0.83391774,0.7035898,0.8517949,0.70760965,0.8538048,0.70219445,0.8510972,0.7287128,0.8643564,0.74440277,0.8722014
56657,0.50565284,0.75282645,0.46720695,0.7336035,0.4252961,0.71264803,0.4437661,0.72188306,0.53192997,0.765965,0.67548347,0.83774173,0.6578904,0.82894516,0.5795003,0.78975016,0.6466836,0.8233418,0.68891776,0.8444589
56661,0.7309959,0.86549795,0.71180487,0.85590243,0.61591554,0.80795777,0.62427294,0.8121365,0.7325944,0.8662972,0.8106543,0.90532714,0.72335804,0.861679,0.7890878,0.8945439,0.7760294,0.8880147,0.8121059,0.90605295
56662,0.6243999,0.81219995,0.62591314,0.8129566,0.54994196,0.774971,0.5993457,0.79967284,0.6163294,0.8081647,0.74220157,0.8711008,0.66001344,0.8300067,0.7567978,0.8783989,0.80318916,0.9015946,0.77611923,0.8880596
56725,0.69157493,0.84578747,0.6624336,0.8312168,0.6042489,0.80212444,0.64954376,0.8247719,0.68992996,0.844965,0.7798171,0.88990855,0.75137794,0.87568897,0.76590693,0.88295346,0.743477,0.8717385,0.820449,0.9102245
56795,0.65115523,0.8255776,0.69342434,0.8467122,0.5990241,0.799512,0.6465595,0.82327974,0.65464735,0.8273237,0.72585547,0.86292773,0.74114263,0.8705713,0.78827244,0.8941362,0.7853735,0.8926867,0.7890395,0.89451975
56796,0.65368974,0.8268449,0.6116466,0.8058233,0.5701603,0.7850802,0.5935489,0.79677445,0.6680588,0.83402944,0.774776,0.887388,0.67310977,0.8365549,0.7534311,0.87671554,0.72948414,0.86474204,0.72882307,0.86441153
56797,0.6195304,0.8097652,0.6636242,0.83181214,0.5825174,0.7912587,0.57909954,0.78954977,0.6532182,0.82660913,0.7001139,0.85005695,0.70363516,0.8518176,0.73822254,0.8691113,0.74158657,0.8707933,0.7327441,0.86637205
56798,0.656131,0.8280655,0.68786746,0.8439337,0.6186795,0.80933976,0.6348479,0.81742394,0.6668683,0.83343416,0.715156,0.85757804,0.74341214,0.87170607,0.73721516,0.8686076,0.7566702,0.8783351,0.79568654,0.89784324
56799,0.6268623,0.81343114,0.5778311,0.7889155,0.52682495,0.7634125,0.547668,0.773834,0.64691323,0.82345665,0.78845084,0.8942254,0.7539251,0.87696254,0.713995,0.8569975,0.77295804,0.886479,0.8213829,0.91069144
56800,0.59990954,0.7999548,0.5781237,0.78906184,0.50884265,0.75442135,0.5929098,0.7964549,0.5513411,0.7756705,0.59730047,0.79865026,0.5441937,0.7720969,0.6311587,0.81557935,0.6207107,0.8103553,0.5992774,0.7996387
56801,0.5569507,0.77847534,0.58060783,0.79030395,0.53458095,0.7672905,0.5128708,0.7564354,0.55181456,0.7759073,0.6852779,0.84263897,0.6143333,0.80716664,0.61880493,0.80940247,0.6965489,0.84827447,0.71295327,0.85647666
56802,0.6369434,0.81847167,0.6152807,0.8076403,0.58450574,0.7922529,0.5714655,0.78573275,0.6381856,0.8190928,0.75143665,0.87571836,0.768237,0.8841185,0.70688695,0.8534435,0.7845309,0.89226544,0.81250286,0.90625143
56803,0.73014045,0.8650702,0.70054185,0.8502709,0.6591545,0.8295772,0.6621057,0.83105284,0.73106843,0.8655342,0.7842206,0.8921103,0.763374,0.881687,0.8010481,0.900524,0.786981,0.8934905,0.83338034,0.9166902
56804,0.7523639,0.87618196,0.7139884,0.8569942,0.63804185,0.8190209,0.6529461,0.82647306,0.73337984,0.8666899,0.77639323,0.8881966,0.7008854,0.8504427,0.79957014,0.89978504,0.7532346,0.8766173,0.7471962,0.8735981
56805,0.63164544,0.8158227,0.6156324,0.8078162,0.5914439,0.79572195,0.60828054,0.80414027,0.5684606,0.7842303,0.65479696,0.8273985,0.61502177,0.80751085,0.68648267,0.84324133,0.7063165,0.85315824,0.7096231,0.85481155
56807,0.66928744,0.8346437,0.68749976,0.8437499,0.6151149,0.80755746,0.61421025,0.8071051,0.7064959,0.85324794,0.7349006,0.8674503,0.7549369,0.87746847,0.75157785,0.8757889,0.7689101,0.8844551,0.76625353,0.88312674
56809,0.6078953,0.8039477,0.66171885,0.8308594,0.59521097,0.7976055,0.673007,0.8365035,0.622025,0.8110125,0.6424781,0.82123905,0.6472816,0.8236408,0.7258048,0.8629024,0.7478093,0.87390465,0.69097126,0.8454856
56859,0.57576877,0.78788435,0.5820051,0.7910025,0.47694936,0.73847467,0.5883535,0.79417676,0.58736074,0.79368037,0.64397514,0.82198757,0.62955594,0.814778,0.6501616,0.8250808,0.6995102,0.8497551,0.6750788,0.83753943
56860,0.60809875,0.8040494,0.6150298,0.8075149,0.586166,0.793083,0.64221716,0.8211086,0.6495816,0.82479084,0.7145013,0.8572507,0.6845416,0.8422708,0.746207,0.8731035,0.768293,0.8841465,0.77925336,0.8896267
56861,0.5943688,0.7971844,0.6020539,0.80102694,0.55838096,0.7791905,0.60373205,0.80186605,0.57761323,0.7888066,0.5942097,0.79710484,0.6286547,0.81432736,0.6365528,0.8182764,0.6908165,0.84540826,0.67041373,0.83520687
56862,0.42301738,0.7115087,0.4748154,0.7374077,0.35695496,0.67847747,0.39418638,0.6970932,0.41567618,0.70783806,0.5329402,0.7664701,0.53625846,0.7681292,0.5016672,0.75083363,0.59645355,0.7982268,0.5898783,0.79493916
57384,0.7417716,0.8708858,0.7004447,0.85022235,0.64359766,0.8217988,0.64626694,0.82313347,0.7492299,0.87461495,0.87848175,0.9392409,0.7826977,0.89134884,0.83543706,0.9177185,0.8037159,0.901858,0.8710835,0.93554175
57400,0.7926153,0.89630765,0.74875116,0.8743756,0.69217396,0.846087,0.673363,0.8366815,0.78519976,0.8925999,0.828259,0.9141295,0.78782904,0.8939145,0.8246717,0.9123359,0.7470918,0.8735459,0.83753896,0.9187695
62042,0.4993921,0.749696,0.54610956,0.7730548,0.46375704,0.7318785,0.4921512,0.74607563,0.48338765,0.74169385,0.5363184,0.7681592,0.58279544,0.7913977,0.56090844,0.7804542,0.62438416,0.8121921,0.6176082,0.8088041
63086,0.43133557,0.7156678,0.46445435,0.7322272,0.41213593,0.706068,0.4227124,0.71135616,0.46743324,0.7337166,0.5718629,0.78593147,0.5698916,0.7849458,0.5396929,0.76984644,0.6143286,0.8071643,0.60612476,0.8030624
63087,0.62158084,0.8107904,0.61617744,0.8080887,0.57504874,0.78752434,0.5780252,0.7890126,0.65556395,0.827782,0.7208024,0.8604012,0.75462794,0.877314,0.7166203,0.85831016,0.7420255,0.87101275,0.7771377,0.8885689
83710,0.68256074,0.84128034,0.7087797,0.85438985,0.6083101,0.80415505,0.7034849,0.85174245,0.69855285,0.8492764,0.72367543,0.86183774,0.6982794,0.8491397,0.7672557,0.8836279,0.77768826,0.88884413,0.7752403,0.88762015
