Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_doordash_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_apple_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_samsara_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_yelp_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_match_pm_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_i2c_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_adobe_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_amazon_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_rowan_ux_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Raw_Score,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o_google_ux_Score
2586,0.73716295,0.8685815,0.7594055,0.87970275,0.68440723,0.8422036,0.6585128,0.8292564,0.6786177,0.83930886,0.6818681,0.84093404,0.63300586,0.8165029,0.7189112,0.8594556,0.7011561,0.85057807,0.6813001,0.8406501
2587,0.69628906,0.84814453,0.68587554,0.84293777,0.6876289,0.8438145,0.6122151,0.8061075,0.65762997,0.828815,0.65200925,0.8260046,0.6145339,0.80726695,0.684904,0.842452,0.62342894,0.8117145,0.64533883,0.8226694
2588,0.74035525,0.8701776,0.7220949,0.86104745,0.6639172,0.8319586,0.67834544,0.8391727,0.6411004,0.8205502,0.6471869,0.82359344,0.6126791,0.80633956,0.7035786,0.8517893,0.7033402,0.8516701,0.6742809,0.83714044
2589,0.7706616,0.8853308,0.7106072,0.8553036,0.709304,0.854652,0.6487931,0.82439655,0.6892128,0.8446064,0.70324427,0.8516221,0.61982405,0.809912,0.7113514,0.8556757,0.63816345,0.8190817,0.67507213,0.8375361
2590,0.721503,0.8607515,0.6873653,0.84368265,0.6823009,0.84115046,0.645341,0.82267046,0.68282175,0.8414109,0.6735401,0.83677006,0.6450012,0.8225006,0.6992694,0.8496347,0.59988207,0.79994106,0.67388844,0.8369442
2591,0.73951185,0.8697559,0.7191515,0.85957575,0.6778041,0.83890206,0.614817,0.8074085,0.7043353,0.8521676,0.7394394,0.86971974,0.68364197,0.84182096,0.7418146,0.8709073,0.69319785,0.8465989,0.7273929,0.86369646
2592,0.7390654,0.8695327,0.6839776,0.8419888,0.6797302,0.8398651,0.6586859,0.82934296,0.69273233,0.84636617,0.6545434,0.8272717,0.6210861,0.81054306,0.66829336,0.8341467,0.6377064,0.8188532,0.66124463,0.8306223
2594,0.6900643,0.84503216,0.6671452,0.8335726,0.6719755,0.83598775,0.70555943,0.85277975,0.6689059,0.834453,0.61686337,0.8084317,0.596627,0.7983135,0.6567964,0.8283982,0.6166745,0.8083372,0.60674,0.80337
2595,0.6977242,0.8488621,0.6753032,0.8376516,0.6875286,0.8437643,0.6272055,0.81360275,0.6465775,0.82328874,0.6572802,0.8286401,0.6188295,0.80941474,0.69230086,0.8461504,0.63654375,0.8182719,0.66174114,0.83087057
2597,0.8203453,0.91017264,0.72576076,0.86288035,0.7629628,0.8814814,0.6553431,0.8276715,0.7495378,0.8747689,0.7578306,0.8789153,0.6612943,0.8306471,0.7491776,0.8745888,0.6718354,0.8359177,0.71643627,0.85821813
2645,0.6814749,0.84073746,0.69618785,0.8480939,0.6593846,0.8296923,0.6348171,0.81740856,0.65312606,0.826563,0.6489271,0.82446355,0.64293957,0.8214698,0.68319094,0.8415955,0.69188225,0.8459411,0.6850147,0.84250736
2654,0.70624053,0.85312027,0.72057384,0.86028695,0.6919195,0.8459598,0.6890907,0.84454536,0.67721283,0.8386064,0.62020373,0.81010187,0.59480244,0.7974012,0.7012918,0.8506459,0.629595,0.8147975,0.63789093,0.81894547
2655,0.73016024,0.8650801,0.6964667,0.84823334,0.66896,0.83448,0.6669402,0.8334701,0.67836314,0.83918154,0.68402994,0.84201497,0.6522061,0.8261031,0.67467,0.837335,0.6616194,0.8308097,0.6673945,0.83369726
2656,0.667847,0.83392346,0.70260143,0.8513007,0.6342981,0.81714904,0.615306,0.807653,0.59878767,0.79939383,0.6127027,0.80635136,0.5690508,0.7845254,0.63836396,0.819182,0.6258782,0.8129391,0.610375,0.80518746
2657,0.61652404,0.808262,0.6130076,0.8065038,0.5760958,0.7880479,0.5683604,0.78418016,0.6080065,0.80400324,0.67083216,0.8354161,0.61170256,0.8058513,0.7080558,0.85402787,0.71173227,0.85586613,0.69030404,0.845152
2658,0.7164562,0.8582281,0.63837624,0.8191881,0.64888763,0.8244438,0.6249105,0.81245524,0.6216397,0.81081986,0.62878704,0.8143935,0.5347862,0.7673931,0.6473888,0.8236944,0.6434119,0.82170594,0.594424,0.797212
2659,0.7349006,0.8674503,0.70215243,0.85107625,0.6708158,0.8354079,0.6227198,0.8113599,0.71049094,0.8552455,0.7112812,0.8556406,0.71748734,0.85874367,0.7190908,0.8595454,0.72194993,0.86097497,0.736554,0.868277
2660,0.6907086,0.8453543,0.7014636,0.8507318,0.6392201,0.81961006,0.61985874,0.8099294,0.66127217,0.8306361,0.62826663,0.8141333,0.66558945,0.8327947,0.6694016,0.8347008,0.6482116,0.8241058,0.6505603,0.8252802
2741,0.6987598,0.8493799,0.63864946,0.81932473,0.58364975,0.7918249,0.6225407,0.81127036,0.6071783,0.8035891,0.56948847,0.78474426,0.5593701,0.779685,0.5997266,0.79986334,0.62762475,0.8138124,0.59596694,0.79798347
2766,0.72686124,0.8634306,0.804032,0.90201604,0.7041323,0.85206616,0.638088,0.819044,0.6828675,0.84143376,0.68532944,0.8426647,0.6649954,0.8324977,0.7623086,0.8811543,0.71768296,0.8588415,0.6802961,0.8401481
2793,0.70150614,0.85075307,0.71862257,0.8593113,0.6160884,0.8080442,0.6238322,0.8119161,0.67191744,0.8359587,0.6859596,0.8429798,0.7029733,0.8514867,0.70440894,0.85220444,0.6874295,0.8437147,0.71159,0.855795
2810,0.67290485,0.8364524,0.6953063,0.84765315,0.65712106,0.82856053,0.57925045,0.7896252,0.5977234,0.79886174,0.5350319,0.76751596,0.48089063,0.7404453,0.6451162,0.8225581,0.56523585,0.7826179,0.48767823,0.74383914
2824,0.6896679,0.84483397,0.74047816,0.8702391,0.67153966,0.83576983,0.68559325,0.8427966,0.6818881,0.84094405,0.6100663,0.80503315,0.62666345,0.8133317,0.7033308,0.8516654,0.692263,0.8461315,0.66702044,0.8335102
3002,0.7030883,0.85154414,0.70829946,0.8541497,0.6572412,0.8286206,0.66054213,0.83027107,0.6527195,0.82635975,0.62278664,0.8113933,0.69132614,0.8456631,0.667029,0.8335145,0.6604429,0.8302214,0.6622622,0.8311311
3021,0.6276052,0.8138026,0.66424155,0.8321208,0.5855663,0.79278314,0.5883777,0.79418886,0.5665643,0.78328216,0.50487953,0.75243974,0.5398682,0.76993406,0.5839492,0.7919746,0.5667238,0.7833619,0.5154305,0.7577152
3093,0.75769794,0.87884897,0.7533037,0.8766519,0.68490833,0.8424542,0.7015145,0.85075724,0.76031226,0.88015616,0.7303735,0.86518675,0.7386414,0.8693207,0.7608285,0.88041425,0.7003461,0.85017306,0.72640145,0.8632007
3105,0.76890075,0.8844504,0.7362424,0.8681212,0.6892122,0.8446061,0.6207696,0.8103848,0.73017895,0.8650895,0.7241566,0.8620783,0.72416854,0.86208427,0.72025824,0.8601291,0.6951252,0.8475626,0.7431257,0.87156284
3113,0.6152008,0.8076004,0.5695782,0.7847891,0.5595218,0.7797609,0.52126646,0.76063323,0.5367869,0.76839346,0.63555264,0.8177763,0.5446898,0.7723449,0.5927653,0.79638267,0.5758271,0.78791356,0.59981346,0.79990673
3118,0.5584489,0.77922446,0.5880992,0.7940496,0.50667834,0.7533392,0.529928,0.764964,0.57297015,0.7864851,0.5443517,0.77217585,0.5755034,0.7877517,0.5714971,0.78574854,0.5916592,0.7958296,0.5691662,0.7845831
3120,0.6851331,0.84256655,0.6665267,0.83326334,0.60841644,0.8042082,0.62483835,0.8124192,0.6533493,0.82667464,0.69857204,0.849286,0.6697087,0.83485436,0.6915034,0.8457517,0.68752444,0.8437622,0.7325773,0.86628866
3122,0.79429805,0.897149,0.7322495,0.86612475,0.73271227,0.86635613,0.6354904,0.8177452,0.73034954,0.8651748,0.75137234,0.87568617,0.67035556,0.8351778,0.75744545,0.8787227,0.71506655,0.8575333,0.7435191,0.87175953
3123,0.6912539,0.84562695,0.67392766,0.83696383,0.63023067,0.81511533,0.6029457,0.80147284,0.6602286,0.8301143,0.6941377,0.84706885,0.67968404,0.839842,0.7111973,0.8555987,0.68725216,0.8436261,0.71532065,0.8576603
3133,0.7198049,0.85990244,0.6799871,0.83999354,0.6610317,0.83051586,0.62689716,0.81344855,0.64667046,0.82333523,0.6892023,0.84460115,0.6514175,0.82570875,0.7013781,0.85068905,0.65220034,0.8261002,0.7035102,0.85175514
3134,0.7696195,0.88480973,0.7193315,0.85966575,0.70844424,0.8542221,0.6537055,0.82685274,0.72067136,0.8603357,0.73409593,0.86704797,0.6691277,0.83456385,0.74242115,0.8712106,0.6954006,0.8477003,0.71696687,0.85848343
3135,0.786296,0.893148,0.71686685,0.8584334,0.7345464,0.8672732,0.6479757,0.82398784,0.7172438,0.8586219,0.69574344,0.8478717,0.62650895,0.8132545,0.7085148,0.8542574,0.672289,0.8361445,0.6810044,0.8405022
3136,0.79726565,0.8986328,0.76343,0.881715,0.68385637,0.8419282,0.66155684,0.8307784,0.7307178,0.8653589,0.74483395,0.872417,0.6882112,0.8441056,0.75968826,0.8798441,0.7266149,0.8633075,0.7434058,0.8717029
3137,0.7576687,0.87883437,0.7128841,0.8564421,0.7034889,0.8517444,0.6326942,0.8163471,0.6968751,0.84843755,0.7003714,0.8501857,0.65155876,0.8257794,0.7135105,0.85675526,0.6679542,0.8339771,0.689021,0.8445105
3138,0.711674,0.855837,0.6354034,0.8177017,0.6527968,0.8263984,0.59305954,0.79652977,0.6307595,0.81537974,0.6830284,0.8415142,0.60126865,0.8006343,0.6309358,0.8154679,0.61666703,0.8083335,0.65283585,0.8264179
3139,0.74383146,0.8719157,0.6933234,0.8466617,0.68127584,0.8406379,0.61838543,0.8091927,0.66306615,0.8315331,0.7069112,0.8534556,0.5992274,0.7996137,0.700009,0.8500045,0.66028595,0.830143,0.6605794,0.8302897
3140,0.72628033,0.86314017,0.64222693,0.82111347,0.63959587,0.81979793,0.6152162,0.8076081,0.63181007,0.81590503,0.6443405,0.82217026,0.5954944,0.7977472,0.6427854,0.82139266,0.6051165,0.80255824,0.6288985,0.81444925
3141,0.6902143,0.84510714,0.72072875,0.8603644,0.6518438,0.8259219,0.5958008,0.79790044,0.64832413,0.82416207,0.66688037,0.8334402,0.6321991,0.8160995,0.67769915,0.83884954,0.65450513,0.82725257,0.68684155,0.84342074
3142,0.8029659,0.90148294,0.73023164,0.8651158,0.73118114,0.8655906,0.67542934,0.8377147,0.72934484,0.8646724,0.7513989,0.87569946,0.679201,0.8396005,0.76478624,0.8823931,0.724157,0.8620785,0.74467,0.87233496
3143,0.7899782,0.89498913,0.74057174,0.87028587,0.747144,0.873572,0.6645241,0.83226204,0.7280089,0.8640045,0.725914,0.862957,0.6620936,0.8310468,0.72117585,0.86058795,0.6707907,0.83539534,0.6989626,0.84948134
3144,0.7785065,0.88925326,0.72123885,0.8606194,0.71480703,0.8574035,0.6398071,0.81990355,0.7165196,0.8582598,0.74160844,0.8708042,0.6743041,0.83715206,0.7552494,0.8776247,0.68458426,0.84229213,0.70431817,0.8521591
3145,0.63199073,0.81599534,0.63504845,0.8175242,0.57131124,0.7856556,0.57106376,0.7855319,0.6067133,0.80335665,0.5831853,0.79159266,0.6065507,0.80327535,0.5922022,0.7961011,0.5968658,0.7984329,0.59433436,0.7971672
3146,0.72467303,0.8623365,0.6433004,0.8216502,0.66458905,0.8322945,0.5826453,0.79132265,0.6784994,0.83924973,0.7386826,0.8693413,0.6528257,0.82641286,0.6961339,0.8480669,0.63930094,0.8196505,0.6967282,0.8483641
3147,0.7255253,0.8627627,0.7015346,0.8507673,0.67875206,0.83937603,0.6639634,0.83198166,0.6878116,0.8439058,0.69543254,0.8477163,0.6625116,0.8312558,0.71567345,0.8578367,0.70659316,0.8532966,0.70684963,0.8534248
3148,0.7372937,0.86864686,0.69636285,0.8481814,0.66735685,0.8336784,0.59509206,0.797546,0.6917547,0.84587735,0.7380945,0.8690473,0.70645136,0.8532257,0.73003167,0.86501586,0.6877012,0.8438506,0.7413036,0.87065184
3149,0.7533435,0.8766718,0.69187236,0.8459362,0.6683307,0.83416533,0.647856,0.823928,0.68144107,0.84072053,0.70518136,0.8525907,0.6514268,0.8257134,0.67076945,0.8353847,0.66095954,0.83047974,0.6934976,0.8467488
3150,0.740657,0.8703285,0.6679493,0.83397466,0.64687985,0.82343996,0.6087658,0.8043829,0.66367435,0.8318372,0.70866317,0.8543316,0.6412853,0.82064265,0.69117475,0.8455874,0.63009757,0.8150488,0.6892579,0.84462893
3153,0.7038023,0.8519012,0.63207614,0.8160381,0.633014,0.816507,0.62124705,0.8106235,0.6372107,0.81860536,0.6617857,0.83089286,0.6074654,0.8037327,0.646314,0.823157,0.62587094,0.8129355,0.65017027,0.82508516
3155,0.5909293,0.79546463,0.5482071,0.7741035,0.55126613,0.7756331,0.4315561,0.71577805,0.5316396,0.7658198,0.513454,0.756727,0.46858644,0.7342932,0.5219935,0.76099676,0.46427655,0.7321383,0.46538258,0.7326913
3156,0.81230164,0.9061508,0.7022631,0.85113156,0.72267604,0.861338,0.6308535,0.8154267,0.714123,0.8570615,0.7310065,0.86550325,0.6395316,0.8197658,0.72209346,0.86104673,0.6316371,0.81581855,0.6873776,0.8436888
3157,0.74634135,0.8731707,0.67180574,0.83590287,0.7198475,0.8599237,0.64284116,0.82142055,0.70809215,0.8540461,0.73613954,0.86806977,0.64972275,0.8248614,0.722924,0.861462,0.67646575,0.8382329,0.6959807,0.8479904
3158,0.65766364,0.8288318,0.6115246,0.8057623,0.5520123,0.77600616,0.5436592,0.7718296,0.58828974,0.79414487,0.6328105,0.81640524,0.60515857,0.8025793,0.61276424,0.8063821,0.58456504,0.7922825,0.59762377,0.7988119
3159,0.7439585,0.87197924,0.65816396,0.829082,0.6904183,0.8452091,0.558689,0.7793445,0.6943231,0.84716153,0.75943303,0.8797165,0.65124106,0.82562053,0.7194762,0.8597381,0.63961136,0.8198057,0.7147075,0.85735375
3160,0.7180382,0.8590191,0.67270666,0.8363533,0.6571708,0.8285854,0.606814,0.803407,0.66290975,0.8314549,0.6868358,0.8434179,0.65558857,0.8277943,0.69460535,0.8473027,0.6677082,0.8338541,0.68882525,0.8444126
3161,0.7972766,0.8986383,0.76762503,0.88381255,0.758516,0.87925804,0.66058105,0.83029056,0.76811385,0.8840569,0.71819323,0.85909665,0.66611314,0.83305657,0.75254154,0.8762708,0.6778302,0.8389151,0.73502153,0.8675108
3162,0.72360814,0.86180407,0.6369914,0.8184957,0.6482365,0.82411826,0.6087831,0.80439156,0.64244735,0.8212237,0.6911828,0.8455914,0.61464363,0.8073218,0.69691294,0.8484565,0.674631,0.8373155,0.6814965,0.84074825
3186,0.7956393,0.89781964,0.7236768,0.8618384,0.6942445,0.84712225,0.6613568,0.8306784,0.7681099,0.88405496,0.744725,0.8723625,0.692093,0.8460465,0.74248326,0.8712416,0.6955054,0.8477527,0.7584413,0.87922066
3225,0.7393099,0.86965495,0.75182414,0.8759121,0.67063504,0.8353175,0.6786238,0.8393119,0.69158995,0.845795,0.6632726,0.8316363,0.6512152,0.8256076,0.7020881,0.85104406,0.6528907,0.82644534,0.65432096,0.8271605
3315,0.6896,0.8448,0.6200886,0.8100443,0.63369775,0.8168489,0.54251,0.771255,0.63453823,0.8172691,0.72160274,0.86080134,0.638021,0.8190105,0.68845165,0.8442258,0.6407362,0.8203681,0.6870549,0.84352744
3321,0.62691224,0.8134561,0.5946801,0.79734004,0.5661784,0.78308916,0.5992789,0.79963946,0.5481961,0.77409804,0.54694223,0.7734711,0.5219803,0.76099014,0.6009253,0.80046266,0.5287106,0.7643553,0.52194166,0.76097083
