Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_doordash_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_apple_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_samsara_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_yelp_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_match_pm_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_i2c_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_adobe_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_amazon_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_rowan_ux_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Raw_Score,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_google_ux_Score
50300,0.71412134,0.8570607,0.73558164,0.8677908,0.7188624,0.8594312,0.6610502,0.8305251,0.74681264,0.8734063,0.78664124,0.8933206,0.743708,0.871854,0.8107021,0.90535104,0.7954695,0.89773476,0.8418734,0.9209367
51419,0.5973382,0.7986691,0.6443113,0.82215565,0.5694352,0.78471756,0.61085516,0.80542755,0.6032369,0.80161846,0.65437126,0.82718563,0.674538,0.837269,0.7239585,0.86197925,0.7277747,0.8638873,0.7330147,0.86650735
53971,0.60908043,0.8045402,0.61038494,0.8051925,0.52981806,0.764909,0.53908443,0.7695422,0.66021276,0.8301064,0.6986204,0.84931016,0.7295815,0.86479074,0.69436765,0.8471838,0.71862614,0.8593131,0.7165767,0.85828835
53972,0.6558295,0.8279147,0.6533157,0.8266579,0.58797216,0.7939861,0.59724605,0.798623,0.6542008,0.8271004,0.70554173,0.85277086,0.67876077,0.8393804,0.6930001,0.84650004,0.73599064,0.8679953,0.7204681,0.860234
53973,0.670838,0.835419,0.6524368,0.82621837,0.61268723,0.8063436,0.64640534,0.82320267,0.6912377,0.84561884,0.7674391,0.88371956,0.7274943,0.8637471,0.76973414,0.8848671,0.78141433,0.89070714,0.80353355,0.9017668
53974,0.6382227,0.81911135,0.6183063,0.80915314,0.5774305,0.78871524,0.63129187,0.81564593,0.6744808,0.8372404,0.7243067,0.86215335,0.7285522,0.8642761,0.7243786,0.8621893,0.7482407,0.87412035,0.758951,0.8794755
53975,0.65964144,0.82982075,0.60422856,0.80211425,0.6066789,0.8033395,0.6004877,0.80024385,0.6694335,0.83471674,0.7923904,0.8961952,0.6791355,0.8395678,0.70029855,0.8501493,0.76347303,0.8817365,0.7777505,0.88887525
53976,0.51531637,0.7576582,0.50570965,0.7528548,0.49409348,0.7470467,0.4677632,0.7338816,0.5253202,0.7626601,0.6468723,0.82343614,0.6572292,0.8286146,0.5933984,0.79669917,0.6647464,0.8323732,0.6746712,0.8373356
53977,0.71929157,0.8596458,0.64199704,0.82099855,0.6050174,0.8025087,0.6014092,0.8007046,0.70297515,0.8514876,0.8026154,0.9013077,0.7571785,0.8785893,0.7581967,0.87909836,0.7702049,0.88510245,0.79778445,0.8988922
53978,0.61323357,0.8066168,0.58142185,0.7907109,0.54724646,0.7736232,0.53542197,0.767711,0.6804277,0.84021384,0.7661054,0.8830527,0.67993295,0.8399665,0.70468795,0.852344,0.7173936,0.8586968,0.7524913,0.8762456
53979,0.78148586,0.8907429,0.7285546,0.8642773,0.7010087,0.85050434,0.67137945,0.8356897,0.77281094,0.88640547,0.85762465,0.9288123,0.77944595,0.88972294,0.833635,0.9168175,0.81103206,0.905516,0.852198,0.926099
53981,0.6255071,0.81275356,0.62914824,0.8145741,0.56378806,0.781894,0.58668077,0.7933404,0.6450559,0.82252795,0.74830174,0.8741509,0.7351979,0.86759895,0.71491736,0.8574587,0.7518965,0.87594825,0.7601074,0.8800537
54796,0.61521506,0.80760753,0.6105052,0.8052526,0.5292363,0.76461816,0.5955081,0.79775405,0.64048266,0.82024133,0.73721707,0.86860853,0.71558696,0.85779345,0.7362725,0.8681363,0.7670973,0.8835486,0.78575826,0.8928791
54797,0.6676076,0.8338038,0.6834667,0.84173334,0.6452081,0.82260406,0.64750856,0.8237543,0.71501946,0.85750973,0.8102511,0.90512556,0.72680855,0.8634043,0.8174058,0.9087029,0.8058394,0.9029197,0.8249621,0.91248107
54798,0.62123334,0.8106167,0.6798158,0.8399079,0.56259,0.781295,0.60499394,0.80249697,0.65085864,0.8254293,0.6765974,0.8382987,0.69796586,0.84898293,0.6852442,0.8426221,0.75372446,0.8768622,0.70340645,0.8517032
54799,0.47650662,0.7382533,0.5155976,0.7577988,0.41101384,0.7055069,0.49275413,0.74637705,0.4902926,0.7451463,0.5479165,0.7739582,0.57091874,0.7854594,0.577919,0.7889595,0.6351794,0.8175897,0.661349,0.8306745
54800,0.6496115,0.82480574,0.6357705,0.8178853,0.58906925,0.7945346,0.5801177,0.79005885,0.6277596,0.8138798,0.72268385,0.86134195,0.7259296,0.8629648,0.73142564,0.8657128,0.7591481,0.87957406,0.7759049,0.88795245
56453,0.6594318,0.8297159,0.6110847,0.80554235,0.5625439,0.78127193,0.5605899,0.78029495,0.6822848,0.8411424,0.7767823,0.88839114,0.75941527,0.87970763,0.73490906,0.8674545,0.7375399,0.86876994,0.7831333,0.89156663
56528,0.6095848,0.8047924,0.5866407,0.79332036,0.518106,0.759053,0.5335747,0.76678735,0.59923303,0.7996165,0.6486392,0.8243196,0.63449025,0.8172451,0.6151635,0.8075818,0.6915901,0.84579504,0.65296495,0.8264825
56542,0.630195,0.8150975,0.61428034,0.8071402,0.5526246,0.7763123,0.6303073,0.81515366,0.6186228,0.8093114,0.69586205,0.847931,0.6635617,0.83178085,0.7253246,0.8626623,0.71832097,0.8591605,0.7534286,0.8767143
56543,0.6816097,0.8408048,0.63114023,0.8155701,0.5864463,0.79322314,0.5865997,0.79329985,0.69813335,0.8490667,0.7871003,0.89355016,0.7795094,0.8897547,0.7524468,0.8762234,0.76415384,0.8820769,0.82398736,0.9119937
56544,0.5735048,0.7867524,0.5894107,0.7947054,0.5593507,0.77967536,0.5843997,0.79219985,0.60390544,0.8019527,0.6438682,0.8219341,0.6356951,0.81784755,0.6361804,0.8180902,0.66324264,0.8316213,0.6901738,0.84508693
56545,0.6248956,0.8124478,0.655046,0.827523,0.56397736,0.7819887,0.5700134,0.7850067,0.65860105,0.8293005,0.67978156,0.8398908,0.6440228,0.8220114,0.7419982,0.8709991,0.7282062,0.8641031,0.7052382,0.8526191
56618,0.6351573,0.8175787,0.67276406,0.83638203,0.5968375,0.79841876,0.62073874,0.8103694,0.6362616,0.8181308,0.68456244,0.8422812,0.71100366,0.85550183,0.75587165,0.8779358,0.7576597,0.87882984,0.7485024,0.8742512
56619,0.5219568,0.7609784,0.5643141,0.78215706,0.47227618,0.7361381,0.5094154,0.7547077,0.56138414,0.7806921,0.643392,0.82169604,0.6857549,0.84287745,0.6310319,0.81551594,0.68204033,0.84102017,0.6994374,0.8497187
56629,0.7561088,0.8780544,0.6877941,0.84389704,0.6638447,0.83192235,0.6155826,0.8077913,0.7896266,0.8948133,0.8875997,0.94379985,0.7859031,0.89295155,0.8278637,0.91393185,0.8071319,0.90356594,0.87889975,0.9394499
56630,0.610101,0.8050505,0.60016453,0.80008227,0.54162085,0.7708104,0.57086974,0.78543484,0.62263346,0.8113167,0.7236476,0.8618238,0.71952856,0.8597643,0.7130265,0.85651326,0.74544424,0.87272215,0.7903091,0.89515454
56631,0.59858364,0.79929185,0.6443281,0.82216406,0.58494216,0.79247105,0.59561217,0.7978061,0.6215685,0.8107842,0.6715498,0.8357749,0.6272375,0.8136188,0.7178664,0.8589332,0.740784,0.87039196,0.746282,0.873141
56632,0.713844,0.85692203,0.71118104,0.8555905,0.6112391,0.80561954,0.66321814,0.8316091,0.7332431,0.86662155,0.8128783,0.9064392,0.801409,0.9007045,0.82949483,0.9147474,0.8021401,0.90107006,0.85860527,0.92930263
56633,0.7186813,0.85934067,0.69165325,0.8458266,0.62898505,0.8144925,0.6558649,0.8279325,0.73830676,0.8691534,0.8174242,0.9087121,0.80123484,0.9006174,0.8056887,0.9028443,0.8053229,0.90266144,0.84092355,0.9204618
56634,0.5802282,0.7901141,0.60324,0.80162,0.57436407,0.78718203,0.5847882,0.7923941,0.56932724,0.7846636,0.6343999,0.81719995,0.5890267,0.79451334,0.6634438,0.8317219,0.7118312,0.8559156,0.68636787,0.84318393
56635,0.49596775,0.7479839,0.4917703,0.74588513,0.44101387,0.7205069,0.47919476,0.7395974,0.5060204,0.7530102,0.5812558,0.7906279,0.57954544,0.78977275,0.5719639,0.78598195,0.6335204,0.8167602,0.62867576,0.81433785
56637,0.5957409,0.79787046,0.58375406,0.79187703,0.49613935,0.74806964,0.58293915,0.7914696,0.6084708,0.8042354,0.6848754,0.84243774,0.6421489,0.8210745,0.7062054,0.8531027,0.65912557,0.8295628,0.694533,0.8472665
56638,0.7030131,0.8515066,0.68286836,0.8414342,0.6183329,0.80916643,0.64428926,0.8221446,0.73493505,0.8674675,0.8277155,0.91385776,0.7784839,0.88924193,0.81957424,0.9097871,0.7931117,0.89655584,0.85358727,0.92679363
56639,0.45184126,0.7259206,0.4795679,0.73978394,0.4331845,0.71659225,0.4354667,0.7177334,0.51866424,0.7593321,0.64486563,0.8224328,0.6517718,0.8258859,0.56155777,0.7807789,0.66317683,0.8315884,0.6953743,0.8476871
56641,0.4545204,0.72726023,0.46710703,0.7335535,0.3946188,0.6973094,0.43176264,0.71588135,0.49003652,0.74501824,0.59103787,0.79551893,0.6149727,0.80748636,0.53616977,0.7680849,0.6217718,0.8108859,0.67265326,0.8363266
56642,0.57724833,0.78862417,0.5718547,0.78592736,0.509323,0.7546615,0.54009116,0.7700456,0.5980288,0.7990144,0.6724743,0.8362372,0.7042179,0.85210896,0.67282677,0.8364134,0.7215818,0.8607909,0.7296505,0.86482525
56643,0.74632645,0.8731632,0.6783707,0.83918536,0.67026985,0.8351349,0.65265095,0.8263255,0.7017151,0.85085756,0.75544643,0.8777232,0.63061494,0.8153075,0.7776185,0.88880926,0.73326117,0.86663055,0.73923564,0.8696178
56644,0.52586627,0.76293314,0.5629137,0.7814568,0.4904632,0.7452316,0.51971614,0.7598581,0.586547,0.7932735,0.638219,0.8191095,0.71010697,0.8550535,0.66266453,0.83133227,0.69688076,0.8484404,0.73432755,0.8671638
56645,0.6033423,0.80167115,0.6435859,0.82179296,0.57598674,0.7879934,0.6189165,0.80945826,0.5947671,0.79738355,0.6532012,0.8266006,0.6784247,0.83921236,0.7103814,0.8551907,0.7469345,0.8734672,0.7401759,0.870088
56646,0.45196843,0.7259842,0.46584,0.73292,0.37150532,0.68575263,0.45063168,0.7253158,0.46962082,0.7348104,0.503963,0.7519815,0.54120755,0.7706038,0.5257361,0.76286805,0.54367936,0.7718397,0.55012655,0.7750633
56647,0.6697009,0.83485043,0.6911546,0.8455773,0.6614496,0.83072484,0.6783885,0.83919424,0.6828389,0.84141946,0.7030959,0.85154796,0.70093405,0.850467,0.7425884,0.8712942,0.7491776,0.8745888,0.7625561,0.88127804
56648,0.70930314,0.8546516,0.6752373,0.83761865,0.6242008,0.8121004,0.65606403,0.828032,0.69795716,0.8489786,0.7394947,0.86974734,0.7063611,0.8531805,0.7822751,0.89113754,0.74479294,0.87239647,0.75144446,0.8757222
56649,0.6200539,0.81002694,0.65092224,0.82546115,0.5485101,0.77425504,0.60810983,0.8040549,0.6197516,0.8098758,0.6344014,0.81720066,0.5984657,0.79923284,0.65012574,0.8250629,0.7010807,0.85054034,0.65606445,0.82803226
56650,0.6944729,0.84723645,0.69588745,0.8479437,0.6291065,0.81455326,0.6465018,0.8232509,0.7375393,0.86876965,0.76367843,0.8818392,0.77015567,0.88507783,0.7733512,0.8866756,0.76963186,0.88481593,0.7951412,0.8975706
56651,0.7225313,0.86126566,0.6825888,0.8412944,0.68212485,0.8410624,0.65870655,0.8293533,0.77121854,0.88560927,0.8216487,0.91082436,0.7460919,0.8730459,0.8164518,0.9082259,0.76680714,0.88340354,0.8143859,0.90719295
56652,0.6733353,0.83666766,0.6816267,0.84081334,0.6148244,0.8074122,0.6122572,0.8061286,0.6834787,0.84173936,0.7223475,0.86117375,0.7118195,0.85590976,0.72629344,0.8631467,0.76276076,0.8813804,0.76390755,0.8819538
56653,0.5719405,0.7859702,0.6082731,0.8041365,0.5495436,0.7747718,0.5497364,0.7748682,0.5782635,0.78913176,0.61479414,0.80739707,0.58508986,0.79254496,0.6444881,0.82224405,0.6452968,0.8226484,0.61972845,0.8098642
56654,0.71188986,0.85594493,0.70959806,0.85479903,0.66681993,0.83340997,0.6662245,0.83311224,0.7576339,0.87881696,0.80304587,0.90152293,0.8040654,0.90203273,0.79344225,0.8967211,0.82074946,0.91037476,0.86785877,0.9339294
56656,0.60257745,0.8012887,0.6216003,0.81080014,0.57059795,0.78529894,0.57575816,0.7878791,0.65172,0.82586,0.683439,0.8417195,0.70671564,0.8533578,0.6902443,0.84512216,0.72150695,0.8607535,0.7304684,0.8652342
56657,0.30599514,0.65299755,0.32695866,0.6634793,0.31605172,0.65802586,0.32695487,0.6634774,0.31894648,0.65947324,0.35730237,0.6786512,0.4026822,0.7013411,0.32304412,0.66152203,0.4669155,0.73345774,0.35930645,0.6796532
56661,0.66241187,0.83120596,0.6651288,0.8325644,0.573354,0.786677,0.57095295,0.78547645,0.6891285,0.84456426,0.7635349,0.88176745,0.69588935,0.8479447,0.7293627,0.86468136,0.69109637,0.84554815,0.74769795,0.873849
56662,0.65835536,0.8291777,0.65595293,0.82797647,0.5860858,0.7930429,0.60758734,0.80379367,0.64992887,0.8249644,0.77527463,0.8876373,0.68250877,0.84125435,0.7818613,0.89093065,0.82219994,0.9111,0.80101305,0.9005065
56725,0.6664377,0.8332188,0.665859,0.8329295,0.58723056,0.7936153,0.6214936,0.8107468,0.6577237,0.82886183,0.7503347,0.87516737,0.718809,0.8594045,0.7374252,0.8687126,0.7193016,0.8596508,0.7643133,0.8821566
56795,0.5977907,0.79889536,0.6239698,0.8119849,0.54267466,0.77133733,0.59986734,0.7999337,0.60142875,0.8007144,0.6564748,0.8282374,0.68407106,0.84203553,0.7235707,0.86178535,0.7224648,0.8612324,0.7311295,0.86556476
56796,0.6522099,0.82610494,0.6127399,0.80636996,0.5717551,0.7858776,0.5893202,0.7946601,0.6697904,0.8348952,0.77718216,0.88859105,0.6765542,0.8382771,0.7540351,0.87701756,0.7325258,0.8662629,0.73222494,0.8661125
56797,0.655373,0.8276865,0.6733128,0.8366564,0.61835444,0.8091772,0.6124701,0.8062351,0.68066597,0.840333,0.7700063,0.88500315,0.7064231,0.8532115,0.78587735,0.8929387,0.7962562,0.8981281,0.79407746,0.8970387
56798,0.59150577,0.7957529,0.5923548,0.7961774,0.54933786,0.77466893,0.5904904,0.7952452,0.59655887,0.7982794,0.66260314,0.83130157,0.6737014,0.8368507,0.68295544,0.84147775,0.68007135,0.8400357,0.7234248,0.8617124
56799,0.6446179,0.82230896,0.6011153,0.8005576,0.5496697,0.7748349,0.5547599,0.77738,0.6690391,0.8345195,0.8012056,0.9006028,0.767004,0.883502,0.7418487,0.87092435,0.7730485,0.88652426,0.8282051,0.91410255
56800,0.60537624,0.8026881,0.59046996,0.795235,0.52089727,0.76044863,0.59476304,0.7973815,0.5637132,0.7818566,0.6031923,0.80159616,0.5444601,0.77223,0.639877,0.81993854,0.6207044,0.8103522,0.60296524,0.8014826
56801,0.59840035,0.7992002,0.58686894,0.7934345,0.5706676,0.7853338,0.5389708,0.7694854,0.60837704,0.8041885,0.71302915,0.8565146,0.61851215,0.8092561,0.6595839,0.82979196,0.6848035,0.84240174,0.7035223,0.85176116
56802,0.6230439,0.81152195,0.60141575,0.8007079,0.5756372,0.7878186,0.5649675,0.78248376,0.6286526,0.8143263,0.7359493,0.86797464,0.74830437,0.8741522,0.6933625,0.84668124,0.7611745,0.8805872,0.7766639,0.88833195
