,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
10,"
 - Graphic Designer currently pursuing education at Kharkiv National University of Radio Electronics, specializing in Publishing and Printing at the Department of Media Systems and Technologies.
- Completed courses in ""Web Design"" and ""UX/UI Design"" from Genius.Space.
- Skilled in attention to detail and structuring information for creating clear action plans as a UX designer.
- Continuous learning and practice in visualization and graphic elements (UI).
- Strong dedication and passion for design reflected in quality and disciplined work approach.
- Soft skills include teamwork, empathy, enjoyment of work, punctuality, and discipline.
- Proficient in graphic editors such as Figma, Adobe Illustrator, Adobe Photoshop, Blender, and AutoCAD.
- Experience working on commercial projects, including creating business cards for a tattoo artist working abroad.
- Involved in various projects encompassing website designs, brochures, presentations, and logos.
"
11,"
 10 years design experience from College of Arts. Worked with clients in Europe and USA. Projects include enterprise with 250,000+ employees and e-Commerce/SaaS. Expert in IT product lifecycle, development processes, creative team leadership, client communication, requirements elicitation, design solutions, and iteration. Specific skills include:

-Team Leadership
-Project Management
-Project Estimation
-Resource Planning
-Presentation to Client
-Client Communication
-Business English
-Enterprise Size Companies
-Agile and Scrum
-Art Direction
-Prototyping
-UI/UX Design
-Information Architecture
-UML Diagrams
-User Testing
-Mobile App
-SaaS
-Web Design
-Graphic Design

Seeking challenging projects, relaxed environment, flexible schedule, and results-oriented company. Experienced in client communication, design team leadership, and project management. Preference for mobile and complex web solutions. Dedicated to delivering high-quality output aligned with business and user needs.
"
12,"
 More than 30 successfully finished projects
Managed team of 17 designers
As a design consultant, pitched and launched more than 20 design projects

Finished ""Design management"" course
Finished ""People management 3.0"" course
Experienced product designer and design team lead focused on design team management. Responsible for planning, delegating, and reviewing team processes. Managed user research projects, facilitated workshops, reported on project progress, and mediated conflicts. Involved in sales processes as a domain expert.

Good understanding of business goals, skilled in negotiating and presenting solutions. Fluent in English and proficient in written communication in German.

Proven expertise in the following projects:
- Product design manager for human resources project
- Design manager for crypto product
- UI/UX Team Lead for SaaS project
Additional experience in betting, healthcare, and delivery projects.

Seeking a role as a design delivery manager or to help establish strong design teams for internal or external customers. Flexible to work in an outsource company or product team.
"
13,"
 • 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of
• For the past 1 year, being a part of an Australia-based digital home loan product that went from the idea to MVP
• In a team of just 3 people built a design system from scratch
Over 6+ years of commercial experience, based in startups, fintech, organization management, crypto, insurance, and healthcare environment. I have worked with Web, Mobile, Dashboard, and Web applications. 
I can generate hypotheses, research, create wireframes and prototypes, conduct usability tests, analyze, create a design system from scratch, and lead a design team. I like to collaborate with and manage other designers and work independently. I always pay close attention to business needs and provide best practice design advice to improve the outcomes. 

I work on the following project stages
- Communicate with stakeholders and product manager
- Conduct research
- Create functionality map, process flow
- Create low/high fidelity wireframes
- UI research and design
- Leading a team of 8 people

Another part is Collaboration and teamwork where I work on
- Mentorship of lower-level designer
- Conducting 1on1 meetings to collect issue points and help to define personal areas of improvement
- Offering feedback and support to teammates.
"
14,"
 Experience:
• Extensive experience in electronic commerce as a senior designer, head of the design team, and art director
• Experience in trading companies as a creative designer
• Experience in advertising agencies as a graphic designer
• Experience in publishing and entertainment as a leading designer
• Extensive experience in the field of printing and product design

Qualifications:
• Professional skills in graphic and web design
• Experience in creating brand identity and promoting brands
• Creation of key visuals and supervision of the further implementation of materials in various online and offline channels
• Development and implementation of digital advertising campaigns
• Good skills in management of designer teams and design departments
• Solving business problems with customer and user experience analytics and introducing new business product features
• Experience with animation, motion design, and video editing
• High skills in layout design and print preparation

Soft skills:
• Ability to identify and solve complex product problems
• Critical thinking. The ability to separate the main from the private, analytical skills
• The skill of managing and successfully interacting with people. Negotiation skills, stress resistance
• Emotional intelligence, empathy
• Ability to draw conclusions and make decisions. Design thinking, creativity, enterprise
• The ability to learn new things easily and quickly. Self-learning, cross-functionality
"
15,"
 As a self-educated individual, I take pride in my portfolio showcasing my knowledge, skills, and abilities, including:

- Advanced proficiency in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate App
- Strong technical aptitude
- Familiarity with current design and technology trends
- Upper-Intermediate level of English
- Effective verbal and written communication skills
- Strong time management and self-management skills

EXPERIENCE
- Freelance Web-designer (Dec 2018 - Nov 2019)
- UI/UX Designer / Illustrator (Nov 2019 - Aug 2021)
- Full stack: UI/UX Designer / Illustrator / Graphic Designer (Apr 2021 - Present)

SKILLS
- Upper-Intermediate English proficiency
- UI/UX Design and Adaptive Design
- Illustration (raster/vector)
- Banner design
- Logo design

TOOLS
- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

AWARDS
- RED DOT in Brands & Communication Design (Aug 2022)

I am eager to secure a position in a successful company with a collaborative team, where I can continue to showcase my skills and grow professionally. I am dedicated to furthering my development and believe that there is always room for improvement. I am committed to putting forth my best effort and contributing positively to any team I join.
"
16,"
 Skills:
- Color sense, Color Theory, Composition
- Branding, Advertising, Illustration
- Web ads, Social media ads, Digital Design, Digital imagery, Digital Analytics, E-blast
- UI/UX design
- HTML/ CSS
- WEBFLOW

Soft skills:
- Confidence to work independently and in a team
- Creative
- Interface directly with customers

Completed courses:
- Dare IT - PRODUCT DESIGN
- HILLEL (IT SCHOOL) - BASIC WEB DESIGN
- CASES MEDIA - FIGMA (90)
- CASES MEDIA - Graphic design. Composition (91)

Experience:
- Extensive experience in Marketing
- Proficient in Photoshop, Illustrator, and Figma
- Advanced user of Figma
- Worked on websites, E-blasts, etc.
- Experience as a freelance and in-house manager
- Collaborated with more than 5 companies from different countries
- Freelance designer for an American company

Objective:
Passionate digital designer with a background in Marketing and expertise in Photoshop, Illustrator, and Figma. Experienced in Webflow, UI/UX design, and digital analytics. Seeking a long-term partnership to utilize skills and experience to create visually stunning designs that drive growth for clients. Excited to collaborate with clients and colleagues to develop award-winning campaigns. Contact me for potential opportunities.
"
17,"
 Digital Graphic and UI/UX Designer (NDA)
July 2021 – Present day

- Web content development
- Creation of logos, posters, graphics for events
- Infographics
- Development of landing pages
- Work with small architectural forms for advertising campaigns of events
- Design of presentations and training materials
- Creation of vector illustrations and mascots

Digital Graphic & UI/UX Designer (ReevArts)
July 2020 – July 2021

- Designed 500+ social media graphics
- Created 250+ designs for TV
- Provided consistent UI/UX designs for 2 products over 1 year
- Conducted quality control of animators' work
- Storyboarding and creating illustrations for showreels and promos

Technical Graphic Designer (Polygraphy)
April 2019 – July 2020

- Developed designs considering customer requirements for printing
- Created special layouts for printing on T-shirts and sweatshirts
- Prepared layouts for stickers and created clipping paths
- Controlled the work of in-house designers and designs from customers
- Ensured quality control of printed and cut results
- Developed technological maps

Graphic and Web (UI/UX) Designer (Freelance Design)
April 2018 – March 2019

- Created final art and files for Developers and animators
- Collaborated with editors and project managers
- Designed final art for presentations and assisted in Creative Presentations
- Developed website and interface designs
- Conducted prototyping and templating

Assistant Manager (АМО1, ООО)
October 2013 – June 2014

- Searched for potential clients
- Communicated with clients and addressed objections
- Found tenders in the company's areas of activities
- Analyzed the need for new parts production and market demand
- Worked with drawings
- Fulfilled personal orders of the head
- Analyzed competitors' market and monitored prices
- Maintained the enterprise's website
"
18,"
 Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Completed a 6-month UI/UX design course and additionally studied HTML/CSS. Proficient in design software including Figma, Photoshop, and Illustrator. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Successfully defended and presented 3 projects, including website redesign projects for a real estate company, a travel website, and a mobile application for booking tables in restaurants. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs. Seeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and ready to perform complex tasks.
"
19,"
 Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing Page
f.Lover Mobile App for Delivering Flowers
"
20,"
 During my training, I completed three projects, two on my own, the third in a team. I am skilled in working both independently and as a team leader, with a strong ability to generate innovative ideas. Throughout my training, I gained technical knowledge and theoretical insights.

Project Highlights:

Flowers Delivery Mobile App
- Developed a user-friendly interface for online flower ordering service
- Conducted persona research to understand customer demand
- Created an easy-to-use app for global bouquet orders

Pet Scout Animal Pet Search Web Service
- Conducted UX research, competitor analysis, and user flow
- Collaborated on wireframes, mockups, and prototypes in a team setting

Barbershop Landing Page
- Created a landing page detailing services and appointment booking
- Conducted competitor analysis, developed personas, and utilized research methods
- Designed desktop, tablet, and mobile versions of the site

Tattoo Studio Website Redesign
- Redesigned a tattoo salon website for artist selection and consultation sign-up
- Analyzed competitor demographics and statistical data
- Developed a visually appealing and user-friendly website

I am seeking remote work opportunities, either with a company or as a freelance designer. I am eager to further develop my skills and expertise in the field, with a particular interest in mentorship opportunities. I am committed to creating products that exceed customer expectations.
"
21,"
 Skills: 
- Figma
- Illustrator
- Protopie
- Photoshop

Responsibilities and Experiences:
- Proficient in creating low and high fidelity prototypes
- Skilled in vector illustration and logo creation
- Expertise in adaptive design and improving user interface and user experience
- Specialize in UI/UX for web and mobile applications
- Experienced in competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation
- Worked on various projects including Website Redesign for ""Destin Tattoo Company,"" Webservice ""The Lost Pets,"" and Mobile App ""Suit Store""
- Collaborated in a team setting as well as independently to deliver successful results
- Dedicated to solving problems and optimizing daily goals for target audiences
- Seeking a full time job in a creative and friendly team environment to continue improving user interfaces and finding solutions for challenging problems.
"
22,"
 Team leader in the ""BudgetStay project"" and ""Tantric massage Salon Sensual"" landing page development projects.
Designed and completed the ""FoodieFinder"" mobile application for restaurant table reservations.
Managed the creation of the Sensual Temple landing page for desktop, tablet, and mobile devices.
Led a team of 2 designers in the development of the BudgetStay web service for accommodation search and booking.
Independently conceptualized and redesigned the ""India Cafe"" website for improved user experience.
Created a concept landing page for the Citroen 4 test drive in Ukraine.
Excited to continue my career as a UX/UI designer, contributing to innovative and modern projects that enhance client interaction and satisfaction.
"
23,"
 Experience:
- Computer Science Teacher at a school for 15 years, teaching raster and vector graphics, 3D modeling, programming languages
- Worked on website redesign and adaptive design project for veterinary clinic ""Aibolit""
- Conducted research, developed moodboard, landing page, described persona, worked on user flow for website redesign project
- Developed ""Coffee Time"" mobile application, focusing on easy payment process and scan feature
- Skilled in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, Figma
- Enthusiastic about learning and applying new technologies

Seeking to join a friendly and motivated team to further develop skills and achieve goals.
"
24,"
 - Mobios School (Sep 2021 — Dec 2021)
  UX/UI web-design + mobile design

- CURSOR Education (Feb 2021 — Jul 2021)
  UI/UX Designer 

- Source IT (courses). (Feb 2015 — Apr 2015)
  HTML layout

- H.S. Skovoroda Kharkiv National Pedagogical University
  Faculty of Art and Graphics 
  Ad designer

- More than 10 years experience as a layout designer in various publishing houses.
  Responsibilities include development of layouts for books, magazines, and posters. Page design, search and processing of vector illustrations, drawing if necessary, and compilation of collages. Preparation of products for printing.

- Graduated from UI/UX Design courses covering communication, UX research, wireframing, UI design, mobile app design, and web design. Developed final project including interviews with clients, competitor analysis, SWOT analysis, UX Persona, CJM, information architecture development, wireframes, and design.

- Seeking a position in a cool and friendly team where I can continue learning and receive guidance to improve my skills.
"
25,"
 I have achieved several notable accomplishments during my training and projects. Despite my limited experience, I have actively pursued opportunities to showcase my skills and demonstrate my dedication to the field of UI/UX design.

Successful Completion of UI/UX Design Courses: I successfully completed comprehensive UI/UX design courses, where I gained a solid foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design. This achievement demonstrates my commitment to learning and developing the necessary skills to excel in the field.

Project Contributions: During my courses, I actively participated in various design projects, both individually and as part of a team. I successfully collaborated with fellow designers, developers, and stakeholders to deliver well-designed user interfaces and engaging user experiences. These projects allowed me to apply my theoretical knowledge to real-world scenarios, demonstrating my ability to create visually appealing and user-friendly designs.

Positive Feedback from Course Instructors and Peers: Throughout my training, I received positive feedback from instructors and peers on my design work. They commended my attention to detail, creativity, and ability to incorporate user feedback into my design iterations. This feedback validates my capabilities and motivates me to continue improving and refining my design skills.

Continuous Learning and Growth: Despite being at the early stages of my career, I have demonstrated a strong commitment to continuous learning and professional development. I have actively pursued self-study, attended webinars, and engaged with design communities to stay up-to-date with industry trends, new tools, and emerging design practices. This dedication to personal growth showcases my eagerness to evolve as a UI/UX Designer.

For six months, I worked as a freelance UI/UX designer, where I was responsible for developing and creating unique user interfaces for various clients. My role involved analyzing client requirements, conducting user research, creating information architecture, conducting user experience testing, and creating prototypes. I also participated in iterative processes and collaborated with developers to ensure high-quality end products.

During my freelance work, I developed my skills in design and user experience, gained a deep understanding of the product creation process, and learned to effectively communicate with clients and manage project timelines. As a result of my work, my clients received distinctive and appealing designs that enhanced their user experience and improved conversion rates.

My freelance experience validates my ability to work independently, organize my work, and achieve results within given deadlines. I am ready to apply these skills and experiences to a new team, to help achieve its goals and bring long-term value to the company.
"
26,"
 During my continuous studies, I performed many interesting projects. Namely:
- Redesign of the site of the roofing materials plant, transforming it into a modern and user-friendly landing page.
- Creation of a stylish landing page for a tea studio, focused on providing information and aesthetic satisfaction to potential clients.
- Development of an online store for board games, utilizing elements of AI.
- Improvement project for the Ukrainian cinema network Multiplex application, including detailed UX research and proposed solutions for enhancing user experience.
In the past eleven months, I have focused on developing my skills in Ui/Ux design, becoming proficient in Figma (component, variants, auto layout, constraints) as well as using Photoshop, Illustrator, Webflow, and After Effects. I am committed to continuous learning and strive to infuse each project with my unique creativity and Ukrainian identity.
"
27,"
 know HTML 5, CSS3 (responsive and adaptive design), SASS/LESS, work with flexbox, GIT, some Java Script (basic knowledge), React.js (I can split it into components and prepare for developer's work), Bootstrap.

Combining design skills with an understanding of developer thinking, I have spent several years freelancing, creating commissioned illustrations and portraits. This experience has honed my ability to manage client relationships and project priorities effectively.

Proficient in Adobe programs such as Photoshop, Illustrator, and InDesign, as well as Procreate, I am continuously seeking to enhance my professional skills.

I have remote work experience creating 2D characters for training videos and now aim to transition into UI/UX design to merge art/design with front-end development. Quickly mastering Figma, I am eager to deepen my expertise in this field as it feels like my true calling.
"
28,"
 I have four years of experience as a Project and Product Manager, managing 74 projects (websites) simultaneously and leading the development of mobile applications. Skilled in all stages of development.

Education:
- Completed four design courses at Projector School

Work Experience:
Freelance UI/UX Designer:
- Landing page design
- Design of online stores (e-commerce)
- Prototyping
- Layout of sites on Tilda
- Creation of logos and corporate identity
- Creation of visiting cards and advertising banners

Netpeak Group UI/UX Designer:
- Designed blogs and websites for reviews of various topics
- Landing page design on Tilda
- Logo creation

Netpeak Group Project/Product Manager:
- Managed a team for mobile apps and websites development
- Manual testing of products
- Managed workflow: technical tasks, prototyping, design, development, testing, production
- Established communication channels between project stakeholders
- Organized retrospectives, backlog grooming, planning poker
- Created prototypes
- Worked with analytics tools like Google Analytics, AppsFlyer
- Analyzed competitors using App Annie, Alexa, Sensor Tower

Seeking:
- Interesting projects
- Professional growth
- Well-organized management processes
- Comfortable workplace and friendly team

Looking to enhance design skills in a company dedicated to achieving impactful results, with a mission of employee and societal development through innovative products and a positive work culture.
"
29,"
 From June 2022 learning UX-UI web design

Graphic/Motion Designer
Freelance | February 2022 - Present
Design and animate motion graphics for social media using Adobe After Effects and other software tools.
Stay up-to-date on the latest design and animation trends and techniques.
Continuously improve skills and knowledge through online courses and workshops.
All the artworks you can find on my Instagram page Kara_mond

Event Manager
DKG | November 2021 - January 2022
Implemented new ways of event promotion.
Developed event feedback surveys and post-event reports.
Organised email campaigns and created scripts for them.
Coordinated internal resources to ensure successful project completion.

Social Media Manager
Freelance | October 2020 - February 2022
Designed and implemented social media strategy across 6 Instagram/Facebook company brands.
Scheduled, created, and wrote content, video, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries.
Executed social media presence across Instagram and Facebook.
Reported social media KPIs for each channel, including engagement, followers.
Learned Photoshop/After Effects to create custom banners and other images for use in campaigns.

Conference Project Manager
BCF | May 2019 - August 2021
Full cycle of event management, including developing event program, schedule, and concept.
Managed in-house and remote team of five.
Led up to 6 projects simultaneously.
Organised 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries.
Feedback analysis for strategic development of future events.

PR Manager (Internal Communications)
KazTransOil | December 2015 - August 2017
Created articles and press releases.
Managed and communicated with mass media.
Managed charity events on behalf of the company.
Created weekly and daily news for internal stakeholders.
"
30,"
 Experience:

- Created intuitive wireframes and developed interactive prototypes using Figma for various projects.
- Adapted desktop interfaces into responsive designs for different screen sizes.
- Created user flows to identify pain points and opportunities for enhancing user journeys.
- Demonstrated quick learning of new design tools and techniques.
- Actively sought feedback from senior designers and colleagues to improve designs.
- Applied empathy-driven design to create sensitive and supportive interfaces for the 'PAW Tracker' website design project.
- Utilized user research, intuitive design, and collaboration to improve dining experiences through the 'TableTap' mobile app design project.

Work Experience:

Agro-Industrial Group 'Pan Kurchak'
Advertising Manager
Aug. 2021 - Present
- Managed SMM and websites
- Wrote product requirements documents for graphic and web designers

Advertising Agency 'Ruden Agency'
Social Media Manager
Oct. 2020 - Sep. 2021
- Created content plans, wrote and scheduled posts
- Designed illustrations for social media

Objective:
Seeking a full-time position at a company focused on simplifying and improving daily lives. Quick learner, reliable, and ready for challenging tasks.
"
31,"
 Department Director

- As department director, led team in developing a web service for finding missing pets
- Managed team effort in creating Furry Finder, a service allowing users to post ads for lost or found animals
- Oversaw redesign of Skandi restaurant website, improving readability, design, and functionality
- Led full cycle design of Getshop App, a mobile application for selecting and delivering gifts with in-app payments during a course
"
32,"
 I have completed a Web design course and a Mobile application design course in PROJECTOR Institute

GBS IT , StartUp - oct 2022 - now

Creation and invention of design solutions for desktop and browser versions of the application on the principle of CRM system:
- market and competitor research;
- constant collaboration and communication with the customer (owner) and the developer
- full design development from mockups to the finished solution;
- creation of 40+ design solutions of tables and their integration in the application (2D and 3D formats);
- animation of all transitions and active actions of the application

Upwork , Freelance working - may 2022 - now

I have developed a landing page design for PC and smartphone, for a startup company that produces orthopedic pillows;

I conducted market research and analysis, developed and worked out the idea, modeled and created the design of a mobile application called Sommelier, which includes a database of alcoholic beverages, a store, a poster of various gastronomic events, etc.

Conducted an in-depth analysis and research of the Paired mobile application (competitor), proposed ideas and solutions that could improve it, and created a solution design. Proposed 2 conceptual hypotheses for changing the payment screen, described what solutions I expect as a result and created their solution design.
Redesigned their web page.

I have a positive experience of working as a leader of a team of 12 employees. In my last job, I was busy with analytics and market research, top sales statistics and working with this data to improve and increase sales.
I expect to expand my knowledge, learn new things and become a successful and useful member of the team.
"
33,"
 Full Name 
Email Address 
Phone Number 

Education: 
Certificate in Web Design 
Completion Date: [Month, Year]

Skills: 
- Developing effective interfaces based on best practices 
- Deep understanding of UX/UI design 
- Proficiency in design tools such as Adobe XD, Figma, and Sketch 
- Creating responsive web designs for optimal viewing on different devices 
- Expertise in colour harmony and typography selection 
- Experience in prototyping and testing designs with users 
- Strong ability to collaborate effectively in team projects 

Projects: 

Gifts&Fleurs 
- Analysed competitors, identified user interests, defined target audience needs 
- Developed unique layout including onboarding, home page, catalogue, favourites, cart, user profile 
- Selected soothing pastel colour palette and legible font for optimal user experience 

Mr.Cleaner 
- Worked in a team of three to develop user-friendly design for a cleaning company 
- Conducted competitor analysis, selected references, and analysed target audience 
- Created user flow diagram and page layouts for the resource 
- Designed main page and ensured adaptation to various devices 

A Kids Place Childcare 
- Redesigned the website of a kindergarten, creating wireframes and UI design 
- Made CTA clickable and created UI Kit for the website 
- Adapted site for tablets and mobile devices 
- Designed a cheerful and easy-to-navigate interface reflecting the joy of childhood 

Summary: 
I have demonstrated a strong integration of web design theory and practice through my projects, showcasing my ability to create effective, responsive, and aesthetically pleasing designs. My skills in UX/UI, design tools, responsive design, and collaboration make me a valuable asset to any web design team.
"
