,modified
47,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

**Professional Summary**  
Dynamic UI/UX Designer with extensive experience in advertising, print products, and managing full-scale advertising projects. Proven track record as a team leader on large-scale projects, consistently improving skills and delivering user-centered designs.

**Project Experience**  

**Webservice**  
*Team Leader | Full Design Cycle*  
- Developed a medical web service for finding and making appointments with doctors.  
- Created user interfaces for patients, doctors, and online consultations.  
- Ensured full adaptability for tablet and mobile platforms.

**Redesign**  
*Team Leader | Complete Design Cycle*  
- Executed a comprehensive redesign of a sports bar website.  
- Updated the visual design and improved usability, including a booking feature.  
- Adapted the site for mobile and tablet devices to enhance user experience.  

**Core Competencies**  
- UI/UX Design  
- Project Management  
- Web Service Development  
- Website Redesign  
- User-Centered Design  
- Adaptability for Mobile Devices  

**Professional Development**  
- Continually enhancing design skills and staying updated with industry trends.  

**Personal Interests**  
- Eager to connect with new colleagues and work on innovative projects within a collaborative team environment.  
"
48,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Aspiring Junior UI/UX Designer seeking a position in a collaborative team environment with mentorship opportunities to further develop skills and gain experience in the field.

---

**Experience**  

**Presentation Designer**  
Designed a presentation for Mikhail Fedorov, Minister of Digital Transformation of Ukraine, facilitating discussions with mayors of Ukraine's large cities to promote digital transformation.

---

**Skills**  
- Proficient in Figma (auto-layout, components, variants, styles, plugins, animation, prototyping)  
- Proficient in WebFlow (CMS, responsive design, animations, publishing, integrations)  
- Experience in creating UI kits and working with design systems  
- Strong visual skills recognized by previous manager and Projector mentor  
- Experience in stakeholder and user interviews  
- Experience in user testing  
- Basic knowledge of HTML/CSS and Bootstrap  
- Attention to detail with the ability to generate and propose ideas  

---

**Project Experience**  
- **UI Design**: Clothing shop (web and mobile app), dentistry, public transport app, electronic document management system  
- **UX and UI Design**: Pizza delivery, recruitment, and job board sites  

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

--- 

**References**  
Available upon request.
"
49,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Professional Summary**  
Junior UI/UX Designer with a strong background in theory and practical experience in the pharmaceutical field. Skilled in user-centered design with a passion for creating intuitive user interfaces that enhance user experience. Proficient in Figma and Adobe Photoshop, with experience in designing mobile applications, landing pages, dashboards, and website redesigns. A quick and responsible learner, energetic communicator, and organized team player.

---

**Skills**  
- Proficient in Figma and Adobe Photoshop  
- User-centered design  
- Mobile app design  
- Website and landing page design  
- Competitor analysis  
- User Flow and Customer Journey Mapping (CJM)  
- Strong communication skills  
- Problem-solving abilities  

---

**Projects Experience**  

- **PetDetective – Webservice**  
  Developed a platform aiding lost pet owners in their search, facilitating volunteer participation. Conducted competitor analysis and user interviews to identify necessary features for user convenience, curating a comprehensive resource for lost pet recovery.

- **Cucina di Catharina – Website Redesign**  
  Led the redesign of a homemade Italian gravy website. Reorganized site content, incorporated high-quality images, optimized content length, and implemented a call-to-action button using a refined color palette to enhance user engagement.

- **Mobile App PresentPerfect**  
  Designed a mobile app for personalized gift sending, utilizing the Material Design System. Conducted market analysis and user interviews to inform key functionalities, developed user personas, and user flows. The app includes over 40 screens with detailed animations.

- **Dashboard for IT School**  
  Created an informative dashboard for students and teachers of an IT school, summarizing critical metrics for streamlined access to essential information.

- **Landing Page Timeless Home**  
  Designed a welcoming landing page promoting watches, focusing on intuitive user interfaces and clear structure to guide users toward making desired actions.

---

**Career Objectives**  
Seeking opportunities for career growth in a results-oriented environment that values open teamwork, remote or partially remote work options, and a positive corporate culture that recognizes the contribution of each employee.  

---  

**References available upon request.**  
"
50,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Objective**  
Enthusiastic and dedicated UI/UX designer seeking opportunities to create innovative, user-centered designs that enhance the interaction between people and technology. Committed to professional growth and continuous improvement of skills in a collaborative environment.

**Education**  
[Your Degree]  
[Your University]  
[City, State]  
[Month, Year of Graduation]

**Experience**  
**UI/UX Designer (Volunteer)**  
[Non-Profit Charity Project Name]  
[City, State]  
[Month, Year] - Present  
- Built websites, landing pages, and mobile applications to support project goals.  
- Conducted UX research and created wireframes and animated prototypes.  
- Developed design and functionality of adaptive sites, ensuring a user-friendly experience.  
- Prepared graphic materials for websites, adhering to best design practices.  

**Skills**  
- Proficient in design tools including Figma, Adobe XD, and Adobe Photoshop.  
- Knowledgeable in color theory, typography, composition, and other design elements.  
- Skilled in conducting competitor research, user needs analysis, and creating user personas.  
- Strong teamwork skills; able to collaborate effectively with peers and stakeholders.  
- Capable of handling pressure and working well in stressful situations.  

**Professional Development**  
- Continuous study of theoretical and practical aspects of UI/UX design with a focus on intuitive and aesthetically pleasing user experiences.  

**Interests**  
- Actively seeking challenges and opportunities to expand knowledge in UI/UX design.  
- Eager to work on projects that allow for the application of design skills within a supportive team environment.  
"
51,"
 James  
Product Designer  

Skilled in creating intuitive interactions and experiences driven by empathy and innovative thinking. Goal-driven and self-motivated, always seeking new challenges and responsibilities. Thrives on learning and developing systems that simplify people's lives.  

Experience as a UI/UX Designer, Webflow Developer, WordPress Developer, and Shopify Developer, bringing a diverse skill set. Keen eye for design and a deep understanding of user experience principles, enabling the crafting of engaging and impactful digital products.  

Internship at Zuri Team, Inc. as the design lead for Team 70, working on ICON CITY, a responsive platform for generating favicons. Demonstrated leadership skills and collaborated with a diverse team to deliver a successful product.  

Actively seeking new opportunities to apply skills and contribute to exceptional digital experiences. Passionate and dedicated Product Designer with a knack for problem-solving and attention to detail.  

Open to potential collaborations focused on intuitive design and remarkable user experiences. 
"
52,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
UI/UX Designer with expertise in developing landing pages, web services, mobile applications, and redesigning websites. Skilled in conducting client and competitor analysis, setting goals, and adapting to target audiences. Proficient in creating user-centric designs through a step-by-step approach, from low-fidelity to high-fidelity prototypes, developing visual styles, animations, and preparing for implementation.

---

**Professional Experience**  

**UI/UX Designer**  
[Company Name] | [Location] | [Start Date] - [End Date]  
- Developed the Handyhelper web service in collaboration with a team; a platform connecting job seekers with employers across various categories.  
- Focused on user interaction for job seekers, creating user personas, user flows, high-fidelity prototypes, user interfaces, and animated prototypes.  
- Ensured adaptation of pages for tablets and mobile devices to enhance user experience.  

**Freelance UI/UX Designer**  
[Location] | [Start Date] - [End Date]  
- Led the redesign of the Mainsail Realty Company website, improving the interface for searching real estate and connecting with agents.  
- Conducted competitor analysis to inform design decisions and enhance the site's relevance.  
- Developed detailed redesign prototypes, modified the structure of reviews and property cards, selected typography, and established a visual concept.  
- Adapted the redesigned site to various devices ensuring clarity and simplicity for users.  

---

**Skills**  
- UI/UX Design  
- Prototyping (Low-fidelity & High-fidelity)  
- User Research & Personas  
- User Flow Development  
- Responsive Design  
- Animation  
- Client & Competitor Analysis  
- Team Collaboration  

---

**Education**  
[Degree] in [Field of Study]  
[University/College Name] | [Location] | [Graduation Year]  

---

**Interests**  
Seeking a full-time position in a supportive team environment focused on development and outcomes. Open to opportunities for career growth and partial remote work.   

---

**References**  
Available upon request.
"
53,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

**Objective**  
Aspiring junior web designer with a strong foundation in UI/UX design, seeking to contribute to interesting projects within a collaborative team. Eager to enhance skills and support the growth and success of the company.

**Education**  
UI/UX Design, Go IT  

**Projects**  
- Created the ""Sugaring"" landing page for a sugaring salon  
- Redesigned the website for ""Indian Cafe,"" an Indian cuisine restaurant  
- Collaborated on a project to develop ""Animal Stories,"" a web service for finding lost animals  

**Skills**  
- Competitive Analysis  
- User Personas + JTBD  
- Customer Journey Mapping  
- Brainstorming  
- User Flow  
- Wireframing  
- Visual Design  
- Adaptation  

**Interests**  
Open to proposals for UI/UX design, including landings, websites, services, and mobile applications.
"
54,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile URL]  

**Objective**  
To create web and mobile applications that are simpler and more user-friendly, leveraging modern trends and technologies in web design.

**Professional Experience**  

**Freelance Developer**  
*Crypto Exchange ""ALTIMA""*  
- Developed a mobile application aimed at simplifying and enhancing the cryptocurrency trading experience for users.  
- Designed a minimalist interface focused on usability, featuring fast verification through ""ДІЯ"" and facial recognition technology.  

**Graphic Designer & Manager**  
*Advertising and Printing Agency*  
- Managed various graphic design projects, ensuring the delivery of high-quality visual content.  
- Collaborated with clients to understand their vision and deliver designs that met their expectations.  

**Projects**  

**Web Service ""WashHouse""**  
- Created a web service designed to simplify the process of booking cleaning services for clients and service providers, enabling secure online payments without the need for personal meetings.  
- Implemented UX research methods to ensure intuitive and effective design solutions.

**Skills**  
- Proficient in UX research methods for creating effective designs.  
- Skilled in Figma, Adobe Photoshop, and Adobe Illustrator for graphic design, illustrations, and prototypes.  
- Experienced in Protopie for building highly accurate interactive prototypes.  
- Strong ability to work in a team and manage multiple projects simultaneously.  
- Passionate about understanding user needs and behaviors to enhance product usability.  

**Professional Development**  
- Continuously seeking new ideas and opportunities for professional growth.  
- Actively engaging with materials from industry leaders like the Nielsen Norman Group for inspiration and best practices.  
"
55,"
 Alina  
Junior UI/UX Designer  
[Your Phone Number] | [Your Email Address] | [Your LinkedIn Profile]   

---

**Professional Summary**  
Highly motivated and skilled designer with a passion for creating captivating user experiences. Expertise in web design, market analysis, and delivering aesthetically pleasing solutions. Strong collaborator and effective communicator. Committed to staying current with design trends and dedicated to delivering excellence in every project.

---

**Experience**  

**Academic Projects**  

**Beauty Salon Website Design**  
- Conducted thorough research and analysis of competitors in the beauty industry to identify areas for improvement.  
- Created a mood board that captured the essence and desired aesthetic of the salon.  
- Developed detailed wireframes outlining the website's structure and functionality with a focus on user experience and navigation.  
- Implemented a visually appealing and cohesive design that incorporated branding elements, color schemes, and typography, resulting in an engaging and professional website.  

**Cleaning Company Web Service**  
- Performed comprehensive audience research to gain insights into target market preferences and expectations.  
- Employed the Design Thinking methodology through the Define, Ideate, and Design phases to develop an innovative and user-friendly interface.  
- Ensured the design's responsiveness and accessibility across various devices, implementing adaptive design for optimal user experience on tablets and mobile devices.  

---

**Skills**  
- Prototypes  
- Typography  
- UI Design  
- UX Design  
  
**Tools**  
- Figma  
- Canva  
- Adobe Photoshop  

---

**Personal Statement**  
I love connecting with new people and am excited to embrace new challenges. I am looking for a remote position in a company that aims to make everyday life and business more convenient and productive. I am dedicated to continuous learning and development in the field of design.
"
56,"
 **Anna**  
Junior UI/UX Designer  
[Your Contact Information]  
[City, State]  
[Your Email Address]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio URL]  

---

**Professional Summary**  
Creative and detail-oriented Junior UI/UX Designer with six months of experience in web design. Proven ability to lead projects, conduct UX research, and work with design systems. Committed to creating user-friendly and aesthetically pleasing products that meet the needs of users and businesses.

---

**Projects**  

**Web Service for Cleaning**  
*Team Leader*  
- Led a team project focused on developing a web service to connect users with cleaning, gardening, and other service providers.  
- Responsibilities included competitor analysis, user flow creation, user persona development, and product design.  
- Engaged in prototyping and ensured responsiveness across different devices.

**Sophie Scholl Realschule Website Redesign**  
*Independent Project*  
- Designed and developed a modern, user-friendly website for Sophie Scholl Realschule.  
- Focused on creating a simple and accessible interface that enhances user experience.

---

**Skills**  
- Proficient in design systems  
- Strong practical skills in UX research  
- Effective team collaboration  
- Responsive design and prototyping  

---

**Interests**  
- Collaborating with a friendly and creative team  
- Engaging in interesting web design projects  
- Contributing to meaningful product development  

--- 

**References available upon request**  
"
57,"
 Bohdan  
[Your Contact Information]  
[City, State] | [Email Address] | [Phone Number] | [LinkedIn Profile]  

**Professional Summary**  
Specializing in UX/UI design for web and mobile applications, I have honed my skills through a year of training, during which I executed various projects and tasks focused on usability and engaging design. My experience encompasses working on two personal projects and leading a team project, ensuring effective collaboration and communication throughout the process.

**Experience**  

**Team Leader, [Team Project Name]**  
[Date]  
- Led a team project, coordinating efforts to achieve project milestones and fostering an environment of collaboration and creativity.

**Personal Projects**  

**Architecture Website**  
- Met with the client to ascertain their wishes and goals for the website.  
- Conducted research in the field of architecture, gathering relevant photos and videos for use on the site.  
- Designed the structure of the site, defining the main sections such as portfolio, services, projects, and contacts.  
- Created the site design with a focus on architectural aesthetics, utilizing high-quality images and ensuring easy navigation.  

**Online Store for iPhone**  
- Investigated the specifics of the Apple brand and the design of iOS interfaces to align the website with the company's values and style.  
- Collected key information regarding new iPhone models, including functionality and characteristics.  
- Developed site layouts using a minimalist design approach, emphasizing imagery and user-friendly navigation.  
- Integrated comprehensive information about various iPhone models, featuring their attributes, pricing, and purchase options.  

**Skills**  
- UX/UI Design  
- Usability Principles  
- Team Collaboration  
- Design Research  
- Client Communication  
- Adaptability to New Technologies  
- Feedback Integration  

I am passionate about continuous development in the UX/UI field. I view the new workplace as an opportunity for growth and a platform for creativity and innovation. I aim to contribute my skills to create visually stunning products that provide an exceptional user experience while actively engaging with team members to achieve shared goals.
"
58,"
 Lilya  
Junior UI/UX Designer  

Contact Information  
[Your Email]  
[Your Phone Number]  
[Your LinkedIn Profile]  

Summary  
Passionate Junior UI/UX Designer with hands-on experience in creating landing pages and web service designs. Proficient in user research and interface design with a strong foundation in communication, creativity, and problem-solving gained from previous roles. Currently enhancing my skills through UI/UX design courses at GoIT.

Projects  
1. **Landing Page for Flower Shop - FloverLover**  
   - Conducted target audience and competitor analysis  
   - Created a moodboard  
   - Developed a landing page prototype  
   - Designed a UI Kit for the website  

2. **Website Redesign for Kindergarten**  
   - Updated the user interface  
   - Focused on typography and color improvements  
   - Performed competitor and target audience analysis  
   - Implemented adaptations for mobile and tablet versions  

3. **Travel Web Service Project**  
   - Analyzed user personas  
   - Created a prototype for the web service  
   - Conducted competitor analysis  

Skills  
- UI/UX Design  
- Target Audience Research  
- Prototype Development  
- Competitor Analysis  
- Mobile and Tablet Adaptation  
- Communication and Collaboration  
- Creativity and Problem Solving  

Education  
- UI/UX Design Courses, GoIT, March 2023 - Present  

Objective  
Seeking an opportunity in a company where I can continue to grow and develop my skills in UI/UX design, contributing effectively to innovative projects.
"
59,"
 Max  

[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Passionate and skilled Digital Designer with over two years of experience in Digital Art and UI/UX design. Adept at creating functional and aesthetically pleasing designs for web and promotional materials. Committed to blending creativity with technology to deliver outstanding user experiences.

**Education**  
Bachelor of Arts in [Your Major]  
University of the Arts, [City, Country]  
2018 - Present  

**Professional Experience**  

*Freelance Digital Designer*  
Ukrainian and Russian Freelance Platforms, UPWork  
2018 - Present  
- Developed website designs and promotional materials for various clients, including a gaming website that launched a roulette feature for CS GO.  
- Designed web interfaces and promotional materials showcased in online tournaments and on platforms like StarLadder.  
- Created SEO-optimized designs focusing on functionality and mobile device optimization.  
- Built websites using Tilda and Wix, tailoring to client preferences and market demographics.  

**Projects**  
- Designed a website for a cat adoption center for the Zoolux network of veterinarians, focusing on user-friendly interfaces and vibrant aesthetics.  
- Delivered all designs using Figma and Adobe XD, ensuring high-quality visual output and adherence to client specifications.

**Skills**  
- **Digital Design:** Adobe Photoshop, Illustrator (4 years)  
- **UI/UX Design:** Figma, Adobe XD, Sketch, Azure RP (2 years)  
- **Video Editing:** Adobe Premiere Pro, After Effects, Animate (Skilled)  
- **Photo Editing:** Adobe Photoshop, Lightroom, Camera RAW (4 years)  

**Personal Attributes**  
- Highly communicative and collaborative, with a desire to build strong professional relationships.  
- Flexible and accommodating in dynamic work environments, willing to adapt to changing needs while maintaining focus on project goals.  

**Availability**  
Ready to undertake a test task as needed.
"
60,"
 Yana  
UX/UI Designer  

Proficiencies:  
- Figma, Adobe Illustrator, Adobe Photoshop, Miro  
- Styles, components, variants in design  
- Typography; raster and vector graphics  
- Principles of usability  
- Website creation; adaptive design  
- Google Material Design; Apple Human Interface Guidelines  
- Interactive prototypes  

Professional Experience:  

- Designed a landing page for a sugaring salon, including competitor analysis and user profile creation, with a focus on color and typography.  
- Redesigned an existing website, delivering a working prototype, wireframes, a design kit, and product cards using autolayout, components, and variants.  

Interests:  
- Excited to work on new and innovative projects.  
- Seeking collaboration with a passionate team of professionals.  

Preferences:  
- Full-time or part-time positions  
- Remote work  
- Product companies  
- Social projects  
- E-commerce industry  
"
61,"
 **Yulia**  
Junior UI/UX Designer  
[Your Email]  
[Your Phone Number]  
[Your LinkedIn Profile]  

---

**Professional Summary**  
Motivated and skilled junior UI/UX designer with a strong foundation in graphic design and a passion for creating impactful and visually stunning design solutions. Proven ability to communicate effectively with clients and collaborate as part of a team to achieve common goals.

---

**Education**  
- **Mobile Apps Design Course**  
  Projector, May 2023  

- **UX/UI Design Courses**  
  Beetroot Academy, January 2022  

---

**Experience**  

**Freelance Designer**  
[Your Freelance Business Name] - [Your Location]  
[Year Started] - Present  
- Developed logos and brand identities for small brands, enhancing their product promotion on Instagram.  
- Created visually engaging profile designs and produced both photography and video content for clients in food manufacturing, clothing and accessories, and local services.  
- Designed landing pages, micro-pages, and resume layouts, along with internal presentations, showcasing UI design skills.  
- Gained proficiency in Figma, contributing to effective project outcomes.

---

**Skills**  
- UI/UX Design  
- Graphic Design  
- Figma  
- Visual Content Creation  
- Client Communication  
- Problem-Solving  
- Adaptability  
- Team Collaboration  

---

**Languages**  
- English (Fluent)  
- Polish (Fluent)  

---

**Career Goals**  
Eager to grow as a UI/UX designer and gain experience across diverse projects while delivering high-quality work. Seeking a role in a digital creative agency that promotes creativity and innovation, with opportunities to collaborate with like-minded professionals.  
"
62,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  
[Portfolio URL]  

---

**PROFESSIONAL SUMMARY**  
Passionate UI/UX designer with a keen focus on creating logical, intuitive, and modern user experiences and interfaces. Committed to utilizing best UX practices while emphasizing user needs to ensure a smooth and effortless user journey.

---

**PROFESSIONAL EXPERIENCE**  

**UI/UX Designer**  
[Your Company] - [Location]  
[Month, Year] - Present  
- Collaborated with stakeholders to design an order builder function for a responsive website, adhering to all requirements.  
- Mastered Figma tools including FigJam, autolayouts, components and their variants, styles, and prototyping.  
- Ensured compliance with Material Design and Human Interface Guidelines.  

**UI/UX Design Certification Project**  
[Institution/Organization]  
[Month, Year] - [Month, Year]  
- Designed an e-commerce website while considering all stakeholder requirements.  
- Collaborated with six other designers during the research phase.  
- Performed competitive research to analyze market niche and communicate design decisions during brainstorming sessions.  
- Developed a survey for a targeted user group to gain valuable insights.  
- Utilized quantitative and qualitative research methods to gather insights.  
- Created user personas and customer journey maps.  
- Developed information architecture and optimized the website for mobile devices.  
- Conducted wireframing, prototyping, and usability testing to validate design decisions.  
- Composed a UI kit using atomic design methodology and ensured all UI elements met accessibility standards.  

---

**SKILLS**  
- Competitive Analysis  
- SWOT Analysis  
- User Surveys  
- Quantitative Research  
- Qualitative Research  
- User Persona Development  
- Customer Journey Mapping  
- Information Architecture  
- Wireframing  
- Prototyping  
- Usability Testing  
- UI Kit Creation  
- Desktop and Mobile User Interface Design (iOS, Android, responsive/adaptive websites)  

---

**PROFESSIONAL GOAL**  
Seeking to join an ambitious team of skilled specialists to implement complex projects collaboratively.
"
63,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio Link]  

**Objective**  
Junior UI/UX Designer with a passion for creating intuitive and visually appealing designs. A collaborative team player with excellent communication skills, dedicated to leveraging design to solve problems and enhance the user experience.

**Education**  
- Completed 6 design courses (certificates available)  
- Completed English course (certificate available)  

**Experience**  

**Junior UI/UX Designer**  
[Company Name] - [Location]  
[Month, Year] - Present  
- Designed websites for rental agricultural and construction equipment, focusing on user-centered approaches.  
- Collaborated with developers and QA teams to ensure design feasibility and functionality.  
- Created interface designs including colour schemes, typography, layouts, and icons.  
- Developed responsive web designs for desktop, mobile, and tablet platforms.  
- Conducted user experience testing to gather feedback and improve designs.  
- Created prototypes and mockups to effectively communicate design ideas.  

**Projects**  
- Redesign of IT company website.  
  - Collaborated with developers and QA teams throughout the redesign process.  
  - Focused on interface design, including colour, typography, layouts, and icons.  
  - Emphasized responsive web design for various devices.  
  - Created prototypes and mockups to visualize the final product.  

**Skills**  
- User Interface (UI) Design  
- User Experience (UX) Design  
- Prototyping  
- Mockups  
- Responsive Web Design  
- Communication and Team Collaboration  

**Professional Development**  
- Eager to learn from professionals and gain hands-on experience in the field.  
- Committed to advancing skills to become a senior UI/UX designer in the near future.  
"
64,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

---

**Objective**  
Highly motivated and versatile UX/UI designer with a successful track record in marketing and communications fields. After completing an IT school and discovering a passion for creating exceptional user experiences, I made the switch to specialize in UX/UI design for web and mobile applications. Leveraging my background in marketing and communications, I bring a unique perspective to design projects, ensuring they not only meet user needs but also align with business objectives.

---

**Projects**  

**AhojStudent.com Web Redesign** (IT School GoIT)  
- Improved the existing poorly structured website by enhancing content, structure, and visuals to create a more visitor-friendly experience.

**CleanUp Web Service Creation**  
- Developed a website that enables users to easily discover and request a diverse array of home assistance services, with the flexibility to select from an extensive range of service categories and choose professionals to fulfill specific requirements.

**SwiftShop - Smart Supermarket Payment App**  
- Designed a revolutionary supermarket payment app to streamline the shopping experience and eliminate the need for long checkout lines, featuring a user-friendly interface and cutting-edge technology.

---

**Experience**  

**Communication Strategy Expert**  
ABINBEV, Prague  
3/2022 – Present  

**Visual Communication Lecturer**  
OMD Czech, Prague  
9/2021 – Present  

**SMM Expert**  
3/2021 – Present  

**Marketing Manager**  
DOMKYSRDCEM s.r.o, Prague  
9/2021 – Present  

**Media Planner**  
OMD Czech, Prague  
11/2018 – 3/2022  

---

**Skills**  
- UX/UI Design  
- Marketing and Communications  
- Visual Communication  
- Project Management  
- Social Media Marketing  
- Content Strategy  

---

**Professional Attributes**  
- Career growth  
- Possibility of remote work  
- Training and development within the company  
- Flexibility and friendly atmosphere  
"
65,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Junior UI/UX Designer with a focus on web and mobile applications, currently studying at the international EdTech company ""GoIT"". Seeking opportunities to grow and develop within a dynamic team.

---

**Experience**

**UI/UX Designer**  
*Team Project: Medical Service*  
- Contributed to the development of a medical web service facilitating connections between doctors and patients.  
- Enabled patients and doctors to view medical histories, schedule appointments, and communicate through a chat function.  
- Implemented features for recording phone conversations and auto-generating doctor's reports.

**Freelance UI/UX Designer**  
*Tattoo Studio Website Redesign*  
- Managed the full cycle of redesigning the studio website, improving visual appeal and usability.  
- Conducted competitor analysis and research on target audience for informed design decisions.  
- Developed prototypes and a UI kit, focusing on desktop with adaptations for mobile and tablet.

**Freelance UI/UX Designer**  
*Landing Page for Flower Shop*  
- Designed a full cycle landing page including competitor analysis, color palette selection, and typography.  
- Delivered a responsive design optimized for desktop, mobile, and tablet views.  

---

**Skills**  
- Prototyping  
- Target audience research  
- Visual design  
- Responsive design  
- Collaboration  

---

**Education**  
*Current Student*  
International EdTech Company ""GoIT""  

---

**Personal Statement**  
I am eager to find a company that provides opportunities for learning and development. I am committed to being a diligent worker with a strong desire to enhance my skills in the UI/UX design field.
"
66,"
 [Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Junior UX/UI designer seeking remote opportunities to collaborate with a friendly team on engaging projects.

---

**Professional Experience**  

**Team Leader - PawPatrol**  
[Month, Year] – [Month, Year]  
- Led a team project to develop a web service allowing users to post ads for lost pets.
- Focused on research, personas, wireframes, jobs-to-be-done (JTBD), UI design, user flows, prototyping, style guide, UI kit, and adaptation.
- Primarily responsible for the UI part and case design, enhancing teamwork and leadership skills.

**Project: Redesign of Cucina de Caterina**  
[Month, Year] – [Month, Year]  
- Redesigned the Italian Sauce Shop's website to improve user access to product information.
- Conducted research, created wireframes, developed UI designs, prototyped, and prepared UI kits.
- Performed competitive analysis to inform redesign decisions.

**Project: Landing Page for eChair**  
[Month, Year] – [Month, Year]  
- Developed a landing page for gaming chairs aimed at facilitating user purchases.
- Executed research, wireframing, UI design, prototyping, and created a UI kit.

---

**Skills**  
- Prototyping  
- Landing Page Design  
- Website Design  
- Mobile Application Development  
- Team Leadership  
- Research & Analysis  
- Figma  
- Adobe Photoshop  
- Adobe Illustrator  

---

**Projects**  
- PawPatrol  
- Cucina de Caterina  
- eChair  

--- 

Looking forward to leveraging my skills in a dynamic remote environment.
"
67,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Portfolio URL]  

---

**Professional Summary**  
UI/UX Designer with over 13 years of experience in team leadership and a passion for design in its various forms. Proven ability to leverage a diverse background in graphic design, photography, and finance to create functional and innovative design solutions. Committed to staying updated with emerging technologies and trends in design.

---

**Experience**  

**UI/UX Designer**  
[Your Company Name] | [Location] | [Start Date] – Present  
- Developed a mobile application enabling users to find photographers in any city, view portfolios, and book and pay for sessions. 
  - Responsibilities: concept ideation, logo design, UX research, high fidelity wireframes, UI design, prototype animation.
- Created a web service facilitating travel users in finding and booking housing in exchange for services.
  - Responsibilities: concept ideation, logo design, UX research, high fidelity wireframes, UI design.

**Graphic Designer and Photographer**  
[Previous Company Name] | [Location] | [Start Date] – [End Date]  
- Designed corporate identities including logos, letterheads, and business cards.  
- Created print products such as calendars, boards, and flyers.  
- Managed book layout and design.  
- Produced vector illustrations and advertising photography.  
- Specialized in photo retouching and conducted newborn, family, and art photography sessions.

---

**Personal Projects**  
- **LensLink**: Developed a mobile application for photographers and clients.  
- **Sleep for Sweat**: Created a web service for travel users regarding housing bookings.

---

**Education**  
[Your Degree] in [Your Major]  
[Your University] | [Year of Graduation]  

---

**Skills**  
- UI/UX Design  
- Graphic Design  
- Photography  
- UX Research  
- Logo Design  
- High Fidelity Wireframes  
- UI Design  
- Prototype Animation  
- Vector Illustration  
- Photo Retouching  

---

**Objective**  
Eager to contribute as a valuable member of a professional team, with opportunities for growth both professionally and financially.
"
68,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio URL]  

---

**Objective**  
Web designer from Lviv seeking a full-time position to leverage my skills and experience in UI/UX design and teamwork.

---

**Education**  
Master's Degree in Musical Art  
[Your University Name], 2016-2022  

---

**Experience**  

**Web Design Intern**  
Sigma Software  
[Month Year – Month Year]  
- Designed an online portal for social initiatives and donations utilizing UI/UX design principles.  
- Identified issues and proposed practical solutions while collaborating with fellow designers.  
- Conducted consumer research and analysis, ideation, brainstorming, sketching, prototyping, and concept visualization.  
- Delivered high-fidelity wireframes, mockups, and interactive prototypes optimized for various devices and interfaces.  
- Created presentations for proof of concept and implementation, ensuring a seamless transition to the development stage.  

---

**Skills**  
- Proficient in UI/UX design  
- Experience in mobile application and website creation  
- Knowledge of HTML and CSS  
- Current study of iOS and Material design guidelines  
- Strong teamwork and collaborative problem-solving abilities  
- Passionate about continuous learning and staying updated with design trends and technology  

---  

**Portfolio**  
Examples of my work can be viewed on Behance and Instagram.  

---  

**Additional Information**  
Committed to delivering high-quality work and receiving competitive compensation, actively seeking opportunities to contribute and grow in a dynamic work environment.
"
