,Cleaned Twice GPT-4o Conversation-Improved CV
108,"          ---Professional Summary  Ambitious and hardworking UI/UX designer with experience in creating landing pages, web services, and multi-page sites. Quick learner ready for challenging tasks. Enthusiast of trends and aesthetic designs. Proficient in Figma, CorelDRAW, Adobe Photoshop, and Adobe Illustrator.---Skills- UI/UX Design- Competitor Analysis- Mood Board Creation- Prototyping- Responsive Design- Trend Analysis- Aesthetic SensibilityTools- Figma- CorelDRAW- Adobe Photoshop- Adobe Illustrator---Project ExperienceWeb Service Design for Travel- Created a user-friendly interface for housing searches- Conducted usability studies to ensure simplicity and clarity of site design- Developed structure catering to two distinct user groupsRedesign for Destin Tattoo Company- Redesigned the website with a modern, user-friendly layout- Expanded the target audience- Conducted audience and competitor analyses- Handled prototyping and site design- Curated references and created an adaptive version of the siteLanding Page for Sugaring Salon- Designed a convenient and easy-to-use landing page- Analyzed target audience and competitors- Curated references and created a mood board- Conducted prototyping and site design---Additional Attributes- Results-oriented focus on design- Team-oriented with a friendly attitude- Committed to continuous development and training- Ambitious for career growth---Pet Projects- Developed three personal projects showcasing both creative and technical skills"
109,"John Doe  Aspiring Designer    --- Professional SummaryInnovative and creative designer with practical experience in developing modern and user-centric web solutions. Expertise in Figma, with additional skills in Photoshop and Adobe Illustrator. Seeking a collaborative team environment to further refine my design skills and contribute to impactful projects.--- Professional Experience Freelance ProjectsItalian Restaurant Website- Conducted competitive analysis and audience research.- Designed and prototyped the restaurant's website focusing on user needs.- Created a cohesive color palette, size grid, and font selection.- Optimized for mobile and tablet devices to ensure seamless user experience across all platforms.Travel/Couchsurfing Web Service- Analyzed similar web services to extract user-friendly features.- Developed User Personas, User Flows, and Customer Journey Maps.- Created a comprehensive design system from prototyping to final implementation.English Language Course Landing Page- Designed a modern, visually appealing landing page.- Used vector images to maintain a consistent visual style.--- Core Skills- Design Tools: Figma, Photoshop, Adobe Illustrator- Web Design: Prototyping, Wireframing, Responsive Design- Research: Competitive Analysis, User Persona Development, User Flow Creation, Customer Journey Mapping--- Portfolio- Available on Behance--- Career ObjectiveTo join a dynamic team where I can contribute to interesting projects, manage time effectively, and thrive in a positive working environment."
110,"Aspiring UX/UI Designer---Summary:Passionate about creating user-friendly, aesthetically pleasing designs that meet client needs and provide innovative digital products. Aiming to join a creative team to enhance and hone design skills.---Skills:- Strong knowledge of design principles, UX laws, color theory, responsive design, typography, and information hierarchy.- Expertise in designing flows, wireframes, mockups, visual designs, and prototypes for landing pages, websites, and mobile applications.- Proficient with Figma, Adobe Photoshop, and Illustrator. Familiar with Webflow.- Understanding of user-centered design principles and methodologies.- Experience in conducting user research, data analysis, and concept development.- Creating style guides, UI kits, and working with design systems.- Basic knowledge of HTML/CSS.- Critical thinking and a willingness to learn new skills and tools.- Effective communication with development and QA teams to address issues early in the development cycle.---Experience:UniversityPhD Researcher- Conducted surveys and interviews, analyzed data, and validated author's decisions.- Developed design concepts for a scientific social media website based on PhD thesis results.- Created a concept for a website to search for medicine analogues abroad.Sales Manager- Enhanced customer communication to identify needs.- Organized teamwork and collaborated effectively with team members.---Design Projects:- Developed designs for landing pages, websites, and mobile applications.- Applied design principles, including color theory, typography, responsive design, and layout principles.- Managed design process from user research and concept development to prototyping, testing, and product delivery.---Objective:Eager to join a talented team, face challenging projects, stay on top of the latest design trends, and contribute to the success of the company.---Education:- PhD (details not provided in the original resume, please fill in)---Contact:- - - - "
111,"            --- ObjectiveAspiring UX/UI designer dedicated to delivering innovative and impactful designs with a focus on quality and agility. SummaryCompleted an extensive UX/UI design course, working on various digital products including mobile apps, websites, and e-commerce platforms. Proficient in design, prototyping, and user research activities such as user interviews, surveys, and usability testing. Driven to create digital solutions that address user needs while achieving business goals. Passionate about contributing to diverse projects through meticulous design practices. Skills- UX/UI Design- Prototyping- User Research  - User Interviews  - Surveys  - Usability Testing- Typography- Color Theory- Layout Design ExperienceUX/UI Design Course Participant  Institution Name    - Designed various digital products including mobile apps, websites, and e-commerce platforms.- Conducted comprehensive UX research, incorporating user interviews, surveys, and usability testing to inform design processes.- Developed user-centric designs based on detailed research to align user needs with business objectives.- Emphasized design elements such as typography, color, and layout for cohesive and effective user experiences. EducationUX/UI Design Course  Institution Name     Projects- Mobile Applications: Designed user-friendly and engaging interfaces for mobile applications.- Websites: Created responsive web designs to enhance user experience.- E-commerce Platforms: Developed intuitive e-commerce interfaces to streamline the shopping process. Interests- Enthusiastic about exploring diverse projects that benefit from thoughtful and effective design solutions.---"
112,"  Junior UX/UI Designer  --- Professional SummaryEmpathetic Junior UX/UI Designer with a knack for creating engaging and effective visual experiences by understanding human behavior and company uniqueness. Proficient in English, with strong experience in business communication and public speaking. Seeking a position in a company recognized for innovative and valuable product design.--- Skills- UX/UI Design: Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Adobe Lightroom- Design Projects: Conducting research, color and typography analysis, wireframes, user interfaces, adaptive versions, clickable prototypes- Team Collaboration: Strong time management, teamwork, brainstorming, public speaking- Professional Communication: Business communication, public speaking--- Experience Design Projects- 'PAWSHUK' / Website Design    Developed a lost-and-found service site concentrating on simplicity, effectiveness, and user-friendliness. Created adaptive versions for desktop, tablet, and mobile based on comprehensive user needs analysis.- 'Logan's Candies' / Website Redesign    Reimagined a vintage-inspired site for a family-owned candy shop with significant social media presence. Focused on brand colors, clear hierarchies, and adaptations for tablet and mobile platforms.- 'Art in the City' Urban Fest / Landing Page Design    Crafted a landing page for a prominent forum on integrating visual art into Bucharest’s public areas. Utilized a straightforward, graffiti-inspired design approach.--- Professional ProfileDedicated to enhancing core UX/UI skills while demonstrating strong capabilities in time management, teamwork, brainstorming, and public speaking. Passionate about understanding design team decision-making processes and utilizing skills to create unique and valuable products. Enthusiastically seeking a role in a company that champions innovative products, aiming to contribute through a combination of my interests, skills, and prior experiences.---"
113," Resume--- Contact InformationYour Name  Your Address  Your City, State, ZIP  Your Email  Your Phone Number  --- SummaryEnergetic and motivated novice UI/UX Designer seeking a challenging role in a dynamic organization to leverage my skills and experience in designing innovative user interfaces and seamless user experiences. Highly value teamwork and committed to continuous self-development in UI/UX design.--- Projects Design MeetUp Landing Page- Developed from scratch using skills in Analysis, Wireframing, Prototyping, Adobe Illustrator, and Adobe Photoshop. Redesign of the Indian Cafe Website- Enhanced the website for an Indian cafe in the USA to improve user experience and update its appearance.- Problems Addressed:   - Outdated design, unclear navigation, poor photo quality, excessive information.   - Non-intuitive ordering process.   - Absence of dish pictures.   - Limited communication options beyond calling.- Solutions Implemented:   - Modern, stylish design.   - High-quality, appealing photos of dishes.   - Clear, minimalistic information on location, hours, and contact details.   - Intuitive menu with immediate food and drink options.   - Organized menu with prices and ingredients.- Actions:   - Competitor analysis.   - Wireframes.   - UI KIT.   - Adaptation.--- Experience Medical Service Project- Collaborated in creating a web service interface for online consultations between doctors and patients.- Features included medical history review, appointment scheduling, and conducting online calls within a private clinic.- Focused on addressing user pain points and enhancing user comfort and ease of use.- Analyzed existing features for potential implementation.Responsibilities:- Research:   - Conducted competitive analysis, brainstorming, Job-To-Be-Done, persona development, user flow creation, and customer journey mapping.   - Tools: Zoom, Slack, Semrush, SimilarWeb.- Design:   - Created wireframes, UI designs, adaptives, and prototypes.   - Tools: Figma, Adobe Photoshop, Adobe Illustrator.- Testing:   - Conducted corridor testing and five-second testing.   - Tool: Maze.Team Collaboration:- Worked closely with Dominika Ganzhala and Maryna Borovikova.--- EducationYour Degree  Your University  City, State  Year of Graduation  --- Skills- Competitive Analysis- Wireframing- Prototyping- UI Design- Adaptive Design- Testing (Corridor Testing, Five Seconds Testing)- Tools: Figma, Adobe Photoshop, Adobe Illustrator, Maze, Zoom, Slack, Semrush, SimilarWeb--- Objectives- Engage in innovative and compelling projects.- Foster excellent communication within project teams.- Continuously enhance UI/UX design skills.---"
114,"Contact Information:        ---Objective:Dedicated design enthusiast specializing in Web and UI-UX design. Seeking opportunities to apply my skills and passion to create innovative solutions that enhance user experiences and help companies succeed.---Skills:- Web and UI-UX Design- Figma- Adobe Photoshop- Adobe Illustrator- ProtoPie- Miro- Canva- UX Research- Team Collaboration- Problem Solving---Projects:ShopSmart (Web Service/Mobile App)Developed a mobile app to simplify and enhance the shopping experience.UAdvisor (Web Service)Created a web service to support Ukrainian refugees in finding help, support, and shelter abroad.CBD (Website Redesign)Led the full-cycle redesign of an event planning company's website.---Achievements:- Completed a design course with practical experience across multiple projects.- Recognized as a reliable, organized, and responsible team player.- Demonstrated efficiency in both independent and collaborative work environments.---Professional Attributes:- Results-oriented with a commitment to design excellence and teamwork.- Emphasis on mutual respect and maintaining a positive, friendly atmosphere.- Experience in partially remote work environments.- Participated in corporate training and development.- Dedicated to career growth and continuous learning.---Education:  , ---References:Available upon request."
115,"---Skills:- UX/UI Design: Creating appealing and functional designs for various platforms.- Figma and Photoshop: Proficient in producing high-quality layouts and prototypes.- Communication: Interact effectively with colleagues and clients to understand and fulfill their requirements.- Time Management: Plan tasks and manage time efficiently to achieve set goals.- Responsibility: Diligently fulfill responsibilities, even under pressure and tight deadlines.---Professional Summary:Proficient UX/UI designer with excellent communication skills, a knack for teamwork, outstanding time management, and a strong sense of responsibility. Specializes in designing landing pages, web services, and mobile applications that emphasize both aesthetics and usability.---Work Experience:Doctor of Veterinary Medicine  Veterinary Surgery, Oncology, and Intensive Care Center (2019-2023)  - Enhanced communication skills through client interactions.- Developed the ability to handle high-stress situations effectively.- Gained expertise in animal care and interpersonal interactions.UX/UI Designer Student  GoIT | June 2023 - Present  - Designed user interfaces for websites, landing pages, and mobile applications.- Collaborated with the development team to enhance user experience.- Created prototypes and tested designs using Figma and Photoshop.- Adhered to project requirements and deadlines.---Education:Master of Veterinary Medicine  Sumy National Agrarian University (2022)"
116,"Professional Summary:  Novice UI/UX designer eager to actively learn and grow while mastering new skills. Possesses foundational knowledge and hands-on experience in Web Design, UI/UX Design, and Mobile Design. Capable of creating functional and efficient designs from initial sketch through to final product. Focused on self-improvement and seeking a company where my skills can be put to effective use.Skills:- Competitor analysis- Basic UX research- Development and design of landing pages, web services, and mobile applications- Prototyping and animation creationExperience:Car Control Mobile App  Study Case, Full Cycle Design  - Created a mobile application for remote car control featuring a satellite security system.- Duration: 2 months- Responsibilities: Conducted market research, developed user flow, designed wireframes, and completed the UI design for over 60 screens.Medical Web Service  Study Case, Mobile Adaptation  - Developed and designed an interface for online doctor-patient consultations.- Focus Areas: Site development, doctor's interface, and personal user profile design.Professional Development:- Leveraged latest technologies and tools- Engaged in career growth initiatives- Attended corporate training sessions- Gained mentorship from senior colleaguesEducation:  Contact:  "
117,"Contact Information   |  |  | --- Professional SummaryAspiring UI/UX designer eager to create efficient and engaging user interfaces. Demonstrated experience in designing a mobile application that streamlines the restaurant table reservation process. Enthusiastic about addressing user needs and enhancing the overall user experience.--- Skills- User Research- Information Architecture- Wireframing- Interactive Prototyping- Attention to Detail- Team Collaboration- Continuous Learning--- ExperienceMobile Application Development Project  Role: UI/UX Designer  Duration: - Designed a mobile application to simplify restaurant table reservations, enhancing usability.- Conducted in-depth research, competitor analysis, and target audience studies to align the app with user expectations.- Created an intuitive and visually appealing interface, enabling easy table reservations with minimal effort.- Added features for menu browsing and pre-ordering food to improve the dining experience.- Worked closely with the development team to ensure smooth implementation of the design.--- Education-  in   , --- Professional Characteristics- Communicative and collaborative- Focused on creating meaningful and useful products- Commitment to excellence and attention to detail- Adaptable and ready for new challenges--- ObjectiveTo become a proficient and recognized UI/UX designer, focused on crafting valuable and user-centric products.--- Portfolio--- ReferencesAvailable upon request."
118,"Name:         ---Objective  Enthusiastic and detail-oriented UI/UX Designer seeking to join a creative team to leverage and expand my design skills and experiences for professional growth.---Professional ExperienceUI/UX DesignerTeam Leader, Project ""ClinicMed"" and ""Giferia""- Led the ""ClinicMed"" project, a web service aiding patient-doctor consultations, and ""Giferia"", a mobile application for gift selection and delivery.- Conducted thorough UX research including competitor analysis, target audience analysis, and developing user personas and JTBD.- Developed user flows, CJM, lo-fi wireframes, UI kits, and interactive prototypes.- Managed conflicting viewpoints, clarified project goals, corrected layout inaccuracies, and devised comprehensive project models.Independent Projects- Managed and designed two personal pet projects.- Spearheaded the redesign of a Grill-Restaurant’s website and several landing pages.Volunteer Project- Developed a website for a volunteer organization as part of a social initiative.---Skills- Web Services Design- Website and Mobile Application Design- Design Management- UX Research- Prototyping- Product Design---Education    ---Interests- Engaging in creative and collaborative environments.- Continuously learning and enhancing design capabilities.---ReferencesAvailable upon request.---"
119," Graphic and UI/UX Designer--- SummaryDynamic Graphic and UI/UX Designer with a strong background in fintech and blockchain projects. Adept at creating web and mobile applications from the ground up and passionate about solving client problems. Excels in collaborative and fast-paced environments.--- Professional ExperienceGraphic and UI/UX Designer- Designed an entire website for a blockchain trading company.- Created a stylish corporate notebook for an employee anniversary event, featuring illustrations of various characters and themed pages.- Developed a corporate Instagram post template for repeated use.- Designed and animated a Behance case study.- Focused on web and mobile app design targeting the USA, Canada, and UK markets.- Contributed to a blockchain corporate project, including a tokenized game.- Generated a variety of graphic design products: brand books, branded merchandise (cups, hoodies, t-shirts, pens), banners, printouts, and posters.Freelance Designer- Designed logos for a Ukrainian bag manufacturer.- Revamped an outdated website to enhance its aesthetics and functionality.--- Skills- Web and Mobile App Design- Graphic Design- UI/UX Design- Brand Book Development- Corporate Branding (merchandise design)- Banner, Printout, and Poster Design- Animated Case Studies--- Looking For- A friendly, collaborative team- Clear, structured tasks with reasonable deadlines- Opportunities to learn from experienced designers and business analysts, and receive constructive feedback--- Technical Limitations- Cannot convert own designs to HTML"
120,"  UX/UI Design and Product Management Expert        --- Professional Summary  UX/UI Design and Product Management expert with over 8 years of experience. I specialize in creating custom, intuitive designs for mobile apps, websites, and web applications, focusing on forward-thinking digital experiences and user flows. Key Strengths- Strong skills in web development, design, redesign, and maintenance.- Specialize in UI/UX & Interaction design with a keen interest in design systems.- Proficient in creating products for large enterprise clients, including major cinema networks.- Experienced in markup and programming languages (HTML, CSS, JavaScript) and collaborating with developers. Professional Experience         - Created and currently creating products for the largest cinema networks, including CGV Cinemas.- Worked on a broad range of projects, including large enterprise products.- Focused on intuitive designs for mobile apps, websites, and web applications.- Emphasized creating forward-thinking digital experiences and seamless user flows. Skills  Design  - User Interface Design (UI)  - User Experience Design (UX)  - Responsive Web Design  - Mobile Design  - App Design  - Components Design  - Wireframes  - Prototypes  Tools  - Figma / Adobe XD (design, collaboration, prototyping)  - Photoshop / Illustrator (image manipulation)  Development  - HTML  - CSS  - JavaScript   Education      ---Interested in discussing your project needs?  Contact me today, and let's get started right away!"
121,"Resume------SummaryI am a Game UI/UX Designer with UI Artist and animation expertise since 2019. Prior to that, I worked as a Web Designer starting in 2015.---Professional ExperienceGame UI/UX Designer (2019 - Present)- Develop intuitive UX flows aligned with the overall game design.- Create UI screens and elements, and prepare assets for programmers.- Communicate UX vision and design ideas to team members; collaborate to integrate designs in-game.- Support game development with additional skills.Web Designer (2015 - 2019)- Built and refined design processes; mentored team members.- Independently sourced clients and enhanced staff skills.- Contributed to updating and redesigning official websites and logos for sites and applications.Design Instructor - IT Academy (Lviv)- Teach design principles and techniques to students.---Skills- UI/UX Design- UI Art and Animation- Project Lifecycle Management- HTML, CSS, JavaScript- Figma, Adobe Photoshop, Unreal Engine 4, Unity---Education and Certification- ---Interests- Continuous learning and skill development, particularly in new languages.- Basketball, Brazilian Jiu-Jitsu- Yoga and maintaining a healthy, active lifestyle---Personal Attributes- Strong communicator and team player- Adaptable and flexible in work approaches- Focused on producing high-quality, useful products---ReferencesAvailable upon request"
122,"   |  |  | ---Professional Summary:Accomplished UI/UX Designer and Artist with extensive experience in crafting visually engaging and user-friendly interfaces for mobile casual games. Proven ability to collaborate effectively with multidisciplinary teams to bring game concepts to life. Skilled in researching, designing, and implementing functional game interfaces.---Professional Experience:Game UI/UX Designer/Artist  , Ukrainian Game Company  - Contributed to the development and release of a mobile casual game.- Designed UI visuals from the initial concept through to final rendering.- Prepared sprites for development in Unity.- Conducted research on game interfaces and functional solutions.- Developed user-friendly, visually appealing, and unique interfaces.- Created additional game materials such as logos, icons, buttons, and pop-ups.- Ensured proper layout of interfaces in game engines.- Kept up-to-date with the latest UI/UX design trends and techniques.---Education:Bachelor's Degree in Artist-Performer  Kyiv National University of Construction and Architecture---Skills:- UI/UX Design- Game Interface Design- Concept Art- 2D Art- Unity- Team Collaboration- Research and Development of Functional Solutions- Creation of Game Interface Elements (Logos, Icons, Buttons, Pop-ups, Unique Mechanics)- Staying Current with Industry Trends---Objective:Seeking a challenging role with diverse tasks to leverage my expertise in UI/UX design. Eager to join a dynamic team, share experiences, and pursue continuous professional growth.---Portfolio:---   |  |  | "
123,"  |  |  |  |  |  ObjectivePassionate UI/UX Game Designer with 4 years of commercial experience in design and 2 years in GameDev. Seeking to leverage my skills in developing engaging and user-friendly game interfaces. Dedicated to contributing to high-quality projects and innovative solutions. Education- Web Design Course, With Honors  - Supervised the final group project- English Language Course, 2022, With Honors Professional Experience UI/UX Game Designer-  (Date Started - Present)  - Led full UI development for an educational mobile game for kids with over 100,000 downloads  - Participated in the development of a AAA PC MOBA  - Successfully updated the design and transferred to mobile an eSports PC simulator  - Created game graphics using a graphics tablet  - Organized the printing of materials for two exhibitions simultaneously in different cities  - Developed a welcome-box for new employees  - Completed over 248 projects successfully Skills- Design Tools: Figma (UI, vector graphics, animation), Photoshop (raster graphics)- Development Tools: Unity3D, Jira, Confluence, Plastic SCM- Languages: English- Project Management: Handling full project lifecycle: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and game testing Personal Attributes- Continuously updating knowledge with the latest industry trends- Reliable and creative under tough conditions- Enthusiastic about playing and testing games during spare time to improve professional skills Achievements- Successfully led and completed numerous design projects- Recognized for precision and meeting deadlines in various tasks Interests- Prefer working in a friendly team environment with high-quality projects- Excited about both large and small projects of varying complexity- Eager to be part of innovative and impactful projects Professional MissionTo be a part of a company that values each employee and promotes a cozy and collaborative atmosphere. Passionate about working on cutting-edge projects that require critical thinking and continuous learning."
124,"UX/UI Designer (2020-2022)Second Half of the Year- Developed the indie game's interface based on self-conducted UX research.- Created low- and high-fidelity wireframes.- Collaborated closely with developers and game designers.- Designed surveys and exercises to deliver comprehensive user testing for in-depth game understanding.First Half of the Year- Developed UX/UI solutions using a user-centered design approach.- Conceptualized ideas from low-fidelity wireframes to interactive visual designs or prototypes.- Built and designed site maps and information architecture.- Demonstrated how design evolves from core user needs to provide additional value.- Illustrated design ideas through storyboards, process flows, and sitemaps.- Developed adaptive and responsive UX/UI wireframes for web-based applications.- Considered negative paths and ensured designs covered full customer loops.- Created customer journey maps and guides to support product vision.Visual and Graphic Designer (2019-2022)- Created logos, conceptual identities, banners, posters, and advertisements.- Generated creative ideas and styles while closely monitoring design trends.- Paid attention to details and structured the outcomes effectively.- Presented ideas and defended them in front of clients as necessary.- Worked with a strong team, applying in-depth knowledge to enhance product quality."
125,"          --- ProfileExperienced and versatile designer with a strong grasp of copyright. Extensive background in designing user interfaces for mobile, desktop applications, and gaming projects, combined with a proficiency in deep UX methodologies. Committed to developing and maintaining design identities for products and brands, including logos, corporate styles, guidelines, and brand books. Experience Mykolayiv Design Community | Organizer and Speaker- Spearheaded IT events and facilitated a thriving design community.- Engaged in social projects to enhance urban spaces. UI/UX Designer- Designed user interfaces from the ground up for various platforms.- Created high and low-fidelity wireframes, user flows, journey maps, personas, and interactive prototypes through deep UX methodologies.- Developed cohesive design identities, including logos, corporate styles, guidelines, and brand books. Design Systems Specialist- Established atomic design systems for websites, applications, and gaming projects.- Delivered high and low-fidelity design estimations for projects of varying complexity.- Conducted design reviews and integrated feedback from design leads and clients. Skills- UI/UX Design: User interfaces, wireframes, user flows, journey mapping, persona creation, interactive prototypes.- Graphic Design: Logos, corporate styles, guidelines, brand books.- Tools: Proficiency in design software.- Teamwork: Strong communication skills and ability to collaborate with cross-functional teams.- Project Management: Design estimation, feedback incorporation. Additional Information- Residence: Lives in a self-sustaining house outside the city.- Military Service: Exempt from military service due to family reasons.- Work Preferences: Seeks full-time employment with minimal bench periods, friendly and sociable colleagues, and a work environment with minimal reporting and tracking requirements.---  "
126,"Lead Game UI/UX Designer  Obrio (Genesis)  January 2021 – August 2022 (1 year, 8 months)  Project: Factory Empire - Mobile Casual Casino  - Created more than 15 features from scratch.- Developed the basic style and color system for UI.- Authored game design documentation.- Conducted market and competitor research.- Produced video prototypes for features.- Designed features from scratch.- Created and updated the UI kit.- Mentored junior designers and managed the team.- Tracked product metrics using devtodev.com.- Presented results to the team.Achievements as a Mentor  - Judge and Mentor at Genesis GameJam 2021.- Recorded a lecture on Game UX for Projector Institute (Course: Game Design Beginning).---UI/UX Designer  Evoplay  February 2020 – January 2021 (11 months)  Project: Various Gambling Projects  - Supported mobile and web products.- Created and managed the UI kit.- Worked with breakpoints.- Designed mini-features.- Created illustrations for features.---Product Designer  Aimbulance  September 2019 – February 2020 (5 months)  ---UI Designer  Confidential  September 2017 – September 2019 (2 years)  "
127," |  |  |  Professional SummarySeasoned designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. Adept at creating logos, identities, and styles for diverse clients, including leading Ukrainian real estate firms. Experienced in collaborating with European clients, delivering impactful design solutions across various mediums and platforms. Professional Experience Freelance Designer Collaborated with top Ukrainian real estate companies. Designed corporate identities, logos, and styles for clients in Kyiv, Kharkiv, and other cities across Ukraine and Europe. Developed websites using the Tilda platform. Advertising and Marketing Agencies, Printing Houses Delivered design services for outdoor advertising and transport branding. Created layouts for printed materials and presentations. Designed engaging social media graphics and other marketing assets. Skills and Services Graphic Design UI/UX Design UX Research Website and Landing Page Design Logo Creation Social Media Design Layouts for Printed Materials Presentations Outdoor Advertising Transport Branding Personal Qualities Excellent organizational and planning skills Collaborative team player Dedicated to creating user-friendly designs Education Portfolio ContactEager to collaborate and understand your business needs. Committed to growing and developing as a UX/UI designer."
128,"Contact Information:  - Email:   - Phone:   - LinkedIn: --- Professional Summary:Remote Graphic, UI/UX Designer from Ukraine with 4+ years of specialized experience in developing user-centric designs for SaaS services, web apps, and mobile apps. Dedicated to creating exceptional user experiences through thorough user testing and iterative design processes.--- Professional Experience:UX/UI Designer  ManyRequests  Aug 2020 - Nov 2020- Enhanced UX & UI of an existing product to improve user friendliness.- Delivered iterative design versions based on feedback, user testing, and feature responses.- Created on-brand design solutions that aligned with business goals and requirements.- Integrated new features based on user needs.Product Designer  Stress Point Health Ltd  Apr 2018 - Jun 2020- Developed a mobile app for treatments addressing stress, anxiety, and trauma.- Led the project from initial concept through to full UI implementation.- Visualized metrics to ensure user comprehension.- Provided wireframes, user journey flows, and prototypes.- Conducted usability testing with 22 volunteers to identify and resolve usability issues.UI/UX and Web Designer  Propeller Digital Company  May 2016 - Dec 2019- Held leadership role in all design decisions as the sole designer.- Created designs for websites, print materials, and infographics.- Defined user experience strategies based on briefs.- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets.- Redesigned business presentations, logos, brand identities, and visual design of websites.--- Skills:- UX/UI Design- Graphic Design- User-Centered Design- Design Thinking- Wireframing & Prototyping- Usability Testing- Visual Design--- Personal Interests:- Regularly participates in social events and team-building activities.Note: Seeking challenging tasks and opportunities for growth and increased responsibility within a management structure that values user-centered design and design thinking.---"
129,"           Professional ExperienceCreative Intern | Phiture    - Created illustrations and design assets for marketing campaigns.- Adjusted designs to adhere to brand guidelines.- Designed various print materials.- Performed photo retouching.- Developed marketing assets for clients including Ad Hoc Labs and Tipp24.- Participated in A/B testing for Adobe.- Assisted in Quality Assurance processes. EducationMaster's Degree in Design and Journalism      - Completed non-profit projects for a charitable organization.- Specialized in graphic and UI/UX design. Skills- Graphic Design: Proficient in creating vector graphics, icons, and logos.- UI/UX Design: Skilled in application prototyping and branding.- Video Editing: Basic skills in video editing and motion graphics.- Information Management: Experienced in handling large volumes of information and text due to a background in multimedia journalism. Projects- Application Prototyping  - Developed prototypes for various applications as part of training projects.  - Branding  - Completed branding projects during educational and internship periods. Additional ExperienceMultimedia Journalism  - Managed large volumes of text and information effectively."
130,"Zeybullah               ---PROFESSIONAL SUMMARY  Graphic and UX/UI designer with over 3 years of experience, recognized for balancing design expertise with client requirements to deliver visually compelling work. Experienced with a diverse range of companies and startups globally.---EXPERIENCE  Eleven Kings Football Manager Game (Startup)  Switzerland (Lausanne) | Graphic and UX/UI Designer | ~3 Years  - Designed SMM posters, magazines (EK MAG), and various advertising materials (billboards, posters, etc.).- Created UI designs and contributed to the design team of an international company partnered with Ronaldinho.- Developed visual content available on the Play Store.Soccer City (Startup)  Switzerland (Lausanne) | Graphic and UX/UI Designer  - Produced an array of visual designs for a blockchain-based virtual soccer world.Mediamark Digital Agency  Graphic Designer | ~3 Years  - Delivered graphic design services to various companies through Mediamark.Freelance Designer on Upwork  - Partnered with global clients to provide tailored design solutions.---SERVICES OFFERED  - UX/UI Design  - Mobile App Design  - Website Design  - SMM Posters and Advertising  - Magazine and Cover Design  - Digital Design, Photo Manipulation, and Retouching  - Logo, Branding, and Guidelines  - Business Cards, Flyers, Brochures, Banners, Roll-up Designs  - Packaging and Label Design  ---TOOLS AND SKILLS  Design Software:  - Adobe Illustrator  - Photoshop  - InDesign  - Dimension  - After Effects  - Xd  - Figma  Prototyping and Wireframing:  - Adobe Xd  - Figma  - InVision  Task Management:  - Trello  - Meistertask  - Notion  ---TESTIMONIALS  Orkhan Rzayev - CEO of Eleven Kings Game  ""Zeybullah's work is excellent. He understands the business and demonstrates that brilliantly with fantastic design creativity and execution that really wows us. He nails a brief perfectly.""Upwork Client  ""Zeyb is a very creative and experienced designer who applies his skills brilliantly. He has an excellent attitude which, when you are looking for perfection in the fine details, is so important. Highly recommended and I definitely expect to do more work with him.""---WORKING WITH ME  You will receive high-quality work with attention to design aesthetics, and continuous progress updates until you are completely satisfied. Constant communication is guaranteed throughout the project."
131,"  Contact Information- Email: - Phone: - LinkedIn: - Portfolio: --- Professional SummaryPassionate and experienced graphic designer with over 4 years of expertise in creating visually compelling print and digital media. Demonstrated proficiency in designing marketing materials, improving user interfaces, and collaborating with multidisciplinary teams. Highly skilled in foreign languages, film photography, and painting.--- Work ExperienceGraphic Designer (Freelancer)- Location: Remote- Dates: 2017 – 2018- Designed print advertising materials for diverse clients.Graphic Designer- Company: Pyramida Technik- Location: Ukraine- Dates: June 2018 – February 2020- Responsibilities:  - Created visual materials for social media campaigns.  - Designed presentations and print materials.  - Contributed to website redesign projects.Freelance Graphic Designer- Company: Camping Trade- Location: Remote- Dates: September 2019 – March 2020- Responsibilities:  - Collaborated on the establishment of the GioStyle brand website.  - Generated social media visuals in collaboration with designers and developers.UX/UI Designer- Company: AltRecipe- Location: Remote- Dates: February 2021 – April 2022- Responsibilities:  - Developed websites for desktop and mobile platforms.  - Analyzed and enhanced user interfaces.  - Collaborated closely with the product team.  - Created interface animations.Graphic Designer (Freelancer)- Companies: Gr8Tech, Bourgogne en Douce, O4Dance- Location: Remote- Dates: April 2022 – May 2023- Responsibilities:  - Provided design services to multiple French and Ukrainian companies.--- EducationBachelor's Degree in - Institution: NTUU ""KPI""- Location: --- Skills- Graphic Design- UX/UI Design- Print Advertising- Social Media Visuals- Website Development- Interface Animation- Collaboration & Teamwork- Foreign Languages- Film Photography- Painting"
