,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
12,"[Ваше ім'я]

[Контактна інформація]

Професійний профіль:
Захоплений професіонал з багаторічним досвідом у сфері IT, спеціалізуюсь на впровадженні та налаштуванні CRM-системи OneBox. Маю значний досвід у розробці та оптимізації процесів, що сприяють ефективному вирішенню завдань клієнтів. Відзначаюсь здатністю навчати інших співробітників та впроваджувати інноваційні рішення, які покращують робочі процеси.

Досвід роботи:

Account Administrator
- Адміністрування команди з шести менеджерів
- Контроль виконання завдань та успішності проектів
- Комунікація з клієнтами та вирішення їх проблем
- Самостійне ведення та адміністрування 4-5 проектів

Senior Account Manager
- Перший співробітник на новій посаді
- Збір вимог від клієнтів та написання технічних завдань
- Аналіз даних та розробка рішень для клієнтів
- Впровадження проектів, включаючи планування, тестування та налаштування інтеграцій

Junior Account Manager
- Першопроходець на новій посаді
- Досягнення високих результатів у команді

Customer Support Manager
- Початок кар'єри в IT
- Відзначений за одні з найкращих результатів у команді

Навички:
- Впровадження та налаштування CRM-системи OneBox
- Розробка та оптимізація бізнес-процесів
- Робота з API, HTML, CSS, PHP preg match
- Використання Google сервісів
- Здатність швидко вивчати нові системи та технології

Освіта:
[Ваша освіта]

Мотивація:
Завжди націлений на максимальний результат та впровадження нових рішень. Зацікавлений у розвитку та кар'єрному зростанні, прагну брати активну участь у житті компанії. Не зацікавлений у продажах."
13,"Участь у плануванні та реалізації проєкту з перенесення даних у нову CRM-систему, адаптація команди до нових процесів. Перегляд та автоматизація наявних бізнес-процесів.

Останні 2 роки працювала як проєктний менеджер у Ed-tech компанії, отримала досвід супроводу організаційних та продуктових змін, системного аналізу бізнес-процесів компанії."
14,"20 років досвіду на посаді CEO. 
Працював у 6 компаніях, з яких у 5 був співзасновником. 
Основні обов'язки: формування команди, управління, маркетинг, розробка нових продуктів та послуг, фінансовий менеджмент, реклама, управління продажами. 
Досвід у B2B та B2C секторах, у сфері послуг та виробництва. 
Війна внесла корективи, вирішив спробувати себе в ІТ. 
Закінчив курси з управління проєктами, наразі проходжу ще одні. Систематизую свій досвід."
15,"15+ років досвіду в інтеграції промислових систем управління IIoT та корпоративних ІТ-рішень, управлінні продуктивністю активів, промислових сервісних рішеннях IoT. Впровадження комплексних проектів автоматизації підприємства, включаючи IT-Enterprise, EPR, CRM, WMS, системи закупівель, рішення Microsoft Azure і Google, Project Software, а також системи управління промисловою автоматизацією (DCS, PLC, SCADA/HMI, MES, ICS, SIS, CMS/AMS, APM та управління активами). Виконання ролей архітектора та менеджера проекту з дотриманням стандартів ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP. 

Досвід роботи в Pre-Sales та After-Sales, менеджменті підтримки та управлінні ризиками. 

Маю досвід впровадження рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузях. Спеціалізуюсь на побудові архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури, а також на аудиті об’єктів впровадження ОТ/ІТ рішень для критичного обладнання."
16,"Професійний досвід та навички:

- SMM, PR, Copywriting, Customer and User Experience, Trade Marketing, Digital Marketing

Досягнення:

- Запуск національних рекламних кампаній
- Кооперація з бренд-амбасадорами
- Вивід нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій (знижки, подарункові акції, іміджеві, накопичувальні, з промокодами та ін.)
- Проведення маркетингових активностей (ATL, BTL, Digital, SMM, Email, Viber)
- Управління крос-функціональною командою (дизайнери, копірайтери, підрядники, трейд-маркетологи, категорійні менеджери, SMM менеджери)
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг (робота з соціальними мережами, відстеження відгуків), покращення іміджу та репутації
- Реалізація стратегії утримання старих та приваблення нових клієнтів
- Постійне спілкування з клієнтами, подальша обробка інформації для створення рекламних кампаній і збільшення ефективності продажів

Особисті якості:

- Відданість справі, знання, досвід, уміння та навички
- Дружній колектив, який йде до спільної мети
- Зрозумілі цілі, які хочеться досягати

Обмеження:

- Не працюю з казино, іграми і т.ін."
17,"[Ваше ім'я]
[Контактна інформація]

Освіта
- Філологічна освіта

Досвід роботи

Український процесінговий центр (2020)
PR-менеджер
- Написання та редагування новин компанії
- Переклад новин на англійську
- Створення новинних бюлетенів для українських та іноземних клієнтів, включаючи дизайн
- Комунікації з медіа та моніторинг діяльності компанії у ЗМІ
- Листування з іноземними клієнтами
- Замовлення корпоративної продукції та спілкування з виконавцями

Перекладач (фріланс) (2020)
- Переклад наукових текстів із російської чи української на англійську мову

Міністерство освіти і науки України (2017-2020)
Фахівець у пресслужбі
- Написання та редагування пресрелізів
- Комунікація з медіа, зокрема, іноземними
- Організація брифінгів, пресконференцій, конференцій
- Ведення сторінок міністерства у соцмережах
- Брифінг спікерів перед ефірами, створення презентацій та тез
- Моніторинг діяльності міністерства у ЗМІ через спеціальні моніторингові системи (LOOQME, SoMO)
- Адміністрування сайту міністерства
- Куратор напряму інклюзивної освіти у міністерстві від пресслужби

Рерайтер (фріланс) (2016-2017)
- Написання текстів українською, російською та англійською мовами

Київський годинниковий завод (2016-2017)
Офіс-менеджер
- Забезпечення життєдіяльності офісу
- Прийом вхідних дзвінків, листів
- Організація трансферів для гостей та працівників офісу
- Прийом гостей на ресепшині

Delta Medical (2016)
Асистент відділу логістики
- Подача вантажно-митних декларацій до бухгалтерії
- Переклад із англійської рекламацій, листів
- Внесення даних до бази 1С
- Складання, підписування кредит-нот
- Документообіг

Delta Medical (2015-2016)
Офіс-менеджер
- Забезпечення життєдіяльності офісу
- Прийом вхідних дзвінків, листів
- Організація трансферів для гостей та працівників офісу
- Прийом гостей на ресепшині

Досягнення
- Куратор онлайн-курсу з протидії булінгу у школах у Міністерстві освіти і науки
- Запуск курсу із залученням відомих громадських активістів та представників адміністрації Президента
- Підвищення уваги медіа до проблеми цькування у школах
- Навчання українських університетів та департаментів освіти писати новини про їхню діяльність
- Написання новини в Українському процесінговому центрі, яка вперше потрапила на Укрінформ та Економічну правду"
18,"Запуск власних продуктів та проєктів. 

Маю значний досвід управління проєктами в різних сферах, включаючи ІТ, з акцентом на керування командами, планування роботи та контроль виконання завдань.

Успішно реалізовував самостійні проєкти, а також співпрацював з іншими командами над запуском веб-сайтів, мобільних додатків, чатботів тощо. 

Особливий інтерес викликають напрямки Blockchain/Crypto та Artificial Intelligence/Machine Learning, але відкритий до інших можливостей."
19,"За 9 місяців роботи перейшла на другий рівень підтримки в технічній сфері

**March 2020 - July 2020**  
*Technical Support Advisor in Phillips*  
- Basic troubleshooting of issues  
- Upgrading the software  
- Working on creating bug requests  

**September 2020 - June 2021**  
*T1 Technical Support Engineer in Ciklum*  
- CMS management  
- Primary processing of tickets  
- Upgrading and calibrating systems  
- Checking POE settings  
- Basic reading of logs and finding errors  
- Primary check-up of live events and graphics  

**June 2021 - September 2021**  
*T2 Technical Support Engineer in Ciklum*  
- Deep system configurations check/activation  
- Advanced reading of logs and finding the root of problems  
- Quick understanding of how to fix difficult issues  
- Grafana/Postman/Papertrail  
- Investigating Windows errors and their impact on systems  
- Creating bug requests in JIRA/Confluence  

**November 2021 - March 2022**  
*Technical Support Engineer in Blackthorn Vision (SciChart Project)*  
- Establishing effective communication channels between customers and the dev team  
- Reproducing reported issues and creating bug reports  
- Notifying customers about the status of their requests  
- Daily communication with the dev team  
- Assisting with creating and maintaining documentation  
- Understanding the product and basic technical skills (Github, basic IDE skills, etc.)  
- Working with CRM systems (Freshdesk, Zendesk, Jira)  
- Creating basic queries in KayakoQL for ticket statistics  

**August 2022 - February 2023**  
*Thomas Cook Tourism Service Desk position*  

**More in my CV**  
- Work-life balance  
- Career technical growth in company  
- No night shifts, evening shifts are okay."
20,"Теперішній час (фармацевтичний ринок, більше 10 років)
- Організація та проведення дослідження ринку
- Розробка нових методик розрахунків та ТЗ
- Постановка задач програмістам
- Управління підготовкою звітності для клієнтів
- Організація взаємодії різних підрозділів
- Автоматизація процесів обробки даних, перевірок
- Організація роботи департаменту, навчання співробітників
- Прогнозування показників ринку

Професійні навички
- Excel: досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA. Використання Power Query, Power Pivot.
- PowerBI: завантаження даних, відображення зведеної інформації
- Access: досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів.
- PowerPoint: досвідчений користувач, побудова діаграм, використання анімації у презентаціях.
- SQL: написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах.
- MapInfo: редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон.
- QlikView: написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації."
21,"Самостійне створення з ""0"" відділу підтримки користувачів для продуктової gamedev компанії. Шукаю можливість реалізувати свій досвід у delivery та PjM, а також прагну отримати нові навички та знання в цій галузі.

I am looking for an opportunity to implement my experience in the field of delivering value to users. I also want to gain new skills and knowledge in this area.

Останнім часом займався:
- оптимізацією бізнес-процесів та потоку створення продукту від функції до фінального інкременту
- координацією та допомогою у вирішенні операційних питань продуктових команд
- координацією між функціями з питань, пов'язаних з бізнесом
- аналізом втрат та відхилень
- агрегацією, формалізацією та підтримкою агрегованих вимог до релізу (розробка та впровадження паспорту релізу)
- управлінням персоналом відділу технічної підтримки
- створенням та контролем сторінки продукту в магазинах (AppStore, GooglePlay, Amazon)
- відправкою релізів на модерацію та їх підтримкою під час перегляду для повного випуску у виробництво
- комунікацією з командою рецензентів та відповідальністю за вирішення блокерів та відхилень під час модерації
- звітуванням про доставку функцій до бізнесу

Мої навички:
- Agile (Scrum, Kanban), Waterfall, RUP (Basic)
- SAFE (Basic)
- BPMN
- Управління ризиками
- Управління персоналом
- Вирішення проблем
- Англійська - A2

Інструменти:
- Jira, Confluence, Asana
- AppStore connect, Google play console
- MS Office, Google Services, Slack, Zoom"
22,"Досвід успішного запуску проектів «з нуля»: від формування команди та визначення функціоналу продукту до його впровадження в продакшн і подальшого супроводу. Понад 4 роки управління ІТ-командами та запуску IT-проектів, а також 2 роки управління проектами в інших сферах. Співпраця з дизайнерами, маркетологами та media-buyer'ами, координація роботи різних команд. Розробка та визначення основного функціоналу продукту з нуля, створення базової документації, розробка прототипів, координація розробки дизайну продукту та його реалізації технічною командою. Шукаю цікавий проект, де зможу ефективно застосувати свої здібності та навички, навчаючись новому від колег і вирішуючи нетривіальні завдання."
23,"- Оптимізація процесу передачі проектів підряднику, що заощадило час команди та виключило непорозуміння між співробітниками.
- Введення системи звітності для клієнтів, що дозволило презентувати виконану роботу якнайпрозоріше для замовника та ефективніше комунікувати з клієнтами.

Cyborg Studio (digital-агенція)
02.2021 -
- Проведення зустрічей та узгодження плану робіт із замовником.
- Формування, заповнення та затвердження ТЗ відповідно до вимог замовника.
- Участь у формуванні маркетингової стратегії.
- Вирішення проблем та складнощів, що виникають під час роботи над проектом.
- Організація роботи команди та її формування.
- Відстеження завантаженості і прогресу виконання завдання кожного члена команди (управління ресурсами).
- Допомога в підтриманні прозорого середовища спілкування між усіма зацікавленими сторонами.
- Організація фотосесій (створення контенту).
- Формування «дорожньої карти» (Roadmap) проекту.
- Моніторинг виконання основних етапів проекту.
- Контроль дотримання дедлайнів.
- Комунікація з замовником.
- Формування звітності за результатами виконаної роботи для замовника.

Whaleapp
01.2019-09.2019
- Написання тестової документації.
- Ручне тестування.
- Робота в Jira, Asana, Android Studio.

ТОВ ""ЮОнлайн""
02.2020 - 08.2020
- Проведення зустрічей, переговорів з клієнтами.
- Віддалене налаштування навігаційних пристроїв і систем, усунення несправностей.
- Підтримка користувачів.
- Перевірка працездатності пристрою.
- Ведення технічної документації."
24,"• Масштабувала компанію з 8 працівників до 130
• Створила та впровадила курс корпоративного навчання
• Закінчила Faber School - Школа для керівників та методологів корпоративного онлайн-навчання
• Пройшла Genius.Space Course “Project Manager for IT”
• Відвідала освітньо-консалтингову програму Кирила Куницького Бізнес Конструктор - ""Власник бізнесу""
• 5 років професійно займалась дебатами

**Менеджер проєктів**
Консалтинг | березень 2022 - зараз

• Розробка онлайн та офлайн-курсів
• Створення процесних стандартів, налаштування взаємодії постачальників і працівників
• Розробка памʼяток та функціональних інструкцій для працівників

**Керівник департаменту розвитку**
Агенція нерухомості Realtor3D | серпень 2019 - березень 2022

• Створення курсу корпоративного навчання: розробка концепції, ведення бюджету та таймлайнів проєкту
• Проведення зустрічей з підрядниками по проєктам та партнерами
• Формування бази знань компанії, прописання орг. структури та бізнес-процесів
• Комунікація з юридичним, HR, Sales та IT департаментами в спільних проєктах
• Відкриття і налаштування роботи філії компанії в Києві
• Проведення більше ніж 50 тренінгів як лектор

**Помічник депутата міської ради**
Дніпровська міська рада | квітень 2018 - липень 2019

• Кураторство Програми розвитку шкільних дебатів в Дніпрі з обсягом фінансування 18 млн грн
• Менеджмент роботи 72 дебатних клубів в школах для дітей старших класів
• Організація дебатних турнірів серед школярів (від 150 до 400 осіб) - побудова бюджету заходів і етапів втілення проєктів
• Взаємодія по реалізації проєктів з профільними департаментами міської ради (гуманітарний, благоустрою, інновацій та інших)

**Голова Секретаріату**
ВМГО Федерація Дебатів України | січень 2017 - квітень 2018

• Організація Всеукраїнського Чемпіонату України з Дебатів 2018 (120 осіб) за підтримки Міністерства Молоді й Спорту України та British Council - складання бюджету та ведення звітності в державному казначействі
• Проведення більше ніж 20 заходів (до 150 осіб)
• Лекції про Критичне мислення, Фемінізм, Аргументацію і т.д. (аудиторія до 80 осіб)"
