,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
20,"Courses:
- UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
- Inclusive Design | Projector Online School, Apr 2021
- Web Design Beginning | Projector Online School, Feb-Apr 2021
- Basics of Web Development | WayUp Online School, 2021
- Introduction to User Experience Design | Georgia Institute of Technology, 2020

Education:
- Doctor of Medicine

Profile:
Hello! My name is Yuliia. I’m a UI/UX designer with foundational knowledge in front-end development. Although my experience in creating websites is limited, I am passionate about delivering high-quality work. I am eager to grow as a professional within a team of like-minded individuals.

Skills:
- UI/UX Design
- Basic Front-End Development

Objective:
I am seeking an opportunity where I can apply my current skills and continue to develop as a UI/UX designer within a supportive team environment."
21,"I am a freelance professional with over 6 months of experience, currently working on several projects. My primary tools include Figma and Photoshop, and I also utilize Google Sheets and surveys for user flow analysis. I am eager to join a reputable company to grow and gain experience in a team environment. In the future, I aspire to learn graphic design."
22,"Junior UI/UX Designer

Освіта:
IT School GOIT
Курс ""UI/UX Designer"" Період: лютий 2023 – зараз.

Навички:
- Робота з програмами: Figma, Adobe Illustrator, Adobe Photoshop.
- UI: візуальна ієрархія, композиція, колористика, типографіка, UI Kit.
- UX: інтерактивне прототипування, адаптивний дизайн, дизайн-мислення.
- UX дослідження: аналіз конкурентів, створення персонажів та карт емпатії, користувацькі потоки, прототипування.

Про себе:
Як UI/UX дизайнер, я відкритий до нових можливостей, мотивований та готовий до роботи. Маю сильну емпатію та розуміння потреб користувачів. Мої навички та ентузіазм роблять мене цінним доповненням до будь-якої команди.

Проекти:
1. Редизайн ""Ola-La""
- Покращена естетика
- Зручний інтерфейс
- Покращена організація інформації
- Професіоналізм
- Покращена комунікація з клієнтами

2. Командний проект ""Be like at home""
- Розробка інноваційного сайту для оренди житла з акцентом на зручність користувачів, привабливий дизайн та надійну функціональність.
- Вдосконалення навичок командної роботи, комунікації та співпраці з колегами.
- Розвиток навичок управління проектами, включаючи роботу з дедлайнами та відповідальність за свою роль у проекті.
- Отримання додаткових знань та навичок у розробці вебсайтів та використанні відповідних інструментів і технологій.

Бажання працювати у дружньому колективі, де колеги поважають та допомагають один одному."
23,"**[Ваше ім'я]**

**Контактна інформація:**
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (за наявності)

---

**Професійний профіль:**

Junior UI/UX Designer з комерційним досвідом роботи. Маю понад 6 місяців досвіду на фрілансі, де успішно реалізувала проекти в сфері UI/UX дизайну. Наразі продовжую працювати на фріланс основі, постійно вдосконалюючи свої навички. Маю велике бажання розвиватися в компанії, щоб зосередитися на якісній роботі та досягти високого рівня професіоналізму.

---

**Освіта:**

- **Курс ""Основи Web дизайну""**
  - ІТ школа ""Hillel""
  - Успішне проходження курсу

---

**Досвід роботи:**

- **Фріланс UI/UX Designer**
  - Понад 6 місяців досвіду
  - Реалізація різноманітних проектів у сфері UI/UX дизайну
  - Постійне вдосконалення навичок та вивчення нових технологій

---

**Навички:**

- UI/UX дизайн
- Web дизайн
- Робота з фріланс-проектами
- Готовність працювати в команді та розвиватися

---

**Цілі:**

- Прагну працювати помічником web дизайнера та UI/UX дизайнера для набуття додаткового досвіду
- Очікую нові цікаві проекти та готова до викликів, щоб стати висококваліфікованим спеціалістом у сфері UI/UX дизайну."
24,"Landing Page для продажу оригінального крісла Wassily Chair.  
Проведено аналіз конкурентів у ніші, створено юзер персон, юзер флоу, розроблено вайфрейм, дизайн сторінки та інтерактивний прототип.

Розробка мобільного додатку на iOS на тему ""Бронювання готелів, житла"". Робота розпочалася з аналізу конкурентів, створення юзер персон та юзер флоу. Далі відбувалася розробка вайрфреймів, дизайн, створення інтерактивного прототипу та оформлення кейсу на Behance."
25,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Шукаю роботу на позиції Junior UX/UI Designer, бажано в продуктовій компанії, де зможу розвивати свої навички в дизайні інтерфейсів та співпрацювати з професіоналами в дружньому середовищі.

Освіта:
- Сертифікат UX/UI Designer, компанія GO IT
- Магістратура в GO IT, спеціальність Software Engineering

Досвід:
- 1 рік навчання дизайну, протягом якого реалізував 5 проектів:
  1. Веб-сервіс для пошуку домашніх тварин
  2. Мобільний додаток для бронювання столиків у ресторані
  3. Мобільний додаток для оренди будинків або квартир
  4. Адаптивний веб-сайт для уроків англійської мови
  5. Адаптивний веб-сайт для веб-студії

Навички:
- Робота в команді
- Дослідження та аналіз користувацького досвіду
- Розробка Wireframes та детальних прототипів
- Створення Customer Journey Map та User Journey Map
- Адаптивний дизайн
- Розробка дизайн-систем

Інструменти:
- Figma
- Adobe Photoshop, Illustrator
- VS Code
- Protopie

Проекти:
- Дослідження та референси
- HTML & CSS
- Створення Wireframes
- Дизайн користувацького інтерфейсу
- Дизайн користувацького досвіду
- Створення CJM & UJM
- Створення персонажів
- MVP версія
- Дашборди
- Прототипування
- Дизайн-системи та UI kit
- Адаптивний дизайн з використанням медіа

Цілі:
- Можливість розвиватися та покращувати свої навички у веб-дизайні
- Працювати в дружній команді з приємними людьми"
26,"Lilia

Contact Information:
[Your Contact Information]

Objective:
Motivated student of UX design with practical experience in customer service and consulting, seeking to enhance skills and gain further experience in the field.

Education:
- UX Design Student

Certifications:
- Polish Language Certificate, Level B2

Experience:
- Customer Service and Consulting Specialist at 24 Colours
  - Provided excellent customer service and consultation
  - Gained experience in management

Skills:
- Proficient in Polish (B2 level)
- Knowledgeable in UX design principles
- Strong interest in social media trends

Motivation:
- Eager to develop skills and grow professionally through practical experience and continuous learning."
27,"Hard Skills:
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Adobe After Effects (створення легкої анімації)

Soft Skills:
- Наглядність
- Робота в команді
- Виконавчість та націленість на результат
- Почуття гумору, чесність, стресостійкість, пунктуальність
- Здатність швидко навчатися
- Прагнення до розвитку та професійного зростання

Досвід роботи:

Smartflowlabs
- UX/UI дизайнер: від створення прототипу сайту, вивчення бренду та конкурентів до кінцевого результату створення дизайну сайту (під керівництвом Senior веб-дизайнера)
- Розробка додатків для магазинів Shopify (під керівництвом Senior веб-дизайнера)
- Адаптивний дизайн сайту
(Вересень 2022 р. - Січень 2023 р.)"
28,"SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер).

- Розробка та реалізація стратегій у соціальних мережах.
- Аналіз ефективності кампаній та підготовка звітів.
- Взаємодія з аудиторією та управління контентом.

Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер).

- Координація роботи дизайнерської команди.
- Розробка візуальних матеріалів для заходів та публікацій.
- Співпраця з іншими відділами для забезпечення якісного візуального супроводу."
29,"Tepli obiymy  
10.07.2023 - 25.07.2023  
Розробка айдентики для Instagram-магазина в'язаних речей  

- Проаналізувала конкуренцію та цільову аудиторію  
- Виявила слабкі та сильні сторони продукції  
- Розробила концепцію  
- Створила логотип та оформила бірки для одягу  

Моя мета — розуміти процес розробки, а не лише створювати красиві інтерфейси. Прагну долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб команда могла зосередитися на складніших аспектах."
30,"Я - кваліфікована UI/UX дизайнерка з досвідом роботи в проєкті, спрямованому на підтримку початківців в сфері ІТ, які не мають досвіду. Моя участь у цьому проєкті не тільки дозволила мені вдосконалити свої навички в області UI/UX дизайну, але й надала мені унікальну можливість розвивати навички управління проєктами та здобути практичний досвід у командній роботі.

UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейсу з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення UI-kit та передача макету в розробку

Пет проєкти

1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Я брала активну участь у всіх етапах процесу дизайну, починаючи зі створення концептуальних вайрфреймів, розробки інтерактивних прототипів та остаточного дизайну. Моя робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Я також активно використовувала компонентний підхід, створюючи компоненти для кнопок, полів введення, карточок та інших елементів, що полегшувало повторне використання. Робота в команді організована за методологією SCRUM з двотижневими спринтами і регулярними дейлі мітингами, на яких обговорюємо прогрес роботи, обмінюємося ідеями та вирішуємо питання для подальшого розвитку проєкту.

2. Мобільний додаток з резервування столиків
Додаток, який допомагає користувачам легко та швидко здійснювати бронювання столиків в улюблених закладах. Можливість шукати та переглядати інформацію про різні ресторани, меню, фотографії та розташування, обирати дату, час та кількість осіб, для яких вони хочуть забронювати столик. Для початку я провела аналіз, який допоміг мені зрозуміти, хто буде цільовою аудиторією, які їх потреби та очікування від додатку, склала мапу сайту, побудувала User flow. Розробила вайрфрейми та прототипи, які допомогли визначити візуальне розміщення елементів, оптимальну структуру та навігацію додатка. Розробила високоякісні макети, включаючи вибір кольорової палітри, шрифтів, графічних елементів та іконок."
31,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Освіта:
- Курс веб-дизайну, WayUp (3 місяці)
  - Вивчення основних принципів роботи з Figma

Досвід роботи:

Адміністратор
- Українська компанія (1 місяць, стажування)

Графічний дизайнер
- Mindy Teams, Польща (1,5 місяця)

Менеджер з продажу
- [Назва компанії] (1 тиждень)
  - Звільнилася через невідповідний графік роботи

Навички:
- Основи роботи з Figma
- Вивчення Adobe Illustrator

[Дата]"
32,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Прагну розпочати кар'єру в сфері UI/UX дизайну, готова працювати асистентом дизайнера або стажуватись для здобуття практичного досвіду.

Освіта:
- Сертифікат про завершення курсу UI/UX, Logos IT Academy
- Участь у марафоні ""Основи HTML, CSS"", GoIT

Досвід роботи:
Більше 5 років досвіду у сфері освіти:
- Викладання української та англійської мов
- Онлайн викладання під час декретної відпустки

Навички:
- Дослідження користувачів
- Створення User Persona & Story
- Розробка Customer Journey Map (CJM)
- Побудова Task Flow та інформаційної архітектури (IA)
- Дизайн дашбордів та постерів

Проекти:
- Розробка додатку для доставки їжі: проведення досліджень, створення User Persona & Story, CJM, Task Flow, IA

Готова до нових викликів та швидкого старту в новій професії."
33,"Дизайнер у соціальній компанії Steiger International, спеціалізація - Jr. UX/UI. Розробка веб-сайтів, включаючи 4 проєкти: продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Виконання проєктів під час навчання на курсах Projector."
34,"Дві вищі освіти. Закінчила курси з UI/UX-дизайну, маю 7 місяців досвіду роботи. До дизайну 10 років працювала редактором у різних компаніях, зокрема на телебаченні. На всіх місцях роботи проявила себе як відповідальний фахівець.

Вебдизайнерка-світчерка з великим бекграундом у редагуванні. Закохана в ІТ. Впевнено користуюся програмою Figma та іншими графічними редакторами. 7 місяців працювала контент-дизайнеркою в компанії GOIT, де готувала у Figma, Photoshop, Illustrator весь візуальний матеріал для онлайн-курсів (прототипи, UI, слайди, обгортки до статей і курсів, рекламні банери, таблиці, документи в Notion). Раніше працювала з програмами Adobe InDesign, Coral Draw. Маю досвід роботи на телебаченні та у видавництві.

Рівень англійської – Intermediate. Рівень знання розробки – можу відкрити код і знайти оригінальні зображення для свого дизайну.

Шукаю стабільну роботу з офіційним оформленням у надійній компанії. Прагну працювати з дружною командою фахівців, які люблять свою справу. Разом досягнемо нових висот!"
35,"Дизайнер сайтів з навичками створення гарного, стриманого та якісного дизайну. Вмію працювати з кольорами та текстом, швидко навчаюсь та ефективно знаходжу потрібну інформацію. 

Досвід:
- Виконання проєктів в рамках курсу Web Design Beginning від Projector.
- Робота над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning.

Мета:
- Розвиток у сфері UI/UX Design.
- Вивчення англійської мови.
- Створення естетичних та функціональних інтерфейсів.

Шукаю компанію для професійного зростання."
36,"Гайдаш Анастасія

Junior UI/UX Designer

Навички:
- Робота з Figma, Adobe Photoshop
- Досвід оформлення інтернет-магазинів, Landing page, редизайн сайтів
- Створення кейсів на Behance

Освіта:
- Англійська мова: рівень B1 (в процесі підвищення)

Особисті якості:
- Комунікабельність
- Завзятість до роботи"
