,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
10,"Навички та досвід:

- Розробка 3D продуктів без використання мокапів.
- Створення продуктів, що допомагають людям, вирішення проблем безпеки.
- Розробка помічників для адаптації до колонізації Марсу.
- Використання продуктових практик, створення додатків, веб-версій, дизайн-систем.
- Адаптація веб-дизайну під мобільні пристрої.
- Знання практик e-commerce сайтів, прототипування, використання варіативних компонентів, autolayouts.
- Вміння користуватися нейромережами для генерації графіки.

Проекти:

1. robotplus+:
   - Продукт для оренди або купівлі робота для задач на Марсі.
   - Мобільний додаток з продуктовою сторінкою у вебі.
   - Інструменти: Blender, AI, Figma, Photoshop.

2. beau.flo:
   - E-commerce сайт для продажу одягу онлайн.
   - Інтеграція айдентики бренду у візуальну концепцію.
   - Інструменти: AI, Figma, Photoshop, Illustrator.

3. velvet underground:
   - Редизайн сайту для сучасного вигляду.
   - Промоція фільму про вплив Velvet Underground на музичну культуру.
   - Інструменти: Figma, Photoshop, Midjourney.

Кар'єрна мета:

- Стати успішним UX/UI дизайнером, розумітися на UX-дослідженнях.
- Оволодіти бізнес-процесами, навчитися використовувати метрики.
- Інтерес до інноваційних інтерфейсів, 3D моделювання, no-code технологій.
- Використання дизайн-методологій для створення ефективних продуктів."
11,"1) Розробка дизайну банерів та головних екранів для різних тематик: книжковий магазин, магазин взуття, маркетингова конференція, продаж програм тренування.
2) Створення дизайну сайту для інвестиційної компанії Coinvest Website.
3) Реалізація дизайну сайту для мережі тату салонів Art Hall Tattoo Studio з адаптацією під різні пристрої.
4) Редизайн багатосторінкового сайту для відомого бренду велосипедів Specialized bikes з адаптацією під мобільні та планшетні версії.
5) Розробка послуг для онлайн казино, ставок та товарів 18+."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.

1. Досвід створення сайтів-візитівок, e-commerce, корпоративних сайтів, а також мобільних адаптацій.
2. Володіння Figma на рівні просунутого користувача - від варфрейма до клікабельного прототипування.
3. Використання Adobe Photoshop, Adobe Illustrator, Adobe After Effects у роботі.
4. Базові знання HTML та CSS."
13,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Професійний досвід:

2023 - Графічний дизайнер - Motto
- Розробка банерів, листівок, рекламних пропозицій.
- Дизайн-концепція ""меню супутніх товарів"" для мережі АЗС.
- Дотримання корпоративної етики та участь у системі заохочення співробітників.

2020 - 2023 - Data Quality Engineer - SQUAD
- Підтримка систем безпеки розумного дому.
- Робота з даними та машинним навчанням.

2018 - 2019 - Дизайнер інтер'єрів та менеджер з продажу - Tiger
- Проектування та дизайн інтер'єрів житлових та промислових приміщень.
- Консультування клієнтів та робота з документацією.

Освіта:

2023 - Курс Motion Design Basic - онлайн-школа SKVOT
- Базові навички роботи з Adobe After Effect & Cinema 4D.

Навички:
- Уважність до деталей, схильність до монотонної роботи.
- Високий рівень самоорганізації.
- Відкритість до конструктивної критики.
- Комунікабельність.

Цілі:
- Розвиток у напрямку Motion Design.
- Пошук компанії, яка цінує потенціал кожного співробітника та надає можливості для кар'єрного зростання."
14,"Графічний дизайнер з трирічним досвідом роботи на фрілансі. Спеціалізуюся на створенні зовнішньої та внутрішньої реклами, презентацій та відео для компанії «Житлобуд-1».

Маю досвід розробки сайтів на платформі Tilda, включаючи дизайн та розробку. Завершив 6 проектів у сфері ремонту та нерухомості з інтеграцією аналітики (Google Analytics, Tag Manager, Search Console).

Володію базовими знаннями HTML (emmet), CSS (sass, less), працював з Wordpress, маю початкові навички JavaScript. Розумію принципи програмування, вивчав C++, C#, Java, Python."
15,"Розробник графічного дизайну

Досвід:
- Створення іконок для Google.
- 4 роки досвіду у веб-дизайні, розробці банерів, постерів та графічного дизайну.
- Виконання замовлень на фріланс біржах (Fiverr, Upwork) для компаній з ЄС, США та інших країн.
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів.
- Оптимізація сайтів для SEO та підвищення їх конверсії.
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.

Навички:
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та іншими.
- Розуміння основ дизайну та веб-розробки.
- Досвід використання Webflow.
- Володіння англійською мовою на рівні В1.

Особисті якості:
- Креативність та інноваційність у роботі.
- Стресостійкість, готовність до викликів і складних задач.
- Організованість та відповідальність.
- Здатність працювати у команді та під час індивідуальної роботи.
- Вміння ефективно спілкуватись з клієнтами та колегами.
- Орієнтація на результат.
- Спокійний характер та енергійність в роботі."
16,"Освіта

- Коледж: 4 роки навчання за спеціальністю ""Художня фотографія""
- Університет: 2 роки навчання за спеціальністю ""Дизайн""

Навички

- Малювання
- Ретуш
- Графічний малюнок
- Візуальна побудова сайтів

Досвід роботи

- Ретушер у компанії ""Про Пост""
  - Досягла високого рівня володіння Photoshop

- Фріланс
  - Створення логотипів, банерів, візитівок

Додаткова освіта

- Курс UI/UX дизайну від Beetroot академії
  - Принципи композиції, типографіки та поєднання кольорів
  - Створення адаптивних веб-сайтів для різних пристроїв
  - Робота з Figma, дизайнерське мислення
  - Портфоліо проектів для демонстрації роботодавцям"
17,"Freelance

- Дизайн мобільних додатків
- Підтримка дизайн-системи
- Дизайн лендінгів
- Створення банерів

Мета: Прагну професійного зростання та використання всього спектру своїх знань і вмінь."
18,"## Резюме

### Освіта
- **GO IT**  
  Напрямок: UX/UI Design  
  Початок навчання: 21 травня 2023

### Досвід
- **Проект**: Створення landing page  
  - Розробка та дизайн landing page

### Мета
- Приєднатися до команди в компанії, де зможу розвиватися як UX/UI Designer та здобувати досвід."
19,"[Name]

[Contact Information]

Summary:
Enthusiastic web design professional with a solid background in computer science and web design. Experienced in developing user-friendly interfaces and implementing smooth animations. Seeking to leverage my skills in a forward-thinking company and contribute to cutting-edge projects.

Education:
- Bachelor's Degree in Computer Science, Lviv Polytechnic
- Completed ""Basics of Web Design"" course

Skills:
- Proficient in Figma
- Quick learner with a strong ability to meet deadlines
- Passionate about design and technology

Experience:
- Developed a motorcycle description website featuring a user-friendly interface and smooth animations as part of the ""Basics of Web Design"" course

Portfolio:
- Available on Behance upon request

Objective:
To join a dynamic company where I can apply my design expertise to create high-quality products and support the realization of modern ideas."
20,"Courses:
- UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
- Inclusive Design | Projector Online School, Apr 2021
- Web Design Beginning | Projector Online School, Feb-Apr 2021
- Basics of Web Development | WayUp Online School, 2021
- Introduction to User Experience Design | Georgia Institute of Technology, 2020

Education:
- Doctor of Medicine

Profile:
Hello! My name is Yuliia. I’m a UI/UX designer with foundational knowledge in front-end development. I am passionate about delivering high-quality work and eager to grow as a professional within a team of like-minded individuals.

Skills:
- UI/UX Design
- Basic Front-End Development

Objective:
I am seeking an opportunity where I can apply my current skills and continue to develop as a UI/UX designer within a supportive team environment."
21,"Freelance professional with over 6 months of experience, currently engaged in multiple projects. Proficient in Figma and Photoshop, with additional skills in using Google Sheets and conducting surveys for user flow analysis. Highly motivated to join a reputable company to further develop skills and gain experience in a collaborative team setting. Aspiring to expand knowledge in graphic design."
22,"Junior UI/UX Designer

Освіта:
IT School GOIT
Курс ""UI/UX Designer"" Період: лютий 2023 – зараз.

Навички:
- Робота з програмами: Figma, Adobe Illustrator, Adobe Photoshop.
- UI: візуальна ієрархія, композиція, колористика, типографіка, UI Kit.
- UX: інтерактивне прототипування, адаптивний дизайн, дизайн-мислення.
- UX дослідження: аналіз конкурентів, створення персонажів та карт емпатії, користувацькі потоки, прототипування.

Про себе:
Як UI/UX дизайнер, я відкритий до нових можливостей, мотивований та готовий до роботи. Маю сильну емпатію та розуміння потреб користувачів. Мої навички та ентузіазм роблять мене цінним доповненням до будь-якої команди.

Проекти:
1. Редизайн ""Ola-La""
- Покращена естетика
- Зручний інтерфейс
- Покращена організація інформації
- Професіоналізм
- Покращена комунікація з клієнтами

2. Командний проект ""Be like at home""
- Розробка інноваційного сайту для оренди житла з акцентом на зручність користувачів, привабливий дизайн та надійну функціональність.
- Вдосконалення навичок командної роботи, комунікації та співпраці з колегами.
- Розвиток навичок управління проектами, включаючи роботу з дедлайнами та відповідальність за свою роль у проекті.
- Отримання додаткових знань та навичок у розробці вебсайтів та використанні відповідних інструментів і технологій.

Бажання працювати у дружньому колективі, де колеги поважають та допомагають один одному."
23,"[Ваше ім'я]

**Контактна інформація:**
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn] (за наявності)

---

**Професійний профіль:**

Junior UI/UX Designer з досвідом роботи на фрілансі. Понад 6 місяців успішної реалізації проектів у сфері UI/UX дизайну. Постійно вдосконалюю свої навички та прагну розвиватися в компанії для досягнення високого рівня професіоналізму.

---

**Освіта:**

- **Курс ""Основи Web дизайну""**
  - ІТ школа ""Hillel""
  - Успішне проходження курсу

---

**Досвід роботи:**

- **Фріланс UI/UX Designer**
  - Понад 6 місяців досвіду
  - Реалізація проектів у сфері UI/UX дизайну
  - Постійне вдосконалення навичок та вивчення нових технологій

---

**Навички:**

- UI/UX дизайн
- Web дизайн
- Робота з фріланс-проектами
- Готовність працювати в команді та розвиватися

---

**Цілі:**

- Прагну працювати помічником web дизайнера та UI/UX дизайнера для набуття додаткового досвіду
- Очікую нові цікаві проекти та готова до викликів, щоб стати висококваліфікованим спеціалістом у сфері UI/UX дизайну."
24,"Landing Page для продажу оригінального крісла Wassily Chair.  
Проведено аналіз конкурентів у ніші, створено юзер персон, юзер флоу, розроблено вайфрейм, дизайн сторінки та інтерактивний прототип.

Розробка мобільного додатку на iOS на тему ""Бронювання готелів, житла"". Робота розпочалася з аналізу конкурентів, створення юзер персон та юзер флоу. Далі відбувалася розробка вайрфреймів, дизайн, створення інтерактивного прототипу та оформлення кейсу на Behance."
25,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Шукаю роботу на позиції Junior UX/UI Designer в продуктовій компанії для розвитку навичок дизайну інтерфейсів та співпраці з професіоналами в дружньому середовищі.

Освіта:
- Сертифікат UX/UI Designer, компанія GO IT
- Магістратура в GO IT, спеціальність Software Engineering

Досвід:
- 1 рік навчання дизайну з реалізацією 5 проектів:
  1. Веб-сервіс для пошуку домашніх тварин
  2. Мобільний додаток для бронювання столиків у ресторані
  3. Мобільний додаток для оренди будинків або квартир
  4. Адаптивний веб-сайт для уроків англійської мови
  5. Адаптивний веб-сайт для веб-студії

Навички:
- Командна робота
- Дослідження та аналіз користувацького досвіду
- Розробка Wireframes та прототипів
- Створення Customer Journey Map та User Journey Map
- Адаптивний дизайн
- Розробка дизайн-систем

Інструменти:
- Figma
- Adobe Photoshop, Illustrator
- VS Code
- Protopie

Проекти:
- Дослідження та референси
- HTML & CSS
- Створення Wireframes
- Дизайн користувацького інтерфейсу
- Дизайн користувацького досвіду
- Створення CJM & UJM
- Створення персонажів
- MVP версія
- Дашборди
- Прототипування
- Дизайн-системи та UI kit
- Адаптивний дизайн з використанням медіа

Цілі:
- Розвиток та покращення навичок у веб-дизайні
- Робота в дружній команді з приємними людьми."
26,"Lilia

Contact Information:
[Your Contact Information]

Objective:
Motivated UX design student with hands-on experience in customer service and consulting, aiming to enhance skills and gain further experience in the field.

Education:
- UX Design Student

Certifications:
- Polish Language Certificate, Level B2

Experience:
- Customer Service and Consulting Specialist at 24 Colours
  - Delivered exceptional customer service and consultation
  - Acquired management experience

Skills:
- Proficient in Polish (B2 level)
- Knowledgeable in UX design principles
- Strong interest in social media trends

Motivation:
- Committed to developing skills and growing professionally through practical experience and continuous learning."
27,"Hard Skills:
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Adobe After Effects (створення легкої анімації)

Soft Skills:
- Наглядність
- Робота в команді
- Виконавчість та націленість на результат
- Почуття гумору, чесність, стресостійкість, пунктуальність
- Здатність швидко навчатися
- Прагнення до розвитку та професійного зростання

Досвід роботи:

Smartflowlabs
- UX/UI дизайнер: створення прототипів сайтів, аналіз бренду та конкурентів, розробка дизайну сайту під керівництвом Senior веб-дизайнера
- Розробка додатків для Shopify під керівництвом Senior веб-дизайнера
- Адаптивний дизайн сайтів
(Вересень 2022 р. - Січень 2023 р.)"
28,"SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер)

- Розробка та реалізація стратегій у соціальних мережах
- Аналіз ефективності кампаній та підготовка звітів
- Взаємодія з аудиторією та управління контентом

Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер)

- Координація роботи дизайнерської команди
- Розробка візуальних матеріалів для заходів та публікацій
- Співпраця з іншими відділами для забезпечення якісного візуального супроводу"
29,"Tepli obiymy  
10.07.2023 - 25.07.2023  
Розробка айдентики для Instagram-магазина в'язаних речей  

- Провела аналіз конкуренції та цільової аудиторії  
- Визначила сильні та слабкі сторони продукції  
- Розробила концепцію бренду  
- Створила логотип та оформила бірки для одягу  

Моя мета — глибше розуміти процес розробки, а не лише створювати естетичні інтерфейси. Прагну приєднатися до внутрішньої команди дизайнерів, навчатися у професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб команда могла зосередитися на складніших аспектах."
30,"Я - кваліфікована UI/UX дизайнерка з досвідом роботи в проєкті, спрямованому на підтримку початківців в сфері ІТ, які не мають досвіду. Моя участь у цьому проєкті не тільки дозволила мені вдосконалити свої навички в області UI/UX дизайну, але й надала мені унікальну можливість розвивати навички управління проєктами та здобути практичний досвід у командній роботі.

UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейсу з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення UI-kit та передача макету в розробку

Пет проєкти

1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Я брала активну участь у всіх етапах процесу дизайну, починаючи зі створення концептуальних вайрфреймів, розробки інтерактивних прототипів та остаточного дизайну. Моя робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Я також активно використовувала компонентний підхід, створюючи компоненти для кнопок, полів введення, карточок та інших елементів, що полегшувало повторне використання. Робота в команді організована за методологією SCRUM з двотижневими спринтами і регулярними дейлі мітингами, на яких обговорюємо прогрес роботи, обмінюємося ідеями та вирішуємо питання для подальшого розвитку проєкту.

2. Мобільний додаток з резервування столиків
Додаток, який допомагає користувачам легко та швидко здійснювати бронювання столиків в улюблених закладах. Можливість шукати та переглядати інформацію про різні ресторани, меню, фотографії та розташування, обирати дату, час та кількість осіб, для яких вони хочуть забронювати столик. Для початку я провела аналіз, який допоміг мені зрозуміти, хто буде цільовою аудиторією, які їх потреби та очікування від додатку, склала мапу сайту, побудувала User flow. Розробила вайрфрейми та прототипи, які допомогли визначити візуальне розміщення елементів, оптимальну структуру та навігацію додатка. Розробила високоякісні макети, включаючи вибір кольорової палітри, шрифтів, графічних елементів та іконок."
31,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Освіта:
- Курс веб-дизайну, WayUp (3 місяці)
  - Основи роботи з Figma

Досвід роботи:

Адміністратор
- Українська компанія (1 місяць, стажування)

Графічний дизайнер
- Mindy Teams, Польща (1,5 місяця)

Менеджер з продажу
- [Назва компанії] (1 тиждень)
  - Звільнилася через невідповідний графік роботи

Навички:
- Основи Figma
- Adobe Illustrator

[Дата]."
32,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Прагну розпочати кар'єру в сфері UI/UX дизайну, готова працювати асистентом дизайнера або стажуватись для здобуття практичного досвіду.

Освіта:
- Сертифікат про завершення курсу UI/UX, Logos IT Academy
- Участь у марафоні ""Основи HTML, CSS"", GoIT

Досвід роботи:
Більше 5 років досвіду у сфері освіти:
- Викладання української та англійської мов
- Онлайн викладання під час декретної відпустки

Навички:
- Дослідження користувачів
- Створення User Persona та Story
- Розробка Customer Journey Map (CJM)
- Побудова Task Flow та інформаційної архітектури (IA)
- Дизайн дашбордів та постерів

Проекти:
- Розробка додатку для доставки їжі: проведення досліджень, створення User Persona та Story, CJM, Task Flow, IA

Готова до нових викликів та швидкого старту в новій професії."
33,"Дизайнер у соціальній компанії Steiger International, спеціалізація - Jr. UX/UI. Досвід розробки веб-сайтів, включаючи 4 проєкти: продукт у сфері доставки та веб-сайт магазину з доставки продуктів. Виконання проєктів під час навчання на курсах Projector."
34,"Вебдизайнерка-світчерка з великим досвідом у редагуванні та двома вищими освітами. Закінчила курси з UI/UX-дизайну, маю 7 місяців досвіду роботи в цій сфері. Працювала контент-дизайнеркою в компанії GOIT, де створювала візуальний матеріал для онлайн-курсів у Figma, Photoshop, Illustrator (прототипи, UI, слайди, обгортки до статей і курсів, рекламні банери, таблиці, документи в Notion). Раніше працювала з Adobe InDesign, Coral Draw. 10 років працювала редактором у різних компаніях, зокрема на телебаченні, проявила себе як відповідальний фахівець. 

Впевнено користуюся Figma та іншими графічними редакторами. Рівень англійської – Intermediate. Можу відкрити код і знайти оригінальні зображення для свого дизайну.

Шукаю стабільну роботу з офіційним оформленням у надійній компанії. Прагну працювати з дружною командою фахівців, які люблять свою справу. Разом досягнемо нових висот!"
35,"Дизайнер сайтів з навичками створення гарного, стриманого та якісного дизайну. Вмію працювати з кольорами та текстом, швидко навчаюсь та ефективно знаходжу потрібну інформацію.

Досвід:
- Виконання проєктів в рамках курсу Web Design Beginning від Projector.
- Робота над створенням сайту для пошуку роботи в Україні в рамках курсу UI/UX Design Beginning.

Мета:
- Розвиток у сфері UI/UX Design.
- Вивчення англійської мови.
- Створення естетичних та функціональних інтерфейсів.

Шукаю компанію для професійного зростання."
36,"Гайдаш Анастасія

Junior UI/UX Designer

Навички:
- Впевнене володіння Figma, Adobe Photoshop
- Досвід у створенні дизайну для інтернет-магазинів, Landing page, редизайн сайтів
- Розробка кейсів на Behance

Освіта:
- Англійська мова: рівень B1 (в процесі підвищення)

Особисті якості:
- Висока комунікабельність
- Завзятість та наполегливість у роботі"
37,"Марія  
Сертифікований UX/UI дизайнер

Досвід роботи:  
- Понад рік досвіду в UX/UI дизайні, включаючи півроку навчання.  
- Навчання з графічного дизайну, досвід роботи з Adobe Photoshop та Adobe Illustrator.  

Навички:  
- Дотримання базових принципів веб-дизайну.  
- Робота з колористикою та типографікою.  
- Володіння Figma, виконання простих завдань в Adobe Photoshop та Adobe Illustrator.  

Проекти:  
- Розробка макетів для лендингів, багатосторінкових сайтів та інтернет-магазинів.  
- Створення інтерфейсів, адаптованих для різних екранів (десктоп, планшет, мобільна версія)."
