,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
2577,"Project Coordinator & E-commerce Manager
Summary:
Results-driven professional with experience in workflow optimization, team management, and e-commerce operations, proven to successfully manage multiple projects and teams with expertise in Salesforce administration, customer service, and process improvement.

Experience:
Project Coordinator, Upwork Premium Services
- Measured service efficiency through contrastive analysis and reporting
- Provided administrative support and maintained lead data in Salesforce
- Monitored and reported on team activity and handled high-value escalations
- Revised and improved current processes

Online Store Project Manager (Remote)
- Optimized workflow through high-quality customer service and efficient task management
- Managed backend admin panel, hosting infrastructure, and dispatch
- Resolved support tickets and provided 1st line support

Talent Agent Admin & Talent Specialist
- Sourced high-caliber talent for internal teams and clients
- Conducted video interviews and created Jira tickets
- Optimized operations and improved program efficiency and quality
- Created and maintained SOP documentation

Magento E-Commerce Project Manager
- Managed dev team tasks, improved UI optimization, and cooperated with SEO and marketing teams
- Conducted performance review meetings and established vendor relationships
- Managed stock, payment, shipping, and orders, and resolved customer complaints

Skills:
- Workflow optimization
- Team management
- Salesforce administration
- Customer service
- Process improvement
- E-commerce operations
- Project management
- UI optimization
- SEO and marketing cooperation
- Vendor management
- Stock and order management
- Customer complaint resolution

Achievements:
- Successfully managed and optimized workflow and standard operation processes
- Maintained and administered Salesforce lead/records database
- Ran and administered 2 e-commerce businesses simultaneously
- Improved efficiency and quality of programs through process improvements and optimizations"
2582,"PhD in Economics (Candidate of Economic Sciences), 2018

Summary:
Results-driven professional with experience in project management, business development, and client relationships, delivering process improvements and excellent client service. Proven ability to manage multiple projects, with a passion for creating positive social and business impact.

Experience:

Project Manager, Ukrainian Social Academy
Jul 2019 – Mar 2020
- Conducted competitor analysis and market research to inform product development
- Developed and implemented product concepts, including structure, objectives, and promotion plans
- Created client portraits, identified target audience, and analyzed client needs and behavior
- Coordinated with experts, negotiated program updates, and managed budgets
- Developed and implemented marketing plans, including social media and promotional materials
- Communicated with clients, defined their needs, and analyzed feedback

Project Manager, EdEra
Apr 2019 - May 2019

Account & Project Manager, Kyiv Mohyla Business School [kmbs]
May 2016 - Jul 2018
- Managed Executive Development Programs, including scheduling, promotion, and client relationships
- Identified client expectations, needs, and goals, and provided advisory services
- Coordinated with Marketing and Finance departments, and developed marketing plans
- Represented the school at external events, and interacted with clients to collect feedback
- Suggested program improvements, and provided senior staff with retrospective on program results
- Coached new team members, and administered the company website
- Worked with CRM & analytics, and developed the CRM system

Intern, Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv)
Nov 2014 - Jul 2015

Education and Certifications:
- PhD in Economics (Candidate of Economic Sciences), 2018
- IELTS Academic test score: 7.0 (2011, 2014)
- Completed 6 online courses at Coursera:
  - An Introduction to Marketing
  - Critical Perspectives on Management
  - Critical Thinking in Global Challenges
  - A Beginner's Guide to Irrational Behavior
  - Games without Chance: Combinatorial Game Theory
  - Fundamentals of Global Energy Business

Key Achievements:
- Improved the logic of the medium-term program at Kyiv Mohyla Business School, enabling participants to introduce changes in their businesses more easily
- Contributed to the implementation of a new CRM system, including testing, bug reporting, and interface design
- Evaluated participants' graduation projects on the medium-term program as a member of the commission

Personal Statement:
I am passionate about being part of a company with a meaningful mission that creates new opportunities for life. I am driven by ideas and solutions that have a positive impact on both social and business processes."
2583,"Results-driven account and digital marketing professional with 4+ years of experience in B2B/B2C environments, specializing in AdTech and Crypto products. Proven skills in:
- E-mail marketing
- Communications
- Digital Marketing

Professional Experience:
Account Project Manager, Genesis - Sendios.io
- Rebuilt the account flow for managing clients' tasks for the whole team

Product Manager, Coreteka
- Launched the updated version of the company website

Sales and Account Manager, BitMedia
- Achieved 20% growth in advertiser cost across the network
- Implemented Pipedrive CRM system

User Acquisition Manager, MGID
- Consistently closed twice as many clients as colleagues over a 3-month period
- Conducted team education through presentations and training sessions

Motivated by fast-paced environments, collaborative teams, and challenging tasks. Focused on transitioning into a Project Manager or Retention Manager role, driving user retention and product development. Currently working as an Account Project Manager at Genesis on the Sendios.io project."
2584,"Results-driven professional with extensive experience in project management, digital marketing, and team leadership, boasting a proven track record of successfully managing multiple projects and budgets.

Key strengths include:
* Project management: planning, budget management, and coordination of project components, with experience managing up to 56 projects simultaneously and budgets totaling $310,000 USD
* Digital marketing: building, maintaining, and running campaigns
* Team leadership: mentoring junior project managers and leading cross-functional teams of 10-15 people
* Client management: working directly with clients to ensure project goals are met within scope and budget
* Business development: conducting market research, creating business plans, and attracting new customers

Professional experience:
Lead Account Executive
* Established and led strong partnerships and collaborations, influencing and advocating for company strategic priorities
* Developed techniques to attract prospective customers and retain existing ones
* Conducted market research and analysis to create detailed business plans on sales opportunities

Middle Project Manager
* Coordinated and managed multi-functional project teams to ensure the success of marketing campaigns
* Oversaw strategic goals and tactical decisions through weekly cross-functional meetings
* Mentored junior project managers, including raising one to middle level

Additional experience:
* Created and conducted training on negotiation techniques and troubleshooting for company employees
* Utilized project management tools such as Teamwork, Asana, and Notion
* Completed 143 projects, with a total managed budget of $310,000 USD"
2585,"Results-driven Head of Business Development with a proven track record of managing successful projects and driving revenue growth. Holding an international master's degree with a ""very good"" grade from German universities, as well as a multilingual certification in German and English.

Currently leading a team of sales and account managers, with a notable achievement of increasing revenue growth in the respective market by 50%. Successfully managing a large-scale integration project with a top European ECM software solution provider.

Possess business process expertise in Marketing, Sales, and IT, with experience collaborating in Agile/Scrum environments and international teams. Skilled in managing projects and driving revenue growth, with a strong background in marketing, sales, and IT.

Continually develop technical skills through workshops and courses on Online Marketing, Scrum, Agile Project Management, and Lean Project Management. Committed to working for a reputable company that offers opportunities for growth and advancement, with competent and congenial coworkers who value teamwork.

Seek to leverage skills and experience to drive success, while exploring opportunities for travel and professional development, and progressing in career as a seasoned PM, marketing, and sales professional."
2586,"7 years of experience in client service and project management

Account Project Manager
Media Agency Vizeum (Dentsu) 
(1.6 years)
- Coordinated interaction between the Agency and Clients in project development, approval, and implementation
- Provided daily communication and client service for local and global client teams
- Managed complex clients in media, planning strategies across TV, TV Sp-p, OOH, Radio, and Digital

Senior Account Manager
Marketing Services Agency Adsapience 
(3.1 years)
- Developed concepts for brand promotion, built operational processes, and provided daily customer support
- Coordinated web developers for website and app development, and supervised national teleconferences
- Managed operations, communicating with multiple teams including product development, creative, digital, production, and logistics
- Led teams for mass events, partner integrations, and trained middle managers
- Coordinated service implementation, handled problems, and provided solutions for clients

Account Manager
Marketing Agency TMA Ukraine 
(1.9 years)
- Developed and integrated marketing promotions for a shopping and entertainment center
- Coordinated trade-marketing projects, managing all processes from start to finish"
2587,"Account and Project Manager
Dutch SAAS Company

Responsible for managing accounts and projects for a European-focused software company providing supply chain mapping and risk assessment solutions to global clients.

Key Responsibilities:
- Advise international clients on software solutions and market developments
- Prepare and manage project budgets
- Collaborate with the IT team to ensure timely project delivery
- Serve as the primary point of contact for client inquiries and issues
- Ensure client satisfaction through effective account management

Software Proficiency:
- In-house software
- Teamleader
- MS Office
- Tableau

Market Focus:
- Primary market: Europe
- Global supply management expertise"
2588,"Account Manager
ProfiAds (Advertising & Event Agency)
June 2015 – Present

Key Qualifications & Responsibilities:
- Managed project documentation, including client negotiations, contract signing, customer communication, and correspondence with shopping centers, as well as budget management
- Conducted on-site meetings to discuss placement agreements and supervised project launches in various cities across Ukraine
- Coordinated team efforts, collaborating with designers to create layouts and obtaining client approval
- Oversaw advertising placement, including designing printed layouts, sourcing contractors, overseeing installation, resolving logistical issues, obtaining necessary permits, and controlling installation and dismantling processes

Notable Projects:
- Successfully launched large-scale projects in multiple shopping centers across Ukraine for prominent brands, including Vodafone, Davidoff, Mary Key, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo."
2589,"Result-Oriented Account Manager/Project Manager

Highly organized and diligent professional with 5+ years of experience in product and outsource companies, possessing excellent written, oral, and interpersonal communication skills. Proven ability to work under pressure, manage multiple projects simultaneously, and maintain a strong focus on results.

Key Experience:
- 19 commercially launched projects
- 5+ years of experience in product and outsource companies

Core Responsibilities:
- Facilitating Scrum events across various teams
- Planning and managing internal and external project communications
- Controlling staffing processes
- Managing project, financial, and invoicing documentation and processes
- Leading internal delivery teams to ensure successful project delivery
- Estimating software implementation requests, including goals, cost, scope of work, and efficiency
- Planning and controlling software development processes
- People management, focusing on building effective and collaborative project teams and promoting individual and team performance

Personal Qualities:
- Positive and open-minded team player
- Strong interest in project success and personal growth

Career Aspirations:
Seeking a company with a strong team spirit, where opportunities for professional growth and skill development are available."
2590,"Results-driven Sales Account Manager with 4+ years of experience driving business growth and fostering long-term customer relationships.

Key Responsibilities:
- Identify new business opportunities through verified lead processing
- Develop and implement effective plans to meet customer needs
- Create accurate quotes based on project requirements
- Negotiate and close deals to achieve sales targets
- Manage accounts from inception to completion
- Facilitate meetings with prospects, customers, and internal teams
- Manage invoicing and payment processes

Strengths:
- Effective communication skills, bridging customer and development team gaps
- Strong negotiation and closing abilities
- Proven team player with ability to work collaboratively

Career Aspirations:
- Enhance skills in Account and Project Management
- Contribute to a team-oriented environment with established processes and mentorship opportunities"
2591,"Account/Project Manager

Summary:
Results-driven professional with 1.5 years of experience in account and project management, leveraging strong communication skills to deliver high-quality results.

Key Skills:
- Effective communication and interpersonal skills
- Contract and agreement preparation
- Budget planning for clients
- Website testing and quality assurance
- Task prioritization and efficient execution
- Project management and multitasking
- Result analysis and process improvement

Experience:
Account/Project Manager (1.5 years)
- Managed multiple projects simultaneously with accuracy and responsibility
- Coordinated with teams and clients to achieve common goals
- Prepared contracts, agreements, and budgets for clients
- Tested and ensured quality of websites
- Evaluated project results, identified areas for improvement, and implemented changes to enhance future outcomes

Personal Qualities:
- Committed and determined to deliver high-quality work
- Strong focus on results and process improvement
- Ability to find common ground with teams and clients to achieve better work results"
2592,"**Summary**
Results-driven professional with experience in account management, project management, and sales, driving revenue growth and building strong relationships.

**Professional Experience**

**Key Account Manager, Glovo**
- Increased GMV and CPO by 4,000 euros monthly through sales of in-app instruments and promotional campaigns to partners
- Developed and managed strategic partnerships end-to-end, delivering campaign execution, optimization, and analysis
- Analyzed partners' business performance to ensure month-over-month growth
- Gathered feedback to inform product, marketing, and operations improvements

**Account Manager, International Company**
- Led a team of 10 as the sole Account Manager for the region, generating over 4,000 euros in sales of B2B functionalities
- Doubled revenue from top 10 partners within 2-3 months
- Managed a project with 400 participants, yielding $27,000 in quarterly revenue

**Project Coordinator/Founder**
- Led a team of 60 in a project teaching business basics to students
- Managed inbound and outbound leads, conducted training, and mentored teams
- Oversaw technical and administrative teams, aligning with the team's vision and scope

**Key Customer Manager, Dubai**
- Promoted vendor products, increasing sales through strategic planning
- Built and maintained customer relationships, negotiating contracts and onboarding new customers
- Created vendor showcases on the website's backend panel

**Assets Sales Manager**
- Sold assets valued at over $20,000 within 3 months
- Ensured sales materials were updated for presentations and opportunities
- Prepared a franchise for sale and handled financial reporting

**Education and Achievements**
- Alumna of the Study US Institutions program for Women Leaders
- Winner of the International Case Championship in Almaty, 2018
- Featured in a local internet resource

**Skills and Values**
- Strong communication and interpersonal skills
- Experience in project management, account management, and sales
- Committed to ownership, drive, healthy atmosphere, and growth
- Passionate about collaborative work and making a positive impact"
2594,"Results-driven professional with 10+ years of experience in account and project management, sales, and team leadership, delivering consistent sales growth and building long-term client relationships.

Key Achievements:
- Successfully sold and implemented 300+ projects as an Event Sales Manager, achieving upsales of up to 200% of the primary cost.
- Built and maintained strong client relationships, delivering 2-8 projects with consistently good and excellent feedback.
- Led, trained, and managed a team of 8 people and engaged over 20 partners, fostering a collaborative environment.
- Achieved 30% higher results than expected through personnel selection and training as an Account Manager.

Professional Experience:
Event Sales Manager, Hotel and Restaurant Complex (3+ years)
- Exceeded sales targets through project sales and implementation
- Developed and maintained long-term client relationships
Account Manager & Event Coordinator (5+ years)
- Managed accounts, coordinated events, and drove sales growth
- Demonstrated expertise in account management, event coordination, and sales

Skills:
- Team Management and Leadership
- Sales and Account Management
- Event Sales and Coordination
- Marketing Knowledge
- Negotiation and Goal-Oriented Strategy
- Team Training and Development

Career Objective:
Seeking a challenging role as an Event Manager, Account Manager, or Project Manager where previous experience can be leveraged and new professional challenges can be undertaken, with a preference for roles without cold sales."
2595,"Results-driven professional with international sales and business development expertise, seeking to leverage experience in managing key global accounts. Possess strong communication skills, analytical abilities, and a drive for self-improvement. Proven career progression: 
Sales Manager (2 years) 
Head of Sales Department (1.5 years) 
Global Account Manager (2 years) 
Seeking an Account Management role, focusing on relationship building and growth, rather than primary sales or sales team management."
2597,"As a seasoned Product Manager, Project Manager, and Scrum Master, I have successfully driven business growth and managed diverse projects across various industries, including Finance, Logistics, Mobile games, Services, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment.

Key Highlights:
* Successfully opened a new sales direction in one of the most popular educational platforms in the USA, expanding into the Australian market
* Proven experience in managing teams of 2-20 FTE, handling up to 10 projects simultaneously, and working with cross-functional teams
* Skilled in Agile methodologies, with expertise in Scrum framework, including setting up processes, creating roadmaps, and conducting annual evaluations

Professional Experience:
Senior Project Manager, Scrum Master, Business Analyst, and Product Management responsibilities
September 2022 – August 2023
* Mentored and coached teams on Agile ceremonies, practices, roles, and artifacts
* Facilitated Scrum ceremonies, adapting them to team needs and ensuring adherence to Scrum values
* Helped teams maintain focus on priorities, achieve Sprint and product goals, and identify customer needs
* Defined vision, aligned stakeholders, and prioritized product features and capabilities
* Established and monitored timelines for product launches

Senior Project Manager, Scrum Master
August 2019 – August 2022
* Managed web, desktop, and mobile application development processes
* Coordinated multiple projects in parallel, managing project issues and risks
* Facilitated Scrum events, monitored progress, and ensured team focus on priorities
* Conducted One2One meetings with team members and provided support for emerging issues

Team Lead Project Manager, Appus Studio, Kharkov, Ukraine
May 2019 – August 2019
* Assisted in project development, implementing complex tasks and resolving critical errors
* Set clear goals and priorities, provided technical advice, and participated in customer calls and meetings
* Contributed to employee adaptation, motivation, and interviews, and selected technologies for project development

Areas of Competence:
* Product backlog management
* Annual planning and OKR methodology
* People management and coordination
* Project management
* Balancing critical issue resolution and competing priorities
* Project progress and metrics reporting

Hobbies:
* Speaker at A-Level School (April 2019 – Present)
* Digital Drawing"
2645,"Project Manager & Underwriting Manager
Summary:
Results-driven professional with experience in project management, underwriting, and account management, delivering high client satisfaction through streamlined workflows and effective team leadership.

Experience:
Project Manager at Non-Profits
- Created and implemented a daily update system in Monday CRM, enhancing team collaboration and productivity
- Mentored and trained 5 interns, developing their skills into strong team members
- Successfully converted existing spreadsheets to the Monday CRM system, improving data management efficiency
- Led the integration and training process for a seamless transition to the new CRM system
- Prepared and delivered comprehensive monthly and quarterly reports to clients, highlighting key performance metrics
- Established a standardized reporting process, resulting in improved client satisfaction and retention
- Designed and developed an external e-learning course on grant writing using LearnWorlds.com

Underwriting Manager
- Evaluated and processed over 600 client application packages, providing constructive feedback
- Analyzed statistical data using specialized computer programs, including Jarvis CRM
- Onboarded 95 approved merchant applications into the system
- Maintained daily communication with new and existing clients, ensuring prompt support

Account Manager
- Prepared application packages based on client supporting documents
- Submitted application packages to banks and maintained communication with bank representatives
- Trained new employees on company customer management policies and procedures
- Updated workflow in CRM to enhance efficiency

Achievements:
- Successfully assisted over 200 clients in obtaining approved accounts in US banks
- Trained and integrated new team members, resulting in improved overall team performance and productivity"
2654,"07/2022 - Present
Account Manager at Sparkybit (Germany)

Key Responsibilities:
• Building and maintaining strong, long-lasting customer relationships
• Resolving complaints and preventing potential issues
• Conducting client satisfaction surveys and reviews
• Engaging in consistent customer meetings to positively impact client loyalty and revenue growth
• Managing existing accounts, solving business and technical issues in collaboration with the team

01/2022 - 06/2022
Account Manager at DevPals AB (Sweden)

Key Responsibilities:
• Communicating with clients to ensure customer success and satisfaction
• Developing trusted advisor relationships with key accounts
• Assisting with challenging client requests or issue escalations
• Ensuring timely and successful delivery of solutions according to customer needs
• Assisting in lead generation on Upwork

11/2017 - 09/2021
Business Sales Manager at North-wine (Denmark)

Key Responsibilities:
• Searching for new key customers
• Conducting calls to potential clients to introduce the website
• Assisting in controlling the product range and its display on the website
• Corresponding with existing customers to determine their needs and find suitable products
• Assisting in working on a database of products, pricing management, and wine market monitoring

10/2016 - 11/2017
Head of Logistics at Gold.ua (Ukraine)

Key Responsibilities:
• Controlling delivery at all stages, as well as control of receivables over all branches of the company
• Making complaints to obtain compensation when orders were lost or damaged
• Settling disputes with customers in case of problems with timely delivery of goods"
