Unnamed: 0,Modifiedgpt4o-on3.5 UIUX Score
56619,81.724
56629,87.995
56630,84.462
56631,84.583
56632,88.199
56633,85.915
56634,82.892
56635,86.837
56637,85.512
56638,87.696
56639,87.855
56641,81.994
56642,84.253
56643,86.119
56644,83.408
56645,88.424
56646,78.918
56647,84.039
56648,77.467
56649,84.12
56650,83.283
56651,88.107
56652,87.512
56653,83.26
56654,85.718
56656,82.027
56657,87.91
56661,85.237
56662,87.203
56725,86.122
56795,79.544
56796,83.092
56797,86.031
56798,82.504
56799,83.607
56800,83.911
56801,84.804
56802,83.66
56803,89.185
56804,89.38
56805,81.749
56807,88.219
56809,86.997
56859,83.773
56860,85.948
56861,83.956
56862,87.373
57384,90.473
57400,89.588
62042,84.751
63086,84.645
63087,84.388
83710,87.155
83711,81.484
86666,87.843
87779,83.957
97622,88.064
98134,85.912
98135,87.072
98136,85.933
98137,87.121
98138,86.122
98171,86.659
98172,82.288
98173,84.304
98245,86.437
98250,83.406
98251,84.022
98252,77.462
98253,79.592
98254,86.025
98255,80.974
98256,81.34
98257,81.642
98258,83.46
98259,83.968
98260,85.322
98261,82.691
98262,83.793
98263,79.835
98264,80.665
98265,85.101
98266,85.725
98267,78.699
98268,84.699
98269,87.848
98270,81.705
98271,85.572
98272,90.377
98273,85.435
98274,86.883
98275,84.357
98276,88.146
98277,87.657
98278,86.03
98279,80.768
98280,83.563
98281,89.176
98282,85.593
98283,87.893
98284,85.542
98285,84.055
98286,87.215
98287,87.497
98288,83.268
98289,81.826
98290,82.095
98291,86.339
98292,87.597
98293,86.985
98294,83.094
98295,87.875
98296,85.553
98297,85.657
98298,83.479
98299,86.866
98300,88.771
98301,85.29
98302,85.055
98303,85.445
98304,86.227
98305,85.859
98306,86.871
98307,86.245
98308,84.655
98309,85.066
98310,84.209
98311,82.624
98312,86.759
98313,89.003
98314,88.518
98315,84.619
98316,88.025
98317,83.003
98318,86.145
98319,86.136
98320,87.641
98321,85.446
98322,88.557
98323,88.351
98324,84.749
98325,89.846
98326,84.511
98327,86.157
98328,83.361
98329,85.417
98330,86.798
98331,82.853
98332,82.586
98333,84.733
98334,86.85
98335,81.996
98336,86.754
98337,87.692
98338,80.516
98339,86.696
98340,86.729
98341,87.377
98342,83.517
98343,86.618
98344,87.045
98345,83.495
98346,88.499
98347,85.035
98348,83.835
98349,88.295
98350,88.116
98351,85.748
98352,85.207
98353,85.332
98354,79.057
98355,80.831
98356,85.468
98357,80.539
98358,86.116
98359,81.29
98360,80.99
98361,88.967
98362,81.693
98363,83.164
98364,86.256
98365,81.723
98366,82.823
98367,84.25
98368,82.952
98369,89.872
98370,87.263
98371,87.352
98372,89.447
98373,82.465
98374,88.177
98375,86.008
98376,84.115
98377,85.599
98378,83.993
98379,88.134
98380,87.307
98381,83.275
98382,88.756
98383,84.921
98384,81.935
98385,86.411
98386,80.945
98387,85.835
98388,82.207
98389,83.56
98390,81.427
98391,85.333
98392,85.445
98393,88.233
98394,85.404
98395,90.745
98396,85.021
98397,84.932
98398,82.399
98399,84.617
98400,81.434
98401,82.964
98402,85.974
