Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o DoorDash Score
12507,80.357
12508,80.477
12509,81.508
12510,82.713
12511,81.212
12512,80.513
12513,80.374
12514,83.474
12515,82.446
12516,83.898
12518,83.154
12519,82.477
12520,84.162
12521,81.974
12523,82.222
12525,85.148
12526,84.22
12527,83.366
12528,79.22
12529,85.75
12530,80.006
12531,81.059
12532,83.167
12533,82.765
12565,84.532
12656,83.564
12674,83.641
12687,79.395
12736,83.163
13078,81.554
13080,84.124
13146,83.591
13147,81.444
13148,83.661
13149,81.307
13150,83.176
13196,83.898
13382,81.236
13461,80.532
13475,83.223
13477,82.568
13537,84.418
13893,82.944
13897,79.298
14744,83.744
14862,80.137
14882,82.813
14890,84.404
14906,81.438
14907,82.001
14914,81.036
14916,80.716
14930,82.656
14932,78.681
14939,80.286
14947,80.525
15180,82.004
15240,81.364
15339,83.01
15419,81.224
15425,84.355
15426,83.425
15474,81.652
15519,82.748
15524,81.622
15589,82.752
15679,76.555
15743,80.328
16036,84.116
16039,81.672
16064,84.787
6018,78.879
6021,80.784
6026,80.264
9479,79.129
16980,77.708
17014,76.078
18230,76.005
18348,80.413
26715,79.96
26747,80.021
29788,77.73
29835,81.79
30606,79.028
30845,80.325
32072,79.573
46443,84.239
46506,77.846
50300,83.067
51419,79.585
53971,79.748
53972,79.213
53973,78.971
53974,78.033
53975,79.809
53976,75.778
53977,81.299
53978,76.255
53979,77.777
53981,77.528
54796,76.187
54797,79.762
54798,80.204
54799,79.081
54800,75.991
56453,80.649
56528,77.948
56542,76.7
56543,79.537
56544,77.192
56545,81.655
56618,78.604
56619,75.951
56629,80.702
56630,76.486
56631,79.861
56632,80.494
56633,82.018
56634,78.197
56635,78.866
56637,75.471
56638,80.954
56639,77.579
56641,78.593
56642,79.705
56643,82.734
56644,78.835
56645,79.056
56646,75.472
56647,78.921
56648,78.936
56649,76.721
56650,78.125
56651,78.251
56652,78.791
56653,80.433
56654,81.673
56656,77.77
56657,77.571
56661,80.427
56662,78.658
56725,78.771
56795,76.27
56796,76.543
56797,75.43
56798,80.19
56799,74.884
56800,79.886
56801,78.27
56802,77.536
56803,80.613
56804,77.121
56805,79.954
56807,81.084
56809,79.787
56859,76.816
56860,77.606
56861,76.204
56862,78.148
57384,82.248
57400,82.957
62042,81.057
63086,77.483
63087,82.043
83710,80.041
83711,78.798
86666,78.925
87779,82.443
97622,78.449
98134,79.797
98135,78.56
98136,77.577
98137,74.781
98138,79.69
98171,75.717
98172,78.128
98173,79.697
98245,79.477
98250,81.427
98251,78.644
98252,78.509
98253,82.142
98254,78.425
98255,82.313
98256,77.991
98257,80.765
98258,79.94
98259,80.227
98260,83.392
98261,78.644
98262,79.821
98263,80.604
98264,83.637
98265,82.529
98266,84.916
98267,80.168
98268,78.669
98269,79.959
98270,80.744
98271,79.391
98272,79.32
98273,80.602
98274,79.757
98275,80.382
98276,77.618
98277,79.077
98278,78.614
98279,80.199
98280,80.882
98281,80.167
98282,80.212
98283,81.374
98284,77.617
98285,79.204
98286,80.877
98287,81.941
98288,79.298
98289,80.419
98290,78.312
98291,81.412
98292,77.641
98293,81.409
98294,79.372
98295,81.134
98296,74.9
98297,79.965
98298,81.419
98299,79.456
98300,79.566
98301,74.016
98302,80.866
98303,80.424
98304,80.214
98305,82.289
98306,77.71
98307,77.425
98308,78.151
98309,79.559
98310,84.114
98311,76.966
98312,76.781
98313,81.453
98314,84.136
98315,79.983
98316,84.047
98317,77.861
98318,78.943
98319,78.918
98320,77.098
98321,81.079
98322,78.173
98323,80.226
98324,80.384
98325,81.451
98326,78.729
98327,79.269
98328,79.576
98329,78.663
98330,80.274
98331,78.218
98332,79.196
98333,78.987
98334,80.455
98335,80.651
98336,80.506
98337,78.267
98338,80.934
98339,79.282
98340,79.77
98341,79.58
98342,81.778
98343,75.444
98344,81.276
98345,79.65
98346,77.121
98347,80.376
98348,78.879
98349,80.379
98350,80.639
98351,78.101
98352,78.344
98353,79.56
98354,78.163
98355,83.416
98356,78.455
98357,81.719
98358,81.892
98359,80.847
98360,78.944
98361,79.537
98362,79.26
98363,79.21
98364,77.11
98365,79.413
98366,79.18
98367,81.2
98368,79.142
98369,80.035
98370,79.928
98371,80.386
98372,80.954
98373,83.084
98374,81.651
98375,80.828
98376,81.717
98377,80.733
98378,81.243
98379,79.3
98380,81.449
98381,79.303
98382,79.371
98383,81.701
98384,82.589
98385,78.226
98386,79.926
98387,80.713
98388,82.086
98389,81.19
98390,81.118
98391,80.716
98392,79.358
98393,78.021
98394,76.657
98395,79.34
98396,80.002
98397,79.5
98398,81.025
98399,77.492
98400,81.13
98401,79.027
98402,83.953
