Unnamed: 0,Modifiedgpt4o-on3.5 DoorDash Score
98250,81.666
98251,78.149
98252,81.059
98253,78.3
98254,79.363
98255,80.44
98256,78.715
98257,81.684
98258,78.717
98259,80.983
98260,84.721
98261,81.856
98262,80.268
98263,76.601
98264,79.249
98265,82.365
98266,85.868
98267,77.465
98268,81.018
98269,81.465
98270,79.296
98271,79.044
98272,79.284
98273,81.348
98274,77.385
98275,78.9
98276,78.645
98277,79.628
98278,78.322
98279,79.312
98280,79.703
98281,78.96
98282,78.157
98283,84.041
98284,77.915
98285,77.136
98286,81.426
98287,79.607
98288,80.15
98289,78.537
98290,79.506
98291,80.57
98292,81.872
98293,79.896
98294,79.644
98295,80.342
98296,78.345
98297,80.62
98298,78.277
98299,80.314
98300,78.101
98301,75.543
98302,82.81
98303,79.932
98304,79.732
98305,82.887
98306,79.341
98307,77.678
98308,76.788
98309,81.187
98310,81.789
98311,78.492
98312,79.695
98313,80.573
98314,80.686
98315,81.02
98316,85.362
98317,74.64
98318,79.237
98319,78.35
98320,77.974
98321,79.324
98322,75.971
98323,80.391
98324,75.688
98325,80.652
98326,79.352
98327,81.34
98328,80.569
98329,80.032
98330,82.15
98331,79.197
98332,77.262
98333,78.106
98334,84.573
98335,80.187
98336,79.641
98337,78.282
98338,79.696
98339,75.198
98340,81.18
98341,80.205
98342,82.969
98343,75.235
98344,79.216
98345,80.127
98346,82.392
98347,81.193
98348,79.944
98349,81.087
98350,79.931
98351,79.473
98352,77.897
98353,77.395
98354,79.726
98355,79.172
98356,77.386
98357,82.799
98358,78.238
98359,76.49
98360,79.953
98361,80.899
98362,75.815
98363,77.367
98364,78.205
98365,76.515
98366,79.879
98367,80.54
98368,77.149
98369,79.181
98370,79.128
98371,78.856
98372,82.207
98373,82.149
98374,82.187
98375,79.649
98376,80.278
98377,79.505
98378,79.463
98379,81.279
98380,80.715
98381,78.223
98382,79.353
98383,80.199
98384,80.112
98385,77.906
98386,76.784
98387,79.272
98388,81.274
98389,82.431
98390,80.863
98391,81.159
98392,77.967
98393,79.638
98394,75.168
98395,80.22
98396,80.189
98397,79.903
98398,78.194
98399,77.607
98400,77.168
98401,78.886
98402,84.181
