Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o UIUX Score
98371,87.997
98372,87.351
98373,84.295
98374,86.263
98375,87.622
98376,85.171
98377,86.471
98378,86.111
98379,87.603
98380,86.471
98381,84.562
98382,89.412
98383,86.547
98384,84.223
98385,85.023
98386,84.183
98387,88.353
98388,86.357
98389,84.399
98390,85.928
98391,86.031
98392,86.161
98393,85.847
98394,88.327
98395,90.14
98396,85.987
98397,86.267
98398,84.147
98399,85.302
98400,83.348
98401,82.312
98402,87.579
