,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
30845,"# PROFESSIONAL SUMMARY

Dynamic Junior UI/UX Designer with a passion for creating seamless and visually captivating user experiences. Proficient in Figma, Photoshop, and Illustrator with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

# EDUCATION & TRAINING

**UI/UX Design Course** | 6 Months
- Additional coursework in HTML/CSS
- Successfully defended and presented 3 portfolio projects

---

# SKILLS

- **Design Tools:** Figma, Photoshop, Illustrator
- **Technical:** HTML, CSS
- **UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs-to-be-Done, User Flows
- **Deliverables:** Wireframes, Prototypes, Mockups, UI Kits, Responsive/Adaptive Design

---

# PORTFOLIO PROJECTS

**Real Estate Website Redesign** | Destin, Florida
- Redesigned outdated website to create a modern, user-friendly experience aimed at attracting potential customers
- Conducted competitor research and analysis
- Developed 3 user personas and customer journey map based on social media and customer feedback research
- Improved usability by incorporating user-friendly feedback and property valuation features

**Travel Booking Web Service**
- Designed web service enabling users to find and book excursions, tours, tickets, and entertainment worldwide
- Created guide-facing functionality for posting excursion offers
- Conducted market analysis and developed JTD, CJM, and User Flows
- Produced wireframes, UI Kit, and fully adaptive design
- Implemented search functionality with filters, category browsing, multi-platform registration, and integrated payment system

**Restaurant Table Booking Mobile Application**
- Designed mobile application for booking tables in restaurants

---

# OBJECTIVE

Seeking a full-time position in a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

### UI/UX Designer | Financial Institution
- Improved app onboarding process by 35%
- Led a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives
- Applied Agile planning principles to deliver tailored solutions meeting customer requirements
- Developed wireframes, mockups, and prototypes to establish user interface design and architecture

### UI/UX Designer | SaaS Company
- Improved audience management system by 25%, delivering solutions that are both aesthetically pleasing and drive measurable business results"
46443,"# Product Designer

## Summary

Over 10 years of commercial experience in design and development of web solutions, spanning roles from Graphic Designer to Product Designer. Specialized in creating and maintaining Design Systems to simplify and accelerate product development processes.

## Expertise

**Design:** Figma, Sketch, Adobe CC Suite

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Experience & Achievements

- Design and development of large CRM and SaaS projects, mobile and desktop applications
- Creation of comprehensive design systems from design through implementation in React and Storybook
- Managed product creation from concept to release version in 3-4 weeks across multiple projects
- Designed and developed over 50 landing pages and promotional pages
- Created over 10 user dashboards and account interfaces
- Implemented diverse functionalities including analytics dashboards, smart timer systems, and photo editing tools

## Core Competencies

- UI/UX Design
- Branding & Corporate Identity
- Design System Architecture & Maintenance
- Full Product Lifecycle Management

## Seeking

- Meaningful products that create value for users
- Highly engaged, professional teams
- Opportunity to influence product development direction
- Leadership responsibilities for product or product areas"
46506,"# Software Developer

## Professional Experience

**Software Developer** | IT Company

- Developed web pages utilizing JSX, HTML, and CSS within React framework environments
- Implemented dynamic animations using Framer Motion library
- Built user interfaces leveraging MUI component library
- Applied responsive design principles using Bootstrap and Materialize frameworks
- Collaborated on design implementation using Figma and Adobe Photoshop

## Technical Skills

**Languages & Markup:** JavaScript, HTML, CSS, JSX

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop"
50300,"# Professional Summary

Results-driven software developer with proven success delivering complex technical solutions. Led the design and deployment of a groundbreaking customer engagement suite for a major e-commerce business, completed on time and under budget, driving customer acquisition, satisfaction, and retention to generate incremental revenue.

# Technical Skills

- **Frontend Development:** React, Vue, Flutter
- **Backend Development:** Node.js
- **Core Competencies:** API Integration, Custom Plugin Development, Interface Design

# Experience

**Frontend Developer**

- Develop frontend interfaces according to client specifications with emphasis on strong usability and industry-standard user experience
- Debug issues, conduct performance testing, and optimize code
- Collaborate with development teams and contribute independently as needed
- Participate in project planning and strategize information flows between backend databases and user interface components
- Create websites, applications, and custom plugins

# Key Achievement

Designed and deployed a customer engagement suite from the ground up for a major e-commerce client, utilizing innovative technologies and processes. The project received exceptional reviews from users and clients while meeting timeline and budget requirements.

# Professional Development

- Continuously expanding technical skillset through learning new technologies and frameworks
- Deepening understanding of software architecture designs through collaboration with experienced engineers"
51419,"# UI/UX Designer

## Summary

Experienced UI/UX Designer with a strong programming background, offering a unique technical perspective on design challenges. Transitioned from software development to design, combining analytical thinking with creative problem-solving. Proven track record in freelance projects and corporate environments, specializing in complex design solutions.

## Experience

**UI/UX Designer**
IT Company | Out-staff Basis | 1 Year

- Deliver UI/UX development solutions for client projects
- Apply technical programming knowledge to inform design decisions
- Tackle challenging design problems requiring specialized expertise

**Freelance UI/UX Designer**
Self-Employed | Multiple Years

- Completed diverse design projects for various clients
- Managed end-to-end design processes independently
- Built portfolio solving complex design challenges

## Background

- Previous experience in software programming
- Self-directed career transition to design based on professional passion

## Work Preferences

- Full-time position
- Remote work preferred
- Interest in challenging, hard-to-fill roles requiring unique skill combinations"
53971,"# Senior Game UI/UX Designer

## Professional Summary

Seasoned design professional with 8+ years of combined experience in graphic design and game UI/UX. Specialized in creating compelling game interfaces, with a strong foundation in 3D modeling, texturing, and animation. Currently seeking new opportunities exclusively within the game development industry.

## Professional Experience

**Game UI/UX Designer**
Major Game Development Studio | 1.5 Years (Current)
- Design and implement user interfaces for game products
- Apply UI/UX best practices to enhance player experience

**Game UI/UX Designer**
Indie Game Development | 3 Years
- Collaborated with multiple indie teams on diverse projects
- Contributed 3D modeling, texturing, and animation skills
- Specialized in game interface design

**Senior Graphic Designer**
5 Years
- Developed expertise in visual design principles
- Built foundation for transition into game UI/UX specialization

## Core Competencies

- Game Interface Design
- UI/UX Design
- 3D Modeling
- Texturing
- 3D Animation
- Visual Design

## Availability

Open to new opportunities in Game Development"
53972,"**PROFESSIONAL SUMMARY**

Digital designer with 3+ years of experience spanning web design and mobile game development. Skilled in creating visual assets from concept to completion, with expertise in UI layouts, promotional materials, and motion design.

**EXPERIENCE**

**Game Designer | Mobile Games**
*1 Year*

- Designed promotional offers, decorative elements, and banners for mobile games
- Created UI layouts based on artist-provided graphics
- Developed navigation elements and decorative assets independently as projects required

**Digital Designer | Web**
*2+ Years*

- Designed websites, banners, and email campaigns

**SKILLS**

- Photoshop
- Figma
- After Effects
- UI/Layout Design
- Animation
- Asset Creation

**OBJECTIVE**

Seeking long-term opportunities in mobile game development with a GameDev company."
53973,"# Game UI/UX Designer

Hi, I'm a Game UI/UX Designer with UI Art and animation expertise since 2019, building on a foundation in web design since 2015.

I bring comprehensive project lifecycle knowledge and technical understanding of code (HTML, CSS, JavaScript). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Responsibilities

- Develop intuitive UX flows aligned with overall game design
- Create UI screens and UI elements, preparing production-ready assets for programmers
- Communicate UX vision and design concepts to team members, collaborating to implement designs in-game
- Support game development with additional cross-functional skills

## Leadership & Mentorship

- Established and implemented design processes
- Conducted mentoring and staff skill development
- Independently acquired new clients
- Design Instructor at IT Academy, Lviv

## Additional Experience

- Official website updates
- Logo redesign for sites and applications

## About Me

Committed to continuous learning with interest in languages. Active lifestyle including basketball, Brazilian jiu-jitsu, and yoga.

## Ideal Work Environment

A friendly, collaborative team focused on delivering valuable product outcomes, working with flexibility and mutual respect."
53974,"# GAME UI/UX DESIGNER & ARTIST

## Professional Summary

Game UI/UX Designer and Artist at a Ukrainian game company with shipped mobile casual game experience. Skilled in creating UI visuals from concept through final rendering, preparing sprites for Unity development, and collaborating with cross-functional teams including designers, managers, 2D and 3D artists, and programmers.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop user interfaces for casual mobile games from initial concept to final rendering
- Prepare optimized sprites for Unity implementation
- Research game interfaces and functional solutions to develop intuitive, visually compelling, and distinctive designs
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique game mechanics
- Oversee interface layout implementation in game engines
- Maintain current knowledge of UI/UX design trends and techniques
- Collaborate effectively within multidisciplinary teams

**Shipped Title:** Mobile casual game (released)

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Seeking

Challenging and varied projects offering opportunities to apply my skills while contributing to and learning from a strong, collaborative team."
53975,"# UI/UX GAME DESIGNER

**4 years of commercial experience in Design | 2 years of commercial experience in GameDev | 248+ successfully completed projects**

## PROFESSIONAL SUMMARY

UI/UX Game Designer specializing in mobile and PC game development across diverse genres including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games. Dedicated professional who plays shipped titles in spare time and stays current with industry developments.

## CORE COMPETENCIES

- Full-cycle UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, and resource implementation
- Unity3d implementation (independently and with developer collaboration)
- Game testing participation
- Game graphics creation using graphics tablet

## TOOLS

Figma (UI, vector graphics, animation) | Photoshop (raster graphics) | Unity3d | Jira | Confluence | Plastic SCM

## KEY ACHIEVEMENTS

- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Successfully delivered complete design overhaul and mobile platform migration for a PC esports simulator on schedule
- Coordinated simultaneous printing of materials for two exhibitions in different cities
- Developed welcome-box for new employee onboarding

## EDUCATION & TRAINING

- Web Design courses – Graduated with honors; supervised final group project
- English language courses – Completed with honors (2022)"
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid learner with exceptional knowledge acquisition abilities
- Strong team collaboration skills
- Effective teacher and leadership capabilities

## Skills

**UI & Design**
- Game UI Art
- UI Design
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

**Concept Art & Illustration**
- Character Concept Art
- Environment Concept Art
- Character Design
- Illustration

**Additional**
- Fluent English

## Software Proficiency
- Adobe Photoshop
- Blender
- ZBrush
- Substance Painter
- Substance Designer
- Daz Studio"
53977,"# Motion Design Lead

## Professional Experience

**Motion Design & Team Leadership**

Led team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development disciplines.

- Created motion design for worldwide poker and casino products
- Designed UX/UI for poker application
- Developed gaming motion and animations for poker and casino games including slots, betting platforms, and blackjack
- Produced motion graphics for live online events
- Participated in rebranding poker brands
- Built clean and scalable After Effects project architecture
- Improved design and animation export pipeline across multiple projects
- Created, organized, and distributed project style guides, design systems, and asset libraries
- Contributed to creation and organization of gaming design team
- Enhanced design and animation consistency in collaboration with development team through implementation of new workflow technologies
- Improved visual and gaming experience of product
- Designed comprehensive briefs and specifications, guiding design, graphic, motion, sound artists, and developers to final deliverables
- Created design and storyboards for promotional videos

## Professional Objectives

- Apply gaming industry experience while developing expertise alongside leading industry specialists
- Create high-quality products
- Clarify complex tasks and take responsibility for results
- Motivate teams toward creating exceptional products"
53978,"# UI/UX Designer

Skilled UI/UX Designer with proven prototyping expertise dedicated to enhancing user interfaces and game experiences. Consistently delivers projects ahead of schedule while maintaining high client satisfaction.

## Core Competencies

- User Flow Development
- Wireframing & Prototyping
- UI Design & Layout
- 9-Slice Scaling
- Typography Selection
- Figma to Unity Integration

## Experience Highlights

- Designed and built user interfaces from concept to completion
- Implemented features that improved performance and streamlined development processes
- Simplified UI layouts for enhanced user experience
- Imported finished interfaces from Figma directly into Unity
- Developed comprehensive user flows and wireframes

## Platform Experience

PC | Console | Mobile

## Collaboration

Partnered effectively with UI/UX developers, game designers, artists, and programmers to deliver cohesive product experiences."
53979,"**UX/UI Designer** (2020–2022)

**Second Half of Year**
- Developed indie game interface based on self-conducted UX research
- Created low-fidelity and high-fidelity wireframes
- Collaborated closely with developers and game designers
- Designed surveys and exercises for user testing to deepen understanding of gameplay

**First Half of Year**
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built site maps and information architecture
- Translated core user needs into designs that add unexpected value
- Illustrated design ideas using storyboards, process flows, and sitemaps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Addressed negative paths and ensured designs covered complete customer journeys
- Created customer journey maps and guides to support product vision

---

**Visual and Graphic Designer** (2019–2022)

- Created logos, brand identities, banners, posters, and advertisements
- Generated creative concepts and visual styles while monitoring design trends
- Maintained strong attention to detail and organized deliverables
- Presented and defended design concepts to clients
- Collaborated with team members to deliver high-quality products"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist in game development since 2020, combining deep analytical thinking with refined aesthetic sensibility. Skilled in delivering comprehensive graphic solutions across diverse media and platforms.

---

**EXPERIENCE**

Game Insight | 101XP | Playrix | WhaleApp

---

**SKILLS & EXPERTISE**

- Full-cycle graphic design and redesign
- Website and application design with pixel-perfect layouts
- Branding and visual identity development
- Print and production design with adherence to technical specifications
- 2D Animation
- Cross-platform design implementation

---

**WHAT I'M LOOKING FOR**

- Engaging, creative projects
- Strong leadership and qualified management
- Well-organized work environment
- Collaborative, creative workspace"
54796,"# PROFESSIONAL GRAPHIC & UI/UX DESIGNER

**Kharkiv, Ukraine | 10+ Years of Experience**

---

## PROFILE

Seasoned designer with expertise in graphic design and UI/UX, bringing over a decade of professional experience across advertising agencies, marketing firms, and printing houses. Proven track record creating brand identities for leading Ukrainian real estate companies, with work visible across Kyiv, Kharkiv, and cities throughout Ukraine and Europe.

---

## SERVICES

**UI/UX Design**
- Landing pages and website design
- UX research
- Website development (Tilda)

**Brand Identity**
- Logo creation
- Corporate style development
- Social media design

**Print & Advertising**
- Printed materials and layouts
- Outdoor advertising
- Transport branding
- Presentations

---

## EXPERIENCE

- Advertising and marketing agencies
- Printing houses
- Leading Ukrainian real estate companies
- Freelance design services
- European client collaborations

---

## STRENGTHS

- Excellent organizational and planning skills
- Strong team collaboration
- Commitment to user-friendly design
- Dedicated to continuous professional growth in UX/UI design

---

## PORTFOLIO

Logos, brand identities, and outdoor advertising featured throughout Ukraine and Europe — available upon request."
54797,"# PROFESSIONAL SUMMARY

Remote Graphic and UI/UX Designer from Ukraine with 4+ years of experience creating user-centric designs for complex and specialized software products, including SaaS services, web applications, and mobile applications. Proven ability to lead design projects from initial concept through problem-solving to final UI delivery.

---

# PROFESSIONAL EXPERIENCE

## Product Designer | Stress Point Health Ltd
**April 2018 – June 2020**

- Led UX/UI design project from concept through problem-solving to complete UI implementation
- Created a mobile application enabling patients to access treatment for stress, anxiety, and trauma
- Combined multiple metric types and visualized complex data in accessible, user-friendly formats
- Developed wireframes, user journey flows, and prototypes for testing
- Facilitated usability testing sessions with 22 volunteers during first pilot study to identify and resolve usability issues

## UX/UI Designer | ManyRequests
**August 2020 – November 2020**

- Reworked UX and UI of existing product to improve user experience
- Iterated rapidly on design versions based on feedback, user testing, and feature response
- Created on-brand design solutions aligned with measurable business goals and requirements
- Integrated new platform features based on user needs

## UI/UX and Web Designer | Propeller Digital Company
**May 2016 – December 2019**

- Served as sole designer, leading all design decisions across the organization
- Designed all visual assets including websites, print materials, and infographics
- Analyzed briefs to define user experience approach, activities, and workflows
- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets
- Redesigned business presentations, logo, brand identity, and existing websites"
