,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**
Kyiv

**PROFESSIONAL SUMMARY**

Self-taught Digital 2D Artist and UI/UX Designer with a strong portfolio demonstrating advanced technical understanding of current design and technology trends. Committed to continuous professional development with effective time management and communication skills. Proven ability to deliver high-quality work in adaptive design, illustration, and branding. Looking for cooperation and professional growth within a successful team.

**EXPERIENCE**

**Full Stack UI/UX Designer, Illustrator & Graphic Designer**
*April 2021 – Present*
*   Executed comprehensive design projects involving UI/UX, illustration, and graphic design.

**UI/UX Designer & Illustrator**
*November 2019 – August 2021*
*   Focused on user interface and experience design alongside illustration work.

**Freelance Web Designer**
*December 2018 – November 2019*
*   Provided web design services on a freelance basis.

**AWARDS**

**Red Dot Award: Brands & Communication Design**
*August 2022*

**SKILLS & COMPETENCIES**

*   **Design Skills:** UI/UX Design, Adaptive Design, Raster & Vector Illustration, Banner Design, Logo Design.
*   **Soft Skills:** Effective Verbal & Written Communication, Time Management, Self-Management.
*   **Languages:** English (Upper-Intermediate).

**TECHNICAL PROFICIENCY**

*   Adobe Photoshop (including Beta)
*   Adobe Illustrator
*   Figma
*   Procreate App
*   Midjourney"
29835,"**DIGITAL DESIGNER**

**PROFESSIONAL SUMMARY**

Creative and experienced Digital Designer with a strong background in Marketing, Branding, and UI/UX. Advanced proficiency in Figma, Photoshop, Illustrator, and Webflow (including Animation and CMS). Proven history of working as both a freelancer and an in-house manager, collaborating with international clients to deliver visually stunning designs that drive brand growth. Skilled in interfacing directly with customers and working independently or within teams. Seeking a long-term product design role to implement user-focused solutions.

**TECHNICAL SKILLS**

*   **Design Software:** Figma (Advanced), Adobe Photoshop, Adobe Illustrator.
*   **Web Development:** Webflow (Animation, CMS), HTML, CSS.
*   **Design Principles:** UI/UX Design, Color Theory, Composition, Illustration, Digital Imagery.
*   **Marketing & Analytics:** Branding, Advertising, Web Ads, Social Media Ads, E-blasts, Digital Analytics.

**PROFESSIONAL EXPERIENCE**

**Freelance & In-House Design Experience**
*   **International Collaboration:** Cooperated with a team serving more than 5 companies from different countries.
*   **Freelance Design:** Served as a designer for an American company, delivering digital assets tailored to the target market.
*   **Project Execution:** Designed and deployed websites, E-blasts, and digital advertising campaigns.
*   **Client Management:** Interfaced directly with customers to identify needs and collaborate on design strategy.
*   **Marketing Integration:** Applied extensive marketing experience to create designs that assist client engagement and growth.

**EDUCATION & COURSES**

*   **Product Design** | Dare IT
*   **Basic Web Design** | Hillel (IT School)
*   **Figma (Score: 90)** | Cases Media
*   **Graphic Design & Composition (Score: 91)** | Cases Media

**KEY COMPETENCIES**

*   Confidence to work independently and collaboratively in a team environment.
*   Ability to implement knowledge and experience to improve the customer product experience.
*   Passion for developing campaigns that help clients engage their target market."
30606,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Link to Portfolio/LinkedIn]

**PROFESSIONAL SKILLS**

**User Interface (UI) Design**
*   **Figma Expertise:** Proficient in creating design systems and UI kits. Advanced use of Auto Layout, interactive components, and interactive prototypes. Experienced in optimizing workflows using Figma plugins.
*   **Visual Fundamentals:** Strong understanding of composition, typography, and color theory. Application of core design principles and current design trends.

**User Experience (UX) Design**
*   **Research & Strategy:** Experience conducting UX research and competitor research.
*   **Wireframing:** Skilled in sketching and prototyping concepts.

**Collaboration & Tools**
*   **Communication:** Experience working in group settings and delivering project presentations.
*   **Documentation:** Proficient with Google Documents and creating Google Forms.

**EDUCATION & PROJECT EXPERIENCE**

**Beetroot Academy** | Mentorship Projects
*   Executed UX and competitor research to inform design decisions.
*   Created sketches and detailed prototypes for user interfaces.
*   Applied principles of composition, typography, and color to projects.
*   Collaborated effectively within a team environment.
*   Presented projects to mentors and peers."
30845,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Link to Portfolio]

**PROFESSIONAL SUMMARY**

Dynamic Junior UI/UX Designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player, responsible, and quick learner dedicated to continuous learning and adapting design strategies to meet evolving user needs. Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business.

**TECHNICAL SKILLS**

*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator.
*   **UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping (CJM), User Flows, Jobs to be Done (JTD), Wireframing, Prototyping, Mockups.
*   **UI Design:** UI-Kits, Adaptive Design, Interactive Prototyping.
*   **Web Technologies:** HTML, CSS.

**PROJECT EXPERIENCE**

**Real Estate Website Redesign** | *UI/UX Designer*
*   Redesigned an existing website for a real estate company located in Destin, Florida, to address outdated visuals and poor usability.
*   Conducted extensive research, including competitor analysis and a review of customer feedback on social networks to identify successful design solutions.
*   Developed 3 distinct User Personas and a Customer Journey Map to guide the design process.
*   Integrated missing critical information, such as user-friendly feedback forms and property valuation tools.
*   Delivered a modern, convenient design aimed at attracting potential customers.

**Travel & Excursion Web Service** | *UI/UX Designer*
*   Designed a web service enabling users to find and book tours, entrance tickets, and entertainment worldwide, while allowing travel agents to post offers.
*   Executed a full design process including competitor market analysis, Jobs to be Done (JTD) framework, Customer Journey Maps (CJM), and User Flows.
*   Created Wireframes and a comprehensive UI-Kit, resulting in a finalized adaptive design.
*   Designed key features including:
    *   Search functionality with category filters for excursions.
    *   Registration options via Email, Google, or Facebook.
    *   Order placement and card payment systems.
    *   Announcement creation forms for guides.

**Restaurant Booking Mobile Application** | *UI/UX Designer*
*   Designed a mobile application specifically for booking tables in restaurants.
*   Successfully presented and defended the project upon completion.

**EDUCATION**

**UI/UX Design Course** (6-Month Program)
*   Completed comprehensive training in UI/UX design principles.
*   Successfully defended and presented 3 major projects.
*   Additional coursework in HTML and CSS."
32072,"**Current Role: UI/UX Designer**

*   Improved the onboarding process of a financial institution application by 35%.
*   Led a team of 4 designers to create functional, visually appealing products that resonate with users and meet business objectives.
*   Utilized Agile planning principles to deliver tailored solutions that meet customer requirements.
*   Established user interface design and architecture through the use of wireframes, mockups, and prototypes.

**Previous Role**

*   Improved the audience management system of a SaaS tool by 25%, designing solutions that were aesthetically pleasing and drove business results."
46443,"**Product Designer & Developer**

**Professional Summary**
Product Designer with over 10 years of commercial experience in the design and development of web solutions. Proven track record of evolving from Graphic Designer to Product Designer, specializing in large CRM and SaaS projects, as well as mobile and desktop applications. Expert in bridging the gap between design and code, with a primary focus on creating and maintaining comprehensive Design Systems to simplify and accelerate product development cycles.

**Technical Skills**
*   **Design Tools:** Figma, Sketch, Adobe CC Suite.
*   **Development:** HTML, CSS, JavaScript, React, Next.js, Storybook, WordPress.
*   **Core Competencies:** UI/UX Design, Branding, Corporate Style, Design System Architecture, Rapid Prototyping.

**Key Achievements & Experience**
*   **Design Systems:** Spearheaded the creation of large-scale design systems, managing the entire lifecycle from initial design concepts to technical implementation in React and Storybook.
*   **Rapid Product Delivery:** Successfully managed the end-to-end creation of products from scratch without prior specifications, achieving release versions within 3-4 weeks on multiple occasions.
*   **Web Development:** Designed and developed over 50 landing and promo pages, and deployed more than 10 user cabinets.
*   **Feature Implementation:** Engineered a wide range of functionalities, from modern dashboards to complex, specific tools such as smart timer systems and photo editors.

**Career Objectives**
Seeking a challenging role within a bold, high-engagement team that prioritizes quality and professional growth. Aiming to leverage expertise in UI/UX and Design Systems to influence product development, improve user experience, and assume leadership responsibilities for products or key modules. Interested in working on useful products where I can contribute to branding, corporate style, and the architectural integrity of the design system."
46506,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location]

**PROFESSIONAL SUMMARY**

Software Developer with experience in a small IT company environment, specializing in frontend development. Proficient in building projects using JavaScript and the React framework. Skilled in creating dynamic web pages using JSX, HTML, and CSS, with a strong focus on UI/UX implementation using animation libraries and component frameworks. Experienced in utilizing design tools to support development processes.

**TECHNICAL SKILLS**

*   **Languages & Core Technologies:** JavaScript, React, JSX, HTML, CSS
*   **Libraries & Frameworks:** Framer Motion, MUI (Material UI), Bootstrap, Materialize
*   **Design & Tools:** Figma, Adobe Photoshop

**PROFESSIONAL EXPERIENCE**

**Software Developer**
*Small IT Company* | [Dates of Employment]

*   Developed software projects utilizing JavaScript technologies and the React framework.
*   Constructed web pages and user interfaces using JSX, HTML, and CSS.
*   Implemented complex animations and transitions within web applications using Framer Motion.
*   Built and styled UI components leveraging MUI, Bootstrap, and Materialize libraries.
*   Utilized Figma and Adobe Photoshop to support the design and layout process of web development projects."
50300,"**PROFESSIONAL SUMMARY**

Dedicated Software Developer with a strong focus on frontend interface development and backend integration. Committed to delivering high-quality user experiences and adhering to industry standards for usability. Passionate about continuous learning, staying up-to-date with emerging technologies, and deepening understanding of software architecture designs. Proven ability to work independently or collaboratively within engineering teams to deliver reliable technical solutions.

**TECHNICAL SKILLS**

*   **Frontend Frameworks:** React, Vue, Flutter
*   **Backend Development:** Node.js
*   **Core Competencies:** API Integration, Custom Plugin Development, UI/UX Implementation, Performance Optimization, Debugging, Software Architecture.

**PROFESSIONAL EXPERIENCE**

**Software Developer**

*   Develop frontend interfaces according to client specifications, ensuring strong system usability and top-notch user experience based on industry standards.
*   Create websites and applications utilizing Node.js for backend development; build interfaces and integrate APIs using React, Vue, and Flutter.
*   Engage in project planning and strategize information flows between backend databases and user interface components.
*   Debug issues, conduct performance checks on applications, and optimize code to ensure efficiency.
*   Collaborate effectively with developer teams and execute tasks independently as required.

**Key Project: E-Commerce Customer Engagement Suite**

*   Designed and deployed a groundbreaking customer engagement suite from the ground up for a major e-commerce business.
*   Utilized innovative technologies and processes to maximize customer acquisition, satisfaction, and retention, resulting in driven incremental revenue.
*   Completed the project on time and under budget, securing positive reviews from both users and clients for technical execution and project management."
51419,"**SUMMARY**

UI/UX professional with a background in programming, combining technical knowledge with design expertise. Experienced in both freelance projects and out-staff corporate environments. Seeking a full-time, remote position dedicated to solving complex and challenging problems.

**PROFESSIONAL EXPERIENCE**

**UI/UX Developer (Out-staff)**
*IT Company* | 1 Year – Present
*   Responsible for UI/UX development tasks within an IT company environment.

**Freelance Designer**
*Self-Employed* | Previous Years
*   Transitioned from programming to design focus.
*   Executed various design assignments on a freelance basis.

**SKILLS**

*   UI/UX Development
*   Design
*   Programming"
53971,"[Name]
[Location] | [Phone Number] | [Email Address]
[Portfolio Link / LinkedIn Profile]

**PROFESSIONAL SUMMARY**

Experienced Game UI/UX Designer with a strong foundation in visual arts, comprised of 3 years in Game Development and 5 years as a Senior Graphic Designer. Specialized in creating game interfaces by leveraging extensive graphic design expertise. Experienced in both large-scale game development environments and indie team collaborations, with technical proficiency in 3D modeling, texturing, and animation. Seeking new opportunities exclusively within the Game Development industry.

**WORK EXPERIENCE**

**Game UI Designer** | Major Game Development Company
*Current | Duration: 1.5 Years*

*   Serve as a Game UI Designer for a prominent game development company.
*   Responsible for designing and implementing user interfaces for game projects.

**Game UI/UX Designer & 3D Artist** | Various Indie Teams
*2019 – [Date]*

*   Collaborated with multiple indie teams on game development projects.
*   Specialized in Game Interface design, utilizing prior Senior Graphic Design experience to enhance UI quality.
*   Contributed to game asset creation, including 3D modeling, texturing, and 3D animation.

**Senior Graphic Designer** | [Previous Company Name]
*Duration: 5 Years*

*   Worked as a Senior Graphic Designer, building the visual design skills later applied to Game UI/UX.

**SKILLS**

*   **Design:** Game UI/UX Design, Game Interface Design, Graphic Design.
*   **3D & Art:** 3D Modeling, Texturing, 3D Animation."
53972,"**PROFESSIONAL SUMMARY**

Dedicated Designer and 2D Artist with over 3 years of experience in visual design and 1 year of specialized experience in the mobile gaming industry. Proficient in Adobe Photoshop, Figma, and After Effects. Skilled in creating layouts, UI elements, and game assets. Seeking a long-term opportunity with a GameDev company to contribute to mobile game development and professional growth.

**TECHNICAL SKILLS**

*   **Design Tools:** Adobe Photoshop, Figma
*   **Animation:** Adobe After Effects, Figma
*   **Key Competencies:** Game UI/UX, 2D Asset Creation, Layout Design, Web Design, Animation

**PROFESSIONAL EXPERIENCE**

**Game Development Artist / UI Designer** | *1 Year*

*   Designed promotional offers, decorative elements, and banners specifically for mobile games.
*   Created game layouts integrating graphics provided by artists.
*   Designed original navigation elements, user interfaces, and environmental decor based on specific project requirements.
*   Produced animations for game interfaces using After Effects and Figma.

**Web & Graphic Designer** | *2+ Years*

*   Designed visual concepts and layouts for websites.
*   Created digital assets including web banners and email marketing templates.
*   Managed visual consistency across various digital media formats."
