,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
29788,"**PROFESSIONAL SUMMARY**

Digital 2D Artist & UI/UX Designer based in Kyiv with advanced proficiency in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate. Red Dot Award recipient with comprehensive expertise spanning UI/UX design, illustration, and graphic design. Combines strong technical acumen with current design and technology trends, backed by effective communication and project management capabilities.

**EXPERIENCE**

**UI/UX Designer | Illustrator | Graphic Designer**
April 2021 - Present

**UI/UX Designer | Illustrator**
November 2019 - August 2021

**Freelance Web Designer**
December 2018 - November 2019

**AWARDS**

Red Dot Award – Brands & Communication Design | August 2022

**SKILLS**

- UI/UX Design
- Adaptive & Responsive Design
- Raster & Vector Illustration
- Banner Design
- Logo Design
- Verbal & Written Communication
- Time & Self-Management

**TOOLS**

- Figma
- Adobe Photoshop
- Adobe Illustrator
- Procreate
- Midjourney

**LANGUAGE**

English – Upper-Intermediate"
29835,"# Digital Designer

## Professional Summary
Digital designer specializing in marketing-driven visual design that helps brands grow. Proven track record as both freelance designer and in-house manager, collaborating with cross-functional teams across international companies. Advanced proficiency in Figma, Photoshop, Illustrator, and Webflow.

## Skills

**Design**
- UI/UX Design
- Branding & Advertising
- Illustration
- Color Theory & Composition
- Digital Imagery

**Digital Marketing**
- Web & Social Media Advertising
- E-blast Campaigns
- Digital Analytics

**Technical**
- Figma (Advanced)
- Photoshop (Advanced)
- Illustrator (Advanced)
- Webflow (Animation, CMS)
- HTML/CSS

## Professional Experience

**Freelance Designer**
- Designed websites and e-blast campaigns for American company
- Collaborated directly with clients to develop engaging visual solutions
- Delivered end-to-end design work independently

**In-House Manager**
- Managed design projects from concept to completion
- Led collaboration with cross-functional teams
- Partnered with 5+ companies across multiple countries

## Education & Training

**Product Design** — DARE IT

**Basic Web Design** — HILLEL IT School

**Figma** — CASES MEDIA (Score: 90)

**Graphic Design: Composition** — CASES MEDIA (Score: 91)

## Career Objectives
Seeking long-term partnership in a product-focused environment where design expertise can enhance customer experience and drive business results."
30606,"# Professional Summary

UX/UI Designer with hands-on experience in design systems, prototyping, and user research through Beetroot Academy mentorship projects. Skilled at delivering comprehensive design solutions from initial research through final presentation.

## Skills

**Design Tools & Systems**
- Figma (UI kit development, Auto Layout, interactive components, prototypes, plugins)
- Design system creation and implementation
- Sketching and prototyping

**UX & Research**
- UX research methodologies
- Competitor research and analysis
- User-centered design approach

**Design Principles**
- Composition, typography, and color theory
- Current design principles and trends
- Design system standards

**Collaboration & Documentation**
- Cross-functional team collaboration
- Project presentation and stakeholder communication
- Documentation (Google Documents, Google Forms)

## Experience

**UX/UI Designer — Beetroot Academy Mentorship Projects**

- Conducted UX research and competitor analysis to inform design decisions
- Developed sketches and interactive prototypes to visualize project solutions
- Applied composition, typography, and color principles to create cohesive designs
- Collaborated with team members on group design projects
- Presented project outcomes and articulated design rationale to stakeholders
- Created project documentation using Google Documents and Forms"
30845,"# UI/UX DESIGNER

**PROFESSIONAL SUMMARY**

Junior UI/UX designer with expertise in creating seamless, visually engaging user experiences. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator, with a strong foundation in user-centered design methodologies. Experienced in producing interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative team player committed to continuous learning and evolving design strategies to meet user needs.

---

**TECHNICAL SKILLS**

**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator  
**Web Technologies:** HTML, CSS  
**UX Methods:** User Research, Persona Development, Customer Journey Mapping, Jobs-to-be-Done Framework, User Flows, Wireframing, Prototyping  
**UI Development:** UI Kits, Responsive Design, Adaptive Design

---

**PROJECTS**

**Travel Booking Web Service**  
Developed comprehensive web platform enabling users to discover and book excursions, tours, entrance tickets, and entertainment worldwide, while allowing guides and travel companies to post offerings.

- Analyzed competitive market landscape to inform design strategy
- Created Jobs-to-be-Done framework and customer journey map
- Designed user flows, wireframes, and complete UI kit
- Delivered responsive, adaptive design across devices
- Implemented search functionality with customizable filters and category-based browsing
- Designed user registration system supporting email, Google, and Facebook authentication
- Built integrated booking system with card payment capability and excursion listing forms

**Real Estate Website Redesign**  
Redesigned website for a real estate company in Destin, Florida to modernize the interface and improve user experience.

- Conducted competitor research and analysis to identify successful design solutions
- Analyzed social media and customer feedback to inform design decisions
- Developed 3 user personas and customer journey map
- Created streamlined feedback functionality and property valuation features
- Improved photo quality and overall site usability

**Mobile Application for Restaurant Table Booking**  
Designed mobile application streamlining restaurant table reservation process.

---

**EDUCATION & TRAINING**

**UI/UX Design Course** | 6-Month Program  
Additional studies in HTML/CSS

---

**CAREER OBJECTIVE**

Seeking full-time UI/UX Designer position in a product company focused on creating digital products for everyday life and business."
32072,"**UI/UX Designer**

**Current Role**

• Led a team of 4 designers in creating visually appealing, functional products that resonate with users and meet business objectives

• Improved financial institution app onboarding process by 35%

• Developed wireframes, mockups, and prototypes to establish user interface design and architecture

• Applied Agile planning principles to deliver tailored solutions aligned with customer requirements

**Previous Role**

• Improved SaaS audience management system by 25%, delivering aesthetically pleasing solutions that drive business results"
46443,"# PRODUCT DESIGNER

Design professional with over 10 years of commercial experience in web solution design and development.

## EXPERTISE

Design of large-scale CRM and SaaS projects, mobile and desktop applications. Specialized in creating and maintaining Design Systems that simplify and accelerate product development processes.

## KEY ACHIEVEMENTS

- Built comprehensive design systems from concept through implementation in React and Storybook
- Led product creation from initial concept to release version within 3-4 weeks
- Designed and developed over 50 landing pages and promotional pages
- Designed more than 10 user dashboards and account interfaces
- Implemented complex functionalities including analytics dashboards, smart timer systems, and photo editors

## CAREER PROGRESSION

Advanced from Graphic Designer to Product Designer

## TECHNICAL SKILLS

**Design:** Figma, Sketch, Adobe Creative Cloud

**Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## SEEKING

A team committed to meaningful impact, with high standards for quality and a focus on improving user experience.

## IDEAL OPPORTUNITY

- Products that deliver genuine value to users
- Highly engaged, professional team environment
- Influence over product development and direction
- Ownership of product areas or initiatives

## VALUE PROPOSITION

Comprehensive capabilities spanning UI/UX, branding, corporate identity, and design system creation and maintenance."
46506,"**PROFESSIONAL EXPERIENCE**

**Software Developer**
Small IT Company

- Developed web applications utilizing JavaScript and React framework
- Created responsive web pages using JSX, HTML, and CSS
- Implemented animations with Framer Motion to enhance user experience
- Integrated Material-UI components for consistent, polished interfaces
- Built layouts using Bootstrap and Materialize frameworks
- Collaborated on design elements using Figma and Adobe Photoshop

**TECHNICAL SKILLS**

**Languages & Frameworks:** JavaScript, React, JSX, HTML, CSS

**Libraries & Tools:** Framer Motion, Material-UI, Bootstrap, Materialize

**Design Software:** Figma, Adobe Photoshop"
50300,"# PROFESSIONAL SUMMARY

Results-driven software developer with proven expertise in frontend development and full-stack technologies. Designed and deployed a groundbreaking customer engagement suite for a major e-commerce business, delivering on time and under budget to exceptional user and client reviews. Skilled in creating solutions that maximize customer acquisition, satisfaction, and retention to drive revenue growth.

# TECHNICAL SKILLS

**Frontend Development:** React, Vue, Flutter  
**Backend Development:** Node.js  
**Core Competencies:** Interface design, API integration, custom plugin development, website and application development, code optimization, performance analysis, debugging

# PROFESSIONAL EXPERIENCE

**Frontend Developer**

- Design and develop frontend interfaces to client specifications, prioritizing system usability
- Create seamless user experiences aligned with industry standards
- Debug issues, conduct performance analysis, and optimize code for efficiency
- Architect information flows between backend databases and user interface components
- Collaborate with development teams while managing independent workstreams
- Build interfaces, integrate APIs, and develop custom plugins using React, Vue, and Flutter
- Develop websites and applications leveraging Node.js for backend functionality

# KEY ACHIEVEMENTS

- Designed and deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up
- Leveraged innovative technologies and processes to maximize customer acquisition, satisfaction, and retention
- Delivered project on time and under budget
- Earned exceptional reviews from users and clients

# PROFESSIONAL DEVELOPMENT

- Continuously expanding technical knowledge of emerging technologies and frameworks
- Advancing understanding of software architecture through collaboration with experienced engineers
- Committed to ongoing professional growth in the software industry"
51419,"# UI/UX Designer

## Professional Summary
UI/UX designer with a programming background, bringing technical expertise to user-centered design solutions. Currently delivering UI/UX development on an out-staff basis for an IT company. Transitioned from programming to design, combining both disciplines to bridge the gap between creative vision and technical implementation. Seeking full-time remote opportunities with challenging, complex problems.

## Experience

**UI/UX Designer**  
IT Company (Out-staff basis)  
*1 year*
- Deliver UI/UX development and design implementation for client projects
- Leverage programming background to collaborate effectively with development teams
- Bridge communication between design vision and technical execution

**Freelance Designer**  
*Several years*
- Completed diverse design projects as an independent contractor
- Managed full project lifecycle from client consultation through delivery

## Skills
- UI/UX Design
- UI/UX Development
- Programming
- Problem-Solving for Complex Design Challenges
- Cross-Functional Team Collaboration

## Work Preferences
- Full-time remote position
- Complex problems requiring unique technical and design expertise"
53971,"# PROFESSIONAL SUMMARY

Game UI/UX Designer with 3 years of specialized experience complemented by 5 years as a Senior Graphic Designer. Currently contributing to a major game development company, applying comprehensive visual design expertise to game interface development. Proficient in 3D modeling, texturing, and 3D animation through extensive indie game development experience since 2019.

---

# PROFESSIONAL EXPERIENCE

**Game UI/UX Designer**
Large Game Development Company | 1.5 years | Present

**Game UI/UX Designer**
Various Indie Teams | Since 2019
- Designed and implemented game interfaces
- Created 3D models and textures
- Developed 3D animations

**Senior Graphic Designer**
5 years

---

# CORE COMPETENCIES

Game UI/UX Design | Graphic Design | 3D Modeling | Texturing | 3D Animation | Game Interface Development

---

# CAREER FOCUS

Seeking opportunities exclusively within game development."
53972,"**GRAPHIC DESIGNER**

**PROFESSIONAL EXPERIENCE**

**Graphic Designer | GameDev Industry**
1 year

- Designed promotional offers, decorations, and banners optimized for mobile gaming platforms
- Created engaging visual assets that enhanced player experience across mobile game titles

**Graphic Designer | Digital Marketing**
2+ years

- Designed and delivered websites, promotional banners, and email campaigns across multiple digital channels
- Developed cohesive visual content strategies for diverse client needs

**SKILLS & EXPERTISE**

**Design Tools:**
Adobe Photoshop | Figma | Adobe After Effects

**Core Competencies:**
- Layout design and implementation
- UI navigation elements and decorative graphics
- Animation creation
- Original asset creation and adaptation from artist-provided graphics

**CAREER OBJECTIVES**

Seeking long-term partnership with a GameDev company, with particular focus on mobile game development. Committed to professional growth and contributing to innovative, player-centered projects."
53973,"# Game UI/UX Designer

## Professional Summary

Game UI/UX Designer with expertise in UI art and animation since 2019, building on a foundation in web design established in 2015. Skilled across the full project lifecycle with working knowledge of HTML, CSS, and JavaScript. Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Professional Experience

**Key Achievements**
- Established and implemented design processes to streamline project workflows
- Developed and led mentoring programs for staff skill development
- Independently acquired and managed client relationships
- Contributed to official website updates and logo redesigns for sites and applications

**Core Responsibilities**
- Develop intuitive UX flows aligned with overall game design vision
- Design UI screens and elements while preparing production-ready assets for programmers
- Communicate UX vision and design rationale to team members
- Collaborate with cross-functional teams to implement designs in-game
- Support game development by contributing additional skills as needed

## Technical Skills

**Design Tools:** Figma, Adobe Photoshop
**Game Engines:** Unreal Engine 4, Unity
**Development:** HTML, CSS, JavaScript

## Teaching Experience

Design Instructor, IT Academy, Lviv

## Personal Interests

Committed to continuous learning and professional development, including language study. Maintains an active lifestyle through basketball, Brazilian jiu-jitsu, and yoga.

## Work Style

Thrive in collaborative team environments focused on delivering meaningful product results, with flexible approaches that value each team member's contributions."
53974,"# UI/UX Designer & Artist

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and create UI visuals for casual mobile games from concept to final render
- Develop visually distinctive, user-friendly interfaces including logos, icons, buttons, pop-ups, and custom mechanics
- Prepare production-ready sprites for Unity implementation
- Monitor interface integration within game engines to ensure design fidelity
- Research competitive game interfaces and functional solutions to inform design strategy
- Collaborate with cross-functional teams spanning design, production, 2D/3D art, and development
- Contributed to successful launch of released mobile casual game
- Maintain expertise in current UI/UX design trends and techniques

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Professional Objectives

Seeking opportunities to contribute to diverse, engaging projects within a collaborative team environment focused on mutual professional growth and knowledge exchange."
53975,"**UI/UX Game Designer**

4 Years Commercial Design Experience | 2 Years Commercial GameDev Experience

**Professional Summary**

UI/UX game designer with expertise across multiple game genres including mobile shooters, educational games for children, tactical MOBAs, and multiplayer casual games. Skilled in managing the complete UI/UX creation cycle from information architecture and player flows through prototyping and resource implementation in Unity3D.

**Experience & Achievements**

- Completed 248+ projects across diverse game genres
- Led full UI development for an educational mobile game achieving over 100,000 downloads
- Contributed to AAA PC MOBA development
- Redesigned and migrated a PC esports simulator to mobile platform, delivering on schedule
- Coordinated simultaneous print material production for two exhibitions across different cities
- Designed employee welcome-box initiative

**Core Competencies**

- Information Architecture
- Player Flows & UI Research
- Wireframing & Prototyping
- Visual Style Development
- Unity3D Resource Implementation
- Game Testing & QA Participation
- Digital Illustration (Graphics Tablet)

**Technical Skills**

Figma (UI, Vector Graphics, Animation) | Photoshop | Unity3D | Jira | Confluence | Plastic SCM

**Education & Training**

- Web Design Certification (Graduated with Honors; Supervised Final Group Project)
- English Language Certification (2022, Honors)

**Professional Approach**

Dedicated to staying current with industry developments through regular engagement with shipped titles. Seeking opportunities to contribute to innovative projects within collaborative team environments."
53976,"# PROFESSIONAL SUMMARY

Versatile artist and designer with expertise in game UI, character design, and concept art. Demonstrated leadership capabilities combined with strong collaborative skills and a proven ability to quickly master new techniques and tools.

# SKILLS

**Art & Design**
- Game UI Art & Design
- Character Design & Concept Art
- Environment Concept Art
- Creative Illustration

**3D & Technical**
- 3D Modeling & Sculpting
- Texturing

**Language**
- English (Fluent)

# SOFTWARE

- Adobe Photoshop
- Blender
- ZBrush
- Daz Studio
- Substance Painter
- Substance Designer"
53977,"# PROFESSIONAL SUMMARY

Results-driven motion design leader with proven expertise in worldwide poker and casino products. Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development. Streamlined design and animation export pipeline across multiple projects.

# EXPERIENCE

- Led rebranding initiatives for poker brands
- Designed UX/UI for poker application
- Developed and maintained project style guides, design systems, and asset libraries
- Produced gaming motion and animations for poker and casino games including Slots, Betting, and BlackJack
- Architected clean and scalable After Effects project structures
- Delivered motion graphics for live online events
- Established and organized gaming design team
- Optimized design-to-development workflow by aligning animations with application requirements and implementing new technologies
- Elevated visual and gaming experience across products
- Authored comprehensive briefs and specifications while guiding design, graphic, motion, sound artists, and developers through project completion
- Developed design concepts and storyboards for promotional videos

# STRENGTHS

- Committed to delivering highest quality products
- Skilled at breaking down complex tasks and taking ownership of outcomes
- Proven ability to motivate teams and inspire excellence
- Deep expertise in the gaming industry"
53978,"# UI/UX Designer

Results-driven UI/UX Designer with proven prototyping expertise focused on enhancing user interfaces and game experiences. Track record of implementing features that improve performance, accelerate development processes, and simplify UI layouts while consistently delivering projects ahead of schedule with high customer satisfaction.

## Core Competencies

User Flow Development • Wireframing • Interactive Prototyping • 9-Slice Scaling • Cross-Platform Design (PC, Console, Mobile) • Figma to Unity Integration • UI Systems Development • Typography Selection • Performance Optimization

## Professional Experience

**UI/UX Designer**

• Designed and built complete UI systems from concept to implementation, ensuring cohesive visual design and functionality across projects

• Developed comprehensive user flows and wireframes to guide design decisions and align stakeholder expectations

• Prototyped interactive interfaces to validate design concepts and user interactions before development

• Streamlined production workflow by integrating finished interfaces directly from Figma into Unity

• Implemented 9-Slice Scaling techniques to optimize asset performance and maintain visual consistency at varying resolutions

• Designed responsive interfaces for multi-platform environments including PC, consoles, and mobile devices

• Selected and curated typography to enhance readability and reinforce brand consistency

• Collaborated with cross-functional teams including UI/UX developers, game designers, artists, and programmers to deliver integrated solutions"
53979,"# UX/UI Designer (2020–2022)

- Developed indie game interface informed by self-conducted UX research
- Created low-fidelity and high-fidelity wireframes, progressing concepts to interactive visual designs and prototypes
- Designed and conducted user testing surveys and exercises
- Built site maps, information architecture, and customer journey maps to support product vision
- Illustrated design ideas using storyboards and process flows
- Developed adaptive and responsive wireframes for web-based applications
- Ensured designs addressed full customer loops, including negative paths
- Collaborated with developers and game designers to implement user-centered solutions

---

# Visual and Graphic Designer (2019–2022)

- Created logos, brand identities, banners, posters, and advertisements
- Generated style concepts while monitoring current design trends
- Presented and defended design ideas to clients
- Collaborated with team members to implement design solutions
- Delivered work with strong attention to detail"
