,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
29788,"**[Your Name]**
[Your Contact Information]

**Summary**

Self-taught Digital 2D Artist & UI/UX Designer based in Kyiv. Possessing a strong portfolio showcasing advanced knowledge and experience in design and related tools. Seeking a collaborative role within a successful company to contribute and further develop skills.

**Skills**

*   UI/UX Design / Adaptive Design
*   Illustration (Raster/Vector)
*   Banner Design
*   Logo Design
*   Upper-Intermediate English
*   Effective Verbal and Written Communication
*   Time and Self-Management

**Tools**

*   Adobe Photoshop
*   Adobe Illustrator
*   Procreate App
*   Figma
*   Midjourney

**Experience**

*   Freelance Web Designer (December 2018 – November 2019)
*   UI/UX Designer / Illustrator (November 2019 – August 2021)
*   Full Stack: UI/UX Designer / Illustrator / Graphic Designer (April 2021 – Present)

**Awards**

*   RED DOT / Brands & Communication Design (August 2022)

**Additional Information**

*   Understanding of Current Design and Technology Trends
*   Strong Technical Understanding of Subject
"
29835,"**[Your Name]**
[Your Contact Information]

**Summary**

Digital Designer with experience in marketing and a passion for creating visually compelling designs. Skilled in Photoshop, Illustrator, and Figma, with experience in Webflow. Proven ability to work independently and collaboratively.

**Skills**

*   Color Sense, Color Theory, Composition
*   Branding, Advertising, Illustration
*   Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-blast
*   UI/UX Design
*   HTML/CSS
*   WEBFLOW

**Experience**

*   Freelance Designer
*   In-House Manager
*   Experience working with multiple companies from various countries.
*   Experience as a freelancer designer for an American company.

**Education**

*   Dare IT - Product Design
*   HILLEL (IT School) - Basic Web Design
*   CASES MEDIA - Figma (90)
*   CASES MEDIA - Graphic Design. Composition (91)

**Soft Skills**

*   Confidence to work independently and in a team
*   Creative
*   Interface directly with customers

**Goals**

Seeking a long-term partnership with opportunities for growth. Interested in contributing to a product that enhances the customer experience.
"
30606,"**Jane Doe**
*   *email@example.com* | *Phone Number* | *LinkedIn Profile URL (Optional)*

**Skills**

*   Figma (UI Kits, Auto Layout, Interactive Components, Prototyping, Plugins)
*   UX Research
*   Competitive Analysis
*   Sketching & Prototyping
*   Design Principles (Composition, Typography, Color)
*   Design Trends
*   Google Workspace (Documents, Forms)
*   Group Collaboration
*   Presentation Skills

**Experience**

*   **Design System Creation & UI Kit Development** | *Figma*
    *   Developed and maintained UI kits.
    *   Utilized Auto Layout for responsive designs.
    *   Built interactive components and prototypes.
    *   Leveraged Figma plugins to enhance workflow.

*   **UX Project Participation** | *Beetroot Academy Mentorship*
    *   Conducted UX research.
    *   Performed competitor analysis.
    *   Created sketches and prototypes.
    *   Applied principles of composition, typography, and color.
    *   Demonstrated understanding of design principles and trends.
    *   Collaborated effectively in group settings.
    *   Presented project findings.

*   **Google Workspace Proficiency**
    *   Created and managed documents and forms within Google Workspace.
"
30845,"**[Your Name]**
[Your Phone Number] | [Your Email Address] | [Your Portfolio URL (if applicable)]

**Summary**

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**Skills**

*   UI/UX Design
*   Figma
*   Photoshop
*   Illustrator
*   HTML/CSS
*   Prototyping
*   Wireframing
*   Mockups
*   User-centered Design
*   Design Principles

**Projects**

*   **Website Redesign for a Real Estate Company**
    *   Redesigned a website for a real estate company in Destin, Florida.
    *   Addressed an outdated and user-unfriendly existing design with poor-quality photos and missing customer information.
    *   Conducted competitor research and analysis.
    *   Developed user personas and a customer journey map.
*   **Travel Website**
    *   Created a web service to help users find and book excursions, tours, entrance tickets, and entertainment worldwide.
    *   Designed features for users to search and filter excursions by category.
    *   Included user registration options (email, Google, Facebook).
    *   Implemented card payment for excursion orders.
    *   Designed a form for guides to create excursion listings.
    *   Performed competitor market analysis.
    *   Developed a customer journey map and user flow.
    *   Created wireframes, a UI kit, and an adaptive design.
*   **Mobile Application for Booking Tables in Restaurants**
    *   [No further details provided, as none were in the original resume]

**Education**

*   UI/UX Design Course (6 months)
*   HTML/CSS Studies

**Additional Information**

*   Quick learner
*   Responsible
*   Ready to perform complex tasks.
"
32072,"**UI/UX Designer**

*   Improved the onboarding process of a financial institution app by 35%.
*   Led a team of 4 designers in the creation of visually appealing and functional products, aligning with user needs and business goals.
*   Utilized Agile planning principles to deliver tailored solutions, meeting customer requirements.
*   Employed wireframes, mockups, and prototypes to establish user interface design and architecture.
*   Improved the audience management system of a SaaS tool by 25%, demonstrating the ability to design solutions that drive business results.
"
46443,"**[Your Name]**

**Summary**

Over 10 years of commercial experience in the design and development of web solutions.

**Experience**

*   Designed and developed large CRM and SaaS projects, mobile and desktop applications.
*   Focused on the creation and maintenance of Design Systems to simplify and accelerate product development.
*   Created large design systems from design to implementation in React and Storybook.
*   Held positions ranging from Graphic Designer to Product Designer.
*   Managed the creation of products from initial concept to release within 3-4 weeks on multiple occasions.
*   Designed and developed over 50 landing pages and promo pages, and over 10 user cabinets.
*   Implemented various functionalities, including dashboards, smart timers, and photo editors.

**Skills**

*   Figma, Sketch, Adobe CC suite, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook.

**Desired Opportunities**

Seeking a company or development team focused on improving user experience, with a focus on high-quality results. Seeking opportunities to contribute to UI/UX, branding, corporate style, and design system creation/maintenance. Interested in opportunities that offer:

*   High team engagement and professionalism.
*   Influence on product development and proper management.
*   Opportunities to lead a product or part of it.
"
46506,"**[Your Name]**
**[Your Contact Information]**

**Summary**

Software developer with experience in a small IT company. Proficient in JavaScript, React, JSX, HTML, and CSS. Skilled in creating web pages and implementing animations. Familiar with design tools.

**Skills**

*   JavaScript
*   React
*   JSX
*   HTML
*   CSS
*   Framer Motion
*   Mui components
*   Bootstrap
*   Materialize
*   Figma
*   Adobe Photoshop

**Experience**

**Software Developer** | *Small IT Company*

*   Developed web pages using JavaScript technologies and the React framework.
*   Utilized JSX, HTML, and CSS for web page creation.
*   Implemented animations using Framer Motion.
*   Leveraged Mui components for user interface elements.
*   Worked with Bootstrap and Materialize.
*   Used Figma and Adobe Photoshop.
"
50300,"**Summary**

Driven frontend developer with experience in designing and implementing customer-centric solutions. Proven ability to deliver projects on time and within budget, resulting in positive user and client feedback. Expertise in creating interfaces, integrating APIs, and developing custom plugins using React, Vue, and Flutter. Proficient in backend development with Node.js.

**Experience**

*   Developed frontend interfaces according to client specifications, ensuring strong system usability.
*   Focused on optimizing application user experience to meet industry standards.
*   Collaborated effectively within a team of developers and worked independently to debug issues and optimize code.
*   Involved in project planning and strategizing information flows between backend databases and user interface components.

**Projects**

*   Designed and deployed a customer engagement suite for a major e-commerce business, utilizing innovative technologies and processes to maximize customer acquisition, satisfaction, and retention, driving incremental revenue. The project was completed on time, under budget, and received rave reviews.
*   Created various interfaces, integrated APIs, and developed custom plugins using React, Vue, and Flutter.
*   Developed websites and applications using Node.js for backend development.

**Skills**

*   React
*   Vue
*   Flutter
*   Node.js
*   API Integration
*   Frontend Development
*   User Interface Design
*   Project Planning
*   Problem Solving
*   Debugging
*   Code Optimization
"
51419,"**[Your Name]**
[Your Contact Information]

**Summary**

Driven UI/UX Developer with experience in design and a recent transition from programming. Seeking a full-time, preferably remote, position where I can leverage my skills to solve challenging problems.

**Experience**

*   **UI/UX Developer** | [IT Company Name] | [Dates of Employment]
    *   Developed UI/UX solutions on an out-staff basis.
*   **Freelance Designer** | [Dates of Freelance Work]
    *   Completed various design projects.

**Skills**

*   UI/UX Development
*   Design
*   Programming (Prior Experience)
"
53971,"**[Your Name]**

**Summary**

Highly experienced game UI/UX Designer with a strong background in graphic design. Seeking new opportunities within the game development industry.

**Experience**

*   **Game UI Designer** | [Gamedev-company Name] | [Start Date] - Present
*   **Game UI/UX Designer** | Indie Teams | 2019 - [Start Date of Game UI Designer role]
    *   Contributed to various aspects of game development, including 3D modeling, texturing, and 3D animation.
    *   Leveraged graphic design expertise to excel in creating game interfaces.
*   **Senior Graphic Designer** | [Previous Company Name(s) or Freelance] | [Start Date] - [End Date] (5 years total)
"
53972,"**[Your Name]**

**Summary**

Creative professional with 2+ years of experience designing websites, banners, and emails. Possesses 1 year of experience in GameDev, creating offers, decorations, and banners for mobile games. Proficient in visual design and eager to contribute to mobile game development.

**Experience**

*   **GameDev** (1 year)
    *   Created offers, decorations, and banners for mobile games.

*   **Web Design & Graphic Design** (2+ years)
    *   Designed websites, banners, and emails.

**Skills**

*   Photoshop
*   Figma
*   After Effects
*   Animation (Figma, After Effects)
*   Layout Design

**Projects**

*   Created layouts based on provided graphics or designed navigation elements and decorations.

**Interests**

*   Mobile Game Development
*   Long-term cooperation within a GameDev environment
"
53973,"**[Your Name]**

**Summary**

Game UI/UX Designer with UI Artist and animation knowledge (since 2019), transitioning from a Web Designer background (since 2015). Possesses a comprehensive understanding of the project lifecycle and coding proficiency (HTML, CSS, JS). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

**Skills**

*   UI/UX Design
*   UI Art
*   Animation
*   Web Design
*   HTML
*   CSS
*   JavaScript
*   Figma
*   Adobe Photoshop
*   Unreal Engine 4
*   Unity

**Experience**

*   **Game UI/UX Designer**
    *   Developed design processes.
    *   Mentored staff.
    *   Independently sourced clients.
    *   Facilitated staff skill development.
    *   Contributed to website updates.
    *   Redesigned logos for websites and applications.
    *   Developed intuitive UX flows aligned with game design.
    *   Created UI screens, UI elements, and prepared assets for programmers.
    *   Communicated UX vision and design ideas, collaborating to implement designs.
    *   Provided support to game development utilizing additional skills.
*   **Web Designer** (Since 2015)

**Additional Information**

*   Committed to continuous learning.
*   Interested in language acquisition.
*   Maintains an active lifestyle, including basketball, Brazilian jiu-jitsu, and yoga practice.
*   Teaches design at IT Academy (Lviv).
*   Values teamwork, flexible work practices, and a focus on impactful results.
"
53974,"**[Your Name]**
[Your Contact Information]

**Summary**

Game UI/UX Designer/Artist with experience creating UI visuals for casual mobile games, from concept to final rendering. Proven ability to collaborate within a team of designers, artists, and programmers to develop user-friendly and visually appealing game interfaces. Seeking a challenging role to leverage skills and contribute to a strong team.

**Experience**

*   **Game UI/UX Designer/Artist** | Ukrainian Game Company
    *   Developed UI visuals for casual games, including concept, design, and sprite preparation for Unity.
    *   Collaborated with a team of designers, managers, 2D and 3D artists, and programmers.
    *   Researched game interfaces and functional solutions.
    *   Designed and created visually attractive and unique interfaces.
    *   Produced game interface assets such as logos, icons, buttons, and pop-ups.
    *   Monitored interface layout in game engines.
    *   Stayed current with UI/UX design trends and techniques.
    *   Participated in the development of a released mobile casual game.

**Education**

*   **Bachelor of Arts in ""Artist-performer""** | Kyiv National University of Construction and Architecture
"
53975,"**[Your Name]**

**Summary**

UI/UX Game Designer with 4 years of commercial experience in Design and 2 years of commercial experience in GameDev. Proven ability to contribute to the full cycle of UI/UX creation, from information architecture to resource implementation. Passionate about staying current with industry trends and contributing to high-quality projects.

**Experience**

*   **UI/UX Game Designer**

    *   Successfully completed 248+ projects.
    *   3+ years of relevant experience.
    *   Experience in diverse game genres, including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games.
    *   Responsibilities include: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation (Unity3d), and game testing.
    *   Proficient in Figma, Photoshop, Unity3d, Jira and Confluence, Plastic SCM.
    *   Continuously seeks to learn and adapt to new technologies.

**Skills**

*   UI/UX Design
*   Game Design
*   Figma
*   Photoshop
*   Unity3d
*   Jira & Confluence
*   Plastic SCM

**Education**

*   Web Design Courses - Graduated with Honors
*   English Courses (2022) - Completed with Honors

**Projects & Achievements**

*   Supervised final group project in Web Design courses.
*   Successfully organized the printing of materials for two exhibitions in different cities simultaneously.
*   Developed a welcome-box for new company employees.

**Additional Information**

*   Actively working.
"
53976,"**[Your Name]**

**Summary**

*   Skill to quickly acquire knowledge
*   Excellent team player
*   Effective teacher and leader

**Skills**

*   Game UI Art
*   UI Design
*   3D Modeling, Sculpting
*   Texturing
*   Character Concept Art
*   Environment Concept Art
*   Illustration
*   Character Design
*   Creative Design
*   Fluent English

**Software Proficiency**

*   Photoshop
*   Daz Studio
*   Blender
*   Substance Painter
*   Substance Designer
*   ZBrush
"
53977,"**[Your Name]**

**Summary**

Self-motivated professional with experience in motion design and gaming. Proven ability to improve design and animation workflows, manage teams, and contribute to the creation of high-quality products.

**Experience**

*   **Motion Design & Animation**
    *   Developed motion graphics for poker and casino products, including slots, betting, and blackjack games.
    *   Created motion graphics for live online events.
    *   Designed and created storyboards for promotional videos.
    *   Improved design and animation export pipelines on multiple projects.
    *   Built clean and scalable After Effects project architectures.
*   **UX/UI Design**
    *   Created UX/UI designs for a poker application.
*   **Team Management & Collaboration**
    *   Managed a team of 7+ professionals, including designers, graphic artists, motion designers, animators, sound designers, and developers.
    *   Collaborated with development teams to improve design and animation integration, and introduce new technologies.
    *   Improved the visual and gaming experience of products.
    *   Contributed to the creation and organization of project style guides, design systems, and asset libraries.
    *   Contributed to the creation and organization of the Gaming Design team.
*   **Project Leadership**
    *   Participated in rebranding poker brands.
    *   Created detailed briefs (specs) and guided design, graphic, motion, sound artists, and developers to final product delivery.

**Goals**

*   Apply existing gaming industry expertise and learn from leading industry specialists.
*   Create high-quality products.
*   Take responsibility for results and effectively manage project tasks.
*   Motivate and inspire team members to produce top-tier products.
"
53978,"**UI/UX Designer**

*   Proven prototyping skills utilized to enhance UI and game experience.
*   Implemented new features, resulting in improved performance, accelerated development timelines, and streamlined UI layouts.
*   Completed projects ahead of schedule, garnering positive customer feedback.
*   Proficient in 9-Slice Scaling.
*   Imported finished interfaces from Figma directly into Unity.
*   Developed user flows and wireframes.
*   Created UI elements from initial design.
*   Selected and implemented fonts.
*   Prototyped user interfaces.
*   Experience with projects across PC, console, and mobile platforms.
*   Collaborated effectively with UI/UX developers, game designers, artists, and programmers.
"
53979,"**UX/UI Designer (2020-2022)**

*   Developed indie game interface based on UX research.
*   Created low- and high-fidelity wireframes.
*   Collaborated with developers and game designers.
*   Conducted surveys and exercises for user testing.

**UX/UI Designer (1st Half of Year)**

*   Developed user-centered UX/UI solutions.
*   Conceptualized ideas from low-fidelity wireframes to interactive visual designs and prototypes.
*   Built and designed site maps and information architecture.
*   Demonstrated how design builds from core user needs.
*   Illustrated design ideas using storyboards, process flows, and sitemaps.
*   Developed adaptive and responsive UX/UI wireframes for web-based applications.
*   Considered negative paths and ensured design covered full customer loops.
*   Created CJMs and guides to support product vision.

**Visual and Graphic Designer (2019-2022)**

*   Created logos and conceptual identity, banners, posters, and ads.
*   Generated ideas and style, and monitored design trends.
*   Maintained attention to detail and structured work results.
*   Presented and sometimes defended ideas to clients.
*   Collaborated within a team and contributed design knowledge.
"
53981,"**[Your Name]**
[Your Phone Number] | [Your Email] | [Your Portfolio Link (if applicable)]

**Summary**

UI/UX Designer/UI Artist with experience in the game development industry since 2020. Proven ability to create compelling graphic works and demonstrate critical thinking. Adept at all stages of graphic development.

**Experience**

*   **UI/UX Designer/UI Artist** | [Game Insight, 101XP, Playrix, WhaleApp] | 2020 - Present (or appropriate end date)
    *   Created graphic works for UI/UX in gamedev.
    *   Contributed to various projects.
    *   Designed and redesigned websites, applications, and branding materials.
    *   Developed 2D animations and polygraphic designs.
    *   Prepared layouts for websites and applications, adhering to technical requirements for print and digital media.

**Skills**

*   UI/UX Design
*   Graphic Design
*   2D Animation
*   Branding
*   Website Design
*   Application Design
*   Polygraphic Design
*   Layout Design
*   Complete graphic development cycle
*   Understanding of technical requirements
*   Critical Thinking

**Key Attributes**

*   Interesting Projects
*   Qualified Management
*   High Work Organization
*   Creative Space
"
54796,"**[Your Name]**
[Your Contact Information]

**Summary**

Designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. Proven ability to create impactful visual identities, including logos and styles, for outdoor advertising that can be seen in Kyiv, Kharkiv, and other cities. Experience working with European clients.

**Experience**

*   **Designer** | [Your Title/Freelance] | [Dates of Employment/Freelance Period]
    *   Created numerous logos and styles, as well as outdoor advertising, visible in Kyiv, Kharkiv, and other cities.
    *   Experience working with European clients.
    *   Worked with leading Ukrainian real estate companies before the war, as well as freelancing.
    *   Created company identities.
    *   Experience in website development using Tilda.
    *   Experience working in advertising and marketing agencies and printing houses.

**Skills**

*   Graphic Design
*   UI/UX Design
*   Logo Design
*   Branding & Identity
*   Outdoor Advertising
*   Layout Design
*   Social Media Design
*   Presentation Design
*   Website Development (Tilda)
*   UX Research

**Services**

*   Landing Page & Website Creation
*   UX Research
*   Logo Design
*   Social Media Design
*   Print Material Layouts
*   Presentations
*   Outdoor Advertising
*   Transport Branding

**Personal Qualities**

*   Excellent organizational and planning skills
*   Strong team player
*   Enthusiasm for user-friendly design

**Goal**

To contribute to the growth and development of UX/UI design.
"
