,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview
29788,"[Name]
Digital 2D Artist & UI/UX Designer
Kyiv, Ukraine

PROFESSIONAL SUMMARY
Self-educated Digital 2D Artist and UI/UX Designer with a strong technical understanding of current design and technology trends. Possesses advanced knowledge of Adobe Creative Suite, Figma, and Procreate. distinct ability to combine technical skills with creative illustration. Committed to continuous professional development, effective communication, and efficient time management.

EXPERIENCE

Full Stack UI/UX Designer / Illustrator / Graphic Designer
April 2021 – Present

UI/UX Designer / Illustrator
November 2019 – August 2021

Freelance Web Designer
December 2018 – November 2019

AWARDS

RED DOT Award
Category: Brands & Communication Design
August 2022

SKILLS

Design Skills:
*   UI/UX Design
*   Adaptive Design
*   Illustration (Raster & Vector)
*   Banner Design
*   Logo Design

Technical Tools:
*   Adobe Photoshop (including Beta)
*   Adobe Illustrator
*   Figma
*   Procreate App
*   Midjourney

Soft Skills:
*   Effective Verbal and Written Communication
*   Time Management
*   Self-Management

Languages:
*   English: Upper-Intermediate"
29835,"**DIGITAL DESIGNER**

**PROFESSIONAL SUMMARY**
Creative and independent Digital Designer with extensive experience in marketing, branding, and UI/UX design. Advanced user of Figma, Photoshop, and Illustrator with technical proficiency in Webflow (Animation/CMS) and HTML/CSS. Proven track record of working as both a freelancer and in-house manager, collaborating with international teams and American clients. Passionate about creating visually stunning designs that engage target markets and help brands grow. Seeking a long-term partnership in a product-focused role to implement user-centric design solutions.

**SKILLS**

**Design & Strategy**
*   UI/UX Design & Product Design
*   Branding & Identity
*   Digital Design & Imagery
*   Color Theory & Composition
*   Advertising (Web ads, Social media ads)
*   Digital Analytics

**Software & Tools**
*   **Figma:** Advanced proficiency
*   **Adobe Creative Cloud:** Photoshop, Illustrator
*   **Webflow:** CMS, Animation, Design
*   **Development:** HTML, CSS

**Professional Attributes**
*   Direct Customer Interface & Client Relations
*   Team Collaboration & Independent Work
*   Creative Problem Solving
*   Project Management

**PROFESSIONAL EXPERIENCE**

**Freelance & In-House Design Experience**
*   **International Collaboration:** Worked within a team environment cooperating with over five companies from different countries to deliver design solutions.
*   **Freelance Design:** Served as a designer for an American company, delivering digital assets tailored to the US market.
*   **Digital Asset Creation:** Designed and executed websites, E-blasts, and digital advertising campaigns.
*   **Marketing Integration:** Applied extensive marketing background to develop designs that drive engagement and business growth.
*   **Client Management:** Interfaced directly with customers and colleagues to develop award-winning campaigns and ensure client satisfaction.

**EDUCATION & CERTIFICATION**

*   **Product Design** | Dare IT
*   **Basic Web Design** | Hillel (IT School)
*   **Figma** | Cases Media
*   **Graphic Design: Composition** | Cases Media"
30606,"**SKILLS**

*   **Design Tools:** Figma (Design Systems, UI Kits, Auto Layout, Interactive Components, Interactive Prototyping, Plugins).
*   **Productivity:** Google Workspace (Docs, Forms).
*   **Core Competencies:** UX Research, Competitor Research, Sketching, Prototyping, Composition, Typography, Color Theory, Design Principles, Design Trends.

**PROJECT EXPERIENCE**

**Beetroot Academy | Mentorship Projects**
*   Conducted UX research and competitor analysis to inform design decisions.
*   Created sketches and interactive prototypes utilizing Figma.
*   Applied principles of composition, typography, and color to interface designs.
*   Collaborated within a team environment to execute design projects.
*   Delivered project presentations."
30845,"**JUNIOR UI/UX DESIGNER**

**PROFESSIONAL SUMMARY**
Dynamic Junior UI/UX Designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement. Collaborative team player and quick learner dedicated to adapting design strategies to meet evolving user needs. Seeking a full-time position in a product company focused on creating digital products for everyday life and business.

**SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator.
*   **Technical Skills:** HTML, CSS.
*   **UX Methodologies:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping (CJM), Jobs to be Done (JTBD), User Flows, Wireframing, Prototyping, UI Kits, Adaptive Design.
*   **Soft Skills:** Collaboration, Problem Solving, Adaptability, Continuous Learning.

**PROJECT EXPERIENCE**

**Travel Web Service | UI/UX Designer**
*Designed a web service enabling users to find and book excursions worldwide, while allowing travel agents to post offers.*
*   **Project Requirements:** Designed features for excursion search with filters, category browsing, user registration (Email, Google, Facebook), and secure payment processing. Created a dedicated interface for guides to create excursion announcements.
*   **Process:** Conducted competitor market analysis and utilized the Jobs to be Done (JTBD) framework.
*   **UX Artifacts:** Developed Customer Journey Maps (CJM) and User Flows to optimize navigation.
*   **UI Implementation:** Created Wireframes and a comprehensive UI-Kit. Delivered a fully adaptive design to ensure functionality across devices.

**Real Estate Website Redesign | UI/UX Designer**
*Redesigned a website for a real estate company located in Destin, Florida, to improve user engagement and lead generation.*
*   **Problem Identification:** Addressed issues regarding outdated design, poor user experience, low-quality imagery, and missing critical information (feedback forms and property valuation tools).
*   **Research:** Performed competitor research and analyzed customer feedback from social networks.
*   **Strategy:** Compiled 3 detailed User Personas and a Customer Journey Map (CJM) to inform design decisions.
*   **Solution:** Delivered a modern, user-friendly design tailored to attract potential customers and facilitate easy access to property information.

**Restaurant Table Booking Mobile App | UI/UX Designer**
*   Designed a mobile application dedicated to booking tables in restaurants.

**EDUCATION**

**UI/UX Design Course** (6 Months)
*   Successfully defended and presented 3 major projects: a real estate redesign, a travel website, and a restaurant booking mobile app.
*   Completed additional studies in HTML/CSS."
32072,"**UI/UX Designer** | Current Role

*   Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives.
*   Improved the onboarding process of a financial institution app by 35%.
*   Established user interface design and architecture using wireframes, mockups, and prototypes.
*   Leveraged Agile planning principles to deliver tailored solutions that met customer requirements.

**UI/UX Designer** | Previous Role

*   Improved the audience management system of a SaaS tool by 25%, designing aesthetically pleasing solutions that drove business results."
46443,"**Product Designer & Developer**

**PROFESSIONAL SUMMARY**
Product Designer with over 10 years of commercial experience in the design and development of web solutions. Proven track record progressing from Graphic Designer to Product Designer roles. Specializes in designing large CRM and SaaS projects, as well as mobile and desktop applications. Expert in bridging design and development through the creation and maintenance of comprehensive Design Systems to simplify and accelerate the product development process.

**TECHNICAL SKILLS**
*   **Design:** Figma, Sketch, Adobe CC Suite, UI/UX, Branding, Corporate Style.
*   **Development:** HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook.
*   **Focus Areas:** Design Systems, SaaS, CRM, Mobile & Desktop Applications.

**KEY ACHIEVEMENTS & EXPERIENCE**
*   **Product Management & Rapid Delivery:** Managed the end-to-end creation of products from scratch without initial specifications to release versions within 3-4 weeks on multiple occasions.
*   **Design Systems:** Built large-scale design systems from concept to implementation using React and Storybook.
*   **Web Development:** Designed and developed over 50 landing pages and promo pages, and over 10 user cabinets.
*   **Complex Implementations:** Implemented diverse functionalities ranging from modern dashboards to specialized tools such as smart timer systems and photo editors.

**CAREER OBJECTIVE**
Seeking a position with a bold, professional team dedicated to creating interesting and useful products. Aiming to leverage expertise in UI/UX, branding, and design systems to improve user experience and influence product development. Interested in opportunities that offer high engagement, proper management, and the ability to lead a product or specific product components."
46506,"**PROFESSIONAL SUMMARY**

Software development professional with experience in an IT environment, focusing on frontend web technologies. Skilled in building dynamic web applications using JavaScript and the React framework. Proficient in implementing user interfaces with various component libraries and design tools.

**TECHNICAL SKILLS**

*   **Languages & Frameworks:** JavaScript, React, JSX, HTML, CSS
*   **Libraries & UI:** Framer Motion, MUI (Material UI), Bootstrap, Materialize
*   **Design Tools:** Figma, Adobe Photoshop

**PROFESSIONAL EXPERIENCE**

**Software Developer** | IT Company
*   Developed software projects utilizing JavaScript technologies and the React framework.
*   Constructed web pages and user interfaces using JSX, HTML, and CSS.
*   Implemented UI components using MUI and integrated animations using Framer Motion.
*   Utilized Bootstrap and Materialize frameworks for front-end styling.
*   Applied design assets and prototypes using Figma and Adobe Photoshop."
50300,"**Professional Summary**

Dedicated Software Developer with a focus on creating high-quality frontend interfaces and backend integrations. Proven track record of delivering complex projects on time and under budget, including full-scale solutions for major e-commerce clients. Committed to continuous improvement, staying current with industry trends, and deepening understanding of software architecture designs. Reliable professional capable of working independently or collaborating effectively within engineering teams.

**Technical Skills**

*   **Frontend Frameworks:** React, Vue.js, Flutter
*   **Backend Development:** Node.js
*   **Core Competencies:** API Integration, Custom Plugin Development, Interface Creation, UI/UX Implementation, Performance Optimization, Debugging, Software Architecture.

**Professional Experience**

**Software Developer**
*Current Role*

*   Develop frontend interfaces according to strict client specifications while ensuring strong system usability.
*   Maintain top-notch application user experience standards aligned with industry best practices.
*   Execute project planning and strategize information flows between backend databases and user interface components.
*   Perform comprehensive debugging, application performance checks, and code optimization to ensure efficiency.
*   Collaborate with development teams and experienced engineers to implement robust software solutions.

**Key Projects & Achievements**

**Customer Engagement Suite | Major E-Commerce Business**
*   Designed and deployed a groundbreaking customer engagement suite from the ground up.
*   Utilized innovative technologies to maximize customer acquisition, satisfaction, and retention, driving incremental revenue.
*   Delivered the project on time and under budget, receiving positive feedback from both users and clients.
*   Managed the full development lifecycle, demonstrating technical expertise and attention to detail.

**Web & Application Development Portfolio**
*   Created various websites and applications utilizing Node.js for backend development.
*   Developed custom plugins and integrated APIs across multiple projects.
*   Built responsive and interactive interfaces using React, Vue, and Flutter."
51419,"[Name]
[Contact Information]

**PROFESSIONAL SUMMARY**

UI/UX professional with a technical background in programming. Successfully transitioned from software development to design to pursue a passion for creating user-centric interfaces. Currently working in an IT environment with a focus on UI/UX development. Dedicated to solving complex, challenging problems that require specialized attention. Seeking a full-time position, preferably in a remote capacity.

**EXPERIENCE**

**UI/UX Developer** | IT Company (Out-staff)
*Duration: Past Year – Present*

*   Responsible for UI/UX development tasks within an IT company structure.
*   Operate on an out-staff basis to deliver design and interface solutions.
*   Apply technical knowledge to bridge the gap between design and development.

**Freelance Designer / Programmer** | Self-Employed
*Duration: [Previous Years]*

*   Executed various freelance projects, transitioning focus from programming to design.
*   Managed independent tasks requiring both technical logic and creative design skills.

**KEY SKILLS**

*   UI/UX Development
*   Programming
*   Design
*   Complex Problem Solving

**OBJECTIVE**

To secure a full-time, remote role that leverages a dual background in design and programming to solve challenging technical and creative problems."
53971,"[Name]
[Phone Number] | [Email Address] | [Portfolio Link]

**PROFESSIONAL SUMMARY**

Experienced Game UI/UX Designer with a total of 8 years in design, comprising 5 years as a Senior Graphic Designer and 3 years dedicated to Game UI/UX. Proven ability to leverage extensive graphic design background to create effective game interfaces. Experience ranges from 3D modeling, texturing, and animation within indie teams to Game UI design for a major Game Development company. Seeking opportunities exclusively within the Game Development industry.

**WORK EXPERIENCE**

**Game UI Designer**
*Big Gamedev Company* | [Location]
*Last 1.5 Years – Present*

*   Responsible for Game UI Design within a large-scale game development environment.
*   Applied specialized interface design skills to current projects.

**Game UI/UX Designer & 3D Generalist**
*Various Indie Teams* | [Remote/Location]
*Since 2019 (3 Years Total Game UI Experience)*

*   Collaborated with different indie teams contributing to 3D modeling, texturing, and 3D animation.
*   Specialized in creating Game Interfaces, utilizing prior experience as a Senior Graphic Designer to enhance UI/UX quality.

**Senior Graphic Designer**
*[Company Name]* | [Location]
*5 Years Duration*

*   Served as a Senior Graphic Designer, establishing the visual foundation and design principles subsequently applied to Game UI work.

**SKILLS**

*   **Design:** Game UI/UX Design, Game Interface Design, Graphic Design.
*   **3D & Art:** 3D Modeling, Texturing, 3D Animation."
53972,"**PROFESSIONAL SUMMARY**

Dedicated 2D Artist and UI Designer with over 3 years of total experience in graphic design and mobile game development. Skilled in creating game assets, interface layouts, and marketing materials using Adobe Photoshop and Figma. Experienced in creating animations and collaborating with artists to finalize project visuals. Seeking a long-term position in the GameDev industry to contribute to mobile game development.

**TECHNICAL SKILLS**

*   **Design Software:** Adobe Photoshop, Figma
*   **Animation:** Adobe After Effects, Figma Prototyping
*   **Core Competencies:** UI Design, 2D Art, Layout Design, Animation

**PROFESSIONAL EXPERIENCE**

**Game Development Artist / UI Designer** | *[1 Year]*
*   Designed in-game assets, including promotional offers, banners, and decorations for mobile games.
*   Created layout compositions based on graphics provided by lead artists.
*   Designed original navigation elements and decorative interface components depending on project requirements.
*   Produced animations for user interfaces using Adobe After Effects and Figma.

**Web & Graphic Designer** | *[2+ Years]*
*   Designed visual layouts for websites.
*   Created graphics for digital banners.
*   Designed visual elements for email marketing campaigns."
