,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
29788,"# DIGITAL 2D ARTIST & UI/UX DESIGNER

Kyiv, Ukraine

## SUMMARY

Red Dot Award-winning Digital 2D Artist and UI/UX Designer with over six years of professional experience. Recognized for excellence in Brands & Communication Design. Combines strong technical foundation in design principles with knowledge of current design and technology trends. Effective verbal and written communication skills with proven time and self-management abilities.

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
Apr 2021 – Present

**UI/UX Designer / Illustrator**
Nov 2019 – Aug 2021

**Freelance Web Designer**
Dec 2018 – Nov 2019

## AWARDS

**Red Dot Award** — Brands & Communication Design, Aug 2022

## SKILLS

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design

## TOOLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate
- Midjourney

## LANGUAGES

English — Upper-Intermediate"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive marketing experience, creating visually compelling designs that drive brand growth. Proficient in Photoshop, Illustrator, and Figma. Proven success in both freelance and in-house environments, collaborating with international teams across multiple countries. Committed to long-term partnerships and product design that elevates the customer experience.

## Skills

**Design:** Color Theory & Composition | Branding & Advertising | Illustration | UI/UX Design

**Technical:** Figma (Advanced) | Adobe Photoshop | Adobe Illustrator | HTML/CSS | Webflow (Animation, CMS)

**Digital Marketing:** Web & Social Media Advertising | Digital Campaigns | E-blast Campaigns | Digital Analytics

**Professional:** Independent & Collaborative Work | Creative Problem-Solving | Direct Client Communication

## Experience

**Freelance Digital Designer**

- Partnered with an American company to develop websites, e-blasts, and digital campaigns
- Collaborated with international teams serving 5+ companies across multiple countries

## Education & Certifications

**Product Design** — Dare IT

**Basic Web Design** — Hillel IT School

**Figma** — Cases Media (90)

**Graphic Design: Composition** — Cases Media (91)"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma: Design systems, UI kit development, Auto Layout, interactive components, prototyping, plugin utilization

**Design Expertise**
- UX Research & Competitor Analysis
- Sketching & Prototyping
- Composition, Typography & Color Theory
- Design Principles & Current Trends

**Collaboration & Tools**
- Google Workspace (Docs, Forms)
- Cross-functional Team Collaboration
- Project Presentations

## Experience

**Beetroot Academy** — Mentorship Program Participant

- Conducted comprehensive UX research and competitor analysis, translating insights into user-centered design decisions
- Developed sketches and interactive prototypes to visualize user flows and interface concepts
- Collaborated with cross-functional team members to iterate and refine designs throughout the product development lifecycle
- Presented design rationale and strategic recommendations to stakeholders"
30845,"# JUNIOR UI/UX DESIGNER

Passionate UI/UX designer committed to crafting seamless, visually engaging user experiences. Proficient in Figma, Photoshop, and Illustrator with a strong foundation in user-centered design methodologies. Skilled in creating interactive prototypes, wireframes, and mockups that enhance user engagement and product usability. Collaborative professional dedicated to continuous growth and evolving design strategies to meet user needs.

---

## OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business.

---

## SKILLS

**Design Tools:** Figma, Photoshop, Illustrator

**Technical:** HTML/CSS, Responsive & Adaptive Design

**UX Methods:** User Research, Competitor Analysis, User Personas, Customer Journey Mapping, Jobs to Be Done Framework, User Flow Design

**Deliverables:** Wireframing, Prototyping, UI Kit Development

---

## PORTFOLIO PROJECTS

**Travel Booking Web Service**
Designed end-to-end web service for discovering and booking excursions, tours, and entertainment worldwide, including a dedicated portal for guides and travel companies.
- Conducted market and competitor analysis to inform design decisions
- Applied Jobs to Be Done framework, Customer Journey Mapping, and User Flow Design
- Delivered wireframes, UI Kit, and fully adaptive responsive design

**Real Estate Website Redesign** | Destin, Florida
Transformed outdated real estate website into a modern, user-friendly experience with improved imagery and enhanced customer tools for feedback submission and property valuation.
- Conducted comprehensive competitor research and analysis
- Developed 3 user personas through social media and customer feedback analysis
- Created detailed customer journey map to identify pain points and opportunities

**Restaurant Table Booking Mobile Application**
Designed mobile application enabling users to discover and reserve restaurant tables.

---

## EDUCATION

**UI/UX Design Course** | 6-Month Program
- Supplemental training in HTML/CSS"
32072,"# UI/UX Designer

## Professional Experience

**UI/UX Designer** | Current Role

- Lead a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives
- Redesigned onboarding process for a financial institution app, achieving a 35% improvement in user completion rates
- Develop wireframes, mockups, and prototypes to establish user interface design and information architecture
- Apply Agile planning principles to deliver tailored solutions that meet customer requirements

**UI/UX Designer** | Previous Role

- Redesigned audience management system for a SaaS platform, driving a 25% improvement in usability while delivering measurable business results"
46443,"# Senior Product Designer

## Summary

Product Designer with over 10 years of commercial experience designing and developing web solutions. Proven expertise in creating and maintaining Design Systems that simplify and accelerate product development. Career progression from Graphic Designer to Product Designer demonstrates continuous growth and expanding technical capabilities.

## Expertise

- Large-scale CRM and SaaS product design
- Mobile and desktop application design
- End-to-end Design Systems, from concept to implementation in React and Storybook
- UI/UX, branding, and corporate identity
- Rapid product development from concept to release in 3–4 weeks

## Technical Skills

Figma, Sketch, Adobe CC, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Accomplishments

- Built comprehensive design systems end-to-end, owning both design and front-end implementation
- Designed and developed 50+ landing pages and promotional pages
- Created 10+ user dashboards and account interfaces
- Delivered diverse product features including dashboards, smart timer systems, and photo editors
- Led multiple products from initial concept through release

## What I Bring

- Commitment to meaningful products that deliver real value to users
- Collaborative mindset suited to high-performing teams
- Drive to shape product direction and strategy
- Readiness to lead a product or product area"
46506,"# Software Developer

## Technical Skills

**Languages & Technologies:** JavaScript, HTML, CSS, JSX

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop

## Professional Experience

**Software Developer**
IT Company

- Engineered dynamic, component-based web applications using React, JavaScript, JSX, HTML, and CSS
- Enhanced user engagement by implementing animations and interactive elements with Framer Motion
- Delivered polished, responsive user interfaces leveraging MUI, Bootstrap, and Materialize CSS frameworks
- Collaborated with design teams to translate Figma and Adobe Photoshop mockups into functional, pixel-perfect interfaces"
50300,"# Professional Summary

Frontend developer experienced in delivering software solutions on time and under budget. Skilled in designing and deploying systems that drive customer acquisition, satisfaction, and retention.

# Key Accomplishments

**Customer Engagement Suite | E-Commerce Business**

Designed and deployed a comprehensive customer engagement suite supporting acquisition, satisfaction, and retention initiatives. Delivered on time and under budget.

# Technical Skills

- **Frontend:** React, Vue, Flutter
- **Backend:** Node.js
- **Additional:** API Integration, Custom Plugin Development

# Professional Experience

**Frontend Developer**

- Design and develop frontend interfaces to client specifications, ensuring optimal usability
- Deliver application user experiences aligned with industry standards
- Collaborate with development teams while maintaining capacity for independent execution
- Debug issues, perform application testing, and optimize code for performance
- Participate in project planning and architect information flows between backend databases and user interface components
- Build websites, applications, interfaces, and custom plugins

# Professional Development Goals

- Expand technical skillset through continuous learning of emerging technologies and frameworks
- Deepen understanding of software architecture through collaboration with experienced engineers
- Continue developing expertise in the software industry"
51419,"# UI/UX Designer

## Summary

Design professional with a programming foundation, combining technical insight with user-centered design thinking. Track record of delivering client-focused solutions across freelance and corporate environments. Skilled in translating complex requirements into intuitive interfaces through cross-functional collaboration and systematic problem-solving.

## Experience

**UI/UX Developer**
IT Company | Out-staff Basis | 1 Year

- Delivered UI/UX solutions for client projects, aligning design vision with technical constraints
- Leveraged programming knowledge to produce implementation-ready design specifications
- Partnered with development teams to streamline design-to-code handoff and reduce iteration cycles

**Freelance Designer**
Self-Employed | Multiple Years

- Executed end-to-end design projects spanning multiple clients and industries
- Owned full project lifecycle from discovery and client consultation through final delivery
- Cultivated repeat business through transparent communication and consistent results

## Skills & Background

- Programming experience providing strong foundation in logic, systems thinking, and developer collaboration
- Self-directed transition into design, reflecting adaptability and dedication to continuous growth
- Technical fluency that bridges design and engineering teams

## Availability

Full-time | Remote preferred"
53971,"# SENIOR GAME UI/UX DESIGNER

---

## Professional Summary

Game UI/UX Designer with 8+ years of combined experience spanning graphic design and interactive entertainment. Delivers compelling game interfaces built on a foundation of visual design expertise and hands-on indie development experience in 3D modeling, texturing, and animation.

---

## Experience

**Game UI/UX Designer**  
Major Game Development Studio | 1.5 Years | Current

- Design and implement game interfaces, applying 5 years of graphic design expertise to create visually cohesive UI systems
- Partner with cross-functional teams to deliver polished, player-focused UI/UX solutions

**Game UI/UX Designer**  
Indie Game Development | 3 Years

- Created game interfaces for multiple indie projects while contributing across disciplines including 3D modeling, texturing, and animation
- Adapted UI/UX approaches to meet diverse project requirements and team needs

**Senior Graphic Designer**  
5 Years

- Developed comprehensive visual design expertise in design systems and brand consistency
- Built foundational skills directly applicable to game UI architecture and visual hierarchy

---

## Core Competencies

Game Interface Design | UI/UX Design | Visual Design Systems | 3D Modeling & Texturing | 3D Animation | Cross-Functional Collaboration"
53972,"**PROFESSIONAL SUMMARY**

Creative designer with 3+ years of experience in digital design, including 1 year specializing in mobile game development. Skilled in creating engaging visual assets, from UI layouts to promotional materials. Seeking long-term opportunities in game development.

**SKILLS**

Photoshop | Figma | After Effects | UI/UX Layout Design | Animation | Banner & Promotional Design

**EXPERIENCE**

**Game Designer** | 1 Year

- Designed promotional offers, banners, and decorative elements for mobile games
- Developed custom navigation elements and decorative assets aligned with project requirements
- Created polished layouts integrating artist-provided graphics

**Digital Designer** | 2+ Years

- Designed websites, digital banners, and email marketing materials
- Produced animations using After Effects and Figma

**CORE COMPETENCIES**

Mobile Game Visual Design | UI/UX Layout Development | Digital Marketing Collateral | Motion Graphics & Animation | Cross-Platform Asset Creation"
53973,"# Game UI/UX Designer

Creative Game UI/UX Designer with UI artistry and animation expertise since 2019, built on web design foundations established in 2015. Delivers full-cycle project execution with strong technical fluency in HTML, CSS, and JavaScript. Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Core Competencies

- **UX Flow Development** — Architecting intuitive user experiences aligned with game design vision
- **UI Design & Asset Production** — Designing screens, elements, and production-ready assets for seamless developer handoff
- **Design Communication** — Articulating UX vision and design rationale to cross-functional stakeholders
- **Collaborative Implementation** — Partnering across disciplines to execute designs in-engine
- **Adaptive Contribution** — Supporting broader development needs through versatile skill application

## Leadership & Achievements

- Established and refined design processes that improved team efficiency
- Mentored team members and facilitated ongoing skill development
- Acquired new clients through independent outreach initiatives
- Led official website updates and logo redesigns for sites and applications
- Design Instructor, IT Academy, Lviv

## Technical Skills

Figma | Adobe Photoshop | Unreal Engine 4 | Unity | HTML | CSS | JavaScript

## Professional Interests

Seeking a collaborative team committed to delivering meaningful products within a culture of flexibility and mutual respect.

## Personal

Committed to continuous learning, including language studies. Active lifestyle encompassing basketball, Brazilian jiu-jitsu, and yoga."
53974,"# Game UI/UX Designer & Artist

## Career Objective

Creative UI/UX designer seeking opportunities with challenging, diverse projects to apply expertise in game interface design while collaborating with and learning from a strong creative team.

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop UI visuals for casual mobile games from concept through final rendering
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique gameplay mechanics
- Research game interfaces and functional solutions to deliver intuitive, visually compelling, and distinctive user experiences
- Prepare optimized sprites for Unity implementation and oversee interface layout integration
- Collaborate cross-functionally with designers, managers, 2D/3D artists, and programmers
- Maintain current knowledge of emerging UI/UX design trends and techniques

**Shipped Title:** Casual mobile game (released)

## Skills

UI/UX Design · Visual Asset Creation · Unity Integration · Interface Research & Analysis · Cross-Functional Collaboration

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture"
53975,"# UI/UX Game Designer

**4 Years in Design | 2 Years in GameDev | 248+ Projects Delivered**

## Professional Summary

UI/UX Game Designer specializing in mobile shooters, educational games, tactical MOBAs, and multiplayer casual experiences. Committed to hands-on engagement with developed titles and continuous industry awareness.

## Core Competencies

**Full UI/UX Development Cycle**
Information Architecture • Player Flows • UI Research • Wireframing • Style Research • Prototyping • Resource Implementation (Unity3D) • Game Testing

**Tools**
Figma (UI, Vector Graphics, Animation) • Photoshop • Unity3D • Jira • Confluence • Plastic SCM • Graphics Tablet

## Key Achievements

- Led complete UI development for an educational mobile game achieving 100,000+ downloads
- Contributed to AAA PC MOBA development
- Delivered full design overhaul and PC-to-mobile platform migration for an esports simulator on schedule
- Supervised final group project for Web Design courses
- Coordinated simultaneous print production for dual-city exhibition launch
- Designed new employee welcome-box onboarding experience

## Education

Web Design Courses – Graduated with Honors
English Language Courses – Completed with Honors (2022)

## Seeking

Innovative projects of varying complexity within a quality-focused team, offering continuous learning and opportunities for meaningful contribution."
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid skill acquisition
- Strong team collaboration
- Teaching and leadership abilities

---

## Skills

**Art & Design**
- Game UI Art & Design
- Character Design & Concept Art
- Environment Concept Art
- Illustration
- Creative Design

**3D Art**
- 3D Modeling
- Sculpting
- Texturing

---

## Technical Proficiencies

| Design & Illustration | 3D & Texturing |
|----------------------|----------------|
| Adobe Photoshop | Blender |
| | ZBrush |
| | Daz Studio |
| | Substance Painter |
| | Substance Designer |

---

## Languages
English (Fluent)"
53977,"**MOTION DESIGNER & TEAM LEAD**

---

**SUMMARY**

Self-driven motion design specialist with gaming industry expertise, leading teams of 7+ professionals to deliver high-quality visual experiences for worldwide poker and casino products. Skilled in workflow optimization, cross-functional collaboration, and scalable production systems.

---

**EXPERIENCE**

**Team Leadership**
- Lead team of 7+ onboard and outsourced professionals spanning design, graphics, motion, animation, sound, and development
- Create detailed briefs and specifications, guiding multidisciplinary artists and developers from concept to final delivery
- Build and organize gaming design team structure

**Motion Design & Animation**
- Develop motion design for worldwide poker and casino products, including slots, betting, and blackjack platforms
- Produce gaming animations and motion graphics for live online events
- Architect clean, scalable After Effects project systems

**UX/UI Design**
- Design UX/UI for poker application
- Contribute to rebranding initiatives for poker brands
- Create design concepts and storyboards for promotional videos

**Process & Pipeline Optimization**
- Streamline design and animation export pipeline across multiple projects
- Develop and maintain project style guides, design systems, and asset libraries
- Partner with development team to implement workflow technologies that enhance design and animation consistency

**Results**
- Elevate visual quality and gaming experience across products"
53978,"# UI/UX Designer

Dedicated UI/UX Designer specializing in user interface and game experience design. Proven track record implementing features that enhance performance, accelerate development, and streamline UI layouts. Consistently delivers projects ahead of schedule with high client satisfaction.

## Skills & Expertise

- Cross-platform design: PC, console, mobile
- End-to-end UI creation
- Figma to Unity interface integration
- User flow and wireframe development
- Interface prototyping
- 9-slice scaling implementation
- Typography selection

## Collaboration

Experienced partner to UI/UX developers, game designers, artists, and programmers. Delivers cohesive design solutions across multidisciplinary teams."
53979,"**UX/UI DESIGNER** (2020–2022)

- Conducted UX research to inform interface designs for indie games
- Developed wireframes, interactive prototypes, and visual designs across fidelity levels
- Built site maps, information architecture, and customer journey maps featuring complete journey loops with negative paths
- Designed adaptive and responsive wireframes for web-based applications
- Illustrated design concepts through storyboards and process flows
- Created surveys and user testing exercises to evaluate gameplay mechanics and identify core user needs
- Collaborated with developers, game designers, and cross-functional teams to deliver user-centered solutions

---

**VISUAL AND GRAPHIC DESIGNER** (2019–2022)

- Designed logos, identity systems, banners, posters, and advertisements aligned with current design trends
- Developed and presented creative concepts to clients
- Delivered organized, detail-oriented work in collaboration with cross-functional teams"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist with game development experience since 2020. Combines analytical thinking with aesthetic sensibility to create compelling graphic works across multiple disciplines.

---

**EXPERIENCE**

**UI/UX Designer | UI Artist** | 2020 – Present

Game Insight | 101XP | Playrix | WhaleApp

- Lead full graphic development cycle from concept to completion
- Design websites and applications with production-ready layouts for web and mobile
- Develop branding and visual identity systems
- Execute redesign and brand refresh projects
- Create print and publication designs with adherence to technical requirements
- Produce 2D animation

---

**SKILLS**

UI/UX Design · Graphic Design · Visual Identity · Branding · 2D Animation · Web Design · Mobile Application Design · Print Design · Production-Ready Layouts

---

**SEEKING**

Challenging projects within a collaborative environment with strong organizational structure and skilled leadership."
