,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
29788,"# DIGITAL 2D ARTIST & UI/UX DESIGNER

Kyiv, Ukraine

## SUMMARY

Self-educated Digital 2D Artist and UI/UX Designer with expertise in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate. Strong technical understanding of design principles with knowledge of current design and technology trends. Effective verbal and written communication skills combined with proven time and self-management abilities.

## EXPERIENCE

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
Apr 2021 - Present

**UI/UX Designer / Illustrator**
Nov 2019 - Aug 2021

**Freelance Web Designer**
Dec 2018 - Nov 2019

## SKILLS

- UI/UX Design
- Adaptive Design
- Illustration (Raster/Vector)
- Banner Design
- Logo Design

## TOOLS

- Adobe Photoshop
- Adobe Illustrator
- Figma
- Procreate App
- Midjourney

## LANGUAGES

English - Upper-Intermediate

## AWARDS

**RED DOT Award** - Brands & Communication Design (Aug 2022)"
29835,"# DIGITAL DESIGNER

## Summary

Digital designer with extensive experience in marketing, specializing in creating visually compelling designs that help brands grow. Proficient in Photoshop, Illustrator, and Figma. Experienced in both freelance and in-house environments, collaborating with teams serving companies across multiple countries. Passionate about long-term partnerships with a focus on product design that enhances the customer experience.

## Skills

**Design**
- Color Theory & Composition
- Branding & Advertising
- Illustration
- UI/UX Design

**Digital**
- Web Ads & Social Media Ads
- Digital Design & Imagery
- Digital Analytics
- E-blast Campaigns

**Technical**
- Figma (Advanced)
- Adobe Photoshop
- Adobe Illustrator
- HTML/CSS
- Webflow (Animation, CMS)

**Professional**
- Independent and collaborative work
- Creative problem-solving
- Direct client communication

## Education & Certifications

- Product Design — Dare IT
- Basic Web Design — Hillel IT School
- Figma — Cases Media (90)
- Graphic Design: Composition — Cases Media (91)

## Experience

- Collaborated with teams serving 5+ companies from different countries
- Freelance designer for an American company
- Developed websites, e-blasts, and digital campaigns"
30606,"# UI/UX Designer

## Skills

**Design Tools**
- Figma: Design systems, UI kit development, Auto Layout, interactive components, interactive prototyping, plugin utilization

**Design Expertise**
- UX Research and Competitor Analysis
- Sketching and Prototyping
- Composition, Typography, and Color Theory
- Design Principles and Current Design Trends

**Collaboration & Tools**
- Google Workspace (Docs, Forms)
- Team Collaboration
- Project Presentations

## Experience

**Beetroot Academy** — Mentorship Program Participant
- Conducted UX research and competitor analysis
- Created sketches and prototypes
- Collaborated with team members on design projects
- Delivered project presentations"
30845,"# JUNIOR UI/UX DESIGNER

Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

## SKILLS

- Figma, Photoshop, Illustrator
- HTML/CSS
- Wireframing & Prototyping
- UI Kit Development
- User Research & Competitor Analysis
- User Personas & Customer Journey Mapping
- Jobs to Be Done Framework
- User Flow Design
- Responsive/Adaptive Design

---

## EDUCATION

**UI/UX Design Course** | 6 Months
- Additional studies in HTML/CSS

---

## PORTFOLIO PROJECTS

### Real Estate Website Redesign
Redesigned website for a real estate company in Destin, Florida, transforming an outdated interface into a modern, user-friendly experience with improved imagery and enhanced customer features including streamlined feedback and property valuation tools.
- Conducted competitor research and analysis
- Developed 3 user personas through social media and customer feedback analysis
- Created customer journey map

### Travel Booking Web Service
Designed a comprehensive web service enabling users to discover and book excursions, tours, and entertainment worldwide, with a dedicated portal for guides and travel companies to post offerings.
- Conducted market and competitor analysis
- Developed Jobs to Be Done framework, Customer Journey Map, and User Flows
- Created wireframes, UI Kit, and fully adaptive design

### Restaurant Table Booking Mobile Application
Designed mobile application for restaurant table reservations.

---

## OBJECTIVE

Seeking a full-time position with a product company focused on creating digital products for everyday life and business."
32072,"# UI/UX Designer

## Professional Experience

**UI/UX Designer** | Current Role

- Improved the onboarding process for a financial institution app by 35%
- Led a team of 4 designers in creating visually appealing, functional products aligned with user needs and business objectives
- Applied Agile planning principles to deliver tailored solutions meeting customer requirements
- Developed wireframes, mockups, and prototypes to establish user interface design and architecture

**UI/UX Designer** | Previous Role

- Improved the audience management system of a SaaS tool by 25%, demonstrating ability to design solutions that are aesthetically pleasing while driving measurable business results"
46443,"# Senior Product Designer

## Summary

Product Designer with over 10 years of commercial experience in design and development of web solutions. Specialist in creating and maintaining Design Systems to simplify and accelerate product development. Background spanning Graphic Designer to Product Designer roles.

## Expertise

- Large-scale CRM and SaaS projects
- Mobile and desktop applications
- Design Systems from concept to implementation in React and Storybook
- UI/UX, branding, and corporate style
- Rapid product development from concept to release in 3-4 weeks

## Technical Skills

Figma, Sketch, Adobe CC, HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

## Accomplishments

- Created large design systems from design through implementation
- Designed and developed over 50 landing pages and promotional pages
- Designed over 10 user dashboards and account interfaces
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editors
- Managed multiple products from initial concept to release version

## Seeking

- Meaningful products that benefit users
- Highly engaged and professional teams
- Opportunity to influence product development
- Strong leadership and management practices
- Potential to lead product or product areas"
46506,"# Software Developer

## Professional Experience

**Software Developer**
IT Company

- Developed web applications using JavaScript and the React framework
- Created responsive web pages utilizing JSX, HTML, and CSS
- Implemented animations and interactive elements using Framer Motion
- Built user interfaces with MUI component library
- Worked with Bootstrap and Materialize CSS frameworks
- Collaborated on design workflows using Figma and Adobe Photoshop

## Technical Skills

**Languages & Technologies:** JavaScript, HTML, CSS, JSX

**Frameworks & Libraries:** React, Framer Motion, MUI, Bootstrap, Materialize

**Design Tools:** Figma, Adobe Photoshop"
50300,"# Professional Summary

Results-driven frontend developer with proven success delivering high-impact software solutions. Demonstrated ability to design and deploy complex systems on time and under budget while exceeding stakeholder expectations.

# Key Accomplishments

**Customer Engagement Suite | Major E-Commerce Business**

Designed and deployed a groundbreaking customer engagement suite from the ground up, utilizing innovative technologies and processes to maximize customer acquisition, satisfaction, and retention to drive incremental revenue. Delivered on time, under budget, with outstanding feedback from users and clients.

# Technical Skills

- **Frontend:** React, Vue, Flutter
- **Backend:** Node.js
- **Additional:** API Integration, Custom Plugin Development

# Professional Experience

**Frontend Developer**

- Develop frontend interfaces according to client specifications while ensuring strong system usability
- Deliver top-tier application user experience aligned with industry standards
- Work independently and collaboratively with development teams
- Debug issues, perform application testing, and optimize code
- Participate in project planning and strategize information flows between backend databases and user interface components
- Create websites, applications, interfaces, and custom plugins

# Professional Development Goals

- Expand technical skillset through continuous learning of new technologies and frameworks
- Deepen understanding of software architecture designs through collaboration with experienced engineers
- Continue developing expertise to become a reliable professional in the software industry"
51419,"# UI/UX Designer

## Summary

Design professional who transitioned from a programming background, bringing a unique technical perspective to UI/UX work. Experienced in freelance design projects and corporate IT environments. Passionate about tackling complex design challenges that require specialized expertise.

## Experience

**UI/UX Developer**
IT Company | Out-staff Basis | 1 Year

- Deliver UI/UX development solutions for client projects
- Apply technical programming knowledge to inform design decisions

**Freelance Designer**
Self-Employed | Multiple Years

- Completed diverse design projects for various clients
- Managed client relationships and project deliverables independently

## Background

- Previous experience in programming
- Self-directed career transition into design

## Availability

- Seeking full-time position
- Remote work preferred"
53971,"# SENIOR GAME UI/UX DESIGNER

## Professional Summary

Versatile designer with 8+ years of combined experience in graphic design and game UI/UX. Passionate about creating compelling game interfaces, backed by a strong foundation in visual design and hands-on indie development experience spanning 3D modeling, texturing, and animation.

---

## Experience

**Game UI/UX Designer**  
Major Game Development Studio | 1.5 Years (Current)

**Game UI/UX Designer**  
Indie Game Development | 3 Years  
- Contributed to multiple indie teams in various capacities including 3D modeling, texturing, and animation
- Specialized in game interface design, leveraging extensive graphic design background

**Senior Graphic Designer**  
5 Years  
- Developed strong visual design expertise that directly translates to game UI excellence

---

## Core Competencies

- Game Interface Design
- UI/UX Design
- Visual Design Systems
- 3D Modeling & Texturing
- 3D Animation
- Cross-Functional Team Collaboration

---

## Career Focus

Seeking opportunities exclusively within the game development industry.

---

*Open to new opportunities*"
53972,"**PROFESSIONAL SUMMARY**

Creative designer with 3+ years of experience in digital design, including 1 year specializing in mobile game development. Skilled in creating engaging visual assets, from UI layouts to promotional materials. Seeking long-term opportunities in GameDev.

**SKILLS**

- Photoshop
- Figma
- After Effects
- UI/UX Layout Design
- Animation
- Banner & Promotional Design

**EXPERIENCE**

**Game Designer**
*1 Year*

- Designed promotional offers, decorative elements, and banners for mobile games
- Created layouts based on artist-provided graphics
- Developed custom navigation elements and decorative assets based on project requirements

**Digital Designer**
*2+ Years*

- Designed websites, digital banners, and email marketing materials
- Produced animations using After Effects and Figma"
53973,"# Game UI/UX Designer

Hi, I'm a Game UI/UX Designer with UI Artist and animation expertise since 2019, building on web design experience since 2015.

I bring full-cycle project knowledge with a strong understanding of code (HTML, CSS, JavaScript). Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity.

## Responsibilities

- Develop intuitive UX flows aligned with overall game design
- Create UI screens, UI elements, and prepare assets for programmers
- Communicate UX vision and design ideas to team members
- Collaborate cross-functionally to implement designs in-game
- Support game development with additional skills as needed

## Leadership & Contributions

- Established and refined design processes
- Mentored team members and facilitated staff skill development
- Independently acquired new clients
- Led official website updates and logo redesigns for sites and applications
- Design Instructor at IT Academy, Lviv

## What I'm Looking For

A friendly, collaborative team focused on delivering meaningful product results, working with flexibility and mutual respect.

## About Me

Committed to continuous learning, including language studies. Active lifestyle including basketball, Brazilian jiu-jitsu, and yoga."
53974,"# Game UI/UX Designer & Artist

## Professional Experience

**UI/UX Designer/Artist**
Ukrainian Game Company

- Design and develop UI visuals for casual mobile games from concept through final rendering
- Prepare optimized sprites for Unity implementation
- Research game interfaces and functional solutions to create intuitive, visually compelling, and distinctive user experiences
- Create comprehensive interface assets including logos, icons, buttons, pop-ups, and unique gameplay mechanics
- Collaborate with cross-functional teams including designers, managers, 2D and 3D artists, and programmers
- Oversee interface layout implementation in game engines
- Stay current with emerging UI/UX design trends and techniques

**Shipped Title:** One released casual mobile game

## Education

**Bachelor's Degree in Artist-Performer**
Kyiv National University of Construction and Architecture

## Career Objective

Seeking opportunities with challenging and diverse projects where I can apply my expertise in game UI/UX design while collaborating with and learning from a strong creative team."
53975,"# UI/UX Game Designer

**4 years of commercial experience in Design | 2 years of commercial experience in GameDev | 248+ successfully completed projects**

## Professional Summary

UI/UX Game Designer with expertise across diverse game genres including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games. Dedicated professional who plays the games I've worked on and stays current with industry developments.

## Core Competencies

**Full UI/UX Development Cycle:** Information Architecture • Player Flows • UI Research • Wireframing • Style Research • Prototyping • Resource Implementation (Unity3d) • Game Testing

**Tools:** Figma (UI, Vector Graphics, Animation) • Photoshop • Unity3d • Jira • Confluence • Plastic SCM • Graphics Tablet

## Key Achievements

- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Successfully delivered complete design overhaul and mobile platform migration for a PC esports simulator on schedule
- Supervised final group project for Web Design courses
- Organized simultaneous printing of materials for two exhibitions in different cities
- Developed welcome-box for new employee onboarding

## Education & Certifications

- Web Design Courses – Graduated with Honors
- English Language Courses – Completed with Honors (2022)

## What I'm Looking For

Innovative projects of varying complexity within a quality-focused team environment, with opportunities for continuous learning and meaningful contribution."
53976,"# PROFESSIONAL RESUME

## Core Strengths
- Rapid skill acquisition
- Strong team collaboration
- Teaching and leadership abilities

---

## Skills

**Art & Design**
- Game UI Art
- UI Design
- Character Design
- Creative Design
- Character Concept Art
- Environment Concept Art
- Illustration

**3D & Texturing**
- 3D Modeling
- Sculpting
- Texturing

**Communication**
- Fluent English

---

## Software Proficiency
- Photoshop
- Blender
- ZBrush
- Daz Studio
- Substance Painter
- Substance Designer"
53977,"**MOTION DESIGNER & TEAM LEAD**

---

**SUMMARY**

Self-starter with expertise in the gaming industry, specializing in motion design for worldwide poker and casino products. Proven ability to lead teams, optimize workflows, and deliver high-quality visual experiences.

---

**EXPERIENCE**

**Team Leadership**
- Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development

**Motion Design & Animation**
- Created motion design for worldwide poker and casino products
- Produced gaming motion and animations for poker and casino games, including slots, betting, and blackjack
- Developed motion graphics for live online events
- Built clean and scalable After Effects project architecture

**UX/UI Design**
- Designed UX/UI for poker application
- Contributed to rebranding of poker brands
- Created design and storyboards for promotional videos

**Process & Pipeline Optimization**
- Improved design and animation export pipeline across multiple projects
- Contributed to creation, organization, and distribution of project style guides, design systems, and asset libraries
- Enhanced design and animation consistency in collaboration with development team through implementation of new workflow technologies

**Cross-Functional Collaboration**
- Designed detailed briefs and specifications, guiding design, graphic, motion, sound artists, and developers to final deliverables
- Contributed to creation and organization of gaming design team
- Improved visual and gaming experience of products"
53978,"# UI/UX Designer

Dedicated UI/UX Designer with proven prototyping skills seeking to enhance user interfaces and game experiences. Demonstrated ability to implement features that improve performance, accelerate development processes, and streamline UI layouts. Consistently delivers projects ahead of schedule with high client satisfaction.

## Skills & Expertise

- 9-Slice Scaling implementation
- Figma to Unity interface integration
- User Flow and Wireframe development
- End-to-end UI creation
- Typography selection
- Interface prototyping
- Cross-platform design (PC, console, and mobile)

## Collaboration

Experienced in working alongside UI/UX developers, game designers, artists, and programmers to deliver cohesive design solutions."
53979,"**UX/UI DESIGNER** (2020–2022)

**Second Half of Year**
- Developed indie game interface based on self-conducted UX research
- Created low-fidelity and high-fidelity wireframes
- Collaborated closely with developers and game designers
- Designed surveys and exercises for user testing to deepen understanding of gameplay

**First Half of Year**
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built site maps and information architecture
- Demonstrated how design builds from core user needs to deliver unexpected value
- Illustrated design ideas using storyboards, process flows, and sitemaps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Designed for negative paths and complete customer journey loops
- Created customer journey maps and guides to support product vision

---

**VISUAL AND GRAPHIC DESIGNER** (2019–2022)

- Created logos, conceptual identity systems, banners, posters, and advertisements
- Generated creative ideas and visual styles while monitoring design trends
- Maintained strong attention to detail and organized deliverables
- Presented and defended design concepts to clients
- Collaborated with cross-functional teams to deliver quality design solutions"
53981,"**UI/UX DESIGNER | UI ARTIST**

---

**PROFESSIONAL SUMMARY**

UI/UX Designer and UI Artist with game development experience since 2020. Combining deep analytical thinking with strong aesthetic sensibility to create compelling graphic works across multiple disciplines.

---

**EXPERIENCE**

**Game Development Studios** | 2020 – Present
- Game Insight
- 101XP
- Playrix
- WhaleApp

---

**SKILLS & EXPERTISE**

**Graphic Design**
- Full graphic development cycle from concept to completion
- Website and application design
- Branding and visual identity
- Print and publication design
- 2D animation
- Redesign and brand refresh projects

**Technical Proficiency**
- Adherence to technical requirements for printed materials
- Preparation of production-ready layouts for web and mobile applications

---

**WHAT I'M LOOKING FOR**

- Engaging, challenging projects
- Skilled leadership and qualified management
- Strong organizational structure
- Creative and collaborative environment"
54796,"# Professional Graphic & UI/UX Designer

**Kharkiv, Ukraine | 10+ Years of Experience**

---

## Profile

Experienced graphic and UI/UX designer with a strong background in advertising, marketing agencies, and print production. Specialized in brand identity creation for leading Ukrainian real estate companies. Portfolio includes logos, visual identities, and outdoor advertising displayed across Kyiv, Kharkiv, and other cities throughout Ukraine and Europe. Experienced in working with European clients.

---

## Services

- Landing pages and website design
- UX research
- Logo design and brand identity
- Social media design
- Print material layouts
- Presentations
- Outdoor advertising
- Transport branding

---

## Experience

**Freelance Designer**
- Collaborated with leading Ukrainian real estate companies on brand identity projects
- Developed visual identities, logos, and outdoor advertising campaigns
- Worked with European clients

**Advertising & Marketing Agencies | Print Houses**
- Delivered comprehensive graphic design solutions
- Created print-ready materials and outdoor advertising

---

## Skills

- Graphic Design
- UI/UX Design
- Website Development (Tilda)
- Brand Identity Creation

---

## Personal Qualities

- Excellent organizational and planning skills
- Strong team collaborator
- Passionate about user-friendly design
- Committed to continuous growth in UX/UI design"
54797,"# PROFESSIONAL SUMMARY

Remote Graphic and UI/UX Designer from Ukraine with 4+ years of experience creating user-centric designs for complex and specialized software products, including SaaS services, web apps, and mobile apps. Proven ability to lead design projects from concept through problem-solving to complete UI implementation.

---

# PROFESSIONAL EXPERIENCE

## Product Designer | Stress Point Health Ltd
**April 2018 – June 2020**

- Led UX/UI design project from initial concept through problem-solving to full UI delivery
- Created a mobile app enabling patients to access treatment for stress, anxiety, and trauma
- Combined multiple metric types into clear, human-centered data visualizations
- Developed wireframes, user journey flows, and prototypes for testing
- Facilitated usability testing sessions with 22 volunteers during the first pilot study to identify and resolve usability problems

## UX/UI Designer | ManyRequests
**August 2020 – November 2020**

- Reworked UX and UI of existing product to improve user-friendliness
- Iterated quickly on design versions based on feedback, user testing, and feature response
- Created on-brand design solutions meeting measurable business goals and requirements
- Integrated new platform features according to user needs

## UI/UX and Web Designer | Propeller Digital Company
**May 2016 – December 2019**

- Served as sole designer, taking leadership role in all design decisions
- Designed all visual elements including websites, print materials, and infographics
- Analyzed briefs to scope and define user experience approach and activities
- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets
- Redesigned business presentations, logos, brand identity, and website visual design"
