,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
12,"Професійний досвід:

Customer Support Manager
- Надавав підтримку клієнтам і вирішував їх проблеми
- Впроваджував нові технології та процеси для покращення обслуговування клієнтів

Junior Account Manager
- Розробляв та впроваджував нові послуги для клієнтів
- Керував командою та забезпечував виконання завдань

Senior Account Manager
- Відповідав за успішне ведення проєктів та комунікацію з клієнтами
- Адміністрував роботу менеджерів та контролював виконання завдань

Account Administrator
- Адміністрував роботу команди менеджерів та контролював їх успішність
- Вів 4-5 проєктів паралельно та адміністрував їх

Основні обов'язки на посаді Account Manager:
- Збір вимог від клієнта та написання технічних завдань
- Аналіз даних та розробка рішень для вирішення завдань клієнта
- Впровадження проєктів клієнтів та налаштування інтеграцій з різними сервісами

Мотивація та цілі:
- Досягнення максимального результату у роботі та впровадження нових рішень
- Бажання розвиватись та отримувати нові навички
- Інтерес до участі в житті компанії та можливість кар'єрного росту

Бажання розвиватись у сфері управління та впровадження нових технологій, без акценту на продажах."
13,"Участь у плануванні та реалізації проєкту з переносу даних в нову CRM систему. Адаптація команди до нових процесів, перегляд і автоматизація наявних бізнес-процесів. Досвід роботи як проектний менеджер у Ed-tech компанії. Здобуття навичок у супроводі організаційних та продуктових змін, системного аналізу бізнес-процесів компанії."
14,"20 років досвіду на посаді CEO у шести компаніях, з яких у п'яти я є співзасновником. Мої обов'язки включають формування команди, управління, маркетинг, розробку нових продуктів та послуг, фінансовий менеджмент, маркетинг і рекламу, а також управління продажами. Маю досвід у B2B та B2C секторах, а також у сфері послуг та виробництва. Після війни вирішив спробувати себе в галузі ІТ, закінчив курси з управління проєктами та продовжую поглиблювати свої знання."
15,"- Понад 15 років досвіду в інтеграції промислових систем управління IIoT та корпоративних ІТ-рішень
- Експерт у комплексних рішеннях та послугах з управління продуктивністю активів
- Досвід впровадження проектів автоматизації підприємства та систем управління промисловою автоматизацією
- Виконання ролей архітектора та менеджера проекту зі знанням стандартів ISA/IEC, ATEX, SIL, IEEE/ANSI, API, CISA, ISO, Achilles/ACCP
- Досвід у Pre-Sales та After-Sales, управлінні ризиками
- Експерт у впровадженні рішень ОТ/ІТ в нафтогазовій, хімічній, металургійній та харчовій галузях
- Знання побудови архітектури ОТ/ІТ для вибухонебезпечних зон та критичної інфраструктури
- Досвід аудиту об’єктів впровадження ОТ/ІТ рішень для критичного обладнання"
16,"Досвід:

- SMM, PR, Copywriting, Customer and User Experience, Trade Marketing, Digital Marketing

Досягнення:

- Запуск національних рекламних кампаній
- Кооперація з бренд-амбасадорами
- Вивід нових брендів на ринок
- Оновлення концепту фірмових магазинів та відкриття нових
- Реалізація щорічних маркетингових планів, національних рекламних кампаній та промоакцій (знижки, подарункові акції, іміджеві, накопичувальні, з промокодами та ін.)
- Проведення маркетингових активностей (ATL, BTL, Digital, SMM, Email, Viber)
- Управління крос-функціональною командою (дизайнери, копірайтери, підрядники, трейд-маркетологи, категорійні менеджери, SMM менеджери)
- PR: співпраця з журналами, приватними клініками, спортивними школами, лідерами думок, блогерами та селебретіз
- SMM: розробка контент-планів, просування акаунтів, копірайтинг
- Репутаційний маркетинг (робота з соціальними мережами, відстеження відгуків), покращення іміджу та репутації
- Реалізація стратегії утримання старих та приваблення нових клієнтів
- Постійне спілкування з клієнтами, подальша обробка інформації для створення рекламних кампаній і збільшення ефективності продажів

Професійна команда, орієнтована на досягнення спільних цілей. Чіткі цілі, які мотивують досягати. 

Не працюю з казино, іграми тощо."
17,"Міністерство освіти і науки України (2017-2020)  
Фахівець у пресслужбі міністерства:  
- Написання та редагування пресрелізів  
- Комунікація з медіа, включаючи іноземні ЗМІ  
- Організація брифінгів, пресконференцій, конференцій тощо  
- Ведення сторінок міністерства у соцмережах  
- Брифінг спікерів перед ефірами, створення презентацій та тез  
- Моніторинг діяльності міністерства у ЗМІ через спеціальні моніторингові системи (LOOQME, SoMO тощо)  
- Адміністрування сайту міністерства  
- Куратор напряму інклюзивної освіти у міністерстві від пресслужби  

Український процесінговий центр (2020)  
PR-менеджер:  
- Написання та редагування новин компанії  
- Переклад новин на англійську  
- Створення новинних бюлетнів для українських та іноземних клієнтів (+дизайн)  
- Комунікація з медіа та моніторинг діяльності компанії у ЗМІ  
- Листування з іноземними клієнтами  
- Замовлення корпоративної продукції та спілкування з виконавцями  

Перекладач (фріланс) (2020):  
- Переклад наукових текстів із російської чи української на англійську мову  

Рерайтер (фріланс) (2016-2017):  
- Написання текстів українською, російською та англійською мовами  

Київський годинниковий завод (2016-2017)  
Офіс-менеджер:  
- Забезпечення життєдіяльності офісу  
- Прийом вхідних дзвінків, листів тощо  
- Організація трансферів для гостей та працівників офісу  
- Прийом гостей на ресепшині  

Delta Medical (2016)  
Асистент відділу логістики:  
- Подача вантажно-митних декларацій до бухгалтерії  
- Переклад із англійської рекламацій, листів тощо  
- Внесення даних до бази 1С  
- Складання, підписування кредит-нот тощо  
- Документообіг  

Delta Medical (2015-2016)  
Офіс-менеджер:  
- Забезпечення життєдіяльності офісу  
- Прийом вхідних дзвінків, листів тощо  
- Організація трансферів для гостей та працівників офісу  
- Прийом гостей на ресепшині  "
18,"Запуск власних продуктів та проєктів.  
Досвід управління проектами в ІТ-сфері та інших галузях, керування командами, планування роботи та контроль виконання завдань.  
Запуск самостійних проєктів та участь у спільних ініціативах з іншими командами (веб-сайти, мобільні додатки, чатботи).  
Цікавлять напрямки Blockchain/Crypto та Artificial Intelligence/Machine Learning."
19,"Technical Support Engineer with extensive experience in troubleshooting, software upgrades, bug requests, CMS management, ticket processing, system calibration, POE settings, log analysis, live event monitoring, deep system configurations, root cause analysis, Windows error investigation, bug reporting, customer communication, documentation maintenance, basic technical skills, CRM systems, and query creation. Committed to delivering high-quality support and solutions. Seeking a position that offers career growth opportunities and emphasizes work-life balance, preferably with evening shifts."
20,"Поточна посада:
- Організація та проведення дослідження ринку
- Розробка нових методик розрахунків та технічних завдань
- Постановка задач програмістам
- Управління підготовкою звітності для клієнтів
- Організація взаємодії різних підрозділів
- Автоматизація процесів обробки даних та перевірок
- Організація роботи департаменту, навчання співробітників
- Прогнозування показників ринку

Професійні навички:
- Excel: досвідчений користувач, застосування складних формул, зведених таблиць, діаграм, автоматизація підготовки звітів, написання макросів VBA, використання Power Query, Power Pivot
- PowerBI: завантаження даних, відображення зведеної інформації
- Access: досвідчений користувач, створення, заповнення та оновлення таблиць, написання запитів, обробка даних з використанням макросів
- PowerPoint: досвідчений користувач, побудова діаграм, використання анімації у презентаціях
- SQL: написання запитів на отримання даних з використанням умов, поєднання різних таблиць у запитах
- MapInfo: редагування шарів, об’єднання та розділення полігонів, геокодування точкових об’єктів, оновлення характеристик по входженню в полігон
- QlikView: написання скриптів для забору даних із різних джерел, завантаження та обробка даних (ETL), реалізація логіки розрахунку та відображення зведеної інформації"
21,"I am seeking an opportunity to leverage my experience in delivering value to users while acquiring new skills and knowledge in this domain.

Recent Experience:
- Optimizing business processes and the product creation flow from feature development to final increment
- Coordinating and assisting in resolving operational issues within product teams
- Facilitating cross-functional coordination on business-related issues
- Analyzing waste and deviations
- Aggregating, formalizing, and supporting release requirements (developing and implementing release passports)
- Managing the technical support department
- Creating and managing product pages in stores (AppStore, GooglePlay, Amazon)
- Submitting releases for moderation and supporting them through the review process for full production release
- Communicating with review teams and resolving blockers and deviations during moderation
- Reporting on feature delivery to the business

Skills:
- Agile (Scrum, Kanban), Waterfall, RUP (Basic)
- SAFE (Basic)
- BPMN
- Risk Management
- People Management
- Problem Solving
- English - A2

Tools:
- Jira, Confluence, Asana
- AppStore Connect, Google Play Console
- MS Office, Google Services, Slack, Zoom."
22,"Досвід успішного запуску проектів «з нуля»: від формування команди та визначення функціоналу продукту до його впровадження в продакшн і подальшого супроводження. Понад 4 роки управління ІТ-командами та запуску IT-проектів, а також 2 роки управління проектами в інших сферах. Співпраця з дизайнерами, маркетологами та media-buyer'ами, координація роботи різних команд. Розробка та визначення основного функціоналу продукту з нуля, створення базової документації, розробка прототипів, координація розробки дизайну продукту та його реалізації технічною командою. Шукаю цікавий проект, де зможу ефективно застосувати свої здібності та навички, навчаючись новому від колег і вирішуючи нетривіальні завдання."
23,"Cyborg Studio (digital-агенція)  
02.2021 - теперішній час  
- Організація зустрічей та узгодження плану робіт з замовником.  
- Створення, заповнення та затвердження технічних завдань відповідно до вимог замовника.  
- Участь у розробці маркетингової стратегії.  
- Вирішення проблем та складнощів, що виникають під час роботи над проектом.  
- Координація роботи команди та формування її складу.  
- Моніторинг завантаженості та прогресу виконання завдань кожним членом команди.  
- Підтримка прозорого середовища спілкування між усіма зацікавленими сторонами.  
- Організація фотосесій для створення контенту.  
- Розробка «дорожньої карти» проекту.  
- Відстеження виконання основних етапів проекту та контроль дотримання дедлайнів.  
- Комунікація з замовником та підготовка звітності за результатами виконаної роботи.  

Whaleapp  
01.2019 - 09.2019  
- Написання тестової документації.  
- Ручне тестування програмного забезпечення.  
- Використання Jira, Asana та Android Studio для роботи.  

ТОВ ""ЮОнлайн""  
02.2020 - 08.2020  
- Організація зустрічей та переговорів з клієнтами.  
- Віддалене налаштування навігаційних пристроїв та систем, усунення несправностей.  
- Підтримка користувачів та перевірка працездатності пристроїв.  
- Ведення технічної документації.  "
24,"Менеджер проєктів  
Консалтинг | березень 2022 - зараз  

• Масштабувала компанію з 8 працівників до 130  
• Створила та впровадила курс корпоративного навчання  
• Закінчила Faber School - Школа для керівників та методологів корпоративного онлайн-навчання  
• Пройшла Genius.Space Course “Project Manager for IT”  
• Відвідала освітньо-консалтингову програму Кирила Куницького Бізнес Конструктор - ""Власник бізнесу""  
• 5 років професійно займалась дебатами  

Керівник департаменту розвитку  
Агенція нерухомості Realtor3D | серпень 2019 - березень 2022  

• Розробляла онлайн та офлайн-курси  
• Створювала процесні стандарти, налаштовувала взаємодії постачальників і працівників  
• Розробляла памʼятки та функціональні інструкції для працівників  

Помічник депутата міської ради  
Дніпровська міська рада | квітень 2018 - липень 2019  

• Розробляла курс корпоративного навчання: концепція, бюджет та таймлайни проєкту  
• Проводила зустрічі з підрядниками по проєктах та партнерами  
• Сформувала базу знань компанії, прописала орг. структуру та бізнес-процеси  
• Комунікувала з юридичним, HR, Sales та IT департаментами в спільних проєктах  
• Відкрила і налаштувала роботу філії компанії в Києві  
• Провела як лектор більше ніж 50 тренінгів  

Голова Секретаріату  
ВМГО Федерація Дебатів України | січень 2017 - квітень 2018  

• Організовувала Всеукраїнський Чемпіонат України з Дебатів 2018 (120 осіб) за підтримки Міністерства Молоді й Спорту України та British Council - складала бюджет та вела звітність в державному казначействі  
• Більше ніж 20 заходів (до 150 осіб)  
• Вела лекції про Критичне мислення, Фемінізм, Аргументацію і т.д. (аудиторія до 80 осіб).  "
25,"Понад 5 років досвіду у керуванні власним бізнесом, який був успішно проданий з прибутком.

Володіння HTML, CSS, JavaScript та REACT.

Закінчив курс DAO Project Manager в компанії IAMPM, де здобув навички:

- Управління різними типами договорів;
- Ефективна комунікація з замовником та командою;
- Управління ризиками, ресурсами та часом;
- Робота з діловою кореспонденцією та проєктною документацією;
- Керування очікуваннями замовника;
- Створення WBS, делегування та пріоритизація завдань;
- Презентація рішень, демо-версій та прототипів замовнику.

Рівень англійської Intermediate (B1+), постійне вдосконалення через курси та навчання.

Відкритий, комунікабельний, надійний та відповідальний."
26,"Досягнення у геймдеві:
- Організував роботу невеликої студії, сформував та налаштував процеси всередині студії, що дозволило масштабуватися. На початку роботи в команді було 2 людини, на піку - 14 людей.
- Опубліковано понад 20 проектів в Google Play та App Store.

Досягнення поза геймдевом:
- Працював у маркетингу протягом 8 років, з останніми 3 роками у ролі керівника відділу.
- Створив відділ маркетингу та організував роботу команди, збільшивши її з 2 до 9 осіб.
- Провів ребрендинг двох брендів, розробив та реалізував комунікаційну стратегію, систематизував підходи до управління асортиментом та ціноутворенням, реалізував системний підхід до розробки та виведення продуктів на ринок, досягнувши поставлених фінансових показників.

Досвід у комерційній розробці казуальних та гіперказуальних ігор:
- Роль у проектах - Lead Game Designer/Product Owner більше року.
- Керував проектами, координував роботу внутрішньої команди та аутсорсерів.
- Розробляв ідеї, концепти та механіки для гіперказуальних та казуальних ігор.
- Вів документацію проекту, формував ТЗ для програмістів, художників та аніматорів.
- Розробляв та налаштовував баланс в іграх, інтегрував та налаштовував прості UI, брав участь у перемовинах з паблішерами та супроводжував розробку на всіх етапах.

Навички:
- Підготовка та редагування 2D графіки та елементів UI у Photoshop та Illustrator.
- Робота в Unity, базові знання C#, можливість самостійно складати оточення на рівнях та налаштовувати роботу UI.

Мета:
- Цікавить подальший розвиток у ролі Lead Game Designer."
27,"Звісно, будь ласка, вставте текст вашого резюме сюди, і я допоможу вам його покращити."
28,"8 років досвіду у відеомаркетингу та 2 роки у сфері Gambling та eSports. Експерт у розробці стратегій та просуванні брендів на YouTube. Досвід керування командою дизайнерів, контент-мейкерів, копірайтерів та PPC-фахівців. Відповідальний за бюджетування проєктів, контроль KPI та звітування. Спеціалізуюсь на проєктах, що приносять користь суспільству та змінюють світ на краще.

Навички:
- Розробка креативних концепцій та стратегій просування на YouTube
- Дослідження ринку та аналіз ключових показників
- Управління командою та координація рекламних кампаній в Google Ads
- Організація колаборацій з інфлюенсерами та створення сценаріїв для відеоконтенту
- Організація онлайн-івентів та взаємодія з SMM та Affiliate відділами

Досвід у проведенні навчальних лекцій, крос-продажів послуг агенції, переговорів з клієнтами та роботи з CPA-програмами. Вміння працювати з Jira, Confluence, Trello, Monday та Discord. Базові навички роботи з відео та зображеннями."
