,Position,Moreinfo,Looking For,Highlights,Primary Keyword,English Level,Experience Years,CV,CV_lang,id,__index_level_0__,True Label
44,Junior UI/UX Designer,"Hello :)
 I am a junior UI/UX designer with solid experience in IT as a recruiter, which is more than 3 years. The experience gave me a good understanding of SDLC and IT-business processes.   

 I've spent 4 months learning UI/UX, Figma, design theory and partially CSS/HTML during the course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.

 Also I have been mentored by a senior UI/UX designer who helped me analyze my mistakes and boost my learning process. 

 Mentioning my experience as a designer, I have designed my two pet projects so far:
- A mobile application for Djinni platform. 
- A bill-split mobile application.

Currently I continue working on my new pet-project while I am looking for my first commercial project as a UI/UX designer.","I am searching for a long-term cooperation, which will be a great experience both for me and the company.

I will not consider cooperation with russian/belorussian customers or projects.","- Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.
- Completed two pet-projects: a mobile application for Djinni platform; a bill-split mobile application.",Design,upper,0.5,"- Completed course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.
- Completed two pet-projects: a mobile application for Djinni platform; a bill-split mobile application.
Hello :)
 I am a junior UI/UX designer with solid experience in IT as a recruiter, which is more than 3 years. The experience gave me a good understanding of SDLC and IT-business processes.   

 I've spent 4 months learning UI/UX, Figma, design theory and partially CSS/HTML during the course 'From Zero to Mastery: Web & Mobile Designer in 2022: UI/UX, Figma +more'.

 Also I have been mentored by a senior UI/UX designer who helped me analyze my mistakes and boost my learning process. 

 Mentioning my experience as a designer, I have designed my two pet projects so far:
- A mobile application for Djinni platform. 
- A bill-split mobile application.

Currently I continue working on my new pet-project while I am looking for my first commercial project as a UI/UX designer.
I am searching for a long-term cooperation, which will be a great experience both for me and the company.

I will not consider cooperation with russian/belorussian customers or projects.",en,5c759407-3e8b-50d8-8883-7e76f3ecabb7,122660,0
45,Junior UI/UX Designer,"Hello, I am a UI/UX designer with 1 year experience or more. I have work experience and client communication skills and 20 years of experience as a furniture and interior designer. Have completed many projects in this field over the years. Since the beginning of the war in Ukraine I decided not to waste time and changed my direction in design.  After graduating from ""Alpaca - Tech & Digital School"", currently working as a freelancer. There are working projects of Ukrainian brands. I want to work in a team of professionals with whom I can develop professionally, gain experience and benefit the team with my work. I work in Figma, Photoshop, Illustrator. I took a course Webflow, I have an understanding of HTML and CSS. Skills: Target audience research, sitemap, user map, UIKIT, components, autolayout, wireframing, prototiping, knowledge of hierarchy, colour and typography.",,"For me, the achievement is the full path I have travelled from creating a website design for an online shop of a Ukrainian brand of women's clothing, to its release on the Internet. Joint development of the site, purchase of domain and hosting, connection to the payment system. The ease and accessibility of the site led to an increase in sales of my client's goods.",Design,intermediate,1.0,"For me, the achievement is the full path I have travelled from creating a website design for an online shop of a Ukrainian brand of women's clothing, to its release on the Internet. Joint development of the site, purchase of domain and hosting, connection to the payment system. The ease and accessibility of the site led to an increase in sales of my client's goods.
Hello, I am a UI/UX designer with 1 year experience or more. I have work experience and client communication skills and 20 years of experience as a furniture and interior designer. Have completed many projects in this field over the years. Since the beginning of the war in Ukraine I decided not to waste time and changed my direction in design.  After graduating from ""Alpaca - Tech & Digital School"", currently working as a freelancer. There are working projects of Ukrainian brands. I want to work in a team of professionals with whom I can develop professionally, gain experience and benefit the team with my work. I work in Figma, Photoshop, Illustrator. I took a course Webflow, I have an understanding of HTML and CSS. Skills: Target audience research, sitemap, user map, UIKIT, components, autolayout, wireframing, prototiping, knowledge of hierarchy, colour and typography.
",en,056ff5a8-eeb2-5ec0-abc3-7f637f798f9c,122661,0
46,Junior UI/UX Designer,"Hello! I am self-motivated designer and I'm looking for a full-time UI/UX designer position.
Finished web designer courses at KAMA, participated in design marathons from IT schools.

I have some freelancing experience. For example, one of the projects is a landing page for the Employment Abroad agency. Within the framework of the project, a brief, terms of reference, creation of a prototype and interface design were carried out.

I have experience creating:
- landing pages
- adaptive design (mobile and web interfaces)
- basic animation (in Figma)
- prototyping
- UI kit
 
In addition, I have 4 years of experience as a graphic designer.
For the last 2 years I worked in a company where my main responsibilities included:
- graphic support of content in social networks
- development of creatives for targeting
- design and prepress preparation of printing materials in accordance with the brand book
- development of the concept and layout of catalogs
- photo retouching
- website redesign, graphic content (adaptive banners, icons), content selection

Software Skills:
- Figma
- Adobe  Photoshop
- Adobe  llustrator
- Tilda",,,Design,intermediate,1.0,"
Hello! I am self-motivated designer and I'm looking for a full-time UI/UX designer position.
Finished web designer courses at KAMA, participated in design marathons from IT schools.

I have some freelancing experience. For example, one of the projects is a landing page for the Employment Abroad agency. Within the framework of the project, a brief, terms of reference, creation of a prototype and interface design were carried out.

I have experience creating:
- landing pages
- adaptive design (mobile and web interfaces)
- basic animation (in Figma)
- prototyping
- UI kit
 
In addition, I have 4 years of experience as a graphic designer.
For the last 2 years I worked in a company where my main responsibilities included:
- graphic support of content in social networks
- development of creatives for targeting
- design and prepress preparation of printing materials in accordance with the brand book
- development of the concept and layout of catalogs
- photo retouching
- website redesign, graphic content (adaptive banners, icons), content selection

Software Skills:
- Figma
- Adobe  Photoshop
- Adobe  llustrator
- Tilda
",en,a6f77bdc-2691-5f93-a49e-45e609c457eb,122663,0
47,Junior UI/UX Designer,"Hello! I have a lot of experience working with advertising, printing products and managing full-scale advertising projects.
Now I work as a UI/UX designer, I am constantly improving my skills and I really like it!
I have interesting experience as a team leader in several large projects, here are some of them:

Project Experience

Redesign
Site, complete design cycle
Complete redesign of the sports bar website. 
The site was very outdated and difficult to use. 
The goal was to update the visual part as well as an easy-to-use site with the possibility to book tables. 
The project was developed for users.
It was also fully adapted for tablets and mobile phones.

Webservice
Web service, full design cycle
Medical service for finding and making an appointment with a doctor.
The goal was to create a convenient native service for patients and doctors. A user interface, an interface for a doctor, and an interface for online consultation were developed. Adaptations for tablets and mobile phones were also created.","I expect new acquaintances, interesting projects and a friendly and cool team","Was a team leader in the project ""Webservice”;
Creation of a medical web service;
Several cases of website redesign;
Creation of product platform design.",Design,pre,0.0,"Was a team leader in the project ""Webservice”;
Creation of a medical web service;
Several cases of website redesign;
Creation of product platform design.
Hello! I have a lot of experience working with advertising, printing products and managing full-scale advertising projects.
Now I work as a UI/UX designer, I am constantly improving my skills and I really like it!
I have interesting experience as a team leader in several large projects, here are some of them:

Project Experience

Redesign
Site, complete design cycle
Complete redesign of the sports bar website. 
The site was very outdated and difficult to use. 
The goal was to update the visual part as well as an easy-to-use site with the possibility to book tables. 
The project was developed for users.
It was also fully adapted for tablets and mobile phones.

Webservice
Web service, full design cycle
Medical service for finding and making an appointment with a doctor.
The goal was to create a convenient native service for patients and doctors. A user interface, an interface for a doctor, and an interface for online consultation were developed. Adaptations for tablets and mobile phones were also created.
I expect new acquaintances, interesting projects and a friendly and cool team",en,52af0e09-30cd-5c2e-882e-6eb18a11cbd7,122664,0
48,Junior UI/UX Designer,"Hello! 

I have:
— Great knowledge of Figma (auto-layout, components, variants, styles, plugins, animation, prototyping);
— Great knowledge of WebFlow (CMS, responsive, animations, publishing, integrations);
— Experience in creating UI kits and working with design systems;
— Great visual skills approved by my previous manager and my Projector mentor;
— Experience in stakeholder and user interviews;
— Experience in user testing;
— Basic knowledge of HTML/CSS and Bootstrap;
— With attention to detail and the ability to generate and propose ideas.

I've worked in these domains:
UI: clothes shop (web and mobile app), dentistry, public transport app, electronic document management system.
UX and UI: pizza delivery, recruitment & job board sites.",I am looking for a Junior UI/UX Designer position in a friendly team with a mentor to help me develop and gain experience.,"I designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, with which he spoke to the mayors of Ukraine's large cities and promoted digital transformation.",Design,upper,1.0,"I designed a presentation for Mikhail Fedorov, the Minister of Digital Transformation of Ukraine, with which he spoke to the mayors of Ukraine's large cities and promoted digital transformation.
Hello! 

I have:
— Great knowledge of Figma (auto-layout, components, variants, styles, plugins, animation, prototyping);
— Great knowledge of WebFlow (CMS, responsive, animations, publishing, integrations);
— Experience in creating UI kits and working with design systems;
— Great visual skills approved by my previous manager and my Projector mentor;
— Experience in stakeholder and user interviews;
— Experience in user testing;
— Basic knowledge of HTML/CSS and Bootstrap;
— With attention to detail and the ability to generate and propose ideas.

I've worked in these domains:
UI: clothes shop (web and mobile app), dentistry, public transport app, electronic document management system.
UX and UI: pizza delivery, recruitment & job board sites.
I am looking for a Junior UI/UX Designer position in a friendly team with a mentor to help me develop and gain experience.",en,635a8292-0155-514e-9a5d-21bca9545d86,122665,0
49,Junior UI/UX Designer,"Hello. I'm a junior UI/UX designer. I've mastered Figma and Adobe Photoshop. Speaking about my skills I know how to design landings, websites, mobile-apps. Due to this I'm good at core technical skills. Also my soft skills help me to be a good Team-player and a Problem-solver. I'm really energetic ,a great communicator and an organized person. I'm a quick and responsible learner, who likes to gain new knowledge and perform complex tasks. My passion is to create a helpful and intuitive user interface, which makes a positive impact on the user experience. I'm open to internship or job offers. 

Projects Experience

- PetDetective – Webservice
A platform that will help owners of lost animals find them faster and provides an opportunity to become a volunteer and help in the search for missing animals. I analyzed competitor sites, interviewed potential users and found out what functionality they need for convenient use. This service has a lot of useful information about animals and what people need to do when they find a lost pet.

- Cucina di Catharina – Website redesign
The main goal was to update the website of the homemade traditional Italian gravy. I structured the information on the site, added new quality photos, reduced the amount of content and made a CTA button, used a palette of accent colors.

- Mobile app PresentPerfect
It is a mobile app that allows users to send
personalized gifts with just a few taps. I used Material Design System for create this project.  I analyzed competitor apps, interviewed potential users and found out what functionality they need for ease of use. I created user personas and user flow. This app has more than 40+ screens and focuses on details, all pages have been animated.

- Dashboard for IT school
The main goal of this project was to create a dashboard for a student and teacher of an IT school, which will display the main metrics.

- Landing page Timeless Home
The main goal was to make visitors feel welcome, help them discover our watches, and encourages them to make a purchase or take a desired action. I created intuitive user interface, well-read structure with the right accents keep the user’s attention.","•	Career growth
•	Focus on results and open team
•	Possibility of remote or partially remote work
•	Corporate culture, work ethic and the value of each employee","I have a good background in theory and my experience in the pharmaceutical field helps me to think about the user and create user-centered design. As part of the training course, I completed 5 projects. Thanks to this, I learned how to create a mobile application, landing page, dashboard, web service, website redesign. Analyzed competitor sites, conducted surveys among potential service users, created User Flow and CJM.",Design,pre,0.0,"I have a good background in theory and my experience in the pharmaceutical field helps me to think about the user and create user-centered design. As part of the training course, I completed 5 projects. Thanks to this, I learned how to create a mobile application, landing page, dashboard, web service, website redesign. Analyzed competitor sites, conducted surveys among potential service users, created User Flow and CJM.
Hello. I'm a junior UI/UX designer. I've mastered Figma and Adobe Photoshop. Speaking about my skills I know how to design landings, websites, mobile-apps. Due to this I'm good at core technical skills. Also my soft skills help me to be a good Team-player and a Problem-solver. I'm really energetic ,a great communicator and an organized person. I'm a quick and responsible learner, who likes to gain new knowledge and perform complex tasks. My passion is to create a helpful and intuitive user interface, which makes a positive impact on the user experience. I'm open to internship or job offers. 

Projects Experience

- PetDetective – Webservice
A platform that will help owners of lost animals find them faster and provides an opportunity to become a volunteer and help in the search for missing animals. I analyzed competitor sites, interviewed potential users and found out what functionality they need for convenient use. This service has a lot of useful information about animals and what people need to do when they find a lost pet.

- Cucina di Catharina – Website redesign
The main goal was to update the website of the homemade traditional Italian gravy. I structured the information on the site, added new quality photos, reduced the amount of content and made a CTA button, used a palette of accent colors.

- Mobile app PresentPerfect
It is a mobile app that allows users to send
personalized gifts with just a few taps. I used Material Design System for create this project.  I analyzed competitor apps, interviewed potential users and found out what functionality they need for ease of use. I created user personas and user flow. This app has more than 40+ screens and focuses on details, all pages have been animated.

- Dashboard for IT school
The main goal of this project was to create a dashboard for a student and teacher of an IT school, which will display the main metrics.

- Landing page Timeless Home
The main goal was to make visitors feel welcome, help them discover our watches, and encourages them to make a purchase or take a desired action. I created intuitive user interface, well-read structure with the right accents keep the user’s attention.
•	Career growth
•	Focus on results and open team
•	Possibility of remote or partially remote work
•	Corporate culture, work ethic and the value of each employee",en,ddb222fb-b8e1-551a-8956-73e9830fdf7d,122668,0
50,Junior UI/UX Designer,"Hello, I'm a UI/UX designer actively seeking job opportunities. I'm enthusiastic about taking on challenges and expanding my knowledge. My goal - create innovative, user-centered designs that enhance the interaction between people and technology. I'm looking for a chance to implement my ideas and grow in this field.

During my studies and some non-profit charity projects:
- Acquired proficiency in design tools and software such as Figma, Adobe XD, Adobe Photoshop.
- Possessed knowledge of color theory, typography, composition, and other design elements.
- Conducted independent research and comparison of the client's competitors, analysis of raw data from the client with a focus on understanding user needs; created user personas, and solved their problems through design.
- Developed concepts and references for the customers.
- Developed design and functionality of adaptive sites.
- Prepared graphic materials for websites.
- Studied theoretical and practical aspects of UI/UX design, emphasizing on crafting intuitive and aesthetically pleasing user experiences.","I'm looking for jobs as a UI/UX designer. I want to work on projects where I can apply my skills, be part of a welcoming and encouraging team, and associate with professionals in the field. I'm prepared for difficulties and ongoing professional development.","During my studies, I had practical experience in building websites, landing pages, and mobile applications. I have worked with design tools like Figma and Adobe. Also, I have conducted UX research, created wireframes and animated prototypes. 
I am a friendly, organized, and reliable person. I can handle pressure and work well in stressful situations. I have strong teamwork skills and always strive to improve. I want professional growth and improvement of my skills.",Design,upper,0.5,"During my studies, I had practical experience in building websites, landing pages, and mobile applications. I have worked with design tools like Figma and Adobe. Also, I have conducted UX research, created wireframes and animated prototypes. 
I am a friendly, organized, and reliable person. I can handle pressure and work well in stressful situations. I have strong teamwork skills and always strive to improve. I want professional growth and improvement of my skills.
Hello, I'm a UI/UX designer actively seeking job opportunities. I'm enthusiastic about taking on challenges and expanding my knowledge. My goal - create innovative, user-centered designs that enhance the interaction between people and technology. I'm looking for a chance to implement my ideas and grow in this field.

During my studies and some non-profit charity projects:
- Acquired proficiency in design tools and software such as Figma, Adobe XD, Adobe Photoshop.
- Possessed knowledge of color theory, typography, composition, and other design elements.
- Conducted independent research and comparison of the client's competitors, analysis of raw data from the client with a focus on understanding user needs; created user personas, and solved their problems through design.
- Developed concepts and references for the customers.
- Developed design and functionality of adaptive sites.
- Prepared graphic materials for websites.
- Studied theoretical and practical aspects of UI/UX design, emphasizing on crafting intuitive and aesthetically pleasing user experiences.
I'm looking for jobs as a UI/UX designer. I want to work on projects where I can apply my skills, be part of a welcoming and encouraging team, and associate with professionals in the field. I'm prepared for difficulties and ongoing professional development.",en,166d832d-1815-509a-aaf3-9953337f02c2,122669,0
51,Junior UI/UX Designer,"Hello , I’m James , a Product Designer skilled in creating intuitive interactions and experiences driven by empathy and innovative thinking.

I am a goal-driven and self-motivated person who is always seeking new challenges and responsibilities. I thrive on learning new things and developing systems that make people's lives much simpler.

With experience as a UI/UX Designer, Webflow Developer, WordPress Developer, and Shopify Developer, I bring a diverse set of skills to the table. I have a keen eye for design and a deep understanding of user experience principles, allowing me to craft engaging and impactful digital products.

During my internship at Zuri Team, Inc., I had the privilege of serving as the design lead for Team 70. Together, we worked on a project called ICON CITY, a responsive platform that enables developers, designers, and creatives to generate favicons for their projects. This experience allowed me to showcase my leadership skills and collaborate with a diverse team to deliver a successful product.

I am now actively seeking new opportunities where I can apply my skills and contribute to the creation of exceptional digital experiences. If you are looking for a passionate and dedicated Product Designer with a knack for problem-solving and an eye for detail, I would love to connect and explore potential collaborations.

Let's shape the future together through intuitive design and remarkable user experiences. Feel free to reach out to me, and let's discuss how we can create something amazing!",,,Design,fluent,1.0,"
Hello , I’m James , a Product Designer skilled in creating intuitive interactions and experiences driven by empathy and innovative thinking.

I am a goal-driven and self-motivated person who is always seeking new challenges and responsibilities. I thrive on learning new things and developing systems that make people's lives much simpler.

With experience as a UI/UX Designer, Webflow Developer, WordPress Developer, and Shopify Developer, I bring a diverse set of skills to the table. I have a keen eye for design and a deep understanding of user experience principles, allowing me to craft engaging and impactful digital products.

During my internship at Zuri Team, Inc., I had the privilege of serving as the design lead for Team 70. Together, we worked on a project called ICON CITY, a responsive platform that enables developers, designers, and creatives to generate favicons for their projects. This experience allowed me to showcase my leadership skills and collaborate with a diverse team to deliver a successful product.

I am now actively seeking new opportunities where I can apply my skills and contribute to the creation of exceptional digital experiences. If you are looking for a passionate and dedicated Product Designer with a knack for problem-solving and an eye for detail, I would love to connect and explore potential collaborations.

Let's shape the future together through intuitive design and remarkable user experiences. Feel free to reach out to me, and let's discuss how we can create something amazing!
",en,95052812-cd5a-5ae7-ba61-e6b9f4a10ab7,122671,0
52,Junior UI/UX Designer,"Hello, I specialize in UI/UX Designer. I develop landing pages, web services, mobile applications, adaptation for various devices, and redesign websites. My approach to work is to conduct an initial analysis of the needs of the client and potential competitors, create goals and achieve them by adapting to the target audience, take a step-by-step approach from low-fidelity to high-fidelity prototypes, create a visual style and its animation, and prepare for the website implementation. My task is primarily to create a convenient, understandable, relevant and attractive website for the audience in order to attract more visitors, simplify the process of user interaction with the product and achieve business goals. I have experience working on some of my own and team projects, here are some of them: 

- Web-service Handyhelper:
     I created the Handyhelper web service together with my team. On the one hand, it is a service for finding performers by categories of choice, and on the other hand, it is a freelance exchange for workers to find work by categories of recruitment. The task of the project was the development of an MVP for the service, which would have ease and clarity of use, a sense of security and reliability for the users. My role in this project focused on developing the interaction with the job seeker. I created a user persona, built a user flow, created hi-fi prototypes, worked on the user interface, animated prototypes, and adapted the pages for tablets and mobile phones.
    
-  Redesign of the website of Mainsail realty Company:
The site provides services for searching for real estate and selecting suitable real estate agents. My task was to modernize the site's interface, make it clear and simple for users, and develop adaptation for tablets and phones. In the course of my work, I analyzed competitors to increase the company's relevance, developed a detailed redesign prototype with specific changes in the structure of reviews and property cards, selected typography and visual concept of the site, and finally adapted it to different devices.","I'm looking for a full-time job in a company with a friendly and supportive team working on interesting projects, focused on development and result-oriented. I am interested in the possibility of career growth and partial remote work. 
I am a quick learner, diligent and responsible, ready to solve the tasks assigned to me.",,Design,intermediate,0.0,"
Hello, I specialize in UI/UX Designer. I develop landing pages, web services, mobile applications, adaptation for various devices, and redesign websites. My approach to work is to conduct an initial analysis of the needs of the client and potential competitors, create goals and achieve them by adapting to the target audience, take a step-by-step approach from low-fidelity to high-fidelity prototypes, create a visual style and its animation, and prepare for the website implementation. My task is primarily to create a convenient, understandable, relevant and attractive website for the audience in order to attract more visitors, simplify the process of user interaction with the product and achieve business goals. I have experience working on some of my own and team projects, here are some of them: 

- Web-service Handyhelper:
     I created the Handyhelper web service together with my team. On the one hand, it is a service for finding performers by categories of choice, and on the other hand, it is a freelance exchange for workers to find work by categories of recruitment. The task of the project was the development of an MVP for the service, which would have ease and clarity of use, a sense of security and reliability for the users. My role in this project focused on developing the interaction with the job seeker. I created a user persona, built a user flow, created hi-fi prototypes, worked on the user interface, animated prototypes, and adapted the pages for tablets and mobile phones.
    
-  Redesign of the website of Mainsail realty Company:
The site provides services for searching for real estate and selecting suitable real estate agents. My task was to modernize the site's interface, make it clear and simple for users, and develop adaptation for tablets and phones. In the course of my work, I analyzed competitors to increase the company's relevance, developed a detailed redesign prototype with specific changes in the structure of reviews and property cards, selected typography and visual concept of the site, and finally adapted it to different devices.
I'm looking for a full-time job in a company with a friendly and supportive team working on interesting projects, focused on development and result-oriented. I am interested in the possibility of career growth and partial remote work. 
I am a quick learner, diligent and responsible, ready to solve the tasks assigned to me.",en,dec5dfb0-b117-5ec5-839b-866fe3039bf7,122674,0
53,Junior UI/UX Designer,"Hello) I studied UI/UX design at Go IT. I aspire to work as a junior web designer on interesting projects in a friendly team of professionals, improve my qualifications, learn new things and quickly develop further. I have a great desire to work together with the team on the development, rating and stability of the company.
While studying, I created the ""Sugaring"" landing page for the sugaring salon; redesigned the website of Indian cuisine ""Indian Cafe"" and worked on a joint project: a web service for finding lost animals ""Animal Stories"".
Used such technologies as: Competitive Analysis, User Personas + JTBD, Customer Journey Map, Brain Storming, User Flow, Wireframes, Visual Design, Adaptation.","Open to all proposals for UI/UX Design (landings, websites and services, mobile applications, etc.)","While studying, I created the ""Sugaring"" landing page for the sugaring salon; redesigned the website of Indian cuisine ""Indian Cafe"" and worked on a joint project: a web service for finding lost animals ""Animal Stories"".",Design,intermediate,0.0,"While studying, I created the ""Sugaring"" landing page for the sugaring salon; redesigned the website of Indian cuisine ""Indian Cafe"" and worked on a joint project: a web service for finding lost animals ""Animal Stories"".
Hello) I studied UI/UX design at Go IT. I aspire to work as a junior web designer on interesting projects in a friendly team of professionals, improve my qualifications, learn new things and quickly develop further. I have a great desire to work together with the team on the development, rating and stability of the company.
While studying, I created the ""Sugaring"" landing page for the sugaring salon; redesigned the website of Indian cuisine ""Indian Cafe"" and worked on a joint project: a web service for finding lost animals ""Animal Stories"".
Used such technologies as: Competitive Analysis, User Personas + JTBD, Customer Journey Map, Brain Storming, User Flow, Wireframes, Visual Design, Adaptation.
Open to all proposals for UI/UX Design (landings, websites and services, mobile applications, etc.)",en,8d1adbc4-5625-5007-8996-3e99b01a7568,122675,0
54,Junior UI/UX Designer,"Hello, my goal is to make web and mobile applications simpler and more user-friendly. I am interested in modern trends and technologies in web design. I am skilled at working in a team and on multiple projects simultaneously. I am always open to new ideas and ready to gain experience in creating efficient interfaces.


The mobile app of the crypto exchange ""ALTIMA"" was an independent project with the aim of creating a reliable and user-friendly service, making cryptocurrency trading simple and understandable for everyone. It features a minimalist interface designed for simplicity and ease of use, as well as fast verification through ""ДІЯ"" and facial recognition.

""WashHouse""
The idea of the project was to create a web service that would make the process of ordering cleaning services simple and convenient for both clients and service providers, without the need for a personal meeting, while offering the option of secure online payment.

In my projects, I utilize various UX research methods to create intuitive and effective designs.
Figma and Adobe PS/AI allow me to create graphics, illustrations, and prototypes. Protopie helps me build highly accurate interactive prototypes.
I also draw inspiration from articles by Nelson Norman Group.","Understanding the needs and behavior of users and ensuring convenience and ease of use for the product are essential to me. I am ready to collaborate with developers and the team to effectively convey my ideas and ensure the successful implementation of the project. Continuous improvement of my skills and knowledge is important to me, and I will value support in my professional growth.","I have achievements in the development of landing pages, web services and a mobile application for a crypto exchange.
I also worked in an advertising and printing agency as a graphic designer and manager",Design,pre,1.0,"I have achievements in the development of landing pages, web services and a mobile application for a crypto exchange.
I also worked in an advertising and printing agency as a graphic designer and manager
Hello, my goal is to make web and mobile applications simpler and more user-friendly. I am interested in modern trends and technologies in web design. I am skilled at working in a team and on multiple projects simultaneously. I am always open to new ideas and ready to gain experience in creating efficient interfaces.


The mobile app of the crypto exchange ""ALTIMA"" was an independent project with the aim of creating a reliable and user-friendly service, making cryptocurrency trading simple and understandable for everyone. It features a minimalist interface designed for simplicity and ease of use, as well as fast verification through ""ДІЯ"" and facial recognition.

""WashHouse""
The idea of the project was to create a web service that would make the process of ordering cleaning services simple and convenient for both clients and service providers, without the need for a personal meeting, while offering the option of secure online payment.

In my projects, I utilize various UX research methods to create intuitive and effective designs.
Figma and Adobe PS/AI allow me to create graphics, illustrations, and prototypes. Protopie helps me build highly accurate interactive prototypes.
I also draw inspiration from articles by Nelson Norman Group.
Understanding the needs and behavior of users and ensuring convenience and ease of use for the product are essential to me. I am ready to collaborate with developers and the team to effectively convey my ideas and ensure the successful implementation of the project. Continuous improvement of my skills and knowledge is important to me, and I will value support in my professional growth.",en,58eb2db8-7917-53f1-a449-892aa6b1534a,122677,0
55,Junior UI/UX Designer,"Hello, my name is Alina. I am a Junior UI/UX designer. I've been designing for six months. I'm ready for new challenges and committed to continuous growth.
Hard skills:
- Prototypes
- Typography
- UI design
- UX design
My instrument: 
- Figma:
- Canva
- Adobe Photoshop 

Highly motivated and skilled designer with a passion for creating captivating user experiences. Expertise in web design, market analysis, and delivering aesthetically pleasing solutions. Strong collaborator, effective communicator. Committed to staying current with design trends and dedicated to delivering excellence in every project.
I love connection with new people","I am looking for a remote job in a company that strives to make everyday life and business easier, more productive and convenient.
I like to learn new things and develop.","During my academic journey, I have achieved significant milestones in the field of design. One of my notable accomplishments was the design project for a beauty salon website. Taking on this project, I meticulously researched and analyzed competitors in the industry, thoroughly examining their websites and identifying areas for improvement. Through the process of creating a mood board, I was able to capture the essence and desired aesthetic of the salon.

Building upon this foundation, I proceeded to develop detailed wireframes that laid out the website's structure and functionality. This stage required thoughtful consideration of user experience and navigation, ensuring that the design would effectively meet the salon's objectives. Finally, I implemented a visually appealing and cohesive design, incorporating the salon's branding elements, color schemes, and typography to create an engaging and professional website.

In another design project, I had the opportunity to work on a web service for a cleaning company. This project involved thorough audience research, enabling me to gain valuable insights into the target market's preferences and expectations. Utilizing the Design Thinking methodology, I went through the Define, Ideate, and Design phases to develop an innovative and user-friendly interface.

Furthermore, recognizing the importance of accessibility and responsiveness, I ensured the design's adaptability for various devices. Through careful consideration and testing, I successfully implemented an adaptive design that provided an optimal user experience across tablets and mobile devices.

These achievements in my academic pursuits showcase my ability to apply design principles, conduct thorough research, and create visually appealing and functional solutions. I am proud of these accomplishments, as they have allowed me to refine my skills in design thinking, user experience, and visual aesthetics.

I am excited to further enhance my abilities and contribute my expertise to future design projects, continually striving for excellence and innovation in the field.",Design,pre,0.5,"During my academic journey, I have achieved significant milestones in the field of design. One of my notable accomplishments was the design project for a beauty salon website. Taking on this project, I meticulously researched and analyzed competitors in the industry, thoroughly examining their websites and identifying areas for improvement. Through the process of creating a mood board, I was able to capture the essence and desired aesthetic of the salon.

Building upon this foundation, I proceeded to develop detailed wireframes that laid out the website's structure and functionality. This stage required thoughtful consideration of user experience and navigation, ensuring that the design would effectively meet the salon's objectives. Finally, I implemented a visually appealing and cohesive design, incorporating the salon's branding elements, color schemes, and typography to create an engaging and professional website.

In another design project, I had the opportunity to work on a web service for a cleaning company. This project involved thorough audience research, enabling me to gain valuable insights into the target market's preferences and expectations. Utilizing the Design Thinking methodology, I went through the Define, Ideate, and Design phases to develop an innovative and user-friendly interface.

Furthermore, recognizing the importance of accessibility and responsiveness, I ensured the design's adaptability for various devices. Through careful consideration and testing, I successfully implemented an adaptive design that provided an optimal user experience across tablets and mobile devices.

These achievements in my academic pursuits showcase my ability to apply design principles, conduct thorough research, and create visually appealing and functional solutions. I am proud of these accomplishments, as they have allowed me to refine my skills in design thinking, user experience, and visual aesthetics.

I am excited to further enhance my abilities and contribute my expertise to future design projects, continually striving for excellence and innovation in the field.
Hello, my name is Alina. I am a Junior UI/UX designer. I've been designing for six months. I'm ready for new challenges and committed to continuous growth.
Hard skills:
- Prototypes
- Typography
- UI design
- UX design
My instrument: 
- Figma:
- Canva
- Adobe Photoshop 

Highly motivated and skilled designer with a passion for creating captivating user experiences. Expertise in web design, market analysis, and delivering aesthetically pleasing solutions. Strong collaborator, effective communicator. Committed to staying current with design trends and dedicated to delivering excellence in every project.
I love connection with new people
I am looking for a remote job in a company that strives to make everyday life and business easier, more productive and convenient.
I like to learn new things and develop.",en,adcd869b-63bf-5575-8c17-3c838ef53047,122678,0
