,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 Google Score
98295,85.963
98296,83.247
98297,85.899
98298,85.975
98299,86.716
98300,88.013
98301,85.5
98302,86.431
98303,86.615
98304,86.885
98305,85.942
98306,86.04
98307,85.655
98308,84.931
98309,82.613
98310,83.263
98311,86.959
98312,88.001
98313,85.55
98314,89.216
98315,86.079
98316,85.789
98317,85.976
98318,86.255
98319,86.668
98320,87.446
98321,85.713
98322,88.389
98323,88.365
98324,86.934
98325,86.404
98326,81.74
98327,81.18
98328,85.811
98329,84.26
98330,81.802
98331,79.276
98332,82.825
98333,85.558
98334,78.424
98335,83.606
98336,80.897
98337,85.022
98338,80.612
98339,83.79
98340,85.827
98341,87.204
98342,86.28
98343,83.324
98344,86.776
98345,85.039
98346,84.367
98347,83.769
98348,80.068
98349,87.443
98350,87.364
98351,86.632
98352,83.396
98353,84.193
98354,77.459
98355,82.71
98356,84.193
98357,77.912
98358,87.2
98359,80.93
98360,75.939
98361,86.036
98362,82.669
98363,80.613
98364,80.671
98365,84.041
98366,77.836
98367,82.926
98368,80.933
98369,87.641
98370,87.122
98371,86.82
98372,86.23
98373,78.855
98374,86.873
98375,83.062
98376,80.733
98377,85.109
98378,85.794
98379,89.215
98380,86.284
98381,80.86
98382,87.097
98383,84.782
98384,79.474
98385,84.119
98386,80.159
98387,84.136
98388,87.295
98389,85.612
98390,82.49
98391,85.514
98392,83.645
98393,83.295
98394,86.986
98395,88.507
98396,85.518
98397,84.089
98398,85.316
98399,79.413
98400,80.102
98401,82.264
98402,86.281
1747,81.449
1784,80.777
2476,81.194
2515,80.544
2517,77.041
2529,79.557
2538,78.434
2551,82.14
2553,77.734
2554,85.249
2555,79.305
2556,79.96
2577,79.789
2582,79.459
2583,78.568
2584,79.736
2585,79.145
2586,80.05
2587,78.467
2588,77.987
2589,80.3
2590,79.318
2591,79.731
2592,80.717
2594,79.279
2595,79.54
2597,82.382
2645,80.099
2654,78.79
2655,79.415
2656,78.965
2657,80.302
2658,77.755
2659,79.022
2660,78.611
2741,77.874
2766,79.421
2793,79.875
2810,75.867
2824,79.782
3002,78.107
3021,79.216
3093,80.262
3105,77.439
3113,79.578
3118,82.608
3120,77.413
3122,79.319
3123,79.559
3133,80.91
3134,79.736
3135,80.364
3136,80.558
3137,79.2
3138,78.538
3139,79.503
3140,78.259
3141,79.789
3142,78.487
3143,79.035
3144,76.854
3145,75.798
3146,77.628
3147,80.32
3148,79.156
3149,79.71
3150,80.524
3153,80.139
3155,76.715
3156,80.228
3157,80.099
3158,79.078
3159,77.928
3160,81.767
3161,79.989
3162,78.283
3186,80.902
3225,78.751
3315,77.773
3321,78.626
3332,78.51
5877,78.35
5981,79.77
6043,80.3
6078,79.802
6081,81.885
6082,81.597
6090,78.232
6127,83.07
6211,79.32
6213,82.043
6214,78.466
6231,77.804
6232,80.171
6233,77.492
6239,78.314
6240,78.615
6254,81.131
6255,78.179
6342,76.119
7630,80.984
7654,77.337
8890,78.952
8916,76.324
9028,80.01
9066,78.715
9445,80.317
9542,80.068
9546,79.113
9547,79.166
9583,77.095
9587,76.307
12037,82.198
12116,77.124
12122,79.257
12124,78.719
12141,77.899
12143,80.509
12149,79.896
12161,78.529
12252,81.988
12408,77.387
12409,77.737
12410,82.837
12418,80.388
12422,79.254
12435,77.246
12436,77.835
12437,79.659
12447,82.013
12448,81.994
12449,79.121
12450,77.963
12451,78.759
12452,78.908
12453,77.774
12454,78.385
12455,80.198
12456,78.717
12457,81.064
12458,80.081
12459,79.13
12460,80.21
12461,79.944
12462,78.528
12463,81.979
12464,81.85
12465,79.159
12466,79.631
12467,80.801
12468,77.61
12469,77.083
12470,84.543
12471,78.777
12472,81.253
12473,78.66
12474,79.806
12475,80.132
12476,80.405
12477,79.35
12478,82.483
12479,77.718
12480,79.903
12481,75.601
12482,82.165
12483,79.915
12484,78.36
12485,78.132
12486,78.222
12487,80.48
12488,78.457
12489,76.399
12490,78.736
12491,79.407
12492,79.596
12493,79.193
12494,80.583
12495,82.065
12496,77.754
12497,83.612
12498,79.756
12499,78.449
12500,78.189
12501,74.958
12502,78.031
12503,76.92
12504,79.063
12505,80.518
12506,80.486
12507,79.392
12508,77.491
12509,80.772
12510,80.141
12511,78.886
12512,80.445
12513,78.347
12514,82.693
12515,79.614
12516,78.969
12518,80.347
12519,78.463
12520,80.804
12521,79.347
12523,83.817
12525,85.917
12526,79.372
12527,82.847
12528,79.638
12529,79.066
12530,76.841
12531,77.503
12532,78.911
12533,78.78
12565,82.123
12656,80.025
12674,80.697
12687,82.442
12736,79.943
13078,75.079
13080,80.101
13146,80.862
13147,79.515
13148,79.332
13149,79.037
13150,79.702
13196,79.839
13382,79.966
13461,77.593
13475,79.565
13477,77.275
13537,80.846
13893,77.328
13897,76.916
14744,75.582
14862,82.151
14882,82.621
14890,78.524
14906,79.013
14907,80.164
14914,75.961
14916,77.847
14930,81.761
14932,77.897
14939,77.977
14947,78.71
15180,77.712
15240,79.146
15339,80.301
15419,76.59
15425,78.662
15426,81.508
15474,81.262
15519,81.477
15524,80.248
15589,77.536
15679,77.479
15743,77.65
16036,82.235
16039,79.12
16064,82.334
