,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 DoorDash Score
3332,79.797
5877,78.85
5981,84.209
6043,83.76
6078,82.017
6081,81.656
6082,82.89
6090,80.991
6127,85.345
6211,81.274
6213,83.679
6214,82.918
6231,81.911
6232,82.035
6233,83.735
6239,81.651
6240,81.856
6254,82.166
6255,80.924
6342,82.666
7630,80.432
7654,80.767
8890,78.756
8916,78.825
9028,79.466
9066,81.944
9445,81.697
9542,82.34
9546,82.27
9547,81.152
9583,81.645
9587,77.035
12037,81.883
12116,78.519
12122,84.471
12124,81.951
12141,81.358
12143,79.0
12149,83.464
12161,79.007
12252,84.782
12408,79.682
12409,83.274
12410,81.855
12418,81.528
12422,83.164
12435,81.622
12436,81.806
12437,81.072
12447,83.582
12448,82.418
12449,83.333
12450,81.648
12451,82.901
12452,83.896
12453,82.393
12454,82.226
12455,84.576
12456,83.467
12457,78.899
12458,84.3
12459,82.333
12460,84.647
12461,81.283
12462,81.503
12463,80.216
12464,85.695
12465,83.34
12466,80.081
12467,81.841
12468,80.429
12469,75.622
12470,84.942
12471,83.335
12472,82.827
12473,82.169
12474,79.392
12475,82.475
12476,81.576
12477,81.771
12478,81.791
12479,76.585
12480,82.009
12481,83.289
12482,83.241
12483,81.303
12484,80.422
12485,80.99
12486,82.956
12487,83.67
12488,81.655
12489,79.17
12490,80.81
12491,82.805
12492,82.734
12493,81.24
12494,79.662
12495,83.518
12496,82.604
12497,86.055
12498,84.035
12499,81.058
12500,80.529
12501,78.368
12502,81.912
12503,78.066
12504,82.957
12505,76.976
12506,82.62
12507,80.308
12508,82.094
12509,81.968
12510,82.525
12511,82.923
12512,79.668
12513,81.157
12514,84.196
12515,82.285
12516,84.291
12518,81.898
12519,81.397
12520,84.546
12521,82.757
12523,81.646
12525,85.908
12526,82.579
12527,83.871
12528,79.616
12529,84.497
12530,80.807
12531,81.161
12532,81.771
12533,81.457
12565,84.136
12656,83.195
12674,82.073
12687,80.271
12736,82.797
13078,82.167
13080,84.013
13146,83.066
13147,82.519
13148,82.054
13149,81.794
13150,82.217
13196,85.142
13382,82.13
13461,81.078
13475,84.017
13477,80.125
13537,83.275
13893,80.528
13897,81.8
14744,82.218
14862,81.514
14882,84.332
14890,82.457
14906,80.828
14907,80.507
14914,81.824
14916,79.152
14930,82.364
14932,77.151
14939,79.93
14947,80.63
15180,81.876
15240,80.54
15339,81.195
15419,80.284
15425,82.733
15426,81.996
15474,84.533
15519,80.899
15524,82.075
15589,80.308
15679,76.395
15743,78.165
16036,83.595
16039,81.644
16064,84.068
