,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 Google Score
3148,80.422
3149,79.285
3150,79.438
3153,78.443
3155,76.579
3156,79.441
3157,80.228
3158,78.314
3159,77.327
3160,81.152
3161,79.408
3162,78.119
3186,80.411
3225,78.676
3315,76.261
3321,78.222
3332,80.837
5877,78.818
5981,81.08
6043,79.356
6078,79.758
6081,81.127
6082,80.879
6090,79.019
6127,82.437
6211,79.827
6213,80.043
6214,79.615
6231,78.741
6232,81.327
6233,79.757
6239,78.843
6240,78.277
6254,82.546
6255,78.505
6342,76.049
7630,80.493
7654,77.509
8890,80.545
8916,77.541
9028,79.127
9066,78.362
9445,78.149
9542,79.748
9546,79.145
9547,79.014
9583,78.889
9587,74.469
12037,81.871
12116,77.244
12122,80.67
12124,76.49
12141,78.271
12143,78.68
12149,81.537
12161,77.844
12252,80.745
12408,76.098
12409,76.518
12410,81.582
12418,79.984
12422,79.498
12435,76.446
12436,78.069
12437,79.178
12447,80.234
12448,79.738
12449,79.141
12450,79.295
12451,76.6
12452,78.274
12453,77.28
12454,79.373
12455,79.441
12456,79.709
12457,82.004
12458,82.085
12459,77.568
12460,79.028
12461,81.314
12462,80.555
12463,82.759
12464,81.711
12465,80.223
12466,79.766
12467,79.432
12468,77.217
12469,77.802
12470,84.496
12471,79.775
12472,81.03
12473,79.034
12474,79.997
12475,80.372
12476,79.164
12477,79.678
12478,82.486
12479,75.514
12480,79.824
12481,80.815
12482,81.994
12483,78.128
12484,80.012
12485,77.709
12486,78.228
12487,81.291
12488,78.485
12489,75.461
12490,80.209
12491,79.126
12492,80.411
12493,78.543
12494,79.13
12495,82.469
12496,79.825
12497,82.473
12498,81.6
12499,76.343
12500,77.451
12501,76.376
12502,80.373
12503,75.063
12504,79.997
12505,81.338
12506,79.265
12507,80.305
12508,77.943
12509,78.69
12510,78.471
12511,79.863
12512,79.311
12513,77.51
12514,80.358
12515,78.711
12516,79.353
12518,79.88
12519,77.476
12520,80.815
12521,80.47
12523,81.774
12525,85.095
12526,79.296
12527,81.105
12528,79.891
12529,79.116
12530,77.678
12531,78.762
12532,77.273
12533,78.724
12565,82.35
12656,80.149
12674,79.543
12687,82.242
12736,81.773
13078,75.184
13080,81.936
13146,80.439
13147,79.727
13148,76.712
13149,77.988
13150,78.969
13196,79.456
13382,79.739
13461,77.606
13475,78.915
13477,77.088
13537,81.07
13893,76.978
13897,77.75
14744,76.398
14862,79.061
14882,81.123
14890,80.56
14906,78.636
14907,78.886
14914,77.7
14916,77.471
14930,80.949
14932,76.562
14939,78.107
14947,78.736
15180,78.475
15240,77.648
15339,80.036
15419,77.132
15425,78.388
15426,80.887
15474,80.182
15519,81.549
15524,79.946
15589,76.957
15679,76.477
15743,78.209
16036,78.122
16039,79.445
16064,80.827
