CV DoorDash Score,Unnamed: 0,gemini_flash,Unnamed: 0,gemini_pro,Unnamed: 0,gemini_flashlite,Unnamed: 0,gemini_pro_twice,Unnamed: 0,flash_pro,Unnamed: 0,flashlite_pro,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 DoorDash Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 DoorDash Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 DoorDash Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 DoorDash Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 DoorDash Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 DoorDash Score,True Label,Will Manipulate
79.808,53975,78.964,53975,79.585,53975,79.107,53975,78.562,53975,78.399,53975,78.73,78.814,77.919,78.707,78.939,78.865,77.96,0,True
75.827,53976,76.366,53976,80.372,53976,76.072,53976,79.653,53976,78.691,53976,78.574,74.761,76.965,77.427,75.782,76.344,78.394,0,True
81.101,53977,82.044,53977,81.494,53977,80.746,53977,82.233,53977,82.458,53977,81.656,80.791,81.646,81.938,80.846,81.583,81.248,0,True
76.586,53978,77.885,53978,78.505,53978,75.91,53978,78.41,53978,78.251,53978,78.834,75.957,76.877,76.819,76.533,77.527,76.658,0,True
77.557,53979,77.471,53979,78.731,53979,77.325,53979,78.655,53979,78.461,53979,78.484,78.567,78.132,78.171,78.236,77.811,77.926,0,True
79.713,53981,79.688,53981,79.298,53981,78.382,53981,79.496,53981,79.054,53981,78.898,77.569,78.419,77.094,78.534,77.005,78.053,0,True
76.356,54796,77.082,54796,77.73,54796,77.347,54796,78.447,54796,77.761,54796,77.679,76.635,77.644,76.861,76.901,77.152,77.839,0,True
76.764,54797,78.044,54797,79.093,54797,78.392,54797,78.713,54797,79.057,54797,79.288,77.972,78.865,78.822,78.772,78.848,79.165,0,True
79.209,54798,79.812,54798,78.695,54798,79.525,54798,78.921,54798,79.278,54798,77.918,78.322,79.326,79.463,77.17,78.841,79.155,0,True
76.467,54799,78.77,54799,77.509,54799,77.535,54799,77.537,54799,78.145,54799,78.997,77.212,77.385,77.319,78.545,78.493,77.504,0,True
72.283,54800,75.093,54800,74.072,54800,72.824,54800,74.189,54800,76.709,54800,74.359,74.425,75.736,75.011,74.366,76.581,76.351,0,True
80.597,56453,78.334,56453,81.748,56453,80.506,56453,79.915,56453,79.133,56453,79.306,81.266,79.825,80.634,80.994,75.554,81.936,0,True
76.399,56528,78.17,56528,78.906,56528,78.725,56528,78.99,56528,78.582,56528,78.202,78.292,76.623,78.693,77.106,78.224,76.392,0,True
76.652,56542,75.32,56542,77.323,56542,76.591,56542,77.451,56542,67.578,56542,76.932,77.547,75.757,76.948,77.184,76.788,76.146,0,True
75.785,56543,77.334,56543,76.953,56543,78.362,56543,78.0,56543,78.27,56543,79.272,78.138,74.689,74.454,78.661,74.766,74.118,0,True
74.694,56544,77.391,56544,76.251,56544,76.739,56544,76.778,56544,78.921,56544,77.165,75.227,77.463,76.05,75.594,75.95,77.731,0,True
75.462,56545,79.12,56545,78.604,56545,80.533,56545,79.14,56545,79.818,56545,80.557,78.928,78.299,78.01,81.187,79.012,78.095,0,True
78.883,56618,79.879,56618,79.391,56618,79.444,56618,79.454,56618,80.714,56618,79.813,79.229,79.433,80.146,79.038,80.662,79.678,0,True
73.858,56619,75.736,56619,76.095,56619,74.907,56619,77.572,56619,77.239,56619,76.43,77.678,76.83,74.404,77.876,74.564,76.433,0,True
79.632,56629,80.273,56629,80.157,56629,79.686,56629,79.73,56629,80.558,56629,79.575,78.891,77.541,79.666,77.912,79.095,77.286,0,True
75.11,56630,77.518,56630,78.268,56630,76.548,56630,78.101,56630,77.71,56630,77.541,75.799,76.439,77.256,76.207,77.289,78.293,0,True
79.128,56631,80.522,56631,80.469,56631,82.496,56631,79.412,56631,67.578,56631,81.937,80.212,80.923,82.114,79.492,81.725,80.892,0,True
77.946,56632,79.822,56632,80.092,56632,78.743,56632,80.234,56632,67.578,56632,79.753,78.439,80.259,77.786,78.487,78.273,78.749,0,True
82.506,56633,77.92,56633,80.758,56633,81.266,56633,81.912,56633,80.916,56633,80.666,80.991,81.151,80.093,82.151,80.07,81.033,0,True
72.819,56634,77.392,56634,77.619,56634,76.813,56634,78.897,56634,78.453,56634,77.226,74.575,74.64,77.025,75.314,77.327,75.387,0,True
77.42,56635,78.141,56635,77.956,56635,77.827,56635,77.48,56635,78.644,56635,79.595,78.648,78.672,78.317,78.84,78.194,78.53,0,True
76.808,56637,77.088,56637,76.647,56637,75.813,56637,77.631,56637,77.348,56637,76.805,76.493,76.006,76.856,76.938,76.91,76.192,0,True
77.201,56638,80.895,56638,80.748,56638,80.794,56638,81.252,56638,80.316,56638,80.843,79.725,78.578,78.321,79.758,78.072,78.688,0,True
75.957,56639,76.711,56639,76.195,56639,76.192,56639,78.075,56639,77.299,56639,76.782,77.588,75.771,76.046,78.036,76.171,75.757,0,True
76.011,56641,78.369,56641,79.35,56641,75.218,56641,78.798,56641,78.382,56641,75.781,77.928,78.164,77.186,77.536,77.854,78.164,0,True
78.507,56642,77.74,56642,79.059,56642,78.311,56642,78.288,56642,67.578,56642,79.106,78.15,78.28,77.638,78.46,78.542,78.582,0,True
81.646,56643,82.816,56643,83.435,56643,82.557,56643,83.207,56643,83.61,56643,83.656,82.979,83.444,82.47,83.352,82.953,83.482,0,True
76.768,56644,76.699,56644,76.942,56644,76.781,56644,78.717,56644,78.613,56644,78.052,78.583,77.103,78.429,79.151,78.329,77.027,0,True
78.242,56645,78.187,56645,77.571,56645,77.701,56645,77.725,56645,67.578,56645,78.797,77.024,78.219,77.472,77.267,76.903,78.248,0,True
76.798,56646,77.725,56646,77.484,56646,77.622,56646,76.318,56646,77.018,56646,77.121,77.475,77.275,76.573,77.507,77.655,77.18,0,True
78.899,56647,80.339,56647,79.033,56647,78.493,56647,78.945,56647,80.158,56647,78.701,79.34,79.745,80.308,78.611,79.679,78.564,0,True
77.546,56648,79.243,56648,78.981,56648,76.055,56648,79.346,56648,80.836,56648,79.028,78.257,78.388,78.542,78.748,78.437,77.658,0,True
75.992,56649,76.627,56649,76.355,56649,75.552,56649,76.422,56649,67.578,56649,76.097,74.018,76.75,76.171,73.827,75.781,74.957,0,True
79.052,56650,79.759,56650,78.072,56650,79.827,56650,78.765,56650,80.198,56650,79.473,78.767,78.215,78.047,78.636,77.258,78.182,0,True
74.71,56651,78.471,56651,77.083,56651,74.166,56651,76.928,56651,79.682,56651,74.231,77.354,77.017,77.529,77.863,78.103,76.867,0,True
78.297,56652,79.186,56652,79.893,56652,79.511,56652,80.564,56652,67.578,56652,80.596,79.099,80.962,78.674,80.613,79.631,81.944,0,True
75.895,56653,78.656,56653,78.168,56653,78.178,56653,79.158,56653,79.63,56653,79.047,79.051,78.311,78.754,78.285,78.528,78.717,0,True
78.432,56654,79.732,56654,81.336,56654,80.338,56654,79.809,56654,79.691,56654,79.882,79.049,78.88,79.165,79.621,79.279,78.829,0,True
77.962,56656,76.074,56656,77.314,56656,76.316,56656,77.586,56656,76.816,56656,77.554,76.833,77.25,76.488,77.575,76.705,78.02,0,True
73.741,56657,77.193,56657,76.95,56657,75.877,56657,78.383,56657,78.38,56657,77.249,77.09,76.04,76.62,77.894,78.09,77.214,0,True
78.375,56661,79.11,56661,78.882,56661,79.693,56661,79.684,56661,79.587,56661,80.193,78.034,79.767,79.06,77.927,79.362,80.765,0,True
75.993,56662,79.146,56662,80.581,56662,81.42,56662,80.859,56662,80.273,56662,80.931,76.772,79.591,79.558,78.075,79.082,79.121,0,True
75.809,56725,77.116,56725,78.515,56725,75.335,56725,78.054,56725,78.619,56725,77.181,79.848,77.323,76.398,79.61,76.482,77.155,0,True
75.511,56795,75.934,56795,75.02,56795,72.569,56795,75.413,56795,76.18,56795,76.752,75.623,75.186,74.82,75.636,75.076,76.058,0,True
75.926,56796,75.132,56796,75.468,56796,73.905,56796,75.324,56796,67.578,56796,74.997,76.157,73.608,75.759,76.31,75.007,73.063,0,True
76.937,56797,78.144,56797,78.83,56797,77.5,56797,80.055,56797,78.595,56797,78.991,77.175,77.985,76.987,77.681,78.043,77.357,0,True
75.36,56798,76.506,56798,76.149,56798,77.677,56798,76.559,56798,77.417,56798,78.632,76.054,75.087,79.208,77.023,79.0,75.655,0,True
74.378,56799,75.569,56799,74.832,56799,73.445,56799,74.996,56799,76.105,56799,75.016,75.531,76.635,76.445,76.014,76.7,76.623,0,True
78.206,56800,77.199,56800,78.463,56800,77.795,56800,79.877,56800,77.757,56800,79.982,78.552,78.776,77.798,78.917,77.593,78.27,0,True
75.463,56801,79.22,56801,79.061,56801,76.989,56801,79.033,56801,80.3,56801,79.605,77.98,78.932,77.299,78.63,77.987,78.908,0,True
71.36,56802,73.764,56802,76.324,56802,77.244,56802,77.171,56802,67.578,56802,77.1,76.714,75.528,75.514,76.685,75.932,76.151,0,True
82.419,56803,81.294,56803,82.384,56803,80.915,56803,82.984,56803,81.694,56803,82.763,81.908,81.635,82.287,82.735,81.427,82.334,0,True
77.906,56804,78.524,56804,78.388,56804,79.006,56804,79.298,56804,79.889,56804,79.375,78.051,78.381,79.161,78.218,78.991,78.323,0,True
78.13,56805,78.932,56805,77.908,56805,78.956,56805,78.866,56805,79.946,56805,80.509,79.939,77.626,79.357,79.907,79.683,77.574,0,True
81.529,56807,79.578,56807,79.31,56807,81.804,56807,79.433,56807,80.683,56807,81.14,81.344,81.919,82.193,83.115,82.162,81.159,0,True
78.706,56809,79.233,56809,79.792,56809,81.381,56809,80.446,56809,79.992,56809,81.356,80.497,79.18,79.685,80.91,79.966,79.111,0,True
76.593,56859,77.546,56859,75.884,56859,75.117,56859,77.584,56859,78.485,56859,75.82,75.893,76.374,76.86,77.122,77.661,76.659,0,True
80.598,56860,80.067,56860,82.175,56860,79.463,56860,81.251,56860,67.578,56860,79.486,78.511,78.139,78.527,79.093,78.659,78.195,0,True
77.416,56861,76.369,56861,78.399,56861,78.441,56861,79.504,56861,76.641,56861,78.728,77.914,77.746,76.25,77.873,76.78,77.687,0,True
77.833,56862,80.115,56862,79.691,56862,79.18,56862,80.716,56862,80.455,56862,80.025,77.499,77.959,79.235,77.777,78.9,79.053,0,True
82.265,57384,82.623,57384,82.981,57384,82.688,57384,83.95,57384,83.087,57384,83.971,82.988,82.039,81.59,82.387,81.216,83.423,0,True
83.063,57400,83.632,57400,83.735,57400,84.54,57400,84.414,57400,84.493,57400,85.177,83.486,81.046,83.023,83.686,82.584,80.821,0,True
78.342,62042,80.49,62042,80.698,62042,82.377,62042,81.028,62042,80.95,62042,83.729,80.711,80.775,79.633,81.097,80.781,81.067,0,True
73.924,63086,75.385,63086,76.402,63086,75.634,63086,77.859,63086,76.821,63086,76.551,75.518,76.099,76.799,75.552,77.229,76.314,0,True
80.053,63087,82.28,63087,81.894,63087,81.817,63087,80.288,63087,67.578,63087,83.259,83.84,80.596,83.424,82.77,82.173,80.676,0,True
79.315,83710,79.269,83710,80.035,83710,80.336,83710,79.813,83710,79.366,83710,80.333,78.601,77.773,78.84,79.191,78.129,78.923,0,True
73.625,83711,74.452,83711,78.211,83711,79.019,83711,79.159,83711,76.768,83711,79.059,76.738,75.048,74.576,79.97,76.494,77.166,0,True
77.242,86666,80.335,86666,79.587,86666,78.466,86666,80.97,86666,80.824,86666,79.3,79.719,80.035,80.497,79.532,79.644,80.104,0,True
80.134,87779,79.066,87779,80.289,87779,82.869,87779,80.719,87779,79.356,87779,82.352,80.682,81.948,80.34,82.878,81.9,84.876,0,True
78.58,97622,79.881,97622,78.835,97622,78.968,97622,79.749,97622,80.383,97622,80.771,77.632,78.64,77.574,77.224,77.828,78.477,0,True
79.325,98134,78.717,98134,78.861,98134,79.045,98134,78.223,98134,79.615,98134,79.022,80.929,81.147,80.178,81.533,80.518,81.152,0,True
78.06,98135,79.23,98135,79.989,98135,79.214,98135,79.457,98135,79.705,98135,80.616,78.616,78.827,78.033,79.623,76.911,78.763,0,True
79.131,98136,77.94,98136,80.044,98136,78.544,98136,81.381,98136,80.57,98136,81.767,78.892,78.232,78.227,79.395,79.038,79.415,0,True
75.016,98137,76.336,98137,76.352,98137,76.087,98137,75.74,98137,77.481,98137,77.275,75.675,76.581,75.381,76.464,78.624,75.97,0,True
78.248,98138,78.238,98138,78.517,98138,76.884,98138,78.183,98138,79.139,98138,77.394,77.75,77.942,76.795,78.092,76.214,78.334,0,True
77.291,98171,77.953,98171,78.966,98171,78.953,98171,79.59,98171,80.718,98171,80.002,77.94,76.921,78.864,78.473,78.574,77.902,0,True
74.379,98172,77.467,98172,77.682,98172,74.724,98172,79.133,98172,78.492,98172,78.27,75.774,76.287,75.604,76.538,76.089,75.859,0,True
77.869,98173,80.267,98173,81.025,98173,79.788,98173,81.203,98173,80.802,98173,79.61,81.341,80.291,80.306,80.772,79.971,79.547,0,True
75.013,98245,77.552,98245,78.112,98245,79.129,98245,78.887,98245,78.022,98245,78.698,76.915,77.811,77.621,77.383,78.592,76.845,0,True
81.731,98250,83.237,98250,83.086,98250,82.967,98250,82.78,98250,83.235,98250,82.939,81.922,80.904,82.302,83.05,82.35,81.569,0,True
76.195,98251,77.367,98251,77.985,98251,78.108,98251,78.528,98251,78.316,98251,78.594,77.275,77.781,77.421,77.489,78.416,79.231,0,True
76.396,98252,76.928,98252,77.696,98252,76.917,98252,77.866,98252,77.483,98252,79.428,80.578,79.52,79.658,80.953,80.34,80.137,0,True
79.332,98253,80.534,98253,81.017,98253,82.15,98253,81.737,98253,81.942,98253,82.926,79.185,81.048,79.365,81.37,81.377,81.818,0,True
75.904,98254,78.914,98254,79.811,98254,77.663,98254,80.168,98254,67.578,98254,79.743,76.577,78.59,77.444,77.56,78.186,78.916,0,True
80.908,98255,81.215,98255,81.397,98255,80.337,98255,81.949,98255,81.388,98255,81.525,79.658,80.99,80.119,79.447,81.321,80.645,0,True
77.506,98256,80.639,98256,79.876,98256,79.482,98256,79.901,98256,80.308,98256,81.024,77.718,78.316,76.371,78.202,77.138,79.53,0,True
81.031,98257,82.185,98257,82.708,98257,82.804,98257,80.755,98257,82.517,98257,83.902,78.516,81.926,81.14,80.497,80.96,81.712,0,True
78.106,98258,80.054,98258,79.929,98258,81.194,98258,80.031,98258,67.578,98258,80.08,79.627,80.636,80.273,79.705,80.797,80.958,0,True
79.045,98259,80.636,98259,80.399,98259,81.308,98259,81.545,98259,67.578,98259,81.984,79.912,80.758,81.427,79.507,81.357,79.991,0,True
77.723,98260,81.251,98260,81.09,98260,79.627,98260,81.615,98260,67.578,98260,80.347,80.851,81.276,78.975,80.601,79.382,81.516,0,True
78.412,98261,80.778,98261,82.688,98261,78.954,98261,82.803,98261,67.578,98261,82.406,82.005,81.054,81.811,81.85,82.395,82.39,0,True
78.653,98262,80.73,98262,80.819,98262,81.29,98262,81.381,98262,81.491,98262,81.109,77.953,79.245,79.443,79.427,80.011,80.047,0,True
77.748,98263,81.384,98263,80.194,98263,80.897,98263,80.203,98263,81.09,98263,81.797,80.03,80.089,78.192,80.214,78.26,81.169,0,True
80.937,98264,83.454,98264,82.909,98264,82.652,98264,83.556,98264,83.23,98264,82.151,81.397,83.634,78.987,82.086,79.832,83.711,0,True
80.786,98265,81.771,98265,83.338,98265,81.645,98265,83.968,98265,82.591,98265,83.213,83.694,84.12,80.952,83.889,81.928,84.799,0,True
82.737,98266,82.893,98266,83.192,98266,83.828,98266,83.743,98266,82.781,98266,83.847,82.97,83.541,82.241,82.661,81.111,83.664,0,True
76.138,98267,77.552,98267,77.885,98267,78.731,98267,78.577,98267,78.245,98267,80.08,78.922,77.659,78.746,79.458,78.517,77.504,0,True
76.766,98268,79.95,98268,77.208,98268,81.702,98268,77.688,98268,80.068,98268,80.881,78.128,77.34,78.247,79.443,77.724,78.653,0,True
77.463,98269,79.109,98269,77.925,98269,78.596,98269,79.387,98269,79.78,98269,80.074,77.516,79.855,78.051,78.489,79.062,79.302,0,True
77.622,98270,80.685,98270,81.375,98270,79.336,98270,81.328,98270,67.578,98270,78.977,79.348,80.555,79.799,80.167,79.163,80.337,0,True
76.141,98271,78.347,98271,77.502,98271,78.584,98271,78.016,98271,79.835,98271,79.531,78.968,78.976,78.746,78.705,78.871,79.54,0,True
80.152,98272,80.837,98272,80.415,98272,81.255,98272,80.661,98272,81.054,98272,81.024,78.853,80.096,79.475,80.156,79.671,79.749,0,True
78.203,98273,78.612,98273,79.342,98273,78.919,98273,80.492,98273,80.464,98273,80.314,77.766,79.193,78.583,78.021,78.964,79.197,0,False
78.065,98274,78.848,98274,78.523,98274,78.977,98274,80.033,98274,67.578,98274,80.772,77.971,79.044,79.099,77.847,79.312,80.46,0,False
78.649,98275,78.941,98275,80.005,98275,78.194,98275,80.222,98275,79.344,98275,79.132,80.001,79.012,80.064,78.683,79.282,79.778,0,False
78.466,98276,77.591,98276,78.843,98276,78.011,98276,79.158,98276,78.936,98276,77.864,78.224,78.879,77.542,78.509,78.882,78.625,0,False
77.925,98277,79.149,98277,80.059,98277,78.109,98277,80.286,98277,80.615,98277,79.725,77.151,78.397,78.101,76.195,77.398,78.592,0,False
78.303,98278,79.716,98278,80.465,98278,78.422,98278,80.963,98278,79.409,98278,80.114,77.155,78.216,77.716,77.36,78.545,77.891,0,False
82.023,98279,81.352,98279,82.314,98279,82.225,98279,82.537,98279,82.105,98279,82.397,79.703,80.822,81.029,82.067,81.244,80.837,0,False
79.168,98280,80.797,98280,79.75,98280,79.452,98280,80.954,98280,81.22,98280,80.436,79.606,79.337,79.809,80.32,80.399,79.675,0,False
78.575,98281,82.552,98281,81.556,98281,81.027,98281,80.808,98281,82.796,98281,81.286,79.57,80.677,80.65,79.266,80.244,80.917,0,False
79.362,98282,80.581,98282,80.171,98282,81.579,98282,79.708,98282,80.181,98282,81.957,78.265,79.801,78.806,78.075,79.126,78.896,0,False
83.116,98283,80.762,98283,79.425,98283,80.473,98283,79.525,98283,67.578,98283,81.177,82.872,83.659,79.174,82.15,78.647,81.909,0,False
74.147,98284,77.288,98284,78.041,98284,77.12,98284,77.462,98284,77.455,98284,77.653,75.479,78.16,76.306,78.485,77.747,78.329,0,False
77.765,98285,77.503,98285,77.953,98285,77.286,98285,78.673,98285,78.146,98285,79.436,78.459,78.767,78.011,78.647,77.722,78.924,0,False
80.179,98286,81.089,98286,81.267,98286,79.415,98286,81.529,98286,67.578,98286,79.817,80.769,80.011,79.821,80.612,80.495,80.18,0,False
81.508,98287,80.318,98287,80.916,98287,79.589,98287,79.528,98287,81.157,98287,80.197,80.536,82.865,81.354,80.012,80.867,82.334,0,False
77.517,98288,77.646,98288,77.187,98288,80.051,98288,77.534,98288,77.691,98288,81.024,76.696,78.874,76.124,77.655,76.901,78.52,0,False
76.038,98289,78.284,98289,79.63,98289,78.379,98289,80.258,98289,79.63,98289,79.952,76.969,77.082,77.535,78.128,78.626,78.545,0,False
75.701,98290,78.655,98290,78.126,98290,76.976,98290,77.729,98290,78.794,98290,79.737,75.338,76.486,77.839,74.833,78.51,77.688,0,False
77.424,98291,79.186,98291,80.314,98291,79.5,98291,78.386,98291,67.578,98291,79.301,80.484,79.032,79.231,80.054,80.643,78.201,0,False
80.611,98292,78.913,98292,79.835,98292,80.171,98292,80.333,98292,67.578,98292,79.352,78.552,79.66,79.376,78.862,80.566,78.022,0,False
77.568,98293,79.483,98293,79.167,98293,78.239,98293,80.409,98293,79.876,98293,78.134,77.28,78.921,77.678,78.39,79.952,79.034,0,False
77.539,98294,80.496,98294,79.88,98294,79.697,98294,80.969,98294,80.136,98294,80.025,78.221,78.53,78.98,79.135,80.633,80.704,0,False
78.971,98295,77.232,98295,78.525,98295,78.177,98295,79.222,98295,67.578,98295,80.832,79.245,78.15,78.438,79.679,78.363,79.131,0,False
78.982,98296,78.328,98296,78.401,98296,75.986,98296,78.296,98296,78.6,98296,77.788,78.523,77.905,77.384,78.322,78.24,77.043,0,False
80.659,98297,79.679,98297,79.962,98297,80.175,98297,80.37,98297,80.593,98297,79.945,81.674,79.675,81.099,81.13,80.9,80.019,0,False
81.461,98298,80.379,98298,80.504,98298,81.24,98298,80.907,98298,80.703,98298,80.451,78.481,80.474,80.282,78.934,79.174,79.553,0,False
78.629,98299,79.158,98299,78.793,98299,78.303,98299,78.423,98299,78.813,98299,79.849,77.906,78.28,79.065,77.781,78.997,77.997,0,False
77.878,98300,78.971,98300,79.745,98300,78.898,98300,80.256,98300,79.436,98300,79.211,77.597,76.818,76.907,78.522,77.627,76.67,0,False
74.19,98301,76.161,98301,75.215,98301,74.825,98301,76.473,98301,67.578,98301,75.52,76.61,75.158,75.325,76.585,75.416,75.089,0,False
79.438,98302,79.424,98302,79.56,98302,80.693,98302,81.031,98302,67.578,98302,80.692,80.02,80.771,80.816,80.165,80.655,79.806,0,False
79.498,98303,79.66,98303,79.674,98303,79.245,98303,80.016,98303,79.515,98303,78.999,78.98,77.933,79.546,78.552,78.519,78.297,0,False
79.643,98304,78.966,98304,80.926,98304,78.111,98304,80.274,98304,80.077,98304,79.768,79.455,77.753,78.865,79.732,79.169,77.763,0,False
81.933,98305,80.996,98305,80.883,98305,81.368,98305,81.236,98305,82.319,98305,81.922,84.462,80.995,82.312,84.077,82.786,80.904,0,False
76.646,98306,77.206,98306,79.297,98306,80.424,98306,80.504,98306,78.562,98306,79.643,78.551,78.458,78.984,78.298,78.505,79.061,0,False
76.417,98307,78.93,98307,79.24,98307,77.863,98307,79.588,98307,79.148,98307,78.787,78.701,76.877,78.748,78.563,79.22,77.231,0,False
78.557,98308,77.637,98308,78.364,98308,78.073,98308,78.709,98308,78.543,98308,78.903,77.878,78.376,77.977,76.73,78.444,77.637,0,False
80.006,98309,78.249,98309,82.762,98309,79.542,98309,80.636,98309,81.261,98309,80.387,79.09,80.051,79.844,78.471,80.127,79.196,0,False
78.286,98310,80.979,98310,82.555,98310,81.743,98310,83.398,98310,67.578,98310,81.814,81.777,81.356,82.495,82.313,82.749,82.003,0,False
79.733,98311,79.413,98311,78.761,98311,79.731,98311,79.456,98311,79.052,98311,79.75,80.046,78.427,78.765,79.474,78.984,79.596,0,False
78.156,98312,79.645,98312,78.688,98312,78.722,98312,79.46,98312,79.847,98312,79.846,77.97,79.635,80.095,76.769,80.132,79.739,0,False
79.9,98313,79.238,98313,80.597,98313,80.475,98313,80.627,98313,80.002,98313,81.51,77.503,78.334,77.243,78.057,78.263,80.234,0,False
83.101,98314,83.077,98314,83.14,98314,84.149,98314,82.311,98314,83.553,98314,82.109,82.306,80.962,81.717,81.42,82.144,81.329,0,False
80.481,98315,80.058,98315,79.554,98315,78.517,98315,79.454,98315,79.967,98315,79.26,78.935,78.846,79.145,79.475,79.427,78.142,0,False
85.276,98316,83.736,98316,83.865,98316,80.351,98316,83.01,98316,83.437,98316,80.839,82.757,84.282,84.078,83.685,83.751,84.552,0,False
77.873,98317,81.073,98317,79.995,98317,76.675,98317,80.645,98317,80.448,98317,77.572,77.877,76.434,79.023,78.24,79.326,76.699,0,False
78.138,98318,80.928,98318,82.473,98318,80.241,98318,82.236,98318,80.921,98318,80.593,78.704,79.737,79.373,78.934,79.29,79.509,0,False
