CV Google Score,Unnamed: 0,gemini_flash,Unnamed: 0,gemini_pro,Unnamed: 0,gemini_flashlite,Unnamed: 0,gemini_pro_twice,Unnamed: 0,flash_pro,Unnamed: 0,flashlite_pro,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5 Google Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 Google Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 Google Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 Google Score,True Label,Will Manipulate
82.841,56453,84.553,56453,84.633,56453,84.394,56453,84.222,56453,85.072,56453,84.377,83.713,83.171,85.082,84.487,83.926,84.469,1,True
79.675,56528,80.936,56528,80.622,56528,82.372,56528,79.945,56528,81.363,56528,82.002,80.412,80.317,81.784,78.841,81.579,80.381,1,True
82.577,56542,82.513,56542,85.356,56542,83.312,56542,85.322,56542,69.789,56542,82.904,83.79,81.356,82.485,83.243,82.208,81.691,1,True
79.886,56543,83.884,56543,85.289,56543,84.541,56543,84.513,56543,83.183,56543,84.348,83.765,81.809,81.44,83.09,82.992,82.146,1,True
82.571,56544,85.68,56544,85.234,56544,84.92,56544,85.464,56544,86.497,56544,85.906,83.785,84.901,85.315,84.188,84.825,84.48,1,True
77.57,56545,80.692,56545,82.834,56545,83.506,56545,82.237,56545,81.299,56545,82.984,78.841,81.723,81.26,81.361,82.428,81.565,1,True
86.484,56618,86.351,56618,86.484,56618,86.025,56618,85.568,56618,86.694,56618,85.521,86.443,86.651,86.346,86.433,87.003,86.334,1,True
80.69,56619,82.316,56619,82.82,56619,81.882,56619,83.131,56619,82.482,56619,82.058,83.262,82.097,80.821,82.632,80.775,81.728,1,True
87.981,56629,88.1,56629,87.974,56629,87.993,56629,87.737,56629,89.604,56629,87.014,87.595,87.514,89.152,87.121,87.202,87.681,1,True
81.609,56630,86.112,56630,85.281,56630,83.117,56630,85.588,56630,86.064,56630,85.803,83.659,81.706,83.555,83.35,83.709,83.571,1,True
81.615,56631,84.58,56631,84.586,56631,86.257,56631,84.419,56631,69.789,56631,87.524,85.655,85.378,83.832,85.277,85.105,86.116,1,True
84.596,56632,87.399,56632,87.979,56632,86.369,56632,86.972,56632,69.789,56632,87.05,86.674,87.188,86.03,87.432,85.894,85.681,1,True
83.571,56633,83.805,56633,84.996,56633,85.36,56633,85.392,56633,85.25,56633,84.234,83.999,83.429,82.802,84.543,83.329,83.567,1,True
73.817,56634,83.23,56634,82.752,56634,82.43,56634,83.686,56634,84.216,56634,81.104,82.182,81.621,85.293,81.87,85.808,82.507,1,True
83.329,56635,85.122,56635,85.232,56635,85.378,56635,85.692,56635,85.311,56635,86.525,85.404,85.196,84.811,86.272,85.36,85.597,1,True
84.129,56637,84.565,56637,85.538,56637,84.823,56637,85.598,56637,84.794,56637,83.334,82.68,81.645,83.563,83.37,83.961,81.924,1,True
84.674,56638,88.856,56638,88.444,56638,87.123,56638,87.961,56638,88.61,56638,87.522,86.646,86.419,86.138,86.569,86.061,86.289,1,True
84.625,56639,84.713,56639,85.75,56639,85.072,56639,85.957,56639,86.314,56639,85.435,86.944,86.234,86.082,87.315,85.986,85.977,1,True
80.084,56641,83.323,56641,83.872,56641,80.714,56641,83.518,56641,82.854,56641,80.882,81.835,81.407,82.018,80.376,82.45,81.407,1,True
85.056,56642,82.488,56642,82.786,56642,84.194,56642,82.169,56642,69.789,56642,83.323,83.451,83.926,83.0,83.35,83.35,83.868,1,True
82.836,56643,83.713,56643,84.636,56643,83.799,56643,83.123,56643,84.58,56643,83.173,83.572,83.979,83.101,84.696,82.979,84.037,1,True
79.681,56644,80.226,56644,81.033,56644,80.126,56644,82.26,56644,81.719,56644,81.98,81.216,80.505,82.357,81.708,82.818,80.841,1,True
84.292,56645,85.661,56645,86.648,56645,85.049,56645,87.413,56645,69.789,56645,85.888,85.658,85.311,85.169,85.509,85.338,85.604,1,True
81.261,56646,80.45,56646,80.36,56646,82.442,56646,80.751,56646,79.987,56646,81.411,81.312,80.013,80.666,80.424,80.984,79.814,1,True
84.961,56647,85.49,56647,87.305,56647,83.033,56647,87.107,56647,83.411,56647,83.291,84.512,84.519,86.241,84.659,85.258,84.587,1,True
77.579,56648,78.639,56648,78.824,56648,75.835,56648,79.07,56648,81.609,56648,78.493,79.51,78.152,79.052,79.29,78.572,77.398,1,True
82.232,56649,84.105,56649,83.777,56649,82.748,56649,84.3,56649,69.789,56649,83.494,82.814,83.421,81.964,81.545,82.249,82.633,1,True
83.246,56650,82.423,56650,84.054,56650,82.972,56650,83.512,56650,82.918,56650,82.943,82.897,82.737,83.041,82.807,81.834,83.083,1,True
82.117,56651,85.029,56651,85.953,56651,80.257,56651,85.815,56651,85.512,56651,79.587,85.879,85.419,86.182,86.157,86.896,85.171,1,True
81.692,56652,84.317,56652,84.37,56652,84.348,56652,84.392,56652,69.789,56652,85.121,83.177,85.595,84.312,85.277,84.88,85.485,1,True
78.108,56653,80.617,56653,80.449,56653,80.213,56653,80.692,56653,81.203,56653,80.986,80.184,79.54,81.568,79.816,81.822,80.438,1,True
82.25,56654,84.12,56654,85.593,56654,84.682,56654,82.952,56654,83.519,56654,84.593,82.71,82.195,83.561,82.91,83.046,81.61,1,True
84.56,56656,84.649,56656,84.785,56656,83.629,56656,82.665,56656,85.511,56656,84.437,83.939,83.849,83.196,84.406,83.724,85.894,1,True
84.246,56657,87.612,56657,88.364,56657,86.056,56657,88.421,56657,88.246,56657,87.195,85.763,85.663,87.545,86.388,87.294,86.493,1,True
83.956,56661,85.221,56661,84.033,56661,84.55,56661,84.186,56661,85.69,56661,85.455,85.105,84.473,85.678,84.4,85.231,85.134,1,True
84.602,56662,85.471,56662,87.354,56662,84.868,56662,87.682,56662,87.089,56662,86.061,85.664,86.645,85.911,85.727,86.709,86.627,1,True
80.974,56725,82.75,56725,84.983,56725,80.694,56725,84.295,56725,83.754,56725,82.274,84.921,81.091,82.35,83.557,82.815,81.706,1,True
80.413,56795,82.094,56795,81.213,56795,78.878,56795,82.009,56795,82.574,56795,82.294,81.259,80.932,81.815,80.723,82.086,80.982,1,True
85.313,56796,86.128,56796,86.419,56796,85.654,56796,86.486,56796,69.789,56796,85.855,86.072,84.599,85.668,86.122,84.94,84.382,1,True
82.471,56797,86.21,56797,85.367,56797,83.892,56797,86.074,56797,86.569,56797,85.718,85.074,83.874,83.764,85.762,84.349,83.924,1,True
78.463,56798,80.533,56798,80.105,56798,81.98,56798,81.558,56798,82.599,56798,82.689,79.816,80.284,83.374,81.867,82.996,81.043,1,True
81.584,56799,83.296,56799,82.24,56799,81.124,56799,82.214,56799,83.433,56799,82.758,81.257,81.918,81.524,81.684,81.936,81.913,1,True
82.555,56800,81.376,56800,81.734,56800,82.096,56800,82.539,56800,81.103,56800,82.915,81.893,82.778,81.514,82.069,82.057,82.363,1,True
83.98,56801,85.029,56801,85.575,56801,84.349,56801,85.437,56801,87.214,56801,84.933,85.053,84.695,85.175,85.966,85.045,85.145,1,True
73.889,56802,79.963,56802,80.475,56802,81.367,56802,81.339,56802,69.789,56802,81.275,80.948,80.764,81.043,80.916,81.943,81.594,1,True
88.364,56803,86.341,56803,89.268,56803,89.595,56803,88.427,56803,86.416,56803,89.243,87.138,89.142,88.83,86.816,88.925,88.533,1,True
86.75,56804,89.235,56804,88.203,56804,87.965,56804,88.952,56804,89.551,56804,88.018,87.749,88.065,88.452,87.977,89.144,87.853,1,True
79.832,56805,82.124,56805,81.844,56805,82.441,56805,81.29,56805,82.894,56805,82.739,82.706,81.844,81.956,82.736,82.184,82.116,1,True
85.502,56807,88.547,56807,90.102,56807,88.569,56807,90.481,56807,89.109,56807,87.782,87.273,85.069,87.799,87.214,86.772,86.301,1,True
82.462,56809,85.401,56809,85.011,56809,87.374,56809,85.258,56809,86.61,56809,85.713,85.186,84.79,83.588,85.313,83.494,85.06,1,True
82.631,56859,82.725,56859,82.384,56859,80.557,56859,81.587,56859,83.436,56859,80.047,83.557,82.125,83.493,83.67,83.532,81.999,1,True
85.939,56860,86.366,56860,88.307,56860,86.44,56860,87.739,56860,69.789,56860,87.993,88.227,85.869,87.502,87.782,86.322,85.211,1,True
82.061,56861,84.429,56861,84.2,56861,85.145,56861,85.476,56861,84.434,56861,85.302,83.907,83.991,84.256,83.571,84.129,83.474,1,True
85.222,56862,88.472,56862,88.808,56862,87.228,56862,89.974,56862,88.655,56862,86.953,86.334,85.444,87.275,86.658,86.897,86.368,1,True
88.823,57384,87.63,57384,88.989,57384,89.036,57384,89.144,57384,87.169,57384,88.957,86.0,87.668,88.287,85.568,88.353,88.302,1,True
87.583,57400,89.773,57400,88.668,57400,89.944,57400,88.661,57400,89.506,57400,90.011,86.803,86.575,86.371,86.666,86.754,85.797,1,True
83.225,62042,84.24,62042,84.069,62042,82.587,62042,84.289,62042,84.094,62042,84.322,83.136,84.1,83.333,85.301,83.641,83.876,1,True
81.363,63086,81.238,63086,82.218,63086,82.076,63086,83.081,63086,81.392,63086,82.868,81.674,82.957,83.885,81.843,83.406,83.404,1,True
82.249,63087,83.069,63087,82.957,63087,83.225,63087,82.541,63087,69.789,63087,83.331,84.923,83.04,85.401,83.616,83.459,83.568,1,True
81.833,83710,86.431,83710,86.873,83710,85.824,83710,87.018,83710,86.374,83710,85.295,85.076,83.99,84.718,85.391,84.294,84.845,1,True
73.533,83711,75.839,83711,79.926,83711,81.047,83711,80.761,83711,75.492,83711,81.004,77.835,77.71,74.561,80.005,77.657,78.193,1,True
87.519,86666,87.12,86666,88.279,86666,86.523,86666,88.931,86666,88.029,86666,85.466,84.98,85.818,86.654,84.191,86.923,86.123,1,True
76.75,87779,77.733,87779,79.614,87779,81.294,87779,79.5,87779,78.285,87779,80.742,79.588,79.323,78.441,82.055,80.562,81.992,1,True
87.754,97622,88.527,97622,89.088,97622,86.953,97622,90.005,97622,88.817,97622,88.634,87.954,87.698,87.018,87.564,86.928,87.626,1,True
85.555,98134,85.475,98134,87.146,98134,86.918,98134,86.608,98134,86.119,98134,88.215,86.063,86.171,86.02,85.996,87.035,85.842,1,True
86.855,98135,88.512,98135,89.096,98135,87.697,98135,89.369,98135,88.513,98135,86.706,85.985,86.716,87.848,87.358,87.165,86.786,1,True
83.706,98136,85.111,98136,86.575,98136,85.717,98136,87.835,98136,86.734,98136,87.476,85.705,85.185,85.046,85.403,86.103,86.727,1,True
85.005,98137,84.913,98137,86.391,98137,85.488,98137,85.908,98137,86.703,98137,86.622,85.138,84.742,84.353,85.218,85.854,83.341,1,True
82.49,98138,85.964,98138,84.827,98138,81.648,98138,84.282,98138,85.894,98138,86.74,84.161,85.343,85.843,82.704,85.553,84.676,1,True
83.708,98171,85.983,98171,84.853,98171,85.995,98171,85.384,98171,86.512,98171,86.379,84.558,85.719,86.148,85.344,87.317,86.046,1,True
82.041,98172,83.982,98172,84.822,98172,82.801,98172,85.386,98172,86.435,98172,84.751,83.528,82.461,82.558,82.17,83.786,82.195,1,True
81.688,98173,86.25,98173,85.629,98173,83.451,98173,86.022,98173,85.92,98173,84.809,86.293,84.868,88.442,84.36,87.906,84.49,1,True
81.223,98245,87.322,98245,87.29,98245,86.728,98245,87.354,98245,87.288,98245,85.193,80.7,82.051,84.277,80.501,83.601,81.41,1,True
80.601,98250,81.543,98250,81.615,98250,82.628,98250,83.227,98250,81.906,98250,81.796,82.117,83.038,81.882,82.451,80.511,84.094,1,True
80.849,98251,82.227,98251,83.873,98251,85.487,98251,84.496,98251,82.956,98251,85.237,83.149,83.587,82.569,82.567,83.388,85.279,1,True
72.668,98252,73.864,98252,74.988,98252,74.5,98252,75.813,98252,74.953,98252,76.368,76.263,75.706,77.373,77.973,77.615,76.389,1,True
78.467,98253,82.106,98253,81.068,98253,84.086,98253,83.247,98253,84.155,98253,85.301,78.915,83.486,79.75,82.057,84.077,85.151,1,True
85.583,98254,86.889,98254,86.532,98254,85.049,98254,85.876,98254,69.789,98254,86.47,85.56,85.73,86.475,85.308,87.047,85.265,1,True
83.245,98255,87.445,98255,86.754,98255,84.43,98255,86.854,98255,87.91,98255,85.877,85.602,85.894,86.265,86.388,86.357,87.332,1,True
79.247,98256,83.837,98256,83.116,98256,82.189,98256,83.404,98256,84.204,98256,84.633,80.246,83.477,77.828,80.238,78.866,85.248,1,True
82.03,98257,87.4,98257,87.914,98257,86.588,98257,86.909,98257,88.174,98257,87.107,83.249,83.976,87.372,85.822,87.479,83.721,1,True
83.671,98258,83.977,98258,84.477,98258,83.568,98258,83.889,98258,69.789,98258,83.669,84.158,82.843,83.501,84.58,82.985,82.441,1,True
79.956,98259,82.137,98259,81.786,98259,84.44,98259,82.297,98259,69.789,98259,83.779,80.158,83.725,85.606,81.447,84.821,83.296,1,True
79.246,98260,82.825,98260,83.187,98260,81.175,98260,82.93,98260,69.789,98260,81.032,81.803,82.372,80.099,81.214,80.84,82.798,1,True
82.727,98261,84.154,98261,85.662,98261,83.476,98261,85.593,98261,69.789,98261,85.351,84.97,83.977,86.467,84.965,87.131,86.001,1,True
81.542,98262,87.224,98262,88.992,98262,85.918,98262,88.448,98262,88.777,98262,87.226,81.664,83.854,86.35,83.388,85.83,85.233,1,True
79.444,98263,86.03,98263,87.956,98263,85.478,98263,88.108,98263,87.361,98263,87.1,82.95,86.364,80.918,82.971,81.573,87.115,1,True
80.437,98264,84.374,98264,84.528,98264,83.689,98264,85.194,98264,84.087,98264,83.809,80.888,82.995,82.72,82.871,83.699,83.55,1,True
80.49,98265,88.192,98265,82.975,98265,81.874,98265,83.757,98265,88.578,98265,87.339,81.666,80.79,80.453,81.611,81.584,83.194,1,True
81.789,98266,82.859,98266,85.61,98266,85.161,98266,86.305,98266,82.756,98266,85.707,83.093,83.549,87.306,82.951,86.895,83.959,1,True
78.138,98267,79.275,98267,79.849,98267,81.219,98267,81.313,98267,80.788,98267,82.815,79.324,77.743,80.91,79.457,80.695,78.969,1,True
76.536,98268,81.018,98268,80.483,98268,84.289,98268,80.747,98268,81.387,98268,84.455,79.501,79.5,78.998,80.288,78.782,80.615,1,True
83.241,98269,86.439,98269,87.351,98269,86.994,98269,87.627,98269,87.173,98269,87.982,85.027,86.899,86.222,85.862,86.774,87.263,1,True
79.438,98270,84.695,98270,83.343,98270,83.545,98270,87.595,98270,69.789,98270,83.292,81.238,83.574,85.492,82.668,85.611,84.051,1,True
84.6,98271,84.103,98271,84.42,98271,84.146,98271,84.193,98271,85.65,98271,85.807,84.141,83.681,84.308,83.428,84.645,84.63,1,True
90.052,98272,89.417,98272,89.521,98272,92.334,98272,90.279,98272,90.569,98272,91.72,87.914,89.162,89.413,87.549,90.338,88.932,1,True
84.736,98273,85.683,98273,85.801,98273,86.51,98273,85.648,98273,85.232,98273,86.324,82.868,84.655,85.009,83.744,84.933,85.041,1,False
87.179,98274,88.328,98274,88.096,98274,87.728,98274,88.091,98274,69.789,98274,89.612,86.803,86.918,87.223,86.766,87.821,87.851,1,False
84.329,98275,85.917,98275,87.08,98275,84.939,98275,86.011,98275,86.705,98275,85.393,85.646,84.603,85.55,85.174,85.487,85.034,1,False
85.626,98276,86.156,98276,86.239,98276,85.304,98276,86.702,98276,87.605,98276,85.254,85.86,86.035,87.002,86.574,86.15,86.282,1,False
86.282,98277,89.591,98277,90.037,98277,86.661,98277,89.792,98277,89.107,98277,89.643,87.575,88.363,87.259,87.223,87.415,87.441,1,False
86.358,98278,87.806,98278,88.111,98278,86.478,98278,86.838,98278,87.616,98278,88.044,86.376,86.918,87.189,86.853,86.988,86.898,1,False
83.453,98279,86.344,98279,87.397,98279,87.862,98279,88.94,98279,87.421,98279,87.237,85.658,86.553,86.97,88.631,87.199,86.001,1,False
82.217,98280,86.01,98280,84.32,98280,84.163,98280,85.561,98280,86.819,98280,85.255,85.656,83.892,85.147,86.724,86.18,84.766,1,False
86.529,98281,87.839,98281,88.486,98281,87.327,98281,89.272,98281,87.995,98281,88.84,87.531,86.094,88.119,87.899,88.714,86.013,1,False
83.016,98282,87.77,98282,87.321,98282,87.223,98282,87.108,98282,86.08,98282,86.362,85.007,85.152,86.034,84.488,86.522,85.304,1,False
85.368,98283,87.041,98283,87.443,98283,86.974,98283,88.52,98283,69.789,98283,87.373,87.223,86.9,87.242,87.72,86.485,85.657,1,False
84.611,98284,85.642,98284,86.623,98284,84.804,98284,85.662,98284,87.183,98284,85.991,85.554,84.092,84.676,86.945,86.952,85.994,1,False
82.442,98285,84.673,98285,84.145,98285,82.127,98285,84.657,98285,84.721,98285,84.984,82.558,82.881,82.793,83.025,82.225,83.422,1,False
83.149,98286,85.918,98286,84.252,98286,85.26,98286,83.613,98286,69.789,98286,81.791,86.36,85.235,86.032,85.319,85.704,85.134,1,False
87.268,98287,86.996,98287,88.403,98287,86.664,98287,88.228,98287,88.65,98287,86.641,88.054,86.77,87.308,86.63,87.369,86.936,1,False
79.643,98288,80.213,98288,79.057,98288,82.246,98288,79.841,98288,80.317,98288,83.335,80.216,80.902,79.562,81.824,79.898,80.257,1,False
79.699,98289,82.207,98289,83.975,98289,84.059,98289,83.671,98289,83.526,98289,85.027,80.336,82.865,83.583,80.919,85.217,84.178,1,False
79.741,98290,83.019,98290,82.968,98290,79.829,98290,83.646,98290,82.805,98290,83.252,80.366,78.199,82.564,78.53,83.686,79.517,1,False
83.39,98291,87.375,98291,87.181,98291,86.777,98291,87.719,98291,69.789,98291,85.427,86.085,85.47,86.492,87.104,87.031,86.688,1,False
86.857,98292,87.179,98292,88.968,98292,88.969,98292,88.952,98292,69.789,98292,89.285,86.143,87.428,87.717,86.678,88.363,85.577,1,False
85.508,98293,85.704,98293,88.081,98293,86.588,98293,87.433,98293,86.314,98293,86.599,84.401,84.387,84.719,87.1,87.205,86.705,1,False
80.952,98294,84.671,98294,86.713,98294,82.669,98294,84.983,98294,84.223,98294,83.671,81.838,81.613,83.449,82.657,85.259,84.805,1,False
85.129,98295,86.984,98295,87.831,98295,86.751,98295,86.964,98295,69.789,98295,87.062,85.963,85.203,86.791,86.768,86.423,86.539,1,False
84.02,98296,86.215,98296,87.198,98296,83.546,98296,85.964,98296,86.622,98296,86.924,83.247,84.167,85.33,83.443,86.911,82.974,1,False
85.132,98297,84.843,98297,85.101,98297,85.47,98297,87.298,98297,85.803,98297,85.647,85.899,85.276,84.532,86.098,84.712,86.799,1,False
85.263,98298,88.542,98298,88.27,98298,87.24,98298,87.96,98298,86.189,98298,86.0,85.975,86.62,87.816,85.948,86.113,85.791,1,False
83.929,98299,87.838,98299,87.324,98299,85.684,98299,87.414,98299,87.835,98299,87.119,86.716,85.333,87.06,87.219,86.945,85.72,1,False
86.34,98300,87.178,98300,88.343,98300,87.739,98300,88.862,98300,88.133,98300,87.864,88.013,85.866,87.174,88.192,88.194,85.018,1,False
82.621,98301,85.818,98301,85.146,98301,84.357,98301,85.908,98301,69.789,98301,84.26,85.5,84.282,85.063,85.247,85.889,84.476,1,False
82.062,98302,85.946,98302,85.704,98302,84.618,98302,87.608,98302,69.789,98302,85.821,86.431,85.688,86.02,86.95,85.82,86.051,1,False
83.826,98303,86.659,98303,86.514,98303,87.106,98303,86.127,98303,85.782,98303,85.735,86.615,84.254,86.725,85.502,85.337,84.812,1,False
85.299,98304,86.781,98304,87.566,98304,85.478,98304,88.134,98304,87.6,98304,86.379,86.885,84.147,86.296,86.843,86.456,84.372,1,False
85.22,98305,87.737,98305,87.337,98305,87.392,98305,87.834,98305,87.934,98305,87.529,85.942,87.436,87.857,83.645,88.045,87.272,1,False
85.561,98306,85.902,98306,87.79,98306,87.64,98306,88.232,98306,87.192,98306,88.094,86.04,86.706,87.488,86.475,87.371,87.042,1,False
83.743,98307,87.285,98307,87.172,98307,85.972,98307,87.3,98307,88.04,98307,87.227,85.655,85.415,86.13,85.492,85.746,85.836,1,False
86.003,98308,85.921,98308,84.922,98308,85.037,98308,85.087,98308,85.115,98308,84.792,84.931,82.644,84.203,83.907,84.083,83.115,1,False
82.188,98309,83.813,98309,84.01,98309,82.558,98309,81.843,98309,85.418,98309,82.602,82.613,81.972,83.254,82.824,83.495,82.596,1,False
79.86,98310,84.011,98310,84.737,98310,84.619,98310,85.034,98310,69.789,98310,84.058,83.263,83.102,84.502,84.275,85.643,84.296,1,False
85.741,98311,86.109,98311,86.74,98311,85.725,98311,86.918,98311,85.691,98311,86.941,86.959,86.131,87.176,86.913,87.037,85.92,1,False
85.207,98312,87.236,98312,87.683,98312,84.491,98312,88.003,98312,87.267,98312,85.414,88.001,85.096,86.076,87.367,85.859,85.574,1,False
86.491,98313,88.497,98313,89.965,98313,89.07,98313,89.572,98313,88.331,98313,89.479,85.55,86.945,84.836,86.111,88.056,87.015,1,False
87.613,98314,89.002,98314,88.368,98314,88.038,98314,88.892,98314,89.09,98314,88.832,89.216,87.737,88.442,88.746,89.135,88.401,1,False
85.742,98315,86.164,98315,85.723,98315,84.176,98315,86.461,98315,86.012,98315,86.11,86.079,84.063,84.249,86.404,86.213,85.798,1,False
87.112,98316,88.473,98316,87.671,98316,85.422,98316,88.556,98316,88.603,98316,86.431,85.789,87.032,87.411,87.246,87.716,87.52,1,False
84.956,98317,84.054,98317,86.946,98317,82.265,98317,85.57,98317,84.307,98317,84.39,85.976,83.454,85.768,86.874,86.135,83.3,1,False
82.709,98318,87.932,98318,86.421,98318,85.127,98318,86.414,98318,86.847,98318,86.303,86.255,86.63,86.729,84.74,86.146,85.997,1,False
83.823,98319,86.541,98319,86.533,98319,86.136,98319,87.593,98319,86.644,98319,87.085,86.668,85.394,85.688,87.83,85.653,85.681,1,False
