,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview Google Score
98335,69.789
98336,83.009
98337,85.491
98338,85.869
98339,87.125
98340,86.877
98341,88.886
98342,69.789
98343,84.551
98344,87.777
98345,82.928
98346,86.779
98347,84.034
98348,82.005
98349,87.966
98350,88.257
98351,86.329
98352,85.621
98353,84.774
98354,78.72
98355,85.313
98356,86.0
98357,80.794
98358,84.835
98359,84.984
98360,78.108
98361,88.197
98362,88.634
98363,85.8
98364,82.194
98365,86.267
98366,69.789
98367,84.985
98368,83.013
98369,69.789
98370,89.088
98371,69.789
98372,87.695
98373,85.335
98374,87.178
98375,87.618
98376,84.9
98377,86.654
98378,88.364
98379,87.701
98380,87.232
98381,69.789
98382,69.789
98383,86.593
98384,86.365
98385,88.952
98386,86.283
98387,87.898
98388,69.789
98389,86.812
98390,87.473
98391,87.352
98392,87.546
98393,87.902
98394,69.789
98395,90.503
98396,86.017
98397,85.411
98398,83.618
98399,83.72
98400,81.007
98401,82.651
98402,86.515
1747,82.023
1784,80.765
2476,81.344
2515,79.523
2517,79.767
2529,77.901
2538,80.186
2551,69.789
2553,69.789
2554,83.491
2555,79.876
2556,80.069
2577,81.074
2582,79.375
2583,81.031
2584,81.01
2585,80.471
2586,79.715
2587,81.145
2588,75.847
2589,81.025
2590,79.984
2591,80.606
2592,81.328
2594,69.789
2595,80.268
2597,83.049
2645,69.789
2654,79.124
2655,81.371
2656,81.036
2657,83.039
2658,76.755
2659,69.789
2660,81.932
2741,77.246
2766,80.89
2793,83.394
2810,76.757
2824,69.789
3002,78.828
3021,69.789
3093,81.353
3105,79.662
3113,79.602
3118,82.559
3120,78.551
3122,79.199
3123,81.608
3133,79.737
3134,80.188
3135,78.974
3136,82.039
3137,80.798
3138,78.988
3139,80.157
3140,79.255
3141,82.517
3142,69.789
3143,79.479
3144,78.295
3145,78.38
3146,79.599
3147,82.061
3148,81.552
3149,80.285
3150,69.789
3153,79.595
3155,69.789
3156,79.503
3157,80.916
3158,79.064
3159,78.109
3160,81.984
3161,80.797
3162,80.071
3186,81.059
3225,78.018
3315,81.994
3321,79.549
3332,80.951
5877,80.082
5981,84.058
6043,80.302
6078,81.403
6081,82.89
6082,83.034
6090,79.047
6127,82.893
6211,82.356
6213,79.933
6214,81.571
6231,69.789
6232,69.789
6233,78.621
6239,79.522
6240,79.085
6254,69.789
6255,79.826
6342,69.789
7630,83.983
7654,78.57
8890,83.343
8916,78.138
9028,69.789
9066,77.086
9445,69.789
9542,69.789
9546,78.99
9547,80.976
9583,77.527
9587,78.38
12037,82.431
12116,79.884
12122,80.593
12124,79.101
12141,80.129
12143,81.948
12149,79.471
12161,80.995
12252,82.652
12408,69.789
12409,78.9
12410,81.817
12418,79.935
12422,78.727
12435,69.789
12436,79.337
12437,69.789
12447,81.533
12448,81.198
12449,81.042
12450,80.182
12451,78.14
12452,69.789
12453,81.168
12454,80.226
12455,69.789
12456,80.006
12457,82.649
12458,84.105
12459,78.189
12460,80.192
12461,81.674
12462,81.138
12463,82.978
12464,79.66
12465,80.49
12466,80.117
12467,83.414
12468,78.92
12469,79.081
12470,86.425
12471,81.528
12472,83.278
12473,81.24
12474,69.789
12475,69.789
12476,82.178
12477,84.624
12478,83.601
12479,79.554
12480,79.326
12481,81.168
12482,83.456
12483,69.789
12484,78.391
12485,81.907
12486,78.676
12487,80.041
12488,81.804
12489,77.108
12490,80.778
12491,69.789
12492,80.504
12493,81.118
12494,81.525
12495,83.084
12496,69.789
12497,83.304
12498,81.502
12499,77.77
12500,79.447
12501,74.963
12502,79.211
12503,78.672
12504,79.308
12505,80.169
12506,81.48
12507,81.85
12508,78.284
12509,82.022
12510,78.857
12511,82.282
12512,81.494
12513,78.561
12514,81.55
12515,81.718
12516,80.222
12518,81.285
12519,80.094
12520,80.121
12521,80.307
12523,69.789
12525,85.815
12526,80.261
12527,82.866
12528,69.789
12529,80.892
12530,76.931
12531,79.61
12532,69.789
12533,79.156
12565,69.789
12656,80.68
12674,82.062
12687,81.235
12736,81.216
13078,75.652
13080,82.412
13146,81.38
13147,81.492
13148,78.654
13149,80.656
13150,83.154
13196,79.217
13382,80.182
13461,78.601
13475,69.789
13477,80.538
13537,81.427
13893,78.686
13897,77.884
14744,77.92
14862,80.067
14882,82.272
14890,82.688
14906,79.458
14907,79.903
14914,77.347
14916,78.262
14930,82.75
14932,79.195
14939,78.34
14947,81.103
15180,79.737
15240,78.825
15339,82.137
15419,78.255
15425,79.004
15426,81.251
15474,80.437
15519,75.804
15524,70.217
15589,78.472
15679,79.304
15743,78.769
16036,80.206
16039,79.544
16064,82.237
