,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5 DoorDash Score
12480,82.098
12481,83.206
12482,83.38
12483,82.16
12484,79.482
12485,82.395
12486,84.852
12487,82.97
12488,80.071
12489,80.156
12490,81.0
12491,82.635
12492,83.508
12493,80.617
12494,80.988
12495,83.596
12496,81.989
12497,86.363
12498,83.54
12499,81.566
12500,81.265
12501,79.357
12502,82.543
12503,77.201
12504,83.8
12505,76.162
12506,82.877
12507,79.194
12508,82.591
12509,80.973
12510,81.32
12511,82.048
12512,79.867
12513,80.162
12514,85.385
12515,83.23
12516,84.372
12518,82.196
12519,81.505
12520,84.216
12521,82.285
12523,83.953
12525,86.144
12526,83.201
12527,83.184
12528,80.343
12529,84.986
12530,81.399
12531,80.323
12532,81.465
12533,81.478
12565,84.69
12656,81.444
12674,82.544
12687,79.226
12736,82.881
13078,83.255
13080,84.474
13146,80.082
13147,81.299
13148,85.427
13149,81.198
13150,82.543
13196,85.594
13382,81.958
13461,81.805
13475,84.272
13477,81.136
13537,83.176
13893,82.379
13897,81.498
14744,84.023
14862,81.458
14882,84.859
14890,83.638
14906,80.688
14907,81.592
14914,82.828
14916,80.454
14930,82.642
14932,78.767
14939,79.416
14947,81.988
15180,80.047
15240,80.681
15339,83.208
15419,80.556
15425,84.116
15426,81.898
15474,85.069
15519,81.135
15524,82.084
15589,79.667
15679,77.956
15743,78.591
16036,82.934
16039,81.502
16064,84.499
