,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5 DoorDash Score
98372,79.042
98373,80.667
98374,80.669
98375,79.19
98376,78.89
98377,78.431
98378,80.675
98379,80.595
98380,80.98
98381,77.058
98382,79.152
98383,80.078
98384,81.342
98385,76.918
98386,81.267
98387,82.905
98388,81.76
98389,79.974
98390,82.734
98391,78.9
98392,76.301
98393,77.463
98394,76.706
98395,78.634
98396,78.655
98397,77.988
98398,78.994
98399,78.023
98400,78.757
98401,79.544
98402,84.701
1747,79.41
1784,79.399
2476,82.022
2515,81.927
2517,83.193
2529,82.536
2538,83.351
2551,82.902
2553,83.485
2554,83.741
2555,81.091
2556,81.332
2577,82.843
2582,82.582
2583,80.913
2584,83.54
2585,82.71
2586,82.603
2587,81.29
2588,82.921
2589,82.711
2590,83.763
2591,82.772
2592,84.472
2594,83.518
2595,82.165
2597,87.414
2645,82.649
2654,82.918
2655,82.237
2656,82.877
2657,79.175
2658,83.016
2659,83.346
2660,83.521
2741,80.026
2766,79.934
2793,82.945
2810,80.262
2824,82.713
3002,82.599
3021,83.421
3093,82.981
3105,81.774
3113,79.823
3118,81.945
3120,81.952
3122,81.158
3123,81.204
3133,83.519
3134,83.998
3135,84.846
3136,83.389
3137,84.205
3138,82.646
3139,79.364
3140,80.121
3141,81.283
3142,83.579
3143,80.73
3144,79.299
3145,81.055
3146,79.649
3147,82.33
3148,80.931
3149,82.678
3150,83.334
3153,81.402
3155,79.151
3156,83.168
3157,79.818
3158,81.427
3159,81.851
3160,80.652
3161,83.449
3162,82.904
3186,84.053
3225,84.121
3315,80.13
3321,82.214
3332,77.565
5877,78.349
5981,83.925
6043,84.871
6078,80.961
6081,85.274
6082,82.147
6090,83.228
6127,87.238
6211,80.578
6213,85.184
6214,80.86
6231,80.48
6232,81.603
6233,83.403
6239,79.118
6240,81.92
6254,82.238
6255,79.918
6342,81.259
7630,79.28
7654,80.035
8890,79.248
8916,76.647
9028,79.769
9066,81.548
9445,82.456
9542,82.262
9546,83.612
9547,81.698
9583,83.036
9587,78.202
12037,82.086
12116,79.79
12122,83.783
12124,83.258
12141,80.73
12143,81.48
12149,82.211
12161,80.181
12252,83.454
12408,78.669
12409,82.579
12410,83.501
12418,81.481
12422,82.821
12435,81.019
12436,80.731
12437,80.581
12447,84.662
12448,83.929
12449,79.689
12450,81.271
12451,83.416
12452,83.426
12453,82.773
12454,80.567
12455,84.728
12456,85.148
12457,81.387
12458,83.814
12459,82.285
12460,85.874
12461,84.223
12462,80.454
12463,77.672
12464,87.301
12465,82.626
12466,80.051
12467,82.764
12468,79.806
12469,77.705
12470,86.866
12471,82.61
12472,81.832
12473,82.572
12474,78.802
12475,83.27
12476,82.257
12477,80.482
12478,82.493
12479,80.489
12480,82.537
12481,78.451
12482,82.704
12483,79.844
12484,80.992
12485,81.891
12486,83.32
12487,84.393
12488,79.986
12489,79.422
12490,79.393
12491,83.391
12492,83.302
12493,82.529
12494,80.106
12495,82.357
12496,80.37
12497,84.972
12498,83.105
12499,81.128
12500,81.375
12501,79.423
12502,82.286
12503,77.655
12504,81.171
12505,76.67
12506,82.907
12507,80.103
12508,80.853
12509,78.597
12510,81.43
12511,81.229
12512,79.478
12513,80.456
12514,86.053
12515,82.448
12516,83.771
12518,82.45
12519,80.751
12520,84.037
12521,84.066
12523,83.653
12525,86.356
12526,84.156
12527,83.035
12528,79.291
12529,83.961
12530,81.364
12531,79.919
12532,81.707
12533,82.184
12565,83.064
12656,80.823
12674,83.173
12687,78.876
12736,82.205
13078,81.09
13080,83.532
13146,82.771
13147,82.917
13148,83.441
13149,80.962
13150,82.335
13196,85.649
13382,81.983
13461,80.362
13475,84.355
13477,80.58
13537,83.549
13893,80.197
13897,82.065
14744,82.094
14862,82.231
14882,83.335
14890,83.996
14906,81.048
14907,82.781
14914,83.088
14916,80.457
14930,83.078
14932,78.124
14939,80.21
14947,80.957
15180,81.059
15240,81.817
15339,81.417
15419,81.804
15425,84.231
15426,82.754
15474,83.221
15519,81.852
15524,83.052
15589,78.641
15679,75.325
15743,76.806
16036,83.406
16039,81.577
16064,85.369
