,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5 Google Score
2476,80.562
2515,79.955
2517,79.378
2529,78.761
2538,79.493
2551,81.353
2553,79.46
2554,84.792
2555,80.586
2556,80.36
2577,79.588
2582,80.73
2583,80.505
2584,79.478
2585,78.814
2586,79.66
2587,79.272
2588,77.176
2589,80.719
2590,79.597
2591,79.553
2592,80.95
2594,78.939
2595,80.281
2597,82.142
2645,80.133
2654,79.27
2655,79.688
2656,79.95
2657,82.141
2658,77.108
2659,77.94
2660,79.319
2741,77.306
2766,80.643
2793,82.482
2810,77.642
2824,79.851
3002,77.838
3021,79.184
3093,78.946
3105,75.59
3113,77.519
3118,82.529
3120,78.439
3122,79.235
3123,79.043
3133,79.389
3134,81.344
3135,81.715
3136,81.135
3137,78.804
3138,77.846
3139,77.786
3140,78.329
3141,80.478
3142,79.36
3143,79.193
3144,76.809
3145,77.454
3146,78.552
3147,80.058
3148,80.337
3149,79.526
3150,79.379
3153,78.586
3155,77.212
3156,79.251
3157,80.71
3158,78.512
3159,77.683
3160,80.953
3161,79.388
3162,77.306
3186,80.458
3225,78.118
3315,76.72
3321,79.029
3332,80.79
5877,79.033
5981,81.487
6043,79.409
6078,79.55
6081,81.176
6082,80.984
6090,78.59
6127,82.42
6211,79.306
6213,79.659
6214,80.573
6231,78.108
6232,81.608
6233,79.65
6239,79.39
6240,78.331
6254,82.415
6255,79.349
6342,76.733
7630,80.489
7654,77.902
8890,81.364
8916,77.777
9028,79.475
9066,78.537
9445,78.557
9542,79.958
9546,79.201
9547,79.341
9583,78.868
9587,74.469
12037,81.981
12116,77.649
12122,82.035
12124,77.041
12141,78.084
12143,78.943
12149,81.835
12161,77.594
12252,81.215
12408,76.377
12409,77.831
12410,80.78
12418,79.918
12422,79.079
12435,77.414
12436,78.136
12437,79.048
12447,80.101
12448,79.832
12449,79.41
12450,79.094
12451,76.872
12452,80.832
12453,77.869
12454,79.294
12455,79.009
12456,79.039
12457,81.288
12458,83.878
12459,78.778
12460,79.087
12461,81.509
12462,81.35
12463,82.626
12464,81.586
12465,80.46
12466,79.424
12467,78.906
12468,77.392
12469,77.025
12470,84.238
12471,83.008
12472,83.678
12473,80.377
12474,80.978
12475,79.463
12476,79.17
12477,80.54
12478,82.842
12479,76.483
12480,79.695
12481,80.351
12482,81.98
12483,79.357
12484,79.684
12485,79.598
12486,77.293
12487,81.063
12488,79.174
12489,75.838
12490,80.476
12491,80.191
12492,81.098
12493,78.555
12494,78.758
12495,83.022
12496,79.594
12497,82.662
12498,82.35
12499,76.482
12500,77.562
12501,76.246
12502,79.065
12503,76.359
12504,80.128
12505,80.868
12506,81.05
12507,79.773
12508,77.246
12509,80.457
12510,78.767
12511,80.661
12512,80.147
12513,77.666
12514,80.673
12515,79.116
12516,80.248
12518,79.123
12519,77.677
12520,80.935
12521,80.471
12523,81.422
12525,84.895
12526,79.249
12527,81.609
12528,80.237
12529,78.78
12530,77.929
12531,79.191
12532,78.351
12533,78.191
12565,81.921
12656,80.008
12674,79.428
12687,82.449
12736,81.697
13078,75.053
13080,81.93
13146,81.301
13147,79.787
13148,77.264
13149,78.9
13150,79.888
13196,80.354
13382,79.704
13461,78.196
13475,80.057
13477,78.08
13537,81.282
13893,76.693
13897,77.434
14744,76.37
14862,78.932
14882,81.123
14890,80.919
14906,79.025
14907,79.175
14914,76.491
14916,77.575
14930,80.712
14932,77.134
14939,78.518
14947,78.048
15180,78.966
15240,78.469
15339,80.036
15419,77.146
15425,78.638
15426,81.629
15474,80.241
15519,81.752
15524,79.482
15589,77.011
15679,77.364
15743,78.022
16036,78.545
16039,79.39
16064,80.91
