GPT-35 Conversation-Improved CV Google PM Score,GPT-4o Conversation-Improved CV Google PM Score,Twice GPT-4o Conversation-Improved CV Google PM Score,GPT-4o-mini Improved Google Score,Cleaned GPT-4o Conversation-Improved CV Google Score,Cleaned Twice GPT-4o Conversation-Improved CV Google Score,Original Google Score
83.711,86.172,88.291,88.961,87.317,87.585,80.408
84.306,84.363,83.87,84.139,86.554,86.169,84.83
87.216,88.63,87.916,88.364,86.316,86.796,87.198
82.836,83.947,82.913,83.476,84.744,85.14,80.68
86.289,87.324,86.309,87.654,88.245,87.825,84.11
80.985,81.784,83.06,80.403,85.419,85.692,81.783
84.204,86.037,85.529,85.731,85.685,85.766,85.629
86.04,87.266,86.325,85.873,86.425,86.832,82.385
83.73,84.016,83.934,84.514,83.247,84.697,81.284
86.535,86.179,87.225,87.023,87.844,87.608,85.634
82.334,87.155,86.89,86.072,84.219,83.404,82.531
82.678,85.655,85.768,85.542,88.621,87.604,83.516
87.268,84.289,88.824,88.738,87.643,87.643,87.235
86.059,87.363,87.196,87.557,87.987,86.989,84.902
83.276,82.916,82.893,82.59,83.907,83.891,84.55
85.717,85.954,87.185,87.342,86.524,87.381,86.261
80.497,80.755,82.081,82.145,81.894,81.55,82.706
86.634,87.19,87.75,87.541,87.887,87.62,87.383
86.12,88.076,87.38,87.48,88.634,89.293,85.014
87.834,88.464,89.259,88.499,86.729,87.055,87.317
86.894,86.173,87.939,87.806,86.41,86.319,86.483
74.326,76.916,78.381,77.476,75.927,75.7,72.668
85.509,86.422,85.337,86.023,85.617,85.404,85.583
79.651,86.367,85.932,85.786,86.709,86.705,82.03
83.32,86.533,86.097,86.413,87.186,86.694,82.727
82.36,87.695,86.112,86.072,85.695,85.722,81.542
80.808,85.606,85.791,86.005,85.241,84.722,79.444
79.374,85.187,85.019,84.186,84.153,84.542,80.437
80.289,80.962,84.358,84.497,83.317,83.489,80.49
80.079,84.946,84.966,83.497,84.882,84.582,81.789
76.471,78.552,82.539,82.651,79.33,80.356,78.138
80.874,81.405,84.47,84.225,84.401,84.512,79.438
88.784,90.935,90.547,90.398,90.166,90.104,90.052
87.557,87.537,88.821,87.669,88.824,88.779,87.179
83.352,83.425,85.429,86.746,84.259,84.212,84.329
85.395,86.737,84.96,85.226,84.364,84.081,86.282
86.304,86.969,86.387,86.816,85.917,88.4,86.358
81.743,82.579,86.238,86.114,84.592,85.027,83.453
85.397,85.096,83.3,84.035,83.809,85.939,82.217
85.964,85.456,86.334,86.009,87.314,87.129,86.529
84.461,84.635,85.423,85.735,82.794,84.412,83.016
84.303,86.509,89.78,89.714,88.761,88.728,85.368
83.394,82.783,86.627,87.999,89.291,89.731,87.268
81.706,82.555,87.859,87.674,87.974,88.676,83.39
84.024,84.211,87.771,87.5,86.004,85.485,85.508
83.151,88.105,87.06,86.559,88.353,88.403,85.129
84.573,85.653,86.527,85.331,85.89,84.936,85.132
87.779,86.765,87.599,88.048,87.248,86.852,85.263
84.954,86.881,88.546,88.58,84.755,85.406,83.929
81.406,86.413,86.36,86.878,86.975,86.733,82.062
85.248,84.427,86.416,87.086,84.693,84.02,83.826
85.708,86.132,87.316,87.182,86.567,86.269,85.299
85.889,88.431,89.347,88.667,86.897,86.948,85.22
85.218,84.594,85.56,85.001,87.204,86.961,86.003
81.686,84.925,85.573,85.114,84.275,83.897,82.188
86.191,88.664,87.501,87.763,85.885,86.995,85.207
87.576,87.975,89.587,89.464,89.456,89.586,86.491
84.046,84.927,87.387,86.853,89.713,88.63,87.613
84.177,81.695,85.711,84.415,84.946,84.978,85.742
88.123,87.585,88.743,89.384,87.85,88.081,87.112
82.392,83.793,86.54,85.813,86.848,86.443,84.956
82.848,84.42,87.576,87.308,85.669,86.026,82.709
82.738,85.419,87.383,87.429,87.145,86.981,83.823
85.382,85.611,88.558,88.637,87.827,87.92,86.808
81.752,84.899,85.866,86.63,86.924,87.132,81.653
86.901,87.925,88.815,89.429,88.976,89.162,87.97
87.696,85.832,85.588,85.814,88.362,87.604,86.441
87.955,88.581,88.191,89.038,88.705,88.34,87.08
84.946,84.287,85.265,84.927,85.926,85.577,83.155
80.512,86.882,83.885,84.708,83.837,83.837,81.24
83.896,86.522,83.886,84.268,79.441,80.359,79.087
86.046,85.658,87.506,88.273,87.742,86.933,86.918
84.498,82.541,85.77,86.576,87.578,86.45,82.961
88.013,88.389,86.101,86.974,87.823,88.064,84.654
89.759,89.345,86.037,87.801,89.474,89.345,86.919
87.142,87.283,88.143,87.233,87.615,87.69,87.198
81.274,81.158,84.954,85.031,84.675,85.155,82.181
80.931,87.473,87.598,88.265,88.193,89.301,81.38
87.461,88.212,88.872,88.449,87.72,87.15,86.826
83.492,87.985,87.541,87.731,87.189,87.32,83.927
86.492,87.272,85.871,86.231,88.221,88.27,86.44
80.224,83.602,84.013,84.151,83.302,83.747,81.774
81.711,82.696,85.654,85.017,83.566,83.668,83.115
86.898,87.22,86.569,86.66,87.955,87.588,84.188
88.131,87.785,88.776,88.734,88.723,88.433,87.857
86.106,86.41,87.131,86.767,84.77,84.255,86.181
82.775,83.286,86.339,86.596,84.074,83.899,84.314
81.586,82.302,84.096,83.356,84.729,85.475,80.418
85.664,85.84,84.679,84.794,86.386,85.835,83.591
80.857,82.189,81.055,80.528,81.495,81.741,79.137
81.023,82.372,80.07,79.221,78.147,79.584,78.228
81.07,83.296,79.246,79.397,80.847,81.329,81.609
79.836,78.61,80.653,81.3,78.601,78.238,79.725
80.311,80.755,80.714,80.025,80.953,81.229,80.315
80.583,82.719,80.65,81.533,81.937,81.94,82.063
80.075,80.329,79.949,78.461,82.187,82.021,78.716
79.007,81.565,82.701,79.426,80.493,80.11,78.701
79.709,81.166,80.036,80.488,80.207,80.16,79.604
78.356,79.209,79.752,79.058,80.706,81.346,78.912
81.807,82.566,83.353,83.724,83.213,82.469,81.581
79.225,81.559,80.743,80.861,79.718,79.99,77.576
80.835,81.658,82.196,82.011,80.798,80.793,77.834
80.929,81.134,82.583,81.999,80.705,81.837,81.767
77.24,80.848,79.182,77.882,79.285,78.611,76.921
78.332,79.073,80.099,80.207,78.22,78.515,78.332
77.685,78.15,78.905,79.585,79.563,79.88,77.912
80.215,79.47,78.533,78.077,77.848,78.427,78.151
78.053,80.277,79.091,79.264,80.438,80.089,80.017
77.544,79.23,79.127,80.951,80.919,79.881,80.242
75.849,75.314,77.084,76.881,76.283,76.486,74.56
78.88,80.489,79.869,79.938,80.054,79.295,80.623
77.995,78.795,79.69,79.74,79.238,79.568,78.227
76.747,81.656,77.606,77.382,78.666,77.676,76.744
75.38,80.71,77.628,77.048,76.813,76.613,76.668
79.327,80.56,79.67,79.653,79.214,79.225,79.658
80.034,81.046,81.861,82.412,82.091,81.503,81.252
77.987,79.145,79.749,80.38,79.11,79.361,78.624
78.629,81.06,79.655,79.035,80.801,80.099,78.807
76.643,78.341,77.373,76.763,79.202,78.613,77.76
80.408,82.513,80.705,80.926,81.132,81.684,79.096
77.188,75.979,77.139,77.337,77.091,77.077,77.36
77.825,78.389,81.118,80.895,80.188,81.06,78.666
80.112,80.714,80.305,80.61,80.367,80.018,79.025
78.813,80.918,79.432,79.356,79.039,79.398,78.168
79.397,79.567,79.026,78.771,79.75,79.667,79.045
78.728,78.664,81.036,81.577,79.778,79.313,78.204
80.117,78.817,82.307,83.004,80.9,80.495,77.804
74.967,75.627,76.524,76.221,75.941,75.702,75.902
82.091,83.511,86.726,84.982,83.071,83.141,83.337
80.574,83.009,83.128,83.47,81.998,82.342,80.985
80.805,79.77,79.252,79.77,80.174,79.69,78.094
75.048,77.252,76.492,76.654,77.517,75.961,76.029
77.984,76.75,78.406,78.204,77.844,77.569,78.451
75.609,76.969,78.955,78.952,76.874,76.689,76.874
76.848,78.698,77.814,77.644,76.717,76.746,75.935
79.793,80.443,80.37,81.491,80.233,80.339,80.029
78.559,79.49,80.004,78.304,79.839,79.132,78.241
80.542,80.161,80.64,80.946,80.776,80.873,80.299
81.177,81.837,81.626,81.784,81.66,81.577,80.744
81.47,83.101,81.917,81.206,82.498,82.516,81.327
81.256,80.993,83.443,83.914,81.325,80.407,82.265
80.82,82.521,81.055,81.3,81.368,80.357,81.198
77.318,76.279,77.081,76.453,78.296,78.182,76.603
76.474,76.53,79.186,79.549,80.095,79.846,78.715
78.256,79.095,78.852,78.699,80.289,80.265,77.605
79.685,80.913,79.536,79.348,79.116,78.634,79.729
76.621,80.282,78.023,78.536,78.788,79.325,79.045
80.166,80.222,80.559,81.034,82.368,82.27,80.08
79.353,79.393,79.296,79.824,79.228,79.404,78.286
79.882,78.866,79.558,78.364,79.363,79.159,79.195
75.71,76.034,80.795,80.806,77.339,77.579,80.742
81.181,79.986,80.282,80.112,81.662,81.678,81.891
80.03,80.607,81.218,80.97,80.973,80.327,81.321
79.327,79.747,80.153,80.046,79.044,79.281,79.317
78.145,78.124,77.539,79.283,79.776,79.276,79.106
74.716,75.406,77.33,77.514,76.759,76.348,74.33
76.957,78.996,78.171,78.352,78.117,77.798,77.934
76.853,78.291,78.469,78.321,78.659,78.344,79.151
78.791,78.759,79.986,80.135,79.436,77.683,79.282
80.626,82.446,80.199,80.376,81.018,81.081,79.589
76.849,79.376,79.528,78.884,77.727,79.031,77.39
81.579,81.787,79.991,80.989,82.759,82.204,81.588
79.73,80.156,81.261,81.128,81.809,80.229,81.217
76.465,75.474,76.664,77.558,77.39,77.522,77.053
77.94,78.875,81.213,81.25,78.622,78.828,80.594
82.41,82.062,82.569,83.042,81.805,81.967,79.596
79.259,78.904,80.017,79.596,77.975,78.527,79.286
80.053,79.549,82.544,82.155,79.723,79.661,80.395
78.652,79.945,82.384,81.941,80.84,81.226,80.727
76.388,80.533,81.506,81.208,79.478,78.633,76.806
78.533,81.983,82.585,82.467,80.441,80.607,79.981
77.442,80.211,80.575,80.092,80.112,79.981,78.759
79.667,80.303,80.122,79.719,79.646,81.313,80.171
81.245,80.387,83.709,84.259,82.543,82.844,81.385
77.283,78.405,79.157,79.357,80.802,79.642,77.388
79.995,78.704,80.78,81.0,81.397,80.874,81.06
76.998,78.757,80.782,81.873,79.232,79.554,80.739
78.243,80.224,80.562,80.558,80.293,80.389,81.001
78.558,78.352,78.879,79.506,78.881,78.465,79.31
79.462,80.059,79.889,79.216,79.291,79.197,79.164
78.512,77.094,79.774,80.077,78.883,78.876,78.982
77.593,80.791,80.5,80.273,80.21,80.201,79.279
78.814,81.061,80.299,79.671,79.861,79.972,77.488
76.692,79.179,78.284,78.069,79.62,78.994,79.456
81.554,80.964,80.61,80.864,81.854,80.912,81.653
79.946,81.522,80.115,79.605,79.123,79.083,80.746
80.463,80.44,79.475,79.637,79.429,79.543,79.677
76.248,78.09,77.756,77.395,78.521,77.819,77.916
77.691,79.13,80.991,80.986,81.053,80.661,80.706
80.216,81.204,83.601,82.919,83.235,83.308,81.988
81.761,81.998,83.0,83.161,80.677,80.805,81.63
75.593,76.677,78.746,78.514,79.036,78.489,76.937
86.731,85.39,85.655,85.613,87.151,87.316,85.506
78.021,80.197,80.72,81.044,80.43,80.269,78.27
77.707,77.819,80.821,80.003,76.702,76.887,77.33
76.89,80.19,81.263,81.54,80.928,80.596,79.056
80.619,81.393,81.751,81.063,80.602,81.543,82.238
80.163,82.805,81.813,81.518,82.639,82.511,81.064
81.949,80.283,82.72,81.29,80.583,80.91,82.107
78.232,78.559,78.667,78.755,78.18,78.642,78.392
77.402,79.227,78.536,78.033,78.551,78.811,77.033
79.187,79.58,81.363,82.311,81.153,80.825,78.893
76.565,76.743,80.849,80.64,77.083,78.152,79.384
79.24,79.507,77.848,78.508,79.931,80.229,78.875
77.403,82.099,80.575,79.312,81.278,79.867,77.408
80.126,79.865,79.334,79.766,79.967,79.214,79.098
77.724,79.947,81.513,78.825,79.795,79.929,79.517
78.463,81.331,82.295,81.803,81.962,82.065,80.108
81.134,81.933,82.429,80.962,80.618,81.686,81.936
82.603,81.959,81.33,81.741,83.003,82.959,81.74
78.075,81.365,81.413,81.973,79.453,79.528,78.573
77.984,78.759,79.877,79.778,78.261,77.988,78.442
79.852,79.733,80.929,81.472,80.69,80.686,80.901
81.84,83.717,81.737,81.672,82.528,82.883,82.671
79.3,80.251,80.377,80.991,80.019,80.046,80.14
77.552,77.31,77.268,77.057,78.65,78.521,77.582
78.623,79.574,81.029,81.118,80.476,80.001,78.873
79.699,80.58,81.098,80.447,80.894,80.787,80.617
78.883,79.275,80.061,79.585,77.723,76.895,78.261
76.042,75.932,77.335,77.441,79.564,79.997,75.384
78.885,79.225,80.157,80.464,79.736,79.75,78.408
75.762,79.248,80.016,79.853,79.259,79.062,75.989
80.693,81.969,80.386,81.074,81.427,81.406,80.649
80.637,80.407,80.596,81.016,79.533,79.641,79.905
80.026,79.447,80.13,79.754,78.375,77.826,79.093
77.86,77.821,79.667,79.595,79.802,79.852,79.115
76.137,80.181,80.395,80.344,80.801,79.709,79.256
76.503,79.438,78.056,76.404,77.464,77.09,76.503
78.277,80.945,78.041,77.517,81.639,82.05,77.982
81.128,81.363,81.543,81.032,81.04,80.949,80.099
81.66,81.957,82.24,82.245,81.103,81.155,81.66
75.17,76.581,79.127,78.31,79.206,78.938,78.175
78.207,79.636,79.428,80.117,78.873,78.833,78.554
78.269,81.451,81.434,80.996,81.354,81.067,78.21
78.234,77.829,81.485,81.229,79.44,79.467,77.503
74.957,79.487,75.089,75.094,78.247,78.763,75.24
76.516,79.487,76.284,76.157,77.188,77.257,76.272
82.158,81.015,81.436,82.251,79.746,80.717,82.081
82.204,82.641,84.045,83.903,84.232,84.557,81.82
80.663,80.73,79.8,80.133,77.77,77.627,79.801
80.006,80.407,80.301,80.278,79.475,79.566,79.123
80.331,80.023,80.978,80.921,81.868,82.004,79.917
79.759,79.54,78.76,79.981,78.229,78.788,77.896
80.118,80.809,80.32,80.758,80.094,80.174,79.351
78.606,80.731,78.888,79.174,79.397,79.391,78.441
74.69,74.888,78.4,78.685,76.7,76.502,74.021
77.216,78.705,78.806,78.387,77.083,77.536,77.18
81.053,80.643,80.389,80.766,80.642,80.323,80.794
77.995,79.641,78.715,78.96,78.111,78.633,77.792
79.24,80.627,81.065,80.98,79.656,80.215,79.569
78.735,80.53,78.327,78.349,80.515,80.622,77.81
80.678,80.489,80.562,81.068,80.868,80.758,80.984
77.091,78.728,79.022,78.901,77.246,77.287,78.193
74.619,74.925,78.8,74.529,78.165,78.208,75.2
79.717,84.217,85.202,85.454,85.252,84.946,81.996
73.193,75.382,72.435,72.51,76.546,76.842,72.858
75.21,74.509,75.197,75.154,75.096,75.705,74.564
79.23,78.159,79.261,79.818,77.807,78.037,78.677
78.009,80.925,80.743,80.468,78.766,78.951,78.575
77.082,76.115,80.35,80.951,80.423,79.336,77.162
77.686,78.564,81.2,81.262,79.67,80.171,78.291
79.862,81.368,81.409,80.703,80.828,81.102,78.865
78.55,81.144,81.529,81.274,79.569,80.136,79.502
77.851,79.281,83.288,81.686,81.721,82.024,79.579
80.577,81.428,81.91,82.075,81.361,80.623,80.711
81.17,81.493,82.326,82.833,83.22,83.208,81.139
82.528,81.933,81.763,81.792,81.047,81.026,78.47
79.166,79.387,81.356,82.28,81.143,80.639,79.725
84.521,84.143,84.487,84.112,84.739,84.678,84.575
80.282,78.876,78.477,77.435,77.538,77.734,79.07
81.084,80.986,79.966,80.041,79.253,79.52,75.672
81.422,80.505,81.232,81.647,80.789,79.684,78.445
77.368,79.534,80.222,80.16,79.152,78.606,78.609
79.208,81.174,80.189,79.896,80.362,80.141,79.514
79.415,80.705,80.39,80.876,80.011,79.753,79.081
78.489,79.885,78.771,79.304,78.372,78.223,75.858
77.261,77.291,80.449,81.07,79.112,78.962,77.464
76.08,77.67,79.747,79.279,78.556,78.842,77.76
78.932,78.528,80.459,79.841,81.263,81.159,79.381
77.79,80.0,80.012,80.949,78.736,78.681,80.429
77.517,77.918,79.291,79.284,78.754,78.44,79.403
77.463,76.81,79.127,78.87,78.76,78.576,77.031
83.608,83.143,83.864,83.48,82.849,82.86,83.684
81.137,82.263,83.737,84.189,81.158,81.044,82.915
78.212,81.515,81.191,80.655,80.386,80.441,79.226
76.511,76.278,76.885,77.398,76.894,76.667,77.299
78.042,78.42,81.391,81.187,78.1,78.271,78.775
78.835,77.849,79.927,78.968,79.416,78.801,79.094
80.376,82.67,83.422,83.606,83.764,83.384,82.06
76.728,81.056,80.58,81.024,80.417,80.924,78.276
80.52,81.702,80.143,80.111,78.861,78.934,77.845
74.756,75.974,77.971,77.571,80.364,80.002,77.508
79.159,82.368,82.288,82.218,82.671,82.974,82.473
79.164,79.865,80.496,80.118,79.776,80.48,79.281
79.309,80.451,79.726,80.056,79.465,79.71,76.914
81.683,82.251,81.507,81.839,84.126,83.803,80.285
76.038,77.966,77.533,78.341,77.028,77.08,75.919
77.679,80.25,78.213,80.342,80.254,79.783,80.462
80.249,83.54,82.297,82.946,84.049,83.736,78.399
77.092,77.189,78.14,78.146,78.681,78.1,75.298
78.222,77.834,79.304,79.742,78.935,78.707,79.181
79.695,80.088,81.823,81.658,80.413,80.492,78.716
82.48,83.121,82.523,83.259,83.89,84.279,83.21
77.091,76.953,76.725,76.565,77.084,77.694,76.772
77.981,80.102,78.379,78.277,79.884,79.495,78.73
79.418,79.024,82.419,81.165,82.661,82.428,81.843
77.616,79.01,78.205,78.418,78.827,78.829,77.525
78.208,81.004,78.921,78.819,78.485,78.792,79.081
78.125,79.493,77.942,78.546,77.437,77.808,77.939
82.898,82.538,84.004,83.517,81.801,82.048,80.533
79.926,80.248,83.651,82.498,81.137,81.417,82.487
81.488,79.815,84.083,84.135,82.208,82.564,81.524
78.839,78.606,80.91,81.36,79.895,79.716,76.757
77.1,77.504,81.187,80.939,82.639,81.291,79.591
76.336,76.133,78.76,79.746,79.96,81.159,79.365
75.163,76.189,78.9,76.822,78.439,77.521,75.297
78.022,78.842,76.878,78.489,78.702,77.992,77.562
75.989,80.229,80.972,80.751,81.497,81.067,79.848
79.935,80.241,82.294,81.413,80.211,80.259,79.045
