Position,True Label,id,CVDoorDash PM Score,Cleaned GPT-4o Conversation-Improved CVDoorDash PM Score,Cleaned Twice GPT-4o Conversation-Improved CVDoorDash PM Score,GPT-3.5 Improved CVDoorDash PM Score,GPT-4o Conversation Improved on GPT-3.5 Improved CVDoorDash PM Score,GPT-4o-mini Improved CVDoorDash PM Score,GPT-4o Conversation Improved on GPT-4o-mini Improved CVDoorDash PM Score,Will Manipulate
"Design Manager, Lead UI/UX Designer",0,fa43d2a5-208f-5062-b335-23998329a6b9,80.852,83.447,83.204,80.526,82.617,81.708,81.016,True
"Design team lead, graphic designer, ux/ui designer",0,e5c3f817-38d9-51c6-8285-fc3ec884feee,82.694,82.658,81.978,81.271,80.297,81.463,82.212,True
Digital 2D Artist & UI/UX Designer,0,07930a7b-b7b9-553a-b562-abb31bb3782e,78.953,77.642,76.482,80.065,82.51,80.566,80.464,True
Digital designer/ UI/UX Designer/ Webflow Designer,0,706c1160-8b97-5574-9c9b-a74b79ac709f,79.948,82.006,81.816,80.437,82.727,80.587,80.617,True
Digital Graphic & Ui/UX Designer,0,83f0c172-2f5c-5702-a663-adff7a45034f,76.477,76.637,77.064,77.215,78.662,76.411,76.966,True
Djunior UI/UX Designer,0,51f21642-bae9-5a7d-9a9b-12b799ab53a8,80.344,79.978,77.689,79.527,80.198,82.212,81.395,True
Junior UI/UX Designer,0,98be96a6-245c-54e7-b3e6-c6a5fad12537,80.609,80.906,80.735,74.115,80.773,80.574,79.688,True
Junior UI/UX Designer,0,97a4fa8a-88ff-5a83-be01-8ee7c11c7d46,82.031,82.302,82.192,81.042,81.104,81.495,81.828,True
Junior UI/UX Designer,0,4ea3179c-9193-5474-a0ed-1fcee4133179,80.423,79.707,79.908,80.393,80.267,80.633,80.55,True
Junior UI/UX Designer,0,9c33c74a-e2b8-5d0a-8000-9c696ffc6d4f,80.823,82.005,81.73,78.352,80.599,81.591,81.397,True
Junior UI/UX Designer,0,4dc787b3-b034-5276-a35b-d5a2e322fb18,78.568,79.054,79.037,75.932,78.545,77.687,77.344,True
Junior UI/UX Designer,0,76e81ee9-4734-54da-a673-644dc88466cc,76.06,77.583,77.553,75.957,80.363,78.305,78.173,True
Junior UI/UX Designer,0,ae41fbc0-42fe-5fd3-90f2-072986562f29,78.697,81.427,81.255,78.945,79.14,80.654,80.025,True
Junior UI/UX Designer,0,e51bf45a-9022-576e-b30e-26c49207dcf9,77.467,79.885,79.704,76.014,76.724,79.917,79.531,True
Junior UI/UX Designer,0,6ddbe81b-5983-5b49-8111-3bd600e5a6a4,76.224,79.185,79.745,78.197,79.195,79.428,78.854,True
Junior UI/UX Designer,0,2c485953-00eb-5544-9d53-f45510249a3d,83.437,83.334,83.722,83.517,83.818,84.307,84.096,True
Junior UI/UX Designer,0,156dee66-f1d4-5c34-aeec-f6dbc62a0052,79.979,79.932,80.349,80.128,83.217,80.553,80.83,True
Junior UI/UX Designer,0,cdfd88ee-03fa-58b2-bcb5-07997246b436,79.706,83.028,82.51,81.121,83.379,82.342,82.479,True
Junior UI/UX Designer,0,2fe2428e-5b63-54e6-b280-f612d691f1a3,80.099,83.135,82.727,78.883,78.808,82.865,82.437,True
Junior UI/UX Designer,0,d45a6fc9-116d-52cd-9bc5-80d2555f89f6,81.65,81.672,81.476,81.433,81.327,82.651,83.021,True
Junior UI/UX Designer,0,5eda3840-643e-5591-a26e-aa131aab2645,77.461,78.112,79.06,78.228,78.974,78.145,78.35,True
Junior UI/UX Designer,0,c8800bb2-d306-52e0-b166-b85a88a99198,78.127,81.086,80.504,78.645,77.775,79.024,78.856,True
Junior UI/UX Designer,0,b6b2b299-ea8d-52e4-95df-07052cc11dee,80.984,81.405,81.246,78.155,76.464,80.6,80.868,True
Junior UI/UX Designer,0,52e35922-ae87-5bc4-9675-aebac0fc0084,75.482,75.551,74.816,75.534,75.379,75.91,75.594,True
Junior UI/UX Designer,0,ab4458ce-0408-5263-9d39-034faafe595b,79.429,80.262,80.227,79.345,79.748,79.746,79.47,True
Junior UI/UX Designer,0,e12535ec-8ab2-5363-88a5-35b33111b8f2,80.426,81.596,81.065,79.834,80.782,81.232,81.223,True
Junior UI/UX Designer,0,9c5e4097-98bc-5414-bf29-beb030d8298c,78.545,80.106,80.33,80.517,81.2,81.004,80.873,True
Junior UI/UX Designer,0,21069954-bf80-566f-adbd-5f2ea97c4a66,78.659,76.586,76.676,77.019,76.51,77.482,77.61,True
Junior UI/UX Designer,0,dfa536e5-c732-5b4a-8cd2-252f61d95515,76.695,79.229,79.199,80.474,81.155,79.02,78.832,True
Junior UI/UX Designer,0,f5dd5e77-80d7-5b5e-8e5a-e83eb4698ea7,80.098,80.564,80.401,79.965,80.294,81.025,81.018,True
Junior UI/UX Designer,0,2b00576e-f418-584a-b8d2-f7593ce880f3,80.914,79.998,79.517,77.768,80.546,82.164,82.234,True
Junior UI/UX Designer,0,5c759407-3e8b-50d8-8883-7e76f3ecabb7,79.556,79.237,79.4,78.955,79.205,81.488,80.615,True
Junior UI/UX Designer,0,056ff5a8-eeb2-5ec0-abc3-7f637f798f9c,77.586,81.696,81.252,75.288,74.866,79.78,79.514,True
Junior UI/UX Designer,0,a6f77bdc-2691-5f93-a49e-45e609c457eb,79.801,78.308,78.251,79.048,79.385,79.516,77.837,True
Junior UI/UX Designer,0,52af0e09-30cd-5c2e-882e-6eb18a11cbd7,80.576,80.974,80.802,78.873,79.937,81.626,80.76,True
Junior UI/UX Designer,0,635a8292-0155-514e-9a5d-21bca9545d86,80.151,78.035,78.171,79.876,80.796,81.427,80.701,True
Junior UI/UX Designer,0,ddb222fb-b8e1-551a-8956-73e9830fdf7d,81.412,79.069,81.362,80.271,80.93,82.403,82.345,True
Junior UI/UX Designer,0,166d832d-1815-509a-aaf3-9953337f02c2,79.681,79.557,79.405,77.027,78.198,80.224,79.93,True
Junior UI/UX Designer,0,95052812-cd5a-5ae7-ba61-e6b9f4a10ab7,83.103,82.106,82.245,82.271,82.041,82.444,84.064,True
Junior UI/UX Designer,0,dec5dfb0-b117-5ec5-839b-866fe3039bf7,81.225,79.757,81.773,79.722,83.434,82.277,82.245,True
Junior UI/UX Designer,0,8d1adbc4-5625-5007-8996-3e99b01a7568,79.333,76.992,76.814,78.0,80.111,79.762,80.808,True
Junior UI/UX Designer,0,58eb2db8-7917-53f1-a449-892aa6b1534a,78.186,79.95,81.139,77.54,81.651,80.207,80.407,True
Junior UI/UX Designer,0,adcd869b-63bf-5575-8c17-3c838ef53047,79.441,78.599,78.01,79.547,78.195,78.399,78.061,True
Junior UI/UX Designer,0,b0bab3fc-e812-51db-a5b7-8222603b3e6f,80.144,77.85,77.862,80.393,79.483,78.545,78.581,True
Junior UI/UX Designer,0,ac6a2fe6-4ee5-5059-a71d-2469002a292d,79.738,79.168,79.427,77.883,76.266,80.628,80.015,True
Junior UI/UX Designer,0,e5b4d3e8-cb58-52b7-b177-5fa8d2efb317,77.819,78.493,78.828,76.487,79.294,77.528,77.675,True
Junior UI/UX Designer,0,a86914aa-b3af-5140-9a2e-5a80aea471d3,77.139,77.986,78.264,76.648,76.677,79.804,79.565,True
Junior UI/UX Designer,0,58b87915-1bb3-56b9-92c5-43b0f8556e1f,78.387,79.259,79.087,75.5,76.408,76.625,76.323,True
Junior UI/UX Designer,0,71685d09-6e2c-57d9-930b-e236792e76fd,80.71,78.685,78.589,77.917,78.865,80.026,79.737,True
Junior UI/UX Designer,0,c99ce9dd-b9aa-5619-98e7-c8fe48713a08,80.003,81.986,82.386,81.43,81.432,81.241,81.019,True
Junior UI/UX Designer,0,e6199a6b-abcc-5969-a809-8f1a44358052,77.204,77.346,76.114,75.226,74.758,79.84,79.978,True
Junior UI/UX Designer,0,342d412b-84a5-5574-97f7-4aa75bbe3e7f,79.887,80.11,81.253,80.97,81.098,81.409,81.464,True
Junior UI/UX Designer,0,f64051de-4dfb-5fc8-95a8-8cd968809847,78.576,76.915,77.209,79.075,80.722,79.17,79.042,True
Junior UI/UX Designer,0,4956573a-41e6-53e2-840e-cc9dababec3d,80.54,80.059,79.895,81.796,81.636,81.649,81.658,True
Junior UI/UX Designer,0,dcf07bfb-f3d6-579b-9120-03120c7653bb,82.133,80.671,80.331,81.318,81.883,79.529,81.221,True
Junior UI/UX Designer,0,57c3ab8e-b822-5896-8fcc-4903a434cb51,79.492,78.884,77.86,77.994,77.586,78.872,78.52,True
Junior UI/UX Designer,0,92480f90-2777-5b8d-8e01-105dd73a7012,78.92,78.749,80.182,79.971,80.12,80.809,80.516,True
Junior UI/UX Designer,0,c08a31bd-8666-557c-a18a-9070b7fc51e6,77.769,77.356,76.758,77.962,78.478,79.722,79.962,True
Junior UI/UX Designer,0,10b79cb9-c5af-53a0-9cff-e72459441b3d,80.217,79.12,79.59,79.981,81.243,81.031,81.111,True
Junior UI/UX Designer,0,12b22df5-d2b7-5962-9ca6-773a1b3c2c1e,79.974,82.235,81.26,78.338,80.219,80.769,80.66,True
Junior UI/UX Designer,0,6d7c8276-72aa-5a3d-84c3-1ca345026a68,80.307,79.204,80.156,78.568,79.154,81.881,81.872,True
Junior UI/UX Designer,0,1e797519-41ca-5195-bfde-20d52a5b4dfb,77.936,77.01,77.515,76.863,76.657,79.217,79.696,True
Junior UI/UX Designer,0,857031a2-b0c9-585b-bb09-478ded57f385,79.239,77.573,77.751,75.922,77.433,78.854,79.231,True
Junior UI/UX Designer,0,bc923d3f-4ad4-568e-8863-2e77c4926124,78.557,80.606,81.284,79.444,78.424,79.634,79.934,True
Junior UI/UX Designer,0,eee791eb-d6fd-5cd3-93ff-7332339afed9,81.499,81.753,81.289,79.419,78.968,81.765,81.316,True
Junior UI/UX Designer,0,98228c56-73cf-52d4-8514-d7807faedd28,77.527,80.088,79.644,76.655,82.459,81.551,81.188,True
Junior UI/UX Designer,0,d466fea7-bee3-5131-b2c4-58629b41ee8b,79.297,77.277,77.035,77.143,77.723,78.717,78.836,True
Junior UI/UX Designer,0,8bcf6e00-712f-50a1-aa3c-5c2f278fd0ea,81.26,79.164,79.164,78.264,79.256,80.127,80.099,True
Junior UI/UX Designer,0,05f74ffa-e3ff-5f2b-8361-9d79c9c24914,80.761,78.083,78.265,80.641,80.649,80.523,80.635,True
Junior UI/UX Designer,0,d8f5c5f5-b759-573a-a948-5f49051b465b,79.775,81.196,80.967,78.368,81.959,82.606,82.136,True
Junior UI/UX Designer,0,07ac9f18-2b5d-5692-89c3-220e8a79dac9,79.674,78.628,78.817,76.154,79.765,80.651,81.131,True
Junior UI/UX Designer,0,a98468a1-9361-5552-9834-dcbe9d10b524,79.354,78.205,78.387,79.386,80.041,81.403,80.748,True
Junior UI/UX Designer,0,d2815c6e-dbba-523a-b6fa-c498d384cd33,78.98,78.876,78.93,78.161,78.908,81.371,80.818,True
Junior UI/UX Designer,0,b45bdc86-ccb0-5ac2-8c5f-e8f0692f9490,77.926,78.819,78.477,79.484,79.685,79.927,79.44,True
Junior UI/UX Designer,0,f9c83f6d-2e4c-58cb-8a59-ea643bddc21f,79.463,80.964,80.116,81.119,80.477,80.58,80.199,True
Junior UI/UX Designer,0,5fe0b9c8-2109-5ba1-aee2-2241d044b28c,79.716,78.577,78.101,77.359,79.647,81.327,81.207,True
Junior UI/UX Designer,0,8431fb90-eb5f-580b-a8cb-a17ce6c070c3,79.844,81.622,80.999,78.841,79.246,80.226,79.641,True
Junior UI/UX Designer,0,cc05d394-8991-50a6-9ac2-c8ee0cc660c5,82.715,82.429,82.193,82.784,82.728,82.44,81.834,True
Junior UI/UX Designer,0,93deac8f-8a66-5246-a19a-7ac70279817c,79.575,81.404,81.785,76.936,78.231,80.314,80.384,True
Junior UI/UX Designer,0,71109822-db93-5fd7-9c1f-da4903b7bbb5,78.304,78.23,78.578,77.724,77.78,82.562,82.71,True
Junior UI/UX Designer,0,4ca8e62d-5945-52fa-a47a-f0e00fe68c41,78.474,78.662,78.458,78.041,81.755,80.588,80.964,True
Junior UI/UX Designer,0,d0fc23c6-0c99-5f54-8aff-e85ce95a2390,78.766,80.824,80.068,78.754,79.959,79.801,79.954,True
Junior UI/UX Designer,0,4ec62654-15b3-58bd-835f-fcf975bb0abb,77.401,80.308,79.807,79.182,78.637,80.03,78.811,True
Junior UI/UX Designer,0,27d988de-9648-5524-bcd7-1cc497dca3b9,80.412,79.71,80.001,80.582,78.67,79.726,79.612,True
Junior UI/UX Designer,0,b78bb3ff-01ed-5f02-9a47-626bb7605f23,80.529,81.7,81.711,80.725,79.842,81.622,81.461,True
Junior UI/UX Designer,0,edc61807-fe38-5a95-8e75-57c884095f1c,81.584,79.542,80.493,81.339,79.26,82.395,82.829,True
Junior UI/UX Designer,0,f8dffd3b-5123-5aba-a229-a49486154d04,80.697,80.393,80.281,81.047,82.153,80.654,81.088,True
Junior UI/UX Designer,0,2f1ebfb3-6cae-521c-bc29-1f4d8e2f1a6d,78.462,81.069,81.112,80.276,81.205,81.053,81.064,True
Junior UI/UX Designer,0,7685a858-5b79-5f3a-81dd-898ae6177b8b,79.701,78.193,79.229,78.626,79.801,82.245,81.374,True
Junior UI/UX Designer,0,57482de9-3f90-5a78-bac1-6e821683f603,78.676,79.849,79.968,78.116,79.041,77.745,79.497,True
Junior UI/UX Designer,0,193ab0f0-278d-5d11-af86-17542b5f0fbf,79.205,78.952,79.114,76.869,78.847,80.548,80.397,True
Junior UI/UX Designer,0,2ed40884-117f-57e7-967d-5c71f6109564,79.874,80.47,80.543,79.826,81.816,80.011,80.899,True
Junior UI/UX Designer,0,b0540b72-6a3e-52fb-a08a-c5df2ab8f0d2,78.635,80.384,80.051,79.779,81.317,81.171,81.287,True
Junior UI/UX Designer,0,96a4560e-0d47-5c67-bb09-6b20d5408be1,82.134,80.058,79.609,83.59,83.423,83.031,82.959,True
Junior UI/UX Designer,0,daf1b6b7-18f9-5b72-9660-34eed8b305e7,80.636,81.513,80.975,80.519,78.446,80.964,80.583,True
Junior UI/UX Designer,0,e1ac6ac4-eb93-5a7f-96eb-cb90feac8dfd,78.511,79.53,80.086,78.259,79.197,79.992,79.234,True
Junior UI/UX Designer,0,6db40296-42f3-5d96-91f6-03f758d2daf2,79.825,80.737,80.962,78.729,80.286,82.457,82.078,True
Junior UI/UX Designer,0,f537c557-11d1-5810-989b-74448c5898ea,82.594,80.33,79.801,81.976,82.576,80.489,79.732,True
Junior UI/UX Designer,0,88028434-4cc0-53f2-952c-10e997372458,77.581,79.42,79.042,77.904,76.648,77.732,77.669,True
Junior UI/UX Designer,0,1525cca2-da61-554f-86c0-f19e5a25db62,79.008,79.664,78.645,78.955,79.186,81.564,81.326,True
Junior UI/UX Designer,0,f9f71815-ad3d-5e73-8ad9-a8daac0eec9b,78.793,80.082,80.078,79.402,80.173,80.196,80.555,True
Junior UI/UX Designer,0,94e67757-3073-52a9-8922-3ae9c1857f74,80.606,83.096,83.366,81.606,82.965,79.789,80.821,True
Junior UI/UX Designer,0,c0ff91c7-3543-59bc-8a28-bf2b97b4f6b4,77.948,77.982,78.217,78.376,79.625,78.357,79.89,True
Junior UI/UX Designer,0,d3f8292f-4747-54a2-a0ce-ed38e5bbd4c4,77.436,78.924,79.571,79.289,80.802,80.698,80.331,True
Junior UI/UX Designer,0,c25c773d-60e5-5719-a959-6dd00a6295fb,81.45,81.279,81.311,81.011,79.155,80.964,80.526,True
Junior UI/UX Designer,0,3fbff7bd-9e8c-5e73-8e64-aa140b12dc32,81.112,81.444,80.162,81.463,80.278,81.254,82.066,True
"Junior Graphic Designer, Junior UI/UX Designer",0,5d678b0c-37e2-5eae-a6d2-9b6ad09911ab,79.315,78.697,79.633,80.414,80.228,80.338,79.858,True
Full Stack UX/UI Designer and WordPress Web Developer,0,fe07447b-f11e-57f3-a2ba-0b3a4b91f478,80.221,79.882,80.117,80.114,80.278,80.564,82.418,True
Game UI/UX Designer,0,7d5d5139-d478-5cee-a1c9-9324506147e0,76.43,77.558,77.371,77.245,79.256,77.553,78.66,True
Game UI/UX Designer,0,e41c7eea-8383-50c4-911f-3c7aec377eea,77.267,77.62,77.306,77.05,78.464,77.314,76.921,True
Game UI/UX Designer,0,46759386-58e7-53b6-bfeb-d8100225f718,79.808,79.127,78.891,79.657,80.087,81.169,81.374,True
Game UI/UX Designer,0,d426a4e8-2767-5b11-8b74-7497f1c023e8,77.557,77.218,77.103,76.381,76.382,77.476,77.154,True
Game UX/UI Designer,0,9d0e7bf9-9338-5afe-bd98-5d2f00d8a188,79.619,81.073,80.514,79.659,79.912,78.944,78.626,True
Game UX/UI Designer,0,d5c69e24-3944-5d28-9f94-8d3195eca104,78.76,78.938,78.261,79.131,78.034,79.143,78.004,True
Graphic and UI/UX Designer,0,32a2e760-f9d7-5da6-af00-0ecd50264f09,76.356,77.697,76.964,76.491,76.722,78.829,78.601,True
Graphic and UI/UX Designer,0,8a36386d-171a-543e-aea9-7e550b9a143e,76.764,79.374,78.615,76.692,78.164,79.311,79.811,True
Graphic and UI/UX Designer,0,74505a22-df4d-5107-acfc-e60e5e021a73,79.209,77.822,77.125,78.106,78.975,79.665,80.022,True
Graphic and UX/UI designer,0,66595a13-8408-5099-a219-e62ba4b9ba6f,77.965,76.638,77.943,77.315,77.783,78.076,78.051,False
Graphic Designer and UX/UI Designer,0,c393120f-1796-5714-b207-80fd03c73968,77.012,77.851,77.033,75.762,78.058,76.63,76.697,False
Graphic Designer and UX/UI Designer,0,e51027b3-527e-557a-9cfc-84a80eba85fb,78.41,82.06,81.86,77.627,80.52,78.628,79.017,False
"Graphic designer, Illustrator, UI/UX designer",0,19c48c72-6971-57ac-aabb-5576269c7f1e,80.724,81.062,81.107,79.247,80.741,79.036,79.78,False
"Graphic Designer, Junior UI/UX designer",0,98e79c9c-82c1-5f97-94f1-ce2edc6d617c,81.668,80.984,81.92,81.281,81.083,81.417,81.638,False
Graphic Designer / Junior UI/UX Designer,0,d37b7976-a983-5499-91b8-a230224d2e19,76.652,74.045,73.195,74.584,75.089,75.296,75.838,False
"Graphic Designer, Junior UI/UX Designer",0,ab385698-fa94-543b-9e0f-c6e406fcd6ec,74.694,76.965,76.854,72.122,76.892,76.957,77.006,False
"Graphic designer, Junior UX/UI Designer",0,816ca7eb-54fc-5525-9799-c79512d77d33,78.634,79.389,78.935,78.64,78.34,80.131,79.822,False
"Graphic Designer, UI/UX designer",0,3a44a198-cff6-57db-839b-3044dea23172,81.444,82.232,83.122,79.562,80.728,81.54,81.537,False
Graphic Designer & UI/UX Designer,0,8307b769-4420-5e05-87ab-b062d2bc7661,79.632,81.464,81.635,80.296,80.619,79.558,80.078,False
Graphic Designer / UI/UX Designer,0,cb5c30ed-5925-5355-ba40-71837ed7faf0,77.946,79.468,79.951,78.06,78.588,79.992,79.141,False
Graphic Designer |  UI/UX Designer,0,143f30c9-97f3-560a-b8b1-c88b3632e151,76.808,77.423,77.04,76.093,77.089,75.895,76.125,False
"Graphic Designer, UI/UX Designer",0,6d87a98e-3a87-5038-852a-082490d57b4b,81.646,82.122,82.015,81.144,82.63,82.268,82.78,False
"Graphic Designer, UI/UX Designer",0,876acbc2-8017-5b62-9ce5-aae7321d9d6c,77.546,79.084,77.768,77.775,79.166,77.17,78.123,False
"Graphic Designer, UI/UX Designer",0,8846fe59-8ec2-50ae-b34b-dc2cd1935c59,75.992,76.236,75.888,75.854,75.51,76.077,74.841,False
"Graphic Designer, UI/UX Designer",0,5b34fa56-8f6e-5301-89e6-c3326db3f32f,79.052,79.538,78.967,78.899,78.946,80.058,79.88,False
"Graphic Designer, UI/UX Designer",0,82cc41f1-2b3c-5820-aaac-343e89fa39ff,78.432,78.744,79.071,75.235,79.792,80.299,80.214,False
Graphic Designer / UI/UX Designer / 2D Artist,0,b8294749-88f1-5d0c-8ad7-54cc2a2655b5,73.741,76.991,75.897,73.412,76.213,74.035,78.533,False
"Graphic Designer, Ui/Ux Designer, Marketing Designer",0,060c58f6-52db-50fe-8bb9-4b9afe9b36fa,83.078,82.591,82.415,80.416,79.667,83.301,83.441,False
"Graphic Designer, UI/UX Designer, Product Designer",0,ef7f66c0-c290-5f0f-9f1c-ef1f9abfba41,78.375,80.74,80.435,76.955,78.213,77.714,80.95,False
Graphic designer | UX/UI Designer,0,bd8e5c52-d3d2-55c8-8e05-0f08dd7c966e,78.595,80.138,80.558,78.123,79.416,79.547,79.619,False
"Graphic designer, UX/UI Designer",0,2c08f722-b701-556f-a5b0-bf8378665573,76.529,77.979,77.823,75.073,76.499,76.228,77.739,False
"Graphic designer, Web designer,UI/UX designer",0,d00aab6a-1c56-53ba-9b0f-dca939c4606c,75.692,75.901,75.748,75.661,76.852,76.918,76.983,False
"Graphic designer, Web designer; UX/UI designer; Visulal designer; Artist illustrator",0,1aa3613b-bc0d-59f3-81ff-f60b76b4b0cb,78.75,80.476,78.641,76.907,80.291,82.885,83.671,False
Graphic designer Ӏ UI/UX designer,0,28e3d054-ccf3-5933-96a0-137126f9f2a6,76.452,76.442,76.257,74.991,74.064,77.967,78.401,False
"Graphic, UI/UX designer",0,5e59e902-7560-51a3-ad26-14d1a10f9713,78.962,78.017,78.652,76.827,80.179,80.431,81.286,False
Graphic & UI/UX Designer,0,13e9556c-b1ca-5f8d-a72e-f546e0d0c180,78.206,79.1,78.988,77.855,80.156,79.373,79.268,False
"Graphic, UI/UX Designer",0,7f5de827-e896-5e82-8eb7-95915719dce4,77.906,77.94,77.729,78.489,80.38,80.318,79.734,False
Graphic/UI/UX Designer,0,3f538399-cb38-5e69-a480-665911f17781,81.529,81.905,81.617,82.336,81.254,81.235,81.12,False
Graphic & UX/UI Designer,0,e1e9c623-6940-5876-a4f2-a59f81f1a8fc,77.64,77.438,78.317,76.576,80.728,78.33,78.397,False
Graphic & UX/UI Designer,0,5fa4abe2-2917-5245-a7c3-08359623ffc4,80.385,80.217,80.028,77.032,76.571,81.643,81.358,False
"Graphic, Web, UI/UX Designer",0,11b76825-f4e0-5cf1-910c-e20ca529de72,80.598,79.377,79.315,78.332,78.457,80.412,80.071,False
Head / Lead / Sr. Product UI/UX designer,0,72770d0e-3cc2-5b3f-878b-b024c9cfd162,81.865,82.265,81.722,81.776,82.28,83.381,82.584,False
"Head of Design, Art-Director, Lead UI/UX Designer, Senior Product Designer,",0,93e7a9f2-e8ef-57a8-942b-23623ca89042,82.265,83.759,82.56,81.971,83.284,83.12,82.982,False
"Head of Design, Lead UI/UX Designer",0,5307b543-66b5-5a59-90ca-ba6bfd18cc05,83.063,85.107,84.168,82.172,82.27,83.867,83.598,False
Head of Design | Team Lead | UX/UI Designer,0,ce742945-1e47-55b9-91f2-18936f407d6d,78.716,79.591,80.248,78.997,81.64,80.276,80.564,False
junior/trainee UX/UI Designer,0,28651767-8350-5e0d-ac08-9e2d20e9d8c4,76.482,77.99,77.7,76.487,78.641,78.84,78.714,False
Junior-Trainee-UX/UI Designer,0,1973a91f-e269-583c-a1fd-c0ead26580e7,76.887,79.008,79.15,76.375,76.547,77.964,76.691,False
junior UI/UX Designer,0,e2d6febe-04ce-5a18-895f-fd64225d4f64,77.869,80.734,80.659,77.996,79.27,80.333,79.507,False
Junior ui/ux designer,0,73ebb6c2-7dd2-57a0-bcde-8b8bff65ded7,78.229,80.54,80.733,78.076,80.967,81.082,81.794,False
Junior ui/ux designer,0,ed551cf3-5f7e-5018-ad55-df8d0acfeda3,76.049,81.372,81.273,78.598,81.512,81.493,81.235,False
Junior ui/ux designer,0,3df2cbf0-cfe1-5a57-aecc-eeb90a00b3d1,78.007,77.531,77.375,76.462,78.035,78.738,79.562,False
Junior Ui/Ux Designer,0,1de1fbd0-9e94-5483-a906-1895a63827f9,79.835,78.584,78.697,80.41,80.67,77.906,77.321,False
Junior  UI/UX designer,0,1d408a35-d083-51e7-9c1d-70c9cab1e04c,77.305,80.896,81.21,78.142,78.449,80.751,80.469,False
Junior UI/UX designer,0,8f653d9b-d9c7-5160-bbdb-15884b158b4b,77.886,81.344,81.279,77.746,79.531,80.514,81.126,False
Junior UI/UX designer,0,d7d8fb06-e0f6-50a6-b68a-b6460b308bac,77.801,79.735,79.462,77.203,78.164,76.623,77.795,False
Junior UI/UX designer,0,61a2d899-1a6a-5be0-929a-1c81bc25a682,80.451,77.662,77.625,75.085,77.068,77.029,76.858,False
Junior UI/UX designer,0,78bba98a-851b-5587-851b-69c205477aed,79.815,79.777,79.848,83.805,84.67,79.445,79.763,False
Junior UI/UX designer,0,04cc3150-4317-5e7f-a34c-7430c1da99d5,76.479,77.202,79.137,78.196,79.376,78.909,78.875,False
Junior UI/UX designer,0,a316332d-b27f-5cbd-b64f-8cbca3729b4a,78.818,81.169,80.717,81.19,80.68,79.997,80.474,False
Junior UI/UX designer,0,2e781810-fd6d-5dc9-8c49-f7fa1aa656cf,78.349,79.072,78.584,78.787,80.084,80.619,80.408,False
Junior UI/UX designer,0,7b7c3404-2b91-5ab2-8ab7-384745957032,78.91,80.719,80.24,77.246,78.216,78.738,78.871,False
Junior UI/UX designer,0,a8d242dc-a35f-5383-b43b-2b4558c50b62,77.683,78.102,78.519,77.581,78.007,80.56,81.147,False
Junior UI/UX designer,0,b51ca474-bfb4-5f4f-a3dd-c2e5e0112a29,78.456,80.793,80.478,79.712,79.538,79.332,79.931,False
