id,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
2555,"- 5 years of experience as a Sales Assistant in international companies within the Chemical raw materials distribution industry
- 5 years of experience as a Customer Support/Account Manager, with a promotion to Support Team Lead in an EdTech company serving the Western Market (Western Europe and USA)
- 1 year of experience as an EdTech project manager focusing on lead generation, outbound sales, and support within the secondary and higher education sphere on the Western Market
- Proficient in IBS, SAP, Zoho, Confluence, Jira, Kommo CRM, Canva
- General knowledge of programming concepts in Java"
2556,"Account Manager:
- Communicated with clients via emails, cold and hot calling
- Participated in demos and tested the application
- Created company profiles and updated the application accordingly
- Helped clients with questions and inquiries regarding the application
- Created content for the website (blogs and tutorials)
- Found ways to make clients interested in the product and help them make the most of it

Sales Support Agent:
- Conducted Ukrainian and Russian market investigation and research
- Helped British company expand to Eastern European market
- Communicated with business owners and representatives
- Engaged in B2B sales and filled necessary reports

Customer Support Agent:
- Found solutions to customer service issues for customers from USA, Canada, and Great Britain
- Communicated with customers via telephone and emails
- Provided solutions to customer service issues and made adjustments to customer profiles and subscriptions
- Processed refunds when necessary
- Ensured customer satisfaction with outcomes
- Worked with CRM and performed quality assurance
- Analyzed calls taken by outsource company and corrected mistakes in the system
- Followed up with customers to ensure satisfaction
- Filled necessary reports"
2577,"Workflow and standard operation processes optimization, successfully managing and ensuring completion of team tasks. Maintaining and administrating a Salesforce lead/records database. Running and administrating 2 e-commerce businesses simultaneously.

Job Title: Project Coordinator

Tasks:

- Measuring service efficiency through contrastive analysis & reporting
- Providing administrative support for the program
- Importing & maintaining lead data in Salesforce
- Monitoring & reporting team activity on overdue tasks/tickets
- Handling high-value escalations from internal teams
- Revising processes and making improvements

Job Title: Online Store Project Manager (remote)

- Optimizing workflow by delivering high-quality customer service
- Managing backend admin panel
- Working with hosting infrastructure
- Dispatch management
- Resolving support tickets

Job Title: Talent Agent Admin & Talent Specialist

- Sourcing talent for internal teams and clients
- Conducting video interviews with freelancers
- Creating & handling Jira tickets
- Optimizing operations and improving program efficiency and quality
- Creating, maintaining, and improving SOP documentation

Job Title: Magento E-Commerce Project Manager

- Creating and assigning tasks to the dev team, improving UI optimization
- Cooperation with SEO and marketing team
- Conducting performance review meetings
- Establishing cooperation with manufacturers/suppliers worldwide
- Managing stock, configuring payment, shipping methods, and rates in Magento
- Managing orders, dispatch, and refunds
- Dealing with customer inquiries and resolving complaints"
2582,"Education:
PhD degree in Economics (Candidate of Economic Sciences), 2018

Key Achievements:
- Suggested improvements to the logic of the medium-term program at Kyiv-Mohyla Business School, enabling participants to introduce changes in their businesses easier and demonstrating better understanding of the content
- Selected to the team focused on implementing the new CRM system, responsible for testing, bug reporting, and designing the interface based on department processes and needs
- Appointed to the commission that evaluated participants' graduation projects on the medium-term program

Additional Qualifications:
- IELTS Academic test score of 7.0 in 2011 and 2014
- Participant of the Internship Program at the Presidential Administration of Ukraine (USAID Rada Program and Interns' League)
- Completed 6 online courses at Coursera in various subjects

Experience:
1. Project Manager at Ukrainian Social Academy, Jul 2019 - March 2020
- Conducted competitor analysis, depth interviews, and created product concepts
- Developed promotion plans, managed client relationships, and tested company website

2. Project Manager at EdEra, April 2019 - May 2019

3. Account & Project Manager at Kyiv Mohyla Business School [kmbs], May 2016 - July 2018
- Managed Executive Development Programs, identified client needs, developed marketing plans, and represented the school at external events
- Coordinated with Marketing and Finance departments, collected feedback for product improvement, and coached new team members
- Administered company website, worked with CRM & analytics, and developed the CRM system

4. Internship at Presidential Administration of Ukraine (USAID Rada Program & Liga Interniv), Nov 2014 - Jul 2015

Objective:
Passionate about contributing to a company with a meaningful mission and creating new opportunities for positive impact on social and business processes."
2583,"Genesis - Sendios.io 
- Account Project Manager responsible for rebuilding the account flow for managing clients' tasks for the whole team 

Coreteka 
- Product Manager responsible for launching the updated version of the company's website 

BitMedia 
- Sales and Account Manager responsible for increasing advertiser cost through the whole network by 20% 
- Set up the Pipedrive CRM system 

MGID 
- User Acquisition Manager responsible for closing 2 times more clients for 3 months in a row in comparison with colleagues 
- Conducted team education through presentations and delivering training 

Experienced account and digital marketing professional with over 4 years of experience in B2B/B2C working with AdTech and Crypto products. Skilled in E-mail marketing, Communications, and Digital Marketing Project Management. Motivated by fast-paced environments, strong teams of professionals, and challenging tasks. Eager to continue working as a Project Manager or Retention Manager."
2584,"- Multi-tasker with the ability to juggle many projects (56 simultaneously)
- Hands-on experience of working on Project Management tools (Teamwork, Asana, Notion)
- 143 projects completed
- Total managed projects budget - 310 000 USD
- Created and conducted training on negotiation techniques and troubleshooting for company employees
- Mentoring 3 jPMs (raised 1 project manager to middle level)
- Proactive self-starter with a strong understanding of business operations
- Extensive experience in building, maintaining, and running digital marketing campaigns
- Skilled in project management including planning, budget management, and coordination of project components
- Experienced in client management to ensure project goals are met within scope and budget

Lead Account Executive Responsibilities:
- Establishing, developing, and leading partnerships and collaborations to advocate for company strategic priorities
- Developing techniques to attract and retain customers
- Conducting market research and analysis to create detailed business plans for sales opportunities

Middle Project Manager Responsibilities:
- Coordinating and managing multi-functional project teams (10-15 people) for successful marketing campaigns
- Overseeing strategic goals and making tactical decisions through weekly cross-functional meetings
- Mentoring Junior Project Managers"
2585,"Education:
- Bachelor and Master studies completed in Germany
- International Master degree with a ""very good"" grade
- Multilingual certification in German/English

Professional Experience:
- Head of Business Development Department
- Managed a team of sales and account managers
- Increased revenue growth in the market by 50%
- Managed a big integration project with third software supplier

Skills:
- Result-oriented project management, marketing, and sales professional
- Experienced in business process expertise in Marketing, Sales, and IT
- Proficient in Agile/Scrum environment and working in international teams
- Continuously developing technical background through workshops and courses in Online-Marketing, Scrum, Agile Project Management, Lean Project Management, etc."
2586,"7 years of experience in client service and project management

Account Project Manager
Media Agency Vizeum (Dentsu) - (1.6 years)
- Organization and coordination of interaction between the Agency and the Client in the process of development, approval, and implementation of projects/products
- Daily communication and client service for the local and global client and customer teams
- Complex client management in the media: Planning media strategy in all types of media: TV (+TV Sp-p), ООН, Radio, Digital

Senior Account Manager
Marketing Services Agency Adsapience - (3.1 years)
- Account Management: development of concepts for brand/product promotion; building the structure of operational processes; daily customer support, processing customer requests; preparation of project budgets
- IT Project Management: coordination of web developers team - web-sites&App development; supervising Nationalteleconferences
- Operations Management: continuous communication with 4-5 other teams of the specific area (product development, creative, digital, production, legal. logistics, etc.); Managing and participating in all procedural processes
- Team Leading: leading mass BTL, B2B, B2C events; partner integrations; coordination of a team of more than 20+ people; training and quality control of middle managers
- Customer support: coordination of the implementation of services for the client; handling problems and providing better solutions

Account Manager
Marketing Agency TMA Ukraine - (1.9 years)
- Development and integration of marketing promotion for the shopping and entertainment center (Kyiv); 318 projects with an attendance of up to 55,000 people a day
- Coordination of the different types of trade-marketing projects, full-cycle management of all processes"
2587,"Account and project management for Dutch SAAS company specializing in supply chain mapping software for European market. Responsible for advising international clients, preparing budgets, managing projects, coordinating IT team, and ensuring client satisfaction. Proficient in Teamleader, MS Office, Tableau, and in-house software."
2588,"Launched large projects in different shopping centers all over Ukraine (e.g. Vodafone, Davidoff, Mary Key, Glo, Lays, OPPO, Vitto Rossi, Fellini, Vivo etc)

Account manager
ProfiAds ( Advertising & Event agency) (June 2015 – present time)
Key Qualifications & Responsibilities:
- Led documentation (negotiation with clients, signed contracts, customer communication, corresponded with the shopping center, budgeted)
- Held meetings on location, placement agreement, supervision of the launch in different cities
- Coordinated teamwork (communication with the designer to create a layout, approved of the layout with client)
- Created advertising placement (printed layout, found contractors, installation, solving organization problems (import/export equipment), made permissions, controlled of the installation/dismantling"
2589,"- 5+ years of experience in product and outsource companies
- 19 commercially launched projects

Result-oriented Account Manager/Project Manager with experience in facilitating Scrum events, planning and managing project communications, controlling staffing processes, managing project documentation and processes, overseeing internal delivery teams, estimating software implementation requests, planning software development processes, and people management. Strong written, oral, and interpersonal communication skills. Able to work under pressure and manage multiple projects simultaneously. Interested in personal growth and contributing to project success."
2590,"Sales Account Manager with over 4 years of experience. Skilled in processing verified leads, understanding customer needs, providing effective solutions, gathering project requirements, creating project quotes, negotiating and closing deals, managing accounts, moderating business meetings, and issuing invoices. Strong communication skills and ability to bridge gaps between customers and development teams. Seeking growth opportunities in Account/Project management. Proud of long-term customer relationships built over the past 4 years. Values informal and friendly team spirit, well-established business processes, and having an advisor during the initial stage."
2591,"Work Experience:
- Account/Project Manager with one and a half years of experience
- Skilled in communication, able to find common ground with team members and customers
- Proficient in making contracts, agreements, preparing budgets, and testing websites
- Strong ability to prioritize tasks and perform them efficiently
- Experienced in managing multiple projects simultaneously
- Accurate, responsible, and committed to evaluating results and analyzing difficulties to improve future processes
- Dedicated to delivering high-quality work"
2592,"Key Account Manager - Glovo

In the fastest-growing delivery player in Europe, Africa, and Asia, as the only AM of the country, I was:

- Selling in-app instruments and prom campaigns to partners in order to increase their GMV and CPO of the company for 4 000 euros monthly
- Developing and managing partner relationships for all the accounts in the portfolio.

- Own strategic partner relationships end to end, including understanding P&L tracking, managing deep product integrations, leading co-marketing efforts to drive awareness and activation, and ensuring operational excellence

- Delivering day to day campaign execution, optimization, and analysis across multiple clients
- Being responsible for our partner's business performance, analyzing their main KPIs, and ensuring growth MoM. Track and reporting of performance metrics
- Getting feedback from our partners and translating it into a product, marketing, and operations improvement. 
- Being the main POC between Glovo's different areas and the Partner.



Project Coordinator/ Founder

The aim of the project is to help students to learn the basics of business with the opportunity to enter the best university with a big discount 
Working on inbound and outbound leads 
Conducting training for Bishkek and region coordinators
Mentoring and preparing teams to participate in the project 
Managing technical and administrative teams of 60 people
Working with the vision and scope of the team. 

Key Customer Manager, Dubai

Promoting vendor’s products and increasing sales
Designing and implementing a strategic sales plan 
Being the lead point of contact for all customer account matters
Building and maintaining long-lasting relationships 
The testing hypothesis to successful customer relationships
Negotiating contracts and closing agreements with new leads
Onboarding of new customers ( first meetings, training)
Creating showcases of vendors on the backend panel of the website

Assets Sales Manager 

Sold assets worth more than 20000$  in 3 months 
Ensures that product and sales materials are always updated and focused for the applicable presentation, conference, or opportunity.
Preparing a franchise for sale
Financial reporting"
2594,"As an Event Sales Manager at a hotel and restaurant complex, successfully sold and implemented 300+ projects, achieving upsales up to 200% from primary cost. Built long-term relationships with clients, resulting in 2-8 projects with good and excellent feedback. Hired, trained, and managed a team of 8 people, and engaged 20+ partners for startup. 

As an Account Manager (btl), selected and trained personnel that delivered 30% higher results than expected. Possess 10+ years of successful account and project management experience, including sales for B2B and B2C. Skilled in hiring, training, motivating, and managing efficient teams. Developed a startup from scratch and have deep marketing knowledge. Creative, goal-oriented, and a strong negotiator. 

Have 3+ years of experience in Event Sales Management at a hotel and restaurant complex, and 5+ years of experience in Account Management and Event Coordination. Seeking opportunities to leverage previous experience and take on new professional challenges. Most interested in positions such as Event Manager, Account Manager, or Project Manager. No cold sales."
2595,"Professional Summary:
Experienced professional with a background in international sales and business development. Skilled in key global accounts management, communication, and analysis. Proven track record of success in various sales roles, including Sales Manager, Head of Sales Department, and Global Account Management.

Experience:
- Sales Manager: 2 years
- Head of Sales Department: 1.5 years
- Global Account Management: 2 years

Seeking opportunities in Account Management, with a focus on key global accounts. Not interested in sales team management."
2597,"Product Manager, Project Manager, Scrum Master, Business Analyst
September 2022 – August 2023

- Mentoring and coaching team on Agile ceremonies, practices, roles, and artifacts
- Facilitation of Scrum ceremonies and adaptation them to the team needs
- Helping the team not to lose focus on priorities and achieve Sprint and product goals
- Identify customer needs, define a vision, and align Stakeholders behind a specific vision
- Prioritize product features and capabilities
- Establish and monitor timelines in association with the product launch

Areas of competence:
- Product backlog management
- Annual planning and OK methodology
- People management and coordination
- Balancing critical issue resolution and competing priorities
- Project progress and metrics reporting for project teams and customers

Senior Project Manager, Scrum Master
August 2019 – August 2022

- Manage web, desktop, and mobile applications development processes
- Manage several projects in parallel
- Manage project issues and risks
- Facilitate Scrum events and adapt them to the team needs
- Monitor progress to deliver the milestones according to demo plan
- Help the team not to lose focus on priorities and achieve sprint and product goals
- Hold One2One meetings with team members
- Support the team in emerging issues and react immediately if something happens

Areas of competence:
- Project management
- People management and coordination
- Management of co-located and distributed teams
- Product backlog management and planning iterations

Appus Studio, Kharkov, Ukraine
Team Lead Project Manager
May 2019 – August 2019

- Assistance in the development of the project, including implementation of tasks of increased complexity and elimination of critical or complex errors
- Setting clear goals and priorities
- Experience in providing technical advice to employees of the company
- Participation in calls and meetings with customers, also at the request of other managers
- Participation in the process of adaptation and motivation of employees of their department
- Participation in interviews at the request of the personnel manager
- Choice of technologies for project development and project architecture planning"
2645,"Experience:

Project Manager at non-profits:
- Converted all existing spreadsheets of the business to the Monday CRM system, streamlining data management and improving efficiency in the organization's workflows.
- Led the integration and training process to ensure a seamless transition for all team members to the new CRM system.
- Prepared comprehensive monthly and quarterly reports for existing clients, highlighting key performance metrics and achievements.
- Established a standardized reporting process, leading to improved client satisfaction and retention.
- Developed an external e-learning course on grant writing from scratch, leveraging the LearnWorlds.com platform.

Underwriting Manager:
- Received and evaluated the application package received from the clients, ISOs, and etc. Reviewed more than 600 applications packages, and provided feedback.
- Analyzed statistical data using specialized computer programs (Jarvis CRM, etc.).
- Boarded the approved merchants’ application in the system. In total, 95 applications have been created and boarded.
- Kept in touch with new and existing clients on a daily basis.

Account Manager:
- Pre-filled the application package based on the provided clients’ supporting documents.
- Submitted the application package to the banks, keeping in touch with the representatives of the bank in order to be updated about the status of all our clients’ accounts.
- Trained new employees, informing them about the company’s customer management policies.
- Kept the workflow in the CRM updated."
2654,"07/2022 - present time - Account Manager at Sparkybit (Germany)

Key responsibilities:
• Building and maintaining strong, long-lasting customer relationships 
• Resolving complaints and preventing potential issues 
• Carrying out client satisfaction surveys and reviews 
• Engage in consistent customer meetings to positively impact client loyalty and revenue growth 
• Managing existing accounts, solving business and technical issues in collaboration with the team

01/2022 – 06/2022 – Account Manager at DevPals AB (Sweden)

Key responsibilities:
• Communication with clients and ensuring customer success and satisfaction
• Develop trusted advisor relationships with key accounts 
• Assistance with challenging client requests or issue escalations 
• Ensure the timely and successful delivery of solutions according to customer needs
• Assistance in lead generation on Upwork

11/2017 - 09/2021 – Business Sales Manager at North-wine (Denmark)
    
Key responsibilities:
• Search for new key customers 
• Calls to potential clients to introduce our website assistance in controlling the product range and its display on the website 
• Correspondence with existing customers to determine their needs and find suitable products for them 
• Assistance in working on a database of the products, pricing management and wine market monitoring

10/2016 – 11/2017 – Head of Logistics at Gold.ua (Ukraine)

Key responsibilities:
• Control of delivery at all stages as well as control of receivables over all branches of the company
• Making complaints to get compensation when the order was lost or damaged
• Settlement of disputes with customers in case of problems with the timely delivery of goods"
2655,"Experience with contracts.
Good communication and soft skills.
Ability to create and develop strong and long-term relationships with partners and colleagues.
Analytical mindset, understanding cause and effect relationships.
Ability to make independent decisions.
Confident user of MS Office, with strong Excel skills.
Proficient in Google Workspace.
Knowledge of 1C and other accounting programs.
Experience working with the Client-Bank system.
Understanding of Scrum and Agile principles.
Strong understanding of business concepts.
Self-motivated with a focus on self-improvement and setting high goals.
Punctual, detail-oriented, and responsible.
Extensive experience in stress and conflict resolution.
Commercial experience as a project manager for 3 years.
IT project manager in a startup for approximately 1 year.

February 2021 - present
Project Manager at IT start-up, online web service
- Plan and control task execution.
- Manage scope, schedule, and budget.
- Provide statistical or detailed information to evaluate project effectiveness.
- Assist team in delivering work to product owner.

Director
2020 - January 2021
OOO Interlagos, Hotels/Restaurants/Entertainment complexes
- Analyzed, developed, and implemented plans according to goals and objectives.
- Developed business processes for production and monitored competitor analysis.

HR Manager
April 2016 - May 2019
PrAT Hotel Salut, Hotels/Restaurants/Entertainment complexes
- Recruited and attracted new staff.
- Managed personnel records, including registration, transfer, dismissal, and work book completion.
- Worked with 1C 8.3 and participated in the MED program admission process."
2656,"Additional work experience:

Head of Department (Media Buying)
Company Name: [Confidential]
Duration: 4 months

- Managed a team of 4 individuals responsible for providing resources for advertising specialists
- Oversaw department operations and ensured efficient workflow
- Implemented strategies to optimize team performance and achieve department goals

Project Manager (News Project)
Company Name: [Confidential]
Duration: 3 months

- Led a team of 8-10 employees in a short-term news project
- Managed all aspects of the project from planning to recruitment, quality control, and payroll
- Successfully achieved project goals within the specified timeframe

Sales/Account Manager
Company Name: PAYADMIT
Duration: March 2022 - Present

- Responsible for lead generation and initial client contact
- Managed sales of payment solutions and provided ongoing client support
- Resolved disputes and conflict situations to ensure client satisfaction

Account Manager (Media Buying)
Company Name: ACIDBRO
Duration: January 2021 - March 2022

- Prepared and set up advertising accounts for high-risk verticals
- Collaborated with technical department on server purchases, hosting, and app downloads
- Specialized in high-risk industries such as Gambling and Betting, demonstrating expertise in the field"
2657,"Experience in testing from specification analysis to re-testing. Proficient in creating websites using semantic languages (HTML, CSS) and adding interactivity with JavaScript, jQuery, and React. Understanding of application development, agile processes, project management tools, and technical documentation creation. Skilled in filling out Gantt charts and Roadmaps, participating in mockup creation, invoicing, and negotiations. Fluent in English for interviews."
2658,"McCann Kyiv (Client – Vodafone, Unicef, Carlsberg)
Role: Senior Account/Project Manager

Core Responsibilities:
- Coordinated and managed projects at all stages
- Oversaw TVC (local shooting), OOH, and video production
- Held tenders, conducted briefings, worked with vendors, managed budgets, controlled payment terms and timing
- Collaborated with internal creative team, selected resources for project implementation, and provided control and coordination
- Prepared daily, weekly, and monthly reports for clients and agency
- Managed finance data

Cheil Ukraine (Samsung Electronics Ukraine)
Role: Project Manager

Core Responsibilities:
- Coordinated and managed projects at all stages
- Managed TVC, OOH, Retail (POSM), digital, BTL, and video adaptation projects
- Held tenders, conducted briefings, worked with vendors, managed budgets, controlled payment terms and timing
- Collaborated with internal agency team, selected resources for project implementation, and provided control and coordination
- Prepared daily, weekly, and monthly reports for clients and agency
- Managed finance data"
2659,"- Founder and CEO of a new engineering outsourcing business, responsible for acquiring new customers and managing projects in IT banking, digital marketing, aerospace, and automotive industries for 6 years
- Proficient in frameworks such as ITIL, Kanban, PMBoK, BPMN, and tools including Omnitracker, Jira, MS Project, and Visio
- Skilled in negotiations, sales, regulations, and business processes description
- Holds a PM Master Degree Diploma and is IPMA certified
- Completed a British Council Diploma in Business English Advanced with a score of 95%
- Possesses 3 years of US on-site job experience
- Experienced in developing a mature corporate culture, handling big interesting projects, and working with a friendly open-minded team"
2660,"Experience:
- Sales Manager at a small startup company
- Recruiter
- Regional Director
- Customer Support Manager

Education:
- Attended PM courses

Skills:
- Business Communications
- Business Negotiations
- Issue Resolution
- Requirements Analysis
- Risk Management
- Conflict Resolution
- Customer Service
- Public Relations
- International/Intercultural Relations
- Recruiting
- Talent Acquisition
- Translations

Language:
- English proficiency level between Upper-Intermediate and Advanced

Seeking:
- Project Manager/Project Coordinator/Account Manager roles
- Open to Business Analysis or Business Development Manager positions"
2741,"Personal rewards & recognitions: CEO Award 2014; CBN Award 2013
A, A+ class facilities start-up sum. 4500 sq.m., in 5 locations.
Negotiations with authorities, lowering rental rate for land from 13% to 6% and saving 37% of general plant cost (2017-2018). Optimization of operating expenses & utilities (-23% FYTD).
Leading 6 external audits without critical observations, 3rd and 4th site phase development 2015-2018
Unit restructuring and merging into one department of several units
2013 - 2015
Operations Technology Project Leader in international projects: startup of new production lines for Tide, Ariel, Gala and discontinuation of brands DAX, BONUX (2015-2017)
Optimization of manufacturing capacities & support departments at the factory (raw & pack materials) Feb’13 - May’14
Production optimization: process reliability 84%, unplanned downtime less then 2%, scrap less than 1% in 2015.
Restructuring of the plant's infrastructure, transfer warehouses to 3PL, production facilities start-up, boiler house & compressors renovation.
Head of Facilities, Ukraine Operations at Dev-Pro.net (Kyiv, Lviv, Dnipro, Kharkiv, 5 development centers)
Main responsibilities: business continuity, launch lead, oversee all aspects of services & operations of existing 5,000+ sq.m. facility, across development centers in Ukraine and additional space of the Company; Management of team 15+ people.
Previous experience as a manager at Procter & Gamble LCC as site TS Program Manager, HS&E Department Leader (team 43 empl.)
Operations Management
Administrative Facilities Manager
Managed Services
Head of Customer Service
Project Management
Startup Management
System integration
Team management
Change management
Business development
Product Management."
2766,"- Led seven figures marketing campaigns, trafficking, and optimization.
- Increased yield by 20% on CEE markets by introducing new targeting capabilities.
- Created the concept, architecture, and managed the development of a rich media building platform to widen advertising capabilities.
- Increased viewability of certain ad units by 40% to combat banner blindness.
- Over 8 years of diverse experience in the digital marketing field, working with companies such as Ubisoft, Sony, Nintendo, Samsung, Apple, and others.
- Experience in both Performance marketing and Ad Operations on the publisher side, leading multiple projects across global markets focused on revenue growth and yield optimization."
