Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o Google Score
70,86.29
71,83.542
72,84.439
73,83.313
74,84.427
75,83.555
76,80.486
77,79.843
78,85.281
79,83.903
80,82.871
81,85.883
82,81.805
83,74.319
84,81.483
85,84.574
86,85.137
87,83.976
88,81.74
89,86.072
90,76.749
91,83.945
92,80.166
93,83.752
94,83.004
95,82.419
96,85.379
97,84.964
98,83.828
99,84.683
100,79.135
101,86.936
102,82.108
103,82.897
104,84.848
105,82.88
106,83.2
107,85.58
108,82.994
109,83.473
110,85.524
111,85.602
112,83.289
113,83.576
114,85.318
115,80.552
116,83.13
117,85.119
118,85.842
119,85.585
120,82.212
121,83.125
122,83.313
123,84.775
124,88.379
125,84.197
126,83.398
127,82.368
128,85.476
129,83.486
130,84.875
131,82.718
132,83.92
133,81.534
134,82.809
135,84.803
136,85.947
137,84.147
138,84.825
139,86.674
140,84.671
141,80.689
142,84.5
143,86.578
144,84.994
145,83.298
146,84.418
147,84.502
148,83.48
149,80.49
150,83.995
151,84.895
152,85.399
153,86.167
154,85.947
155,85.275
156,83.159
157,85.585
158,85.182
159,85.702
160,83.565
161,84.625
162,83.583
163,86.177
164,83.911
165,82.301
166,86.513
167,84.867
168,84.587
169,85.12
170,85.018
171,85.138
172,80.25
173,84.814
174,84.034
175,82.601
176,85.73
177,83.021
178,85.234
179,84.352
180,85.113
181,85.453
182,85.928
183,85.241
184,82.605
185,80.626
186,85.578
187,86.21
188,82.824
189,85.27
190,84.518
191,86.009
192,84.514
193,84.925
194,83.065
195,85.811
196,85.358
197,83.253
198,82.643
199,86.136
200,84.139
201,85.727
202,83.593
203,83.833
204,82.854
205,82.964
206,87.806
207,85.184
208,84.032
209,85.04
210,84.12
211,83.061
212,82.413
213,85.761
214,83.806
215,85.25
216,83.884
217,85.277
218,84.692
219,81.381
220,83.62
221,85.224
222,83.389
223,84.325
224,85.837
225,83.088
226,86.096
227,82.403
228,84.281
229,82.025
230,84.968
231,83.395
232,85.908
233,85.952
234,81.656
235,79.034
236,84.434
237,85.79
238,82.967
239,82.309
240,84.248
241,84.429
242,84.636
243,77.523
244,79.146
245,82.111
246,82.733
247,82.395
248,81.219
249,84.49
250,84.905
251,85.351
252,86.411
253,81.241
254,84.794
255,84.272
256,85.025
257,85.544
258,84.004
259,85.636
