Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo Google Score
256,86.809
257,84.141
258,87.408
259,83.832
0,87.742
1,85.307
2,85.289
3,83.996
4,87.265
5,82.553
6,83.076
7,77.574
8,84.604
9,83.55
10,85.404
11,81.461
12,85.358
13,83.625
14,83.864
15,82.965
16,85.751
17,84.194
18,84.666
19,76.834
20,85.092
21,83.694
22,86.728
23,86.321
24,83.585
25,85.345
26,88.926
27,84.296
28,87.178
29,84.028
30,84.331
31,83.005
32,84.899
33,85.391
34,85.922
35,81.881
36,85.402
37,86.947
38,88.214
39,85.521
40,84.524
41,83.144
42,86.055
43,86.695
44,87.438
45,84.965
46,81.986
47,85.601
48,85.159
49,86.246
50,81.642
51,85.753
52,82.069
53,84.996
54,84.201
55,82.073
56,84.464
57,81.462
58,81.11
59,82.571
60,83.328
61,80.801
62,79.251
63,84.016
64,83.704
65,85.274
66,86.396
67,83.917
68,83.659
69,84.392
70,85.033
71,82.082
72,81.73
73,85.551
74,81.33
75,84.694
76,79.263
77,80.097
78,75.182
79,83.154
80,83.137
81,79.5
82,81.278
83,80.279
84,81.958
85,81.366
86,83.729
87,80.246
88,82.946
89,84.548
90,76.722
91,82.809
92,77.943
93,84.203
94,76.5
95,82.0
96,84.8
97,83.597
98,83.945
99,80.669
100,75.916
101,85.919
102,82.32
103,81.665
104,85.074
105,82.933
106,82.517
107,85.751
108,83.438
109,82.808
110,86.276
111,85.491
112,83.278
113,84.814
114,86.346
115,81.382
116,80.576
117,84.627
118,84.146
119,84.438
120,81.804
121,83.721
122,80.987
123,84.52
124,89.194
125,81.298
126,78.188
127,82.069
128,85.676
129,83.78
130,84.405
131,82.169
132,84.143
133,81.882
134,77.1
135,85.266
136,85.309
137,83.465
138,83.754
139,85.481
140,84.262
141,80.343
142,84.165
143,86.159
144,84.92
145,82.866
146,84.208
147,82.8
148,83.41
149,79.023
150,83.543
151,85.047
152,84.823
153,86.246
154,84.7
155,83.754
156,82.207
157,84.631
158,83.299
159,86.134
160,82.442
161,83.859
162,83.291
163,84.367
164,83.445
165,83.071
166,84.953
167,84.654
168,85.68
169,80.861
170,84.232
171,85.584
172,80.097
173,81.01
174,82.417
175,81.862
176,85.55
177,83.182
178,84.882
179,83.598
180,84.281
181,85.314
182,82.784
183,84.957
184,83.462
185,78.231
186,84.738
187,86.239
188,82.879
189,86.024
190,84.66
191,86.524
192,85.219
193,84.314
194,83.407
195,84.15
196,84.921
197,82.133
198,83.745
199,80.631
200,84.369
201,83.378
202,83.47
203,84.183
204,82.764
205,83.066
206,86.383
207,84.782
208,83.541
209,84.827
210,83.765
211,83.38
212,84.094
213,82.908
214,83.756
215,84.663
216,83.913
217,84.705
218,83.946
219,82.315
220,84.102
221,83.033
222,84.103
223,77.514
224,86.247
225,83.85
226,83.597
227,81.902
228,84.799
229,81.616
230,85.747
231,84.854
232,82.081
233,84.755
234,80.026
235,82.076
236,84.523
237,85.748
238,82.567
239,84.01
240,85.036
241,83.032
242,82.504
243,75.003
244,77.919
245,82.295
246,81.484
247,83.755
248,80.361
249,83.906
250,85.012
251,84.655
252,85.674
253,82.204
254,85.023
255,83.849
256,85.027
257,84.482
258,85.163
259,85.24
