,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite Google Score
12470,83.664
12471,82.84
12472,82.411
12473,81.874
12474,80.768
12475,79.907
12476,80.795
12477,88.199
12478,83.242
12479,79.784
12480,80.455
12481,82.194
12482,83.7
12483,81.509
12484,80.073
12485,82.255
12486,79.334
12487,82.22
12488,80.369
12489,76.977
12490,80.219
12491,81.26
12492,79.293
12493,77.817
12494,80.4
12495,83.3
12496,79.862
12497,82.797
12498,83.793
12499,78.666
12500,76.996
12501,75.813
12502,80.708
12503,78.628
12504,77.964
12505,80.898
12506,79.654
12507,80.319
12508,77.981
12509,81.118
12510,79.304
12511,81.895
12512,81.147
12513,78.387
12514,82.609
12515,80.494
12516,80.154
12518,80.277
12519,78.088
12520,81.142
12521,79.729
12523,81.334
12525,86.466
12526,80.495
12527,82.181
12528,81.801
12529,79.42
12530,76.044
12531,79.284
12532,78.362
12533,78.797
12565,82.933
12656,80.795
12674,80.992
12687,83.36
12736,81.553
13078,76.281
13080,82.513
13146,81.187
13147,79.003
13148,78.628
13149,79.576
13150,81.29
13196,79.592
13382,80.581
13461,77.901
13475,80.654
13477,80.972
13537,82.117
13893,78.57
13897,75.544
14744,77.133
14862,79.693
14882,81.328
14890,81.891
14906,79.198
14907,80.625
14914,77.145
14916,79.835
14930,83.291
14932,78.69
14939,78.173
14947,79.777
15180,78.395
15240,79.357
15339,81.324
15419,77.901
15425,79.309
15426,81.758
15474,81.36
15519,81.954
15524,81.236
15589,78.544
15679,78.912
15743,79.106
16036,81.429
16039,78.227
16064,82.312
