,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 DoorDash Score
98396,77.104
98397,78.578
98398,77.915
98399,77.76
98400,77.053
98401,79.138
98402,83.5
1747,80.735
1784,79.845
2476,82.714
2515,81.574
2517,81.149
2529,81.377
2538,82.223
2551,82.977
2553,82.53
2554,82.22
2555,80.674
2556,81.363
2577,84.322
2582,81.756
2583,82.452
2584,83.797
2585,82.157
2586,81.611
2587,82.174
2588,81.533
2589,83.898
2590,84.303
2591,82.788
2592,85.468
2594,84.498
2595,82.273
2597,86.881
2645,83.044
2654,83.591
2655,83.213
2656,82.579
2657,78.366
2658,81.668
2659,81.73
2660,83.611
2741,79.315
2766,79.703
2793,82.839
2810,79.623
2824,83.394
3002,83.772
3021,82.705
3093,83.405
3105,84.638
3113,77.212
3118,82.749
3120,82.024
3122,81.637
3123,80.115
3133,82.704
3134,82.791
3135,85.834
3136,82.408
3137,83.984
3138,83.003
3139,79.657
3140,81.168
3141,77.567
3142,83.146
3143,81.875
3144,79.102
3145,79.992
3146,79.181
3147,82.018
3148,80.995
3149,82.612
3150,83.44
3153,81.212
3155,78.589
3156,79.901
3157,79.224
3158,82.318
3159,82.789
3160,81.451
3161,85.966
3162,82.855
3186,81.966
3225,83.357
3315,80.402
3321,82.095
3332,79.425
5877,79.31
5981,83.974
6043,82.631
6078,80.415
6081,83.381
6082,82.491
6090,82.445
6127,86.13
6211,81.827
6213,81.326
6214,82.046
6231,80.401
6232,82.52
6233,82.029
6239,80.72
6240,80.959
6254,82.415
6255,81.346
6342,80.25
7630,80.829
7654,80.53
8890,82.477
8916,77.426
9028,78.962
9066,79.999
9445,81.517
9542,80.742
9546,82.631
9547,80.744
9583,81.653
9587,78.006
12037,81.642
12116,79.937
12122,82.815
12124,83.07
12141,80.131
12143,79.065
12149,83.376
12161,76.1
12252,81.732
12408,79.14
12409,82.375
12410,82.156
12418,84.935
12422,81.683
12435,80.428
12436,80.795
12437,78.368
12447,83.655
12448,83.413
12449,83.01
12450,81.432
12451,82.164
12452,80.674
12453,81.08
12454,81.634
12455,85.398
12456,85.076
12457,82.357
12458,84.143
12459,80.793
12460,82.377
12461,76.437
12462,80.979
12463,77.483
12464,81.31
12465,83.015
12466,80.757
12467,82.982
12468,80.154
12469,76.347
12470,83.109
12471,84.811
12472,82.13
12473,82.41
12474,78.15
12475,81.759
12476,81.149
12477,87.6
12478,83.499
12479,80.326
12480,81.968
12481,82.711
12482,82.776
12483,81.474
12484,77.712
12485,82.061
12486,83.493
12487,83.558
12488,80.179
12489,80.022
12490,80.661
12491,82.973
12492,82.034
12493,80.456
12494,81.428
12495,83.014
12496,82.101
12497,84.983
12498,84.112
12499,81.566
12500,80.243
12501,77.341
12502,82.908
12503,76.672
12504,83.32
12505,76.253
12506,83.037
12507,79.221
12508,82.072
12509,81.392
12510,80.472
12511,81.354
12512,79.709
12513,79.689
12514,85.407
12515,83.269
12516,84.358
12518,82.195
12519,81.084
12520,84.183
12521,82.524
12523,84.377
12525,86.211
12526,83.751
12527,82.881
12528,80.128
12529,84.925
12530,80.0
12531,78.998
12532,81.106
12533,81.473
12565,85.023
12656,81.914
12674,82.88
12687,79.385
12736,82.797
13078,82.274
13080,83.375
13146,80.798
13147,81.058
13148,83.031
13149,81.678
13150,82.2
13196,85.725
13382,81.544
13461,81.057
13475,84.748
13477,80.4
13537,83.135
13893,81.777
13897,80.789
14744,83.817
14862,81.466
14882,84.906
14890,82.954
14906,80.91
14907,81.857
14914,82.049
14916,80.786
14930,83.463
14932,78.846
14939,79.942
14947,82.152
15180,80.245
15240,80.576
15339,81.817
15419,80.731
15425,84.337
15426,79.84
15474,84.947
15519,81.395
15524,82.979
15589,77.976
15679,77.78
15743,77.923
16036,83.471
16039,81.734
16064,84.238
