,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 DoorDash Score
3159,81.658
3160,80.364
3161,83.48
3162,81.563
3186,82.717
3225,83.277
3315,76.803
3321,82.496
3332,79.761
5877,79.012
5981,83.499
6043,83.243
6078,82.062
6081,82.135
6082,82.227
6090,81.642
6127,85.477
6211,82.375
6213,83.547
6214,81.745
6231,81.375
6232,81.854
6233,83.297
6239,80.58
6240,82.114
6254,83.116
6255,80.229
6342,80.7
7630,80.419
7654,80.662
8890,78.567
8916,78.161
9028,79.734
9066,81.33
9445,81.207
9542,81.466
9546,82.525
9547,80.867
9583,81.094
9587,77.035
12037,81.972
12116,78.276
12122,82.72
12124,81.089
12141,82.631
12143,78.993
12149,81.397
12161,78.413
12252,85.282
12408,79.051
12409,82.235
12410,82.565
12418,81.798
12422,83.029
12435,80.452
12436,82.022
12437,80.903
12447,83.645
12448,82.682
12449,80.969
12450,81.35
12451,82.575
12452,81.684
12453,82.072
12454,81.394
12455,85.009
12456,83.896
12457,81.303
12458,80.498
12459,81.495
12460,84.112
12461,81.506
12462,80.855
12463,79.254
12464,84.391
12465,82.806
12466,80.254
12467,81.939
12468,80.439
12469,76.105
12470,84.842
12471,82.072
12472,81.713
12473,81.746
12474,78.175
12475,82.587
12476,81.26
12477,81.282
12478,81.841
12479,75.855
12480,81.388
12481,82.727
12482,83.01
12483,80.502
12484,80.508
12485,81.629
12486,83.037
12487,83.553
12488,79.984
12489,78.489
12490,79.96
12491,82.046
12492,82.107
12493,81.007
12494,80.274
12495,83.144
12496,82.62
12497,85.746
12498,83.513
12499,80.779
12500,79.729
12501,78.875
12502,83.237
12503,77.288
12504,82.796
12505,77.314
12506,81.976
12507,81.189
12508,82.291
12509,81.009
12510,81.472
12511,81.701
12512,79.568
12513,80.118
12514,83.848
12515,82.304
12516,84.092
12518,82.549
12519,80.377
12520,84.403
12521,82.415
12523,81.261
12525,86.613
12526,82.776
12527,82.526
12528,79.302
12529,84.978
12530,81.339
12531,80.065
12532,81.979
12533,81.899
12565,83.62
12656,83.237
12674,82.515
12687,80.286
12736,83.376
13078,81.84
13080,83.792
13146,82.625
13147,82.288
13148,81.873
13149,81.016
13150,81.894
13196,83.994
13382,81.891
13461,81.02
13475,83.746
13477,79.248
13537,83.34
13893,80.833
13897,81.568
14744,81.647
14862,82.003
14882,84.506
14890,82.191
14906,80.332
14907,80.549
14914,81.7
14916,78.963
14930,82.68
14932,76.49
14939,80.016
14947,81.091
15180,81.375
15240,80.378
15339,81.195
15419,80.413
15425,83.631
15426,81.878
15474,84.27
15519,81.227
15524,81.895
15589,79.757
15679,75.64
15743,78.394
16036,82.994
16039,81.818
16064,83.929
