,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
29788,"**DIGITAL 2D ARTIST & UI/UX DESIGNER**

Kyiv-based Digital 2D Artist & UI/UX Designer with self-directed education and an extensive portfolio demonstrating expertise in design and illustration.

**CORE COMPETENCIES**

- Advanced proficiency in Adobe Photoshop, Adobe Illustrator, Figma, and Procreate App
- UI/UX Design and Adaptive Design
- Illustration (raster and vector)
- Graphic Design
- Banner Design
- Logo Design
- Strong technical understanding of design principles
- Knowledge of current design and technology trends
- Upper-Intermediate English proficiency
- Effective verbal and written communication skills
- Time and self-management skills

**PROFESSIONAL EXPERIENCE**

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**
April 2021 – Present

**UI/UX Designer / Illustrator**
November 2019 – August 2021

**Freelance Web Designer**
December 2018 – November 2019

**TOOLS & SOFTWARE**

Adobe Photoshop | Adobe Illustrator | Figma | Procreate App | Midjourney

**RECOGNITION**

Red Dot Award for Brands & Communication Design – August 2022"
29835,"# DIGITAL DESIGNER

## PROFESSIONAL SUMMARY

I am a digital designer with extensive experience in marketing and branding. I am passionate about creating visually stunning designs that help brands grow. I have worked both as a freelancer and in-house, collaborating with international teams and interfacing directly with more than 5 companies from different countries. I am experienced in developing websites, email campaigns, and digital advertising that engage target audiences.

## CORE COMPETENCIES

**Design & Visual Skills:**
Color Theory, Composition, Color Sense, Branding, Advertising, Illustration, UI/UX Design, Digital Design, Digital Imagery

**Digital Marketing:**
Web Ads, Social Media Ads, E-blast, Digital Analytics

**Technical Skills:**
Figma (Advanced), Webflow (Animation, CMS), HTML/CSS, Photoshop, Illustrator

**Soft Skills:**
Creative Problem-Solving, Independent & Collaborative Work, Direct Client Communication

## PROFESSIONAL EXPERIENCE

**Freelance & In-House Designer**
Collaborated with international teams on multiple projects for companies across different countries and American clients. Developed websites, email campaigns, and digital advertising materials.

## EDUCATION & CERTIFICATIONS

Dare IT - Product Design
Hillel IT School - Basic Web Design
Cases Media - Figma (90)
Cases Media - Graphic Design. Composition (91)

## PROFESSIONAL INTERESTS

Seeking long-term partnerships in product design where I can apply my expertise to enhance user experience and help customers achieve their goals."
30606,"# Resume

**Professional Experience**

**Design & Prototyping – Figma**
- Developed and maintained design systems and UI kits
- Implemented auto layout functionality for scalable component design
- Created interactive components and prototypes
- Leveraged Figma plugins to enhance design workflows

**Mentorship & Training – Beetroot Academy**
- Conducted UX research and competitive analysis
- Developed sketches and prototypes for design projects
- Applied composition, typography, and color theory principles
- Demonstrated mastery of design principles and current industry trends
- Collaborated effectively across project teams
- Presented design projects and findings to stakeholders

**Technical Skills**
- Figma (design systems, UI kits, auto layout, interactive prototypes, plugins)
- Google Workspace (Docs, Forms)
- UX research and competitive analysis
- Prototyping and wireframing
- Design principles and visual design"
30845,"**UI/UX Designer**

**Professional Summary**
Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**Education & Training**
Completed a 6-month UI/UX design course
Additionally studied HTML/CSS

**Core Competencies**
- Design software: Figma, Photoshop, Illustrator
- User-centered design methodologies
- Interactive prototypes, wireframes, and mockups
- Competitive analysis
- User personas and customer journey mapping
- User flow documentation
- UI Kits
- Responsive design

**Project Experience**

**Real Estate Website Redesign**
Redesigned website for a real estate company by conducting competitive analysis and researching customer feedback. Created 3 user personas and customer journey map to develop modern, user-friendly design that addressed outdated aesthetics, poor usability, and missing critical customer information.

**Travel Web Service**
Designed a web service enabling users to find and book excursions, tours, and entertainment worldwide. Executed competitive market analysis, user journey documentation, user flow mapping, wireframing, UI Kit development, and responsive design across multiple platforms. Implemented features including excursion search with filters, category browsing, multi-platform registration, secure payment processing, and guide announcement creation tools.

**Mobile Restaurant Booking Application**
Designed a mobile application for booking restaurant tables.

**Career Objective**
Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business."
32072,"# UI/UX Designer

**Current Role**

• Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives

• Improved onboarding process of a financial institution app by 35%, enhancing user experience and business outcomes

• Created wireframes, mockups, and prototypes to establish user interface design and architecture

• Applied Agile planning principles to deliver tailored solutions that met customer requirements

**Previous Role

• Improved audience management system of a SaaS tool by 25%, demonstrating ability to design solutions that are both aesthetically pleasing and drive measurable business results"
46443,"# Professional Resume

**SENIOR DESIGN & DEVELOPMENT SPECIALIST**

Over 10 years of commercial experience in design and development of web solutions.

**Core Expertise**
- Large-scale CRM and SaaS projects
- Mobile and desktop applications
- Design system creation and maintenance to accelerate product development
- Full-cycle design system implementation from design to React and Storybook

**Professional Experience**
- Advanced from Graphic Designer to Product Designer
- Led product development from concept to release in 3-4 week cycles
- Designed and developed 50+ landing pages and promotional pages
- Designed and developed 10+ user account dashboards and interfaces
- Implemented diverse functionalities including dashboards, smart timer systems, and photo editing tools

**Technical Proficiencies**
- Design: Figma, Sketch, Adobe Creative Suite
- Development: HTML, CSS, JavaScript, React, Next.js, WordPress, Storybook

**Target Opportunities**
Seeking positions with organizations focused on:
- High-quality user experience and product development
- UI/UX design, branding, and corporate identity
- Design system creation and maintenance
- Product leadership and strategic influence
- High-engagement, professional teams"
46506,"**SOFTWARE DEVELOPER**

**Technical Skills**
- **Languages & Frameworks:** JavaScript, React
- **Frontend Development:** JSX, HTML, CSS
- **UI Libraries & Components:** Material-UI (MUI), Bootstrap, Materialize
- **Animation:** Framer Motion
- **Design Tools:** Figma, Adobe Photoshop

**Professional Experience**

**Software Developer | Small IT Company**
- Developed responsive web pages using React framework, JSX, HTML, and CSS
- Built interactive animations using Framer Motion
- Created reusable user interface components with MUI, Bootstrap, and Materialize
- Collaborated on JavaScript-based projects
- Utilized design tools including Figma and Adobe Photoshop to support development efforts"
50300,"# RESUME

**PROFESSIONAL ACHIEVEMENT**

Successfully designed and deployed a groundbreaking customer engagement suite for a major e-commerce business from the ground up. Utilized innovative technologies and processes to maximize customer acquisition, customer satisfaction, and customer retention while driving incremental revenue. Completed on time and under budget with positive feedback from both users and clients, demonstrating strong technical expertise and meticulous project management.

**TECHNICAL SKILLS & EXPERIENCE**

Frontend Development: React, Vue, Flutter
Backend Development: Node.js
Additional Competencies: API integration, custom plugin development, website and application development

**CORE COMPETENCIES**

- Design and develop frontend interfaces with emphasis on strong usability and industry-standard user experience
- Work independently and collaboratively within development teams
- Debug issues, optimize performance, and refactor code for efficiency
- Plan projects and architect information flows between backend systems and user interface components
- Deploy and maintain full-stack applications

**PROFESSIONAL DEVELOPMENT**

Committed to expanding technical skillset through continuous learning of new technologies and frameworks to maintain awareness of current industry trends. Seek opportunities to deepen understanding of software architecture design through collaboration with experienced engineers. Dedicated to developing reliability and expertise for sustained success in the software development industry."
51419,"# RESUME

**PROFESSIONAL SUMMARY**

UI/UX Designer with programming background seeking full-time remote position. Proven ability to solve complex design challenges and deliver user-centered solutions across freelance and corporate environments.

**PROFESSIONAL EXPERIENCE**

**UI/UX Developer**
IT Company | Out-staff Position | 1 year
- Developed user interface and user experience solutions for complex design challenges
- Applied design expertise to deliver user-centered solutions

**Freelance Designer**
Self-Employed | Multiple Years
- Completed diverse design projects across multiple client engagements
- Successfully transitioned from programming to specialize in design work

**CORE COMPETENCIES**

- UI/UX Design
- Problem Solving
- Programming Background
- Freelance Project Management

**WORK PREFERENCES**

- Full-time position
- Remote work preferred"
53971,"# PROFESSIONAL SUMMARY

Experienced Game UI/UX Designer with 3 years in the gaming industry and 5 years of professional graphic design expertise. Specialized in creating intuitive game interfaces with a strong foundation in visual design principles.

# PROFESSIONAL EXPERIENCE

**Game UI/UX Designer** | Current Role
- 1.5 years at major game development company
- Designing and implementing game user interfaces

**Graphic Designer**
- 5 years of professional experience
- Developed foundational skills in visual design and user-facing creative work

**Indie Game Developer**
- Since 2019, contributed to various indie game projects
- 3D modeling, texturing, and 3D animation
- Game interface design leveraging graphic design background

# SKILLS

Game UI/UX Design, Graphic Design, 3D Modeling, Texturing, 3D Animation, Game Interface Design

# CAREER FOCUS

Game development industry"
53972,"**PROFESSIONAL EXPERIENCE**

**Game Development Designer** | 1 year
- Created offers, decorations, and banners for mobile games
- Designed layouts based on provided graphics and original artwork
- Developed navigation elements and decorative assets

**UI/UX Designer** | 2+ years
- Designed websites, banners, and email templates
- Created layouts and visual assets across multiple platforms

**CORE SKILLS**

Adobe Photoshop | Figma | UI/UX Design | Web Design | Email Design | Game Asset Design | Layout Design | Banner and Decoration Creation | Animation (After Effects, Figma)

**PROFESSIONAL INTERESTS**

Seeking long-term opportunities in mobile game development with a forward-thinking GameDev company."
53973,"# Game UI/UX Designer

## Professional Summary
Experienced Game UI/UX Designer with UI Artist and animation expertise since 2019. Web Design background since 2015. Proficient in full project lifecycle with technical knowledge of HTML, CSS, and JavaScript. Committed to continuous learning and collaborative team success.

## Core Competencies
- UX/UI Design & Wireframing
- Game UI Development
- Web Design
- UI Animation
- Asset Preparation
- HTML, CSS, JavaScript
- Figma, Adobe Photoshop
- Unreal Engine 4, Unity

## Professional Experience

**Game UI/UX Designer** (2019–Present)
- Develop intuitive UX flows aligned with overall game design
- Create UI screens and elements, preparing assets for programmer implementation
- Communicate UX vision and design ideas effectively to team members
- Collaborate to implement and refine designs in-game
- Support game development with additional technical skills

**Design Process & Team Development**
- Established design processes and best practices
- Conducted mentoring and developed staff skills
- Independently identified and secured clients
- Redesigned logos and updated official websites for sites and applications

## Teaching & Community
- Design Instructor, IT Academy (Lviv)

## Personal Interests
Basketball, Brazilian Jiu-Jitsu, Yoga, Language Learning"
53974,"**GAME UI/UX DESIGNER & ARTIST**

Ukrainian Game Company

• Designed and created UI visuals for casual games from concept to final rendering
• Prepared sprites for development in Unity
• Researched game interfaces and developed functional solutions
• Developed convenient, visually attractive, and unique interface designs
• Created game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
• Monitored interface layout implementation in game engines
• Stayed current with latest UI/UX design trends and techniques
• Collaborated with cross-functional teams including designers, managers, 2D/3D artists, and programmers
• Contributed to the development of a released mobile casual game

**EDUCATION**

Kyiv National University of Construction and Architecture
Bachelor's Degree in Artist-Performer

**PROFESSIONAL INTERESTS**

Seeking challenging opportunities to apply UI/UX design expertise, collaborate with strong teams, and continue developing skills through knowledge exchange with experienced professionals."
53975,"# UI/UX Game Designer

## Professional Experience
4+ years of commercial experience in Design and 2+ years of commercial experience in GameDev with 248+ successfully completed projects across diverse project types including mobile shooters, educational games for kids, tactical MOBAs, and multiplayer casual games.

## Key Achievements
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of AAA PC MOBA
- Successfully completed on-time design update and transferred a PC simulator for cybersportsmen to mobile platform
- Developed welcome materials for new employees
- Successfully organized printing and logistics for exhibition materials across two cities simultaneously
- Supervised final group project in Web Design courses

## Core Competencies
- Full cycle UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and game testing
- Figma (UI design, vector graphics, animation)
- Photoshop (raster graphics)
- Unity3D
- Game graphics creation on graphics tablet
- Jira, Confluence, Plastic SCM
- Quick learner with proven ability to adopt new technologies

## Education
- Web Design courses completed with honors
- English courses completed with honors (2022)

## Professional Attributes
Active professional who stays current with industry developments and maintains deep understanding of player experience through regular engagement with shipped titles."
53976,"# RESUME

## CORE COMPETENCIES

- Rapid Knowledge Acquisition
- Team Collaboration
- Teaching and Leadership
- Creative Problem-Solving

## TECHNICAL SKILLS

**Art & Design:**
- Character Concept Art
- Character Design
- Environment Concept Art
- Game UI Art
- UI Design
- 3D Modeling and Sculpting
- Texturing
- Illustration
- Creative Design

**Software Proficiency:**
- Blender
- Daz Studio
- Photoshop
- Substance Designer
- Substance Painter
- ZBrush

## LANGUAGES

- English (Fluent)"
53977,"# RESUME

**Self-starter with expertise in motion design, team leadership, and gaming industry product development.**

## PROFESSIONAL EXPERIENCE

**Motion Design & Team Lead**

- Created exceptional motion design for worldwide poker and casino products
- Managed team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sound, and development
- Improved design and animation export pipeline across multiple projects
- Participated in rebranding poker brands
- Designed UX/UI for poker applications
- Developed and organized project style guides, design systems, and asset libraries
- Designed gaming motion and animations for poker and casino games including slots, betting, and blackjack
- Built clean and scalable After Effects project architecture
- Created motion graphics for live online events
- Established and organized Gaming Design team
- Ensured design and animation consistency across applications in collaboration with development team
- Integrated new technologies into workflow
- Enhanced visual and gaming experience of products
- Designed comprehensive briefs and specifications while coordinating cross-functional teams through project delivery
- Created design and storyboards for promotional videos

## KEY STRENGTHS

- Leveraging gaming industry experience to drive product excellence
- Taking responsibility for tangible, high-quality results
- Organizing complex tasks and team efforts
- Motivating teams to deliver top-tier products"
53978,"# UI/UX Designer

Experienced UI/UX Designer with proven prototyping skills and a track record of delivering high-quality user experiences. Skilled at implementing features that enhance performance, accelerate development timelines, and create intuitive interfaces. Consistently completes projects ahead of schedule while maintaining high customer satisfaction.

## Core Competencies

- Prototyping and Interface Design
- User Flow and Wireframing
- UI Development from Concept to Implementation
- 9-Slice Scaling
- Design Tool Integration (Figma to Unity)
- Typography and Visual Design
- Cross-Platform Development (PC, Consoles, Mobile)
- Collaborative Design and Development

## Technical Skills

- Figma
- Unity
- User Interface Design
- Wireframing
- Font Selection and Typography

## Key Achievements

- Implemented new features that improved performance and simplified UI layout
- Accelerated development process through efficient design workflows
- Completed projects ahead of schedule with high customer appreciation
- Collaborated effectively with UI/UX developers, game designers, artists, and programmers across multidisciplinary teams"
53979,"**UX/UI Designer (2020-2022)**

- Developed indie game interface based on UX research conducted independently
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Designed and conducted user surveys and testing exercises to gain deep understanding of the game
- Developed UX/UI solutions using user-centered design methodology
- Conceptualized ideas from low-fidelity wireframes through interactive visual designs and prototypes
- Built and designed site maps and information architecture
- Demonstrated how design builds from core user needs to add unexpected value
- Illustrated design ideas using storyboards, process flows, and site maps
- Developed adaptive and responsive UX/UI wireframes for web-based applications
- Considered negative paths and ensured designs covered full customer journeys
- Created customer journey maps and guides to support product vision

**Visual and Graphic Designer (2019-2022)**

- Created logos, conceptual identities, banners, posters, and advertisements
- Generated design ideas and styles while monitoring design trends
- Maintained attention to detail and structured work results
- Presented and defended design ideas to clients
- Collaborated with team to implement design knowledge into products"
53981,"**UI/UX Designer & UI Artist**

**Professional Summary**
Creative and detail-oriented UI/UX Designer with strong analytical and critical thinking skills. Experienced in comprehensive graphic design and visual development across multiple disciplines.

**Experience**
UI/UX Designer | UI Artist in Game Development | 2020 – Present
- Game Insight
- 101XP
- Playrix
- WhaleApp

**Core Competencies**
- UI/UX Design
- Graphic Design
- Website Design
- Application Interface Design
- Branding
- Polygraphic Design
- 2D Animation
- Layout Design
- Technical Requirements Management
- Print Material Production
- Web and Application Layout Development

**Key Strengths**
- Deep understanding and critical thinking in design
- Strong visual taste and aesthetic sensibility
- Complete graphic development cycle expertise
- Proficiency in technical requirements for printed materials
- High work organization and creative execution"
54796,"# Graphic & UI/UX Designer | Kharkiv

## Professional Summary

Experienced designer with over 10 years of expertise in graphic design, UI/UX, advertising, marketing, and print production. Proven track record creating brand identities for leading Ukrainian real estate companies and European clients. Specialized in translating business requirements into user-centered design solutions that balance functionality with aesthetic excellence.

## Core Competencies

**Design Services:**
- Logo and brand identity creation
- UI/UX design and research
- Website design (Tilda platform)
- Social media design
- Print material layouts
- Presentations
- Outdoor advertising
- Transport branding

**Professional Strengths:**
- Excellent organizational and planning abilities
- Strong team collaboration and communication skills
- User-focused design methodology
- International client experience

## Professional Experience

**Freelance Designer & Agency Collaborations**
- Created logos and comprehensive visual identities for major Ukrainian real estate companies
- Designed outdoor advertising and transport branding deployed across Kyiv, Kharkiv, and European cities
- Partnered with European clients on diverse design projects
- Developed responsive websites using Tilda platform
- Collaborated effectively with advertising, marketing agencies, and printing production partners

## Professional Motivation

Committed to continuous professional growth in UX/UI design. Dedicated to delivering user-friendly, functional design solutions that meet client objectives and user needs."
