Unnamed: 0,Modifiedgpt4o-onmini DoorDash Score
98391,79.053
98392,78.695
98393,78.544
98394,76.52
98395,80.008
98396,79.569
98397,79.577
98398,79.16
98399,78.083
98400,80.214
98401,78.978
98402,83.768
