id,Deep,Mixtral-8x7B-Instruct,CV,Llama3-70B-Instruct-Turbo,True
6211,80.751,77.099,80.623,79.936,1
6213,84.413,82.616,84.161,82.796,1
6214,82.873,82.156,81.763,80.734,1
6231,81.108,81.903,80.656,79.615,1
6232,83.007,80.863,81.245,80.87,1
6233,82.28,84.338,81.557,82.318,1
6239,76.9,78.201,77.256,78.805,1
6240,82.768,83.927,82.129,82.746,1
6254,82.862,82.546,82.058,80.782,1
6255,79.462,81.389,80.384,80.725,1
6342,80.505,79.203,80.357,79.44,1
7630,79.472,80.779,80.044,79.464,1
7654,81.04,80.813,79.56,81.89,1
8890,82.053,81.613,72.057,79.356,1
8916,78.169,76.417,76.812,75.539,1
9028,80.591,79.653,78.622,78.634,1
9066,77.959,79.846,77.931,79.332,1
9445,81.243,82.101,81.801,80.966,1
9479,78.941,81.247,78.834,79.142,0
9542,82.277,81.066,79.739,80.536,1
9546,82.785,84.556,82.295,82.495,1
9547,79.941,80.269,80.354,78.999,1
9583,81.13,82.459,81.023,82.791,1
9587,77.732,77.2,76.728,77.772,1
12037,82.816,80.294,80.739,82.358,1
12116,79.487,77.385,76.891,76.774,1
12122,82.91,81.681,81.708,81.69,1
12124,83.3,83.537,80.016,83.856,1
12141,81.882,80.198,81.284,82.094,1
12143,80.781,80.091,78.464,80.587,1
12149,81.387,83.997,82.387,81.329,1
12161,80.936,75.57,75.648,77.727,1
12252,82.501,83.521,81.65,82.35,1
12408,79.601,80.005,78.619,78.63,1
12409,82.999,81.449,80.564,80.959,1
12410,82.299,81.744,81.924,82.583,1
12418,82.263,84.277,80.887,80.83,1
12422,82.054,80.737,81.647,81.447,1
12435,82.347,81.785,80.205,80.812,1
12436,78.183,79.032,77.55,79.309,1
12437,81.733,80.202,74.847,79.441,1
12447,82.696,83.787,80.9,81.75,1
12448,83.926,84.178,82.373,82.539,1
12449,82.826,83.499,81.108,79.893,1
12450,81.093,80.363,78.652,77.836,1
12451,80.768,81.336,80.616,81.535,1
12452,83.551,81.16,78.411,78.647,1
12453,82.69,79.725,81.291,80.807,1
12454,82.594,83.627,81.058,83.547,1
12455,84.652,84.296,84.639,83.542,1
12456,83.502,83.518,83.603,83.338,1
12457,81.242,82.327,81.619,81.046,1
12458,80.855,78.632,79.287,83.33,1
12459,81.96,76.96,79.189,79.863,1
12460,83.515,83.277,84.031,83.768,1
12461,83.096,80.967,76.918,81.562,1
12462,81.187,81.758,79.285,81.11,1
12463,75.459,73.877,74.3,75.107,1
12464,85.592,84.275,83.39,83.866,1
12465,83.521,80.768,80.344,80.748,1
12466,80.377,81.453,79.429,80.658,1
12467,79.138,80.745,82.072,80.26,1
12468,81.061,80.519,78.341,78.534,1
12469,77.011,74.389,74.243,73.907,1
12470,85.874,84.902,80.991,83.501,1
12471,82.845,83.415,84.184,82.529,1
12472,82.728,79.629,80.53,81.587,1
12473,81.146,80.282,82.216,80.254,1
12474,79.178,78.502,79.462,77.691,1
12475,82.314,81.314,82.06,80.934,1
12476,80.675,82.541,82.204,81.637,1
12477,81.616,82.593,82.083,85.165,1
12478,83.915,83.519,80.015,82.677,1
12479,83.065,80.471,78.869,81.029,1
12480,82.705,82.213,82.038,82.127,1
12481,80.952,77.743,80.903,80.197,1
12482,82.697,83.898,83.031,81.917,1
12483,81.858,80.65,81.297,79.97,1
12484,81.807,79.044,78.232,80.853,1
12485,83.792,82.919,81.38,79.796,1
12486,83.373,81.229,82.114,81.886,1
12487,83.757,84.245,84.148,82.885,1
12488,80.822,81.337,81.203,80.67,1
12489,77.405,76.584,77.179,77.116,1
12490,80.525,82.949,80.169,78.137,1
12491,82.448,84.08,80.571,81.585,1
12492,81.934,81.668,81.785,81.381,1
12493,76.276,79.302,77.354,76.191,1
12494,80.98,79.131,79.893,79.813,1
12495,84.115,84.693,83.082,83.18,1
12496,80.139,80.48,79.886,80.375,1
12497,82.179,83.002,82.928,84.097,1
12498,84.307,83.077,83.737,83.231,1
12499,83.269,80.146,80.214,80.485,1
12500,81.121,78.929,79.336,79.183,1
12501,79.985,75.799,73.249,76.925,1
12502,82.125,80.147,79.626,80.118,1
12503,79.372,76.08,76.122,78.853,1
12504,84.242,81.056,83.023,80.769,1
12505,76.237,71.154,76.132,76.048,1
12506,81.26,79.399,81.809,81.146,1
12507,80.817,80.48,81.053,80.116,1
12508,81.996,81.592,81.937,81.539,1
12509,79.393,80.368,79.714,81.671,1
12510,82.885,81.231,79.411,79.324,1
12511,79.518,80.233,80.135,79.773,1
12512,80.433,80.736,80.673,80.169,1
12513,80.079,79.759,79.544,79.686,1
12514,85.796,81.995,82.236,84.472,1
12515,84.016,82.071,81.648,80.834,1
12516,82.175,81.443,83.058,83.219,1
12518,84.024,86.014,81.753,82.224,1
12519,80.723,81.729,79.677,81.62,1
12520,84.93,84.54,84.553,83.409,1
12521,82.423,83.129,82.633,82.75,1
12523,82.772,82.51,78.456,81.441,1
12525,86.196,86.37,85.303,85.962,1
12526,84.829,83.453,82.639,82.565,1
12527,82.36,82.001,81.905,83.377,1
12528,80.018,79.358,79.472,79.734,1
12529,85.378,85.914,85.004,83.871,1
12530,80.452,80.47,79.314,79.874,1
12531,75.763,76.548,76.728,75.961,1
12532,82.657,81.775,79.832,81.813,1
12533,82.324,81.353,81.969,81.137,1
12565,84.542,83.317,84.886,85.134,1
12656,83.02,82.786,82.681,82.882,1
12674,83.381,83.825,81.642,80.703,1
12687,79.133,76.588,79.369,80.985,1
12736,82.627,82.665,82.133,82.586,1
13078,81.091,81.367,82.662,79.583,1
13080,83.706,83.59,82.397,83.659,1
13146,79.663,77.139,79.198,81.998,1
13147,81.22,81.287,81.122,80.863,1
13148,83.345,83.12,82.124,82.614,1
13149,82.372,82.957,80.98,81.363,1
13150,82.235,85.8,83.228,81.936,1
13196,84.429,82.9,82.047,83.238,1
13382,82.338,81.485,77.717,80.84,1
13461,78.365,78.25,77.719,78.424,1
13475,83.972,81.373,82.804,83.423,1
13477,81.457,79.024,80.048,79.02,1
13537,79.922,82.513,80.83,82.084,1
13893,83.933,79.713,82.617,80.497,1
13897,83.322,82.003,79.197,80.106,1
14744,81.231,80.807,80.258,81.163,1
14862,82.947,81.535,80.284,80.674,1
14882,83.742,80.714,82.443,83.358,1
14890,81.007,82.509,79.639,83.169,1
14906,80.042,80.295,81.154,80.61,1
14907,81.839,80.659,80.215,80.908,1
14914,83.028,80.554,79.951,80.142,1
14916,79.267,81.044,79.431,80.295,1
14930,82.712,81.996,81.419,81.788,1
14932,75.406,75.396,75.023,75.475,1
14939,79.639,79.657,80.096,79.701,1
14947,80.749,80.342,79.241,80.317,1
15180,79.693,79.532,80.155,81.659,1
15240,80.193,80.875,79.513,81.797,1
15339,83.551,79.958,79.347,81.263,1
15419,81.332,80.309,82.234,82.167,1
15425,85.12,82.815,80.784,82.807,1
15426,82.762,80.585,79.82,80.322,1
15474,83.445,82.129,81.051,82.064,1
15519,81.768,80.636,78.923,81.878,1
15524,82.62,82.02,82.165,83.252,1
15589,81.888,80.627,78.509,79.672,1
15679,77.098,73.016,74.458,76.675,1
15743,76.401,77.731,77.237,77.309,1
16036,81.697,80.459,80.419,83.237,1
16039,80.948,81.036,80.565,82.398,1
16064,85.224,86.112,85.761,84.721,1
16980,78.075,72.006,77.141,79.001,0
17014,77.262,73.758,77.237,72.377,0
18230,77.197,76.624,75.989,76.725,0
18348,78.957,80.021,78.917,78.918,0
26715,81.596,81.233,79.694,80.763,0
26747,83.853,82.233,80.852,81.706,0
29788,78.556,80.62,78.953,77.946,0
29835,78.874,78.0,79.948,78.838,0
30606,76.608,76.547,76.332,75.598,0
30845,82.475,81.969,80.344,80.271,0
32072,81.215,79.475,78.465,79.152,0
46443,83.434,83.189,82.198,81.746,0
46506,77.669,73.863,75.488,73.823,0
50300,81.599,83.32,81.352,80.928,0
51419,78.055,76.142,79.169,77.311,0
53971,77.757,75.052,74.711,75.989,0
53972,79.199,77.809,77.173,77.782,0
53973,76.609,79.457,76.43,76.329,0
53974,76.074,78.301,77.267,75.392,0
53975,78.135,78.082,79.808,79.814,0
53976,74.633,76.189,75.827,78.198,0
53977,81.704,81.707,81.101,81.371,0
53978,79.491,75.303,76.586,76.703,0
53979,77.228,77.763,77.557,78.309,0
53981,76.141,78.231,79.713,77.714,0
54796,76.184,79.229,76.356,76.386,0
54797,79.663,78.924,76.764,77.086,0
54798,79.06,80.058,79.209,76.651,0
54799,77.009,78.789,76.467,74.723,0
54800,73.853,74.629,72.283,73.207,0
56453,81.698,78.702,80.597,80.976,0
56528,77.848,76.19,76.399,76.309,0
56542,75.737,77.27,76.652,76.588,0
56543,74.11,75.629,75.785,72.344,0
56544,75.267,74.667,74.694,75.462,0
56545,75.192,80.096,75.462,74.303,0
56618,79.751,76.526,78.883,77.618,0
56619,75.581,73.738,73.858,75.384,0
56629,78.581,77.951,79.632,79.632,0
56630,77.002,75.328,75.11,76.704,0
56631,80.916,75.97,79.128,78.114,0
56632,79.941,80.337,77.946,78.309,0
56633,81.755,82.886,82.506,78.316,0
56634,77.317,78.52,72.819,77.817,0
56635,78.917,78.754,77.42,77.286,0
56637,76.906,75.984,76.808,76.433,0
56638,77.434,76.948,77.201,78.115,0
56639,78.081,73.601,75.957,74.775,0
56641,77.515,72.62,76.011,79.505,0
56642,78.8,78.47,78.507,77.761,0
56643,82.453,81.839,81.646,81.819,0
56644,76.617,74.628,76.768,72.931,0
56645,78.201,78.059,78.242,77.656,0
56646,76.326,77.137,76.798,75.465,0
56647,78.395,77.502,78.899,77.962,0
56648,79.735,81.047,77.546,76.908,0
56649,78.538,75.702,75.992,76.187,0
56650,80.316,80.393,79.052,77.459,0
56651,79.036,74.976,74.71,75.375,0
56652,78.609,78.51,78.297,80.334,0
56653,77.53,76.916,75.895,75.625,0
56654,79.361,80.144,78.432,79.398,0
56656,77.698,76.248,77.962,74.435,0
56657,74.016,73.746,73.741,74.902,0
56661,80.418,80.411,78.375,79.745,0
56662,78.394,77.454,75.993,77.88,0
56725,78.213,78.238,75.809,74.856,0
56795,75.046,75.882,75.511,75.449,0
56796,74.463,75.739,75.926,75.218,0
56797,77.531,74.383,76.937,74.804,0
56798,76.207,78.046,75.36,75.606,0
56799,72.472,74.564,74.378,73.592,0
56800,77.034,77.668,78.206,79.195,0
56801,77.997,76.829,75.463,76.475,0
56802,76.215,75.588,71.36,74.04,0
56803,82.126,82.41,82.419,78.527,0
56804,78.507,77.718,77.906,78.199,0
56805,78.205,81.002,78.13,78.889,0
56807,81.718,79.061,81.529,79.226,0
56809,80.051,78.582,78.706,79.226,0
56859,76.177,76.008,76.593,77.162,0
56860,77.12,77.295,80.598,78.557,0
56861,79.137,78.169,77.416,75.041,0
56862,79.808,78.041,77.833,76.527,0
57384,81.665,80.517,82.265,80.995,0
57400,85.262,83.698,83.063,83.219,0
62042,79.715,78.31,78.342,78.046,0
63086,76.751,74.995,73.924,75.904,0
63087,81.418,77.567,80.053,80.329,0
83710,79.003,80.735,79.315,77.611,0
83711,76.009,78.482,73.625,74.936,0
86666,81.437,80.135,77.242,77.77,0
87779,80.501,81.399,80.134,80.843,0
97622,78.446,75.787,78.58,77.595,0
98134,79.906,80.342,79.325,79.723,0
98135,77.218,75.998,78.06,77.956,0
98136,76.34,77.344,79.131,77.074,0
98137,76.922,76.872,75.016,76.548,0
98138,78.95,81.017,78.248,79.98,0
98171,80.767,75.65,77.291,77.45,0
98172,75.115,77.475,74.379,75.057,0
98173,78.282,80.263,77.869,77.864,0
98245,78.378,76.419,75.013,76.878,0
98250,81.793,81.692,81.731,81.64,0
98251,78.166,78.145,76.195,78.009,0
98252,76.812,76.378,76.396,76.071,0
98253,79.504,79.811,79.332,78.764,0
98254,78.139,79.557,75.904,76.469,0
98255,80.792,80.884,80.908,80.721,0
98256,80.396,78.847,77.506,80.523,0
98257,80.477,81.83,81.031,82.048,0
98258,78.501,79.33,78.106,77.408,0
98259,81.773,82.234,79.045,78.534,0
98260,82.338,77.493,77.723,78.787,0
98261,81.346,82.635,78.412,79.197,0
98262,79.634,80.042,78.653,80.542,0
98263,78.225,78.725,77.748,80.286,0
98264,82.481,81.262,80.937,79.345,0
98265,79.997,83.765,80.786,82.401,0
98266,82.79,82.377,82.737,83.735,0
98267,75.912,77.378,76.138,75.456,0
98268,79.775,81.185,76.766,79.937,0
98269,78.865,77.206,77.463,77.667,0
98270,79.045,80.551,77.622,80.574,0
98271,78.309,77.162,76.141,76.088,0
98272,80.562,79.108,80.152,78.666,0
98273,80.073,79.586,78.203,79.351,0
98274,78.824,78.589,78.065,78.336,0
98275,80.758,79.326,78.649,77.644,0
98276,77.671,77.117,78.466,77.061,0
98277,76.913,79.158,77.925,74.465,0
98278,77.186,80.042,78.303,77.638,0
98279,81.958,82.53,82.023,78.231,0
98280,80.211,80.517,79.168,77.793,0
98281,80.712,80.82,78.575,79.819,0
98282,80.376,79.759,79.362,79.309,0
98283,81.569,80.478,83.116,80.618,0
98284,78.26,74.716,74.147,75.023,0
98285,77.522,78.0,77.765,78.154,0
98286,78.019,81.111,80.179,81.16,0
98287,81.632,81.507,81.508,80.071,0
98288,79.076,74.721,77.517,77.385,0
98289,78.141,79.299,76.038,76.094,0
98290,79.084,78.486,75.701,77.04,0
98291,80.001,81.315,77.424,78.896,0
98292,80.009,80.371,80.611,78.332,0
98293,78.29,77.147,77.568,76.353,0
98294,80.097,79.314,77.539,79.041,0
98295,78.364,79.91,78.971,79.151,0
98296,79.106,77.726,78.982,74.871,0
98297,81.301,80.517,80.66,80.437,0
98298,79.818,82.004,81.461,78.755,0
98299,78.798,80.632,78.629,77.966,0
98300,80.006,79.603,77.878,77.194,0
98301,74.217,75.072,74.19,74.455,0
98302,79.972,78.712,79.438,78.321,0
98303,79.94,79.665,79.498,79.083,0
98304,78.728,79.273,79.643,77.731,0
98305,82.585,82.125,81.933,81.891,0
98306,78.653,76.897,76.646,78.781,0
98307,80.803,79.066,76.417,77.467,0
98308,78.878,73.78,78.557,78.109,0
98309,77.112,78.282,80.006,77.314,0
98310,80.922,79.575,78.286,78.8,0
98311,78.93,77.274,79.733,79.111,0
98312,79.607,77.618,78.156,78.544,0
98313,78.646,81.17,79.9,79.814,0
98314,83.133,83.747,83.101,82.347,0
98315,79.642,77.938,80.481,79.273,0
98316,85.384,84.751,85.276,85.25,0
98317,77.49,78.431,77.873,75.983,0
98318,80.395,77.752,78.138,78.831,0
98319,79.0,81.086,79.223,78.282,0
98320,79.64,78.722,79.388,76.893,0
98321,81.283,80.675,79.715,80.175,0
98322,76.516,77.216,76.962,75.913,0
98323,79.202,77.466,79.101,77.773,0
98324,78.269,76.097,77.363,77.657,0
98325,81.308,79.69,78.917,75.998,0
98326,78.621,78.596,77.435,76.723,0
98327,77.725,76.715,76.629,77.351,0
98328,80.183,80.977,79.198,78.702,0
98329,80.367,78.5,79.445,78.217,0
98330,79.606,78.988,80.149,79.765,0
98331,77.985,78.072,75.304,77.252,0
98332,77.355,79.35,78.333,76.106,0
98333,79.472,77.261,76.082,75.305,0
98334,79.741,81.482,75.334,80.057,0
98335,80.442,81.249,79.085,81.083,0
98336,77.442,76.902,78.047,77.371,0
98337,79.12,80.168,78.386,78.076,0
98338,82.276,79.686,79.253,79.752,0
98339,76.262,74.88,76.062,73.31,0
98340,77.109,76.376,75.39,76.27,0
98341,80.5,80.574,79.782,79.828,0
98342,82.197,82.127,81.774,82.913,0
98343,73.503,73.723,73.227,75.421,0
98344,79.471,80.105,79.206,77.998,0
98345,80.17,80.132,79.357,81.661,0
98346,77.077,76.442,75.881,75.159,0
98347,79.902,78.718,78.961,76.595,0
98348,78.933,79.507,76.306,75.184,0
98349,80.521,80.623,80.575,78.81,0
98350,80.594,80.63,80.918,79.428,0
98351,76.522,76.849,79.603,79.14,0
98352,76.699,76.198,75.397,75.466,0
98353,77.137,80.202,77.359,74.753,0
98354,79.208,77.665,76.037,76.197,0
98355,80.324,78.308,79.338,81.662,0
98356,77.83,77.483,77.374,77.762,0
98357,81.729,80.766,79.489,80.292,0
98358,80.566,79.076,79.465,80.109,0
98359,78.696,73.839,74.511,74.571,0
98360,76.622,76.075,77.091,79.153,0
98361,79.607,80.64,79.264,79.878,0
98362,79.005,80.703,76.92,76.623,0
98363,76.845,78.398,76.165,76.891,0
98364,78.459,78.367,75.093,73.866,0
98365,77.409,78.843,77.615,76.852,0
98366,75.792,69.403,77.103,78.068,0
98367,80.041,78.807,80.262,80.774,0
98368,80.413,75.496,76.634,75.476,0
98369,78.459,75.49,77.483,77.018,0
98370,80.499,79.587,80.322,80.796,0
98371,80.376,80.74,78.188,78.506,0
98372,80.184,80.484,80.16,80.112,0
98373,84.829,80.309,81.158,80.928,0
98374,79.65,82.424,78.672,79.725,0
98375,81.79,81.431,78.05,79.847,0
98376,80.346,78.674,79.662,77.319,0
98377,79.987,81.681,77.726,80.024,0
98378,81.538,81.82,80.624,79.625,0
98379,81.592,80.679,81.36,80.814,0
98380,82.33,81.089,80.571,79.783,0
98381,76.635,77.903,76.965,76.124,0
98382,79.161,80.799,80.223,77.767,0
98383,82.666,79.643,79.874,79.333,0
98384,81.197,80.91,79.729,80.008,0
98385,77.133,78.734,76.527,77.621,0
98386,75.837,74.981,75.215,77.073,0
98387,80.877,79.127,80.609,78.636,0
98388,83.07,82.484,82.031,81.858,0
98389,82.077,82.056,80.423,78.987,0
98390,81.543,81.19,80.823,79.453,0
98391,78.797,81.118,78.568,77.479,0
98392,78.981,79.378,76.185,76.094,0
98393,77.326,79.542,76.06,77.634,0
98394,73.742,74.159,73.03,73.288,0
98395,80.514,79.596,78.697,79.205,0
98396,79.289,78.414,77.467,76.716,0
98397,79.086,75.885,76.224,78.284,0
98398,79.704,76.74,77.442,80.289,0
98399,77.73,73.213,73.558,75.142,0
98400,76.468,78.717,76.062,76.652,0
98401,80.317,79.259,78.413,79.726,0
98402,84.691,83.554,83.437,82.595,0
