,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2 DoorDash Score
3135,84.407
3136,81.39
3137,82.497
3138,81.235
3139,79.155
3140,80.827
3141,79.747
3142,82.693
3143,82.734
3144,79.009
3145,79.461
3146,78.172
3147,81.952
3148,80.081
3149,81.714
3150,81.849
3153,80.768
3155,76.653
3156,81.125
3157,79.119
3158,82.071
3159,80.831
3160,81.072
3161,84.659
3162,81.962
3186,81.856
3225,81.736
3315,80.554
3321,81.965
3332,79.385
5877,79.961
5981,83.005
6043,83.62
6078,81.0
6081,84.36
6082,80.902
6090,81.622
6127,85.911
6211,81.24
6213,80.927
6214,80.671
6231,79.273
6232,82.095
6233,82.126
6239,79.13
6240,81.282
6254,81.959
6255,81.004
6342,79.9
7630,80.018
7654,80.107
8890,81.176
8916,77.247
9028,78.678
9066,79.737
9445,81.603
9542,81.175
9546,83.138
9547,79.443
9583,80.731
9587,77.302
12037,81.217
12116,79.625
12122,82.625
12124,83.322
12141,80.368
12143,79.803
12149,83.234
12161,73.641
12252,83.592
12408,78.78
12409,82.54
12410,81.249
12418,83.549
12422,81.696
12435,80.286
12436,79.22
12437,75.345
12447,82.567
12448,83.598
12449,82.489
12450,81.6
12451,81.585
12452,80.342
12453,81.309
12454,81.318
12455,85.714
12456,84.869
12457,81.402
12458,84.441
12459,80.808
12460,82.552
12461,81.097
12462,80.763
12463,75.679
12464,82.198
12465,82.843
12466,80.553
12467,81.897
12468,79.506
12469,75.124
12470,82.565
12471,84.029
12472,82.279
12473,81.705
12474,78.232
12475,81.183
12476,79.727
12477,87.768
12478,83.081
12479,80.939
12480,82.019
12481,80.542
12482,82.839
12483,80.266
12484,80.33
12485,82.299
12486,82.848
12487,83.77
12488,80.464
12489,78.533
12490,79.593
12491,81.115
12492,81.902
12493,79.528
12494,81.033
12495,83.147
12496,82.401
12497,85.106
12498,83.24
12499,81.687
12500,80.233
12501,77.508
12502,81.953
12503,76.958
12504,82.627
12505,74.812
12506,81.422
12507,79.953
12508,81.256
12509,79.614
12510,79.647
12511,80.651
12512,78.892
12513,78.982
12514,85.121
12515,82.69
12516,83.877
12518,83.286
12519,81.038
12520,84.531
12521,82.09
12523,84.57
12525,85.296
12526,82.254
12527,80.376
12528,80.347
12529,84.694
12530,79.979
12531,79.091
12532,80.881
12533,80.908
12565,84.199
12656,81.65
12674,81.416
12687,79.743
12736,80.835
13078,81.544
13080,83.257
13146,80.091
13147,81.409
13148,83.082
13149,80.989
13150,81.933
13196,84.611
13382,80.709
13461,80.293
13475,82.263
13477,80.247
13537,81.888
13893,81.673
13897,81.179
14744,83.328
14862,80.661
14882,83.928
14890,82.67
14906,79.965
14907,82.874
14914,81.772
14916,78.612
14930,82.245
14932,77.889
14939,78.645
14947,81.368
15180,79.834
15240,80.221
15339,78.615
15419,80.912
15425,83.287
15426,80.962
15474,83.565
15519,80.677
15524,82.722
15589,79.471
15679,76.201
15743,77.73
16036,83.1
16039,81.118
16064,83.941
