Unnamed: 0,Modifiedgpt4o-onmini UIUX Score
54796,83.913
54797,88.653
54798,85.337
54799,85.165
54800,80.847
56453,86.352
56528,81.212
56542,82.268
56543,86.778
56544,86.128
56545,84.118
56618,87.803
56619,81.624
56629,89.541
56630,83.529
56631,87.055
56632,87.321
56633,86.085
56634,82.748
56635,87.26
56637,85.001
56638,87.844
56639,87.622
56641,81.402
56642,84.692
56643,84.059
56644,81.754
56645,87.857
56646,81.18
56647,84.452
56648,77.999
56649,85.61
56650,81.959
56651,87.402
56652,85.781
56653,83.664
56654,83.99
56656,87.943
56657,87.656
56661,84.077
56662,88.171
56725,86.682
56795,82.514
56796,83.596
56797,85.47
56798,84.664
56799,82.992
56800,82.568
56801,84.085
56802,82.507
56803,89.293
56804,89.744
56805,80.933
56807,86.677
56809,87.469
56859,84.276
56860,87.77
56861,85.295
56862,86.616
57384,91.148
57400,90.219
62042,85.965
63086,83.82
63087,85.213
83710,87.151
83711,81.078
86666,86.749
87779,83.165
97622,87.922
98134,86.694
98135,87.063
98136,84.693
98137,87.025
98138,85.842
98171,87.116
98172,82.146
98173,84.56
98245,87.933
98250,86.245
98251,84.126
98252,80.101
98253,84.549
98254,85.078
98255,86.563
98256,83.461
98257,86.838
98258,85.147
98259,81.501
98260,82.619
98261,85.503
98262,88.696
98263,86.435
98264,88.177
98265,84.678
98266,84.889
98267,81.815
98268,85.185
98269,87.707
98270,85.46
98271,85.43
98272,89.798
98273,87.095
98274,88.26
98275,85.958
98276,86.045
98277,86.372
98278,85.903
98279,85.683
98280,84.324
98281,86.739
98282,86.234
98283,87.727
98284,85.085
98285,83.574
98286,85.225
98287,88.789
98288,80.351
98289,83.173
98290,82.414
98291,85.909
98292,87.695
98293,87.344
98294,88.037
98295,88.289
98296,86.733
98297,85.821
98298,87.427
98299,88.478
98300,89.482
98301,87.203
98302,86.886
98303,87.061
98304,86.396
98305,89.293
98306,88.071
98307,86.404
98308,84.842
98309,85.025
98310,87.152
98311,85.925
98312,86.724
98313,89.142
98314,88.277
98315,86.952
98316,86.897
98317,85.901
98318,85.648
98319,87.912
98320,89.5
98321,86.695
98322,89.146
98323,87.454
98324,85.606
98325,89.245
98326,86.045
98327,84.067
98328,85.915
98329,86.387
98330,85.748
98331,86.079
98332,81.562
98333,86.242
98334,84.686
98335,84.857
98336,83.731
98337,86.501
98338,79.199
98339,86.981
98340,88.619
98341,87.766
98342,87.098
98343,84.833
98344,88.392
98345,84.699
98346,87.051
98347,83.715
98348,82.381
98349,88.015
98350,87.718
98351,86.93
98352,84.712
98353,86.815
98354,81.505
98355,85.088
98356,85.732
98357,80.041
98358,87.085
98359,81.08
98360,82.744
98361,86.378
98362,87.969
98363,85.691
98364,85.877
98365,87.121
98366,79.155
98367,85.592
98368,86.919
98369,90.513
98370,88.804
98371,87.196
98372,88.293
98373,84.538
98374,88.564
98375,89.0
98376,83.332
98377,86.111
98378,83.547
98379,90.146
98380,87.344
98381,84.238
98382,88.405
98383,86.255
98384,85.923
98385,85.294
98386,82.667
98387,87.837
98388,86.28
98389,82.887
98390,88.014
98391,85.244
98392,86.581
98393,86.128
98394,86.771
98395,89.992
98396,86.343
98397,86.164
98398,85.699
98399,84.938
98400,81.486
98401,83.185
98402,84.932
