Unnamed: 0,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat DoorDash Score
12484,81.807
12485,83.792
12486,83.373
12487,83.757
12488,80.822
12489,77.405
12490,80.525
12491,82.448
12492,81.934
12493,76.276
12494,80.98
12495,84.115
12496,80.139
12497,82.179
12498,84.307
12499,83.269
12500,81.121
12501,79.985
12502,82.125
12503,79.372
12504,84.242
12505,76.237
12506,81.26
12507,80.817
12508,81.996
12509,79.393
12510,82.885
12511,79.518
12512,80.433
12513,80.079
12514,85.796
12515,84.016
12516,82.175
12518,84.024
12519,80.723
12520,84.93
12521,82.423
12523,82.772
12525,86.196
12526,84.829
12527,82.36
12528,80.018
12529,85.378
12530,80.452
12531,75.763
12532,82.657
12533,82.324
12565,84.542
12656,83.02
12674,83.381
12687,79.133
12736,82.627
13078,81.091
13080,83.706
13146,79.663
13147,81.22
13148,83.345
13149,82.372
13150,82.235
13196,84.429
13382,82.338
13461,78.365
13475,83.972
13477,81.457
13537,79.922
13893,83.933
13897,83.322
14744,81.231
14862,82.947
14882,83.742
14890,81.007
14906,80.042
14907,81.839
14914,83.028
14916,79.267
14930,82.712
14932,75.406
14939,79.639
14947,80.749
15180,79.693
15240,80.193
15339,83.551
15419,81.332
15425,85.12
15426,82.762
15474,83.445
15519,81.768
15524,82.62
15589,81.888
15679,77.098
15743,76.401
16036,81.697
16039,80.948
16064,85.224
