,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5 DoorDash Score
3146,79.779
3147,80.402
3148,80.809
3149,81.959
3150,83.284
3153,80.626
3155,78.375
3156,79.677
3157,78.548
3158,82.332
3159,82.887
3160,80.864
3161,85.249
3162,83.18
3186,80.927
3225,82.807
3315,80.436
3321,82.827
3332,81.08
5877,80.839
5981,85.049
6043,82.769
6078,81.139
6081,84.661
6082,82.184
6090,83.199
6127,85.288
6211,80.124
6213,84.763
6214,82.263
6231,79.891
6232,82.281
6233,81.923
6239,81.545
6240,80.845
6254,82.505
6255,80.494
6342,80.882
7630,79.379
7654,81.127
8890,82.113
8916,77.712
9028,79.397
9066,79.075
9445,82.09
9542,81.065
9546,84.326
9547,80.38
9583,81.173
9587,78.259
12037,81.918
12116,79.287
12122,82.669
12124,82.449
12141,82.455
12143,79.235
12149,82.24
12161,76.647
12252,81.968
12408,79.923
12409,82.383
12410,82.214
12418,84.731
12422,81.403
12435,80.585
12436,79.572
12437,77.921
12447,83.21
12448,83.148
12449,83.144
12450,81.68
12451,80.848
12452,79.815
12453,81.247
12454,80.745
12455,84.199
12456,83.576
12457,81.985
12458,84.688
12459,80.935
12460,82.971
12461,76.912
12462,80.599
12463,76.906
12464,84.012
12465,82.121
12466,81.633
12467,82.363
12468,80.894
12469,77.569
12470,83.491
12471,84.019
12472,83.596
12473,82.304
12474,79.266
12475,82.771
12476,81.541
12477,87.645
12478,83.333
12479,80.219
12480,81.687
12481,81.231
12482,82.802
12483,81.205
12484,77.927
12485,83.008
12486,83.591
12487,83.128
12488,80.434
12489,79.318
12490,81.602
12491,82.996
12492,81.774
12493,81.042
12494,79.615
12495,82.892
12496,80.978
12497,85.823
12498,83.884
12499,81.625
12500,79.901
12501,77.659
12502,82.196
12503,79.824
12504,82.543
12505,76.064
12506,82.959
12507,80.285
12508,82.262
12509,80.909
12510,78.868
12511,81.493
12512,80.153
12513,79.719
12514,84.312
12515,81.963
12516,83.775
12518,82.035
12519,82.021
12520,84.922
12521,82.952
12523,81.91
12525,86.243
12526,83.735
12527,83.133
12528,79.395
12529,83.708
12530,79.68
12531,79.966
12532,80.758
12533,80.96
12565,83.507
12656,82.616
12674,83.062
12687,80.324
12736,82.578
13078,82.037
13080,83.424
13146,79.849
13147,81.318
13148,82.8
13149,82.189
13150,82.299
13196,85.842
13382,81.692
13461,81.814
13475,83.921
13477,81.385
13537,84.114
13893,81.206
13897,80.365
14744,82.742
14862,81.805
14882,85.193
14890,83.036
14906,81.059
14907,81.633
14914,82.011
14916,79.011
14930,83.136
14932,77.739
14939,80.264
14947,82.117
15180,79.972
15240,81.111
15339,81.756
15419,81.005
15425,84.059
15426,81.048
15474,85.034
15519,82.362
15524,82.462
15589,77.934
15679,75.659
15743,78.855
16036,83.631
16039,81.367
16064,84.777
