,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
10,"Навчився роботі з 3D без використання мокапів, зробив продукт, ціль якого - допомога людям, вирішив проблему безпеки і створив помічників для людей на Марсі та полегшив процес адаптації до колонізації. Використовував продуктові практики, створив додаток, веб-версію, дизайн-систему. Навчився адаптувати веб під мобільні пристрої, дізнався про практики e-commerce сайтів, робити прототипи, користуватися варіативними компонентами, autolayouts, вмію користуватися нейромережами і генерувати графіку з відповідним промтом.

1. **robotplus+** - продукт для оренди або купівлі робота для виконання задач на Марсі, на основі мобільного додатку, з продуктовою сторінкою у вебі. Використовував Blender, AI, Figma, Photoshop. 
2. **beau.flo** - e-commerce сайт для продажу одягу онлайн, використовував наявні патерни e-commerce, та інтегрував айдентику бренду у візуальну концепцію. AI, Figma, Photoshop, Illustrator.
3. **velvet underground** - website redesign - зробити більш сучасний та актуальний дизайн, розповісти про гурт, промоут фільму про вплив на музичну культуру, який справила Velvet Underground, розповісти про учасників гурту та про процес створення альбомів. Figma, Photoshop, Midjourney.

Мета мого кар'єрного розвитку - стати успішним UX/UI дизайнером та розумітися на UX-ресерчі, оволодіти бізнес-процесами, навчитися використовувати метрики. Я маю сильний інтерес до розробки інноваційних інтерфейсів, 3D моделювання, no-code технологій та використання дизайн-методологій для створення ефективних продуктів."
11,"Дизайн банерів та головних екранів для книжкового магазину, магазину взуття, маркетингової конференції та продажу програм тренування.  
Створення дизайну сайту для компанії Coinvest, що спеціалізується на інвестиціях.  
Реалізація дизайну сайту для мережі тату-салонів Art Hall та адаптація під різні девайси.  
Редизайн багатосторінкового сайту для бренду Specialized, адаптація під мобільні та планшетні версії.  
Розробка послуг для онлайн-казино, ставок та товарів 18+."
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.  
1. Маю досвід зі створення сайтів-візиток, e-commerce, корпоративних сайтів, а також мобільних адаптацій до них.  
2. Просунутий користувач Figma - від варфрейма до клікабельного прототипування.  
3. Використовую в роботі Adobe Photoshop, Adobe Illustrator, Adobe After Effects.  
4. Маю базові знання HTML та CSS."
13,"Три роки я займалась обробкою даних для тренування штучного інтелекту, тому маю такі навички, як схильність до монотонної роботи, уважність до деталей, високий рівень самоорганізації тощо. Також я дуже відкрита та комунікативна людина, спокійно сприймаю конструктивну критику. У 2023 році я пройшла курс Motion Design Basic в онлайн-школі SKVOT та отримала базові навички у роботі із Adobe After Effect & Cinema 4D, тепер мені цікаво розвиватись у напрямку Motion Design.

2018 - 2019 - Interior designer & Sales manager in Tiger  
Проектування та дизайн інтер’єрів житлових та промислових приміщень для клієнтів салону “Tiger modern” з використанням продукції компанії, консультування клієнтів, робота з документацією.  

2020 - 2023 - Data Quality Engineer - SQUAD  
Підтримка систем безпеки розумного дому, робота з даними, Machine Learning.  

2023 - Graphic Designer - Motto  
Графічний дизайнер мережі АЗС ""Motto"" - розробка баннерів, листівок, рекламних пропозицій, дизайн-концепція ""меню супутніх товарів"" для мережі АЗС. Робота в компанії, яка дотримується корпоративної етики, має усі умови для комфортної праці і систему заохочення співробітників, своєчасно виплачує заробітну платню. Креативна позиція.  

Я шукаю компанію, яка високо цінує потенціал кожного співробітника, має систему винагород, цінує кар'єрний ріст, креативність та розвиток."
14,"Графічний дизайнер з трирічним досвідом роботи на фрілансі. Спеціалізуюсь на створенні зовнішньої та внутрішньої реклами, презентацій та відео для компанії «Житлобуд-1».

Маю досвід розробки сайтів на платформі Tilda, завершив 6 проектів, переважно в сфері ремонту та нерухомості, з підключенням аналітики (Google Analytics, Tag Manager, Search Console).

Володію базовими навичками HTML (emmet), CSS (sass, less), працював з Wordpress, маю початкові знання JavaScript та розуміння принципів програмування (вивчав C++, C#, Java, Python, але не займаюсь програмуванням на цих мовах). Не планую працювати з поліграфією будь-якого типу."
15,"Робив декілька іконок для Google  
4 роки (веб-сайти, банери, постери, графічний дизайн)  
Замовлення на фріланс біржах (Fiverr, Upwork) від компаній з ЄС, США та ін.  
- Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.  
- Створення макетів, дизайну графіки та інших елементів для веб-сайтів.  
- Оптимізація сайтів для SEO та підвищення їх конверсії.  
- Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.  

Додаткові навички:  
- Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та ін.  
- Розуміння основ дизайну та веб-розробки.  
- Досвід використання Webflow.  
- Володіння англійською мовою на рівні В1  

Особливі якості:  
- Креативність та інноваційність у роботі.  
- Стресостійкість, готовність до викликів і складних задач.  
- Організованість та відповідальність.  
- Здатність працювати у команді та під час індивідуальної роботи.  
- Вміння ефективно спілкуватись з клієнтами та колегами.  
- Праця на результат.  
- Спокійний характер та енергійність в роботі.  "
16,"4 роки навчалася в колледжі та 2 в університеті на спеціальностях ""Художня фотографія"" та ""Дизайн"", де здобула навички малювання, ретуші, графічного малюнку, візуальної побудови сайтів.

Працювала в компанії ""Про Пост"" ретушером, де значно покращила свої знання програми Фотошоп і з впевненістю можу сказати, що знаю програму відмінно.

Працювала на фрілансі, виготовляючи логотипи, банери, візітівки.

Пройшла курс UI/UX дизайну від Beetroot академії, на якому навчилася незмінним принципам композиції, типографіки та поєднання кольорів. У результаті можу створювати адаптивні веб-сайти для різних пристроїв.

Навчилася працювати з Figma. Викладач провів через основні етапи дизайнерського мислення, щоб, зрештою, я змогла створити привабливий і зручний веб-сайт. Можу показати свої проекти майбутнім роботодавцям."
17,"Freelance  
- Дизайн мобільних додатків  
- Допомога в підтримуванні дизайн системи  
- Дизайн лендінгів  
- Створення банерів  

Мета: зростати як спеціаліст, використовувати весь свій спектр знань та вмінь."
18,"Навчання:  
- 21.05.23 - початок навчання у GO IT за напрямком UX/UI Design  

Досвід:  
- Працюю над створенням landing page  

Мета:  
- Потрапити у компанію, де зможу стати частиною команди, працювати, розвиватися як UX/UI Designer та здобувати безцінний досвід."
19,"ПІБ: [Ваше ім'я]  
Контактна інформація: [Ваш телефон, електронна пошта]  
Місто: [Ваше місто]  

Мета:  
Шукати можливість працювати в сучасній компанії в сфері дизайну, створюючи цікаві та якісні продукти.

Освіта:  
Львівська політехніка, спеціальність: Комп'ютерні науки, [Рік закінчення]  

Курси:  
""Основи Web-дизайну"", [Рік закінчення]  

Досвід:  
- Створив сайт для опису мотоциклів з зручним інтерфейсом та плавною анімацією.  
- Володію досвідом роботи з Figma.  

Навички:  
- Швидке навчання новим технологіям.  
- Виконання завдань в узгоджені часові рамки.  
- Інтерес до роботи та навчання в сфері дизайну.  

Портфоліо:  
Можу надати посилання на мою роботу в Behance."
20,"Courses:  
UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022  
Inclusive Design | Projector Online School, Apr 2021  
Web Design Beginning | Projector Online School, Feb-Apr 2021  
Basics of Web Development | WayUp Online School, 2021  
Introduction to User Experience Design | Georgia Institute of Technology, 2020  

University: Doctor of Medicine  

Якщо ви розглядаєте до себе в команду старанного міцного та мотивованого дизайнера-початківця, це я :-)  
Привіт! Мене звати Юля. Я UI/UX дизайнер з базовими знаннями з фронтенду.  
Мій досвід у створенні інтерфейсів сайтів невеликий, але я захоплена цією роботою і готова навчатись.  
Моя мета і сильне бажання будувати свою дизайнерську кар’єру серед чудової команди однодумців.  

I am looking for a place where I could be useful with the skills I've already got as well as grow as a UI/UX designer among a great team of like-minded individuals."
21,"Досвід роботи трохи більше 6 місяців, весь цей час працюю на фрілансі, маю наразі декілька проектів, над якими працюю. У своїй роботі переважно використовую інструменти Figma та Photoshop, а також Google Sheets та опитування для аналізу потоку користувачів. Шукаю можливість приєднатися до хорошої компанії, щоб мати змогу рости та отримувати досвід роботи в команді. У майбутньому планую освоїти графічний дизайн."
22,"Junior UI/UX Designer

IT School GOIT  
Курс ""UI/UX Designer""  
Період: лютий 2023 – зараз.

Отримано навички роботи у програмі Figma, Adobe Illustrator, Adobe Photoshop.  
UI part:  
- visual hierarchy;  
- composition;  
- coloristics;  
- typography;  
- UI Kit.  

UX part:  
- interactive prototype;  
- responsive design;  
- design thinking;  

UX research:  
- competitor analysis;  
- personas and empathy maps;  
- user flow;  
- prototyping;  

As a UI/UX designer, I'm open to opportunities, motivated, and ready to work. I have strong empathy and understand user needs. My skills and enthusiasm make me a valuable addition to any team.

My projects:  
Redesign ""Ola-La""  
The redesign of the cosmetic center resulted in the following conclusions:  
- Enhanced aesthetics  
- User-friendly interface  
- Improved information organization  
- Professionalism  
- Enhanced customer communication  

Next project - Team Project ""Be like at home""  
As part of our team project, we collaborated on developing an innovative website for housing rentals, focusing on user convenience, attractive design, and reliable functionality.  
During the team project, I honed my skills in teamwork, communication, and collaboration with colleagues. I also developed project management skills, including working with deadlines and taking responsibility for my role in the project. Through working with different experts, I gained additional knowledge and skills in website development and the use of relevant tools and technologies.  
Є бажання працювати у дружньому колективі, де колеги поважають та допомагають один одному."
23,"Успішне проходження курсу ""Основи Web дизайну"" в ІТ школі ""Hillel"". Досвід роботи понад 6 місяців на фрілансі. Junior UI/UX Designer з комерційним досвідом роботи. Наразі продовжую працювати на фріланс основі та прокачувати свої навички UI/UX Designer. Маю велике бажання розвиватися в компанії, зосереджуючи увагу на якісній роботі на посаді. Готова працювати помічником web дизайнера та UI/UX дизайнера для набуття досвіду. Очікую нові цікаві проекти. Готова до викликів, адже маю ціль стати кваліфікованим спеціалістом у сфері UI/UX Designer."
24,"Landing Page для продажу оригінального крісла Wassily Chair. Проведено аналіз конкурентів в ніші, створено юзер персон, юзер флоу, розроблено вайфрейм, дизайн сторінки та інтерактивний прототип.

Розроблення мобільного додатку на IOS на тему ""Бронювання готелів, житла"". Робота почалась з аналізу конкурентів, створення юзер персон та юзер флоу. Після цього розроблено вайрфрейми, а далі - дизайн. Завершено створенням інтерактивного прототипу та оформленням кейсу на Біханс."
25,"Є сертифікат UX/UI designer-a компанія GO IT.  
Навчаюся на магістратурі в GO IT на Software Engineering. Вивчаю розробку та кожного дня покращую свої знання в айти. Маю навички роботи в команді.  
Шукаю роботу як Junior UX/UI designer, переважно в продуктовій компанії.  

Що я шукаю в своїй роботі:  
1. Хочу розвивати дизайн інтерфейсів.  
2. Хочу співпрацювати з професіоналами та працювати в дружньому середовищі.  
3. Проводити аналітику користувацького досвіду.  
4. Створювати вайрфрейми та детальні прототипи.  
5. Працювати з такими продуктами, як: веб-сервіси, мобільні додатки, браузери, соціальні мережі та веб-ресурси.  
6. Створювати Customer Journey Map та User Journey Map.  
7. Працювати над адаптивним дизайном.  
8. Розвивати дизайн-системи.  

Я вивчав дизайн протягом 1 року, за цей час я реалізував 3 проекти:  
1) Веб-сервіс для пошуку домашніх тварин.  
2) Мобільний додаток для бронювання столиків у ресторані.  
3) Мобільний додаток для оренди будинків або квартир.  
4) Адаптивний веб-сайт для уроків англійської.  
5) Адаптивний веб-сайт для веб-студії.  

Інструменти:  
1) Figma  
2) Adobe Photoshop, Illustrator  
3) VS Code  
4) Protopie  

Я працював над цими проектами:  
1. Дослідження та референси  
2. HTML & CSS  
3. Вайрфреймінг  
4. Дизайн інтерфейсу  
5. Дизайн користувацького досвіду  
6. CJM & UJM  
7. Створення персонажів  
8. MVP версія  
9. Дашборди  
10. Прототипування  
11. Дизайн-системи та UI kit  
12. Адаптивний дизайн  
13. Адаптивний дизайн з використанням медіа  

Для мене важливо:  
- Можливість розвиватися та покращувати свої навички у веб-дизайні.  
- Дружня команда та приємні люди в колективі."
26,"Ліля

Досвід роботи:
- Спеціаліст з обслуговування та консультування клієнтів, магазин одягу ""24 Colours""
- Невеликий досвід у менеджменті

Освіта:
- Студентка UX design

Навички:
- Володіння польською мовою (сертифікат B2)
- Слідкування за новітніми трендами в соцмережах
- Мотивація до професійного розвитку та набуття практичного досвіду"
27,"Hard Skills:  
- Figma,  
- Adobe Illustrator,  
- Adobe Photoshop,  
- Adobe After Effect (створення легкої Анімації).  

Soft Skills:  
- наглядність;  
- робота в команді;  
- виконавчість та націленість на результат;  
- почуття гумору, чесність, стресостійкість, пунктуальність;  
- здатність швидко навчатися;  
- прагнення до розвитку та професійного зростання.  

Smartflowlabs  
- UX/UI дизайнер: від створення прототипу сайту, вивчення бренду та конкурентів до кінцевого результату створення дизайну сайту (під керівництвом Senior Веб-дизайнера).  
- Розробка додатків для магазинів Shopify (під керівництвом Senior Веб-дизайнера).  
- Адаптивний дизайн сайту.  
(Вересень 2022р. - Січень 2023р.)  "
28,"- SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер).
- Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер)."
29,"Tepli obiymy  
10.07.2023 - 25.07.2023  
Розробка айдентики для інстаграм магазина в'язаних речей  
Проаналізувала конкуренцію та цільову аудиторію, виявила слабкі та сильні сторони продукції, розробила концепцію, створила логотип та оформила бірки для одягу.  
Бажання розуміти процес розробки, а не лише створювати красиві інтерфейси, визначає мою мету.  
Головне долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб в команди була змога сконцентруватися на складніших аспектах."
30,"Я - кваліфікована UI/UX дизайнерка з досвідом роботи в проєкті, спрямованому на підтримку початківців в сфері ІТ, які не мають досвіду. Моя участь у цьому проєкті не тільки дозволила мені вдосконалити свої навички в області UI/UX дизайну, але й надала мені унікальну можливість розвивати навички управління проєктами та здобути практичний досвід у командній роботі.

UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейса з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Робота в команді, співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення ui-kit та передача макету в розробку

Пет проєкти
1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Я брала активну участь у всіх етапах процесу дизайну, починаючи зі створення концептуальних вайрфреймів, розробки інтерактивних прототипів та остаточного дизайну. Моя робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Я також активно використовувала компонентний підхід, створюючи компоненти для кнопок, полів введення, карточок та інших елементів, що полегшувало повторне використання. Робота в команді організована за методологією SCRUM з двотижневими спринтами і регулярними дейлі мітингами, на яких обговорюємо прогрес роботи, обмінюємося ідеями та вирішуємо питання для подальшого розвитку проєкту.

2. Мобільний додаток з резервування столиків
Додаток, який допомагатиме користувачам легко та швидко здійснювати бронювання столиків в улюблених закладах. Можливість шукати та переглядати інформацію про різні ресторани, меню, фотографії та розташування, обирати дату, час та кількість осіб, для яких вони хочуть забронювати столик. Для початку я провела аналіз, який допоміг мені зрозуміти, хто буде цільовою аудиторією, які їх потреби та очікування від додатку, склала мапу сайту, побудувала User flow. Розробила вайрфрейми та прототипи, які допомогли визначити візуальне розміщення елементів, оптимальну структуру та навігацію додатка. Розробила високоякісні макети, включаючи вибір кольорової палітри, шрифтів, графічних елементів та іконок."
31,"На протязі 3-ох місяців пройшла курс для веб-дизайнера WayUp, де вивчила основні принципи роботи з Figma. Наразі вивчаю Adobe Illustrator. 

Адміністратор - 1 місяць роботи зі стажуванням в українській компанії. 

Графічний дизайнер - 1,5 місяців роботи в польській компанії Mindy Teams. 

Менеджер з продажу - 1 тиждень, звільнилася через невідповідність графіку роботи."
32,"Отримала сертифікат про завершення курсу UI/UX (Logos IT Academy), окрім цього проходила безкоштовний марафон від GoIT ""Основи HTML, CSS"". 

Більше 5-ти років працювала у сфері освіти - викладала українську та англійську мову. Протягом декретної відпустки продовжувала викладати онлайн та освоїла нову професію. Завершила курс по UI/UX, де розробляла додаток для доставки їжі (проводила дослідження, створювала User Persona & Story, CJM, Task Flow, IA), а також робила дашборди, постери. 

Готова працювати асистентом дизайнера чи стажуватись, щоб набратись досвіду."
33,"Дизайнер у соціальній компанії Steiger International, Jr. UX/UI. Розробка веб-сайту, участь у 4 проєктах, зокрема: продукт у сфері доставки, веб-сайт магазину з доставки продуктів. Проєкти виконані під час навчання на курсах Projector."
34,"Дві вищі освіти. Закінчила курси з UI/UX-дизайну, маю 7 місяців досвіду роботи. До дизайну 10 років працювала редактором у різних компаніях, зокрема на телебаченні. На всіх місцях роботи проявила себе як відповідальний фахівець. 

Вебдизайнерка з великим бекграундом у редагуванні. Закохана в ІТ. Впевнено користуюся програмою Figma та іншими графічними редакторами. 7 місяців працювала контент-дизайнеркою в компанії GOIT, де готувала у Figma, Photoshop, Illustrator весь візуальний матеріал для онлайн-курсів (прототипи, UI, слайди, обгортки до статей і курсів, рекламні банери, таблиці, документи в Notion). Раніше працювала з програмами Adobe InDesign, Coral Draw. Маю досвід роботи на телебаченні та у видавництві.

Рівень англійської – Intermediate. Рівень знання розробки – можу відкрити код і знайти оригінальні зображення для свого дизайну. 

Шукаю стабільну роботу з офіційним оформленням у надійній компанії. Прагну працювати з дружною командою фахівців, які люблять свою справу. Разом досягнемо нових висот!"
