id,ScoresGoogle_Original_File_haiku_v1 resumes,ScoresGoogle_Original_File_sonnet_v1 resumes,ScoresGoogle_Original_File_gemini_flash_v1 resumes,ScoresGoogle_Original_File_opus_v1 resumes,ScoresGoogle_Original_google resumes,ScoresGoogle_Original_File_gemini_pro_v1 resumes,ScoresGoogle_Original_File_gemini_flash_lite_v1 resumes
3321,78.626,77.345,80.022,78.222,77.844,77.538,79.539
3332,78.51,77.964,79.785,80.837,75.78,82.324,81.292
5877,78.35,78.793,79.905,78.818,78.733,80.166,80.216
5981,79.77,80.934,82.442,81.08,80.363,81.283,81.506
6018,87.84,86.897,89.159,85.865,85.607,87.874,85.391
6021,82.056,81.901,84.903,81.349,80.387,84.23,84.539
6026,86.241,86.198,85.706,85.743,88.592,86.963,87.856
6043,80.3,78.762,79.626,79.356,79.295,78.732,80.449
6078,79.802,78.882,81.761,79.758,79.611,81.536,81.793
6081,81.885,80.603,82.598,81.127,81.642,82.407,82.373
6082,81.597,82.416,82.83,80.879,80.805,83.84,83.52
6090,78.232,78.057,79.175,79.019,77.834,80.059,80.059
6127,83.07,82.857,82.818,82.437,81.424,83.441,82.578
6211,79.32,79.756,80.144,79.827,80.203,81.064,79.339
6213,82.043,80.621,79.101,80.043,81.409,81.557,80.628
6214,78.466,79.567,81.241,79.615,79.562,81.523,80.48
6231,77.804,78.866,77.772,78.741,77.132,78.813,78.626
6232,80.171,80.877,83.469,81.327,79.93,81.699,83.381
6233,77.492,77.898,78.731,79.757,76.5,78.678,78.793
6239,78.314,79.082,81.241,78.843,77.199,82.022,78.935
6240,78.615,76.91,78.594,78.277,79.191,79.311,78.058
6254,81.131,82.141,81.177,82.546,81.494,81.751,83.188
6255,78.179,78.737,79.549,78.505,78.563,79.471,78.845
6342,76.119,75.474,75.076,76.049,75.051,75.442,76.058
7630,80.984,81.009,83.247,80.493,80.692,83.627,81.486
7654,77.337,78.445,78.743,77.509,79.431,79.609,77.872
8890,78.952,80.161,81.613,80.545,74.311,79.733,82.857
8916,76.324,78.229,78.098,77.541,76.781,77.207,77.592
9028,80.01,79.414,80.665,79.127,80.647,79.532,79.518
9066,78.715,78.301,76.057,78.362,75.594,77.894,78.505
9445,80.317,79.795,79.826,78.149,80.759,79.79,79.985
9479,87.273,87.961,85.012,86.492,84.062,85.225,86.12
9542,80.068,78.848,80.689,79.748,77.849,80.592,81.83
9546,79.113,79.665,79.276,79.145,79.661,79.342,80.142
9547,79.166,78.668,80.895,79.014,78.438,78.748,79.027
9583,77.095,78.211,77.122,78.889,76.9,77.023,77.571
9587,76.307,77.776,76.906,74.469,77.048,79.784,79.224
12037,82.198,82.074,83.272,81.871,81.076,83.044,81.404
12116,77.124,77.296,79.202,77.244,76.391,79.18,78.732
12122,79.257,80.301,80.506,80.67,78.341,80.946,81.269
12124,78.719,77.792,79.799,76.49,79.18,78.701,79.17
12141,77.899,78.515,79.632,78.271,78.079,79.54,78.636
12143,80.509,80.381,81.346,78.68,79.674,79.162,81.569
12149,79.896,81.581,81.861,81.537,81.499,80.893,81.15
12161,78.529,77.462,80.151,77.844,78.86,81.326,81.163
12252,81.988,81.781,82.289,80.745,83.181,82.053,82.986
12408,77.387,77.456,78.602,76.098,76.643,76.967,78.356
12409,77.737,78.55,78.765,76.518,79.018,78.93,79.311
12410,82.837,80.667,81.839,81.582,80.869,81.408,81.137
12418,80.388,80.196,81.037,79.984,80.894,81.318,82.26
12422,79.254,78.771,78.982,79.498,78.027,78.782,78.019
12435,77.246,77.482,77.306,76.446,76.513,77.272,78.369
12436,77.835,77.444,78.751,78.069,75.188,78.524,78.593
12437,79.659,78.566,79.797,79.178,74.666,79.466,78.808
12447,82.013,80.753,81.341,80.234,79.584,81.756,81.757
12448,81.994,78.965,80.691,79.738,81.883,80.788,81.569
12449,79.121,79.139,80.39,79.141,78.945,79.155,79.844
12450,77.963,79.299,79.868,79.295,78.3,79.444,79.737
12451,78.759,76.272,77.58,76.6,75.854,76.542,79.894
12452,78.908,80.095,78.547,78.274,77.259,81.514,82.568
12453,77.774,79.728,79.086,77.28,80.76,83.305,81.642
12454,78.385,78.365,80.362,79.373,80.319,79.89,80.623
12455,80.198,80.905,79.504,79.441,80.943,80.365,79.865
12456,78.717,80.343,80.108,79.709,78.638,79.273,79.236
12457,81.064,81.605,82.851,82.004,82.379,82.18,82.817
12458,80.081,82.051,82.577,82.085,81.438,83.491,83.847
12459,79.13,76.298,76.893,77.568,75.972,76.815,77.049
12460,80.21,79.278,81.009,79.028,80.977,81.026,81.388
12461,79.944,76.551,81.993,81.314,77.812,82.067,80.758
12462,78.528,80.329,80.961,80.555,79.613,80.404,81.005
12463,81.979,81.655,82.189,82.759,79.776,80.606,83.63
12464,81.85,80.475,81.066,81.711,81.306,81.51,80.834
12465,79.159,78.581,78.897,80.223,78.186,78.378,78.797
12466,79.631,78.812,81.446,79.766,78.228,79.755,81.134
12467,80.801,82.537,82.701,79.432,82.424,81.547,82.206
12468,77.61,77.766,78.84,77.217,78.471,79.785,79.052
12469,77.083,78.669,76.836,77.802,75.032,78.862,77.131
12470,84.543,83.539,84.948,84.496,81.119,84.989,83.664
12471,78.777,83.402,81.383,79.775,81.386,80.964,82.84
12472,81.253,81.193,81.531,81.03,79.787,83.404,82.411
12473,78.66,81.637,79.861,79.034,80.705,80.42,81.874
12474,79.806,80.665,79.726,79.997,79.98,81.242,80.768
12475,80.132,80.627,78.498,80.372,80.412,80.289,79.907
12476,80.405,80.046,82.133,79.164,80.65,82.14,80.795
12477,79.35,82.523,84.711,79.678,83.012,83.945,88.199
12478,82.483,81.861,83.632,82.486,79.038,83.013,83.242
12479,77.718,77.588,77.543,75.514,77.026,79.878,79.784
12480,79.903,79.741,79.202,79.824,79.673,80.015,80.455
12481,75.601,82.181,81.265,80.815,81.276,82.887,82.194
12482,82.165,81.442,83.298,81.994,81.462,82.982,83.7
12483,79.915,78.806,81.666,78.128,81.473,80.533,81.509
12484,78.36,77.9,78.644,80.012,77.769,79.942,80.073
12485,78.132,79.489,81.65,77.709,79.154,80.116,82.255
12486,78.222,78.434,78.396,78.228,79.819,79.401,79.334
12487,80.48,80.465,79.8,81.291,82.157,81.918,82.22
12488,78.457,78.835,81.104,78.485,81.701,79.378,80.369
12489,76.399,76.216,76.819,75.461,74.878,76.597,76.977
12490,78.736,79.406,81.136,80.209,79.852,79.79,80.219
12491,79.407,80.233,80.81,79.126,80.05,79.776,81.26
12492,79.596,80.586,80.079,80.411,77.576,80.715,79.293
12493,79.193,78.476,80.42,78.543,77.298,79.472,77.817
12494,80.583,81.373,80.136,79.13,82.0,81.645,80.4
12495,82.065,80.828,82.166,82.469,80.273,81.932,83.3
12496,77.754,78.802,80.662,79.825,78.393,79.755,79.862
12497,83.612,84.209,82.843,82.473,82.566,84.156,82.797
12498,79.756,81.845,82.848,81.6,82.421,82.511,83.793
12499,78.449,77.239,77.35,76.343,76.882,77.15,78.666
12500,78.189,77.678,78.754,77.451,77.065,76.523,76.996
12501,74.958,74.975,75.713,76.376,69.513,75.845,75.813
12502,78.031,79.703,78.677,80.373,78.215,81.257,80.708
12503,76.92,75.541,78.681,75.063,75.92,77.868,78.628
12504,79.063,78.643,79.232,79.997,79.613,78.428,77.964
12505,80.518,79.776,79.45,81.338,79.964,80.918,80.898
12506,80.486,81.891,80.095,79.265,80.899,82.539,79.654
12507,79.392,78.587,81.513,80.305,84.434,83.71,80.319
12508,77.491,77.607,77.817,77.943,77.599,78.167,77.981
12509,80.772,79.37,82.171,78.69,80.355,80.778,81.118
12510,80.141,80.685,77.602,78.471,79.228,79.569,79.304
12511,78.886,80.176,81.35,79.863,79.474,81.275,81.895
12512,80.445,79.405,79.294,79.311,82.117,81.364,81.147
12513,78.347,77.871,78.29,77.51,78.181,78.152,78.387
12514,82.693,81.831,80.874,80.358,80.459,82.01,82.609
12515,79.614,79.924,81.971,78.711,80.171,81.462,80.494
12516,78.969,80.208,80.554,79.353,79.507,79.532,80.154
12518,80.347,79.035,80.271,79.88,78.064,79.902,80.277
12519,78.463,78.189,78.347,77.476,77.795,79.052,78.088
12520,80.804,80.994,80.92,80.815,80.856,81.696,81.142
12521,79.347,80.848,79.133,80.47,80.413,78.93,79.729
12523,83.817,81.735,82.478,81.774,78.906,83.11,81.334
12525,85.917,84.918,86.713,85.095,83.941,85.588,86.466
12526,79.372,81.359,81.555,79.296,79.317,82.608,80.495
12527,82.847,81.579,82.535,81.105,80.622,81.35,82.181
12528,79.638,80.128,80.986,79.891,79.936,80.474,81.801
12529,79.066,79.342,80.407,79.116,79.961,80.632,79.42
12530,76.841,76.381,76.556,77.678,75.786,76.486,76.044
12531,77.503,76.997,80.156,78.762,75.877,79.53,79.284
12532,78.911,77.027,80.276,77.273,76.616,78.647,78.362
12533,78.78,78.451,78.164,78.724,79.374,79.511,78.797
12565,82.123,82.472,83.167,82.35,83.661,83.473,82.933
12656,80.025,80.647,80.212,80.149,80.638,80.442,80.795
12674,80.697,81.301,82.429,79.543,79.775,82.453,80.992
12687,82.442,83.188,82.573,82.242,82.962,83.828,83.36
12736,79.943,81.627,80.393,81.773,81.955,82.63,81.553
13078,75.079,76.467,76.509,75.184,76.9,77.6,76.281
13080,80.101,80.87,82.967,81.936,80.952,82.935,82.513
13146,80.862,79.151,81.621,80.439,78.854,80.633,81.187
13147,79.515,79.227,81.082,79.727,78.748,79.256,79.003
13148,79.332,79.475,78.728,76.712,76.09,78.969,78.628
13149,79.037,79.505,80.049,77.988,78.678,79.882,79.576
13150,79.702,80.517,83.165,78.969,80.907,81.905,81.29
13196,79.839,80.295,79.287,79.456,79.192,79.314,79.592
13382,79.966,79.657,80.562,79.739,77.455,80.059,80.581
13461,77.593,79.092,78.986,77.606,77.143,78.378,77.901
13475,79.565,81.729,80.795,78.915,79.141,81.913,80.654
13477,77.275,78.964,79.392,77.088,78.756,79.587,80.972
13537,80.846,79.481,81.756,81.07,78.298,81.36,82.117
13893,77.328,77.457,78.612,76.978,77.371,79.185,78.57
13897,76.916,76.278,77.525,77.75,74.25,77.238,75.544
14744,75.582,76.148,78.02,76.398,74.963,78.056,77.133
14862,82.151,80.464,80.524,79.061,79.369,79.466,79.693
14882,82.621,81.301,82.938,81.123,80.424,82.548,81.328
14890,78.524,81.881,83.464,80.56,78.253,83.97,81.891
14906,79.013,79.374,78.957,78.636,77.913,79.758,79.198
14907,80.164,79.617,80.081,78.886,79.897,80.294,80.625
14914,75.961,78.256,77.638,77.7,76.537,77.151,77.145
14916,77.847,80.209,79.261,77.471,80.94,80.256,79.835
14930,81.761,82.911,83.818,80.949,80.409,83.544,83.291
14932,77.897,77.882,78.705,76.562,77.43,78.886,78.69
14939,77.977,78.851,79.032,78.107,78.203,78.683,78.173
14947,78.71,79.496,80.686,78.736,77.422,78.191,79.777
15180,77.712,80.218,78.96,78.475,79.132,77.994,78.395
15240,79.146,78.979,78.995,77.648,79.749,78.708,79.357
15339,80.301,81.561,81.562,80.036,78.921,81.415,81.324
15419,76.59,76.85,77.707,77.132,79.322,78.812,77.901
15425,78.662,79.486,79.016,78.388,78.35,78.443,79.309
15426,81.508,80.418,81.389,80.887,80.974,81.9,81.758
15474,81.262,81.78,81.016,80.182,78.869,82.445,81.36
15519,81.477,81.762,69.789,81.549,81.159,79.222,81.954
15524,80.248,81.292,69.789,79.946,80.681,82.083,81.236
15589,77.536,77.033,78.805,76.957,77.292,76.3,78.544
15679,77.479,78.506,78.704,76.477,76.429,79.539,78.912
15743,77.65,77.352,78.058,78.209,77.233,77.777,79.106
16036,82.235,79.59,80.418,78.122,80.054,80.895,81.429
16039,79.12,79.579,78.519,79.445,78.71,78.305,78.227
16064,82.334,82.905,82.748,80.827,83.02,82.253,82.312
16980,77.622,76.927,77.311,76.99,75.695,78.176,77.277
17014,78.35,79.531,79.016,78.694,78.918,79.785,79.529
18230,85.499,83.478,85.541,82.786,80.142,86.161,83.817
18348,85.605,85.429,88.373,84.736,84.935,87.8,85.592
26715,84.221,84.082,85.216,83.629,85.053,85.586,84.678
26747,82.822,87.544,85.975,84.886,86.066,89.16,87.812
29788,85.69,83.343,85.985,84.049,84.459,85.467,85.266
29835,83.558,83.098,84.964,82.754,83.081,85.245,83.807
30606,79.553,87.758,84.217,81.8,82.662,87.926,85.387
30845,88.337,86.52,87.408,85.468,85.679,87.771,86.216
32072,85.56,86.15,85.83,84.97,84.105,86.644,86.018
46443,87.829,86.043,88.461,85.169,87.108,88.06,87.383
46506,80.718,81.238,81.483,81.745,79.368,83.495,81.789
50300,84.118,82.932,84.672,82.682,83.382,84.357,83.751
51419,87.658,87.38,88.518,87.604,85.009,86.568,86.083
53971,84.043,85.287,86.011,85.438,82.609,85.194,84.494
53972,83.095,83.376,86.016,83.772,79.827,83.311,83.293
53973,85.647,86.08,86.59,86.137,85.324,86.159,86.489
53974,85.712,84.883,84.68,84.417,83.727,84.725,85.207
53975,86.27,87.568,87.206,85.699,87.042,86.607,86.316
53976,79.759,81.67,79.198,81.782,78.692,83.293,79.594
53977,83.441,83.882,84.252,82.96,83.087,84.607,85.667
53978,84.895,84.893,84.745,85.071,82.654,86.101,85.427
53979,87.934,86.987,87.296,87.85,86.075,88.213,87.903
53981,86.646,83.821,86.154,85.332,86.191,85.688,86.087
54796,82.971,82.199,84.7,84.188,81.668,85.233,83.191
54797,86.685,88.013,88.202,86.437,87.077,88.04,87.912
54798,84.588,83.78,85.274,83.418,82.627,85.056,84.315
54799,82.833,83.559,84.267,83.989,83.261,85.378,84.335
54800,80.665,80.079,80.888,79.769,78.797,79.84,79.651
56453,83.713,85.082,84.553,83.171,82.841,84.633,84.394
56528,80.412,81.784,80.936,80.317,79.675,80.622,82.372
56542,83.79,82.485,82.513,81.356,82.577,85.356,83.312
56543,83.765,81.44,83.884,81.809,79.886,85.289,84.541
56544,83.785,85.315,85.68,84.901,82.571,85.234,84.92
56545,78.841,81.26,80.692,81.723,77.57,82.834,83.506
56618,86.443,86.346,86.351,86.651,86.484,86.484,86.025
56619,83.262,80.821,82.316,82.097,80.69,82.82,81.882
56629,87.595,89.152,88.1,87.514,87.981,87.974,87.993
56630,83.659,83.555,86.112,81.706,81.609,85.281,83.117
56631,85.655,83.832,84.58,85.378,81.615,84.586,86.257
56632,86.674,86.03,87.399,87.188,84.596,87.979,86.369
56633,83.999,82.802,83.805,83.429,83.571,84.996,85.36
56634,82.182,85.293,83.23,81.621,73.817,82.752,82.43
56635,85.404,84.811,85.122,85.196,83.329,85.232,85.378
56637,82.68,83.563,84.565,81.645,84.129,85.538,84.823
56638,86.646,86.138,88.856,86.419,84.674,88.444,87.123
56639,86.944,86.082,84.713,86.234,84.625,85.75,85.072
56641,81.835,82.018,83.323,81.407,80.084,83.872,80.714
56642,83.451,83.0,82.488,83.926,85.056,82.786,84.194
56643,83.572,83.101,83.713,83.979,82.836,84.636,83.799
56644,81.216,82.357,80.226,80.505,79.681,81.033,80.126
56645,85.658,85.169,85.661,85.311,84.292,86.648,85.049
56646,81.312,80.666,80.45,80.013,81.261,80.36,82.442
56647,84.512,86.241,85.49,84.519,84.961,87.305,83.033
56648,79.51,79.052,78.639,78.152,77.579,78.824,75.835
56649,82.814,81.964,84.105,83.421,82.232,83.777,82.748
56650,82.897,83.041,82.423,82.737,83.246,84.054,82.972
56651,85.879,86.182,85.029,85.419,82.117,85.953,80.257
56652,83.177,84.312,84.317,85.595,81.692,84.37,84.348
56653,80.184,81.568,80.617,79.54,78.108,80.449,80.213
56654,82.71,83.561,84.12,82.195,82.25,85.593,84.682
56656,83.939,83.196,84.649,83.849,84.56,84.785,83.629
56657,85.763,87.545,87.612,85.663,84.246,88.364,86.056
56661,85.105,85.678,85.221,84.473,83.956,84.033,84.55
56662,85.664,85.911,85.471,86.645,84.602,87.354,84.868
56725,84.921,82.35,82.75,81.091,80.974,84.983,80.694
56795,81.259,81.815,82.094,80.932,80.413,81.213,78.878
56796,86.072,85.668,86.128,84.599,85.313,86.419,85.654
56797,85.074,83.764,86.21,83.874,82.471,85.367,83.892
56798,79.816,83.374,80.533,80.284,78.463,80.105,81.98
56799,81.257,81.524,83.296,81.918,81.584,82.24,81.124
56800,81.893,81.514,81.376,82.778,82.555,81.734,82.096
56801,85.053,85.175,85.029,84.695,83.98,85.575,84.349
56802,80.948,81.043,79.963,80.764,73.889,80.475,81.367
56803,87.138,88.83,86.341,89.142,88.364,89.268,89.595
56804,87.749,88.452,89.235,88.065,86.75,88.203,87.965
56805,82.706,81.956,82.124,81.844,79.832,81.844,82.441
56807,87.273,87.799,88.547,85.069,85.502,90.102,88.569
56809,85.186,83.588,85.401,84.79,82.462,85.011,87.374
56859,83.557,83.493,82.725,82.125,82.631,82.384,80.557
56860,88.227,87.502,86.366,85.869,85.939,88.307,86.44
56861,83.907,84.256,84.429,83.991,82.061,84.2,85.145
56862,86.334,87.275,88.472,85.444,85.222,88.808,87.228
57384,86.0,88.287,87.63,87.668,88.823,88.989,89.036
57400,86.803,86.371,89.773,86.575,87.583,88.668,89.944
62042,83.136,83.333,84.24,84.1,83.225,84.069,82.587
63086,81.674,83.885,81.238,82.957,81.363,82.218,82.076
63087,84.923,85.401,83.069,83.04,82.249,82.957,83.225
83710,85.076,84.718,86.431,83.99,81.833,86.873,85.824
83711,77.835,74.561,75.839,77.71,73.533,79.926,81.047
86666,84.98,86.654,87.12,85.818,87.519,88.279,86.523
87779,79.588,78.441,77.733,79.323,76.75,79.614,81.294
97622,87.954,87.018,88.527,87.698,87.754,89.088,86.953
98134,86.063,86.02,85.475,86.171,85.555,87.146,86.918
98135,85.985,87.848,88.512,86.716,86.855,89.096,87.697
98136,85.705,85.046,85.111,85.185,83.706,86.575,85.717
98137,85.138,84.353,84.913,84.742,85.005,86.391,85.488
98138,84.161,85.843,85.964,85.343,82.49,84.827,81.648
98171,84.558,86.148,85.983,85.719,83.708,84.853,85.995
98172,83.528,82.558,83.982,82.461,82.041,84.822,82.801
98173,86.293,88.442,86.25,84.868,81.688,85.629,83.451
98245,80.7,84.277,87.322,82.051,81.223,87.29,86.728
98250,82.117,81.882,81.543,83.038,80.601,81.615,82.628
98251,83.149,82.569,82.227,83.587,80.849,83.873,85.487
98252,76.263,77.373,73.864,75.706,72.668,74.988,74.5
98253,78.915,79.75,82.106,83.486,78.467,81.068,84.086
98254,85.56,86.475,86.889,85.73,85.583,86.532,85.049
98255,85.602,86.265,87.445,85.894,83.245,86.754,84.43
98256,80.246,77.828,83.837,83.477,79.247,83.116,82.189
98257,83.249,87.372,87.4,83.976,82.03,87.914,86.588
98258,84.158,83.501,83.977,82.843,83.671,84.477,83.568
98259,80.158,85.606,82.137,83.725,79.956,81.786,84.44
98260,81.803,80.099,82.825,82.372,79.246,83.187,81.175
98261,84.97,86.467,84.154,83.977,82.727,85.662,83.476
98262,81.664,86.35,87.224,83.854,81.542,88.992,85.918
98263,82.95,80.918,86.03,86.364,79.444,87.956,85.478
98264,80.888,82.72,84.374,82.995,80.437,84.528,83.689
98265,81.666,80.453,88.192,80.79,80.49,82.975,81.874
98266,83.093,87.306,82.859,83.549,81.789,85.61,85.161
98267,79.324,80.91,79.275,77.743,78.138,79.849,81.219
98268,79.501,78.998,81.018,79.5,76.536,80.483,84.289
98269,85.027,86.222,86.439,86.899,83.241,87.351,86.994
98270,81.238,85.492,84.695,83.574,79.438,83.343,83.545
98271,84.141,84.308,84.103,83.681,84.6,84.42,84.146
98272,87.914,89.413,89.417,89.162,90.052,89.521,92.334
98273,82.868,85.009,85.683,84.655,84.736,85.801,86.51
98274,86.803,87.223,88.328,86.918,87.179,88.096,87.728
98275,85.646,85.55,85.917,84.603,84.329,87.08,84.939
98276,85.86,87.002,86.156,86.035,85.626,86.239,85.304
98277,87.575,87.259,89.591,88.363,86.282,90.037,86.661
98278,86.376,87.189,87.806,86.918,86.358,88.111,86.478
98279,85.658,86.97,86.344,86.553,83.453,87.397,87.862
98280,85.656,85.147,86.01,83.892,82.217,84.32,84.163
98281,87.531,88.119,87.839,86.094,86.529,88.486,87.327
98282,85.007,86.034,87.77,85.152,83.016,87.321,87.223
98283,87.223,87.242,87.041,86.9,85.368,87.443,86.974
98284,85.554,84.676,85.642,84.092,84.611,86.623,84.804
98285,82.558,82.793,84.673,82.881,82.442,84.145,82.127
98286,86.36,86.032,85.918,85.235,83.149,84.252,85.26
98287,88.054,87.308,86.996,86.77,87.268,88.403,86.664
98288,80.216,79.562,80.213,80.902,79.643,79.057,82.246
98289,80.336,83.583,82.207,82.865,79.699,83.975,84.059
98290,80.366,82.564,83.019,78.199,79.741,82.968,79.829
98291,86.085,86.492,87.375,85.47,83.39,87.181,86.777
98292,86.143,87.717,87.179,87.428,86.857,88.968,88.969
98293,84.401,84.719,85.704,84.387,85.508,88.081,86.588
98294,81.838,83.449,84.671,81.613,80.952,86.713,82.669
98295,85.963,86.791,86.984,85.203,85.129,87.831,86.751
98296,83.247,85.33,86.215,84.167,84.02,87.198,83.546
98297,85.899,84.532,84.843,85.276,85.132,85.101,85.47
98298,85.975,87.816,88.542,86.62,85.263,88.27,87.24
98299,86.716,87.06,87.838,85.333,83.929,87.324,85.684
98300,88.013,87.174,87.178,85.866,86.34,88.343,87.739
98301,85.5,85.063,85.818,84.282,82.621,85.146,84.357
98302,86.431,86.02,85.946,85.688,82.062,85.704,84.618
98303,86.615,86.725,86.659,84.254,83.826,86.514,87.106
98304,86.885,86.296,86.781,84.147,85.299,87.566,85.478
98305,85.942,87.857,87.737,87.436,85.22,87.337,87.392
98306,86.04,87.488,85.902,86.706,85.561,87.79,87.64
98307,85.655,86.13,87.285,85.415,83.743,87.172,85.972
98308,84.931,84.203,85.921,82.644,86.003,84.922,85.037
98309,82.613,83.254,83.813,81.972,82.188,84.01,82.558
98310,83.263,84.502,84.011,83.102,79.86,84.737,84.619
98311,86.959,87.176,86.109,86.131,85.741,86.74,85.725
98312,88.001,86.076,87.236,85.096,85.207,87.683,84.491
98313,85.55,84.836,88.497,86.945,86.491,89.965,89.07
98314,89.216,88.442,89.002,87.737,87.613,88.368,88.038
98315,86.079,84.249,86.164,84.063,85.742,85.723,84.176
98316,85.789,87.411,88.473,87.032,87.112,87.671,85.422
98317,85.976,85.768,84.054,83.454,84.956,86.946,82.265
98318,86.255,86.729,87.932,86.63,82.709,86.421,85.127
98319,86.668,85.688,86.541,85.394,83.823,86.533,86.136
98320,87.446,87.715,88.536,86.034,86.808,88.738,88.58
98321,85.713,86.065,86.478,83.208,81.653,87.121,86.28
