id,gpt5.2-onclaude resumes,gpt4o-on3.5 resumes,gpt4o-onmini resumes,True,CV google Score
12449,78.911,82.717,81.544,0,78.945
12450,79.053,78.152,80.799,0,78.3
12451,76.595,81.083,79.425,0,75.854
12452,78.789,76.892,80.172,0,77.259
12453,81.364,81.419,82.33,0,80.76
12454,80.282,80.209,81.741,0,80.319
12455,80.782,80.536,80.443,0,80.943
12456,79.48,80.569,80.093,0,78.638
12457,82.38,80.509,82.137,0,82.379
12458,82.394,81.878,86.075,0,81.438
12459,77.067,76.47,76.755,0,75.972
12460,79.244,82.242,82.039,0,80.977
12461,79.067,81.192,84.352,0,77.812
12462,79.825,77.306,79.757,0,79.613
12463,79.317,82.812,83.535,0,79.776
12464,80.705,81.083,81.532,0,81.306
12465,79.074,76.997,77.843,0,78.186
12466,78.235,80.741,80.812,0,78.228
12467,81.282,84.028,82.9,0,82.424
12468,77.219,78.688,80.446,0,78.471
12469,76.334,78.577,79.238,0,75.032
12470,82.521,87.169,87.541,0,81.119
12471,83.294,78.999,82.32,0,81.386
12472,81.887,82.333,84.84,0,79.787
12473,80.56,81.258,82.139,0,80.705
12474,80.803,82.777,80.309,0,79.98
12475,78.31,79.512,80.484,0,80.412
12476,79.487,81.605,81.674,0,80.65
12477,83.073,84.1,83.926,0,83.012
12478,81.367,81.716,83.336,0,79.038
12479,79.988,81.708,82.05,0,77.026
12480,79.539,79.059,79.557,0,79.673
12481,80.892,80.9,82.834,0,81.276
12482,82.26,82.312,83.195,0,81.462
12483,77.86,78.101,81.588,0,81.473
12484,79.206,81.496,79.635,0,77.769
12485,79.904,79.156,78.282,0,79.154
12486,77.615,80.333,81.194,0,79.819
12487,80.355,80.806,82.444,0,82.157
12488,79.16,81.137,81.51,0,81.701
12489,75.364,77.816,75.489,0,74.878
12490,78.205,80.353,79.539,0,79.852
12491,79.795,81.365,81.805,0,80.05
12492,80.081,82.148,80.862,0,77.576
12493,77.36,82.425,80.474,0,77.298
12494,80.774,80.49,83.208,0,82.0
12495,81.554,82.788,81.573,0,80.273
12496,80.006,79.995,81.274,0,78.393
12497,83.314,84.126,84.645,0,82.566
12498,83.376,84.745,85.675,0,82.421
12499,78.127,76.974,81.24,0,76.882
12500,77.477,77.029,77.583,0,77.065
12501,73.358,79.279,78.373,0,69.513
12502,80.071,82.113,81.549,0,78.215
12503,75.506,79.263,80.661,0,75.92
12504,78.806,81.942,79.946,0,79.613
12505,78.505,81.794,80.827,0,79.964
12506,81.178,79.388,80.052,0,80.899
12507,79.199,78.428,81.65,0,84.434
12508,76.521,79.99,80.906,0,77.599
12509,77.611,81.973,81.887,0,80.355
12510,79.239,82.562,81.629,0,79.228
12511,79.457,80.711,80.878,0,79.474
12512,79.727,81.947,82.709,0,82.117
12513,76.038,78.125,80.338,0,78.181
12514,81.864,82.647,81.429,0,80.459
12515,80.456,78.913,81.73,0,80.171
12516,79.943,81.134,79.973,0,79.507
12518,79.742,81.701,81.554,0,78.064
12519,78.32,80.323,80.484,0,77.795
12520,81.277,82.385,81.66,0,80.856
12521,80.555,80.358,81.02,0,80.413
12523,81.831,82.0,81.534,0,78.906
12525,84.946,87.488,85.234,0,83.941
12526,80.896,81.23,80.343,0,79.317
12527,81.018,82.372,83.817,0,80.622
12528,80.175,81.805,79.326,0,79.936
12529,79.173,82.768,81.989,0,79.961
12530,76.68,76.164,77.063,0,75.786
12531,77.86,80.044,79.705,0,75.877
12532,77.264,77.878,78.336,0,76.616
12533,77.525,77.502,80.259,0,79.374
12565,82.106,83.607,83.722,0,83.661
12656,80.161,80.437,82.257,0,80.638
12674,81.008,82.976,81.851,0,79.775
12687,83.773,81.911,82.77,0,82.962
12736,80.127,83.684,82.926,0,81.955
13078,75.423,76.952,78.587,0,76.9
13080,81.044,84.768,83.225,0,80.952
13146,79.317,83.611,80.752,0,78.854
13147,80.163,77.458,78.76,0,78.748
13148,79.923,81.198,81.669,0,76.09
13149,78.033,81.684,80.458,0,78.678
13150,80.971,79.265,83.056,0,80.907
13196,79.223,81.764,80.281,0,79.192
13382,79.12,79.54,80.412,0,77.455
13461,77.838,77.034,78.461,0,77.143
13475,80.118,78.675,82.525,0,79.141
13477,78.631,81.507,81.127,0,78.756
13537,78.66,83.174,80.047,0,78.298
13893,78.171,81.371,79.841,0,77.371
13897,76.603,75.628,79.653,0,74.25
14744,76.842,77.882,78.028,0,74.963
14862,80.734,81.45,82.416,0,79.369
14882,81.151,80.272,81.602,0,80.424
14890,81.569,85.461,81.416,0,78.253
14906,78.29,78.926,81.36,0,77.913
14907,81.336,80.45,82.125,0,79.897
14914,77.553,76.855,79.349,0,76.537
14916,78.522,78.773,78.657,0,80.94
14930,81.54,82.128,82.395,0,80.409
14932,77.492,79.133,78.858,0,77.43
14939,78.249,77.687,79.433,0,78.203
14947,78.967,77.361,79.381,0,77.422
15180,79.583,81.451,80.715,0,79.132
15240,79.851,79.266,80.787,0,79.749
15339,79.997,81.997,81.404,0,78.921
15419,77.099,78.347,79.497,0,79.322
15425,79.165,77.723,80.402,0,78.35
15426,80.76,83.374,82.696,0,80.974
15474,81.19,81.072,80.326,0,78.869
15519,81.553,83.586,82.372,0,81.159
15524,80.763,81.857,81.911,0,80.681
15589,77.268,77.3,80.467,0,77.292
15679,78.287,80.369,79.986,0,76.429
15743,77.345,78.455,79.948,0,77.233
16036,80.316,81.671,83.499,0,80.054
16039,78.557,81.852,81.597,0,78.71
16064,82.79,82.63,83.496,0,83.02
16980,76.621,80.105,80.932,1,75.695
17014,78.447,78.206,79.767,1,78.918
18230,83.739,85.997,87.228,1,80.142
18348,85.985,85.173,85.911,1,84.935
26715,84.291,84.882,85.11,1,85.053
26747,86.565,86.693,87.113,1,86.066
29788,84.049,85.426,87.487,1,84.459
29835,82.87,85.418,83.68,1,83.081
30606,86.99,82.42,87.878,1,82.662
30845,85.96,87.203,87.513,1,85.679
32072,85.781,87.525,88.504,1,84.105
46443,86.192,86.885,87.852,1,87.108
46506,79.633,81.409,82.057,1,79.368
50300,83.477,84.795,83.957,1,83.382
51419,87.949,88.031,90.261,1,85.009
53971,86.082,89.145,86.524,1,82.609
53972,82.723,85.427,82.547,1,79.827
53973,87.169,87.963,85.979,1,85.324
53974,85.924,85.395,85.678,1,83.727
53975,88.311,88.898,88.063,1,87.042
53976,81.747,82.007,81.069,1,78.692
53977,84.503,82.429,85.495,1,83.087
53978,85.756,84.087,84.441,1,82.654
53979,87.964,87.721,87.383,1,86.075
53981,84.858,87.372,86.206,1,86.191
54796,83.557,85.777,83.913,1,81.668
54797,86.666,86.04,88.653,1,87.077
54798,83.389,83.181,85.337,1,82.627
54799,83.813,86.235,85.165,1,83.261
54800,80.682,80.792,80.847,1,78.797
56453,85.046,85.202,86.352,1,82.841
56528,82.525,82.379,81.212,1,79.675
56542,82.267,83.874,82.268,1,82.577
56543,81.386,84.033,86.778,1,79.886
56544,84.91,87.658,86.128,1,82.571
56545,77.594,82.549,84.118,1,77.57
56618,86.02,88.564,87.803,1,86.484
56619,81.76,81.724,81.624,1,80.69
56629,88.989,87.995,89.541,1,87.981
56630,83.025,84.462,83.529,1,81.609
56631,83.749,84.583,87.055,1,81.615
56632,86.239,88.199,87.321,1,84.596
56633,82.616,85.915,86.085,1,83.571
56634,82.541,82.892,82.748,1,73.817
56635,85.617,86.837,87.26,1,83.329
56637,83.459,85.512,85.001,1,84.129
56638,85.957,87.696,87.844,1,84.674
56639,84.948,87.855,87.622,1,84.625
56641,81.178,81.994,81.402,1,80.084
56642,83.095,84.253,84.692,1,85.056
56643,83.818,86.119,84.059,1,82.836
56644,83.133,83.408,81.754,1,79.681
56645,84.348,88.424,87.857,1,84.292
56646,79.974,78.918,81.18,1,81.261
56647,83.886,84.039,84.452,1,84.961
56648,77.42,77.467,77.999,1,77.579
56649,82.615,84.12,85.61,1,82.232
56650,82.965,83.283,81.959,1,83.246
56651,86.193,88.107,87.402,1,82.117
56652,84.097,87.512,85.781,1,81.692
56653,81.039,83.26,83.664,1,78.108
56654,82.858,85.718,83.99,1,82.25
56656,81.183,82.027,87.943,1,84.56
56657,87.77,87.91,87.656,1,84.246
56661,86.969,85.237,84.077,1,83.956
56662,87.065,87.203,88.171,1,84.602
56725,81.989,86.122,86.682,1,80.974
56795,81.596,79.544,82.514,1,80.413
56796,85.009,83.092,83.596,1,85.313
56797,83.509,86.031,85.47,1,82.471
56798,82.059,82.504,84.664,1,78.463
56799,81.017,83.607,82.992,1,81.584
56800,83.37,83.911,82.568,1,82.555
56801,85.012,84.804,84.085,1,83.98
56802,79.232,83.66,82.507,1,73.889
56803,87.993,89.185,89.293,1,88.364
56804,89.761,89.38,89.744,1,86.75
56805,80.322,81.749,80.933,1,79.832
56807,89.231,88.219,86.677,1,85.502
56809,83.612,86.997,87.469,1,82.462
56859,83.488,83.773,84.276,1,82.631
56860,86.314,85.948,87.77,1,85.939
56861,84.94,83.956,85.295,1,82.061
56862,87.606,87.373,86.616,1,85.222
57384,88.43,90.473,91.148,1,88.823
57400,87.83,89.588,90.219,1,87.583
62042,84.01,84.751,85.965,1,83.225
63086,84.032,84.645,83.82,1,81.363
63087,85.386,84.388,85.213,1,82.249
83710,85.899,87.155,87.151,1,81.833
83711,77.374,81.484,81.078,1,73.533
86666,85.638,87.843,86.749,1,87.519
87779,78.441,83.957,83.165,1,76.75
97622,87.794,88.064,87.922,1,87.754
98134,84.757,85.912,86.694,1,85.555
98135,87.548,87.072,87.063,1,86.855
98136,85.377,85.933,84.693,1,83.706
98137,86.38,87.121,87.025,1,85.005
98138,86.345,86.122,85.842,1,82.49
98171,86.231,86.659,87.116,1,83.708
98172,83.704,82.288,82.146,1,82.041
98173,87.992,84.304,84.56,1,81.688
98245,84.205,86.437,87.933,1,81.223
98250,80.581,83.406,86.245,1,80.601
98251,82.049,84.022,84.126,1,80.849
98252,76.127,77.462,80.101,1,72.668
98253,80.096,79.592,84.549,1,78.467
98254,87.776,86.025,85.078,1,85.583
98255,86.222,80.974,86.563,1,83.245
98256,81.008,81.34,83.461,1,79.247
98257,86.869,81.642,86.838,1,82.03
98258,82.981,83.46,85.147,1,83.671
98259,85.325,83.968,81.501,1,79.956
98260,79.077,85.322,82.619,1,79.246
98261,86.529,82.691,85.503,1,82.727
98262,85.844,83.793,88.696,1,81.542
98263,80.09,79.835,86.435,1,79.444
98264,81.959,80.665,88.177,1,80.437
98265,80.861,85.101,84.678,1,80.49
98266,87.665,85.725,84.889,1,81.789
98267,78.902,78.699,81.815,1,78.138
98268,78.617,84.699,85.185,1,76.536
98269,86.505,87.848,87.707,1,83.241
98270,84.947,81.705,85.46,1,79.438
98271,84.973,85.572,85.43,1,84.6
98272,89.652,90.377,89.798,1,90.052
98273,86.397,85.435,87.095,1,84.736
98274,86.987,86.883,88.26,1,87.179
98275,85.725,84.357,85.958,1,84.329
98276,86.684,88.146,86.045,1,85.626
98277,87.54,87.657,86.372,1,86.282
98278,87.55,86.03,85.903,1,86.358
98279,86.673,80.768,85.683,1,83.453
98280,84.952,83.563,84.324,1,82.217
98281,88.655,89.176,86.739,1,86.529
98282,86.41,85.593,86.234,1,83.016
98283,85.854,87.893,87.727,1,85.368
98284,85.606,85.542,85.085,1,84.611
98285,82.735,84.055,83.574,1,82.442
98286,85.314,87.215,85.225,1,83.149
98287,87.978,87.497,88.789,1,87.268
98288,78.11,83.268,80.351,1,79.643
98289,84.967,81.826,83.173,1,79.699
98290,83.352,82.095,82.414,1,79.741
98291,86.121,86.339,85.909,1,83.39
98292,88.752,87.597,87.695,1,86.857
98293,84.614,86.985,87.344,1,85.508
98294,82.812,83.094,88.037,1,80.952
98295,85.969,87.875,88.289,1,85.129
98296,85.055,85.553,86.733,1,84.02
98297,86.079,85.657,85.821,1,85.132
98298,87.247,83.479,87.427,1,85.263
98299,86.913,86.866,88.478,1,83.929
98300,86.103,88.771,89.482,1,86.34
98301,84.543,85.29,87.203,1,82.621
98302,84.745,85.055,86.886,1,82.062
98303,86.31,85.445,87.061,1,83.826
98304,86.409,86.227,86.396,1,85.299
98305,87.385,85.859,89.293,1,85.22
98306,87.951,86.871,88.071,1,85.561
98307,85.809,86.245,86.404,1,83.743
98308,84.359,84.655,84.842,1,86.003
98309,83.242,85.066,85.025,1,82.188
98310,84.229,84.209,87.152,1,79.86
98311,85.383,82.624,85.925,1,85.741
98312,84.47,86.759,86.724,1,85.207
98313,86.776,89.003,89.142,1,86.491
98314,88.298,88.518,88.277,1,87.613
98315,84.456,84.619,86.952,1,85.742
98316,87.777,88.025,86.897,1,87.112
98317,85.213,83.003,85.901,1,84.956
98318,84.205,86.145,85.648,1,82.709
98319,85.731,86.136,87.912,1,83.823
98320,87.278,87.641,89.5,1,86.808
98321,86.321,85.446,86.695,1,81.653
98322,88.039,88.557,89.146,1,87.385
98323,87.58,88.351,87.454,1,87.97
98324,85.674,84.749,85.606,1,86.441
98325,87.246,89.846,89.245,1,87.08
98326,82.702,84.511,86.045,1,82.205
98327,81.35,86.157,84.067,1,77.64
98328,87.594,83.361,85.915,1,83.155
98329,83.8,85.417,86.387,1,83.17
98330,85.603,86.798,85.748,1,83.451
98331,81.568,82.853,86.079,1,78.482
98332,83.084,82.586,81.562,1,83.958
98333,83.987,84.733,86.242,1,81.24
98334,79.277,86.85,84.686,1,77.11
98335,79.902,81.996,84.857,1,79.087
98336,84.066,86.754,83.731,1,81.672
98337,85.81,87.692,86.501,1,84.542
98338,79.5,80.516,79.199,1,79.653
98339,84.408,86.696,86.981,1,85.538
98340,86.464,86.729,88.619,1,85.989
98341,86.854,87.377,87.766,1,86.918
98342,86.894,83.517,87.098,1,82.961
98343,83.966,86.618,84.833,1,85.214
98344,87.937,87.045,88.392,1,84.654
98345,85.929,83.495,84.699,1,82.567
98346,84.205,88.499,87.051,1,83.196
98347,85.456,85.035,83.715,1,80.836
98348,79.104,83.835,82.381,1,78.332
98349,88.167,88.295,88.015,1,86.919
98350,89.538,88.116,87.718,1,87.198
98351,85.601,85.748,86.93,1,85.632
98352,83.323,85.207,84.712,1,83.731
98353,82.948,85.332,86.815,1,84.831
98354,77.001,79.057,81.505,1,77.17
98355,80.332,80.831,85.088,1,82.181
98356,82.456,85.468,85.732,1,81.207
98357,76.157,80.539,80.041,1,76.337
98358,85.814,86.116,87.085,1,83.587
98359,80.56,81.29,81.08,1,79.388
98360,74.769,80.99,82.744,1,75.972
98361,86.924,88.967,86.378,1,85.634
98362,84.32,81.693,87.969,1,81.38
98363,85.661,83.164,85.691,1,81.094
98364,82.496,86.256,85.877,1,80.936
98365,85.028,81.723,87.121,1,83.133
98366,79.835,82.823,79.155,1,78.308
98367,82.666,84.25,85.592,1,82.974
98368,82.848,82.952,86.919,1,80.833
98369,88.835,89.872,90.513,1,86.564
98370,88.453,87.263,88.804,1,86.826
98371,88.036,87.352,87.196,1,83.927
98372,87.842,89.447,88.293,1,86.44
98373,83.969,82.465,84.538,1,81.774
98374,85.919,88.177,88.564,1,81.3
98375,87.618,86.008,89.0,1,82.14
98376,85.261,84.115,83.332,1,83.115
98377,84.411,85.599,86.111,1,82.37
98378,87.326,83.993,83.547,1,84.188
98379,87.829,88.134,90.146,1,87.857
98380,87.14,87.307,87.344,1,86.181
98381,81.621,83.275,84.238,1,85.374
98382,87.732,88.756,88.405,1,87.118
98383,83.866,84.921,86.255,1,84.314
98384,79.541,81.935,85.923,1,80.418
98385,87.201,86.411,85.294,1,83.591
98386,84.66,80.945,82.667,1,79.137
98387,84.413,85.835,87.837,1,84.887
98388,87.326,82.207,86.28,1,82.881
98389,84.147,83.56,82.887,1,82.922
98390,87.314,81.427,88.014,1,79.112
98391,86.986,85.333,85.244,1,82.617
98392,84.633,85.445,86.581,1,81.374
98393,83.998,88.233,86.128,1,84.019
98394,83.834,85.404,86.771,1,85.866
98395,89.171,90.745,89.992,1,87.614
98396,85.099,85.021,86.343,1,82.021
98397,84.189,84.932,86.164,1,82.078
98398,85.419,82.399,85.699,1,80.384
98399,85.105,84.617,84.938,1,80.152
98400,79.897,81.434,81.486,1,78.111
98401,82.314,82.964,83.185,1,82.964
98402,87.797,85.974,84.932,1,84.91
