id,GPT-4o1 resumes,GPT-4o3 resumes,GPT-4o2 resumes,GPT-3.5.1 resumes,GPT-3.5.3 resumes,GPT-3.5.2 resumes,Mixtral2 resumes,Mixtral3 resumes,Mixtral1 resumes,sonnet2 resumes,sonnet resumes,Llama1 resumes,Llama3 resumes,Llama2 resumes,DS2 resumes,DS3 resumes,DS1 resumes,GPT-mini1 resumes,GPT-mini2 resumes,GPT-mini3 resumes,CV google Score,True
2577,81.872,81.674,81.579,78.106,77.983,77.983,78.59,78.658,79.022,79.962,80.036,79.188,79.157,79.157,79.703,79.445,79.703,82.15,82.15,82.15,78.27,0
2582,80.031,80.53,80.353,80.146,79.344,79.344,76.816,73.789,72.539,78.838,78.936,79.179,79.026,79.179,81.722,82.709,80.751,79.391,79.391,79.391,79.983,0
2583,77.794,80.315,79.412,77.658,77.658,77.658,78.589,80.211,77.617,79.483,79.174,77.941,79.505,79.802,78.081,78.022,77.386,80.385,80.711,80.711,77.33,0
2584,80.301,80.859,80.544,79.77,73.827,73.523,77.747,78.249,77.74,80.407,80.333,80.688,79.885,80.16,80.595,80.595,80.794,82.874,82.874,82.4,79.056,0
2585,79.976,80.578,80.953,79.381,79.381,79.381,80.367,79.873,80.345,78.684,78.57,78.221,78.336,78.157,80.632,80.632,80.126,80.896,81.091,81.091,78.581,0
2586,79.937,80.259,80.087,78.473,78.263,78.263,76.898,76.892,79.6,80.1,79.667,79.252,79.748,79.515,79.267,79.145,80.835,80.328,80.328,80.328,78.483,0
2587,79.608,80.607,80.347,77.134,77.134,77.134,77.963,77.773,76.87,78.829,77.918,77.489,77.704,77.704,79.814,79.814,80.314,80.553,80.553,80.553,76.723,0
2588,81.456,81.835,82.464,80.263,79.214,79.214,77.628,73.937,79.466,77.625,77.777,77.918,77.561,77.778,77.544,77.544,79.14,77.906,78.081,78.081,80.498,0
2589,81.366,81.335,81.335,80.079,80.079,80.079,80.577,80.439,79.801,80.971,80.633,80.712,80.712,80.712,82.343,81.207,81.668,82.389,82.2,82.2,82.238,0
2590,79.206,79.416,79.453,78.808,78.808,78.808,77.461,77.545,79.048,81.088,80.646,77.689,78.523,78.108,80.435,80.617,80.583,79.256,80.358,80.358,78.624,0
2591,84.182,83.036,83.467,80.406,80.25,80.25,79.549,79.732,79.367,80.943,79.977,80.331,80.6,80.6,83.035,82.657,83.287,81.651,81.651,81.651,80.396,0
2592,81.301,81.431,81.649,79.127,79.94,80.428,81.742,80.92,81.299,81.011,82.017,81.175,80.198,80.198,79.844,79.844,80.515,81.047,81.224,81.224,80.348,0
2594,79.454,79.498,79.528,79.551,80.24,80.239,77.387,77.128,74.383,80.032,80.287,79.176,79.912,78.982,80.144,79.709,80.263,79.87,79.888,79.989,80.267,0
2595,79.471,79.376,79.376,78.353,78.353,78.353,78.219,79.581,78.574,79.389,79.306,78.439,78.443,78.443,79.972,80.373,81.006,80.739,80.755,80.755,79.809,0
2597,81.775,81.758,81.758,80.006,79.929,79.929,83.108,82.815,77.307,82.658,82.675,80.293,80.293,80.293,82.306,82.306,82.306,82.115,82.115,82.115,81.064,0
2645,82.259,82.248,82.042,80.334,79.425,79.425,80.818,80.627,80.875,80.162,80.181,80.422,80.144,80.144,80.966,79.852,80.049,81.078,81.078,81.078,80.975,0
2654,80.591,80.535,80.535,78.027,77.766,77.766,80.281,80.83,80.448,80.254,80.254,78.702,78.702,78.702,78.292,79.48,77.962,80.838,80.838,80.838,78.027,0
2655,81.459,82.02,81.84,81.697,81.697,81.697,80.806,80.617,80.769,79.114,80.218,80.221,80.424,80.424,81.3,81.949,81.907,80.545,80.545,80.545,82.107,0
2656,81.947,81.819,82.108,80.286,78.983,78.983,78.46,77.312,79.414,79.913,79.412,80.4,80.246,80.364,81.875,81.049,81.099,81.64,81.282,81.282,81.991,0
2657,84.294,83.146,83.165,81.693,81.693,81.693,81.635,82.601,81.635,81.208,81.551,83.052,82.652,82.652,84.291,83.896,84.636,84.436,84.436,84.436,82.343,0
2658,80.152,80.175,80.554,76.65,76.351,76.351,75.663,74.765,75.01,78.484,77.794,75.806,76.128,75.287,77.245,77.245,76.247,80.488,80.488,80.488,76.605,0
2659,81.769,81.589,81.589,80.307,80.37,80.37,79.876,79.619,80.016,78.227,78.584,80.117,79.377,79.377,80.851,81.598,81.047,81.18,80.937,80.937,80.147,0
2660,81.322,81.032,81.032,78.627,78.535,78.535,77.63,77.021,79.258,79.109,79.085,78.751,79.006,79.006,79.599,79.599,79.118,80.335,80.335,80.335,78.465,0
2741,80.215,80.215,80.215,75.625,77.085,76.226,80.592,80.28,78.001,77.758,77.72,76.839,76.76,76.76,77.24,76.836,77.24,78.214,78.214,78.214,76.12,0
2766,78.672,79.8,80.067,80.315,80.315,80.315,80.483,80.648,81.931,79.727,79.727,79.935,80.712,80.712,81.786,81.119,80.666,83.207,83.207,83.207,79.06,0
2793,82.202,81.954,82.315,81.814,81.504,81.504,82.731,81.971,81.171,80.477,80.668,82.339,82.339,82.339,81.645,79.866,81.645,82.013,82.013,82.013,81.938,0
2810,76.306,76.253,76.253,75.599,75.391,75.391,76.0,76.201,75.506,76.789,77.137,76.477,76.477,76.477,76.199,76.199,76.199,76.091,76.091,76.091,75.744,0
2824,80.608,80.799,80.872,79.06,79.06,79.06,80.167,80.167,79.963,79.844,80.539,79.161,78.282,79.161,80.945,80.945,80.945,81.436,81.436,81.436,79.724,0
3002,78.373,78.283,78.341,75.718,75.718,75.718,76.035,77.676,76.913,79.985,79.707,77.837,78.733,78.942,78.323,78.36,78.83,78.654,78.654,78.654,73.845,0
3021,80.861,80.632,80.638,78.046,78.752,78.694,79.76,80.05,79.554,79.245,78.846,79.651,79.684,79.684,79.461,79.914,79.843,80.054,80.054,80.054,78.372,0
3093,82.154,82.534,82.486,80.181,80.181,80.181,80.371,80.866,81.046,80.968,81.185,79.663,79.663,79.663,81.19,81.19,82.134,80.715,80.715,80.715,79.407,0
3105,80.98,80.82,80.82,77.724,77.724,77.724,78.101,78.088,77.488,80.407,79.768,78.35,78.245,78.245,79.358,78.435,78.43,80.241,80.241,80.241,77.727,0
3113,80.554,80.449,80.449,78.626,78.107,78.107,79.802,79.004,77.754,77.559,77.706,78.887,78.752,78.887,79.947,79.947,79.947,80.69,80.69,80.69,77.822,0
3118,83.994,84.081,84.081,83.951,84.06,84.06,83.301,83.29,83.38,82.311,81.813,84.806,83.8,84.008,83.85,84.371,83.85,82.952,82.952,82.952,82.142,0
3120,81.245,81.676,81.676,80.083,79.771,79.771,77.832,78.81,79.521,77.201,77.693,79.166,80.383,80.383,79.929,80.075,79.929,79.353,79.353,79.353,75.728,0
3122,78.759,80.993,80.96,81.441,81.441,81.441,79.473,78.806,79.31,78.898,80.437,76.47,77.239,78.19,79.776,79.281,79.776,78.955,79.666,79.666,78.794,0
3123,82.184,82.472,82.493,79.505,79.505,79.505,79.315,78.4,78.905,80.261,79.598,79.578,79.578,79.578,79.612,79.967,79.967,81.91,81.91,81.91,78.464,0
3133,81.661,81.793,81.578,80.268,80.268,80.268,81.078,81.391,80.972,80.115,79.566,80.649,80.649,80.649,82.242,82.242,82.242,82.606,82.606,82.606,80.491,0
3134,79.578,79.784,79.784,78.673,78.434,78.434,82.504,82.767,82.807,79.421,79.51,78.689,79.04,78.851,79.569,79.569,79.569,80.866,80.729,80.729,79.688,0
3135,80.442,80.797,80.906,80.068,77.421,80.003,79.225,70.238,78.925,79.444,79.728,81.02,78.898,78.898,80.642,80.776,80.642,81.391,80.099,80.099,80.379,0
3136,84.246,84.976,84.591,81.295,81.291,81.291,76.601,81.766,81.826,82.529,81.804,81.155,80.87,80.87,83.603,83.603,83.186,84.197,84.197,84.197,78.942,0
3137,80.627,80.698,80.698,80.861,81.136,81.136,80.205,80.237,80.326,79.204,80.137,78.799,79.341,79.341,80.79,80.637,80.573,81.594,81.594,81.594,80.629,0
3138,77.159,77.679,77.856,79.36,75.024,75.024,75.734,75.808,76.208,80.349,79.264,78.378,78.797,78.19,77.707,78.351,77.707,77.824,77.616,77.616,78.61,0
3139,80.641,80.374,80.199,78.28,78.28,78.28,78.71,79.58,79.196,79.456,78.309,79.315,79.139,79.289,78.774,79.481,80.062,79.458,79.458,79.458,78.194,0
3140,80.606,80.101,80.46,79.13,78.477,78.477,80.214,79.961,79.954,79.25,79.107,78.734,79.019,79.019,79.656,79.656,79.656,80.084,80.084,80.084,78.839,0
3141,83.308,83.676,83.747,82.826,82.826,82.826,81.164,81.373,83.046,77.534,77.534,80.673,80.921,81.19,82.416,82.351,82.434,83.508,83.508,83.508,79.575,0
3142,81.057,81.557,81.024,78.651,78.651,78.926,78.605,78.727,79.344,80.554,80.505,80.558,78.269,80.558,82.537,81.746,82.537,79.348,80.25,80.035,79.509,0
3143,80.374,80.185,80.019,78.723,78.485,78.485,78.229,78.686,78.867,79.282,79.282,79.551,79.224,79.224,76.896,76.896,77.563,79.144,79.144,79.144,79.781,0
3144,81.243,81.413,81.173,76.949,77.021,77.021,79.892,79.792,80.214,78.433,77.614,79.602,79.544,79.041,81.676,81.629,79.899,81.119,81.119,81.119,74.758,0
3145,78.233,78.913,78.093,77.194,77.194,77.194,79.316,75.645,77.834,78.325,78.432,76.997,76.997,76.997,78.44,80.641,78.381,77.82,77.036,77.036,78.151,0
3146,75.711,77.346,77.102,76.365,76.365,76.365,77.239,78.216,77.214,78.102,78.131,77.04,76.922,77.085,77.491,77.602,78.2,78.997,79.144,79.144,75.4,0
3147,80.83,80.612,80.612,80.183,80.883,80.883,80.862,80.631,81.394,80.112,79.289,80.768,80.41,80.41,81.156,80.428,80.155,80.714,80.714,80.714,79.055,0
3148,81.171,81.491,81.491,81.217,81.187,81.187,81.244,80.95,80.292,80.11,80.987,81.179,82.062,81.992,81.071,81.071,81.071,79.39,79.39,79.39,80.919,0
3149,79.266,81.482,79.091,80.828,80.206,80.206,80.955,80.056,81.597,78.464,79.981,79.104,78.928,78.928,80.673,80.673,80.673,80.593,80.593,80.593,79.202,0
3150,81.935,81.185,81.58,80.836,80.836,80.836,81.12,81.021,81.135,80.138,80.123,81.82,78.049,81.408,80.741,80.148,80.891,82.234,82.234,82.234,79.382,0
3153,81.081,80.289,80.35,77.286,79.376,77.365,78.396,78.054,79.097,80.803,80.258,79.094,79.094,79.094,79.345,79.914,79.469,80.645,80.645,80.645,77.496,0
3155,73.69,73.743,73.409,74.247,74.247,73.384,73.105,74.305,74.382,76.06,75.952,75.345,75.89,74.249,78.649,79.423,78.637,79.817,79.817,79.817,72.477,0
3156,78.598,82.892,82.915,78.376,78.376,78.376,79.375,78.723,79.077,77.813,79.168,79.969,80.503,80.503,81.508,81.565,80.284,79.264,79.625,79.735,77.704,0
3157,79.558,80.367,80.367,80.367,80.496,80.496,79.063,78.808,78.756,78.476,78.466,80.033,79.524,79.524,80.818,80.818,80.818,80.69,80.69,80.69,81.213,0
3158,80.473,80.645,80.611,80.125,79.428,79.428,80.656,79.473,81.484,79.538,81.072,81.395,79.593,79.593,79.834,79.834,81.682,81.006,81.18,81.18,80.855,0
3159,79.407,79.575,79.444,77.017,77.017,77.017,77.498,78.134,77.862,79.333,80.231,77.848,76.892,77.848,78.79,78.165,77.251,76.94,77.301,77.301,75.497,0
3160,81.473,81.473,81.473,82.001,82.001,82.001,81.071,81.547,82.1,82.899,82.327,81.17,81.17,81.17,81.045,82.25,81.045,82.003,82.003,82.003,81.575,0
3161,81.221,81.221,81.221,79.99,79.99,79.99,80.753,79.052,81.209,82.667,82.777,79.275,79.275,79.275,81.566,81.566,82.728,84.334,84.334,84.334,80.167,0
3162,79.054,78.668,78.668,78.917,78.917,78.917,77.875,77.875,78.082,80.593,80.487,79.39,78.613,78.797,78.519,78.519,78.519,81.707,81.707,81.707,78.688,0
3186,80.476,81.353,81.388,80.247,80.247,80.247,82.723,82.227,80.981,80.027,80.403,81.355,81.355,81.355,80.326,80.326,80.326,80.425,80.425,80.425,80.252,0
3225,81.316,81.417,80.858,77.056,75.329,76.598,77.544,76.796,77.652,79.105,78.558,78.763,78.758,78.763,79.196,80.193,79.207,77.087,76.158,75.791,77.014,0
3315,79.506,79.892,79.551,77.721,77.721,77.721,80.043,80.202,74.19,76.067,77.216,78.236,77.578,77.578,77.746,77.746,79.985,79.544,79.544,79.544,75.209,0
3321,80.59,80.239,80.239,77.95,77.95,77.95,78.126,78.144,78.62,78.073,77.345,75.624,77.391,77.391,77.352,80.089,79.531,79.838,79.838,79.838,77.844,0
3332,82.624,82.512,82.691,77.734,77.734,77.734,80.363,80.945,81.769,77.985,77.964,76.162,76.162,76.162,78.781,79.75,80.43,82.65,82.65,82.65,75.78,0
5877,81.294,80.987,81.436,78.096,78.096,78.096,78.555,71.229,79.467,78.793,78.793,80.177,80.62,79.922,78.792,79.709,78.792,79.725,80.436,80.436,78.733,0
5981,83.664,83.664,83.664,78.508,78.508,78.508,80.166,79.563,78.309,81.756,80.934,80.552,82.317,82.317,80.849,80.849,80.565,82.467,82.576,82.576,80.363,0
6018,87.68,87.68,87.68,85.952,85.846,85.846,86.261,86.627,86.751,87.016,86.897,85.847,85.038,85.466,86.18,86.18,87.679,87.248,87.248,87.248,85.607,1
6021,85.81,85.81,85.81,80.594,79.307,79.197,82.476,82.805,83.843,81.723,81.901,81.002,81.959,81.959,81.597,81.597,81.106,80.588,80.588,80.873,80.387,1
6026,87.961,88.085,88.085,87.415,88.682,88.682,79.678,85.128,89.128,86.344,86.198,85.777,85.584,85.584,87.2,86.88,88.173,86.74,86.74,86.74,88.592,1
6043,79.621,79.38,79.545,76.6,76.381,76.529,72.915,74.805,70.752,78.996,78.762,79.585,79.564,79.564,79.261,79.295,79.261,79.479,79.479,79.479,79.295,0
6078,81.699,81.575,81.772,81.657,81.869,81.869,82.47,81.141,82.2,79.24,78.882,80.373,80.894,80.906,81.752,81.752,81.752,80.551,80.682,81.692,79.611,0
6081,84.552,83.807,83.807,81.033,81.033,81.033,82.511,82.227,83.08,81.737,80.603,83.072,82.58,82.969,82.257,82.257,82.257,81.914,81.914,81.914,81.642,0
6082,83.67,83.67,83.67,82.603,82.603,82.603,81.907,79.775,82.003,81.68,82.416,83.7,83.7,83.7,82.522,82.522,81.737,82.687,82.068,81.935,80.805,0
6090,77.847,77.47,77.47,77.906,77.906,77.906,79.199,78.732,76.857,78.372,78.057,77.89,78.206,77.658,79.004,79.004,78.333,78.478,78.478,78.478,77.834,0
6127,82.837,82.687,82.8,80.043,80.043,80.043,82.289,82.359,82.508,82.619,82.857,82.673,82.673,82.673,82.358,83.04,82.113,83.697,83.65,83.65,81.424,0
6211,79.39,79.308,79.24,79.555,79.519,79.519,75.031,78.866,77.724,79.209,79.756,78.955,79.472,78.955,80.324,80.324,79.986,80.907,80.907,80.907,80.203,0
6213,81.931,81.167,81.905,81.68,81.277,82.613,81.716,81.089,81.438,81.679,80.621,82.116,81.536,81.536,81.401,80.392,81.401,79.677,79.677,79.677,81.409,0
6214,82.328,82.769,82.769,79.424,79.467,79.467,78.57,79.25,80.107,79.552,79.567,79.975,79.413,79.182,81.006,80.947,81.006,81.676,81.855,81.855,79.562,0
6231,79.232,79.162,79.442,77.359,77.982,77.982,77.888,77.418,78.572,78.713,78.866,77.726,77.988,77.183,78.22,77.649,78.611,78.898,78.77,78.77,77.132,0
6232,84.673,84.002,84.171,80.723,80.723,80.723,80.807,79.948,80.818,80.09,80.877,81.689,81.689,81.689,81.467,81.811,81.493,80.78,81.155,80.733,79.93,0
6233,80.915,81.028,81.031,76.792,76.792,76.792,80.096,79.795,81.372,77.584,77.898,78.185,78.185,78.185,79.714,79.928,77.299,76.91,76.91,81.379,76.5,0
6239,80.545,80.25,80.25,78.648,78.648,78.648,74.218,76.772,78.17,79.098,79.082,78.233,78.063,77.832,78.37,78.589,78.077,80.088,80.088,80.088,77.199,0
6240,80.439,80.275,80.337,77.092,77.607,77.607,76.764,78.409,79.507,78.127,76.91,78.954,79.223,79.12,80.819,79.913,79.712,79.033,79.033,79.033,79.191,0
6254,83.357,83.424,83.238,83.402,82.839,82.839,82.228,82.54,83.308,82.003,82.141,79.723,79.199,79.199,83.324,83.377,83.324,83.725,83.642,83.642,81.494,0
6255,78.298,78.298,78.298,77.977,77.977,77.977,79.432,78.846,77.705,78.693,78.737,78.874,78.916,78.916,78.379,78.379,78.379,78.874,78.647,78.647,78.563,0
6342,75.032,75.97,75.212,75.162,75.162,75.162,73.881,74.724,74.422,75.766,75.474,75.013,75.085,75.085,75.628,77.253,75.327,75.093,75.093,75.093,75.051,0
7630,83.874,83.961,83.874,80.852,80.852,80.852,81.579,81.579,80.783,81.05,81.009,81.231,81.844,81.231,81.281,81.281,81.281,82.14,82.14,82.14,80.692,0
7654,80.256,80.626,80.331,78.904,78.798,78.798,79.735,79.665,79.631,78.208,78.445,80.47,80.534,80.705,78.742,78.742,78.504,79.597,79.597,79.597,79.431,0
8890,84.154,83.105,83.105,80.753,80.753,80.753,81.402,81.614,80.059,79.959,80.161,82.784,82.543,82.543,83.51,83.418,83.51,85.994,85.994,85.994,74.311,0
8916,79.371,78.93,80.032,77.473,77.39,77.39,77.114,77.829,78.369,78.355,78.229,77.916,78.781,77.972,79.565,79.573,79.109,79.462,79.462,79.462,76.781,0
9028,81.959,82.215,82.183,80.807,80.807,80.807,80.51,80.463,80.231,79.182,79.414,79.364,79.168,79.361,80.244,80.244,80.273,80.731,80.74,80.74,80.647,0
9066,75.766,76.817,77.185,75.046,75.046,75.046,76.565,77.642,76.964,78.138,78.301,77.563,78.554,78.277,78.199,78.604,75.466,80.454,80.454,80.454,75.594,0
9445,79.482,79.377,78.973,79.477,79.477,79.477,76.299,80.937,82.235,80.122,79.795,79.533,79.533,79.533,80.614,80.614,80.832,81.001,81.001,81.001,80.759,0
9479,85.62,85.12,85.12,83.706,83.805,83.771,83.117,83.635,83.626,87.792,87.961,84.832,85.575,85.281,85.154,85.125,85.125,85.508,85.508,85.508,84.062,1
9542,79.322,78.722,78.597,78.862,78.807,78.807,79.994,80.312,80.997,80.844,78.848,80.197,80.338,80.312,80.999,80.989,81.126,82.025,82.025,82.025,77.849,0
9546,80.083,80.083,80.083,80.298,80.298,80.12,81.859,80.373,82.116,80.449,79.665,78.995,79.59,79.438,79.069,79.069,79.069,80.752,80.752,80.048,79.661,0
9547,79.576,79.945,79.475,78.291,78.216,78.291,78.012,79.925,78.038,78.618,78.668,77.105,78.362,78.733,78.098,77.669,77.94,80.497,80.284,80.284,78.438,0
9583,79.175,79.143,79.143,77.272,78.069,78.069,76.255,76.237,76.339,77.865,78.211,78.438,78.071,78.071,77.466,77.466,77.686,77.227,77.558,77.558,76.9,0
9587,80.504,80.51,80.34,76.151,76.151,76.151,76.834,76.917,76.908,77.528,77.776,76.261,76.261,76.261,79.507,78.017,78.709,79.291,79.291,79.291,77.048,0
12037,81.895,82.048,82.048,81.61,81.538,81.538,80.366,80.71,81.485,82.295,82.074,82.644,82.361,82.644,82.476,82.553,83.238,81.71,81.777,81.777,81.076,0
12116,79.792,79.764,79.764,76.672,76.54,77.789,77.648,76.811,77.473,77.206,77.297,76.472,76.472,76.472,79.902,79.355,79.712,78.816,78.816,78.816,76.391,0
12122,80.48,81.383,80.352,78.726,78.535,78.535,80.18,79.814,79.658,80.704,80.301,79.121,80.587,80.587,81.132,81.307,81.132,81.85,82.066,82.066,78.341,0
12124,77.89,78.284,78.516,79.568,79.59,79.59,80.054,80.011,81.151,78.01,77.792,80.09,80.09,80.09,80.585,79.555,80.922,79.997,79.997,79.997,79.18,0
12141,79.681,79.626,79.626,78.444,78.839,78.839,74.087,73.977,77.31,79.578,78.515,79.392,79.538,79.538,78.991,78.989,79.085,80.638,80.638,80.638,78.079,0
12143,79.254,79.15,79.111,78.238,78.493,78.493,80.386,79.672,79.847,81.199,80.381,80.277,80.916,80.277,80.466,80.466,80.466,80.818,80.818,80.818,79.674,0
12149,80.955,81.178,81.169,80.503,80.643,80.643,81.328,80.272,81.763,81.165,81.581,80.756,80.756,80.756,80.347,80.855,80.723,81.282,80.771,80.771,81.499,0
12161,81.504,81.604,80.862,79.557,79.557,77.926,77.948,77.796,79.24,76.975,77.462,79.319,79.374,79.374,80.26,79.587,80.036,80.824,80.725,80.725,78.86,0
12252,81.248,81.47,81.47,83.044,83.044,83.044,82.926,83.294,83.271,81.64,81.781,82.288,82.288,82.288,82.874,81.915,82.56,83.935,83.95,83.95,83.181,0
12408,79.579,78.721,78.721,78.392,78.153,78.153,77.647,77.596,79.369,77.348,77.456,77.655,77.911,77.911,78.157,79.189,78.315,77.806,77.806,77.806,76.643,0
12409,78.753,79.018,78.609,80.517,80.394,80.394,78.441,78.168,78.029,79.261,78.55,78.622,78.622,78.622,79.383,77.239,79.797,78.756,78.783,78.783,79.018,0
12410,82.669,82.568,82.665,80.915,80.672,80.672,81.999,80.662,80.369,80.667,80.667,80.803,78.675,78.675,81.792,82.498,81.792,83.147,83.434,83.224,80.869,0
12418,82.368,82.308,82.368,78.76,79.359,79.359,81.634,82.82,82.083,80.25,80.196,79.948,79.833,79.946,80.849,80.849,81.617,82.727,82.727,82.727,80.894,0
12422,79.252,79.365,79.365,77.555,77.496,77.496,76.791,76.784,76.835,77.867,78.771,77.713,77.609,77.609,77.934,77.934,78.134,79.104,79.107,79.107,78.027,0
12435,76.942,76.85,76.646,76.096,76.67,76.944,77.147,77.21,77.712,77.158,77.482,76.625,76.914,76.914,78.305,78.305,78.362,77.856,76.243,76.582,76.513,0
12436,79.809,80.493,80.473,75.459,74.524,74.524,75.679,75.314,75.417,77.759,77.444,77.885,77.891,78.174,76.879,76.879,75.237,78.879,78.879,78.879,75.188,0
12437,81.504,81.6,81.624,75.757,76.055,76.055,79.705,79.347,78.739,78.476,78.566,78.214,78.214,78.214,78.789,78.773,80.493,79.945,79.987,79.987,74.666,0
12447,82.989,82.071,82.071,81.179,81.179,81.179,83.458,83.515,83.622,80.134,80.753,81.004,81.004,81.004,81.914,83.639,82.4,82.189,82.19,82.19,79.584,0
12448,82.341,82.639,82.639,83.24,83.24,83.24,82.726,82.102,81.47,80.727,78.965,81.695,81.745,81.695,81.285,81.285,81.285,82.082,82.082,82.082,81.883,0
12449,81.544,80.919,80.919,76.768,76.94,76.94,78.51,78.755,78.914,79.226,79.139,79.513,79.585,80.302,80.029,81.112,80.37,81.755,81.755,81.755,78.945,0
12450,81.424,80.712,80.865,78.924,78.924,78.924,79.436,78.884,79.293,79.3,79.299,79.598,79.459,79.459,79.823,79.877,79.823,81.203,81.265,81.265,78.3,0
12451,81.654,82.473,82.434,76.73,76.34,76.34,77.942,77.824,77.58,76.585,76.272,76.122,76.054,76.054,78.121,78.629,75.668,80.64,80.784,80.784,75.854,0
12452,77.714,82.437,82.892,77.956,77.601,77.601,78.646,79.091,78.683,80.357,80.095,74.371,79.227,78.862,79.933,79.933,79.933,80.172,79.772,79.605,77.259,0
12453,81.476,81.476,81.476,80.534,80.534,80.534,78.664,78.919,79.767,80.806,79.728,79.669,80.04,79.947,81.512,81.12,81.936,82.004,82.004,82.004,80.76,0
12454,81.694,81.47,81.47,79.881,79.881,79.881,77.899,79.321,81.651,78.768,78.365,81.312,81.208,81.208,79.606,79.606,80.618,81.606,81.606,81.606,80.319,0
12455,80.111,80.566,80.645,80.679,79.521,79.929,81.242,80.267,80.152,81.117,80.905,79.736,79.736,79.736,80.238,80.177,80.52,80.046,80.046,80.046,80.943,0
12456,81.16,80.836,81.003,77.093,76.617,76.617,80.094,80.838,79.827,79.813,80.343,79.041,79.696,79.696,79.579,80.278,79.579,81.021,81.021,81.021,78.638,0
12457,82.472,83.161,82.472,81.616,81.413,81.413,80.866,80.369,81.81,81.548,81.605,80.973,81.112,81.112,81.817,81.833,81.817,82.54,82.249,82.249,82.379,0
12458,86.738,87.462,87.462,81.438,80.76,80.76,82.224,82.61,81.853,82.452,82.051,80.309,84.003,83.46,83.628,83.628,83.238,85.927,85.927,85.927,81.438,0
12459,79.792,79.857,79.669,77.482,77.347,77.347,73.419,74.9,73.416,77.05,76.298,76.473,76.821,74.908,77.877,77.877,77.877,75.943,75.958,75.958,75.972,0
12460,80.813,80.842,80.927,80.991,79.94,80.658,81.086,81.465,81.223,79.874,79.278,79.034,80.436,80.436,82.732,82.123,82.732,82.039,82.379,82.379,80.977,0
12461,78.34,78.772,78.772,77.812,77.284,77.572,79.653,80.421,80.7,75.415,76.551,80.506,79.874,80.506,84.156,82.718,84.156,83.525,83.627,83.627,77.812,0
12462,80.848,81.085,80.867,79.594,78.901,78.901,81.168,81.042,79.947,79.999,80.329,80.381,80.381,80.265,80.035,80.181,80.637,79.721,79.721,79.721,79.613,0
12463,83.409,84.083,83.57,80.133,80.133,80.011,79.437,79.918,81.124,81.113,81.655,81.144,81.144,81.144,81.085,81.085,81.383,83.727,83.727,83.727,79.776,0
12464,82.376,82.618,82.565,81.064,79.936,79.936,80.176,80.611,80.42,80.901,80.475,81.672,80.607,80.607,80.71,80.859,80.71,80.681,80.681,80.681,81.306,0
12465,78.169,77.759,77.678,78.302,78.112,78.656,78.298,79.621,77.842,78.698,78.581,78.509,78.554,78.554,80.168,80.028,80.168,78.094,78.094,78.094,78.186,0
