id,gpt5.2-onclaude resumes,gpt4o-on3.5 resumes,gpt4o-onmini resumes,True,CV doordash Score
13897,81.179,78.941,81.706,1,79.197
14744,83.328,84.429,84.319,1,80.258
14862,80.661,82.465,83.349,1,80.284
14882,83.928,83.945,82.294,1,82.443
14890,82.67,84.893,82.127,1,79.639
14906,79.965,81.018,80.708,1,81.154
14907,82.874,82.651,81.141,1,80.215
14914,81.772,80.956,82.349,1,79.951
14916,78.612,80.581,76.576,1,79.431
14930,82.245,81.388,83.199,1,81.419
14932,77.889,79.843,79.731,1,75.023
14939,78.645,76.571,79.727,1,80.096
14947,81.368,78.954,80.648,1,79.241
15180,79.834,82.766,81.902,1,80.155
15240,80.221,80.368,81.766,1,79.513
15339,78.615,82.293,83.814,1,79.347
15419,80.912,82.497,82.753,1,82.234
15425,83.287,82.007,84.42,1,80.784
15426,80.962,84.247,83.453,1,79.82
15474,83.565,80.324,82.458,1,81.051
15519,80.677,82.588,82.109,1,78.923
15524,82.722,82.836,82.349,1,82.165
15589,79.471,79.716,81.041,1,78.509
15679,76.201,78.231,76.902,1,74.458
15743,77.73,77.699,79.26,1,77.237
16036,83.1,83.438,85.436,1,80.419
16039,81.118,81.793,82.106,1,80.565
16064,83.941,84.154,85.975,1,85.761
16980,78.354,80.794,81.575,0,77.141
17014,74.862,73.936,77.993,0,77.237
18230,76.004,76.565,78.465,0,75.989
18348,79.27,77.939,79.48,0,78.917
26715,80.606,81.367,81.389,0,79.694
26747,83.606,82.647,82.237,0,80.852
29788,77.282,77.695,80.331,0,78.953
29835,79.574,82.08,80.597,0,79.948
30606,78.344,75.784,80.867,0,76.332
30845,79.689,80.088,81.13,0,80.344
32072,79.312,80.002,79.529,0,78.465
46443,81.824,82.513,83.434,0,82.198
46506,76.601,75.738,79.969,0,75.488
50300,81.278,83.062,83.159,0,81.352
51419,78.661,80.571,79.705,0,79.169
53971,76.576,81.105,77.759,0,74.711
53972,76.467,79.827,79.191,0,77.173
53973,77.127,79.47,77.962,0,76.43
53974,76.228,77.748,78.405,0,77.267
53975,78.104,77.676,80.509,0,79.808
53976,77.228,74.093,77.797,0,75.827
53977,81.017,80.622,81.215,0,81.101
53978,76.311,76.42,76.811,0,76.586
53979,78.538,76.345,77.694,0,77.557
53981,77.192,77.338,78.324,0,79.713
54796,76.47,76.824,78.066,0,76.356
54797,78.282,78.403,79.144,0,76.764
54798,77.028,79.997,80.655,0,79.209
54799,76.773,79.534,77.998,0,76.467
54800,74.508,73.683,75.275,0,72.283
56453,80.508,82.37,80.905,0,80.597
56528,79.282,78.601,78.149,0,76.399
56542,76.088,75.54,75.525,0,76.652
56543,73.44,78.83,78.734,0,75.785
56544,75.74,77.989,76.773,0,74.694
56545,74.753,78.422,80.009,0,75.462
56618,79.049,79.876,81.224,0,78.883
56619,74.039,74.4,76.042,0,73.858
56629,79.866,81.336,80.278,0,79.632
56630,75.859,79.329,76.576,0,75.11
56631,81.081,80.246,81.022,0,79.128
56632,77.078,79.595,79.023,0,77.946
56633,79.146,80.775,81.466,0,82.506
56634,74.79,78.175,78.085,0,72.819
56635,78.432,78.264,77.874,0,77.42
56637,75.745,76.529,76.02,0,76.808
56638,77.228,75.875,76.934,0,77.201
56639,73.962,78.006,78.342,0,75.957
56641,76.566,77.641,78.229,0,76.011
56642,77.377,76.71,76.97,0,78.507
56643,82.297,83.237,82.738,0,81.646
56644,78.067,78.675,77.166,0,76.768
56645,76.21,80.038,79.639,0,78.242
56646,75.209,73.766,77.84,0,76.798
56647,78.361,78.781,79.503,0,78.899
56648,76.848,77.618,77.439,0,77.546
56649,75.973,78.668,77.296,0,75.992
56650,78.52,77.007,78.557,0,79.052
56651,76.924,78.144,79.695,0,74.71
56652,78.75,81.415,79.422,0,78.297
56653,76.743,77.228,79.354,0,75.895
56654,78.162,80.486,80.903,0,78.432
56656,74.958,76.081,77.234,0,77.962
56657,76.977,77.062,77.772,0,73.741
56661,78.167,77.318,79.959,0,78.375
56662,78.684,79.321,79.105,0,75.993
56725,75.935,78.724,79.272,0,75.809
56795,75.277,72.009,75.59,0,75.511
56796,75.544,72.365,73.211,0,75.926
56797,75.909,77.9,77.961,0,76.937
56798,77.557,75.636,78.596,0,75.36
56799,74.196,75.819,75.776,0,74.378
56800,78.868,79.885,79.252,0,78.206
56801,76.858,78.478,78.981,0,75.463
56802,73.331,78.098,77.878,0,71.36
56803,81.127,81.051,81.383,0,82.419
56804,79.339,79.312,79.72,0,77.906
56805,77.272,79.967,78.876,0,78.13
56807,80.638,83.186,81.543,0,81.529
56809,79.056,80.828,81.882,0,78.706
56859,76.884,77.295,77.417,0,76.593
56860,78.346,79.471,79.608,0,80.598
56861,76.355,74.295,77.031,0,77.416
56862,78.453,80.446,79.712,0,77.833
57384,82.103,82.492,82.511,0,82.265
57400,83.299,83.937,84.334,0,83.063
62042,82.382,82.0,81.644,0,78.342
63086,76.074,78.903,78.311,0,73.924
63087,82.012,83.769,83.018,0,80.053
83710,77.967,82.546,80.895,0,79.315
83711,75.8,78.734,79.412,0,73.625
86666,78.807,78.724,80.282,0,77.242
87779,80.34,84.816,83.014,0,80.134
97622,76.453,78.193,77.93,0,78.58
98134,79.607,79.138,80.523,0,79.325
98135,76.859,78.452,81.229,0,78.06
98136,77.871,76.24,77.75,0,79.131
98137,76.392,78.141,78.792,0,75.016
98138,76.319,80.968,81.13,0,78.248
98171,77.004,76.807,78.687,0,77.291
98172,76.205,74.3,74.409,0,74.379
98173,78.366,80.297,80.326,0,77.869
98245,75.263,77.561,79.957,0,75.013
98250,81.548,81.666,83.121,0,81.731
98251,76.525,78.149,79.076,0,76.195
98252,78.111,81.059,80.811,0,76.396
98253,80.72,78.3,81.772,0,79.332
98254,77.077,79.363,77.358,0,75.904
98255,80.177,80.44,80.887,0,80.908
98256,77.123,78.715,81.244,0,77.506
98257,80.233,81.684,82.53,0,81.031
98258,78.165,78.717,80.202,0,78.106
98259,80.22,80.983,79.454,0,79.045
98260,77.406,84.721,81.494,0,77.723
98261,80.616,81.856,81.266,0,78.412
98262,77.453,80.268,82.744,0,78.653
98263,77.407,76.601,81.223,0,77.748
98264,78.826,79.249,82.62,0,80.937
98265,82.471,82.365,84.56,0,80.786
98266,81.807,85.868,83.852,0,82.737
98267,76.965,77.465,79.028,0,76.138
98268,77.685,81.018,80.752,0,76.766
98269,77.702,81.465,81.142,0,77.463
98270,78.246,79.296,82.146,0,77.622
98271,77.762,79.044,78.156,0,76.141
98272,78.657,79.284,79.553,0,80.152
98273,78.578,81.348,81.231,0,78.203
98274,77.789,77.385,80.288,0,78.065
98275,78.406,78.9,79.732,0,78.649
98276,78.011,78.645,78.36,0,78.466
98277,77.244,79.628,79.054,0,77.925
98278,77.661,78.322,78.935,0,78.303
98279,80.762,79.312,82.506,0,82.023
98280,78.801,79.703,80.475,0,79.168
98281,80.306,78.96,80.183,0,78.575
98282,78.637,78.157,81.517,0,79.362
98283,78.982,84.041,81.129,0,83.116
98284,73.858,77.915,76.061,0,74.147
98285,77.421,77.136,78.124,0,77.765
98286,78.203,81.426,81.713,0,80.179
98287,80.345,79.607,81.006,0,81.508
98288,75.688,80.15,76.916,0,77.517
98289,77.681,78.537,79.31,0,76.038
98290,78.295,79.506,77.44,0,75.701
98291,78.758,80.57,79.862,0,77.424
98292,78.783,81.872,79.107,0,80.611
98293,76.992,79.896,80.487,0,77.568
98294,78.573,79.644,82.438,0,77.539
98295,78.206,80.342,81.314,0,78.971
98296,75.889,78.345,78.751,0,78.982
98297,80.713,80.62,81.008,0,80.66
98298,78.542,78.277,80.299,0,81.461
98299,78.137,80.314,80.117,0,78.629
98300,77.181,78.101,79.58,0,77.878
98301,74.505,75.543,79.889,0,74.19
98302,79.592,82.81,81.411,0,79.438
98303,77.68,79.932,80.886,0,79.498
98304,78.754,79.732,78.33,0,79.643
98305,82.614,82.887,82.42,0,81.933
98306,77.565,79.341,82.388,0,76.646
98307,77.443,77.678,78.925,0,76.417
98308,77.685,76.788,78.862,0,78.557
98309,80.549,81.187,81.327,0,80.006
98310,82.04,81.789,83.869,0,78.286
98311,76.899,78.492,78.495,0,79.733
98312,79.121,79.695,79.364,0,78.156
98313,78.429,80.573,80.653,0,79.9
98314,81.552,80.686,83.468,0,83.101
98315,77.49,81.02,79.502,0,80.481
98316,83.505,85.362,83.547,0,85.276
98317,77.61,74.64,79.547,0,77.873
98318,78.975,79.237,80.514,0,78.138
98319,77.812,78.35,80.603,0,79.223
98320,78.571,77.974,79.349,0,79.388
98321,79.366,79.324,82.493,0,79.715
98322,76.566,75.971,80.953,0,76.962
98323,78.772,80.391,78.461,0,79.101
98324,77.344,75.688,79.972,0,77.363
98325,79.689,80.652,79.521,0,78.917
98326,75.97,79.352,78.832,0,77.435
98327,77.403,81.34,79.372,0,76.629
98328,79.414,80.569,80.65,0,79.198
98329,78.726,80.032,78.367,0,79.445
98330,78.125,82.15,79.509,0,80.149
98331,77.095,79.197,81.021,0,75.304
98332,76.92,77.262,76.996,0,78.333
98333,76.947,78.106,78.085,0,76.082
98334,79.548,84.573,82.523,0,75.334
98335,78.984,80.187,81.933,0,79.085
98336,77.565,79.641,80.451,0,78.047
98337,77.138,78.282,79.004,0,78.386
98338,79.68,79.696,79.8,0,79.253
98339,73.487,75.198,77.648,0,76.062
98340,75.102,81.18,79.056,0,75.39
98341,78.388,80.205,80.269,0,79.782
98342,81.558,82.969,82.137,0,81.774
98343,74.558,75.235,74.639,0,73.227
98344,79.905,79.216,80.94,0,79.206
98345,81.411,80.127,82.11,0,79.357
98346,77.143,82.392,79.779,0,75.881
98347,78.91,81.193,80.994,0,78.961
98348,76.523,79.944,78.876,0,76.306
98349,79.321,81.087,81.579,0,80.575
98350,80.137,79.931,79.526,0,80.918
98351,76.708,79.473,78.724,0,79.603
98352,76.468,77.897,76.043,0,75.397
98353,76.249,77.395,77.764,0,77.359
98354,76.035,79.726,79.514,0,76.037
98355,78.455,79.172,80.883,0,79.338
98356,78.488,77.386,79.771,0,77.374
98357,79.794,82.799,82.125,0,79.489
98358,79.215,78.238,80.589,0,79.465
98359,77.739,76.49,76.738,0,74.511
98360,76.053,79.953,80.547,0,77.091
98361,78.445,80.899,80.575,0,79.264
98362,78.078,75.815,79.902,0,76.92
98363,78.66,77.367,78.458,0,76.165
98364,74.496,78.205,76.425,0,75.093
98365,75.745,76.515,78.464,0,77.615
98366,77.405,79.879,77.562,0,77.103
98367,79.616,80.54,81.034,0,80.262
98368,78.681,77.149,79.619,0,76.634
98369,76.296,79.181,79.931,0,77.483
98370,79.664,79.128,81.16,0,80.322
98371,78.53,78.856,79.237,0,78.188
98372,80.256,82.207,80.923,0,80.16
98373,83.976,82.149,82.912,0,81.158
98374,79.227,82.187,82.296,0,78.672
98375,78.265,79.649,81.494,0,78.05
98376,79.009,80.278,80.622,0,79.662
98377,77.278,79.505,79.722,0,77.726
98378,78.247,79.463,80.623,0,80.624
98379,79.257,81.279,82.636,0,81.36
98380,79.961,80.715,81.826,0,80.571
98381,75.048,78.223,78.194,0,76.965
98382,78.488,79.353,77.813,0,80.223
98383,78.532,80.199,81.788,0,79.874
98384,79.702,80.112,80.968,0,79.729
98385,78.28,77.906,78.062,0,76.527
98386,79.256,76.784,79.45,0,75.215
98387,76.379,79.272,81.157,0,80.609
98388,80.166,81.274,80.894,0,82.031
98389,78.257,82.431,79.747,0,80.423
98390,80.338,80.863,81.586,0,80.823
98391,77.766,81.159,79.053,0,78.568
98392,76.102,77.967,78.695,0,76.185
98393,76.98,79.638,78.544,0,76.06
98394,73.881,75.168,76.52,0,73.03
98395,77.765,80.22,80.008,0,78.697
98396,75.915,80.189,79.569,0,77.467
98397,78.305,79.903,79.577,0,76.224
98398,77.702,78.194,79.16,0,77.442
98399,77.365,77.607,78.083,0,73.558
98400,76.618,77.168,80.214,0,76.062
98401,77.216,78.886,78.978,0,78.413
98402,84.043,84.181,83.768,0,83.437
