,Cleaned GPT-4o Conversation-Improved CV Google Score
215,88.353
216,85.89
217,87.248
218,84.755
219,86.975
220,84.693
221,86.567
222,86.897
223,87.204
224,84.275
225,85.885
226,89.456
227,89.713
228,84.946
229,87.85
230,86.848
231,85.669
232,87.145
233,87.827
234,86.924
235,88.976
236,88.362
237,88.705
238,85.926
239,83.837
240,79.441
241,87.742
242,87.578
243,87.823
244,89.474
245,87.615
246,84.675
247,88.193
248,87.72
249,87.189
250,88.221
251,83.302
252,83.566
253,87.955
254,88.723
255,84.77
256,84.074
257,84.729
258,86.386
259,81.495
260,78.147
261,80.847
262,78.601
263,80.953
264,81.937
265,82.187
266,80.493
267,80.207
268,80.706
269,83.213
270,79.718
271,80.798
272,80.705
273,79.285
274,78.22
275,79.563
276,77.848
277,80.438
278,80.919
279,76.283
280,80.054
281,79.238
282,78.666
283,76.813
284,79.214
285,82.091
286,79.11
287,80.801
288,79.202
289,81.132
290,77.091
291,80.188
292,80.367
293,79.039
294,79.75
295,79.778
296,80.9
297,75.941
298,83.071
299,81.998
300,80.174
301,77.517
302,77.844
303,76.874
304,76.717
305,80.233
306,79.839
307,80.776
308,81.66
309,82.498
310,81.325
311,81.368
312,78.296
313,80.095
314,80.289
315,79.116
316,78.788
317,82.368
318,79.228
319,79.363
320,77.339
321,81.662
322,80.973
323,79.044
324,79.776
325,76.759
326,78.117
327,78.659
328,79.436
329,81.018
330,77.727
331,82.759
332,81.809
333,77.39
334,78.622
335,81.805
336,77.975
337,79.723
338,80.84
339,79.478
340,80.441
341,80.112
342,79.646
343,82.543
344,80.802
345,81.397
346,79.232
347,80.293
348,78.881
349,79.291
350,78.883
351,80.21
352,79.861
353,79.62
354,81.854
355,79.123
356,79.429
357,78.521
358,81.053
359,83.235
360,80.677
361,79.036
362,87.151
363,80.43
364,76.702
365,80.928
366,80.602
367,82.639
368,80.583
369,78.18
370,78.551
371,81.153
372,77.083
373,79.931
374,81.278
375,79.967
376,79.795
377,81.962
378,80.618
379,83.003
380,79.453
381,78.261
382,80.69
383,82.528
384,80.019
385,78.65
386,80.476
387,80.894
388,77.723
389,79.564
390,79.736
391,79.259
392,81.427
393,79.533
394,78.375
395,79.802
396,80.801
397,77.464
398,81.639
399,81.04
400,81.103
401,79.206
402,78.873
403,81.354
404,79.44
405,78.247
406,77.188
407,79.746
408,84.232
409,77.77
410,79.475
411,81.868
412,78.229
413,80.094
414,79.397
415,76.7
416,77.083
417,80.642
418,78.111
419,79.656
420,80.515
421,80.868
422,77.246
423,78.165
424,85.252
425,76.546
426,75.096
427,77.807
428,78.766
429,80.423
430,79.67
431,80.828
432,79.569
433,81.721
434,81.361
435,83.22
436,81.047
437,81.143
438,84.739
439,77.538
440,79.253
441,80.789
442,79.152
443,80.362
444,80.011
445,78.372
446,79.112
447,78.556
448,81.263
449,78.736
450,78.754
451,78.76
452,82.849
453,81.158
454,80.386
455,76.894
456,78.1
457,79.416
458,83.764
459,80.417
460,78.861
461,80.364
462,82.671
463,79.776
464,79.465
465,84.126
466,77.028
467,80.254
468,84.049
469,78.681
470,78.935
471,80.413
472,83.89
473,77.084
474,79.884
475,82.661
476,78.827
477,78.485
478,77.437
479,81.801
480,81.137
481,82.208
482,79.895
483,82.639
484,79.96
485,78.439
486,78.702
487,81.497
488,80.211
489,79.987
490,82.265
491,78.865
492,79.94
493,78.691
494,79.413
495,79.33
496,77.96
497,80.805
498,77.242
499,77.737
500,79.989
501,79.814
502,76.444
503,75.943
504,80.115
505,78.475
506,79.833
507,80.268
508,79.542
509,79.551
510,82.429
511,80.186
512,77.955
513,79.915
514,80.296
515,76.372
516,78.109
517,76.873
518,79.596
519,78.014
