CV Google Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,4o_on_35,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
85.161,50,85.711,50,85.116,50,85.236,50,86.656,50,85.618,50,85.116,1,True
87.169,51,87.763,51,87.759,51,87.646,51,87.719,51,87.605,51,87.715,1,True
83.995,52,86.024,52,83.995,52,83.995,52,86.45,52,84.475,52,85.824,1,True
86.955,53,88.643,53,87.231,53,87.322,53,89.032,53,86.628,53,88.315,1,True
85.567,54,85.133,54,85.133,54,86.541,54,85.201,54,86.729,54,84.955,1,True
86.531,55,88.881,55,86.533,55,86.946,55,88.61,55,86.781,55,88.446,1,True
87.098,56,88.068,56,86.909,56,86.672,56,86.746,56,87.404,56,86.97,1,True
85.371,57,87.238,57,85.371,57,83.6,57,86.386,57,86.148,57,87.138,1,True
87.082,58,88.381,58,86.789,58,87.401,58,88.344,58,87.506,58,87.32,1,True
85.863,59,85.322,59,85.832,59,87.356,59,86.058,59,86.626,59,86.088,1,True
88.373,60,88.378,60,88.139,60,88.525,60,88.308,60,88.703,60,88.135,1,True
86.127,61,87.382,61,85.879,61,86.127,61,87.382,61,86.864,61,85.879,1,True
85.573,62,85.91,62,85.848,62,86.222,62,86.193,62,87.405,62,87.363,1,True
87.246,63,87.919,63,87.357,63,87.289,63,88.01,63,87.326,63,87.369,1,True
88.471,64,88.36,64,88.406,64,88.729,64,87.702,64,88.665,64,87.813,1,True
85.717,65,86.432,65,85.823,65,85.734,65,86.432,65,86.181,65,86.288,1,True
87.068,66,87.388,66,86.724,66,86.612,66,87.388,66,86.67,66,87.567,1,True
84.588,67,85.056,67,84.607,67,82.815,67,84.927,67,85.404,67,83.887,1,True
88.038,68,90.092,68,88.149,68,90.295,68,89.966,68,90.325,68,89.584,1,True
86.703,69,87.267,69,86.763,69,86.407,69,87.111,69,86.259,69,86.995,1,True
82.536,70,82.52,70,82.283,70,82.543,70,82.69,70,82.543,70,82.52,1,True
84.219,71,85.836,71,84.37,71,84.372,71,85.836,71,86.785,71,85.205,1,True
85.377,72,85.026,72,85.14,72,85.013,72,85.026,72,84.733,72,85.103,1,True
86.096,73,85.945,73,86.204,73,86.776,73,85.945,73,86.932,73,86.237,1,True
87.251,74,87.149,74,87.324,74,87.272,74,88.604,74,87.076,74,87.086,1,True
87.638,75,87.054,75,87.582,75,87.227,75,87.054,75,87.311,75,86.921,1,True
85.872,76,87.336,76,85.872,76,85.872,76,87.336,76,88.788,76,86.424,1,True
85.594,77,85.955,77,85.787,77,85.994,77,85.893,77,86.0,77,85.924,1,True
85.506,78,87.665,78,85.857,78,84.847,78,88.848,78,88.685,78,86.081,1,True
86.742,79,86.92,79,87.413,79,87.506,79,86.92,79,87.342,79,87.413,1,True
86.406,80,86.407,80,85.277,80,83.855,80,86.256,80,83.14,80,88.762,1,True
86.153,81,86.897,81,85.237,81,85.515,81,86.807,81,85.072,81,86.966,1,True
87.305,82,86.684,82,87.036,82,87.613,82,86.684,82,87.51,82,86.91,1,True
90.309,83,90.541,83,90.333,83,89.512,83,90.793,83,89.535,83,89.417,1,True
84.848,84,84.645,84,84.913,84,84.79,84,84.757,84,84.931,84,85.368,1,True
85.125,85,85.263,85,84.963,85,85.154,85,85.332,85,84.683,85,85.3,1,True
85.5,86,84.806,86,86.296,86,83.589,86,83.6,86,83.573,86,85.902,1,True
87.097,87,87.565,87,87.412,87,86.833,87,86.939,87,86.719,87,87.609,1,True
88.122,88,87.808,88,87.822,88,88.564,88,88.052,88,88.6,88,88.056,1,True
83.153,89,83.482,89,83.193,89,83.782,89,84.876,89,83.983,89,84.393,1,True
84.626,90,84.753,90,84.766,90,84.734,90,84.766,90,84.634,90,84.334,1,True
86.532,91,88.591,91,86.558,91,86.588,91,88.609,91,86.946,91,87.821,1,True
86.913,92,87.171,92,86.971,92,86.862,92,86.644,92,86.658,92,86.711,1,True
84.608,93,83.368,93,84.681,93,83.993,93,83.241,93,84.614,93,83.554,1,True
87.936,94,87.977,94,87.395,94,83.733,94,87.977,94,84.407,94,86.956,1,True
86.226,95,88.348,95,86.294,95,86.984,95,87.459,95,86.977,95,88.828,1,True
86.159,96,86.178,96,86.079,96,82.742,96,86.178,96,82.062,96,86.016,1,True
86.654,97,87.356,97,87.064,97,87.974,97,87.208,97,87.953,97,87.861,1,True
85.986,98,85.919,98,85.928,98,85.907,98,85.91,98,85.742,98,85.635,1,True
88.319,99,87.481,99,88.234,99,87.708,99,87.481,99,88.133,99,88.085,1,True
89.484,100,89.341,100,89.341,100,90.777,100,89.112,100,90.967,100,87.872,1,True
82.904,101,82.904,101,82.904,101,83.759,101,83.398,101,83.861,101,82.85,1,True
87.58,102,88.243,102,87.25,102,87.396,102,88.386,102,87.784,102,87.009,1,True
87.732,103,87.675,103,88.104,103,86.708,103,87.679,103,87.061,103,88.224,1,True
85.32,104,89.127,104,86.491,104,85.625,104,89.127,104,89.721,104,87.841,1,True
86.021,105,85.992,105,86.021,105,86.283,105,85.87,105,86.288,105,86.729,1,True
88.534,106,87.563,106,88.394,106,88.201,106,87.563,106,88.937,106,88.804,1,True
84.992,107,84.06,107,84.759,107,82.336,107,83.732,107,78.279,107,83.816,1,True
88.559,108,89.367,108,88.559,108,88.559,108,89.367,108,89.265,108,89.263,1,True
88.725,109,89.128,109,88.832,109,88.884,109,88.464,109,88.776,109,88.839,1,True
87.936,110,88.435,110,87.835,110,89.165,110,88.435,110,89.124,110,87.809,1,True
82.341,111,82.863,111,82.731,111,83.28,111,82.863,111,83.497,111,82.674,1,True
84.205,112,84.187,112,84.173,112,83.622,112,84.187,112,83.622,112,84.187,1,True
84.625,113,84.973,113,84.847,113,84.871,113,84.965,113,84.905,113,84.818,1,True
88.505,114,87.825,114,88.001,114,89.609,114,87.825,114,88.375,114,88.001,1,True
87.645,115,87.29,115,87.538,115,87.443,115,87.594,115,86.889,115,87.865,1,True
84.573,116,88.81,116,84.383,116,84.672,116,88.81,116,88.554,116,87.612,1,True
87.134,117,87.22,117,87.22,117,87.22,117,87.337,117,87.346,117,87.337,1,True
87.905,118,88.095,118,87.906,118,87.466,118,88.08,118,87.743,118,88.241,1,True
88.756,119,88.317,119,88.427,119,88.373,119,88.519,119,89.369,119,88.389,1,True
89.243,120,89.181,120,89.243,120,89.068,120,89.399,120,88.723,120,89.394,1,True
85.547,121,85.402,121,85.478,121,85.79,121,85.888,121,86.929,121,85.726,1,True
83.946,122,83.915,122,84.833,122,84.294,122,83.915,122,83.655,122,84.682,1,True
86.663,123,86.941,123,87.089,123,86.663,123,88.197,123,87.496,123,88.697,1,True
87.794,124,87.379,124,88.406,124,88.093,124,87.379,124,88.033,124,88.334,1,True
86.992,125,89.405,125,87.096,125,88.421,125,89.206,125,89.129,125,88.992,1,True
84.806,126,89.096,126,84.762,126,84.927,126,89.096,126,85.351,126,88.658,1,True
86.157,127,86.662,127,86.482,127,86.456,127,86.662,127,86.734,127,85.984,1,True
83.654,128,82.994,128,83.488,128,82.895,128,83.255,128,82.668,128,82.624,1,True
84.698,129,85.044,129,84.257,129,85.032,129,85.024,129,84.661,129,84.976,1,True
84.727,130,84.742,130,87.023,130,86.163,130,88.104,130,86.06,130,86.332,1,False
87.341,131,87.371,131,87.328,131,86.67,131,88.585,131,86.789,131,87.371,1,False
87.372,132,88.422,132,88.859,132,88.021,132,88.447,132,87.557,132,88.62,1,False
86.596,133,85.427,133,86.509,133,86.762,133,85.427,133,86.571,133,85.411,1,False
85.442,134,85.02,134,85.434,134,85.441,134,85.042,134,85.146,134,85.619,1,False
84.665,135,84.791,135,84.665,135,84.696,135,86.544,135,86.948,135,86.627,1,False
87.356,136,87.304,136,87.343,136,87.356,136,87.304,136,87.428,136,87.49,1,False
87.222,137,87.62,137,87.222,137,87.955,137,87.718,137,87.987,137,87.294,1,False
88.184,138,87.428,138,87.811,138,88.41,138,87.783,138,88.41,138,86.971,1,False
86.468,139,87.253,139,86.784,139,86.533,139,86.847,139,86.371,139,86.479,1,False
84.668,140,86.133,140,85.478,140,85.688,140,86.254,140,87.0,140,86.966,1,False
86.672,141,87.746,141,85.859,141,85.779,141,87.746,141,85.929,141,85.785,1,False
86.908,142,87.469,142,87.439,142,87.058,142,87.4,142,87.28,142,86.902,1,False
87.678,143,87.266,143,87.918,143,83.893,143,86.866,143,86.932,143,87.884,1,False
84.376,144,84.628,144,84.144,144,80.403,144,84.16,144,80.707,144,85.049,1,False
86.166,145,86.567,145,86.511,145,86.632,145,86.567,145,87.528,145,86.344,1,False
82.657,146,83.68,146,82.873,146,83.071,146,83.68,146,83.803,146,82.63,1,False
86.923,147,83.93,147,85.02,147,85.346,147,86.195,147,85.306,147,85.571,1,False
82.77,148,87.884,148,81.805,148,82.77,148,88.142,148,87.343,148,82.019,1,False
85.727,149,85.492,149,85.132,149,85.164,149,84.678,149,85.172,149,84.488,1,False
85.212,150,88.085,150,85.234,150,85.669,150,88.085,150,85.802,150,86.897,1,False
85.836,151,87.255,151,86.576,151,82.398,151,87.104,151,86.913,151,88.146,1,False
85.667,152,85.43,152,85.614,152,85.426,152,85.682,152,84.475,152,85.451,1,False
88.245,153,86.981,153,86.679,153,86.538,153,87.295,153,86.52,153,86.381,1,False
87.021,154,86.309,154,87.415,154,80.785,154,86.309,154,80.804,154,87.415,1,False
86.083,155,86.266,155,86.604,155,85.673,155,86.266,155,85.691,155,86.678,1,False
86.789,156,86.604,156,86.444,156,86.466,156,86.522,156,86.536,156,86.918,1,False
87.43,157,86.847,157,87.538,157,87.43,157,86.972,157,86.692,157,88.774,1,False
87.528,158,86.575,158,85.44,158,85.796,158,86.033,158,86.109,158,88.8,1,False
85.108,159,86.825,159,85.611,159,86.274,159,86.548,159,85.285,159,84.89,1,False
87.019,160,87.516,160,86.816,160,86.928,160,87.516,160,87.516,160,87.516,1,False
86.489,161,86.326,161,85.777,161,85.886,161,86.326,161,85.886,161,85.344,1,False
86.752,162,87.616,162,88.039,162,87.859,162,87.992,162,87.928,162,89.092,1,False
85.032,163,85.643,163,84.861,163,85.981,163,85.852,163,86.006,163,85.629,1,False
86.886,164,89.38,164,86.808,164,88.003,164,89.155,164,88.622,164,87.578,1,False
87.404,165,88.816,165,87.279,165,87.221,165,89.038,165,89.718,165,87.797,1,False
85.646,166,86.762,166,85.571,166,83.004,166,87.369,166,82.786,166,86.922,1,False
85.936,167,86.222,167,85.819,167,85.883,167,86.27,167,86.065,167,86.265,1,False
83.233,168,84.791,168,84.667,168,85.017,168,84.791,168,84.943,168,84.702,1,False
84.313,169,81.762,169,85.359,169,85.129,169,81.762,169,85.262,169,85.107,1,False
87.203,170,84.265,170,88.604,170,83.791,170,83.824,170,88.088,170,87.734,1,False
84.924,171,83.892,171,84.638,171,84.88,171,83.511,171,84.192,171,84.151,1,False
84.097,172,83.972,172,83.983,172,83.239,172,83.819,172,84.239,172,83.813,1,False
86.13,173,86.354,173,87.139,173,82.956,173,87.063,173,82.752,173,85.785,1,False
86.252,174,86.653,174,85.907,174,86.716,174,86.653,174,86.397,174,86.87,1,False
87.031,175,87.286,175,87.079,175,87.246,175,87.286,175,87.424,175,87.007,1,False
87.606,176,87.606,176,87.606,176,82.993,176,87.606,176,82.993,176,90.402,1,False
86.42,177,82.938,177,86.473,177,87.237,177,83.227,177,86.872,177,83.058,1,False
86.534,178,85.7,178,86.349,178,81.769,178,85.166,178,81.359,178,86.869,1,False
85.345,179,86.313,179,86.124,179,80.579,179,86.313,179,82.555,179,86.272,1,False
84.973,180,85.961,180,85.331,180,85.264,180,85.605,180,84.833,180,84.813,1,False
84.016,181,83.879,181,83.741,181,83.147,181,83.554,181,83.109,181,83.307,1,False
86.599,182,82.122,182,86.95,182,82.789,182,81.732,182,81.932,182,86.452,1,False
87.587,183,84.931,183,88.438,183,84.753,183,84.862,183,89.233,183,88.476,1,False
87.273,184,87.588,184,87.856,184,89.034,184,87.487,184,88.917,184,88.8,1,False
86.482,185,88.223,185,86.782,185,87.901,185,88.094,185,87.586,185,86.875,1,False
85.655,186,86.142,186,86.288,186,85.252,186,86.281,186,86.018,186,86.813,1,False
87.205,187,88.893,187,87.833,187,87.863,187,87.843,187,87.802,187,88.051,1,False
83.718,188,83.961,188,83.766,188,81.902,188,83.961,188,81.002,188,83.917,1,False
85.761,189,84.895,189,83.701,189,83.651,189,84.728,189,83.864,189,85.002,1,False
87.081,190,87.329,190,87.004,190,87.335,190,84.001,190,87.189,190,87.039,1,False
87.049,191,85.365,191,86.613,191,87.351,191,84.992,191,87.437,191,87.148,1,False
85.947,192,85.444,192,86.282,192,86.099,192,85.57,192,85.131,192,86.114,1,False
87.271,193,87.376,193,87.789,193,90.066,193,87.546,193,89.895,193,88.107,1,False
86.952,194,86.952,194,86.859,194,86.806,194,86.952,194,86.806,194,86.798,1,False
87.259,195,87.513,195,88.245,195,88.496,195,87.435,195,87.096,195,87.156,1,False
86.274,196,87.391,196,86.998,196,87.006,196,87.152,196,86.664,196,86.824,1,False
86.849,197,88.241,197,85.753,197,86.243,197,87.898,197,87.064,197,87.223,1,False
88.391,198,88.043,198,88.946,198,87.946,198,88.043,198,89.096,198,88.724,1,False
82.913,199,83.436,199,83.161,199,79.207,199,83.593,199,79.635,199,83.161,1,False
86.826,200,83.777,200,87.306,200,88.869,200,83.498,200,88.896,200,88.163,1,False
85.517,201,87.508,201,85.02,201,85.26,201,87.548,201,86.133,201,84.801,1,False
85.278,202,87.09,202,86.151,202,82.567,202,87.158,202,82.63,202,86.252,1,False
87.0,203,87.193,203,86.995,203,86.776,203,87.192,203,86.811,203,86.885,1,False
87.105,204,87.663,204,87.633,204,88.556,204,87.836,204,88.118,204,88.051,1,False
88.136,205,88.388,205,88.614,205,85.545,205,88.388,205,85.66,205,88.057,1,False
88.12,206,87.831,206,88.62,206,88.022,206,87.831,206,87.901,206,88.544,1,False
88.451,207,88.606,207,88.342,207,88.51,207,88.606,207,88.451,207,87.269,1,False
85.726,208,85.543,208,84.259,208,85.427,208,85.659,208,85.437,208,85.946,1,False
86.419,209,86.007,209,86.148,209,86.73,209,86.427,209,87.76,209,87.084,1,False
84.618,210,86.871,210,84.512,210,84.371,210,86.971,210,85.687,210,85.687,1,False
85.735,211,86.584,211,85.615,211,86.537,211,86.587,211,86.533,211,86.775,1,False
88.853,212,88.118,212,88.166,212,88.716,212,88.509,212,88.575,212,88.122,1,False
88.939,213,88.987,213,89.468,213,89.255,213,88.793,213,89.308,213,89.588,1,False
86.075,214,86.489,214,86.51,214,86.801,214,86.56,214,86.494,214,86.527,1,False
85.515,215,85.899,215,84.801,215,85.934,215,85.893,215,86.498,215,85.899,1,False
87.241,216,87.958,216,87.138,216,86.872,216,88.21,216,86.731,216,87.108,1,False
87.076,217,87.058,217,87.055,217,86.93,217,87.058,217,86.386,217,87.311,1,False
88.695,218,87.644,218,88.722,218,88.59,218,88.569,218,88.617,218,89.059,1,False
87.478,219,87.02,219,87.285,219,86.769,219,88.071,219,87.577,219,88.066,1,False
85.195,220,81.439,220,86.378,220,86.948,220,82.924,220,86.744,220,88.466,1,False
85.919,221,86.603,221,86.099,221,86.432,221,86.588,221,86.499,221,86.518,1,False
82.349,222,84.825,222,81.85,222,81.517,222,84.258,222,81.699,222,83.926,1,False
84.816,223,85.007,223,85.346,223,81.132,223,85.007,223,81.561,223,85.365,1,False
84.963,224,85.472,224,85.171,224,85.535,224,85.107,224,85.276,224,85.371,1,False
84.493,225,87.333,225,84.493,225,83.5,225,87.068,225,87.448,225,87.25,1,False
86.3,226,85.277,226,85.834,226,85.613,226,85.335,226,85.288,226,85.834,1,False
86.848,227,86.14,227,85.954,227,86.629,227,86.242,227,86.511,227,86.256,1,False
84.23,228,84.255,228,83.714,228,85.027,228,84.255,228,85.411,228,84.915,1,False
89.288,229,89.34,229,89.784,229,87.794,229,89.544,229,88.052,229,89.219,1,False
87.269,230,87.516,230,87.787,230,87.565,230,86.918,230,88.757,230,88.053,1,False
87.483,231,85.459,231,86.034,231,87.684,231,85.555,231,87.622,231,85.326,1,False
85.261,232,86.257,232,84.94,232,85.672,232,86.779,232,86.361,232,87.58,1,False
85.879,233,85.996,233,85.879,233,85.601,233,85.996,233,85.354,233,85.996,1,False
82.896,234,83.643,234,83.886,234,83.975,234,85.366,234,83.964,234,83.903,1,False
84.163,235,83.708,235,84.199,235,83.569,235,83.62,235,83.568,235,83.909,1,False
84.261,236,84.931,236,83.484,236,83.326,236,84.789,236,83.327,236,86.367,1,False
87.386,237,87.661,237,87.236,237,87.339,237,87.661,237,88.077,237,87.819,1,False
86.278,238,86.979,238,86.174,238,86.692,238,85.585,238,87.123,238,87.894,1,False
81.542,239,81.915,239,82.077,239,86.16,239,82.156,239,86.249,239,81.922,1,False
86.616,240,86.674,240,86.674,240,86.616,240,87.004,240,87.102,240,87.102,1,False
86.51,241,86.99,241,87.147,241,87.024,241,87.507,241,87.637,241,86.871,1,False
86.356,242,88.89,242,86.74,242,87.186,242,88.688,242,86.937,242,88.509,1,False
85.96,243,86.27,243,86.067,243,84.782,243,86.179,243,85.009,243,87.552,1,False
86.54,244,87.112,244,86.523,244,88.949,244,87.031,244,89.833,244,86.941,1,False
86.275,245,86.702,245,86.197,245,85.719,245,86.709,245,85.554,245,87.097,1,False
85.633,246,87.539,246,85.497,246,85.233,246,87.596,246,85.476,246,88.11,1,False
86.104,247,87.205,247,86.432,247,86.94,247,87.269,247,86.94,247,87.661,1,False
84.071,248,86.057,248,83.778,248,84.523,248,85.62,248,84.428,248,84.087,1,False
86.748,249,86.526,249,86.732,249,86.702,249,86.396,249,86.671,249,86.434,1,False
89.314,250,88.125,250,88.184,250,87.09,250,88.125,250,87.432,250,87.955,1,False
86.725,251,87.108,251,86.76,251,86.848,251,87.068,251,86.94,251,86.977,1,False
85.891,252,86.751,252,86.372,252,85.952,252,86.751,252,86.262,252,87.05,1,False
85.313,253,85.256,253,84.934,253,85.052,253,85.256,253,84.512,253,85.001,1,False
85.772,254,85.889,254,85.357,254,85.342,254,85.889,254,85.335,254,86.104,1,False
85.533,255,86.226,255,85.275,255,85.553,255,86.216,255,86.213,255,86.007,1,False
87.0,256,87.532,256,87.136,256,86.809,256,87.398,256,87.551,256,87.796,1,False
84.65,257,87.632,257,85.011,257,84.141,257,87.252,257,84.386,257,85.978,1,False
88.16,258,87.58,258,88.321,258,87.408,258,87.564,258,86.638,258,88.001,1,False
82.615,259,86.808,259,82.532,259,83.832,259,86.769,259,84.715,259,83.852,1,False
87.532,0,87.704,0,87.857,0,87.742,0,87.704,0,86.694,0,87.661,0,True
85.399,1,85.149,1,85.317,1,85.307,1,85.397,1,84.797,1,86.124,0,True
84.991,2,85.208,2,84.818,2,85.289,2,85.131,2,85.036,2,85.262,0,True
81.9,3,83.866,3,82.528,3,83.996,3,83.916,3,84.11,3,84.11,0,True
88.353,4,87.407,4,87.816,4,87.265,4,87.407,4,87.391,4,87.728,0,True
85.843,5,85.276,5,85.985,5,82.553,5,85.072,5,82.642,5,85.299,0,True
83.659,6,83.317,6,82.862,6,83.076,6,83.317,6,82.678,6,82.949,0,True
81.54,7,81.54,7,82.861,7,77.574,7,82.689,7,76.993,7,84.901,0,True
85.031,8,84.373,8,85.11,8,84.604,8,84.373,8,84.447,8,84.354,0,True
83.575,9,84.58,9,83.593,9,83.55,9,84.55,9,84.092,9,84.644,0,True
86.609,10,86.343,10,85.503,10,85.404,10,86.145,10,84.129,10,85.886,0,True
83.089,11,82.335,11,82.861,11,81.461,11,82.371,11,81.689,11,81.794,0,True
86.055,12,86.512,12,86.042,12,85.358,12,86.339,12,85.208,12,86.042,0,True
83.3,13,82.658,13,82.788,13,83.625,13,82.658,13,83.368,13,82.585,0,True
83.078,14,84.217,14,83.078,14,83.864,14,84.217,14,84.174,14,84.543,0,True
83.22,15,83.296,15,83.255,15,82.965,15,83.296,15,83.049,15,83.647,0,True
85.354,16,86.835,16,85.526,16,85.751,16,86.835,16,85.708,16,85.289,0,True
84.329,17,84.356,17,86.002,17,84.194,17,85.477,17,84.43,17,85.456,0,True
84.028,18,83.346,18,83.488,18,84.666,18,83.575,18,84.681,18,83.708,0,True
84.415,19,83.419,19,84.939,19,76.834,19,85.87,19,76.546,19,84.972,0,True
84.23,20,84.134,20,84.049,20,85.092,20,84.134,20,86.069,20,84.728,0,True
86.752,21,87.69,21,87.528,21,83.694,21,87.64,21,83.571,21,87.195,0,True
86.728,22,87.283,22,86.724,22,86.728,22,87.283,22,87.283,22,87.161,0,True
86.202,23,86.697,23,86.502,23,86.321,23,86.193,23,86.474,23,86.422,0,True
83.858,24,84.135,24,84.193,24,83.585,24,84.135,24,83.669,24,84.16,0,True
85.068,25,84.807,25,85.603,25,85.345,25,84.807,25,85.164,25,85.59,0,True
88.705,26,89.192,26,88.988,26,88.926,26,88.822,26,89.057,26,88.557,0,True
83.726,27,83.919,27,76.828,27,84.296,27,80.823,27,79.505,27,76.828,0,True
86.303,28,86.491,28,86.303,28,87.178,28,86.831,28,86.86,28,88.333,0,True
84.029,29,83.789,29,83.622,29,84.028,29,83.789,29,84.663,29,83.969,0,True
85.887,30,85.518,30,85.887,30,84.331,30,85.72,30,83.863,30,85.774,0,True
83.042,31,83.008,31,83.024,31,83.005,31,83.012,31,82.622,31,82.791,0,True
83.585,32,87.039,32,85.234,32,84.899,32,87.293,32,85.069,32,85.437,0,True
85.73,33,85.5,33,85.789,33,85.391,33,85.63,33,85.105,33,85.269,0,True
85.416,34,84.652,34,85.416,34,85.922,34,84.652,34,85.236,34,85.301,0,True
82.666,35,82.927,35,82.769,35,81.881,35,82.927,35,81.579,35,83.022,0,True
83.402,36,85.012,36,84.797,36,85.402,36,85.136,36,84.661,36,84.438,0,True
85.924,37,86.129,37,85.908,37,86.947,37,86.047,37,86.481,37,85.911,0,True
86.016,38,86.894,38,87.027,38,88.214,38,86.651,38,87.544,38,87.101,0,True
85.483,39,86.259,39,85.97,39,85.521,39,86.411,39,85.996,39,86.115,0,True
85.582,40,85.892,40,85.627,40,84.524,40,85.892,40,84.405,40,85.722,0,True
83.506,41,82.723,41,82.559,41,83.144,41,82.254,41,82.172,41,82.485,0,True
85.923,42,86.047,42,85.923,42,86.055,42,86.047,42,86.131,42,86.173,0,True
86.366,43,86.462,43,86.412,43,86.695,43,86.458,43,86.695,43,86.776,0,True
87.515,44,87.468,44,87.638,44,87.438,44,87.322,44,87.423,44,87.167,0,True
84.988,45,85.331,45,84.988,45,84.965,45,85.345,45,85.302,45,85.539,0,True
86.647,46,86.466,46,86.562,46,81.986,46,86.466,46,82.3,46,86.235,0,True
85.901,47,87.071,47,85.915,47,85.601,47,86.673,47,86.059,47,85.745,0,True
84.981,48,84.915,48,84.864,48,85.159,48,84.931,48,84.607,48,84.975,0,True
84.605,49,85.45,49,84.46,49,86.246,49,85.579,49,85.131,49,85.367,0,True
82.694,50,82.049,50,80.562,50,81.642,50,82.75,50,82.583,50,80.927,0,True
85.894,51,85.719,51,85.915,51,85.753,51,85.867,51,85.637,51,85.795,0,True
