CV DoorDash Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,4o_on_35,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
82.786,88,81.69,88,82.391,88,82.718,88,82.15,88,82.941,88,81.704,0,True
79.553,89,78.758,89,79.494,89,79.483,89,80.526,89,79.235,89,79.364,0,True
81.584,90,81.471,90,81.526,90,81.48,90,81.526,90,81.396,90,81.122,0,True
81.093,91,83.193,91,81.132,91,80.755,91,83.206,91,80.974,91,82.079,0,True
82.106,92,81.788,92,81.909,92,82.168,92,81.648,92,82.102,92,82.047,0,True
79.476,93,78.348,93,79.525,93,79.375,93,78.141,93,79.513,93,78.477,0,True
82.326,94,82.569,94,82.169,94,79.413,94,82.569,94,79.965,94,82.107,0,True
83.568,95,85.345,95,83.61,95,84.106,95,84.12,95,83.503,95,85.494,0,True
79.559,96,79.403,96,79.338,96,76.448,96,79.403,96,76.187,96,79.191,0,True
80.587,97,81.486,97,80.828,97,82.282,97,81.27,97,82.082,97,82.114,0,True
80.488,98,80.093,98,80.527,98,80.615,98,80.096,98,80.076,98,79.905,0,True
83.117,99,81.631,99,82.933,99,81.867,99,81.631,99,81.905,99,82.063,0,True
83.865,100,83.421,100,83.421,100,85.225,100,83.613,100,85.282,100,82.909,0,True
80.395,101,80.395,101,80.395,101,80.932,101,80.999,101,81.081,101,80.487,0,True
82.778,102,82.619,102,82.561,102,82.383,102,82.864,102,82.807,102,82.463,0,True
83.072,103,82.191,103,83.189,103,80.785,103,82.053,103,81.259,103,82.128,0,True
80.184,104,83.422,104,81.02,104,80.322,104,83.422,104,84.159,104,80.92,0,True
80.966,105,80.943,105,80.966,105,81.165,105,80.291,105,80.81,105,81.274,0,True
84.034,106,82.714,106,83.434,106,82.858,106,82.714,106,83.969,106,83.813,0,True
83.817,107,80.255,107,83.771,107,79.514,107,81.063,107,76.342,107,81.504,0,True
83.206,108,84.067,108,83.206,108,83.206,108,84.067,108,83.934,108,84.028,0,True
83.286,109,83.454,109,83.276,109,83.224,109,83.69,109,83.327,109,83.913,0,True
82.0,110,82.094,110,82.401,110,82.354,110,82.094,110,82.827,110,81.955,0,True
80.782,111,81.421,111,81.324,111,81.693,111,81.421,111,81.675,111,81.299,0,True
81.228,112,81.593,112,81.201,112,80.862,112,81.593,112,80.862,112,81.593,0,True
81.319,113,80.49,113,81.304,113,81.431,113,80.51,113,81.155,113,80.37,0,True
84.652,114,84.013,114,84.102,114,84.846,114,84.013,114,83.849,114,84.102,0,True
82.452,115,82.979,115,82.413,115,82.352,115,83.533,115,81.741,115,82.33,0,True
80.006,116,82.883,116,79.776,116,79.552,116,82.883,116,82.692,116,82.774,0,True
82.72,117,83.124,117,83.124,117,83.124,117,83.16,117,83.185,117,83.16,0,True
81.867,118,81.998,118,81.894,118,81.695,118,81.672,118,81.508,118,82.091,0,True
82.569,119,82.552,119,82.561,119,82.536,119,82.91,119,83.314,119,83.06,0,True
82.335,120,81.356,120,82.335,120,81.879,120,81.627,120,81.214,120,81.702,0,True
81.03,121,80.353,121,80.19,121,80.495,121,80.374,121,81.381,121,80.881,0,True
80.357,122,80.56,122,80.634,122,80.527,122,80.56,122,80.504,122,80.576,0,True
82.646,123,83.101,123,83.061,123,82.646,123,83.9,123,83.094,123,84.161,0,True
83.884,124,82.499,124,84.118,124,82.635,124,82.499,124,82.638,124,84.044,0,True
81.79,125,83.865,125,81.807,125,82.148,125,83.686,125,82.728,125,83.849,0,True
79.733,126,82.355,126,79.654,126,80.003,126,82.355,126,79.289,126,81.951,0,True
81.791,127,81.598,127,81.807,127,81.907,127,81.598,127,82.578,127,81.037,0,True
82.071,128,81.21,128,81.039,128,80.804,128,81.197,128,80.657,128,80.776,0,True
81.465,129,81.401,129,80.949,129,81.758,129,81.376,129,81.575,129,81.48,0,True
78.924,130,78.965,130,81.239,130,80.566,130,83.442,130,80.886,130,80.692,0,False
81.485,131,81.411,131,81.369,131,80.117,131,83.019,131,80.164,131,81.411,0,False
82.364,132,82.455,132,82.554,132,82.543,132,82.471,132,82.202,132,82.393,0,False
82.218,133,80.498,133,82.036,133,81.982,133,80.498,133,81.637,133,80.39,0,False
81.841,134,81.212,134,81.801,134,81.836,134,81.243,134,81.256,134,81.759,0,False
79.504,135,79.81,135,79.672,135,79.513,135,81.032,135,81.417,135,80.785,0,False
84.673,136,84.726,136,84.276,136,84.673,136,84.726,136,84.705,136,84.765,0,False
83.696,137,83.619,137,83.696,137,83.377,137,83.671,137,83.155,137,83.51,0,False
84.104,138,83.134,138,83.584,138,83.773,138,83.056,138,83.773,138,82.215,0,False
81.975,139,82.008,139,82.185,139,82.103,139,81.36,139,81.763,139,81.603,0,False
80.005,140,80.744,140,80.443,140,80.507,140,80.834,140,81.431,140,81.57,0,False
83.199,141,83.5,141,81.139,141,81.533,141,83.5,141,81.607,141,81.328,0,False
83.643,142,84.037,142,83.812,142,83.454,142,82.997,142,83.84,142,83.337,0,False
82.481,143,82.093,143,82.957,143,78.609,143,81.729,143,82.029,143,82.548,0,False
80.157,144,80.64,144,80.28,144,76.108,144,80.049,144,76.004,144,80.804,0,False
83.096,145,82.604,145,83.504,145,83.538,145,82.604,145,83.564,145,83.348,0,False
79.146,146,79.394,146,79.541,146,79.22,146,79.394,146,80.112,146,79.209,0,False
84.025,147,81.439,147,82.391,147,82.615,147,83.124,147,82.574,147,82.841,0,False
79.069,148,83.45,148,78.701,148,79.069,148,83.42,148,82.649,148,78.595,0,False
82.737,149,82.341,149,82.067,149,82.243,149,81.736,149,82.265,149,81.402,0,False
80.573,150,83.267,150,80.594,150,81.118,150,83.267,150,81.085,150,81.637,0,False
82.76,151,83.596,151,83.519,151,78.961,151,83.597,151,83.201,151,84.966,0,False
82.256,152,81.761,152,82.206,152,81.768,152,81.929,152,80.941,152,81.755,0,False
86.182,153,83.521,153,83.869,153,83.843,153,83.444,153,83.86,153,83.783,0,False
82.858,154,81.422,154,82.697,154,75.686,154,81.422,154,76.17,154,82.697,0,False
82.296,155,82.408,155,82.667,155,81.726,155,82.408,155,81.787,155,82.778,0,False
81.746,156,81.972,156,81.737,156,81.818,156,81.897,156,81.765,156,82.024,0,False
82.916,157,82.55,157,83.154,157,82.916,157,82.741,157,82.28,157,83.224,0,False
84.256,158,83.093,158,82.211,158,82.882,158,82.48,158,82.541,158,83.683,0,False
83.029,159,83.279,159,83.34,159,84.118,159,83.075,159,82.681,159,82.177,0,False
81.555,160,82.141,160,81.462,160,81.721,160,82.141,160,82.141,160,82.141,0,False
83.281,161,83.799,161,82.831,161,82.583,161,83.799,161,82.583,161,82.324,0,False
81.133,162,81.465,162,82.895,162,82.093,162,81.57,162,82.438,162,84.008,0,False
81.189,163,81.012,163,80.802,163,81.958,163,81.187,163,82.003,163,81.081,0,False
79.75,164,83.135,164,79.653,164,80.974,164,82.991,164,81.866,164,80.517,0,False
81.353,165,82.445,165,81.277,165,81.194,165,82.664,165,83.744,165,81.489,0,False
79.882,166,80.787,166,79.895,166,76.859,166,81.398,166,75.971,166,80.918,0,False
81.918,167,81.431,167,81.732,167,81.642,167,81.44,167,81.49,167,81.603,0,False
80.595,168,82.155,168,82.045,168,82.165,168,82.155,168,82.139,168,82.051,0,False
80.154,169,78.189,169,81.441,169,81.126,169,78.189,169,81.097,169,81.244,0,False
81.985,170,78.56,170,82.822,170,81.606,170,78.08,170,84.193,170,81.368,0,False
80.972,171,78.974,171,80.188,171,80.979,171,78.329,171,79.227,171,79.038,0,False
79.699,172,79.239,172,79.171,172,78.849,172,79.537,172,79.626,172,79.477,0,False
80.966,173,80.501,173,81.211,173,77.017,173,81.529,173,77.065,173,80.574,0,False
80.857,174,81.133,174,80.132,174,79.809,174,81.133,174,80.027,174,80.379,0,False
80.844,175,81.305,175,80.828,175,81.506,175,81.305,175,81.352,175,81.147,0,False
82.501,176,82.501,176,82.501,176,77.068,176,82.501,176,77.068,176,84.381,0,False
80.938,177,77.277,177,81.014,177,82.464,177,77.475,177,82.283,177,76.921,0,False
80.67,178,80.03,178,80.571,178,76.276,178,79.481,178,75.059,178,81.309,0,False
81.013,179,82.281,179,80.073,179,75.411,179,82.281,179,77.311,179,79.622,0,False
81.797,180,81.954,180,81.783,180,81.825,180,81.794,180,81.703,180,81.519,0,False
81.672,181,81.96,181,81.368,181,80.648,181,81.8,181,80.606,181,81.133,0,False
81.878,182,77.274,182,82.482,182,76.721,182,76.922,182,77.405,182,82.857,0,False
81.54,183,78.709,183,82.117,183,79.393,183,78.449,183,82.931,183,82.288,0,False
82.28,184,81.921,184,82.063,184,83.645,184,81.656,184,83.457,184,83.222,0,False
83.528,185,84.072,185,83.834,185,84.085,185,84.006,185,84.067,185,83.079,0,False
81.414,186,81.614,186,81.274,186,81.092,186,81.678,186,81.795,186,81.86,0,False
84.247,187,85.994,187,84.114,187,82.86,187,85.002,187,82.899,187,84.735,0,False
82.51,188,82.685,188,82.403,188,80.575,188,82.685,188,79.774,188,82.357,0,False
80.59,189,78.968,189,78.011,189,78.211,189,78.948,189,78.412,189,79.153,0,False
83.393,190,83.678,190,83.554,190,83.232,190,79.371,190,82.687,190,83.574,0,False
82.987,191,80.04,191,81.942,191,81.799,191,79.617,191,81.83,191,82.651,0,False
83.22,192,82.995,192,83.434,192,83.161,192,83.055,192,82.439,192,82.659,0,False
83.091,193,82.699,193,82.931,193,84.508,193,82.785,193,83.977,193,83.464,0,False
83.95,194,83.95,194,83.823,194,83.995,194,83.95,194,83.995,194,83.784,0,False
81.955,195,82.179,195,82.575,195,83.534,195,81.995,195,81.649,195,81.901,0,False
81.792,196,82.545,196,82.235,196,81.401,196,81.899,196,81.252,196,81.9,0,False
83.166,197,83.448,197,82.101,197,82.556,197,83.457,197,83.033,197,82.808,0,False
83.953,198,83.582,198,84.734,198,83.411,198,83.582,198,84.429,198,84.185,0,False
79.294,199,79.547,199,79.78,199,75.057,199,79.731,199,75.659,199,79.78,0,False
81.657,200,78.382,200,82.17,200,82.373,200,77.661,200,82.254,200,82.843,0,False
82.831,201,84.289,201,82.27,201,82.809,201,84.17,201,83.828,201,82.199,0,False
80.644,202,82.995,202,81.095,202,79.366,202,82.967,202,79.614,202,81.14,0,False
80.623,203,80.686,203,80.764,203,80.413,203,80.725,203,80.756,203,81.024,0,False
81.497,204,81.838,204,81.601,204,83.019,204,82.032,204,82.5,204,82.116,0,False
84.38,205,84.299,205,84.787,205,81.56,205,84.299,205,81.787,205,83.753,0,False
85.186,206,85.063,206,85.695,206,85.245,206,85.063,206,85.124,206,85.787,0,False
82.639,207,82.692,207,82.564,207,82.59,207,82.692,207,82.436,207,81.379,0,False
80.588,208,80.384,208,79.367,208,80.407,208,80.672,208,80.369,208,80.221,0,False
82.429,209,81.909,209,82.054,209,81.633,209,81.832,209,81.823,209,82.396,0,False
82.606,210,82.507,210,82.484,210,82.355,210,82.494,210,83.365,210,83.365,0,False
83.357,211,84.743,211,83.523,211,84.074,211,84.728,211,84.346,211,84.606,0,False
83.24,212,82.857,212,82.877,212,82.941,212,83.206,212,82.731,212,83.244,0,False
83.873,213,82.474,213,84.289,213,82.644,213,82.394,213,82.758,213,83.242,0,False
82.867,214,83.084,214,83.151,214,83.288,214,82.961,214,82.802,214,82.923,0,False
81.447,215,82.273,215,81.037,215,81.57,215,82.182,215,82.703,215,82.273,0,False
82.285,216,82.493,216,82.024,216,80.76,216,82.35,216,80.806,216,81.262,0,False
83.004,217,82.956,217,82.838,217,81.53,217,82.956,217,81.279,217,83.418,0,False
83.022,218,81.646,218,82.692,218,82.94,218,82.515,218,82.745,218,82.964,0,False
82.58,219,82.048,219,82.214,219,81.828,219,82.796,219,82.309,219,82.52,0,False
81.423,220,76.713,220,81.829,220,81.422,220,76.766,220,81.269,220,83.265,0,False
81.285,221,81.463,221,81.266,221,81.423,221,81.43,221,81.357,221,81.393,0,False
81.675,222,82.85,222,80.97,222,81.768,222,82.559,222,81.887,222,81.925,0,False
82.292,223,82.324,223,82.619,223,79.577,223,82.324,223,80.055,223,82.682,0,False
80.963,224,80.844,224,81.1,224,80.992,224,80.567,224,80.98,224,81.431,0,False
79.789,225,84.088,225,79.789,225,79.5,225,83.914,225,83.557,225,84.144,0,False
82.329,226,81.341,226,82.03,226,81.567,226,81.18,226,81.485,226,82.03,0,False
81.789,227,80.319,227,80.811,227,80.35,227,80.246,227,80.169,227,80.232,0,False
83.174,228,83.161,228,82.58,228,83.877,228,83.161,228,84.029,228,83.451,0,False
83.861,229,83.006,229,83.91,229,81.381,229,83.1,229,81.518,229,83.515,0,False
81.519,230,81.737,230,81.891,230,81.545,230,81.119,230,82.486,230,82.047,0,False
83.057,231,81.176,231,81.623,231,83.44,231,81.298,231,83.3,231,81.008,0,False
79.999,232,80.894,232,79.889,232,80.429,232,80.858,232,80.974,232,82.678,0,False
82.228,233,82.394,233,82.228,233,82.256,233,82.394,233,81.611,233,82.394,0,False
79.608,234,80.063,234,80.305,234,80.216,234,79.962,234,79.852,234,79.989,0,False
79.287,235,78.83,235,79.282,235,78.275,235,78.718,235,78.03,235,78.661,0,False
79.764,236,80.327,236,78.958,236,78.721,236,80.172,236,78.621,236,81.597,0,False
82.276,237,81.291,237,82.25,237,82.125,237,81.291,237,81.728,237,81.781,0,False
82.586,238,83.396,238,82.598,238,83.014,238,82.628,238,83.389,238,83.914,0,False
76.171,239,76.418,239,76.645,239,80.186,239,76.447,239,80.466,239,76.496,0,False
80.608,240,80.602,240,80.602,240,80.608,240,80.336,240,80.442,240,80.442,0,False
80.536,241,80.947,241,80.937,241,80.88,241,81.314,241,81.359,241,80.871,0,False
80.836,242,83.439,242,81.195,242,81.496,242,83.347,242,81.432,242,82.244,0,False
81.783,243,81.47,243,82.07,243,80.197,243,81.424,243,80.362,243,82.377,0,False
79.756,244,80.039,244,79.79,244,82.844,244,80.06,244,83.7,244,80.026,0,False
80.56,245,81.061,245,80.303,245,80.081,245,81.059,245,79.84,245,81.11,0,False
79.978,246,81.508,246,80.033,246,80.302,246,81.594,246,80.23,246,82.159,0,False
79.878,247,81.513,247,80.057,247,80.758,247,81.74,247,80.758,247,81.813,0,False
79.187,248,81.187,248,78.648,248,79.818,248,80.698,248,79.11,248,78.953,0,False
82.265,249,81.978,249,82.237,249,81.37,249,81.841,249,81.34,249,82.154,0,False
84.151,250,83.352,250,82.939,250,81.896,250,83.352,250,81.924,250,82.993,0,False
82.052,251,82.621,251,82.048,251,83.508,251,82.73,251,83.497,251,82.449,0,False
82.626,252,82.511,252,83.498,252,83.222,252,82.511,252,83.316,252,82.911,0,False
80.318,253,79.883,253,79.818,253,79.99,253,79.883,253,79.541,253,79.692,0,False
79.609,254,79.615,254,79.142,254,78.772,254,79.615,254,78.775,254,79.763,0,False
80.449,255,80.885,255,80.362,255,80.517,255,80.808,255,80.857,255,80.796,0,False
81.223,256,81.501,256,81.389,256,81.193,256,81.501,256,81.439,256,81.855,0,False
81.453,257,84.17,257,81.323,257,82.147,257,83.897,257,82.21,257,82.582,0,False
83.655,258,82.403,258,82.885,258,82.137,258,82.403,258,81.29,258,82.572,0,False
78.761,259,82.143,259,78.76,259,79.725,259,82.138,259,80.178,259,79.462,0,False
84.697,0,84.504,0,84.737,0,84.52,0,84.504,0,83.814,0,84.451,1,True
84.263,1,84.008,1,84.095,1,84.083,1,84.775,1,83.747,1,85.275,1,True
84.452,2,84.717,2,84.489,2,84.537,2,84.533,2,84.418,2,84.714,1,True
81.291,3,82.093,3,81.463,3,81.486,3,81.952,3,81.645,3,82.368,1,True
85.392,4,83.583,4,84.064,4,83.734,4,83.583,4,83.492,4,83.755,1,True
84.744,5,84.086,5,84.756,5,81.926,5,83.836,5,82.361,5,83.985,1,True
82.381,6,81.419,6,81.119,6,81.405,6,81.419,6,81.341,6,81.288,1,True
79.646,7,79.646,7,80.841,7,75.19,7,80.542,7,74.948,7,80.852,1,True
83.931,8,83.65,8,83.953,8,84.163,8,83.65,8,84.05,8,83.709,1,True
81.915,9,81.927,9,82.07,9,81.467,9,81.965,9,81.646,9,82.234,1,True
83.65,10,83.184,10,82.159,10,81.824,10,83.066,10,81.377,10,82.446,1,True
81.912,11,81.161,11,81.518,11,80.3,11,81.194,11,80.73,11,81.171,1,True
84.526,12,84.48,12,84.595,12,84.827,12,84.671,12,84.587,12,84.595,1,True
82.595,13,82.041,13,81.928,13,83.694,13,82.041,13,83.765,13,81.945,1,True
81.641,14,81.966,14,81.641,14,82.035,14,81.966,14,82.152,14,81.856,1,True
81.772,15,81.374,15,81.884,15,82.123,15,81.374,15,81.949,15,82.314,1,True
83.156,16,85.066,16,83.224,16,83.398,16,85.066,16,83.312,16,82.605,1,True
82.108,17,83.073,17,84.473,17,83.405,17,84.562,17,83.321,17,83.867,1,True
82.958,18,82.135,18,82.468,18,83.72,18,82.888,18,83.809,18,82.102,1,True
82.428,19,81.387,19,83.306,19,75.188,19,84.728,19,74.809,19,82.45,1,True
83.442,20,83.017,20,82.929,20,83.476,20,83.017,20,84.312,20,83.876,1,True
83.853,21,85.528,21,85.816,21,80.309,21,85.334,21,80.379,21,85.224,1,True
84.727,22,84.98,22,84.879,22,84.727,22,84.98,22,84.934,22,85.108,1,True
84.16,23,84.39,23,84.395,23,84.327,23,84.178,23,84.215,23,84.232,1,True
82.019,24,82.246,24,82.585,24,81.899,24,82.246,24,81.726,24,82.697,1,True
82.735,25,82.458,25,82.898,25,82.928,25,82.458,25,82.548,25,82.759,1,True
84.774,26,85.248,26,84.761,26,84.861,26,84.544,26,85.034,26,84.102,1,True
79.866,27,81.05,27,74.665,27,81.249,27,78.412,27,77.035,27,74.665,1,True
82.392,28,82.539,28,82.392,28,82.851,28,82.85,28,82.572,28,84.047,1,True
83.079,29,82.936,29,82.866,29,83.123,29,82.936,29,83.6,29,82.547,1,True
82.439,30,82.625,30,82.439,30,82.874,30,82.596,30,82.372,30,82.541,1,True
82.683,31,82.746,31,82.636,31,82.694,31,82.708,31,82.286,31,82.426,1,True
81.618,32,83.875,32,82.019,32,83.587,32,84.243,32,83.872,32,82.113,1,True
84.304,33,84.123,33,84.42,33,83.66,33,84.286,33,83.63,33,84.028,1,True
84.006,34,82.995,34,84.006,34,84.059,34,82.995,34,83.255,34,83.538,1,True
83.638,35,83.767,35,83.992,35,82.173,35,83.767,35,82.032,35,84.015,1,True
83.066,36,83.602,36,83.303,36,83.729,36,83.294,36,82.654,36,82.805,1,True
84.024,37,84.147,37,83.949,37,85.927,37,84.09,37,85.18,37,83.3,1,True
83.645,38,85.063,38,84.618,38,85.109,38,85.018,38,84.739,38,84.426,1,True
84.2,39,84.851,39,83.836,39,84.484,39,84.998,39,85.212,39,83.827,1,True
83.173,40,83.395,40,83.178,40,83.263,40,83.395,40,82.849,40,83.108,1,True
81.402,41,80.459,41,80.671,41,81.206,41,80.119,41,80.046,41,80.579,1,True
84.164,42,84.59,42,84.164,42,84.106,42,84.59,42,84.462,42,84.652,1,True
84.62,43,84.508,43,84.614,43,84.636,43,85.161,43,84.636,43,84.773,1,True
84.791,44,84.975,44,85.118,44,85.477,44,84.704,44,85.403,44,84.813,1,True
84.281,45,84.753,45,84.281,45,84.108,45,84.655,45,84.885,45,85.272,1,True
85.279,46,85.721,46,85.23,46,81.236,46,85.721,46,81.638,46,85.736,1,True
84.178,47,83.874,47,83.544,47,83.698,47,83.817,47,83.723,47,83.608,1,True
83.708,48,83.325,48,83.678,48,82.521,48,83.176,48,82.074,48,83.258,1,True
85.171,49,84.966,49,85.06,49,85.879,49,84.945,49,85.289,49,84.978,1,True
81.908,50,81.298,50,80.043,50,81.051,50,81.725,50,81.526,50,80.514,1,True
82.91,51,82.985,51,83.238,51,82.522,51,83.144,51,82.451,51,83.085,1,True
