,resume
10,"навчився роботі з 3д без використання мокапів, зробив продукт, ціль якого - допомога людям, вирішив проблему безпеки і створив помічників для людей на Марсі та полегчиш процесс адаптації до колонізації, використовував продуктові практики, стровив додаток, веб версію, дизайн систему. Навчився адаптувати веб під мобільні пристрої, дізнався про практики е-комерс сайтів,  робити прототипи, користуватися варіативними компонентами, autolayouts, вмію користуватися нейромережами і генерувати графіку з відповідним промтом.
1. robotplus+ - продукт для оренди або купівлі робота для виконання задач на Марсі, на основі мобільного додатку, з продуктовою сторінкою у вебі. Використовував Blender, AI, Figma, Photoshop. 
2. beau.flo - e-commerce сайт для продажі одягу онлайн, використовував наявні патерни е-commerce, та інтегруваd айдентику бренду у візуальну концепцію.
AI, Figma, Photoshop, Illustrator.
3. velvet underground - website redesign -зробити більш сучасний та актуальний дизайн, розповісти про гурт, промоут фільму про вплив на музичну культуру, який справила Velvet Underground, розповісти про учасників гурту та про процес створення альбомів.
Figma, Photoshop, Midjourney.

Мета мого кар'єрного розвитку - стати успішним UX/UI дизайнером та розумітися на UX- ресьорчі, оволодіти бізнес процессами, навчитися використовувати метрики. Я маю сильний інтерес до розробки інноваційних інтерфейсів, 3д моделювання, та no-code технологій та використання дизайн-методологій для створення ефективних продуктів.
"
11,"
1)Дизайн банерів та головних екранів. Дана робота здійснювалася на такі тематики: книжковий магазин, магазин взуття, маркетингова конференція та продаж програм тренування.
2) Дизайн Coinvest Website. Створення дизайну сайту для компанії, що спеціалізується на інвестиціях.
3) Art Hall Tattoo Studio. Реалізація дизайну сайту для мережі тату салонів, та адаптивів під інші девайси.
4) Specialized bikes redesign. Редизайн багатосторінкового сайту для відомого бренду велосипедів та адаптація під мобільні та планшетні версії.
Розробка послуг для онлайн казино, ставок та товарів 18+"
12,"Створення сайтів різної складності від лендінгу до e-commerce. Проходження всіх етапів, починаючи з брифу до передачі макета в розробку.
1. Маю доствід зі стрворення сайтів-візитівок, e-commerce, корпоративних сайтів, а також, мобільних адаптацій до них.
2. Просунутий користувач Figma - від варфрейма до клікабельного протитипування.
3. Використовую в роботі Adobe Photoshop, Adobe Illustrator, Adobe After Effects
4. Маю базові знання HTML та СSS
"
13,"Три роки я займалась обробкою данних для тренування штучного інтеллекту, тому маю такі навички, як схильність до монотонної роботи, уважність до деталей, високий рівень самоорганізації тощо. Також я дуже відкрита та коммунікативна людина, спокійно сприймаю конструктивну критику. У 2023 році я пройшла курс Motion Design Basic в онлайн-школі SKVOT та отримала базові навички у роботі із Adobe After Effect & Cinema 4D, тепер мені цікаво розвиватись у напрямку Motion Design. 

I have been engaged in machine learning for three years, I am attentive to details and I am not afraid of monotonous work. I am a very communicative person. In 2023, I completed the Motion Design Basic course, gained the skills to work with programs such as Adobe After Effect & Cinema 4D. I am interested in developing in the field of Motion Design.
2018 - 2019 - Interior designer & Sales manager in Tiger 
Проектування та дизайн інтер’єрів житлових та 
промислових приміщень для клієнтів салону “Tiger 
modern з використанням продукції компанії, 
консультування клієнтів, робота з документацією.
2020 - 2023 - Data Quality Engeneer - SQUAD
Підтримка систем безпеки розумного дому, робота 
з данними, Machine Learning.
2023 - Graphic Designer - Motto
Графічний дизайнер мережі АЗС ""Motto"" - розробка баннерів, листівок, рекламних пропозицій, дизайн-концепція ""меню супутніх товарів"" для мережі АЗС.
Робота в компанії, яка дотримується корпоративної етики, має усі умови для комфортної праці і систему заоохочення співробітників, своєчасно виплачує заробітню платню. Креативна позиція. 

I am looking for a company that highly appreciates the potential of each employee, has a reward system, career growth, creativity and development are valued."
14,"
3-и роки працював графічним дизайнером на фрілансі, робив зовнішню та внутрішню рекламу, презентації та відео для компанії «Житлобуд-1»,

Також робив сайти на платформі Tilda (дизайн + розробка), завершив 6 сайтів (переважно зв'язані із ремонтом та нерухомістю), та підключав до них аналітику (Google Analytics + Tag Manager, Search Console).

В мене є невеликий досвід у роботі з HTML (emmet), CSS (sass, less), з роботою у Wordpress, трошки JavaScript та розумію принципи програмування (вивчав C++, C#, Java, Python, але не пишу на них).
Не планую працювати з поліграфією будь-якого типу."
15,"Робив декілька іконок для Google
4 роки (веб-сайти, банери, постери, графічний дизайн)
Замовлення на фріланс біржах (Fiverr, Upwork) від компаній 
з ЄС, США та ін.
-	Розробка візуально привабливих та функціональних веб-сайтів та інтерфейсів.
-	Створення макетів, дизайну графіки та інших елементів для веб-сайтів.
-	Оптимізація сайтів для SEO та підвищення їх конверсії.
-	Взаємодія з клієнтами та командою розробників для досягнення найкращих результатів.
Додаткові навички: 
-	Вміння працювати з програмами Figma, Adobe Photoshop, Illustrator та ін.
-	Розуміння основ дизайну та веб-розробки.
-	Досвід використання Webflow.
-	Володіння англійською мовою на рівні В1
Особливі якості: 
-	Креативність та інноваційність у роботі.
-	Стресостійкість, готовність до викликів і складних задач.
-	Організованість та відповідальність.
-	Здатність працювати у команді та під час індивідуальної роботи.
-	Вміння ефективно спілкуватись з клієнтами та колегами.
-	Праця на результат.
-	Спокійний характер та енергійність в роботі.
"
16,"
4 роки я навчалася в колледжі та  2 в університеті на спеціальностях ""Художня фотографія"" та ""Дизайн"", де здобула навички малювання, ретуші, графічного малюнку, візуальної побудови сайтів.

Згодом працювала в компанії ""Про Пост"" ретушером, де значно покращила свої знання програми Фотошоп і з впевненістю можу сказати, що знаю програму відмінно.

Працювала на фрілансі, виготовляючи логотипи, банери, візітівки.

Пройшла курс UI/UX дизайну від Beetroot академії, на якому навчилася незмінним принципам композиції, типографіки та поєднання кольорів. У результаті я можу створювати адаптивні веб-сайти для різних пристроїв.

Також я навчилася працювати з Figma. Викладач провів мене через основні етапи дизайнерського мислення, щоб, зрештою, я змогла створити привабливий і зручний веб-сайт. Можу показати свої проекти майбутнім роботодавцям.
"
17,"
Freelance
- Дизайн мобільних додатків
- Допомога в підтримуванні дизайн системи
- Дизайн лендінгів
- Створення банерів
Хочу зростати як спеціаліст, використовувати весь свій спектор знань та вмінь."
18,"On 05/21/23 I started my studies at GO IT
In the direction of UX/UI Design. So far I have no other achievements in the field of UX/UI Design

Я 21.05.23 почав навчання у GO IT
За напрямком UX/UI Design. Поки більше не маю ніяких досягнень у сфері UX/UI Design
I am working on creating a landing page. I want to get into a good company (people) where I can become a part of the team. To work, develop as a UX/UI Designer and gain invaluable experience.

Працю над створенням landing page. Хочу потрапити у гарну компанію (людей) де я зможу стати частиною команди. Працювати, розвиватися як UX/UI Design та здобувати безцінний досвід.
"
19,"After completing the ""Basics of Web Design"" course, I immediately created a site with a convenient interface. I have experience working with Figma. I am a quick learner and ready to complete tasks within agreed time frames.
-
-
По закінченню курсу ""Основи Web-дизайну"" я одразу створив сайт зі зручним інтерфейсом. Володію досвідом роботи з Figma. Я швидко навчаюсь новому та готовий виконувати завдання в узгоджені часові рамки.
I don't have any corporate experience yet, but I'm very motivated to improve my skills and gain knowledge. Completed higher education at the Lviv Polytechnic, majoring in Computer Science. After that, I completed the course ""Basics of Web Design"", where I created a site for describing motorcycles, which has a user-friendly interface and smooth animation. You can always ask a link to my work on Behance. I have a great interest in working and studying in this field!
-
-
Наразі ще не маю досвіду роботи в компаніях, але я дуже мотивований вдосконалювати свої навички та здобувати знання. Здобув повну вищу освіту у Львівській політехніці за спеціальністю: Комп'ютерні науки. Після цього закінчив курси ""Основи Web-дизайну"", де створив сайт для опису мотоциклів, що має зручний інтерфейс та плавну анімацію. У будь-який час можу надати вам посилання на мою роботу в Behance. Маю великий інтерес працювати та навчатись в цій сфері!
I really like the field of design. I would like to work in a modern company and create an interesting and high-quality product. It's great that I can help people from all over the world bring modern ideas to life.
-
-
Мені дуже подобається сфера дизайну. Я хотів би працювати в сучасній компанії і створювати цікавий та якісний продукт. Це чудово, що я можу допомагати людям з усього світу втілювати сучасні ідеї в життя."
20,"Courses:
UI/UX Design | Cursor Education Online School, Dec 2021 – Jul 2022
Inclusive Design | Projector Online School, Apr 2021
Web Design Beginning | Projector Online School, Feb-Apr 2021
Basics of Web Development | WayUp Online School, 2021
Introduction to User Experience Design | Georgia Institute of Technology, 2020
University: Doctor of Medicine
If you're looking for a diligent and motivated novice designer, you have already found :-)
Hello! My name is Yuliia. I’m a UI/UX designer with a base knowledge of front-end development.
My experience in creating websites is small, but I have got a passion doing this work at the highest level.
It is my aim and strong desire to grow as a professional among a great team of like-minded individuals.
___________________________________________________
Якщо ви розглядаєте до себе в команду старанного міцного та мотивованого дизайнера-початківця, це я :-)
Привіт! Мене звати Юля. Я UI/UX дизайнер з базовими знаннями з фронтенду.
Мій досвід у створенні інтерфейсів сайтів невеликий, але я захоплена цією роботою і готова навчатись.
Моя мета і сильне бажання будувати свою дизайнерську кар’єру серед чудової команди однодумців.
I am looking for a place where I could be useful with the skills I've already got as well as grow as a UI/UX designer among a great team of like-minded  individuals."
21,"
I worked for three more than 6 months, all the time I work on freelancing, I may have a lot of projects on some of them. 
In my work, I mainly use tools such as figma and photoshop, I also use google sheets and surveys to analyze the flow of users. Now I really want to find a job in a good company in order to be able to grow and develop in an experienced team. In the future, I want to learn graphic design.



Досвід роботи трохи більше 6 місяців, весь цей час працюю на фрілансі, маю наразі декілька проектів над якими працюю. У своїй роботі я переважно використовую такі інструменти як фігма і фотошоп, також я використовую гугл таблиці та опитування для проведення аналізу потоку користувачів. 
Зараз дуже хочу знайти роботу в хорошій компанії, щоб мати змогу рости та мати досвід роботи в колективі. У майбутньому хочу освоїти графічний дизайн.
"
22,"
Junior UI/UX Designer

IT School GOIT
 Курс ""UI/UX Designer"" Період: лютий 2023 – зараз.

Отримано навички роботи у програмі Figma, Adobe Illustrator, Adobe Photoshop. 
UI part:
-visual hierarchy;
-composition;
-coloristics;
-typography;
-UI Kit.

UX part:
-interactive prototype;
-responsive design.
-design thinking;

UX research:
- competitor analysis;
- personas and empathy maps;
- user flow;
- prototyping;


As a UI/UX designer, I'm open to opportunities, motivated, and ready to work. I have strong empathy and understand user needs. My skills and enthusiasm make me a valuable addition to any team.

My projects:
Redesign ""Ola-La""
The redesign of the cosmetic center resulted in the following conclusions:
- Enhanced aesthetics
- User-friendly interface
- Improved information organization
- Professionalism
- Enhanced customer communication

Next project - Team Project ""Be like at home""
As part of our team project, we collaborated on developing an innovative website for housing rentals, focusing on user convenience, attractive design, and reliable functionality.
During the team project, I honed my skills in teamwork, communication, and collaboration with colleagues. I also developed project management skills, including working with deadlines and taking responsibility for my role in the project. Through working with different experts, I gained additional knowledge and skills in website development and the use of relevant tools and technologies.
Є бажання працювати у дружньому колективі, де колеги поважають та допомагають один одному."
23,"Успішне проходження курсу ""Основи Web дизайну"" в ІТ школі ""Hillel"" Досвід роботи понад 6 місяців на фрілансі.
Junior UI/UX Designer з комерційним досвідом роботи. Маю досвід роботи понад 6 місяців на фрілансі. Наразі продовжую працювати на фріланс основі та прокачувати свої навички UI/UX Designer та маю велике бажання розвиватися в компанії задля концентрації уваги якісної роботи на посаді. 
Готова працювати помічником web дизайнера та UI/UX дизайнера задля напрацювання досвіду
Очікую нові цікаві проекти. Готова, що не завжди буде легко, так як маю ціль стати гарним спеціалістом у сфері UI/UX Designer"
24,"
Landing Page для продажу оригінального крісла Wassily Chair.
Було проведено аналіз конкурентів в ніші, створено юзер персон, юзер флоу, розроблено вайфрейм, дизайн сторінки та інтерактивний прототип.

Розроблення мобільного додатку на IOS, додаток на тему ""Бронювання готелів, житла"". Робота почалась з аналізу конкурентів, створенням юзер персон та юзер флоу. Після чого почався етап розробки вайрфреймів, а далі - дизайн. Заключенням було створення інтерактивного прототипу та оформлення кейсу на Біханс.
"
25,"Є сертифікат UX/UI designer-a компанія GO IT. 
Навчаюся на магістратурі в GO IT на Software Engineering. Вивчаю розробку та кожного дня покращую свои знання в айти. Маю навички роботи в команді.
Looking for a job as a Junior UX/UI designer
Preferably in a product based company
What I am looking for in my job:
1. I want to develop interface design.
2. I want to collaborate with professionals and to work in a friendly environment
3. To conduct user experience analytics.
4. Create Wareframes and detailed prototypes.
5. To work with such products as: Web-service, mobile applications, browsers, social networks and web resources
6. To create Customer Journey Map and User Journey Map
7. To work on an adaptive design
8. To develop design systems
I have been studying design for 1 year, during this time I made 3 projects.
1) Web service looks for pets 
2) Mob app for booking table in restaurant
3) Mob app for renting house or apartments
4)Adaptive web-site for English lessons
5)Adaptive web-site for web-studio

Tools
1) Figma
2)Adobe photoshop, Illustrator
3)VS Code
4)Protopie

I worked in these projects.
1.Research and reference 
2.HTML & CSS
3.Wireframing
4.User Interface Design
5.User Experience Design
6.CJM & UJM
7.Create Persons
8.MVP version 
9.Dashboards
10.Prototyping
11.Design systems & Ui kit
12.Adaptive design
13.Adaptive design using media
Для мене важливо:
  - Можливість розвиватися та покращувати свої навички у веб-дизайні.
  - Дружня команда та приємні люди в колективі."
26,"I studied Polish for two years and have a B2 certificate

Два роки вивчала польську мову, маю сертифікат на рівень B2
My name is Lilia. I'm a student studying UX design, and at the same time I work in a clothing store called 24 Colours as a customer service and consulting specialist (I also have a little bit of management experience). I am excited to follow the newest trends in social media. At the college where I am studying, I will get a lot of theoretical and practical knowledge, but I want more experience. Therefore, I am motivated to develop my skills and grow professionally. 

Мене звати Ліля. Я студентка, наразі вивчає UX design, а паралельно працюю в магазині одягу ""24 Colours"" - на посаді обслуговування та консультування клієнтів (також трохи знаюсь на менеджменті). З великим задоволенням спостерігаю за новітніми трендами в соцмережах. В коледжі де навчаюсь, отримаю багато теоретичних і практичних знань, але хочу більшого досвіду. Тому, мотивована розвивати свої вміння та рости професійно.
"
27,"Hard Skills: 
- Figma, 
- Adobe Illustrator, 
- Adobe Photoshop, 
- Adobe After Effect (створення легкої Анімації).

Soft Skills: 
- наглядність; 
- робота в команді; 
- виконавчість та націленість на результат; 
- почуття гумору, чесність, стресостійкість, пунктуальність; - здатність швидко навчатися; 
- прагнення до розвитку та професійного зростання.
Smartflowlabs
- UX/UI дизайнер: від створення прототипу сайту, вивчення бренду та конкурентів до кінцевого результату створення дизайну сайту (під керівництвом Senior Веб-дизайнера).
- Розробка додатків для магазинів Shopify (під керівництвом Senior Веб-дизайнера).
- Адаптивний дизайн сайту.
(Вересень 2022р. - Січень 2023р.)
"
28,"
- SMM-фахівчиня в ГО ""КМРУ"" (Конгрес молодіжних рад України) (червень 2022 - дотепер).
- Голова дизайнерського відділу Наукового товариства історичного факультету КНУ ім. Т. Шевченка (жовтень 2022 - дотепер).
"
29,"
Tepli obiymy
10.07.2023 - 25.07.2023
Розробка айдентики для інстаграм магазина в'язаних речей 
Проаналізувала конкуренцію та цільової аудиторії, виявила слабкі та сильні сторони продукції, розробила концепцію, створила логотип та оформила бірки для одягу.
Бажання розуміти процес розробки, а не лише створювати красиві інтерфейси, визначає мою мету.
Головне долучитися до внутрішньої команди дизайнерів, вчитися від професіоналів та брати участь у реальних проектах. Планую допомагати у рутинних завданнях, щоб в команди була змога  сконцентруватися на складніших аспектах."
30,"Я - кваліфікована UI/UX дизайнерка з досвідом роботи в проєкті, спрямованому на підтримку початківців в сфері ІТ, які не мають досвіду. Моя участь у цьому проєкті не тільки дозволила мені вдосконалити свої навички в області UI/UX дизайну, але й надала мені унікальну можливість розвивати навички управління проєктами, та здобути практичний досвід у командній роботі.
UI/UX Designer | Junfolio (з березня 2023 по тепер)
- Розробка концепції дизайну інтерфейса з урахуванням вимог замовника та потреб користувачів
- Створення макетів та прототипів
- Робота в команді, співпраця з розробниками та іншими членами команди
- Розробка адаптивного дизайну для планшету та мобільного телефону
- Проведення тестування інтерфейсу з допомогою користувачів
- Створення ui-kit та передача макету в розробку

Пет проєкти
1. Веб-сервіс створення сайтів для замовників
Проєкт, спрямований на підтримку початкових фахівців без досвіду, щоб допомогти їм реалізувати свої навички, працюючи в командах з реальними замовниками. Я брала активну участь у всіх етапах процесу дизайну, починаючи зі створення концептуальних вайрфреймів, розробки інтерактивних прототипів та остаточного дизайну. Моя робота включала створення високоякісних макетів, підбір іконок та графічних елементів, вибір кольорової палітри та шрифтів, а також визначення оптимальної структури і навігації. Я також активно використовувала компонентний підхід, створюючи компоненти для кнопок, полів введення, карточок та інших елементів, що полегшувало повторне використання. Робота в команді організована за методологією SCRUM з двотижневими спринтами і регулярними дейлі мітингами, на яких обговорюємо прогрес роботи, обмінюємося ідеями та вирішуємо питання для подальшого розвитку проєкту.

2. Мобільний додаток з резервування столиків
Додаток, який допомагатиме користувачам легко та швидко здійснювати бронювання столиків в улюблених закладах. Можливість шукати та переглядати інформацію про різні ресторани, меню, фотографії та розташування, обирати дату, час та кількість осіб, для яких вони хочуть забронювати столик. Для початку я провела аналіз, який допоміг мені зрозуміти, хто буде цільовою аудиторією, які їх потреби та очікування від додатку, склала мапу сайту, побудувала User flow. Розробила вайрфрейми та прототипи, які допомогли визначити візуальне розміщення елементів, оптимальну структуру та навігацію додатка. Розробила високоякісні макети, включаючи вибір кольорової палітри, шрифтів, графічних елементів та іконок.
"
