,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
29835,"Digital Designer

Summary:
Results-driven digital designer with extensive marketing experience, proficient in Photoshop, Illustrator, and Figma, with expertise in Webflow, animation, CMS, and more. Proven track record of delivering visually stunning designs that drive brand growth.

Skills:
- Color sense and theory
- Composition
- Branding
- Advertising
- Illustration
- Web ads
- Social media ads
- Digital design
- Digital imagery
- Digital analytics
- E-blast
- UI/UX design
- HTML/CSS
- Webflow
- Figma (advanced user)
- Photoshop
- Illustrator

Soft Skills:
- Independent and team collaboration
- Creativity
- Customer interface

Education:
- Dare IT, Product Design
- HILLEL (IT School), Basic Web Design
- CASES MEDIA, Figma (90)
- CASES MEDIA, Graphic Design, Composition (91)

Experience:
Freelance and in-house manager for multiple international companies, including a US-based firm, with a focus on team collaboration, client communication, and delivering engaging designs that drive market growth.

Career Goals:
Seeking a long-term partnership with growth opportunities, utilizing skills and experience to create customer-centric products that simplify lives."
30606,"Figma:
- Design System Development: Created UI kits and utilized Auto Layout
- Interactive Components and Prototyping
- Utilization of Figma Plugins

Projects at Beetroot Academy (Mentorship):
- UX Research
- Competitors Research
- Sketching and Prototyping
- Understanding of Design Principles:
  - Composition
  - Typography
  - Color Theory
  - Design Trends
- Team Collaboration Experience
- Project Presentation Experience
- Proficient in Google Documents and Google Forms"
30845,"Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

Completed a 6-month UI/UX design course, with additional studies in HTML/CSS, and successfully defended and presented three projects:
- Redesigned a website for a real estate company in Destin, Florida, focusing on modernizing the design, improving user-friendliness, and incorporating essential features such as user-friendly feedback and property valuation.
- Created a travel website that enables users to find and book excursions, tours, and entrance tickets worldwide, including features for travel agents and companies to post their offers.
- Developed a mobile application for booking tables in restaurants.

Key skills and experiences include:
- Conducting research and analysis of competitors to inform design decisions.
- Creating user personas and customer journey maps to guide the design process.
- Designing adaptive and user-friendly interfaces for various digital products.
- Utilizing design tools such as Figma, Photoshop, and Illustrator to produce high-quality designs.
- Collaborating with others to achieve design goals and continuously learning to improve design strategies.

Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business, where I can apply my skills and experience as a quick learner, responsible team player, and performer of complex tasks."
32072,"UI/UX Designer

Current Role:
UI/UX Designer
- Improved the onboarding process of a financial institution app by 35%
- Led a team of 4 designers in creating visually appealing and functional products that resonate with users and meet business objectives
- Utilized Agile planning principles to deliver tailored solutions meeting customer requirements
- Employed wireframes, mockups, and prototypes to establish user interface design and architecture

Previous Role:
UI/UX Designer
- Enhanced the audience management system of a SaaS tool by 25%, demonstrating ability to design solutions that drive business results and are aesthetically pleasing"
46443,"Over 10 years of commercial experience in design and development of web solutions.

Highly skilled in designing large-scale CRM and SaaS projects, mobile and desktop applications, with a strong focus on creating and maintaining Design Systems to simplify and accelerate the product development process. 
Proven experience in developing large design systems from design to implementation in React and Storybook.
Career progression from Graphic Designer to Product Designer, with notable achievements including successfully managing the creation of products from scratch to release version in 3-4 weeks on multiple occasions.
Extensive design and development portfolio comprising over 50 landing pages, promo pages, and 10 user cabinets, with implemented functionalities such as dashboards, smart timers, and photo editors.
Proficient in a range of tools and technologies, including Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, WordPress, and Storybook.
Seeking a company or team of developers that prioritizes quality and user experience, and requires a professional to handle UI/UX, branding, and corporate style matters, or maintain a product's design system.
Key interests:
- Developing innovative and useful products for people
- Collaborating with high-engagement and professional teams
- Influencing product development and working under effective management
- Leading products or parts of them."
46506,"Software Developer

Experience: Small IT Company
- Developed software projects utilizing JavaScript technologies and the React framework
- Designed and created web pages with JSX, integrating HTML and CSS
- Implemented animations using Framer Motion and integrated Mui components
- Collaborated with a range of tools, including Bootstrap, Materialize, Figma, and Adobe Photoshop, to support development and design tasks"
50300,"Results-driven software developer with a proven track record of delivering high-impact projects, including the successful deployment of a groundbreaking customer engagement suite for a major e-commerce business. This project, designed from the ground up, leveraged innovative technologies and processes to drive incremental revenue through enhanced customer acquisition, satisfaction, and retention. The project's timely completion, adherence to budget, and positive reception from users and clients underscore my technical expertise and meticulous project management skills.

Technical expertise includes developing interfaces, integrating APIs, and creating custom plugins with React, Vue, and Flutter. Proficient in backend development using Node.js for website and application development.

As a frontend developer, I craft interfaces that meet client specifications while prioritizing system usability. My key responsibilities include ensuring top-notch application user experiences aligned with industry standards, collaborating with development teams, debugging issues, performance checking, and optimizing code as necessary. I also contribute to project planning and strategize information flows between backend databases and user interface components.

Committed to continuous learning, I aim to expand my technical skillset by staying updated on the latest industry trends and technologies. Through collaboration with experienced engineers, I seek to deepen my understanding of software architecture designs, ultimately striving to become a reliable and skilled professional in the software industry."
51419,"Results-driven UI/UX Developer
Seeking a full-time remote position

Summary:
Highly motivated UI/UX developer with a strong programming background, offering proven experience in freelance design work and a year of out-staff UI/UX development for an IT company.

Experience:
UI/UX Developer (Out-staff)
- Completed UI/UX development projects for an IT company
Freelance UI/UX Designer
- Successfully delivered design solutions to clients

Skills:
- UI/UX development
- Problem-solving
- Programming 

Note: I've reorganized the text to make it more concise and clear, while ensuring that all information is accurate and present in the original resume."
53971,"Senior Graphic Designer & Game UI/UX Designer

Summary:
Highly experienced designer with 5 years of experience in graphic design and 3 years of experience in game UI/UX design, currently employed in the game development industry.

Experience:
Game UI/UX Designer
Currently Employed
- Utilizing graphic design background to create engaging game interfaces

Game UI Designer, Major Game Development Company
1.5 years of experience

Indie Game Development Experience
2019-Present
- Contributed to various projects as 3D modeler, texture artist, and 3D animator
- Applied graphic design skills to specialize in game interface creation

Career Objective:
Seeking new opportunities in the Game Development industry, leveraging expertise in graphic design and game UI/UX design."
53972,"Highly motivated and experienced graphic designer with 2+ years of experience in creating websites, banners, and emails, and 1 year in the GameDev industry.

Proven track record of delivering high-quality visual content, including offers, decorations, and banners for mobile games. Skilled in creating layouts based on provided graphics or designing navigation elements and decors from scratch.

Proficient in utilizing industry-standard tools such as Photoshop and Figma, with additional expertise in creating animations using After Effects and Figma.

Results-driven professional seeking a challenging and rewarding role in mobile game development, with a strong desire for long-term cooperation with a GameDev company and opportunities for professional growth and development."
53973,"Game UI/UX Designer & UI Artist

Summary:
Results-driven Game UI/UX designer with a strong foundation in web design, skilled in UI art and animation since 2019. Proficient in the full project cycle, with expertise in HTML, CSS, and JavaScript.

Experience:
Game UI/UX Designer
- Designed and implemented user-centered UX flows aligned with game design principles
- Created UI screens, elements, and assets for programming integration
- Collaborated with team members to communicate UX vision and integrate designs into the game
- Supported game development with UI/UX expertise
- Contributed to website updates and logo redesigns for sites and applications
- Mentored staff and acquired new clients independently
- Developed and improved the design process and skill development for team members

Skills:
- Figma
- Adobe Photoshop
- Unreal Engine 4
- Unity
- HTML
- CSS
- JavaScript

Education & Teaching:
IT Academy (Lviv) Design Instructor

Personal Interests:
- Language learning
- Basketball
- Brazilian jiu-jitsu
- Yoga and healthy lifestyle

Team Values:
- Collaborative work environment
- Valuing team members
- Delivering results-driven products"
53974,"Game UI/UX Designer/Artist

Highly motivated and detail-oriented game UI/UX designer and artist with experience in creating engaging and user-friendly interfaces for casual games. Proficient in designing UI visuals from concept to final rendering and preparing sprites for Unity development.

Key Responsibilities:
- Research game interfaces and functional solutions to develop convenient, visually attractive, and unique interfaces
- Create UI visuals, logos, icons, buttons, pop-ups, and unique mechanics for casual games
- Collaborate with cross-functional teams including designers, managers, 2D and 3D artists, and programmers
- Monitor interface layout in game engines and stay updated with the latest UI/UX design trends and techniques

Education:
Bachelor's degree in Artist-performer, Kyiv National University of Construction and Architecture

Experience:
Game UI/UX Designer/Artist
- Participated in the development of a released mobile casual game
- Currently working at a Ukrainian game company, creating UI visuals for casual games and collaborating with a team of designers, managers, artists, and programmers

Summary:
Highly motivated game UI/UX designer and artist seeking a challenging role with a strong team where I can apply my skills and knowledge to deliver high-quality results and continue to grow professionally."
53975,"Graduated with honors from Web Design courses, supervising the final group project
Organized the printing of materials for two exhibitions in different cities simultaneously
Developed a welcome-box for new employees
Completed over 248 projects
3+ years of experience
Completed English courses in 2022 with honors, continuing to work actively in challenging times

UI/UX game designer with 4 years of commercial experience in Design and 2 years in GameDev
Worked on various projects, including mobile shooters, educational games, tactical MOBAs, and multiplayer casual games
Participated in the full cycle of UI and UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation, and game testing
Utilized Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM daily, with a willingness to learn new technologies

Key accomplishments:
Led full UI development for an educational mobile game with over 100,000 downloads
Participated in the development of a AAA PC MOBA
Updated the design and transferred a PC simulator to a mobile platform for cybersportsmen
Created game graphics using a graphics tablet

Seeking a company with a friendly team, high-quality projects, and a supportive environment, where I can contribute to innovative and challenging projects, regardless of size or complexity."
53976,"Summary:
Results-driven team player with expertise in UI art, 3D modeling, and concept art, possessing a proven ability to quickly acquire new knowledge and skills, with effective teaching and leadership skills, and excellent communication abilities.

Skills:
- Game UI art
- UI design
- 3D modeling and sculpting
- Texturing
- Character concept art
- Environment concept art
- Illustration
- Character design
- Creative design
- English fluency
- Rapid knowledge acquisition
- Team collaboration
- Teaching and leadership

Software Proficiency:
- Adobe Photoshop
- Daz Studio
- Blender
- Substance Painter
- Substance Designer
- ZBrush"
53977,"Results-driven professional with expertise in motion design, team management, and UX/UI design.

Key Achievements:
- Created exceptional motion design for worldwide poker and casino products
- Improved design and animation export pipeline in multiple projects
- Successfully managed a team of 7+ onboard and outsourced professionals across design, graphics, motion, animation, sounds, and development

Experience:
- Contributed to the rebranding of poker brands
- Designed UX/UI for poker applications
- Developed, organized, and distributed project style guides, design systems, and asset libraries
- Created motion graphics and animations for poker and casino games, including slots, betting, and blackjack
- Established clean and scalable After Effects project architecture
- Produced motion graphics for live online events
- Played a key role in creating and organizing the gaming design team
- Collaborated with the development team to improve design and animation consistency, introducing new technologies to the workflow
- Enhanced the visual and gaming experience of products
- Prepared detailed briefs and specifications, guiding design, graphic, motion, sound artists, and developers to achieve final results
- Designed storyboards and concepts for promotional videos

Career Goals:
- Leverage experience in the gaming industry to acquire new skills from leading specialists
- Produce high-quality products
- Effectively manage tasks and take responsibility for outcomes
- Motivate teams to strive for excellence in product creation"
53978,"UI/UX Designer

Results-driven UI/UX designer with a proven track record of leveraging prototyping skills to enhance user interface and game experience, driving performance improvements, streamlining development, and simplifying UI layouts. Consistently delivering high-quality results ahead of schedule, resulting in high customer satisfaction.

Key Skills and Experience:
- Utilized 9-Slice Scaling in various project implementations
- Successfully integrated Figma-designed interfaces into Unity
- Developed and refined comprehensive User Flows and Wireframes
- Designed and created UI elements from scratch
- Selected and implemented suitable fonts to enhance project aesthetics
- Prototyped and refined interfaces to optimize user experience
- Collaborated with cross-functional teams, including UI/UX developers, game designers, artists, and programmers to drive project goals
- Designed and developed UI for multiple platforms, including PC, consoles, and mobile devices, ensuring seamless user experience across different platforms"
53979,"UX/UI Designer (2020-2022)

Key Responsibilities:
- Developed UX/UI solutions using user-centered design principles
- Conceptualized ideas from low-fidelity wireframes to interactive visual designs and prototypes
- Designed site maps and information architecture
- Demonstrated how design solutions address core user needs and add value
- Utilized storyboards, process flows, and sitemaps to illustrate design ideas
- Created adaptive and responsive UX/UI wireframes for web-based applications
- Considered negative paths and ensured design covered full customer loops
- Developed customer journey maps and guides to support product vision
- Developed an indie game's interface based on self-conducted UX research
- Created low- and high-fidelity wireframes
- Collaborated with developers and game designers
- Designed and implemented surveys and exercises for user testing to gain in-depth understanding of the game

Visual and Graphic Designer (2019-2022)

Key Responsibilities:
- Created logos, conceptual identities, banners, posters, and ads
- Generated ideas and styles, staying up-to-date with design trends
- Paid attention to details and structured work results
- Presented and defended design ideas to clients
- Collaborated with a strong team to implement knowledge and skills into products"
53981,"UI/UX Designer & Artist
Experienced in game development since 2020, with a background in creating engaging graphic works and a deep understanding of design principles.

Professional Experience:
UI/UX Designer & UI Artist at Game Insight, 101XP, Playrix, and WhaleApp

Key Skills:
- Graphic Design: Comprehensive knowledge of graphic development cycle, including website and application design, branding, polygraphic design, and 2D animation
- Technical Expertise: Proficient in adhering to technical requirements for printed materials and digital layouts
- Project Management: Proven ability to manage projects effectively, ensuring high work organization and timely completion
- Creative Problem-Solving: Skilled in critical thinking and bringing creative solutions to the table

Work Environment:
Collaborative team player with experience in qualified management and creative spaces, driving innovation and excellence in design through effective collaboration and project execution."
54796,"Designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. Proven track record of working with European clients and leading Ukrainian real estate companies.

Experience:
- Created numerous logos and styles for outdoor advertising in Kyiv, Kharkiv, and other cities in Ukraine and Europe
- Worked in advertising and marketing agencies, printing houses, and as a freelancer
- Developed company identities for prominent Ukrainian real estate companies
- Designed websites using the Tilda constructor

Services:
- Creation of landing pages and websites
- UX research
- Logo design
- Social network design
- Layouts for printed materials
- Presentations
- Outdoor advertising
- Transport branding

Skills:
- Excellent organizational and planning skills
- Strong team player
- User-friendly design expertise

With a strong desire to grow and develop as a UX/UI designer, I look forward to collaborating and exploring new opportunities."
54797,"UX/UI Designer
Remote Graphic, UI/UX Designer from Ukraine with 4+ years of experience in creating user-centric designs for complex and specialized software products, including SaaS services, web apps, and mobile apps.

Summary:
Results-driven UX/UI designer with experience leading design projects, reworking UX & UI, and creating on-brand solutions that meet business goals. Proven track record of designing from idea to full UI, iterating designs based on feedback, and delivering user-centric designs for complex software products.

Experience:

UX/UI Designer, ManyRequests (Aug 2020 - Nov 2020)
- Enhanced user experience by reworking UX & UI of an existing product
- Iterated designs based on feedback, user testing, and feature response to meet business requirements
- Created design solutions that aligned with brand identity and met measurable business goals
- Integrated new features to address user needs and improve overall user experience

Product Designer, Stress Point Health Ltd (Apr 2018 - Jun 2020)
- Designed a mobile app for patients to access stress, anxiety, and trauma treatment, combining metrics and visualizing data for users
- Led design from idea to full UI, creating wireframes, user journeys, and prototypes for testing
- Conducted usability testing sessions with 22 volunteers to ensure usability and inform design decisions
- Developed design solutions that met business goals and user needs

UI/UX and Web Designer, Propeller Digital Company (May 2016 - Dec 2019)
- Led design decisions and defined user experience approaches as the sole designer
- Designed and developed visual materials, including websites, print materials, and infographics
- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets
- Redesigned business presentations, logo, brand identity, and visual design of existing websites to enhance brand consistency and user experience"
54798,"Creative Intern, Phiture (6 months)
- Created illustrations and design assets for marketing team
- Adjusted designs to brand guidelines
- Conducted print design and photo retouching
- Developed marketing assets for clients, including Ad Hoc Labs and Tipp24
- Participated in A/B testing for Adobe
- Assisted in Quality Assurance processes

Master's Degree in Design and Journalism (3 years)
- Completed non-profit projects for a charitable organization, refining graphic and UI/UX design skills

Skills:
- Vector graphics, icons, and logos
- Application prototyping and branding
- Video editing and motion graphics
- Information and text management, with experience in multimedia journalism"
54799,"Design Teacher & Freelance Designer

Summary:
Results-driven design teacher and freelance designer with 3 years of teaching experience and a strong background in graphic design, web development, and digital media. Proficient in a range of design programs and technologies, with a strong passion for creative and complex projects.

Experience:
Design Teacher, Itstep Academy
- Teach design to students, sharing knowledge and expertise in design principles and software.

Freelance Designer
- Developed a multi-page website for Softkit IT company
- Created a corporate identity and website for Ugtransresurs coal company from scratch
- Collaborated with clients such as Hipinspire.com, SmartJ, and Softkit
- 2 years of freelance experience, with a strong portfolio of work

Intern, Peace IT
- Completed a 2-month internship, gaining valuable industry experience and skills

Skills:
- Proficient in Adobe Illustrator, Photoshop, InDesign, Premiere Pro, After Effects, 3D Max, Maya, 3D Coat, and Figma
- HTML and CSS skills
- Intermediate English language skills
- Strong understanding of design principles and practices
- Ability to work independently or as part of a team, in an office or remote setting

Career Goals:
Seeking a challenging and creative role in a young and dynamic team, with opportunities for growth and self-realization as a designer."
54800,"Mary
Graphic Designer

Summary:
Highly motivated graphic designer with over 3 years of experience in designing various projects, including logo design, banner design, outdoor advertising, and personal/corporate landing page design.

Technical Skills:
Proficient in Adobe Photoshop, Illustrator, and XD

Experience:
Graphic Designer
Designed multiple layouts for various projects
Utilized Photoshop, Illustrator, and XD to create visual content
Specialized in logo design, banner design, outdoor advertising, and personal/corporate landing page design
Managed file printing for completed projects

About:
Dedicated and open to new design opportunities, with a strong willingness to cooperate and collaborate on diverse projects."
56453,"Results-driven design and computer graphics professional with 12 years of experience, possessing a proven ability to develop new skills and expand areas of research. Adept at utilizing creative, technical, and management skills to drive team success and deliver high-quality results. Committed to continued growth as a versatile specialist, dedicated to contributing to the completion of assigned tasks to the highest standard, with a strong focus on achieving challenging roles that leverage expertise to drive success."
